Orthogroup	Prba	Praf
OG0000057	Prba.g_00456	Praf.g_00386
OG0000058	Prba.g_00986	Praf.g_01907
OG0000059	Prba.g_01619	Praf.g_01125
OG0000062	Prba.g_00097	Praf.g_01034, Praf.g_02690
OG0000063	Prba.g_01135	Praf.g_00919
OG0000065	Prba.g_01192	Praf.g_00796
OG0000066	Prba.g_00175	Praf.g_02343
OG0000068	Prba.g_00429	Praf.g_02119
OG0000069	Prba.g_00149	Praf.g_02346
OG0000070	Prba.g_01120	Praf.g_02084, Praf.g_01191, Praf.g_01964, Praf.g_01880, Praf.g_02641, Praf.g_02639, Praf.g_01879, Praf.g_01648
OG0000071	Prba.g_01804	Praf.g_00012
OG0000072	Prba.g_00538	Praf.g_02336
OG0000073	Prba.g_01648	Praf.g_01748
OG0000074	Prba.g_01626	Praf.g_01219, Praf.g_01218
OG0000075	Prba.g_01492	Praf.g_01537
OG0000076	Prba.g_01264	Praf.g_01274
OG0000078	Prba.g_00155	Praf.g_02342
OG0000079	Prba.g_00310	Praf.g_00501
OG0000080	Prba.g_00261	Praf.g_00549
OG0000081	Prba.g_01069	Praf.g_02382, Praf.g_02378, Praf.g_02380
OG0000083	Prba.g_01796	Praf.g_00003
OG0000084	Prba.g_01799	Praf.g_00006
OG0000085	Prba.g_01816	Praf.g_00028
OG0000087	Prba.g_01843	Praf.g_00333, Praf.g_02602
OG0000088	Prba.g_01901	Praf.g_00224
OG0000089	Prba.g_01909	Praf.g_00212
OG0000090	Prba.g_01927	Praf.g_02420
OG0000091	Prba.g_00625	Praf.g_02457
OG0000092	Prba.g_00626	Praf.g_02468
OG0000093	Prba.g_00640	Praf.g_02711, Praf.g_02492
OG0000094	Prba.g_00658	Praf.g_02521, Praf.g_02708
OG0000095	Prba.g_00663	Praf.g_02532
OG0000096	Prba.g_00470	Praf.g_02217
OG0000097	Prba.g_00491	Praf.g_02271
OG0000099	Prba.g_00510	Praf.g_02296
OG0000100	Prba.g_00513	Praf.g_02300
OG0000101	Prba.g_00851	Praf.g_02012
OG0000102	Prba.g_00877	Praf.g_02715, Praf.g_02705
OG0000103	Prba.g_00985	Praf.g_01905
OG0000104	Prba.g_00981	Praf.g_00595
OG0000105	Prba.g_00962	Praf.g_00143, Praf.g_00616
OG0000106	Prba.g_00929	Praf.g_00658
OG0000107	Prba.g_00928	Praf.g_00660
OG0000108	Prba.g_01772	Praf.g_00681
OG0000109	Prba.g_01763	Praf.g_00692
OG0000110	Prba.g_01747	Praf.g_00711
OG0000111	Prba.g_01666	Praf.g_01036, Praf.g_01720
OG0000112	Prba.g_01665	Praf.g_01035, Praf.g_01721
OG0000113	Prba.g_01572	Praf.g_00144, Praf.g_01435
OG0000114	Prba.g_01501	Praf.g_01528
OG0000115	Prba.g_01337	Praf.g_01392
OG0000116	Prba.g_01333	Praf.g_01384, Praf.g_01383
OG0000117	Prba.g_01267	Praf.g_01277
OG0000118	Prba.g_01216	Praf.g_02776
OG0000119	Prba.g_00094	Praf.g_02692
OG0000120	Prba.g_00057	Praf.g_00861
OG0000121	Prba.g_00038	Praf.g_00922
OG0000122	Prba.g_00019	Praf.g_00901
OG0000123	Prba.g_00006	Praf.g_00938
OG0000124	Prba.g_01084	Praf.g_01285
OG0000125	Prba.g_01204	Praf.g_00779
OG0000126	Prba.g_00196	Praf.g_00585, Praf.g_00583
OG0000127	Prba.g_00110	Praf.g_01778, Praf.g_01776
OG0000128	Prba.g_00712	Praf.g_01795
OG0000129	Prba.g_00351, Prba.g_00676	Praf.g_01848
OG0000130	Prba.g_00228	Praf.g_00485
OG0000131	Prba.g_00584	Praf.g_00437
OG0000132	Prba.g_00581	Praf.g_00434
OG0000133	Prba.g_00388	Praf.g_02162
OG0000134	Prba.g_00424	Praf.g_02125
OG0000135	Prba.g_00426	Praf.g_02123
OG0000136	Prba.g_00752	Praf.g_02396
OG0000137	Prba.g_00785	Praf.g_00152
OG0000138	Prba.g_01089, Prba.g_00821	Praf.g_02664
OG0000139	Prba.g_01776, Prba.g_00848	Praf.g_02757
OG0000140	Prba.g_01794	Praf.g_00001
OG0000141	Prba.g_01795	Praf.g_00002
OG0000142	Prba.g_01797	Praf.g_00004
OG0000143	Prba.g_01798	Praf.g_00005
OG0000144	Prba.g_01800	Praf.g_00007
OG0000145	Prba.g_01801	Praf.g_00009
OG0000146	Prba.g_01802	Praf.g_00010
OG0000147	Prba.g_01803	Praf.g_00011
OG0000148	Prba.g_01805	Praf.g_00013
OG0000149	Prba.g_01807	Praf.g_00015
OG0000150	Prba.g_01808	Praf.g_00016
OG0000151	Prba.g_01809	Praf.g_00021
OG0000152	Prba.g_01810	Praf.g_00022
OG0000153	Prba.g_01811	Praf.g_00023
OG0000154	Prba.g_01812	Praf.g_00024
OG0000155	Prba.g_01813	Praf.g_00025
OG0000156	Prba.g_01814	Praf.g_00026
OG0000157	Prba.g_01815	Praf.g_00027
OG0000158	Prba.g_01817	Praf.g_00029
OG0000159	Prba.g_01818	Praf.g_00030
OG0000160	Prba.g_01819	Praf.g_00031
OG0000161	Prba.g_01820	Praf.g_00032
OG0000162	Prba.g_01821	Praf.g_00033
OG0000163	Prba.g_01822	Praf.g_00035
OG0000164	Prba.g_01825	Praf.g_00040
OG0000165	Prba.g_01828	Praf.g_00045
OG0000166	Prba.g_01829	Praf.g_00046
OG0000167	Prba.g_01830	Praf.g_00047
OG0000168	Prba.g_01834	Praf.g_00050
OG0000169	Prba.g_01836	Praf.g_00052
OG0000170	Prba.g_01837	Praf.g_02654
OG0000171	Prba.g_01838	Praf.g_02652
OG0000172	Prba.g_01839	Praf.g_02618
OG0000173	Prba.g_01840	Praf.g_02611
OG0000174	Prba.g_01841	Praf.g_02605
OG0000175	Prba.g_01842	Praf.g_02603
OG0000176	Prba.g_01844	Praf.g_02601
OG0000177	Prba.g_01845	Praf.g_02597
OG0000178	Prba.g_01846	Praf.g_02596
OG0000179	Prba.g_01852	Praf.g_00328
OG0000180	Prba.g_01853	Praf.g_00326
OG0000181	Prba.g_01854	Praf.g_00325
OG0000182	Prba.g_01857	Praf.g_00321
OG0000183	Prba.g_01858	Praf.g_00320
OG0000184	Prba.g_01861	Praf.g_00316
OG0000185	Prba.g_01865	Praf.g_00310
OG0000186	Prba.g_01866	Praf.g_00309
OG0000187	Prba.g_01867	Praf.g_00962
OG0000188	Prba.g_01868	Praf.g_00308
OG0000189	Prba.g_01869	Praf.g_00304
OG0000190	Prba.g_01870	Praf.g_00303
OG0000191	Prba.g_01871	Praf.g_00302
OG0000192	Prba.g_01872	Praf.g_00301
OG0000193	Prba.g_01873	Praf.g_00300
OG0000194	Prba.g_01874	Praf.g_00299
OG0000195	Prba.g_01876	Praf.g_00297
OG0000196	Prba.g_01877	Praf.g_00296
OG0000197	Prba.g_01878	Praf.g_00268
OG0000198	Prba.g_01879	Praf.g_00264
OG0000199	Prba.g_01882	Praf.g_00259
OG0000200	Prba.g_01883	Praf.g_00258
OG0000201	Prba.g_01884	Praf.g_00257
OG0000202	Prba.g_01885	Praf.g_00255
OG0000203	Prba.g_01886	Praf.g_00254
OG0000204	Prba.g_01887	Praf.g_00253
OG0000205	Prba.g_01888	Praf.g_00251
OG0000206	Prba.g_01889	Praf.g_00250
OG0000207	Prba.g_01890	Praf.g_00249
OG0000208	Prba.g_01891	Praf.g_00248
OG0000209	Prba.g_01892	Praf.g_00247
OG0000210	Prba.g_01894	Praf.g_00245
OG0000211	Prba.g_01895	Praf.g_00244
OG0000212	Prba.g_01896	Praf.g_00243
OG0000213	Prba.g_01897	Praf.g_00240
OG0000214	Prba.g_01899	Praf.g_00230
OG0000215	Prba.g_01900	Praf.g_00225
OG0000216	Prba.g_01902	Praf.g_00223
OG0000217	Prba.g_01903	Praf.g_00221
OG0000218	Prba.g_01904	Praf.g_00219
OG0000219	Prba.g_01905	Praf.g_00218
OG0000220	Prba.g_01908	Praf.g_00214
OG0000221	Prba.g_01910	Praf.g_00209
OG0000222	Prba.g_01911	Praf.g_00208
OG0000223	Prba.g_01912	Praf.g_00207
OG0000224	Prba.g_01915	Praf.g_02403
OG0000225	Prba.g_01917	Praf.g_02405
OG0000226	Prba.g_01918	Praf.g_02408
OG0000227	Prba.g_01919	Praf.g_02410
OG0000228	Prba.g_01920	Praf.g_02411
OG0000229	Prba.g_01921	Praf.g_02412
OG0000230	Prba.g_01922	Praf.g_02413
OG0000231	Prba.g_01924	Praf.g_02415
OG0000232	Prba.g_01925	Praf.g_02416
OG0000233	Prba.g_01928	Praf.g_02421
OG0000234	Prba.g_01930	Praf.g_02430
OG0000235	Prba.g_01933	Praf.g_02432
OG0000236	Prba.g_01934	Praf.g_02433
OG0000237	Prba.g_01935	Praf.g_02434
OG0000238	Prba.g_01936	Praf.g_02435
OG0000239	Prba.g_01937	Praf.g_02436
OG0000240	Prba.g_01939	Praf.g_02438
OG0000241	Prba.g_01940	Praf.g_02439
OG0000242	Prba.g_01941	Praf.g_02440
OG0000243	Prba.g_01942	Praf.g_02441
OG0000244	Prba.g_01943	Praf.g_02442
OG0000245	Prba.g_01944	Praf.g_02444
OG0000246	Prba.g_01946	Praf.g_02446
OG0000247	Prba.g_01947	Praf.g_02447
OG0000248	Prba.g_01948	Praf.g_02448
OG0000249	Prba.g_01949	Praf.g_02449
OG0000250	Prba.g_01950	Praf.g_02450
OG0000251	Prba.g_01951	Praf.g_02451
OG0000252	Prba.g_01952	Praf.g_02452
OG0000253	Prba.g_01953	Praf.g_02453
OG0000254	Prba.g_00623	Praf.g_02455
OG0000255	Prba.g_00624	Praf.g_02456
OG0000256	Prba.g_00627	Praf.g_02469
OG0000257	Prba.g_00629	Praf.g_02470
OG0000258	Prba.g_00630	Praf.g_02471
OG0000259	Prba.g_00631	Praf.g_02472
OG0000260	Prba.g_00632	Praf.g_02473
OG0000261	Prba.g_00633	Praf.g_02474
OG0000262	Prba.g_00634	Praf.g_02475
OG0000263	Prba.g_00635	Praf.g_02476
OG0000264	Prba.g_00637	Praf.g_01486
OG0000265	Prba.g_00638	Praf.g_02489
OG0000266	Prba.g_00639	Praf.g_02491
OG0000267	Prba.g_00641	Praf.g_02495
OG0000268	Prba.g_00642	Praf.g_02497
OG0000269	Prba.g_00643	Praf.g_02500
OG0000270	Prba.g_00644	Praf.g_02502
OG0000271	Prba.g_00645	Praf.g_02505
OG0000272	Prba.g_00646	Praf.g_02506
OG0000273	Prba.g_00647	Praf.g_02509
OG0000274	Prba.g_00648	Praf.g_02511
OG0000275	Prba.g_00649	Praf.g_02512
OG0000276	Prba.g_00650	Praf.g_02513
OG0000277	Prba.g_00651	Praf.g_02514
OG0000278	Prba.g_00652	Praf.g_02515
OG0000279	Prba.g_00653	Praf.g_02516
OG0000280	Prba.g_00654	Praf.g_02517
OG0000281	Prba.g_00656	Praf.g_02519
OG0000282	Prba.g_00657	Praf.g_02520
OG0000283	Prba.g_00660	Praf.g_02524
OG0000284	Prba.g_00661	Praf.g_02525
OG0000285	Prba.g_00662	Praf.g_02531
OG0000286	Prba.g_00664	Praf.g_02533
OG0000287	Prba.g_00665	Praf.g_02582
OG0000288	Prba.g_00666	Praf.g_02581
OG0000289	Prba.g_00667	Praf.g_02575
OG0000290	Prba.g_00668	Praf.g_02574
OG0000291	Prba.g_00669	Praf.g_02572
OG0000292	Prba.g_00670	Praf.g_02568
OG0000293	Prba.g_00671	Praf.g_02567
OG0000294	Prba.g_00672	Praf.g_02566
OG0000295	Prba.g_00673	Praf.g_02560
OG0000296	Prba.g_00674	Praf.g_02559
OG0000297	Prba.g_00675	Praf.g_02557
OG0000298	Prba.g_00439	Praf.g_02556
OG0000299	Prba.g_00440	Praf.g_02555
OG0000300	Prba.g_00441	Praf.g_02554
OG0000301	Prba.g_00442	Praf.g_02553
OG0000302	Prba.g_00443	Praf.g_02552
OG0000303	Prba.g_00444	Praf.g_02551
OG0000304	Prba.g_00445	Praf.g_02549
OG0000305	Prba.g_00446	Praf.g_02548
OG0000306	Prba.g_00447	Praf.g_02547
OG0000307	Prba.g_00448	Praf.g_00374
OG0000308	Prba.g_00449	Praf.g_00745
OG0000309	Prba.g_00450	Praf.g_00744
OG0000310	Prba.g_00451	Praf.g_00743
OG0000311	Prba.g_00452	Praf.g_00378
OG0000312	Prba.g_00454	Praf.g_00379
OG0000313	Prba.g_00455	Praf.g_00385
OG0000314	Prba.g_00458	Praf.g_00391
OG0000315	Prba.g_00459	Praf.g_00392
OG0000316	Prba.g_00461	Praf.g_02203
OG0000317	Prba.g_00463	Praf.g_02207
OG0000318	Prba.g_00464	Praf.g_02208
OG0000319	Prba.g_00465	Praf.g_02209
OG0000320	Prba.g_00466	Praf.g_02210
OG0000321	Prba.g_00469	Praf.g_02215
OG0000322	Prba.g_00472	Praf.g_02242
OG0000323	Prba.g_00473	Praf.g_02243
OG0000324	Prba.g_00476	Praf.g_02245
OG0000325	Prba.g_00477	Praf.g_02247
OG0000326	Prba.g_00478	Praf.g_02249
OG0000327	Prba.g_00480	Praf.g_02255
OG0000328	Prba.g_00481	Praf.g_00375
OG0000329	Prba.g_00482	Praf.g_02259
OG0000330	Prba.g_00483	Praf.g_02260
OG0000331	Prba.g_00484	Praf.g_02262
OG0000332	Prba.g_00485	Praf.g_02263
OG0000333	Prba.g_00486	Praf.g_02264
OG0000334	Prba.g_00487	Praf.g_02265
OG0000335	Prba.g_00488	Praf.g_02266
OG0000336	Prba.g_00489	Praf.g_02268
OG0000337	Prba.g_00492	Praf.g_02273
OG0000338	Prba.g_00493	Praf.g_02274
OG0000339	Prba.g_00494	Praf.g_02275
OG0000340	Prba.g_00495	Praf.g_02277
OG0000341	Prba.g_00499	Praf.g_02282
OG0000342	Prba.g_00500	Praf.g_02283
OG0000343	Prba.g_00502	Praf.g_02285
OG0000344	Prba.g_00503	Praf.g_02287
OG0000345	Prba.g_00504	Praf.g_02288
OG0000346	Prba.g_00505	Praf.g_02289
OG0000347	Prba.g_00506	Praf.g_02290
OG0000348	Prba.g_00507	Praf.g_02291
OG0000349	Prba.g_00508	Praf.g_02292
OG0000350	Prba.g_00509	Praf.g_02293
OG0000351	Prba.g_00511	Praf.g_02297
OG0000352	Prba.g_00514	Praf.g_02301
OG0000353	Prba.g_00515	Praf.g_02302
OG0000354	Prba.g_00516	Praf.g_02303
OG0000355	Prba.g_00517	Praf.g_02304
OG0000356	Prba.g_00518	Praf.g_02314
OG0000357	Prba.g_00519	Praf.g_02315
OG0000358	Prba.g_00520	Praf.g_02316
OG0000359	Prba.g_00521	Praf.g_02318
OG0000360	Prba.g_00524	Praf.g_02321
OG0000361	Prba.g_00525	Praf.g_02322
OG0000362	Prba.g_00526	Praf.g_02323
OG0000363	Prba.g_00527	Praf.g_02324
OG0000364	Prba.g_00528	Praf.g_02325
OG0000365	Prba.g_00529	Praf.g_02326
OG0000366	Prba.g_00530	Praf.g_02327
OG0000367	Prba.g_00531	Praf.g_02328
OG0000368	Prba.g_00532	Praf.g_02329
OG0000369	Prba.g_00533	Praf.g_02330
OG0000370	Prba.g_00534	Praf.g_02331
OG0000371	Prba.g_00535	Praf.g_02332
OG0000372	Prba.g_00537	Praf.g_02335
OG0000373	Prba.g_00539	Praf.g_02347
OG0000374	Prba.g_00540	Praf.g_02349
OG0000375	Prba.g_00541	Praf.g_02358
OG0000376	Prba.g_00543	Praf.g_02073
OG0000377	Prba.g_00544	Praf.g_02066
OG0000378	Prba.g_00545	Praf.g_02065
OG0000379	Prba.g_00550	Praf.g_02054
OG0000380	Prba.g_00551	Praf.g_02052
OG0000381	Prba.g_00552	Praf.g_02051
OG0000382	Prba.g_00554	Praf.g_02049
OG0000383	Prba.g_00557	Praf.g_02045
OG0000384	Prba.g_00558	Praf.g_02044
OG0000385	Prba.g_00561	Praf.g_02031
OG0000386	Prba.g_00562	Praf.g_02030
OG0000387	Prba.g_00218	Praf.g_02029
OG0000388	Prba.g_00219	Praf.g_02028
OG0000389	Prba.g_00220	Praf.g_02027
OG0000390	Prba.g_00221	Praf.g_02026
OG0000391	Prba.g_00222	Praf.g_02025
OG0000392	Prba.g_00223	Praf.g_02024
OG0000393	Prba.g_00849	Praf.g_02016
OG0000394	Prba.g_00850	Praf.g_02015
OG0000395	Prba.g_00852	Praf.g_02011
OG0000396	Prba.g_00853	Praf.g_01616
OG0000397	Prba.g_00865	Praf.g_00322
OG0000398	Prba.g_00873	Praf.g_00495
OG0000399	Prba.g_00874	Praf.g_01003
OG0000400	Prba.g_00880	Praf.g_02201
OG0000401	Prba.g_01030	Praf.g_02002
OG0000402	Prba.g_01029	Praf.g_02001
OG0000403	Prba.g_01028	Praf.g_01999
OG0000404	Prba.g_01026	Praf.g_01990
OG0000405	Prba.g_01025	Praf.g_01989
OG0000406	Prba.g_01023	Praf.g_01987
OG0000407	Prba.g_01022	Praf.g_01986
OG0000408	Prba.g_01021	Praf.g_01985
OG0000409	Prba.g_01020	Praf.g_01984
OG0000410	Prba.g_01019	Praf.g_01982
OG0000411	Prba.g_01018	Praf.g_01981
OG0000412	Prba.g_01017	Praf.g_01980
OG0000413	Prba.g_01016	Praf.g_01979
OG0000414	Prba.g_01015	Praf.g_01978
OG0000415	Prba.g_01014	Praf.g_01977
OG0000416	Prba.g_01013	Praf.g_01972
OG0000417	Prba.g_01012	Praf.g_01963
OG0000418	Prba.g_01011	Praf.g_01962
OG0000419	Prba.g_01010	Praf.g_01961
OG0000420	Prba.g_01009	Praf.g_01960
OG0000421	Prba.g_01008	Praf.g_01959
OG0000422	Prba.g_01006	Praf.g_01957
OG0000423	Prba.g_01005	Praf.g_01956
OG0000424	Prba.g_01003	Praf.g_01952
OG0000425	Prba.g_01000	Praf.g_01942
OG0000426	Prba.g_00999	Praf.g_01941
OG0000427	Prba.g_00998	Praf.g_01938
OG0000428	Prba.g_00997	Praf.g_01915
OG0000429	Prba.g_00996	Praf.g_01913
OG0000430	Prba.g_00990	Praf.g_01911
OG0000431	Prba.g_00988	Praf.g_01909
OG0000432	Prba.g_00987	Praf.g_01908
OG0000433	Prba.g_00984	Praf.g_00586
OG0000434	Prba.g_00983	Praf.g_00589
OG0000435	Prba.g_00982	Praf.g_00594
OG0000436	Prba.g_00980	Praf.g_00596
OG0000437	Prba.g_00978	Praf.g_00598
OG0000438	Prba.g_00977	Praf.g_00599
OG0000439	Prba.g_00976	Praf.g_00600
OG0000440	Prba.g_00974	Praf.g_00603
OG0000441	Prba.g_00973	Praf.g_00605
OG0000442	Prba.g_00972	Praf.g_00606
OG0000443	Prba.g_00971	Praf.g_00607
OG0000444	Prba.g_00970	Praf.g_00608
OG0000445	Prba.g_00969	Praf.g_00609
OG0000446	Prba.g_00968	Praf.g_00610
OG0000447	Prba.g_00967	Praf.g_00611
OG0000448	Prba.g_00966	Praf.g_00612
OG0000449	Prba.g_00961	Praf.g_00619
OG0000450	Prba.g_00960	Praf.g_00621
OG0000451	Prba.g_00959	Praf.g_00622
OG0000452	Prba.g_00958	Praf.g_00623
OG0000453	Prba.g_00956	Praf.g_00626
OG0000454	Prba.g_00955	Praf.g_00627
OG0000455	Prba.g_00954	Praf.g_00628
OG0000456	Prba.g_00953	Praf.g_00629
OG0000457	Prba.g_00951	Praf.g_00630
OG0000458	Prba.g_00949	Praf.g_00631
OG0000459	Prba.g_00948	Praf.g_00632
OG0000460	Prba.g_00946	Praf.g_00634
OG0000461	Prba.g_00945	Praf.g_00635
OG0000462	Prba.g_00944	Praf.g_00636
OG0000463	Prba.g_00943	Praf.g_00641
OG0000464	Prba.g_00938	Praf.g_00646
OG0000465	Prba.g_00936	Praf.g_00647
OG0000466	Prba.g_00935	Praf.g_00648
OG0000467	Prba.g_00934	Praf.g_00650
OG0000468	Prba.g_00933	Praf.g_00651
OG0000469	Prba.g_00932	Praf.g_00656
OG0000470	Prba.g_00931	Praf.g_01177
OG0000471	Prba.g_00930	Praf.g_01131
OG0000472	Prba.g_00927	Praf.g_00661
OG0000473	Prba.g_00926	Praf.g_00663
OG0000474	Prba.g_00925	Praf.g_00665
OG0000475	Prba.g_00924	Praf.g_00666
OG0000476	Prba.g_00923	Praf.g_00670
OG0000477	Prba.g_01775	Praf.g_00673
OG0000478	Prba.g_01774	Praf.g_00675
OG0000479	Prba.g_01773	Praf.g_00677
OG0000480	Prba.g_01771	Praf.g_00683
OG0000481	Prba.g_01770	Praf.g_00684
OG0000482	Prba.g_01769	Praf.g_00685
OG0000483	Prba.g_01768	Praf.g_00687
OG0000484	Prba.g_01767	Praf.g_00688
OG0000485	Prba.g_01766	Praf.g_00689
OG0000486	Prba.g_01765	Praf.g_00690
OG0000487	Prba.g_01764	Praf.g_00691
OG0000488	Prba.g_01762	Praf.g_00693
OG0000489	Prba.g_01761	Praf.g_00694
OG0000490	Prba.g_01760	Praf.g_00695
OG0000491	Prba.g_01759	Praf.g_00696
OG0000492	Prba.g_01758	Praf.g_00697
OG0000493	Prba.g_01757	Praf.g_00698
OG0000494	Prba.g_01755	Praf.g_00700
OG0000495	Prba.g_01754	Praf.g_00701
OG0000496	Prba.g_01753	Praf.g_00703
OG0000497	Prba.g_01752	Praf.g_00705
OG0000498	Prba.g_01751	Praf.g_00706
OG0000499	Prba.g_01749	Praf.g_00708
OG0000500	Prba.g_01748	Praf.g_00709
OG0000501	Prba.g_01746	Praf.g_00712
OG0000502	Prba.g_01745	Praf.g_00713
OG0000503	Prba.g_01744	Praf.g_00714
OG0000504	Prba.g_01743	Praf.g_00716
OG0000505	Prba.g_01742	Praf.g_00717
OG0000506	Prba.g_01741	Praf.g_00718
OG0000507	Prba.g_01740	Praf.g_00719
OG0000508	Prba.g_01738	Praf.g_00723
OG0000509	Prba.g_01737	Praf.g_00724
OG0000510	Prba.g_01736	Praf.g_00725
OG0000511	Prba.g_01735	Praf.g_00726
OG0000512	Prba.g_01734	Praf.g_00728
OG0000513	Prba.g_01733	Praf.g_00729
OG0000514	Prba.g_01732	Praf.g_00730
OG0000515	Prba.g_01730	Praf.g_00733
OG0000516	Prba.g_01729	Praf.g_00734
OG0000517	Prba.g_01728	Praf.g_00735
OG0000518	Prba.g_01726	Praf.g_00739
OG0000519	Prba.g_01725	Praf.g_00740
OG0000520	Prba.g_01724	Praf.g_00741
OG0000521	Prba.g_01723	Praf.g_00742
OG0000522	Prba.g_01722	Praf.g_00749
OG0000523	Prba.g_01721	Praf.g_00750
OG0000524	Prba.g_01720	Praf.g_00751
OG0000525	Prba.g_01718	Praf.g_00753
OG0000526	Prba.g_01717	Praf.g_00754
OG0000527	Prba.g_01716	Praf.g_00755
OG0000528	Prba.g_01715	Praf.g_00756
OG0000529	Prba.g_01714	Praf.g_00757
OG0000530	Prba.g_01713	Praf.g_00758
OG0000531	Prba.g_01712	Praf.g_00761
OG0000532	Prba.g_01711	Praf.g_00763
OG0000533	Prba.g_01710	Praf.g_00764
OG0000534	Prba.g_01709	Praf.g_00765
OG0000535	Prba.g_01708	Praf.g_00766
OG0000536	Prba.g_01707	Praf.g_00767
OG0000537	Prba.g_01706	Praf.g_00768
OG0000538	Prba.g_01705	Praf.g_00769
OG0000539	Prba.g_01704	Praf.g_00771
OG0000540	Prba.g_01703	Praf.g_00773
OG0000541	Prba.g_01702	Praf.g_01659
OG0000542	Prba.g_01701	Praf.g_01661
OG0000543	Prba.g_01700	Praf.g_01662
OG0000544	Prba.g_01699	Praf.g_01663
OG0000545	Prba.g_01696	Praf.g_01666
OG0000546	Prba.g_01695	Praf.g_01667
OG0000547	Prba.g_01693	Praf.g_01669
OG0000548	Prba.g_01692	Praf.g_01674
OG0000549	Prba.g_01691	Praf.g_01675
OG0000550	Prba.g_01690	Praf.g_01676
OG0000551	Prba.g_01689	Praf.g_01680
OG0000552	Prba.g_01688	Praf.g_01684
OG0000553	Prba.g_01687	Praf.g_01685
OG0000554	Prba.g_01686	Praf.g_01687
OG0000555	Prba.g_01685	Praf.g_01688
OG0000556	Prba.g_01684	Praf.g_01689
OG0000557	Prba.g_01683	Praf.g_01690
OG0000558	Prba.g_01682	Praf.g_01692
OG0000559	Prba.g_01681	Praf.g_01693
OG0000560	Prba.g_01679	Praf.g_01695
OG0000561	Prba.g_01678	Praf.g_01696
OG0000562	Prba.g_01677	Praf.g_01698
OG0000563	Prba.g_01676	Praf.g_01699
OG0000564	Prba.g_01675	Praf.g_01700
OG0000565	Prba.g_01674	Praf.g_01708
OG0000566	Prba.g_01673	Praf.g_01709
OG0000567	Prba.g_01672	Praf.g_01710
OG0000568	Prba.g_01671	Praf.g_01711
OG0000569	Prba.g_01670	Praf.g_01713
OG0000570	Prba.g_01669	Praf.g_01716
OG0000571	Prba.g_01668	Praf.g_01717
OG0000572	Prba.g_01667	Praf.g_01718
OG0000573	Prba.g_01664	Praf.g_01722
OG0000574	Prba.g_01663	Praf.g_01727
OG0000575	Prba.g_01662	Praf.g_01728
OG0000576	Prba.g_01661	Praf.g_01729
OG0000577	Prba.g_01660	Praf.g_01730
OG0000578	Prba.g_01659	Praf.g_01731
OG0000579	Prba.g_01658	Praf.g_01733
OG0000580	Prba.g_01657	Praf.g_01736
OG0000581	Prba.g_01656	Praf.g_01737
OG0000582	Prba.g_01655	Praf.g_01738
OG0000583	Prba.g_01654	Praf.g_01739
OG0000584	Prba.g_01653	Praf.g_01741
OG0000585	Prba.g_01652	Praf.g_01742
OG0000586	Prba.g_01650	Praf.g_01744
