Orthogroup	Pras	Prbf
OG0000066	Pras.g_01416	Prbf.g_01820, Prbf.g_00781
OG0000067	Pras.g_01701, Pras.g_00311	Prbf.g_01245
OG0000068	Pras.g_00250	Prbf.g_00095
OG0000069	Pras.g_00538, Pras.g_00464	Prbf.g_01738
OG0000070	Pras.g_01328	Prbf.g_01734
OG0000071	Pras.g_00209	Prbf.g_00026
OG0000072	Pras.g_01022	Prbf.g_01505
OG0000073	Pras.g_01377	Prbf.g_01783
OG0000074	Pras.g_01558	Prbf.g_01281
OG0000075	Pras.g_00719	Prbf.g_00522
OG0000076	Pras.g_00883, Pras.g_00743	Prbf.g_00496
OG0000077	Pras.g_00929	Prbf.g_01405
OG0000078	Pras.g_01091	Prbf.g_01578
OG0000079	Pras.g_01104	Prbf.g_01591
OG0000080	Pras.g_00279	Prbf.g_00129
OG0000080	Pras.g_00277	Prbf.g_00131
OG0000081	Pras.g_01408	Prbf.g_01812
OG0000082	Pras.g_01462	Prbf.g_01867, Prbf.g_00704
OG0000084	Pras.g_00346	Prbf.g_00154
OG0000085	Pras.g_00543	Prbf.g_00701, Prbf.g_00822
OG0000086	Pras.g_00939	Prbf.g_01414
OG0000087	Pras.g_00990	Prbf.g_01469
OG0000088	Pras.g_01017	Prbf.g_01500
OG0000089	Pras.g_01209	Prbf.g_01701
OG0000090	Pras.g_01410	Prbf.g_01814
OG0000091	Pras.g_01518	Prbf.g_00990
OG0000092	Pras.g_01806	Prbf.g_01315
OG0000093	Pras.g_01827	Prbf.g_01019
OG0000094	Pras.g_01915	Prbf.g_01068
OG0000095	Pras.g_01934	Prbf.g_01170
OG0000096	Pras.g_00004, Pras.g_00163	Prbf.g_00306
OG0000097	Pras.g_00098	Prbf.g_00964
OG0000098	Pras.g_00232	Prbf.g_00071
OG0000099	Pras.g_00294	Prbf.g_00118
OG0000100	Pras.g_00427	Prbf.g_00236
OG0000101	Pras.g_00687	Prbf.g_00558
OG0000102	Pras.g_00748	Prbf.g_00491
OG0000103	Pras.g_00829	Prbf.g_00406
OG0000104	Pras.g_00838	Prbf.g_00397
OG0000105	Pras.g_01126	Prbf.g_01614
OG0000106	Pras.g_01223	Prbf.g_00320
OG0000107	Pras.g_01239	Prbf.g_00629
OG0000108	Pras.g_01358	Prbf.g_01763
OG0000109	Pras.g_01372	Prbf.g_01777
OG0000110	Pras.g_01451	Prbf.g_01856
OG0000111	Pras.g_01575	Prbf.g_01260
OG0000112	Pras.g_01665	Prbf.g_01929
OG0000113	Pras.g_01723	Prbf.g_01222
OG0000114	Pras.g_01801	Prbf.g_01320
OG0000115	Pras.g_01994	Prbf.g_00062
OG0000116	Pras.g_00046	Prbf.g_00907
OG0000117	Pras.g_00150	Prbf.g_00945
OG0000118	Pras.g_00221, Pras.g_00222	Prbf.g_00013
OG0000119	Pras.g_00246	Prbf.g_00864, Prbf.g_00254
OG0000120	Pras.g_00273, Pras.g_00272, Pras.g_00271	Prbf.g_00115
OG0000121	Pras.g_00352	Prbf.g_00159
OG0000122	Pras.g_00391	Prbf.g_00055, Prbf.g_00200
OG0000123	Pras.g_00694	Prbf.g_00551
OG0000124	Pras.g_00759	Prbf.g_00478
OG0000125	Pras.g_00797	Prbf.g_00443
OG0000126	Pras.g_00837	Prbf.g_00398
OG0000128	Pras.g_00853	Prbf.g_00382
OG0000129	Pras.g_00897	Prbf.g_01367
OG0000130	Pras.g_00921	Prbf.g_01396
OG0000131	Pras.g_00996	Prbf.g_01478
OG0000132	Pras.g_01015	Prbf.g_01498
OG0000133	Pras.g_01174	Prbf.g_01661
OG0000134	Pras.g_01210	Prbf.g_01703
OG0000135	Pras.g_01236	Prbf.g_00044
OG0000136	Pras.g_01319	Prbf.g_01725
OG0000137	Pras.g_01353	Prbf.g_01758
OG0000138	Pras.g_01373	Prbf.g_01778
OG0000139	Pras.g_01414	Prbf.g_01818
OG0000140	Pras.g_01415	Prbf.g_01819
OG0000141	Pras.g_01483	Prbf.g_01890
OG0000142	Pras.g_01511	Prbf.g_00982
OG0000143	Pras.g_01515	Prbf.g_00986
OG0000144	Pras.g_01528	Prbf.g_01000
OG0000145	Pras.g_01664	Prbf.g_00042
OG0000146	Pras.g_01666	Prbf.g_01928
OG0000147	Pras.g_01667	Prbf.g_01927
OG0000148	Pras.g_01717	Prbf.g_01228
OG0000149	Pras.g_01747	Prbf.g_01196
OG0000150	Pras.g_01755	Prbf.g_01186
OG0000151	Pras.g_01811	Prbf.g_01310
OG0000152	Pras.g_01859	Prbf.g_01117
OG0000153	Pras.g_01878	Prbf.g_01098
OG0000154	Pras.g_01908	Prbf.g_01078
OG0000155	Pras.g_00076	Prbf.g_00939
OG0000156	Pras.g_00197	Prbf.g_00037
OG0000157	Pras.g_00198	Prbf.g_00036
OG0000158	Pras.g_00289	Prbf.g_00514
OG0000160	Pras.g_00351	Prbf.g_00158
OG0000161	Pras.g_00357	Prbf.g_00164
OG0000162	Pras.g_00363	Prbf.g_00170
OG0000163	Pras.g_00399	Prbf.g_00209
OG0000164	Pras.g_00574	Prbf.g_00669
OG0000165	Pras.g_00581	Prbf.g_00662
OG0000166	Pras.g_00651	Prbf.g_00595
OG0000167	Pras.g_00717	Prbf.g_00524
OG0000168	Pras.g_00727	Prbf.g_00513
OG0000169	Pras.g_00737	Prbf.g_00503
OG0000170	Pras.g_00739	Prbf.g_00500
OG0000171	Pras.g_00758	Prbf.g_00479
OG0000172	Pras.g_00768	Prbf.g_00472
OG0000173	Pras.g_00783	Prbf.g_00457
OG0000174	Pras.g_00811, Pras.g_00810	Prbf.g_00428
OG0000175	Pras.g_00821	Prbf.g_00415
OG0000176	Pras.g_00846	Prbf.g_00389
OG0000177	Pras.g_00847	Prbf.g_00388
OG0000178	Pras.g_00848	Prbf.g_00387
OG0000179	Pras.g_00858	Prbf.g_01338
OG0000180	Pras.g_00859	Prbf.g_01339
OG0000181	Pras.g_00860	Prbf.g_01340
OG0000182	Pras.g_00861	Prbf.g_01341
OG0000183	Pras.g_00865	Prbf.g_01345
OG0000184	Pras.g_00899	Prbf.g_01371
OG0000185	Pras.g_00902	Prbf.g_01374
OG0000186	Pras.g_00916	Prbf.g_01390
OG0000187	Pras.g_00917	Prbf.g_01391
OG0000188	Pras.g_00933	Prbf.g_01408
OG0000189	Pras.g_00947	Prbf.g_01422
OG0000190	Pras.g_00948	Prbf.g_01424
OG0000191	Pras.g_00968	Prbf.g_01447
OG0000192	Pras.g_00972	Prbf.g_01452
OG0000193	Pras.g_00997	Prbf.g_01479
OG0000194	Pras.g_01000	Prbf.g_01482
OG0000195	Pras.g_01002	Prbf.g_01484
OG0000196	Pras.g_01012	Prbf.g_01495
OG0000197	Pras.g_01013	Prbf.g_01496
OG0000198	Pras.g_01014	Prbf.g_01497
OG0000199	Pras.g_01021	Prbf.g_01504
OG0000200	Pras.g_01035	Prbf.g_01518
OG0000201	Pras.g_01043	Prbf.g_01527
OG0000202	Pras.g_01044	Prbf.g_01528
OG0000203	Pras.g_01045	Prbf.g_01529
OG0000204	Pras.g_01046	Prbf.g_01530
OG0000205	Pras.g_01053	Prbf.g_01537
OG0000206	Pras.g_01058, Pras.g_01059	Prbf.g_01542
OG0000207	Pras.g_01061	Prbf.g_01545
OG0000208	Pras.g_01062	Prbf.g_01546
OG0000209	Pras.g_01071	Prbf.g_01555
OG0000210	Pras.g_01072	Prbf.g_01556
OG0000211	Pras.g_01085	Prbf.g_01571
OG0000212	Pras.g_01092	Prbf.g_01579
OG0000213	Pras.g_01109	Prbf.g_01597
OG0000214	Pras.g_01119	Prbf.g_01607
OG0000215	Pras.g_01144	Prbf.g_01634
OG0000216	Pras.g_01145	Prbf.g_01635
OG0000217	Pras.g_01148	Prbf.g_01638
OG0000218	Pras.g_01150	Prbf.g_01640
OG0000219	Pras.g_01151	Prbf.g_01641
OG0000220	Pras.g_01152	Prbf.g_01642
OG0000221	Pras.g_01153	Prbf.g_01643
OG0000222	Pras.g_01162	Prbf.g_01650
OG0000223	Pras.g_01175	Prbf.g_01662
OG0000224	Pras.g_01177	Prbf.g_01664
OG0000225	Pras.g_01199	Prbf.g_01690
OG0000226	Pras.g_01203	Prbf.g_01694
OG0000227	Pras.g_01205	Prbf.g_01696
OG0000228	Pras.g_01208	Prbf.g_01700
OG0000229	Pras.g_01314	Prbf.g_01720
OG0000230	Pras.g_01316	Prbf.g_01722
OG0000231	Pras.g_01327	Prbf.g_01733
OG0000232	Pras.g_01335	Prbf.g_01744
OG0000233	Pras.g_01341	Prbf.g_01750
OG0000234	Pras.g_01354	Prbf.g_01759
OG0000235	Pras.g_01357	Prbf.g_01762
OG0000236	Pras.g_01371	Prbf.g_01776
OG0000237	Pras.g_01384	Prbf.g_01789
OG0000238	Pras.g_01390	Prbf.g_01795
OG0000239	Pras.g_01402	Prbf.g_01806
OG0000240	Pras.g_01403	Prbf.g_01807
OG0000241	Pras.g_01407	Prbf.g_01811
OG0000242	Pras.g_01409	Prbf.g_01813
OG0000243	Pras.g_01420	Prbf.g_01824
OG0000244	Pras.g_01423	Prbf.g_01827
OG0000245	Pras.g_01425	Prbf.g_01829
OG0000246	Pras.g_01429	Prbf.g_01833
OG0000247	Pras.g_01439	Prbf.g_01843
OG0000248	Pras.g_01441	Prbf.g_01846
OG0000249	Pras.g_01443	Prbf.g_01848
OG0000250	Pras.g_01448	Prbf.g_01853
OG0000251	Pras.g_01467	Prbf.g_01873
OG0000252	Pras.g_01470	Prbf.g_01876
OG0000253	Pras.g_01471	Prbf.g_01877
OG0000254	Pras.g_01487	Prbf.g_01894
OG0000255	Pras.g_01493	Prbf.g_01900
OG0000256	Pras.g_01503	Prbf.g_01910
OG0000257	Pras.g_01506	Prbf.g_00977
OG0000258	Pras.g_01519	Prbf.g_00991
OG0000259	Pras.g_01536	Prbf.g_01008
OG0000260	Pras.g_01539	Prbf.g_01011
OG0000261	Pras.g_01541	Prbf.g_01014
OG0000262	Pras.g_00327, Pras.g_01545	Prbf.g_01018
OG0000263	Pras.g_01557	Prbf.g_01282
OG0000264	Pras.g_01567	Prbf.g_01271
OG0000265	Pras.g_01606	Prbf.g_01253
OG0000266	Pras.g_01616	Prbf.g_01037
OG0000267	Pras.g_01627	Prbf.g_01049
OG0000268	Pras.g_01628	Prbf.g_01050
OG0000269	Pras.g_01696	Prbf.g_01250
OG0000270	Pras.g_01699	Prbf.g_01247
OG0000271	Pras.g_01707	Prbf.g_01239
OG0000272	Pras.g_01708	Prbf.g_01238
OG0000273	Pras.g_01731	Prbf.g_01214
OG0000274	Pras.g_01732	Prbf.g_01213
OG0000275	Pras.g_01734	Prbf.g_01210
OG0000276	Pras.g_01739	Prbf.g_01204
OG0000277	Pras.g_01740	Prbf.g_01203
OG0000278	Pras.g_01743	Prbf.g_01200
OG0000279	Pras.g_01750	Prbf.g_01193
OG0000280	Pras.g_01751	Prbf.g_01192
OG0000281	Pras.g_01756	Prbf.g_01185
OG0000282	Pras.g_01803	Prbf.g_01318
OG0000283	Pras.g_01836	Prbf.g_01141
OG0000284	Pras.g_01841	Prbf.g_01136
OG0000285	Pras.g_01846	Prbf.g_01131
OG0000286	Pras.g_01858	Prbf.g_01118
OG0000287	Pras.g_01875	Prbf.g_00065
OG0000288	Pras.g_01907	Prbf.g_01079
OG0000289	Pras.g_01918	Prbf.g_01063
OG0000290	Pras.g_01931	Prbf.g_01167
OG0000291	Pras.g_01933	Prbf.g_01169
OG0000292	Pras.g_01982	Prbf.g_00873
OG0000293	Pras.g_00047	Prbf.g_00908
OG0000294	Pras.g_00048	Prbf.g_00909
OG0000295	Pras.g_00068	Prbf.g_00932
OG0000296	Pras.g_00070	Prbf.g_00934
OG0000297	Pras.g_00078	Prbf.g_00943
OG0000298	Pras.g_00079	Prbf.g_00944
OG0000299	Pras.g_00096, Pras.g_00097	Prbf.g_00963
OG0000300	Pras.g_00100	Prbf.g_00966
OG0000301	Pras.g_00101	Prbf.g_00967
OG0000302	Pras.g_00103	Prbf.g_00969
OG0000303	Pras.g_00110	Prbf.g_00975
OG0000304	Pras.g_00114	Prbf.g_01915
OG0000305	Pras.g_00242	Prbf.g_00875
OG0000306	Pras.g_00245	Prbf.g_01181
OG0000307	Pras.g_00259	Prbf.g_00104
OG0000308	Pras.g_00260	Prbf.g_00105
OG0000309	Pras.g_00264	Prbf.g_00109
OG0000310	Pras.g_00335	Prbf.g_00143
OG0000311	Pras.g_00337	Prbf.g_00145
OG0000312	Pras.g_00340	Prbf.g_00148
OG0000313	Pras.g_00354	Prbf.g_00161
OG0000314	Pras.g_00377	Prbf.g_00184
OG0000315	Pras.g_00388	Prbf.g_00194
OG0000316	Pras.g_00410	Prbf.g_00219
OG0000317	Pras.g_00548	Prbf.g_00696
OG0000318	Pras.g_00551	Prbf.g_00692
OG0000319	Pras.g_00564	Prbf.g_00679
OG0000320	Pras.g_00566	Prbf.g_00677
OG0000321	Pras.g_00567	Prbf.g_00676
OG0000322	Pras.g_00568	Prbf.g_00675
OG0000323	Pras.g_00577	Prbf.g_00666
OG0000324	Pras.g_00604	Prbf.g_00639
OG0000325	Pras.g_00614	Prbf.g_00628
OG0000326	Pras.g_00620	Prbf.g_00621
OG0000327	Pras.g_00646	Prbf.g_00600
OG0000328	Pras.g_00647	Prbf.g_00599
OG0000329	Pras.g_00664	Prbf.g_00582
OG0000330	Pras.g_00665	Prbf.g_00581
OG0000331	Pras.g_00666	Prbf.g_00580
OG0000332	Pras.g_00680	Prbf.g_00566
OG0000333	Pras.g_00682	Prbf.g_00564
OG0000334	Pras.g_00690	Prbf.g_00555
OG0000335	Pras.g_00695	Prbf.g_00550
OG0000336	Pras.g_00699	Prbf.g_00546
OG0000337	Pras.g_00715	Prbf.g_00528
OG0000338	Pras.g_00716	Prbf.g_00527
OG0000339	Pras.g_00720	Prbf.g_00521
OG0000340	Pras.g_00728	Prbf.g_00512
OG0000341	Pras.g_00730	Prbf.g_00510
OG0000342	Pras.g_00731	Prbf.g_00509
OG0000343	Pras.g_00732	Prbf.g_00508
OG0000344	Pras.g_00735	Prbf.g_00505
OG0000345	Pras.g_00740	Prbf.g_00499
OG0000346	Pras.g_00744	Prbf.g_00495
OG0000347	Pras.g_00761	Prbf.g_00477
OG0000348	Pras.g_00771	Prbf.g_00469
OG0000349	Pras.g_00788	Prbf.g_00452
OG0000350	Pras.g_00806, Pras.g_00131	Prbf.g_00351
OG0000351	Pras.g_00824	Prbf.g_00412
OG0000352	Pras.g_00825	Prbf.g_00411
OG0000353	Pras.g_00841	Prbf.g_00394
OG0000355	Pras.g_00843	Prbf.g_00392
OG0000356	Pras.g_00844	Prbf.g_00391
OG0000357	Pras.g_00845	Prbf.g_00390
OG0000358	Pras.g_00849	Prbf.g_00386
OG0000359	Pras.g_00850	Prbf.g_00385
OG0000360	Pras.g_00851	Prbf.g_00384
OG0000361	Pras.g_00852	Prbf.g_00383
OG0000362	Pras.g_00854	Prbf.g_00381
OG0000363	Pras.g_00856	Prbf.g_01336
OG0000364	Pras.g_00857	Prbf.g_01337
OG0000365	Pras.g_00862	Prbf.g_01342
OG0000366	Pras.g_00863	Prbf.g_01343
OG0000367	Pras.g_00864	Prbf.g_01344
OG0000368	Pras.g_00866	Prbf.g_01346
OG0000369	Pras.g_00867	Prbf.g_01347
OG0000370	Pras.g_00868	Prbf.g_01348
OG0000371	Pras.g_00874	Prbf.g_01355
OG0000372	Pras.g_00877	Prbf.g_01358
OG0000373	Pras.g_00878	Prbf.g_01359
OG0000374	Pras.g_00879	Prbf.g_01360
OG0000375	Pras.g_00893	Prbf.g_01362
OG0000376	Pras.g_00895	Prbf.g_01364
OG0000377	Pras.g_00898	Prbf.g_01368
OG0000378	Pras.g_00900	Prbf.g_01372
OG0000379	Pras.g_00903	Prbf.g_01375
OG0000380	Pras.g_00918	Prbf.g_01392
OG0000381	Pras.g_00922	Prbf.g_01397
OG0000382	Pras.g_00932	Prbf.g_01407
OG0000383	Pras.g_00934	Prbf.g_01409
OG0000384	Pras.g_00935	Prbf.g_01410
OG0000385	Pras.g_00936	Prbf.g_01411
OG0000386	Pras.g_00937	Prbf.g_01412
OG0000387	Pras.g_00950	Prbf.g_01426
OG0000388	Pras.g_00953	Prbf.g_01430
OG0000389	Pras.g_00957	Prbf.g_01433
OG0000390	Pras.g_00964	Prbf.g_01443
OG0000391	Pras.g_00967	Prbf.g_01446
OG0000392	Pras.g_00971	Prbf.g_01450
OG0000393	Pras.g_00973	Prbf.g_01453
OG0000394	Pras.g_00974	Prbf.g_01454
OG0000395	Pras.g_00975	Prbf.g_01455
OG0000396	Pras.g_00978	Prbf.g_01457
OG0000397	Pras.g_00980	Prbf.g_01459
OG0000398	Pras.g_00982	Prbf.g_01462
OG0000399	Pras.g_00983	Prbf.g_01463
OG0000400	Pras.g_00984	Prbf.g_01464
OG0000401	Pras.g_00985	Prbf.g_01465
OG0000402	Pras.g_00987	Prbf.g_01055
OG0000403	Pras.g_00988	Prbf.g_01467
OG0000404	Pras.g_00989	Prbf.g_01468
OG0000405	Pras.g_00993	Prbf.g_01472
OG0000406	Pras.g_00998	Prbf.g_01480
OG0000407	Pras.g_00999	Prbf.g_01481
OG0000408	Pras.g_01001	Prbf.g_01483
OG0000409	Pras.g_01003	Prbf.g_01485
OG0000410	Pras.g_01004	Prbf.g_01486
OG0000411	Pras.g_01005	Prbf.g_01487
OG0000412	Pras.g_01006	Prbf.g_01488
OG0000413	Pras.g_01007	Prbf.g_01490
OG0000414	Pras.g_01008	Prbf.g_01491
OG0000415	Pras.g_01009	Prbf.g_01492
OG0000416	Pras.g_01010	Prbf.g_01493
OG0000417	Pras.g_01011	Prbf.g_01494
OG0000418	Pras.g_01016	Prbf.g_01499
OG0000419	Pras.g_01018	Prbf.g_01501
OG0000420	Pras.g_01019	Prbf.g_01502
OG0000421	Pras.g_01024	Prbf.g_01507
OG0000422	Pras.g_01025	Prbf.g_01508
OG0000423	Pras.g_01026	Prbf.g_01509
OG0000424	Pras.g_01027	Prbf.g_01510
OG0000425	Pras.g_01028	Prbf.g_01511
OG0000426	Pras.g_01029	Prbf.g_01512
OG0000427	Pras.g_01030	Prbf.g_01513
OG0000428	Pras.g_01032	Prbf.g_01515
OG0000429	Pras.g_01033	Prbf.g_01516
OG0000430	Pras.g_01034	Prbf.g_01517
OG0000431	Pras.g_01036	Prbf.g_01519
OG0000432	Pras.g_01039	Prbf.g_01523
OG0000433	Pras.g_01040	Prbf.g_01524
OG0000434	Pras.g_01041	Prbf.g_01525
OG0000435	Pras.g_01042	Prbf.g_01526
OG0000436	Pras.g_01047	Prbf.g_01531
OG0000437	Pras.g_01048	Prbf.g_01532
OG0000438	Pras.g_01049	Prbf.g_01533
OG0000439	Pras.g_01051	Prbf.g_01535
OG0000440	Pras.g_01052	Prbf.g_01536
OG0000441	Pras.g_01055	Prbf.g_01539
OG0000442	Pras.g_01056	Prbf.g_01540
OG0000443	Pras.g_01057	Prbf.g_01541
OG0000444	Pras.g_01063	Prbf.g_01547
OG0000445	Pras.g_01064	Prbf.g_01548
OG0000446	Pras.g_01065	Prbf.g_01549
OG0000447	Pras.g_01066	Prbf.g_01550
OG0000448	Pras.g_01067	Prbf.g_01551
OG0000449	Pras.g_01068	Prbf.g_01552
OG0000450	Pras.g_01069	Prbf.g_01553
OG0000451	Pras.g_01070	Prbf.g_01554
OG0000452	Pras.g_01073	Prbf.g_01557
OG0000453	Pras.g_01074	Prbf.g_01558
OG0000454	Pras.g_01075	Prbf.g_01559
OG0000455	Pras.g_01076	Prbf.g_01560
OG0000456	Pras.g_01077	Prbf.g_01561
OG0000457	Pras.g_01078	Prbf.g_01563
OG0000458	Pras.g_01079	Prbf.g_01564
OG0000459	Pras.g_01080	Prbf.g_01565
OG0000460	Pras.g_01087	Prbf.g_01573
OG0000461	Pras.g_01094	Prbf.g_01581
OG0000462	Pras.g_01096	Prbf.g_01583
OG0000463	Pras.g_01097	Prbf.g_01584
OG0000464	Pras.g_01098	Prbf.g_01585
OG0000465	Pras.g_01099	Prbf.g_01586
OG0000466	Pras.g_01102	Prbf.g_01589
OG0000467	Pras.g_01103	Prbf.g_01590
OG0000468	Pras.g_01105	Prbf.g_01593
OG0000469	Pras.g_01114	Prbf.g_01601
OG0000470	Pras.g_01116	Prbf.g_01603
OG0000471	Pras.g_01117	Prbf.g_01604
OG0000472	Pras.g_01118	Prbf.g_01606
OG0000473	Pras.g_01120	Prbf.g_01608
OG0000474	Pras.g_01121	Prbf.g_01609
OG0000475	Pras.g_01122	Prbf.g_01610
OG0000476	Pras.g_01123	Prbf.g_01612
OG0000477	Pras.g_01127	Prbf.g_01615
OG0000478	Pras.g_01128	Prbf.g_01616
OG0000479	Pras.g_01129	Prbf.g_01617
OG0000480	Pras.g_01134	Prbf.g_01622
OG0000481	Pras.g_01136	Prbf.g_01625
OG0000482	Pras.g_01137	Prbf.g_01626
OG0000483	Pras.g_01140	Prbf.g_01629
OG0000484	Pras.g_01141	Prbf.g_01630
OG0000485	Pras.g_01142	Prbf.g_01632
OG0000486	Pras.g_01143	Prbf.g_01633
OG0000487	Pras.g_01146	Prbf.g_01636
OG0000488	Pras.g_01149	Prbf.g_01639
OG0000489	Pras.g_01155	Prbf.g_01644
OG0000490	Pras.g_01160	Prbf.g_01648
OG0000491	Pras.g_01161	Prbf.g_01649
OG0000492	Pras.g_01163	Prbf.g_01651
OG0000493	Pras.g_01164	Prbf.g_01652
OG0000494	Pras.g_01165	Prbf.g_01653
OG0000495	Pras.g_01166	Prbf.g_01654
OG0000496	Pras.g_01167	Prbf.g_01655
OG0000497	Pras.g_01168	Prbf.g_01656
OG0000498	Pras.g_01169	Prbf.g_01657
OG0000499	Pras.g_01170	Prbf.g_01658
OG0000500	Pras.g_01171	Prbf.g_01659
OG0000501	Pras.g_01173	Prbf.g_01660
OG0000502	Pras.g_01176	Prbf.g_01663
OG0000503	Pras.g_01187	Prbf.g_01678
OG0000504	Pras.g_01188	Prbf.g_01680
OG0000505	Pras.g_01189	Prbf.g_01681
OG0000506	Pras.g_01191	Prbf.g_01682
OG0000507	Pras.g_01194	Prbf.g_01685
OG0000508	Pras.g_01198	Prbf.g_01689
OG0000509	Pras.g_01200	Prbf.g_01691
OG0000510	Pras.g_01201	Prbf.g_01692
OG0000511	Pras.g_01202	Prbf.g_01693
OG0000512	Pras.g_01204	Prbf.g_01695
OG0000513	Pras.g_01211	Prbf.g_01704
OG0000514	Pras.g_01309	Prbf.g_01715
OG0000515	Pras.g_01310	Prbf.g_01716
OG0000516	Pras.g_01311	Prbf.g_01717
OG0000517	Pras.g_01313	Prbf.g_01719
OG0000518	Pras.g_01324	Prbf.g_01730
OG0000519	Pras.g_01325	Prbf.g_01731
OG0000520	Pras.g_01326	Prbf.g_01732
OG0000521	Pras.g_01331	Prbf.g_01740
OG0000522	Pras.g_01332	Prbf.g_01742
OG0000523	Pras.g_01333	Prbf.g_01743
OG0000524	Pras.g_01339	Prbf.g_01748
OG0000525	Pras.g_01342	Prbf.g_01752
OG0000526	Pras.g_01343	Prbf.g_01753
OG0000527	Pras.g_01351	Prbf.g_01756
OG0000528	Pras.g_01356	Prbf.g_01761
OG0000529	Pras.g_01359	Prbf.g_01764
OG0000530	Pras.g_01362	Prbf.g_01767
OG0000531	Pras.g_01363	Prbf.g_01768
OG0000532	Pras.g_01365	Prbf.g_01770
OG0000533	Pras.g_01366	Prbf.g_01771
OG0000534	Pras.g_01367	Prbf.g_01772
OG0000535	Pras.g_01368	Prbf.g_01773
OG0000536	Pras.g_01369	Prbf.g_01774
OG0000537	Pras.g_01370	Prbf.g_01775
OG0000538	Pras.g_01378	Prbf.g_01784
OG0000539	Pras.g_01379	Prbf.g_01785
OG0000540	Pras.g_01380	Prbf.g_01786
OG0000541	Pras.g_01381	Prbf.g_01787
OG0000542	Pras.g_01383	Prbf.g_01788
OG0000543	Pras.g_01385	Prbf.g_01790
OG0000544	Pras.g_01386	Prbf.g_01791
OG0000545	Pras.g_01388	Prbf.g_01793
OG0000546	Pras.g_01391	Prbf.g_01796
OG0000547	Pras.g_01393	Prbf.g_01798
OG0000548	Pras.g_01394	Prbf.g_01799
OG0000549	Pras.g_01396	Prbf.g_01801
OG0000550	Pras.g_01401	Prbf.g_01805
OG0000551	Pras.g_01404	Prbf.g_01808
OG0000552	Pras.g_01405	Prbf.g_01809
OG0000553	Pras.g_01406	Prbf.g_01810
OG0000554	Pras.g_01411	Prbf.g_01815
OG0000555	Pras.g_01419	Prbf.g_01823
OG0000556	Pras.g_01421	Prbf.g_01825
