Orthogroup	Pras	Syap
OG0000059	Pras.g_00637	Syap.g_01082, Syap.g_02478
OG0000061	Pras.g_00056	Syap.g_00228
OG0000062	Pras.g_00431	Syap.g_01365
OG0000063	Pras.g_00875	Syap.g_01796
OG0000066	Pras.g_01416	Syap.g_01972
OG0000067	Pras.g_01701, Pras.g_00311	Syap.g_00194
OG0000068	Pras.g_00250	Syap.g_00108, Syap.g_00144
OG0000070	Pras.g_01328	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000072	Pras.g_01022	Syap.g_00555
OG0000073	Pras.g_01377	Syap.g_00273, Syap.g_01020
OG0000075	Pras.g_00719	Syap.g_01064, Syap.g_00664
OG0000076	Pras.g_00883, Pras.g_00743	Syap.g_01111
OG0000079	Pras.g_01104	Syap.g_01589
OG0000085	Pras.g_00543	Syap.g_00611
OG0000087	Pras.g_00990	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Pras.g_01017	Syap.g_01202
OG0000089	Pras.g_01209	Syap.g_00115, Syap.g_02042
OG0000090	Pras.g_01410	Syap.g_01451
OG0000091	Pras.g_01518	Syap.g_01861
OG0000094	Pras.g_01915	Syap.g_02781
OG0000095	Pras.g_01934	Syap.g_01556
OG0000098	Pras.g_00232	Syap.g_01975
OG0000099	Pras.g_00294	Syap.g_01385
OG0000101	Pras.g_00687	Syap.g_00472
OG0000102	Pras.g_00748	Syap.g_01116
OG0000103	Pras.g_00829	Syap.g_02607, Syap.g_02608
OG0000104	Pras.g_00838	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Pras.g_01126	Syap.g_01369, Syap.g_01368
OG0000107	Pras.g_01239	Syap.g_02496
OG0000108	Pras.g_01358	Syap.g_00733, Syap.g_02255
OG0000109	Pras.g_01372	Syap.g_00279, Syap.g_02237
OG0000110	Pras.g_01451	Syap.g_01313
OG0000111	Pras.g_01575	Syap.g_01566, Syap.g_01568
OG0000112	Pras.g_01665	Syap.g_02023
OG0000113	Pras.g_01723	Syap.g_02714
OG0000114	Pras.g_01801	Syap.g_01255
OG0000115	Pras.g_01994	Syap.g_02004
OG0000116	Pras.g_00046	Syap.g_00241
OG0000117	Pras.g_00150	Syap.g_01889
OG0000118	Pras.g_00221, Pras.g_00222	Syap.g_02286
OG0000120	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330	Syap.g_02075
OG0000121	Pras.g_00352	Syap.g_02471
OG0000123	Pras.g_00694	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Pras.g_00759	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Pras.g_00797	Syap.g_01046, Syap.g_01047
OG0000126	Pras.g_00837	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000128	Pras.g_00853	Syap.g_00069
OG0000129	Pras.g_00897	Syap.g_00130, Syap.g_00129
OG0000130	Pras.g_00921	Syap.g_01688, Syap.g_01689
OG0000131	Pras.g_00996	Syap.g_02189
OG0000132	Pras.g_01015	Syap.g_01205
OG0000133	Pras.g_01174	Syap.g_02017
OG0000134	Pras.g_01210	Syap.g_02047
OG0000135	Pras.g_01236	Syap.g_02090
OG0000136	Pras.g_01319	Syap.g_00089
OG0000137	Pras.g_01353	Syap.g_02756
OG0000138	Pras.g_01373	Syap.g_00278
OG0000139	Pras.g_01414	Syap.g_00410
OG0000140	Pras.g_01415	Syap.g_01976
OG0000141	Pras.g_01483	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Pras.g_01511	Syap.g_00895, Syap.g_00894
OG0000143	Pras.g_01515	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Pras.g_01528	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Pras.g_01664	Syap.g_01860, Syap.g_01859
OG0000146	Pras.g_01666	Syap.g_02024
OG0000147	Pras.g_01667	Syap.g_02025
OG0000148	Pras.g_01717	Syap.g_02720
OG0000149	Pras.g_01747	Syap.g_00824
OG0000150	Pras.g_01755	Syap.g_01540
OG0000151	Pras.g_01811	Syap.g_00142
OG0000152	Pras.g_01859	Syap.g_02012
OG0000153	Pras.g_01878	Syap.g_02682
OG0000154	Pras.g_01908	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Pras.g_00076	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Pras.g_00197	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Pras.g_00198	Syap.g_00249, Syap.g_00286
OG0000158	Pras.g_00289	Syap.g_01075
OG0000160	Pras.g_00351	Syap.g_02470, Syap.g_02469
OG0000161	Pras.g_00357	Syap.g_02476
OG0000162	Pras.g_00363	Syap.g_02531
OG0000164	Pras.g_00574	Syap.g_01391, Syap.g_01392
OG0000165	Pras.g_00581	Syap.g_01381, Syap.g_01382
OG0000166	Pras.g_00651	Syap.g_00512, Syap.g_01238
OG0000167	Pras.g_00717	Syap.g_02080
OG0000168	Pras.g_00727	Syap.g_01076
OG0000169	Pras.g_00737	Syap.g_01049, Syap.g_01093
OG0000170	Pras.g_00739	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Pras.g_00758	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Pras.g_00768	Syap.g_01143, Syap.g_00635
OG0000173	Pras.g_00783	Syap.g_00982, Syap.g_00983
OG0000174	Pras.g_00811, Pras.g_00810	Syap.g_02092
OG0000175	Pras.g_00821	Syap.g_02654
OG0000176	Pras.g_00846	Syap.g_00059
OG0000177	Pras.g_00847	Syap.g_00061, Syap.g_00060
OG0000178	Pras.g_00848	Syap.g_00062
OG0000179	Pras.g_00858	Syap.g_00077, Syap.g_02638
OG0000180	Pras.g_00859	Syap.g_00078, Syap.g_02640
OG0000181	Pras.g_00860	Syap.g_00079, Syap.g_02641
OG0000182	Pras.g_00861	Syap.g_00080, Syap.g_02642
OG0000183	Pras.g_00865	Syap.g_00084
OG0000184	Pras.g_00899	Syap.g_01337
OG0000185	Pras.g_00902	Syap.g_01322
OG0000186	Pras.g_00916	Syap.g_01684
OG0000187	Pras.g_00917	Syap.g_01686
OG0000188	Pras.g_00933	Syap.g_02547
OG0000191	Pras.g_00968	Syap.g_02233
OG0000192	Pras.g_00972	Syap.g_02224
OG0000193	Pras.g_00997	Syap.g_02187, Syap.g_02188
OG0000194	Pras.g_01000	Syap.g_02183
OG0000195	Pras.g_01002	Syap.g_02180
OG0000196	Pras.g_01012	Syap.g_01208, Syap.g_02167
OG0000197	Pras.g_01013	Syap.g_01207, Syap.g_02166
OG0000198	Pras.g_01014	Syap.g_01206
OG0000199	Pras.g_01021	Syap.g_01197
OG0000200	Pras.g_01035	Syap.g_01181
OG0000201	Pras.g_01043	Syap.g_02265
OG0000202	Pras.g_01044	Syap.g_02264
OG0000203	Pras.g_01045	Syap.g_01601
OG0000204	Pras.g_01046	Syap.g_01602
OG0000205	Pras.g_01053	Syap.g_01616
OG0000206	Pras.g_01058, Pras.g_01059	Syap.g_01628
OG0000207	Pras.g_01061	Syap.g_01426, Syap.g_00424
OG0000208	Pras.g_01062	Syap.g_00426, Syap.g_01425
OG0000209	Pras.g_01071	Syap.g_01906
OG0000210	Pras.g_01072	Syap.g_01905
OG0000211	Pras.g_01085	Syap.g_01160
OG0000212	Pras.g_01092	Syap.g_02664
OG0000213	Pras.g_01109	Syap.g_00107, Syap.g_01599
OG0000214	Pras.g_01119	Syap.g_02344, Syap.g_02345
OG0000215	Pras.g_01144	Syap.g_01347, Syap.g_01629
OG0000216	Pras.g_01145	Syap.g_01634
OG0000217	Pras.g_01148	Syap.g_01638
OG0000218	Pras.g_01150	Syap.g_01641, Syap.g_01640
OG0000219	Pras.g_01151	Syap.g_01642, Syap.g_01643
OG0000220	Pras.g_01152	Syap.g_01645
OG0000221	Pras.g_01153	Syap.g_01646
OG0000222	Pras.g_01162	Syap.g_01669
OG0000223	Pras.g_01175	Syap.g_02072, Syap.g_02073
OG0000224	Pras.g_01177	Syap.g_02064
OG0000225	Pras.g_01199	Syap.g_00553, Syap.g_00552
OG0000226	Pras.g_01203	Syap.g_02029, Syap.g_02144
OG0000227	Pras.g_01205	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Pras.g_01208	Syap.g_00116, Syap.g_02041
OG0000229	Pras.g_01314	Syap.g_02059
OG0000230	Pras.g_01316	Syap.g_02061
OG0000231	Pras.g_01327	Syap.g_02533
OG0000232	Pras.g_01335	Syap.g_02510, Syap.g_02511
OG0000233	Pras.g_01341	Syap.g_02133
OG0000234	Pras.g_01354	Syap.g_02755
OG0000235	Pras.g_01357	Syap.g_00732, Syap.g_02258
OG0000236	Pras.g_01371	Syap.g_02238
OG0000237	Pras.g_01384	Syap.g_00262, Syap.g_00263
OG0000238	Pras.g_01390	Syap.g_00257, Syap.g_00258
OG0000239	Pras.g_01402	Syap.g_02744
OG0000240	Pras.g_01403	Syap.g_02742
OG0000241	Pras.g_01407	Syap.g_00888
OG0000242	Pras.g_01409	Syap.g_01455
OG0000243	Pras.g_01420	Syap.g_01938
OG0000244	Pras.g_01423	Syap.g_01146, Syap.g_01145
OG0000245	Pras.g_01425	Syap.g_01148
OG0000246	Pras.g_01429	Syap.g_00308
OG0000247	Pras.g_01439	Syap.g_00288, Syap.g_00293
OG0000248	Pras.g_01441	Syap.g_00290
OG0000249	Pras.g_01443	Syap.g_01296, Syap.g_01295
OG0000250	Pras.g_01448	Syap.g_01306
OG0000251	Pras.g_01467	Syap.g_00442
OG0000252	Pras.g_01470	Syap.g_01857
OG0000253	Pras.g_01471	Syap.g_00443
OG0000254	Pras.g_01487	Syap.g_01527, Syap.g_01528
OG0000256	Pras.g_01503	Syap.g_01287
OG0000257	Pras.g_01506	Syap.g_00886
OG0000258	Pras.g_01519	Syap.g_00907
OG0000260	Pras.g_01539	Syap.g_01970
OG0000261	Pras.g_01541	Syap.g_01962, Syap.g_01961
OG0000262	Pras.g_00327, Pras.g_01545	Syap.g_01954
OG0000263	Pras.g_01557	Syap.g_00432, Syap.g_00433
OG0000266	Pras.g_01616	Syap.g_00519
OG0000267	Pras.g_01627	Syap.g_02333, Syap.g_02332
OG0000268	Pras.g_01628	Syap.g_00646
OG0000269	Pras.g_01696	Syap.g_00188
OG0000270	Pras.g_01699	Syap.g_00192
OG0000271	Pras.g_01707	Syap.g_00200, Syap.g_00201
OG0000272	Pras.g_01708	Syap.g_00202
OG0000273	Pras.g_01731	Syap.g_02703
OG0000274	Pras.g_01732	Syap.g_02702
OG0000275	Pras.g_01734	Syap.g_01847
OG0000276	Pras.g_01739	Syap.g_01838, Syap.g_01839
OG0000277	Pras.g_01740	Syap.g_01837
OG0000278	Pras.g_01743	Syap.g_01834
OG0000279	Pras.g_01750	Syap.g_00829, Syap.g_00830
OG0000280	Pras.g_01751	Syap.g_00365
OG0000281	Pras.g_01756	Syap.g_01977
OG0000282	Pras.g_01803	Syap.g_01252
OG0000283	Pras.g_01836	Syap.g_01728
OG0000284	Pras.g_01841	Syap.g_01736
OG0000285	Pras.g_01846	Syap.g_01746, Syap.g_01744
OG0000286	Pras.g_01858	Syap.g_02014, Syap.g_02013
OG0000288	Pras.g_01907	Syap.g_02764, Syap.g_02763
OG0000289	Pras.g_01918	Syap.g_02784
OG0000290	Pras.g_01931	Syap.g_01552
OG0000292	Pras.g_01982	Syap.g_02314
OG0000293	Pras.g_00047	Syap.g_00240
OG0000294	Pras.g_00048	Syap.g_00239
OG0000295	Pras.g_00068	Syap.g_00206
OG0000296	Pras.g_00070	Syap.g_00204
OG0000299	Pras.g_00096, Pras.g_00097	Syap.g_02620
OG0000302	Pras.g_00103	Syap.g_02444, Syap.g_02445
OG0000303	Pras.g_00110	Syap.g_02435
OG0000304	Pras.g_00114	Syap.g_02430
OG0000305	Pras.g_00242	Syap.g_01557
OG0000306	Pras.g_00245	Syap.g_01966
OG0000307	Pras.g_00259	Syap.g_02517
OG0000308	Pras.g_00260	Syap.g_02514, Syap.g_02515
OG0000309	Pras.g_00264	Syap.g_02198, Syap.g_02446
OG0000310	Pras.g_00335	Syap.g_02660, Syap.g_02661
OG0000311	Pras.g_00337	Syap.g_02657
OG0000312	Pras.g_00340	Syap.g_02114
OG0000313	Pras.g_00354	Syap.g_02473
OG0000315	Pras.g_00388	Syap.g_00017
OG0000316	Pras.g_00410	Syap.g_00030
OG0000317	Pras.g_00548	Syap.g_00618
OG0000318	Pras.g_00551	Syap.g_00622, Syap.g_02786
OG0000319	Pras.g_00564	Syap.g_01764, Syap.g_01771
OG0000320	Pras.g_00566	Syap.g_01761, Syap.g_01769
OG0000321	Pras.g_00567	Syap.g_01760, Syap.g_01768
OG0000322	Pras.g_00568	Syap.g_01759, Syap.g_01767
OG0000323	Pras.g_00577	Syap.g_01389
OG0000324	Pras.g_00604	Syap.g_01503
OG0000325	Pras.g_00614	Syap.g_02680
OG0000326	Pras.g_00620	Syap.g_00544
OG0000327	Pras.g_00646	Syap.g_01233, Syap.g_01913
OG0000328	Pras.g_00647	Syap.g_01234, Syap.g_01912
OG0000329	Pras.g_00664	Syap.g_00498
OG0000330	Pras.g_00665	Syap.g_00497
OG0000331	Pras.g_00666	Syap.g_00496
OG0000332	Pras.g_00680	Syap.g_00481
OG0000333	Pras.g_00682	Syap.g_00478
OG0000334	Pras.g_00690	Syap.g_00468
OG0000335	Pras.g_00695	Syap.g_00101, Syap.g_00463
OG0000336	Pras.g_00699	Syap.g_00417, Syap.g_00607
OG0000337	Pras.g_00715	Syap.g_01054
OG0000338	Pras.g_00716	Syap.g_01059
OG0000339	Pras.g_00720	Syap.g_01068
OG0000340	Pras.g_00728	Syap.g_01077
OG0000341	Pras.g_00730	Syap.g_01079
OG0000342	Pras.g_00731	Syap.g_01080, Syap.g_02477
OG0000343	Pras.g_00732	Syap.g_01086, Syap.g_02078
OG0000344	Pras.g_00735	Syap.g_01091
OG0000345	Pras.g_00740	Syap.g_01107, Syap.g_01470
OG0000346	Pras.g_00744	Syap.g_01113
OG0000347	Pras.g_00761	Syap.g_01131, Syap.g_02459
OG0000348	Pras.g_00771	Syap.g_00632
OG0000349	Pras.g_00788	Syap.g_00110, Syap.g_01813
OG0000351	Pras.g_00824	Syap.g_02594
OG0000352	Pras.g_00825	Syap.g_02596, Syap.g_02597
OG0000353	Pras.g_00841	Syap.g_00054
OG0000355	Pras.g_00843	Syap.g_00056
OG0000356	Pras.g_00844	Syap.g_00057
OG0000357	Pras.g_00845	Syap.g_00058
OG0000358	Pras.g_00849	Syap.g_00063
OG0000359	Pras.g_00850	Syap.g_00065
OG0000360	Pras.g_00851	Syap.g_00067
OG0000361	Pras.g_00852	Syap.g_00068
OG0000362	Pras.g_00854	Syap.g_00070
OG0000363	Pras.g_00856	Syap.g_00072
OG0000364	Pras.g_00857	Syap.g_00620
OG0000365	Pras.g_00862	Syap.g_00081
OG0000366	Pras.g_00863	Syap.g_00082
OG0000367	Pras.g_00864	Syap.g_00083
OG0000368	Pras.g_00866	Syap.g_00085
OG0000369	Pras.g_00867	Syap.g_00086
OG0000370	Pras.g_00868	Syap.g_00087
OG0000372	Pras.g_00877	Syap.g_01805
OG0000373	Pras.g_00878	Syap.g_01806
OG0000374	Pras.g_00879	Syap.g_01807
OG0000375	Pras.g_00893	Syap.g_01808
OG0000376	Pras.g_00895	Syap.g_01811
OG0000377	Pras.g_00898	Syap.g_00128
OG0000378	Pras.g_00900	Syap.g_01326
OG0000380	Pras.g_00918	Syap.g_01687
OG0000381	Pras.g_00922	Syap.g_01690
OG0000382	Pras.g_00932	Syap.g_02548
OG0000383	Pras.g_00934	Syap.g_02359
OG0000384	Pras.g_00935	Syap.g_02360
OG0000385	Pras.g_00936	Syap.g_02361
OG0000386	Pras.g_00937	Syap.g_02362
OG0000387	Pras.g_00950	Syap.g_01864
OG0000391	Pras.g_00967	Syap.g_02234
OG0000392	Pras.g_00971	Syap.g_02225
OG0000393	Pras.g_00973	Syap.g_02222
OG0000394	Pras.g_00974	Syap.g_02221
OG0000395	Pras.g_00975	Syap.g_02220
OG0000396	Pras.g_00978	Syap.g_02217
OG0000397	Pras.g_00980	Syap.g_02215
OG0000398	Pras.g_00982	Syap.g_02211
OG0000399	Pras.g_00983	Syap.g_02210
OG0000400	Pras.g_00984	Syap.g_02209
OG0000401	Pras.g_00985	Syap.g_02208
OG0000402	Pras.g_00987	Syap.g_02206
OG0000403	Pras.g_00988	Syap.g_02205
OG0000404	Pras.g_00989	Syap.g_02204, Syap.g_02618
OG0000405	Pras.g_00993	Syap.g_02191
OG0000406	Pras.g_00998	Syap.g_02186
OG0000407	Pras.g_00999	Syap.g_02185
OG0000408	Pras.g_01001	Syap.g_02181, Syap.g_02182
OG0000409	Pras.g_01003	Syap.g_02179
OG0000410	Pras.g_01004	Syap.g_02178
OG0000411	Pras.g_01005	Syap.g_02177
OG0000412	Pras.g_01006	Syap.g_02176
OG0000413	Pras.g_01007	Syap.g_02174
OG0000414	Pras.g_01008	Syap.g_02173
OG0000415	Pras.g_01009	Syap.g_02172
OG0000416	Pras.g_01010	Syap.g_02171
OG0000417	Pras.g_01011	Syap.g_02169
OG0000418	Pras.g_01016	Syap.g_01204
OG0000419	Pras.g_01018	Syap.g_01201
OG0000420	Pras.g_01019	Syap.g_01199
OG0000421	Pras.g_01024	Syap.g_01195
OG0000422	Pras.g_01025	Syap.g_01194
OG0000423	Pras.g_01026	Syap.g_01193
OG0000424	Pras.g_01027	Syap.g_01192
OG0000425	Pras.g_01028	Syap.g_01191
OG0000426	Pras.g_01029	Syap.g_01190
OG0000427	Pras.g_01030	Syap.g_01189
OG0000428	Pras.g_01032	Syap.g_01186
OG0000429	Pras.g_01033	Syap.g_01184
OG0000430	Pras.g_01034	Syap.g_01182
OG0000431	Pras.g_01036	Syap.g_01179
OG0000432	Pras.g_01039	Syap.g_02277
OG0000433	Pras.g_01040	Syap.g_02272
OG0000434	Pras.g_01041	Syap.g_02271
OG0000435	Pras.g_01042	Syap.g_02268
OG0000436	Pras.g_01047	Syap.g_01607
OG0000437	Pras.g_01048	Syap.g_01608
OG0000438	Pras.g_01049	Syap.g_01612
OG0000439	Pras.g_01051	Syap.g_01614
OG0000440	Pras.g_01052	Syap.g_01615
OG0000441	Pras.g_01055	Syap.g_01619
OG0000442	Pras.g_01056	Syap.g_01620
OG0000443	Pras.g_01057	Syap.g_01622
OG0000444	Pras.g_01063	Syap.g_01424
OG0000445	Pras.g_01064	Syap.g_01421
OG0000446	Pras.g_01065	Syap.g_01419
OG0000447	Pras.g_01066	Syap.g_01410
OG0000448	Pras.g_01067	Syap.g_01407
OG0000449	Pras.g_01068	Syap.g_01406
OG0000450	Pras.g_01069	Syap.g_01909
OG0000451	Pras.g_01070	Syap.g_01908
OG0000452	Pras.g_01073	Syap.g_01904
OG0000453	Pras.g_01074	Syap.g_01903
OG0000454	Pras.g_01075	Syap.g_01902
OG0000455	Pras.g_01076	Syap.g_01901
OG0000456	Pras.g_01077	Syap.g_01900
OG0000457	Pras.g_01078	Syap.g_01896
OG0000458	Pras.g_01079	Syap.g_01895
OG0000459	Pras.g_01080	Syap.g_01894
OG0000460	Pras.g_01087	Syap.g_01159
OG0000461	Pras.g_01094	Syap.g_01575
OG0000462	Pras.g_01096	Syap.g_01578
OG0000463	Pras.g_01097	Syap.g_01579
OG0000464	Pras.g_01098	Syap.g_01580
OG0000465	Pras.g_01099	Syap.g_01582
OG0000466	Pras.g_01102	Syap.g_01587
OG0000467	Pras.g_01103	Syap.g_01588
OG0000468	Pras.g_01105	Syap.g_01593
OG0000469	Pras.g_01114	Syap.g_02352
OG0000470	Pras.g_01116	Syap.g_02349
OG0000471	Pras.g_01117	Syap.g_02348
OG0000472	Pras.g_01118	Syap.g_02347
OG0000473	Pras.g_01120	Syap.g_02343
OG0000474	Pras.g_01121	Syap.g_02342
OG0000475	Pras.g_01122	Syap.g_02341
OG0000476	Pras.g_01123	Syap.g_02339
OG0000477	Pras.g_01127	Syap.g_01367
OG0000478	Pras.g_01128	Syap.g_01366
OG0000479	Pras.g_01129	Syap.g_01364
OG0000480	Pras.g_01134	Syap.g_01357
OG0000482	Pras.g_01137	Syap.g_01355
OG0000483	Pras.g_01140	Syap.g_01344
OG0000484	Pras.g_01141	Syap.g_01350
OG0000485	Pras.g_01142	Syap.g_01349
OG0000487	Pras.g_01146	Syap.g_01635
OG0000488	Pras.g_01149	Syap.g_01639
OG0000489	Pras.g_01155	Syap.g_02482
OG0000490	Pras.g_01160	Syap.g_01673
OG0000491	Pras.g_01161	Syap.g_01670
OG0000492	Pras.g_01163	Syap.g_01668
OG0000493	Pras.g_01164	Syap.g_01667
OG0000494	Pras.g_01165	Syap.g_01666
OG0000495	Pras.g_01166	Syap.g_01665
OG0000496	Pras.g_01167	Syap.g_01663
OG0000497	Pras.g_01168	Syap.g_01662
OG0000498	Pras.g_01169	Syap.g_01661
OG0000499	Pras.g_01170	Syap.g_01660
OG0000500	Pras.g_01171	Syap.g_01659
OG0000501	Pras.g_01173	Syap.g_01656
OG0000502	Pras.g_01176	Syap.g_02066
OG0000503	Pras.g_01187	Syap.g_00569
OG0000504	Pras.g_01188	Syap.g_00567
OG0000505	Pras.g_01189	Syap.g_00566
OG0000506	Pras.g_01191	Syap.g_00564
OG0000507	Pras.g_01194	Syap.g_00558
OG0000508	Pras.g_01198	Syap.g_00554
OG0000509	Pras.g_01200	Syap.g_00551
OG0000510	Pras.g_01201	Syap.g_00550
OG0000511	Pras.g_01202	Syap.g_00548
OG0000512	Pras.g_01204	Syap.g_02145
OG0000513	Pras.g_01211	Syap.g_02048
OG0000514	Pras.g_01309	Syap.g_02051
OG0000515	Pras.g_01310	Syap.g_02052
OG0000516	Pras.g_01311	Syap.g_02054
OG0000517	Pras.g_01313	Syap.g_02057
OG0000519	Pras.g_01325	Syap.g_00457
OG0000520	Pras.g_01326	Syap.g_00456
OG0000521	Pras.g_01331	Syap.g_01997
OG0000522	Pras.g_01332	Syap.g_01995
OG0000523	Pras.g_01333	Syap.g_02507
OG0000524	Pras.g_01339	Syap.g_02135
OG0000525	Pras.g_01342	Syap.g_02159
OG0000526	Pras.g_01343	Syap.g_02157
OG0000527	Pras.g_01351	Syap.g_02758
OG0000528	Pras.g_01356	Syap.g_02261
OG0000529	Pras.g_01359	Syap.g_02254
OG0000530	Pras.g_01362	Syap.g_02252
OG0000531	Pras.g_01363	Syap.g_02251
OG0000532	Pras.g_01365	Syap.g_02247
OG0000533	Pras.g_01366	Syap.g_02244
OG0000534	Pras.g_01367	Syap.g_02243
OG0000535	Pras.g_01368	Syap.g_02242
OG0000536	Pras.g_01369	Syap.g_02241
OG0000537	Pras.g_01370	Syap.g_02240
OG0000538	Pras.g_01378	Syap.g_00271
OG0000539	Pras.g_01379	Syap.g_00270
OG0000540	Pras.g_01380	Syap.g_00269
OG0000541	Pras.g_01381	Syap.g_00268
OG0000542	Pras.g_01383	Syap.g_00264
OG0000543	Pras.g_01385	Syap.g_00261
OG0000544	Pras.g_01386	Syap.g_00260
OG0000545	Pras.g_01388	Syap.g_00259
OG0000546	Pras.g_01391	Syap.g_00256
OG0000547	Pras.g_01393	Syap.g_00254
OG0000548	Pras.g_01394	Syap.g_00253
OG0000549	Pras.g_01396	Syap.g_00758
OG0000550	Pras.g_01401	Syap.g_02747
OG0000551	Pras.g_01404	Syap.g_02739
OG0000552	Pras.g_01405	Syap.g_02738
OG0000553	Pras.g_01406	Syap.g_02735
OG0000554	Pras.g_01411	Syap.g_01450
OG0000555	Pras.g_01419	Syap.g_01941
OG0000556	Pras.g_01421	Syap.g_01933
OG0000557	Pras.g_01422	Syap.g_01931
OG0000558	Pras.g_01424	Syap.g_01147
OG0000560	Pras.g_01431	Syap.g_00305
OG0000561	Pras.g_01432	Syap.g_00304
OG0000562	Pras.g_01433	Syap.g_00302
OG0000563	Pras.g_01434	Syap.g_00301
OG0000564	Pras.g_01435	Syap.g_00300
OG0000565	Pras.g_01438	Syap.g_00296
OG0000566	Pras.g_01440	Syap.g_00291
OG0000567	Pras.g_01444	Syap.g_01297
OG0000568	Pras.g_01445	Syap.g_01302
OG0000569	Pras.g_01446	Syap.g_01303
OG0000570	Pras.g_01447	Syap.g_01304
OG0000571	Pras.g_01449	Syap.g_01307
OG0000573	Pras.g_01468	Syap.g_00765
OG0000574	Pras.g_01469	Syap.g_00759
OG0000575	Pras.g_01473	Syap.g_00445
OG0000576	Pras.g_01475	Syap.g_00450
OG0000577	Pras.g_01476	Syap.g_00451
OG0000578	Pras.g_01477	Syap.g_00452
OG0000579	Pras.g_01478	Syap.g_00453
OG0000580	Pras.g_01479	Syap.g_00454
OG0000581	Pras.g_01481	Syap.g_01521
OG0000582	Pras.g_01484	Syap.g_01533
OG0000583	Pras.g_01485	Syap.g_01532
OG0000584	Pras.g_01486	Syap.g_01530
OG0000585	Pras.g_01488	Syap.g_01526
OG0000586	Pras.g_01489	Syap.g_01525
OG0000587	Pras.g_01490	Syap.g_01523
OG0000588	Pras.g_01494	Syap.g_00776
OG0000589	Pras.g_01497	Syap.g_00941
OG0000590	Pras.g_01498	Syap.g_00940
OG0000591	Pras.g_01501	Syap.g_01289
OG0000592	Pras.g_01502	Syap.g_01288
OG0000593	Pras.g_01508	Syap.g_00890
OG0000594	Pras.g_01509	Syap.g_00891
OG0000595	Pras.g_01510	Syap.g_00892
OG0000596	Pras.g_01514	Syap.g_00898
OG0000597	Pras.g_01516	Syap.g_00903
OG0000598	Pras.g_01517	Syap.g_00904
OG0000599	Pras.g_01520	Syap.g_00908
OG0000600	Pras.g_01521	Syap.g_00909
OG0000601	Pras.g_01522	Syap.g_00910
OG0000602	Pras.g_01524	Syap.g_00640
