Orthogroup	Pras	Syad
OG0000406	Pras.g_00998	Syad.g_02878
OG0000407	Pras.g_00999	Syad.g_02879
OG0000408	Pras.g_01001	Syad.g_02883
OG0000409	Pras.g_01003	Syad.g_02885
OG0000410	Pras.g_01004	Syad.g_02886
OG0000411	Pras.g_01005	Syad.g_02887
OG0000412	Pras.g_01006	Syad.g_02888
OG0000413	Pras.g_01007	Syad.g_02890
OG0000415	Pras.g_01009	Syad.g_02891
OG0000416	Pras.g_01010	Syad.g_02892
OG0000417	Pras.g_01011	Syad.g_02893
OG0000418	Pras.g_01016	Syad.g_02898
OG0000419	Pras.g_01018	Syad.g_02900
OG0000420	Pras.g_01019	Syad.g_02902
OG0000421	Pras.g_01024	Syad.g_02907
OG0000422	Pras.g_01025	Syad.g_02908
OG0000423	Pras.g_01026	Syad.g_02909
OG0000424	Pras.g_01027	Syad.g_02910
OG0000425	Pras.g_01028	Syad.g_02911
OG0000426	Pras.g_01029	Syad.g_02912
OG0000427	Pras.g_01030	Syad.g_02913
OG0000428	Pras.g_01032	Syad.g_02916
OG0000429	Pras.g_01033	Syad.g_02918
OG0000430	Pras.g_01034	Syad.g_02920
OG0000431	Pras.g_01036	Syad.g_02923
OG0000432	Pras.g_01039	Syad.g_02930
OG0000433	Pras.g_01040	Syad.g_02933
OG0000434	Pras.g_01041	Syad.g_02934
OG0000435	Pras.g_01042	Syad.g_02936
OG0000436	Pras.g_01047	Syad.g_02942
OG0000437	Pras.g_01048	Syad.g_02943
OG0000438	Pras.g_01049	Syad.g_02944
OG0000439	Pras.g_01051	Syad.g_02946
OG0000440	Pras.g_01052	Syad.g_02947
OG0000441	Pras.g_01055	Syad.g_02951
OG0000442	Pras.g_01056	Syad.g_02952
OG0000443	Pras.g_01057	Syad.g_02953
OG0000444	Pras.g_01063	Syad.g_02964
OG0000445	Pras.g_01064	Syad.g_02965
OG0000446	Pras.g_01065	Syad.g_02967
OG0000447	Pras.g_01066	Syad.g_02970
OG0000448	Pras.g_01067	Syad.g_02971
OG0000449	Pras.g_01068	Syad.g_02972
OG0000450	Pras.g_01069	Syad.g_02978
OG0000451	Pras.g_01070	Syad.g_02979
OG0000452	Pras.g_01073	Syad.g_02983
OG0000453	Pras.g_01074	Syad.g_02984
OG0000454	Pras.g_01075	Syad.g_02985
OG0000455	Pras.g_01076	Syad.g_02986
OG0000456	Pras.g_01077	Syad.g_02987
OG0000457	Pras.g_01078	Syad.g_02989
OG0000458	Pras.g_01079	Syad.g_02998
OG0000459	Pras.g_01080	Syad.g_02999
OG0000460	Pras.g_01087	Syad.g_00815
OG0000461	Pras.g_01094	Syad.g_00579
OG0000462	Pras.g_01096	Syad.g_00576
OG0000463	Pras.g_01097	Syad.g_00575
OG0000464	Pras.g_01098	Syad.g_00574
OG0000465	Pras.g_01099	Syad.g_00573
OG0000466	Pras.g_01102	Syad.g_00568
OG0000467	Pras.g_01103	Syad.g_00566
OG0000468	Pras.g_01105	Syad.g_00561
OG0000469	Pras.g_01114	Syad.g_00545
OG0000470	Pras.g_01116	Syad.g_00542
OG0000471	Pras.g_01117	Syad.g_00541
OG0000472	Pras.g_01118	Syad.g_00539
OG0000473	Pras.g_01120	Syad.g_00537
OG0000474	Pras.g_01121	Syad.g_00536
OG0000475	Pras.g_01122	Syad.g_00535
OG0000476	Pras.g_01123	Syad.g_00533
OG0000477	Pras.g_01127	Syad.g_00528
OG0000478	Pras.g_01128	Syad.g_00527
OG0000479	Pras.g_01129	Syad.g_00526
OG0000480	Pras.g_01134	Syad.g_00520
OG0000481	Pras.g_01136	Syad.g_00518
OG0000482	Pras.g_01137	Syad.g_00517
OG0000483	Pras.g_01140	Syad.g_00513
OG0000484	Pras.g_01141	Syad.g_00512
OG0000485	Pras.g_01142	Syad.g_00511
OG0000486	Pras.g_01143	Syad.g_00510
OG0000487	Pras.g_01146	Syad.g_00503
OG0000488	Pras.g_01149	Syad.g_00499
OG0000489	Pras.g_01155	Syad.g_00487
OG0000490	Pras.g_01160	Syad.g_00475
OG0000491	Pras.g_01161	Syad.g_00474
OG0000492	Pras.g_01163	Syad.g_00472
OG0000493	Pras.g_01164	Syad.g_00471
OG0000494	Pras.g_01165	Syad.g_00470
OG0000495	Pras.g_01166	Syad.g_00469
OG0000496	Pras.g_01167	Syad.g_00468
OG0000497	Pras.g_01168	Syad.g_00467
OG0000498	Pras.g_01169	Syad.g_00466
OG0000499	Pras.g_01170	Syad.g_00465
OG0000500	Pras.g_01171	Syad.g_00464
OG0000501	Pras.g_01173	Syad.g_00461
OG0000502	Pras.g_01176	Syad.g_00449
OG0000503	Pras.g_01187	Syad.g_00761
OG0000504	Pras.g_01188	Syad.g_00763
OG0000505	Pras.g_01189	Syad.g_00764
OG0000506	Pras.g_01191	Syad.g_00766
OG0000507	Pras.g_01194	Syad.g_00772
OG0000508	Pras.g_01198	Syad.g_00776
OG0000509	Pras.g_01200	Syad.g_00778
OG0000510	Pras.g_01201	Syad.g_00779
OG0000511	Pras.g_01202	Syad.g_00780
OG0000512	Pras.g_01204	Syad.g_00782
OG0000513	Pras.g_01211	Syad.g_00789
OG0000514	Pras.g_01309	Syad.g_00795
OG0000515	Pras.g_01310	Syad.g_00796
OG0000516	Pras.g_01311	Syad.g_02456
OG0000517	Pras.g_01313	Syad.g_02451
OG0000518	Pras.g_01324	Syad.g_02439
OG0000519	Pras.g_01325	Syad.g_02438
OG0000520	Pras.g_01326	Syad.g_02437
OG0000521	Pras.g_01331	Syad.g_01108
OG0000522	Pras.g_01332	Syad.g_01109
OG0000523	Pras.g_01333	Syad.g_01110
OG0000524	Pras.g_01339	Syad.g_02386
OG0000525	Pras.g_01342	Syad.g_02363
OG0000526	Pras.g_01343	Syad.g_02360
OG0000527	Pras.g_01351	Syad.g_02355
OG0000528	Pras.g_01356	Syad.g_00897
OG0000529	Pras.g_01359	Syad.g_00905
OG0000530	Pras.g_01362	Syad.g_00908
OG0000531	Pras.g_01363	Syad.g_00909
OG0000532	Pras.g_01365	Syad.g_00912
OG0000533	Pras.g_01366	Syad.g_00913
OG0000534	Pras.g_01367	Syad.g_00914
OG0000535	Pras.g_01368	Syad.g_00915
OG0000536	Pras.g_01369	Syad.g_00916
OG0000537	Pras.g_01370	Syad.g_00917
OG0000538	Pras.g_01378	Syad.g_00929
OG0000539	Pras.g_01379	Syad.g_00930
OG0000540	Pras.g_01380	Syad.g_00931
OG0000541	Pras.g_01381	Syad.g_00932
OG0000542	Pras.g_01383	Syad.g_00935
OG0000543	Pras.g_01385	Syad.g_00937
OG0000544	Pras.g_01386	Syad.g_00938
OG0000545	Pras.g_01388	Syad.g_00940
OG0000546	Pras.g_01391	Syad.g_00942
OG0000547	Pras.g_01393	Syad.g_00944
OG0000548	Pras.g_01394	Syad.g_00945
OG0000549	Pras.g_01396	Syad.g_00952
OG0000550	Pras.g_01401	Syad.g_00956
OG0000551	Pras.g_01404	Syad.g_00960
OG0000552	Pras.g_01405	Syad.g_00961
OG0000553	Pras.g_01406	Syad.g_00965
OG0000554	Pras.g_01411	Syad.g_00978
OG0000555	Pras.g_01419	Syad.g_00999
OG0000556	Pras.g_01421	Syad.g_01003
OG0000557	Pras.g_01422	Syad.g_01011
OG0000558	Pras.g_01424	Syad.g_01013
OG0000559	Pras.g_01428	Syad.g_01016
OG0000560	Pras.g_01431	Syad.g_01019
OG0000561	Pras.g_01432	Syad.g_01020
OG0000562	Pras.g_01433	Syad.g_01021
OG0000563	Pras.g_01434	Syad.g_01022
OG0000564	Pras.g_01435	Syad.g_01023
OG0000565	Pras.g_01438	Syad.g_01027
OG0000566	Pras.g_01440	Syad.g_01031
OG0000567	Pras.g_01444	Syad.g_01035
OG0000568	Pras.g_01445	Syad.g_01040
OG0000569	Pras.g_01446	Syad.g_01041
OG0000570	Pras.g_01447	Syad.g_01042
OG0000571	Pras.g_01449	Syad.g_01046
OG0000572	Pras.g_01463	Syad.g_01064
OG0000573	Pras.g_01468	Syad.g_01072
OG0000574	Pras.g_01469	Syad.g_01077
OG0000575	Pras.g_01473	Syad.g_01083
OG0000576	Pras.g_01475	Syad.g_01085
OG0000577	Pras.g_01476	Syad.g_01086
OG0000578	Pras.g_01477	Syad.g_01087
OG0000579	Pras.g_01478	Syad.g_01088
OG0000580	Pras.g_01479	Syad.g_01089
OG0000581	Pras.g_01481	Syad.g_01097
OG0000582	Pras.g_01484	Syad.g_02206
OG0000583	Pras.g_01485	Syad.g_02205
OG0000584	Pras.g_01486	Syad.g_02204
OG0000585	Pras.g_01488	Syad.g_02202
