Orthogroup	Syag	Syat
OG0000088	Syag.g_01974	Syat.g_02862
OG0000089	Syag.g_00005	Syat.g_02953
OG0000090	Syag.g_01454	Syat.g_03270
OG0000091	Syag.g_00418	Syat.g_00939, Syat.g_00862
OG0000092	Syag.g_00242	Syat.g_00825
OG0000094	Syag.g_00881	Syat.g_00698
OG0000095	Syag.g_00974	Syat.g_00808
OG0000098	Syag.g_00578, Syag.g_01445	Syat.g_03281
OG0000099	Syag.g_02536	Syat.g_02130
OG0000100	Syag.g_00704	Syat.g_00517
OG0000102	Syag.g_02387	Syat.g_00974
OG0000103	Syag.g_02253	Syat.g_02399
OG0000104	Syag.g_02268	Syat.g_02385
OG0000105	Syag.g_02606	Syat.g_02052
OG0000106	Syag.g_00462	Syat.g_00957
OG0000107	Syag.g_02689	Syat.g_01862
OG0000108	Syag.g_01528	Syat.g_03170
OG0000109	Syag.g_01512	Syat.g_03187
OG0000110	Syag.g_00303	Syat.g_00049
OG0000111	Syag.g_00984	Syat.g_00816
OG0000112	Syag.g_00801	Syat.g_00593
OG0000113	Syag.g_00699	Syat.g_00509
OG0000114	Syag.g_00609	Syat.g_00426
OG0000115	Syag.g_01397	Syat.g_01328
OG0000116	Syag.g_01156	Syat.g_02641
OG0000117	Syag.g_01097	Syat.g_00224
OG0000118	Syag.g_01232	Syat.g_01168
OG0000120	Syag.g_02535	Syat.g_02132
OG0000121	Syag.g_01414	Syat.g_01223
OG0000123	Syag.g_02781	Syat.g_01653
OG0000124	Syag.g_02367	Syat.g_02231
OG0000125	Syag.g_02136, Syag.g_02134	Syat.g_02684
OG0000126	Syag.g_02266	Syat.g_00976
OG0000128	Syag.g_02284	Syat.g_02331
OG0000129	Syag.g_02121	Syat.g_02693, Syat.g_02694
OG0000130	Syag.g_01819	Syat.g_01469
OG0000131	Syag.g_01951	Syat.g_02898
OG0000132	Syag.g_01972	Syat.g_02864
OG0000133	Syag.g_00806	Syat.g_00588
OG0000134	Syag.g_00008	Syat.g_02956
OG0000135	Syag.g_02171	Syat.g_02501
OG0000136	Syag.g_00038	Syat.g_01292
OG0000137	Syag.g_01356	Syat.g_01371
OG0000138	Syag.g_01511	Syat.g_03188
OG0000139	Syag.g_01448	Syat.g_03276
OG0000140	Syag.g_01446	Syat.g_03280
OG0000141	Syag.g_00351	Syat.g_03398
OG0000142	Syag.g_00410	Syat.g_00117
OG0000143	Syag.g_00414	Syat.g_00130
OG0000144	Syag.g_00493	Syat.g_00369
OG0000145	Syag.g_01504	Syat.g_03202
OG0000146	Syag.g_00800	Syat.g_00594
OG0000147	Syag.g_00799	Syat.g_00595
OG0000148	Syag.g_00693	Syat.g_00503
OG0000149	Syag.g_00731	Syat.g_00747
OG0000150	Syag.g_00352	Syat.g_03399
OG0000151	Syag.g_00623	Syat.g_00801, Syat.g_00440
OG0000152	Syag.g_00810	Syat.g_00578
OG0000153	Syag.g_00845	Syat.g_00542
OG0000154	Syag.g_00870	Syat.g_00708
OG0000155	Syag.g_01107	Syat.g_00287
OG0000156	Syag.g_01166	Syat.g_03228
OG0000157	Syag.g_01167	Syat.g_02012, Syat.g_03227
OG0000158	Syag.g_02422	Syat.g_02163
OG0000160	Syag.g_01415	Syat.g_01224
OG0000161	Syag.g_01409	Syat.g_01180
OG0000162	Syag.g_01402	Syat.g_01281
OG0000163	Syag.g_00706, Syag.g_01618	Syat.g_02979
OG0000164	Syag.g_01725	Syat.g_03040
OG0000165	Syag.g_01733	Syat.g_03033
OG0000166	Syag.g_02733	Syat.g_01822
OG0000167	Syag.g_02437	Syat.g_02148
OG0000168	Syag.g_02417	Syat.g_02164
OG0000169	Syag.g_02405	Syat.g_02192
OG0000170	Syag.g_02398	Syat.g_02201
OG0000171	Syag.g_02368	Syat.g_02230
OG0000172	Syag.g_02360	Syat.g_02260
OG0000173	Syag.g_02337	Syat.g_02284
OG0000174	Syag.g_02175	Syat.g_02504
OG0000175	Syag.g_02240	Syat.g_02416
OG0000176	Syag.g_02276	Syat.g_02372
OG0000177	Syag.g_02277	Syat.g_02338
OG0000178	Syag.g_02278	Syat.g_02337
OG0000179	Syag.g_02293	Syat.g_02322
OG0000180	Syag.g_02294	Syat.g_02321
OG0000181	Syag.g_02295	Syat.g_02320
OG0000182	Syag.g_02296	Syat.g_02319
OG0000183	Syag.g_02300	Syat.g_02315
OG0000184	Syag.g_02110	Syat.g_02704
OG0000185	Syag.g_02092	Syat.g_02719
OG0000186	Syag.g_01815	Syat.g_01463
OG0000187	Syag.g_01816	Syat.g_01467
OG0000188	Syag.g_01839	Syat.g_01489
OG0000189	Syag.g_01872	Syat.g_00386, Syat.g_01557
OG0000190	Syag.g_01874	Syat.g_00330
OG0000191	Syag.g_01909	Syat.g_03344, Syat.g_02939
OG0000192	Syag.g_01915	Syat.g_02933
OG0000193	Syag.g_01952	Syat.g_02897
OG0000194	Syag.g_01955	Syat.g_02894
OG0000195	Syag.g_01957	Syat.g_02892
OG0000196	Syag.g_01968	Syat.g_02867
OG0000197	Syag.g_01969	Syat.g_02866
OG0000198	Syag.g_00108, Syag.g_01971	Syat.g_02865
OG0000199	Syag.g_01979	Syat.g_02857
OG0000200	Syag.g_01996	Syat.g_02840
OG0000201	Syag.g_02023	Syat.g_02821
OG0000202	Syag.g_02024	Syat.g_02820
OG0000203	Syag.g_02025	Syat.g_02819
OG0000204	Syag.g_02020, Syag.g_02026	Syat.g_02818
OG0000205	Syag.g_02035	Syat.g_02809
OG0000206	Syag.g_02047	Syat.g_02785
OG0000207	Syag.g_02051	Syat.g_02778
OG0000208	Syag.g_02052	Syat.g_02777
OG0000209	Syag.g_02069	Syat.g_02735
OG0000210	Syag.g_02070	Syat.g_02734
OG0000211	Syag.g_01788	Syat.g_01452
OG0000212	Syag.g_01777	Syat.g_01442
OG0000213	Syag.g_02632	Syat.g_01889
OG0000214	Syag.g_02615	Syat.g_02042
OG0000215	Syag.g_02584	Syat.g_02075
OG0000216	Syag.g_02580	Syat.g_02079
OG0000217	Syag.g_02576	Syat.g_02085
OG0000218	Syag.g_02574	Syat.g_02087
OG0000219	Syag.g_02573	Syat.g_02088
OG0000220	Syag.g_02572	Syat.g_02089
OG0000221	Syag.g_02566	Syat.g_02095
OG0000222	Syag.g_02550	Syat.g_02109
OG0000223	Syag.g_02475	Syat.g_02570
OG0000224	Syag.g_02471	Syat.g_02139
OG0000225	Syag.g_02861	Syat.g_01595
OG0000226	Syag.g_02865	Syat.g_01588
OG0000228	Syag.g_00004	Syat.g_02952
OG0000229	Syag.g_00033	Syat.g_02970
OG0000230	Syag.g_00035	Syat.g_02972
OG0000231	Syag.g_00048	Syat.g_01283
OG0000232	Syag.g_00059	Syat.g_01313
OG0000233	Syag.g_01330	Syat.g_01407
OG0000234	Syag.g_01358	Syat.g_01369
OG0000235	Syag.g_01529	Syat.g_03169
OG0000236	Syag.g_01513	Syat.g_03186
OG0000237	Syag.g_01495	Syat.g_03214
OG0000238	Syag.g_01490	Syat.g_03219
OG0000239	Syag.g_01472	Syat.g_01105
OG0000240	Syag.g_01471	Syat.g_01104
OG0000241	Syag.g_00396	Syat.g_00111
OG0000242	Syag.g_01456	Syat.g_01077
OG0000243	Syag.g_00255	Syat.g_00092
OG0000244	Syag.g_00268	Syat.g_00082
OG0000245	Syag.g_00270	Syat.g_00080
OG0000246	Syag.g_00274	Syat.g_00076
OG0000247	Syag.g_00286	Syat.g_00065
OG0000248	Syag.g_00289	Syat.g_00062
OG0000249	Syag.g_00291	Syat.g_00060
OG0000250	Syag.g_00299	Syat.g_00053
OG0000251	Syag.g_00328	Syat.g_00027
OG0000252	Syag.g_00331	Syat.g_00022
OG0000253	Syag.g_00333	Syat.g_00021
OG0000254	Syag.g_00356	Syat.g_03407
OG0000255	Syag.g_00369	Syat.g_02405
OG0000256	Syag.g_00385	Syat.g_03306
OG0000257	Syag.g_00395	Syat.g_00109
OG0000258	Syag.g_00423	Syat.g_00382
OG0000259	Syag.g_00560	Syat.g_00342
OG0000260	Syag.g_00570	Syat.g_00392
OG0000261	Syag.g_00581	Syat.g_00400
OG0000262	Syag.g_00586	Syat.g_00407
OG0000263	Syag.g_01079	Syat.g_00200
OG0000266	Syag.g_00907	Syat.g_00671
OG0000267	Syag.g_00762	Syat.g_00636
OG0000268	Syag.g_00763	Syat.g_00634
OG0000269	Syag.g_00662	Syat.g_00474, Syat.g_00126
OG0000270	Syag.g_00665	Syat.g_00477
OG0000271	Syag.g_00673	Syat.g_00485
OG0000273	Syag.g_00713	Syat.g_00520
OG0000274	Syag.g_00714	Syat.g_00521
OG0000275	Syag.g_00717	Syat.g_00718
OG0000276	Syag.g_00723	Syat.g_00725
OG0000277	Syag.g_00724	Syat.g_00738
OG0000278	Syag.g_00727	Syat.g_00741
OG0000279	Syag.g_00735	Syat.g_00755
OG0000280	Syag.g_00741	Syat.g_01669
OG0000281	Syag.g_00572	Syat.g_00960
OG0000282	Syag.g_00611	Syat.g_00431
OG0000283	Syag.g_00775	Syat.g_00620
OG0000284	Syag.g_00780	Syat.g_00614
OG0000285	Syag.g_00791	Syat.g_00607
OG0000286	Syag.g_00809	Syat.g_00579
OG0000287	Syag.g_00838	Syat.g_00550
OG0000288	Syag.g_00869	Syat.g_00709
OG0000289	Syag.g_00884	Syat.g_00695
OG0000290	Syag.g_00970	Syat.g_00805
OG0000291	Syag.g_00972	Syat.g_00807
OG0000292	Syag.g_02265	Syat.g_02388
OG0000293	Syag.g_01155	Syat.g_03241
OG0000294	Syag.g_01154	Syat.g_03248
OG0000295	Syag.g_01115	Syat.g_00297
OG0000296	Syag.g_01113	Syat.g_00295
OG0000297	Syag.g_01099	Syat.g_00226
OG0000298	Syag.g_01098	Syat.g_00225
OG0000299	Syag.g_01067	Syat.g_00910
OG0000300	Syag.g_01062	Syat.g_00904
OG0000301	Syag.g_01061	Syat.g_00903
OG0000302	Syag.g_01060	Syat.g_00901
OG0000303	Syag.g_01048	Syat.g_00892
OG0000304	Syag.g_01041	Syat.g_00885
OG0000305	Syag.g_00977	Syat.g_00809
OG0000306	Syag.g_00460	Syat.g_01704
OG0000307	Syag.g_01546	Syat.g_01304
OG0000308	Syag.g_01548	Syat.g_01306
OG0000309	Syag.g_01553	Syat.g_01417
OG0000310	Syag.g_01291	Syat.g_01246
OG0000311	Syag.g_01300	Syat.g_01242
OG0000312	Syag.g_01434	Syat.g_01237
OG0000313	Syag.g_00966, Syag.g_01412	Syat.g_01183
OG0000314	Syag.g_01380	Syat.g_01341
OG0000315	Syag.g_01369	Syat.g_01351
OG0000316	Syag.g_01641	Syat.g_03082
OG0000317	Syag.g_01684	Syat.g_03120
OG0000318	Syag.g_01688	Syat.g_03125
OG0000319	Syag.g_01710	Syat.g_03055
OG0000320	Syag.g_01712	Syat.g_03053
OG0000321	Syag.g_01713	Syat.g_03052
OG0000322	Syag.g_01714	Syat.g_03051
OG0000323	Syag.g_01728	Syat.g_03038
OG0000324	Syag.g_01757	Syat.g_02998
OG0000325	Syag.g_02690	Syat.g_01861
OG0000326	Syag.g_02698	Syat.g_01854
OG0000327	Syag.g_02728	Syat.g_01827
OG0000328	Syag.g_02729	Syat.g_01826
OG0000329	Syag.g_02747	Syat.g_01808
OG0000330	Syag.g_02748	Syat.g_01807
OG0000331	Syag.g_02749	Syat.g_01806
OG0000332	Syag.g_02764	Syat.g_01790
OG0000333	Syag.g_02767	Syat.g_01787
OG0000334	Syag.g_02777	Syat.g_01657
OG0000335	Syag.g_02782	Syat.g_01652
OG0000336	Syag.g_02786	Syat.g_01648
OG0000337	Syag.g_02445	Syat.g_02144
OG0000338	Syag.g_02440	Syat.g_02146
OG0000340	Syag.g_02416	Syat.g_02165
OG0000341	Syag.g_02414	Syat.g_02167
OG0000342	Syag.g_02413	Syat.g_02168
OG0000343	Syag.g_02411	Syat.g_02185
OG0000344	Syag.g_02407	Syat.g_02189
OG0000345	Syag.g_02397	Syat.g_02202
OG0000346	Syag.g_02392	Syat.g_02207
OG0000347	Syag.g_02366	Syat.g_02234
OG0000348	Syag.g_02357	Syat.g_02264
OG0000349	Syag.g_02330	Syat.g_02291
OG0000350	Syag.g_02705	Syat.g_01847
OG0000351	Syag.g_02244	Syat.g_02411
OG0000352	Syag.g_02245	Syat.g_02410
OG0000353	Syag.g_02271	Syat.g_00955, Syat.g_02377
OG0000354	Syag.g_01484	Syat.g_03225
OG0000354	Syag.g_02291	Syat.g_02325
OG0000355	Syag.g_02273	Syat.g_02375
OG0000356	Syag.g_02274	Syat.g_02374
OG0000357	Syag.g_02275	Syat.g_02373
OG0000358	Syag.g_02279	Syat.g_02336
OG0000359	Syag.g_02281	Syat.g_02334
OG0000360	Syag.g_02282	Syat.g_02333
OG0000361	Syag.g_02283	Syat.g_02332
OG0000362	Syag.g_02285	Syat.g_02330
OG0000363	Syag.g_02287	Syat.g_02328
OG0000364	Syag.g_02288	Syat.g_03122
OG0000365	Syag.g_02297	Syat.g_02318
OG0000366	Syag.g_02298	Syat.g_02317
OG0000367	Syag.g_02299	Syat.g_02316
OG0000368	Syag.g_02301	Syat.g_02314
OG0000369	Syag.g_02302	Syat.g_02313
OG0000370	Syag.g_02303	Syat.g_02312
OG0000371	Syag.g_02312	Syat.g_02304
OG0000372	Syag.g_02317	Syat.g_02298
OG0000373	Syag.g_02318	Syat.g_02297
OG0000374	Syag.g_02319	Syat.g_02296
OG0000375	Syag.g_02326	Syat.g_02295
OG0000376	Syag.g_02328	Syat.g_02293
OG0000377	Syag.g_02119	Syat.g_02695
OG0000378	Syag.g_02099	Syat.g_02715
OG0000379	Syag.g_02091	Syat.g_02720
OG0000380	Syag.g_01817	Syat.g_01468
OG0000381	Syag.g_01820	Syat.g_01470
OG0000382	Syag.g_01838	Syat.g_01488
OG0000383	Syag.g_01843	Syat.g_01521
OG0000384	Syag.g_01844	Syat.g_01522
OG0000385	Syag.g_01845	Syat.g_01523
OG0000386	Syag.g_01846	Syat.g_01524
OG0000387	Syag.g_01876	Syat.g_01561
OG0000388	Syag.g_01880	Syat.g_01565
OG0000389	Syag.g_01884	Syat.g_01569
OG0000390	Syag.g_01903	Syat.g_02945
OG0000391	Syag.g_01908	Syat.g_02940
OG0000392	Syag.g_01914	Syat.g_02934
OG0000393	Syag.g_01917	Syat.g_02931
OG0000394	Syag.g_01918	Syat.g_02930
OG0000395	Syag.g_01919	Syat.g_02929
OG0000396	Syag.g_01922	Syat.g_02927
OG0000397	Syag.g_01924	Syat.g_02925
OG0000398	Syag.g_01929	Syat.g_02920
OG0000399	Syag.g_01930	Syat.g_02919
OG0000400	Syag.g_01931	Syat.g_02918
OG0000401	Syag.g_01932	Syat.g_02917
OG0000402	Syag.g_01934	Syat.g_02915
OG0000403	Syag.g_01935	Syat.g_02914
OG0000404	Syag.g_01937	Syat.g_02913
OG0000405	Syag.g_01949	Syat.g_02900
OG0000406	Syag.g_01953	Syat.g_02896
OG0000407	Syag.g_01954	Syat.g_02895
OG0000408	Syag.g_01956	Syat.g_02893
OG0000409	Syag.g_01958	Syat.g_02891
OG0000410	Syag.g_01959	Syat.g_02890
OG0000411	Syag.g_01960	Syat.g_02889
OG0000412	Syag.g_01961	Syat.g_02888
OG0000413	Syag.g_01963	Syat.g_02886
OG0000414	Syag.g_01964	Syat.g_02885
OG0000415	Syag.g_01965	Syat.g_02884
OG0000416	Syag.g_01966	Syat.g_02883
OG0000417	Syag.g_01967	Syat.g_02868
OG0000418	Syag.g_01973	Syat.g_02863
OG0000419	Syag.g_01975	Syat.g_02861
OG0000420	Syag.g_01977	Syat.g_02859
OG0000421	Syag.g_01982	Syat.g_02855
OG0000422	Syag.g_01983	Syat.g_02854
OG0000423	Syag.g_01984	Syat.g_02853
OG0000424	Syag.g_01985	Syat.g_02852
OG0000425	Syag.g_01986	Syat.g_02851
OG0000426	Syag.g_01987	Syat.g_02850
OG0000427	Syag.g_01988	Syat.g_02849
OG0000428	Syag.g_01991	Syat.g_02846
OG0000429	Syag.g_01993	Syat.g_02843
OG0000430	Syag.g_01995	Syat.g_02841
OG0000431	Syag.g_01998	Syat.g_02838
OG0000432	Syag.g_02007	Syat.g_02832
OG0000433	Syag.g_02009	Syat.g_02829
OG0000434	Syag.g_02010	Syat.g_02828
OG0000435	Syag.g_02017	Syat.g_02824
OG0000436	Syag.g_02028	Syat.g_02817
OG0000437	Syag.g_02029	Syat.g_02558
OG0000438	Syag.g_02031	Syat.g_02813
OG0000439	Syag.g_02033	Syat.g_02811
OG0000440	Syag.g_02034	Syat.g_02810
OG0000441	Syag.g_02041	Syat.g_02807
OG0000442	Syag.g_02044	Syat.g_02797
OG0000443	Syag.g_02046	Syat.g_02787
OG0000444	Syag.g_02053	Syat.g_02756
OG0000445	Syag.g_02054	Syat.g_02755
OG0000446	Syag.g_02056	Syat.g_02753
OG0000447	Syag.g_02059	Syat.g_02749
OG0000448	Syag.g_02060	Syat.g_02748
OG0000449	Syag.g_02061	Syat.g_02747
OG0000450	Syag.g_02066	Syat.g_02738
OG0000451	Syag.g_02067	Syat.g_02737
OG0000452	Syag.g_02071	Syat.g_02732
OG0000453	Syag.g_02072	Syat.g_02731
OG0000454	Syag.g_02073	Syat.g_02730
OG0000455	Syag.g_02074	Syat.g_02729
OG0000456	Syag.g_02075	Syat.g_02728
OG0000457	Syag.g_02077	Syat.g_02726
OG0000458	Syag.g_02080	Syat.g_02725
OG0000459	Syag.g_02081	Syat.g_02724
OG0000460	Syag.g_01786	Syat.g_01450
OG0000461	Syag.g_02675	Syat.g_01866
OG0000462	Syag.g_02672	Syat.g_01868
OG0000463	Syag.g_02671	Syat.g_01869
OG0000464	Syag.g_02670	Syat.g_01870
OG0000465	Syag.g_02668	Syat.g_01872
OG0000466	Syag.g_02662	Syat.g_01877
OG0000467	Syag.g_02660	Syat.g_01878
OG0000468	Syag.g_02636	Syat.g_01884
OG0000469	Syag.g_02621	Syat.g_02000
OG0000470	Syag.g_02619	Syat.g_02038
OG0000471	Syag.g_02618	Syat.g_02039
OG0000472	Syag.g_02616	Syat.g_02041
OG0000473	Syag.g_02614	Syat.g_02043
OG0000474	Syag.g_02613	Syat.g_02044
OG0000475	Syag.g_02612	Syat.g_02045
OG0000476	Syag.g_02610	Syat.g_02047
OG0000477	Syag.g_02604	Syat.g_02053
OG0000478	Syag.g_02603	Syat.g_02054
OG0000479	Syag.g_02602	Syat.g_02056
OG0000480	Syag.g_02595	Syat.g_02063
OG0000481	Syag.g_02593	Syat.g_02066
OG0000482	Syag.g_02592	Syat.g_02067
OG0000483	Syag.g_02588	Syat.g_02071
OG0000484	Syag.g_02587	Syat.g_02072
OG0000485	Syag.g_02586	Syat.g_02073
OG0000486	Syag.g_02585	Syat.g_02074
OG0000487	Syag.g_02579	Syat.g_02080
OG0000488	Syag.g_02575	Syat.g_02086
OG0000489	Syag.g_02565	Syat.g_02097
OG0000490	Syag.g_02553	Syat.g_02106
OG0000491	Syag.g_02551	Syat.g_02107
OG0000492	Syag.g_02549	Syat.g_02110
OG0000493	Syag.g_02548	Syat.g_02111
OG0000494	Syag.g_02547	Syat.g_02112
OG0000495	Syag.g_02546	Syat.g_02120
OG0000496	Syag.g_02545	Syat.g_02121
OG0000497	Syag.g_02544	Syat.g_02122
OG0000498	Syag.g_02543	Syat.g_02123
OG0000499	Syag.g_02542	Syat.g_02124
OG0000500	Syag.g_02541	Syat.g_02125
OG0000501	Syag.g_02538	Syat.g_02128
OG0000502	Syag.g_02467	Syat.g_02135
OG0000503	Syag.g_02843	Syat.g_01614
OG0000504	Syag.g_02845	Syat.g_01612
OG0000505	Syag.g_02846	Syat.g_01611
OG0000506	Syag.g_02849	Syat.g_01609
OG0000507	Syag.g_02855	Syat.g_01603
OG0000508	Syag.g_02860	Syat.g_01596
OG0000509	Syag.g_02862	Syat.g_01591
OG0000510	Syag.g_02863	Syat.g_01590
OG0000511	Syag.g_02864	Syat.g_01589
OG0000512	Syag.g_02866	Syat.g_01587
OG0000513	Syag.g_00009	Syat.g_02957
OG0000514	Syag.g_00018	Syat.g_02962
OG0000515	Syag.g_00019	Syat.g_02963
OG0000516	Syag.g_00025	Syat.g_02965
OG0000517	Syag.g_00032	Syat.g_02969
OG0000518	Syag.g_00044	Syat.g_01286
OG0000519	Syag.g_00045	Syat.g_01285
OG0000520	Syag.g_00046	Syat.g_01284
OG0000521	Syag.g_00054	Syat.g_01319
OG0000522	Syag.g_00056	Syat.g_01317
OG0000523	Syag.g_00057	Syat.g_01316
OG0000524	Syag.g_01327	Syat.g_01409
OG0000525	Syag.g_01345	Syat.g_01382
OG0000526	Syag.g_01348	Syat.g_01380
OG0000527	Syag.g_01354	Syat.g_01373
OG0000528	Syag.g_01532	Syat.g_03167
OG0000529	Syag.g_01527	Syat.g_03171
OG0000530	Syag.g_01524	Syat.g_03174
OG0000531	Syag.g_01523	Syat.g_03175
OG0000532	Syag.g_01520	Syat.g_03178
OG0000533	Syag.g_01518	Syat.g_03180
OG0000534	Syag.g_01517	Syat.g_03181
OG0000535	Syag.g_01516	Syat.g_03182
OG0000536	Syag.g_01515	Syat.g_03183
OG0000537	Syag.g_01514	Syat.g_03185
OG0000538	Syag.g_01502	Syat.g_03204
OG0000539	Syag.g_01501	Syat.g_03206
OG0000540	Syag.g_01500	Syat.g_03207
OG0000541	Syag.g_01499	Syat.g_03208
OG0000542	Syag.g_01496	Syat.g_03213
OG0000543	Syag.g_01494	Syat.g_03215
OG0000544	Syag.g_01493	Syat.g_03216
OG0000545	Syag.g_01491	Syat.g_03218
OG0000546	Syag.g_01489	Syat.g_03220
OG0000547	Syag.g_01487	Syat.g_03222
OG0000548	Syag.g_01486	Syat.g_03223
OG0000549	Syag.g_01480	Syat.g_01795
OG0000550	Syag.g_01474	Syat.g_01107
OG0000551	Syag.g_01470	Syat.g_01103
OG0000552	Syag.g_01469	Syat.g_01102
OG0000553	Syag.g_01464	Syat.g_01098
OG0000554	Syag.g_01453	Syat.g_03271
OG0000555	Syag.g_00075	Syat.g_00093
OG0000556	Syag.g_00257	Syat.g_00088
OG0000557	Syag.g_00267	Syat.g_00083
OG0000558	Syag.g_00269	Syat.g_00081
OG0000559	Syag.g_00273	Syat.g_00077
OG0000560	Syag.g_00276	Syat.g_00074
OG0000561	Syag.g_00277	Syat.g_00073
OG0000562	Syag.g_00278	Syat.g_00072
OG0000563	Syag.g_00279	Syat.g_00071
OG0000564	Syag.g_00280	Syat.g_00070
OG0000565	Syag.g_00284	Syat.g_00067
OG0000566	Syag.g_00288	Syat.g_00063
OG0000567	Syag.g_00292	Syat.g_00059
OG0000568	Syag.g_00295	Syat.g_00057
OG0000569	Syag.g_00296	Syat.g_00056
OG0000570	Syag.g_00297	Syat.g_00055
OG0000571	Syag.g_00301	Syat.g_00052
OG0000572	Syag.g_00320, Syag.g_00251	Syat.g_00033
OG0000573	Syag.g_00329	Syat.g_00024
OG0000574	Syag.g_00330	Syat.g_00023
OG0000575	Syag.g_00335	Syat.g_00018
OG0000576	Syag.g_00337	Syat.g_00014
OG0000577	Syag.g_00338	Syat.g_00013
OG0000578	Syag.g_00339	Syat.g_00012
OG0000579	Syag.g_00340	Syat.g_00011
OG0000580	Syag.g_00341	Syat.g_00010
OG0000581	Syag.g_00348	Syat.g_00003
OG0000582	Syag.g_00353	Syat.g_03403
OG0000583	Syag.g_00354	Syat.g_03404
OG0000584	Syag.g_00355	Syat.g_03405
OG0000585	Syag.g_00357	Syat.g_03408
OG0000586	Syag.g_00358	Syat.g_03409
OG0000587	Syag.g_00360	Syat.g_00001
OG0000588	Syag.g_00371	Syat.g_00338
OG0000589	Syag.g_00375	Syat.g_03318
OG0000590	Syag.g_00376	Syat.g_03317
OG0000591	Syag.g_00383	Syat.g_03308
