Orthogroup	Prad	Pram
OG0000067	Prad.g_01218, Prad.g_01212	Pram.g_01579
OG0000068	Prad.g_00807	Pram.g_01770
OG0000069	Prad.g_00572	Pram.g_01339
OG0000071	Prad.g_01975	Pram.g_01949
OG0000072	Prad.g_01669	Pram.g_00310
OG0000073	Prad.g_01243	Pram.g_01039
OG0000074	Prad.g_01265	Pram.g_00782
OG0000075	Prad.g_01153	Pram.g_00816
OG0000076	Prad.g_01018	Pram.g_00888
OG0000077	Prad.g_01983	Pram.g_01510
OG0000078	Prad.g_00566	Pram.g_01445
OG0000079	Prad.g_00436	Pram.g_01293
OG0000080	Prad.g_00383	Pram.g_01554
OG0000081	Prad.g_00777	Pram.g_01805
OG0000083	Prad.g_01533	Pram.g_01941
OG0000084	Prad.g_01530	Pram.g_01944
OG0000085	Prad.g_01963	Pram.g_00010
OG0000086	Prad.g_01948, Prad.g_00675	Pram.g_01588
OG0000087	Prad.g_01937	Pram.g_00036
OG0000088	Prad.g_01880	Pram.g_00099
OG0000089	Prad.g_01872	Pram.g_00108
OG0000090	Prad.g_01854	Pram.g_00125
OG0000091	Prad.g_01822	Pram.g_00154
OG0000092	Prad.g_01821	Pram.g_00155
OG0000093	Prad.g_01807	Pram.g_00168
OG0000094	Prad.g_01789	Pram.g_00187
OG0000095	Prad.g_01784	Pram.g_00192
OG0000096	Prad.g_01740	Pram.g_00239
OG0000097	Prad.g_01717	Pram.g_00262
OG0000099	Prad.g_01697	Pram.g_00283
OG0000100	Prad.g_01694	Pram.g_00286
OG0000101	Prad.g_00754	Pram.g_00354
OG0000102	Prad.g_00727	Pram.g_01589
OG0000103	Prad.g_00031	Pram.g_00412
OG0000104	Prad.g_00027	Pram.g_00416
OG0000105	Prad.g_00130	Pram.g_00437
OG0000106	Prad.g_00097	Pram.g_00470
OG0000107	Prad.g_00096	Pram.g_00471
OG0000108	Prad.g_01333	Pram.g_00480
OG0000109	Prad.g_01342	Pram.g_00489
OG0000110	Prad.g_01358	Pram.g_00507
OG0000111	Prad.g_01225	Pram.g_01059
OG0000112	Prad.g_01226	Pram.g_01058
OG0000113	Prad.g_01071	Pram.g_01006
OG0000114	Prad.g_01144	Pram.g_00807
OG0000115	Prad.g_00186	Pram.g_00943
OG0000116	Prad.g_00182	Pram.g_00947
OG0000117	Prad.g_01021	Pram.g_00891
OG0000118	Prad.g_00972	Pram.g_01185
OG0000119	Prad.g_01526	Pram.g_01549
OG0000120	Prad.g_01490	Pram.g_01133
OG0000121	Prad.g_01471, Prad.g_01470	Pram.g_01110
OG0000122	Prad.g_01451	Pram.g_01090
OG0000123	Prad.g_01438	Pram.g_00571
OG0000124	Prad.g_00076	Pram.g_01254
OG0000125	Prad.g_00616	Pram.g_01242
OG0000126	Prad.g_00594	Pram.g_01468
OG0000127	Prad.g_00528	Pram.g_01393
OG0000128	Prad.g_00514	Pram.g_01377
OG0000129	Prad.g_00477	Pram.g_01341
OG0000130	Prad.g_00943	Pram.g_01629
OG0000131	Prad.g_00905	Pram.g_01669
OG0000132	Prad.g_00902	Pram.g_01672
OG0000133	Prad.g_00848	Pram.g_01728
OG0000134	Prad.g_00812	Pram.g_01764
OG0000135	Prad.g_00810	Pram.g_01766
OG0000136	Prad.g_00766, Prad.g_01294	Pram.g_01817
OG0000137	Prad.g_01615	Pram.g_01851
OG0000138	Prad.g_01580	Pram.g_01886
OG0000139	Prad.g_01553	Pram.g_01917
OG0000140	Prad.g_01535	Pram.g_01939
OG0000141	Prad.g_01534	Pram.g_01940
OG0000142	Prad.g_01532	Pram.g_01942
OG0000143	Prad.g_01531	Pram.g_01943
OG0000144	Prad.g_01529	Pram.g_01945
OG0000145	Prad.g_01528	Pram.g_01946
OG0000146	Prad.g_01527	Pram.g_01947
OG0000147	Prad.g_01976	Pram.g_01948
OG0000148	Prad.g_01974	Pram.g_01950
OG0000149	Prad.g_01972	Pram.g_00001
OG0000150	Prad.g_01971	Pram.g_00002
OG0000151	Prad.g_01970	Pram.g_00003
OG0000152	Prad.g_01969	Pram.g_00004
OG0000153	Prad.g_01968	Pram.g_00005
OG0000154	Prad.g_01967	Pram.g_00006
OG0000155	Prad.g_01966	Pram.g_00007
OG0000156	Prad.g_01965	Pram.g_00008
OG0000157	Prad.g_01964	Pram.g_00009
OG0000158	Prad.g_01962	Pram.g_00011
OG0000159	Prad.g_01961	Pram.g_00012
OG0000160	Prad.g_01960	Pram.g_00013
OG0000161	Prad.g_01959	Pram.g_00014
OG0000162	Prad.g_01958	Pram.g_00015
OG0000163	Prad.g_01957	Pram.g_00016
OG0000164	Prad.g_01954	Pram.g_00019
OG0000165	Prad.g_01951	Pram.g_00021
OG0000166	Prad.g_01950	Pram.g_00022
OG0000167	Prad.g_01949	Pram.g_00023
OG0000168	Prad.g_01947	Pram.g_00024
OG0000169	Prad.g_01945	Pram.g_00026
OG0000170	Prad.g_01944	Pram.g_00028
OG0000171	Prad.g_01943	Pram.g_00029
OG0000172	Prad.g_01941	Pram.g_00030
OG0000173	Prad.g_01940	Pram.g_00033
OG0000174	Prad.g_01939	Pram.g_00034
OG0000175	Prad.g_01938	Pram.g_00035
OG0000176	Prad.g_01936	Pram.g_00037
OG0000177	Prad.g_01935	Pram.g_00038
OG0000178	Prad.g_01934	Pram.g_00039
OG0000179	Prad.g_01929	Pram.g_00048
OG0000180	Prad.g_01928	Pram.g_00049
OG0000181	Prad.g_01927	Pram.g_00050
OG0000182	Prad.g_01924	Pram.g_00054
OG0000183	Prad.g_01923	Pram.g_00055
OG0000184	Prad.g_01920	Pram.g_00058
OG0000185	Prad.g_01916	Pram.g_00062
OG0000186	Prad.g_01915	Pram.g_00063
OG0000187	Prad.g_01914	Pram.g_01536
OG0000188	Prad.g_01913	Pram.g_00064
OG0000189	Prad.g_01912	Pram.g_00065
OG0000190	Prad.g_01911	Pram.g_00066
OG0000191	Prad.g_01910	Pram.g_00067
OG0000192	Prad.g_01909	Pram.g_00068
OG0000193	Prad.g_01908	Pram.g_00069
OG0000194	Prad.g_01907	Pram.g_00070
OG0000195	Prad.g_01905	Pram.g_00072
OG0000196	Prad.g_01904	Pram.g_00073
OG0000197	Prad.g_01903	Pram.g_00074
OG0000198	Prad.g_01902	Pram.g_00075
OG0000199	Prad.g_01899	Pram.g_00078
OG0000200	Prad.g_01898	Pram.g_00079
OG0000201	Prad.g_01897	Pram.g_00080
OG0000202	Prad.g_01896	Pram.g_00081
OG0000203	Prad.g_01895	Pram.g_00082
OG0000204	Prad.g_01894	Pram.g_00083
OG0000205	Prad.g_01893	Pram.g_00085
OG0000206	Prad.g_01892	Pram.g_00086
OG0000207	Prad.g_01891	Pram.g_00087
OG0000208	Prad.g_01890	Pram.g_00088
OG0000209	Prad.g_01889	Pram.g_00089
OG0000210	Prad.g_01887	Pram.g_00090
OG0000211	Prad.g_01886	Pram.g_00091
OG0000212	Prad.g_01885	Pram.g_00092
OG0000213	Prad.g_01884	Pram.g_00093
OG0000214	Prad.g_01882	Pram.g_00097
OG0000215	Prad.g_01881	Pram.g_00098
OG0000216	Prad.g_01879	Pram.g_00100
OG0000217	Prad.g_01878	Pram.g_00101
OG0000218	Prad.g_01877	Pram.g_00102
OG0000219	Prad.g_01876	Pram.g_00103
OG0000220	Prad.g_01873	Pram.g_00106
OG0000221	Prad.g_01871	Pram.g_00109
OG0000222	Prad.g_01870	Pram.g_00110
OG0000223	Prad.g_01869	Pram.g_00111
OG0000224	Prad.g_01866	Pram.g_00113
OG0000225	Prad.g_01864	Pram.g_00115
OG0000226	Prad.g_01863	Pram.g_00117
OG0000227	Prad.g_01862	Pram.g_00118
OG0000228	Prad.g_01861	Pram.g_00119
OG0000229	Prad.g_01860	Pram.g_00120
OG0000230	Prad.g_01859	Pram.g_00121
OG0000231	Prad.g_01857	Pram.g_01001
OG0000232	Prad.g_01856	Pram.g_00123
OG0000233	Prad.g_01853	Pram.g_00126
OG0000234	Prad.g_01851	Pram.g_00128
OG0000235	Prad.g_01846	Pram.g_00130
OG0000236	Prad.g_01845	Pram.g_00131
OG0000237	Prad.g_01844	Pram.g_00132
OG0000238	Prad.g_01843	Pram.g_00133
OG0000239	Prad.g_01842	Pram.g_00134
OG0000240	Prad.g_01840	Pram.g_00136
OG0000241	Prad.g_01839	Pram.g_00137
OG0000242	Prad.g_01838	Pram.g_00138
OG0000243	Prad.g_01837	Pram.g_00139
OG0000244	Prad.g_01836	Pram.g_00140
OG0000245	Prad.g_01835	Pram.g_00141
OG0000246	Prad.g_01833	Pram.g_00143
OG0000247	Prad.g_01832	Pram.g_00144
OG0000248	Prad.g_01831	Pram.g_00145
OG0000249	Prad.g_01830	Pram.g_00146
OG0000250	Prad.g_01829	Pram.g_00147
OG0000251	Prad.g_01828	Pram.g_00148
OG0000252	Prad.g_01827	Pram.g_00149
OG0000253	Prad.g_01826	Pram.g_00150
OG0000254	Prad.g_01824	Pram.g_00152
OG0000255	Prad.g_01823	Pram.g_00153
OG0000256	Prad.g_01820	Pram.g_00156
OG0000257	Prad.g_01818	Pram.g_00157
OG0000258	Prad.g_01817	Pram.g_00158
OG0000259	Prad.g_01816	Pram.g_00159
OG0000260	Prad.g_01815	Pram.g_00160
OG0000261	Prad.g_01814	Pram.g_00161
OG0000262	Prad.g_01813	Pram.g_00162
OG0000263	Prad.g_01812	Pram.g_00163
OG0000264	Prad.g_01810	Pram.g_00165
OG0000265	Prad.g_01809	Pram.g_00166
OG0000266	Prad.g_01808	Pram.g_00167
OG0000267	Prad.g_01806	Pram.g_00169
OG0000268	Prad.g_01805	Pram.g_00171
OG0000269	Prad.g_01804	Pram.g_00172
OG0000270	Prad.g_01803	Pram.g_00173
OG0000271	Prad.g_01802	Pram.g_00174
OG0000272	Prad.g_01801	Pram.g_00175
OG0000273	Prad.g_01800	Pram.g_00176
OG0000274	Prad.g_01799	Pram.g_00177
OG0000275	Prad.g_01798	Pram.g_00178
OG0000276	Prad.g_01797	Pram.g_00179
OG0000277	Prad.g_01796	Pram.g_00180
OG0000278	Prad.g_01795	Pram.g_00181
OG0000279	Prad.g_01794	Pram.g_00182
OG0000280	Prad.g_01793	Pram.g_00183
OG0000281	Prad.g_01791	Pram.g_00185
OG0000282	Prad.g_01790	Pram.g_00186
OG0000283	Prad.g_01787	Pram.g_00189
OG0000284	Prad.g_01786	Pram.g_00190
OG0000285	Prad.g_01785	Pram.g_00191
OG0000286	Prad.g_01783	Pram.g_00193
OG0000287	Prad.g_01782	Pram.g_00194
OG0000288	Prad.g_01781	Pram.g_00195
OG0000289	Prad.g_01780	Pram.g_00196
OG0000290	Prad.g_01779	Pram.g_00197
OG0000291	Prad.g_01778	Pram.g_00198
OG0000292	Prad.g_01777	Pram.g_00199
OG0000293	Prad.g_01776	Pram.g_00200
OG0000294	Prad.g_01775	Pram.g_00201
OG0000295	Prad.g_01774	Pram.g_00202
OG0000296	Prad.g_01773	Pram.g_00203
OG0000297	Prad.g_01772	Pram.g_00204
OG0000298	Prad.g_01771	Pram.g_00205
OG0000299	Prad.g_01770	Pram.g_00206
OG0000300	Prad.g_01769	Pram.g_00207
OG0000301	Prad.g_01768	Pram.g_00208
OG0000302	Prad.g_01767	Pram.g_00209
OG0000303	Prad.g_01766	Pram.g_00210
OG0000304	Prad.g_01765	Pram.g_00212
OG0000305	Prad.g_01764	Pram.g_00213
OG0000306	Prad.g_01763	Pram.g_00214
OG0000307	Prad.g_01762	Pram.g_00216
OG0000308	Prad.g_01761	Pram.g_00217
OG0000309	Prad.g_01760	Pram.g_00218
OG0000310	Prad.g_01759	Pram.g_00219
OG0000311	Prad.g_01758	Pram.g_00220
OG0000312	Prad.g_01756	Pram.g_00222
OG0000313	Prad.g_01755	Pram.g_00223
OG0000314	Prad.g_01752	Pram.g_00227
OG0000315	Prad.g_01751	Pram.g_00228
OG0000316	Prad.g_01749	Pram.g_00230
OG0000317	Prad.g_01747	Pram.g_00232
OG0000318	Prad.g_01746	Pram.g_00233
OG0000319	Prad.g_01745	Pram.g_00234
OG0000320	Prad.g_01744	Pram.g_00235
OG0000321	Prad.g_01741	Pram.g_00238
OG0000322	Prad.g_01738	Pram.g_00242
OG0000323	Prad.g_01737	Pram.g_00243
OG0000324	Prad.g_01734	Pram.g_00246
OG0000325	Prad.g_01732	Pram.g_00247
OG0000326	Prad.g_01731	Pram.g_00248
OG0000327	Prad.g_01729	Pram.g_00250
OG0000328	Prad.g_01728	Pram.g_00251
OG0000329	Prad.g_01727	Pram.g_00252
OG0000330	Prad.g_01726	Pram.g_00253
OG0000331	Prad.g_01725	Pram.g_00254
OG0000332	Prad.g_01724	Pram.g_00255
OG0000333	Prad.g_01723	Pram.g_00256
OG0000334	Prad.g_01722	Pram.g_00257
OG0000335	Prad.g_01721	Pram.g_00258
OG0000336	Prad.g_01720	Pram.g_00260
OG0000337	Prad.g_01716	Pram.g_00263
OG0000338	Prad.g_01715	Pram.g_00264
OG0000339	Prad.g_01714	Pram.g_00265
OG0000340	Prad.g_01713	Pram.g_00266
OG0000341	Prad.g_01709	Pram.g_00270
OG0000342	Prad.g_01708	Pram.g_00271
OG0000343	Prad.g_01706	Pram.g_00274
OG0000344	Prad.g_01705	Pram.g_00275
OG0000345	Prad.g_01704	Pram.g_00276
OG0000346	Prad.g_01703	Pram.g_00277
OG0000347	Prad.g_01702	Pram.g_00278
OG0000348	Prad.g_01701	Pram.g_00280
OG0000349	Prad.g_01700	Pram.g_00281
OG0000350	Prad.g_01699	Pram.g_00282
OG0000351	Prad.g_01696	Pram.g_00284
OG0000352	Prad.g_01693	Pram.g_00287
OG0000353	Prad.g_01692	Pram.g_00288
OG0000354	Prad.g_01691	Pram.g_00289
OG0000355	Prad.g_01690	Pram.g_00290
OG0000356	Prad.g_01689	Pram.g_00291
OG0000357	Prad.g_01688	Pram.g_00292
OG0000358	Prad.g_01687	Pram.g_00293
OG0000359	Prad.g_01686	Pram.g_00294
OG0000360	Prad.g_01683	Pram.g_00296
OG0000361	Prad.g_01682	Pram.g_00297
OG0000362	Prad.g_01681	Pram.g_00298
OG0000363	Prad.g_01680	Pram.g_00299
OG0000364	Prad.g_01679	Pram.g_00300
OG0000365	Prad.g_01678	Pram.g_00301
OG0000366	Prad.g_01677	Pram.g_00302
OG0000367	Prad.g_01676	Pram.g_00303
OG0000368	Prad.g_01675	Pram.g_00304
OG0000369	Prad.g_01674	Pram.g_00305
OG0000370	Prad.g_01673	Pram.g_00306
OG0000371	Prad.g_01672	Pram.g_00307
OG0000372	Prad.g_01670	Pram.g_00309
OG0000373	Prad.g_01668	Pram.g_00311
OG0000374	Prad.g_01667	Pram.g_00312
OG0000375	Prad.g_01666	Pram.g_00313
OG0000376	Prad.g_01664	Pram.g_00315
OG0000377	Prad.g_01663	Pram.g_00321
OG0000378	Prad.g_01662	Pram.g_00322
OG0000379	Prad.g_01657	Pram.g_00328
OG0000380	Prad.g_01656	Pram.g_00330
OG0000381	Prad.g_01655	Pram.g_00331
OG0000382	Prad.g_01653	Pram.g_00332
OG0000383	Prad.g_01650	Pram.g_00336
OG0000384	Prad.g_01649	Pram.g_00337
OG0000385	Prad.g_01646	Pram.g_00340
OG0000386	Prad.g_01645	Pram.g_00341
OG0000387	Prad.g_01644	Pram.g_00342
OG0000388	Prad.g_01643	Pram.g_00343
OG0000389	Prad.g_01642	Pram.g_00344
OG0000390	Prad.g_00761	Pram.g_00345
OG0000391	Prad.g_00760	Pram.g_00346
OG0000392	Prad.g_00759	Pram.g_00347
OG0000393	Prad.g_00756	Pram.g_00351
OG0000394	Prad.g_00755	Pram.g_00352
OG0000395	Prad.g_00753	Pram.g_00355
OG0000396	Prad.g_00752	Pram.g_00864
OG0000397	Prad.g_00738	Pram.g_01184
OG0000398	Prad.g_00730	Pram.g_01537
OG0000399	Prad.g_00729	Pram.g_01177
OG0000400	Prad.g_00724	Pram.g_01696
OG0000401	Prad.g_00671	Pram.g_00366
OG0000402	Prad.g_00670	Pram.g_00367
OG0000403	Prad.g_00669	Pram.g_00368
OG0000404	Prad.g_00667	Pram.g_00370
OG0000405	Prad.g_00666	Pram.g_00371
OG0000406	Prad.g_00069	Pram.g_00373
OG0000407	Prad.g_00068	Pram.g_00374
OG0000408	Prad.g_00067	Pram.g_00375
OG0000409	Prad.g_00066	Pram.g_00376
OG0000410	Prad.g_00065	Pram.g_00377
OG0000411	Prad.g_00064	Pram.g_00378
OG0000412	Prad.g_00063	Pram.g_00379
OG0000413	Prad.g_00062	Pram.g_00380
OG0000414	Prad.g_00061	Pram.g_00381
OG0000415	Prad.g_00060	Pram.g_00382
OG0000416	Prad.g_00059	Pram.g_00383
OG0000417	Prad.g_00058	Pram.g_00384
OG0000418	Prad.g_00057	Pram.g_00385
OG0000419	Prad.g_00056	Pram.g_00386
OG0000420	Prad.g_00055	Pram.g_00387
OG0000421	Prad.g_00054	Pram.g_00393
OG0000422	Prad.g_00052	Pram.g_00395
OG0000423	Prad.g_00051	Pram.g_00396
OG0000424	Prad.g_00049	Pram.g_00397
OG0000425	Prad.g_00045	Pram.g_00400
OG0000426	Prad.g_00044	Pram.g_00401
OG0000427	Prad.g_00043	Pram.g_00402
OG0000428	Prad.g_00042	Pram.g_00404
OG0000429	Prad.g_00041	Pram.g_00406
OG0000430	Prad.g_00036	Pram.g_00407
OG0000431	Prad.g_00034	Pram.g_00409
OG0000432	Prad.g_00033	Pram.g_00410
OG0000433	Prad.g_00030	Pram.g_00413
OG0000434	Prad.g_00029	Pram.g_00414
OG0000435	Prad.g_00028	Pram.g_00415
OG0000436	Prad.g_00026	Pram.g_00417
OG0000437	Prad.g_00024	Pram.g_00419
OG0000438	Prad.g_00023	Pram.g_00420
OG0000439	Prad.g_00022	Pram.g_00421
OG0000440	Prad.g_00020	Pram.g_00423
OG0000441	Prad.g_00019	Pram.g_00424
OG0000442	Prad.g_00018	Pram.g_00425
OG0000443	Prad.g_00017	Pram.g_00426
OG0000444	Prad.g_00016	Pram.g_00427
OG0000445	Prad.g_00015	Pram.g_00428
OG0000446	Prad.g_00014	Pram.g_00429
OG0000447	Prad.g_00013	Pram.g_00430
OG0000448	Prad.g_00012	Pram.g_00431
OG0000449	Prad.g_00129	Pram.g_00438
OG0000450	Prad.g_00128	Pram.g_00439
OG0000451	Prad.g_00127	Pram.g_00440
OG0000452	Prad.g_00126	Pram.g_00441
OG0000453	Prad.g_00124	Pram.g_00442
OG0000454	Prad.g_00123	Pram.g_00443
OG0000455	Prad.g_00122	Pram.g_00444
OG0000456	Prad.g_00121	Pram.g_00445
OG0000457	Prad.g_00119	Pram.g_00447
OG0000458	Prad.g_00117	Pram.g_00449
OG0000459	Prad.g_00116	Pram.g_00450
OG0000460	Prad.g_00114	Pram.g_00452
OG0000461	Prad.g_00113	Pram.g_00453
OG0000462	Prad.g_00112	Pram.g_00454
OG0000463	Prad.g_00111	Pram.g_00456
OG0000464	Prad.g_00106	Pram.g_00461
OG0000465	Prad.g_00104	Pram.g_00462
OG0000466	Prad.g_00103	Pram.g_00463
OG0000467	Prad.g_00102	Pram.g_00464
OG0000468	Prad.g_00101	Pram.g_00465
OG0000469	Prad.g_00100	Pram.g_00466
OG0000470	Prad.g_00099	Pram.g_00468
OG0000471	Prad.g_00098	Pram.g_00469
OG0000472	Prad.g_00095	Pram.g_00472
OG0000473	Prad.g_00094	Pram.g_00473
OG0000474	Prad.g_00093	Pram.g_00474
OG0000475	Prad.g_00092	Pram.g_00475
OG0000476	Prad.g_00091	Pram.g_00476
OG0000477	Prad.g_01330	Pram.g_00477
OG0000478	Prad.g_01331	Pram.g_00478
OG0000479	Prad.g_01332	Pram.g_00479
OG0000480	Prad.g_01334	Pram.g_00481
OG0000481	Prad.g_01335	Pram.g_00482
OG0000482	Prad.g_01336	Pram.g_00483
OG0000483	Prad.g_01337	Pram.g_00484
OG0000484	Prad.g_01338	Pram.g_00485
OG0000485	Prad.g_01339	Pram.g_00486
OG0000486	Prad.g_01340	Pram.g_00487
OG0000487	Prad.g_01341	Pram.g_00488
OG0000488	Prad.g_01343	Pram.g_00490
OG0000489	Prad.g_01344	Pram.g_00491
OG0000490	Prad.g_01345	Pram.g_00492
OG0000491	Prad.g_01346	Pram.g_00493
OG0000492	Prad.g_01347	Pram.g_00494
OG0000493	Prad.g_01348	Pram.g_00495
OG0000494	Prad.g_01350	Pram.g_00497
OG0000495	Prad.g_01351	Pram.g_00498
OG0000496	Prad.g_01352	Pram.g_00500
OG0000497	Prad.g_01353	Pram.g_00502
OG0000498	Prad.g_01354	Pram.g_00503
OG0000499	Prad.g_01356	Pram.g_00505
OG0000500	Prad.g_01357	Pram.g_00506
OG0000501	Prad.g_01359	Pram.g_00508
OG0000502	Prad.g_01360	Pram.g_00509
OG0000503	Prad.g_01361	Pram.g_00510
OG0000504	Prad.g_01362	Pram.g_00511
OG0000505	Prad.g_01363	Pram.g_00512
OG0000506	Prad.g_01364	Pram.g_00513
OG0000507	Prad.g_01365	Pram.g_00514
OG0000508	Prad.g_01367	Pram.g_00516
OG0000509	Prad.g_01368	Pram.g_00517
OG0000510	Prad.g_01369	Pram.g_00518
OG0000511	Prad.g_01370	Pram.g_00519
OG0000512	Prad.g_01371	Pram.g_00520
OG0000513	Prad.g_01372	Pram.g_00521
OG0000514	Prad.g_01373	Pram.g_00522
OG0000515	Prad.g_01375	Pram.g_00523
OG0000516	Prad.g_01376	Pram.g_00524
OG0000517	Prad.g_01377	Pram.g_00525
OG0000518	Prad.g_01380	Pram.g_00528
OG0000519	Prad.g_01381	Pram.g_00529
OG0000520	Prad.g_01382	Pram.g_00530
OG0000521	Prad.g_01383	Pram.g_00531
OG0000522	Prad.g_01384	Pram.g_00532
OG0000523	Prad.g_01385	Pram.g_00533
OG0000524	Prad.g_01386	Pram.g_00534
OG0000525	Prad.g_01388	Pram.g_00536
OG0000526	Prad.g_01389	Pram.g_00537
OG0000527	Prad.g_01390	Pram.g_00538
OG0000528	Prad.g_01391	Pram.g_00539
OG0000529	Prad.g_01392	Pram.g_00540
OG0000530	Prad.g_01393	Pram.g_00541
OG0000531	Prad.g_01394	Pram.g_00543
OG0000532	Prad.g_01395	Pram.g_00544
OG0000533	Prad.g_01396	Pram.g_00545
OG0000534	Prad.g_01397	Pram.g_00546
OG0000535	Prad.g_01398	Pram.g_00547
OG0000536	Prad.g_01399	Pram.g_00548
OG0000537	Prad.g_01400	Pram.g_00549
OG0000538	Prad.g_01401	Pram.g_00550
OG0000539	Prad.g_01402	Pram.g_00551
OG0000540	Prad.g_01403	Pram.g_00552
OG0000541	Prad.g_01404	Pram.g_00553
OG0000542	Prad.g_01405	Pram.g_00554
OG0000543	Prad.g_01406	Pram.g_00555
OG0000544	Prad.g_01407	Pram.g_00556
OG0000545	Prad.g_01410	Pram.g_00559
OG0000546	Prad.g_01411	Pram.g_00560
OG0000547	Prad.g_01413	Pram.g_00562
OG0000548	Prad.g_01414	Pram.g_00564
OG0000549	Prad.g_01415	Pram.g_00565
OG0000550	Prad.g_01416	Pram.g_00566
OG0000551	Prad.g_01417	Pram.g_00568
OG0000552	Prad.g_01418	Pram.g_00569
OG0000553	Prad.g_01419	Pram.g_01080
OG0000554	Prad.g_01420	Pram.g_01079
OG0000555	Prad.g_01421	Pram.g_01078
OG0000556	Prad.g_01422	Pram.g_01077
OG0000557	Prad.g_01423	Pram.g_01076
OG0000558	Prad.g_01424	Pram.g_01075
OG0000559	Prad.g_01425	Pram.g_01074
OG0000560	Prad.g_01427	Pram.g_01073
OG0000561	Prad.g_01428	Pram.g_01072
OG0000562	Prad.g_01429	Pram.g_01070
OG0000563	Prad.g_01430	Pram.g_01069
OG0000564	Prad.g_01431	Pram.g_01068
OG0000565	Prad.g_01432	Pram.g_01067
OG0000566	Prad.g_01433	Pram.g_01066
OG0000567	Prad.g_01219	Pram.g_01065
OG0000568	Prad.g_01220	Pram.g_01064
OG0000569	Prad.g_01221	Pram.g_01063
OG0000570	Prad.g_01222	Pram.g_01062
OG0000571	Prad.g_01223	Pram.g_01061
OG0000572	Prad.g_01224	Pram.g_01060
OG0000573	Prad.g_01227	Pram.g_01057
OG0000574	Prad.g_01228	Pram.g_01056
OG0000575	Prad.g_01229	Pram.g_01055
OG0000576	Prad.g_01230	Pram.g_01054
OG0000577	Prad.g_01231	Pram.g_01053
OG0000578	Prad.g_01232	Pram.g_01052
OG0000579	Prad.g_01233	Pram.g_01051
OG0000580	Prad.g_01234	Pram.g_01050
OG0000581	Prad.g_01235	Pram.g_01049
OG0000582	Prad.g_01236	Pram.g_01048
