Orthogroup	Prbj	Prat
OG0000133	Prbj.g_01024	Prat.g_01685
OG0000134	Prbj.g_00987	Prat.g_01720
OG0000135	Prbj.g_00985	Prat.g_01722
OG0000136	Prbj.g_01516	Prat.g_01771
OG0000137	Prbj.g_01280	Prat.g_01806
OG0000138	Prbj.g_01963	Prat.g_01841
OG0000139	Prbj.g_02047	Prat.g_01873
OG0000140	Prbj.g_02074	Prat.g_00001
OG0000141	Prbj.g_02075	Prat.g_00002
OG0000142	Prbj.g_02077	Prat.g_00004
OG0000143	Prbj.g_02078	Prat.g_00005
OG0000144	Prbj.g_02080	Prat.g_00007
OG0000145	Prbj.g_02082	Prat.g_00008
OG0000146	Prbj.g_02083	Prat.g_00009
OG0000147	Prbj.g_02084	Prat.g_00010
OG0000148	Prbj.g_02086	Prat.g_00013
OG0000149	Prbj.g_01182	Prat.g_00015
OG0000150	Prbj.g_01183	Prat.g_00016
OG0000151	Prbj.g_01188	Prat.g_00017
OG0000152	Prbj.g_01189	Prat.g_00018
OG0000153	Prbj.g_01190	Prat.g_00019
OG0000154	Prbj.g_01191	Prat.g_00020
OG0000155	Prbj.g_01192	Prat.g_00021
OG0000156	Prbj.g_01193	Prat.g_00022
OG0000157	Prbj.g_01194	Prat.g_00023
OG0000158	Prbj.g_01196	Prat.g_00025
OG0000159	Prbj.g_01197	Prat.g_00026
OG0000160	Prbj.g_01198	Prat.g_00027
OG0000161	Prbj.g_01199	Prat.g_00028
OG0000162	Prbj.g_01200	Prat.g_00029
OG0000163	Prbj.g_01202	Prat.g_00031
OG0000164	Prbj.g_01207	Prat.g_00034
OG0000165	Prbj.g_01212	Prat.g_00036
OG0000166	Prbj.g_01213	Prat.g_00037
OG0000167	Prbj.g_01214	Prat.g_00038
OG0000168	Prbj.g_01215	Prat.g_00042
OG0000169	Prbj.g_01217	Prat.g_00044
OG0000170	Prbj.g_01953	Prat.g_00046
OG0000171	Prbj.g_01951	Prat.g_00047
OG0000172	Prbj.g_01950	Prat.g_00048
OG0000173	Prbj.g_01943	Prat.g_00051
OG0000174	Prbj.g_01936	Prat.g_00052
OG0000175	Prbj.g_01928	Prat.g_00053
OG0000176	Prbj.g_01920	Prat.g_00055
OG0000177	Prbj.g_01919	Prat.g_00056
OG0000178	Prbj.g_01918	Prat.g_00057
OG0000179	Prbj.g_00558	Prat.g_00060
OG0000180	Prbj.g_00560	Prat.g_00061
OG0000181	Prbj.g_00561	Prat.g_00062
OG0000182	Prbj.g_00564	Prat.g_00066
OG0000183	Prbj.g_00565	Prat.g_00067
OG0000184	Prbj.g_00569	Prat.g_00070
OG0000185	Prbj.g_00575	Prat.g_00074
OG0000186	Prbj.g_00576	Prat.g_00075
OG0000187	Prbj.g_00047	Prat.g_01504
OG0000188	Prbj.g_00577	Prat.g_00076
OG0000189	Prbj.g_00580	Prat.g_00079
OG0000190	Prbj.g_00581	Prat.g_00080
OG0000191	Prbj.g_00582	Prat.g_00081
OG0000192	Prbj.g_00583	Prat.g_00082
OG0000193	Prbj.g_00584	Prat.g_00083
OG0000194	Prbj.g_00585	Prat.g_00084
OG0000195	Prbj.g_00589	Prat.g_00086
OG0000196	Prbj.g_00590	Prat.g_00087
OG0000197	Prbj.g_00596	Prat.g_00088
OG0000198	Prbj.g_00600	Prat.g_00089
OG0000199	Prbj.g_00605	Prat.g_00091
OG0000200	Prbj.g_00606	Prat.g_00092
OG0000201	Prbj.g_00607	Prat.g_00093
OG0000202	Prbj.g_00609	Prat.g_00094
OG0000203	Prbj.g_00610	Prat.g_00095
OG0000204	Prbj.g_00611	Prat.g_00096
OG0000205	Prbj.g_00613	Prat.g_00098
OG0000206	Prbj.g_00614	Prat.g_00099
OG0000207	Prbj.g_00615	Prat.g_00100
OG0000208	Prbj.g_00616	Prat.g_00101
OG0000209	Prbj.g_00617	Prat.g_00102
OG0000210	Prbj.g_00619	Prat.g_00103
OG0000211	Prbj.g_00620	Prat.g_00104
OG0000212	Prbj.g_00621	Prat.g_00105
OG0000213	Prbj.g_00624	Prat.g_00106
OG0000214	Prbj.g_00630	Prat.g_00110
OG0000215	Prbj.g_01550	Prat.g_00111
OG0000216	Prbj.g_01552	Prat.g_00113
OG0000217	Prbj.g_01554	Prat.g_00114
OG0000218	Prbj.g_01556	Prat.g_00115
OG0000219	Prbj.g_01557	Prat.g_00116
OG0000220	Prbj.g_01562	Prat.g_00118
OG0000221	Prbj.g_01567	Prat.g_00122
OG0000222	Prbj.g_01568	Prat.g_00123
OG0000223	Prbj.g_01569	Prat.g_00124
OG0000224	Prbj.g_01530	Prat.g_00126
OG0000225	Prbj.g_01532	Prat.g_00128
OG0000226	Prbj.g_01535	Prat.g_00130
OG0000227	Prbj.g_01537	Prat.g_00131
OG0000228	Prbj.g_01538	Prat.g_00132
OG0000229	Prbj.g_01539	Prat.g_00133
OG0000230	Prbj.g_01540	Prat.g_00134
OG0000231	Prbj.g_01542	Prat.g_00601
OG0000232	Prbj.g_01543	Prat.g_00136
OG0000233	Prbj.g_01548	Prat.g_00139
OG0000234	Prbj.g_00545	Prat.g_00141
OG0000235	Prbj.g_00543	Prat.g_00144
OG0000236	Prbj.g_00542	Prat.g_00145
OG0000237	Prbj.g_00541	Prat.g_00146
OG0000238	Prbj.g_00540	Prat.g_00147
OG0000239	Prbj.g_00539	Prat.g_00148
OG0000240	Prbj.g_00537	Prat.g_00150
OG0000241	Prbj.g_00536	Prat.g_00151
OG0000242	Prbj.g_00535	Prat.g_00152
OG0000243	Prbj.g_00534	Prat.g_00153
OG0000244	Prbj.g_00533	Prat.g_00154
OG0000245	Prbj.g_00531	Prat.g_00156
OG0000246	Prbj.g_00529	Prat.g_00158
OG0000247	Prbj.g_00528	Prat.g_00159
OG0000248	Prbj.g_00527	Prat.g_00160
OG0000249	Prbj.g_00526	Prat.g_00161
OG0000250	Prbj.g_00525	Prat.g_00162
OG0000251	Prbj.g_00524	Prat.g_00163
OG0000252	Prbj.g_00523	Prat.g_00164
OG0000253	Prbj.g_00522	Prat.g_00165
OG0000254	Prbj.g_00520	Prat.g_00167
OG0000255	Prbj.g_00519	Prat.g_00169
OG0000256	Prbj.g_00516	Prat.g_00172
OG0000257	Prbj.g_00515	Prat.g_00174
OG0000258	Prbj.g_00514	Prat.g_00175
OG0000259	Prbj.g_00513	Prat.g_00176
OG0000260	Prbj.g_00512	Prat.g_00177
OG0000261	Prbj.g_00511	Prat.g_00178
OG0000262	Prbj.g_00510	Prat.g_00179
OG0000263	Prbj.g_00509	Prat.g_00180
OG0000264	Prbj.g_02369	Prat.g_00182
OG0000265	Prbj.g_01135	Prat.g_00183
OG0000266	Prbj.g_01137	Prat.g_00184
OG0000267	Prbj.g_01141	Prat.g_00186
OG0000268	Prbj.g_01143	Prat.g_00188
OG0000269	Prbj.g_01146	Prat.g_00189
OG0000270	Prbj.g_01148	Prat.g_00190
OG0000271	Prbj.g_01151	Prat.g_00191
OG0000272	Prbj.g_01152	Prat.g_00192
OG0000273	Prbj.g_01155	Prat.g_00193
OG0000274	Prbj.g_01157	Prat.g_00194
OG0000275	Prbj.g_01158	Prat.g_00195
OG0000276	Prbj.g_01159	Prat.g_00196
OG0000277	Prbj.g_01160	Prat.g_00197
OG0000278	Prbj.g_01161	Prat.g_00198
OG0000279	Prbj.g_01162	Prat.g_00199
OG0000280	Prbj.g_01163	Prat.g_00200
OG0000281	Prbj.g_01165	Prat.g_00202
OG0000282	Prbj.g_01166	Prat.g_00203
OG0000283	Prbj.g_01173	Prat.g_00206
OG0000284	Prbj.g_01174	Prat.g_00207
OG0000285	Prbj.g_00289	Prat.g_00208
OG0000286	Prbj.g_00287	Prat.g_00210
OG0000287	Prbj.g_00234	Prat.g_00211
OG0000288	Prbj.g_00235	Prat.g_00212
OG0000289	Prbj.g_00237	Prat.g_00213
OG0000290	Prbj.g_00238	Prat.g_00214
OG0000291	Prbj.g_00240	Prat.g_00215
OG0000292	Prbj.g_00250	Prat.g_00216
OG0000293	Prbj.g_00251	Prat.g_00217
OG0000294	Prbj.g_00252	Prat.g_00218
OG0000295	Prbj.g_00258	Prat.g_00219
OG0000296	Prbj.g_00259	Prat.g_00220
OG0000297	Prbj.g_00262	Prat.g_00221
OG0000298	Prbj.g_00263	Prat.g_00222
OG0000299	Prbj.g_00264	Prat.g_00223
OG0000300	Prbj.g_00265	Prat.g_00224
OG0000301	Prbj.g_00266	Prat.g_00225
OG0000302	Prbj.g_00267	Prat.g_00226
OG0000303	Prbj.g_00268	Prat.g_00227
OG0000304	Prbj.g_00270	Prat.g_00229
OG0000305	Prbj.g_00271	Prat.g_00230
OG0000306	Prbj.g_00272	Prat.g_00231
OG0000307	Prbj.g_00181	Prat.g_00233
OG0000308	Prbj.g_01775	Prat.g_00234
OG0000309	Prbj.g_01776	Prat.g_00235
OG0000310	Prbj.g_01777	Prat.g_00236
OG0000311	Prbj.g_00177	Prat.g_00238
OG0000312	Prbj.g_00176	Prat.g_00240
OG0000313	Prbj.g_02608	Prat.g_00241
OG0000314	Prbj.g_02614	Prat.g_00245
OG0000315	Prbj.g_02615	Prat.g_00246
OG0000316	Prbj.g_02661	Prat.g_00249
OG0000317	Prbj.g_01341	Prat.g_00250
OG0000318	Prbj.g_01342	Prat.g_00251
OG0000319	Prbj.g_01343	Prat.g_00252
OG0000320	Prbj.g_01345	Prat.g_00253
OG0000321	Prbj.g_01350	Prat.g_00256
OG0000322	Prbj.g_01359	Prat.g_00260
OG0000323	Prbj.g_01360	Prat.g_00261
OG0000324	Prbj.g_01362	Prat.g_00264
OG0000325	Prbj.g_01364	Prat.g_00266
OG0000326	Prbj.g_01366	Prat.g_00267
OG0000327	Prbj.g_01372	Prat.g_00269
OG0000328	Prbj.g_00180	Prat.g_00270
OG0000329	Prbj.g_01385	Prat.g_00271
OG0000330	Prbj.g_01386	Prat.g_00272
OG0000331	Prbj.g_01388	Prat.g_00273
OG0000332	Prbj.g_01389	Prat.g_00274
OG0000333	Prbj.g_01390	Prat.g_00275
OG0000334	Prbj.g_01391	Prat.g_00276
OG0000335	Prbj.g_01392	Prat.g_00277
OG0000336	Prbj.g_01394	Prat.g_00279
OG0000337	Prbj.g_01399	Prat.g_00282
OG0000338	Prbj.g_01400	Prat.g_00283
OG0000339	Prbj.g_01401	Prat.g_00284
OG0000340	Prbj.g_01403	Prat.g_00285
OG0000341	Prbj.g_01408	Prat.g_00290
OG0000342	Prbj.g_01409	Prat.g_00291
OG0000343	Prbj.g_01411	Prat.g_00293
OG0000344	Prbj.g_01413	Prat.g_00294
OG0000345	Prbj.g_01414	Prat.g_00295
OG0000346	Prbj.g_01415	Prat.g_00296
OG0000347	Prbj.g_01416	Prat.g_00297
OG0000348	Prbj.g_01417	Prat.g_00298
OG0000349	Prbj.g_01418	Prat.g_00299
OG0000350	Prbj.g_01419	Prat.g_00300
OG0000351	Prbj.g_01423	Prat.g_00303
OG0000352	Prbj.g_01427	Prat.g_00306
OG0000353	Prbj.g_01430	Prat.g_00307
OG0000354	Prbj.g_01431	Prat.g_00308
OG0000355	Prbj.g_01432	Prat.g_00309
OG0000356	Prbj.g_01437	Prat.g_00310
OG0000357	Prbj.g_01438	Prat.g_00311
OG0000358	Prbj.g_01439	Prat.g_00312
OG0000359	Prbj.g_01441	Prat.g_00313
OG0000360	Prbj.g_01444	Prat.g_00315
OG0000361	Prbj.g_01445	Prat.g_00316
OG0000362	Prbj.g_01446	Prat.g_00317
OG0000363	Prbj.g_01448	Prat.g_00318
OG0000364	Prbj.g_01449	Prat.g_00319
OG0000365	Prbj.g_01450	Prat.g_00320
OG0000366	Prbj.g_01451	Prat.g_00321
OG0000367	Prbj.g_01452	Prat.g_00322
OG0000368	Prbj.g_01453	Prat.g_00323
OG0000369	Prbj.g_01454	Prat.g_00324
OG0000370	Prbj.g_01455	Prat.g_00325
OG0000371	Prbj.g_01456	Prat.g_00326
OG0000372	Prbj.g_01459	Prat.g_00328
OG0000373	Prbj.g_01469	Prat.g_00330
OG0000374	Prbj.g_01471	Prat.g_00331
OG0000375	Prbj.g_01480	Prat.g_00332
OG0000376	Prbj.g_00359	Prat.g_00334
OG0000377	Prbj.g_00352	Prat.g_00340
OG0000378	Prbj.g_00351	Prat.g_00341
OG0000379	Prbj.g_00341	Prat.g_00348
OG0000380	Prbj.g_00339	Prat.g_00350
OG0000381	Prbj.g_00338	Prat.g_00351
OG0000382	Prbj.g_00336	Prat.g_00352
OG0000383	Prbj.g_00331	Prat.g_00355
OG0000384	Prbj.g_00330	Prat.g_00356
OG0000385	Prbj.g_00324	Prat.g_00359
OG0000386	Prbj.g_00323	Prat.g_00360
OG0000387	Prbj.g_00322	Prat.g_00361
OG0000388	Prbj.g_00321	Prat.g_00362
OG0000389	Prbj.g_00320	Prat.g_00363
OG0000390	Prbj.g_00319	Prat.g_00364
OG0000391	Prbj.g_00318	Prat.g_00365
OG0000392	Prbj.g_00317	Prat.g_00366
OG0000393	Prbj.g_00063	Prat.g_00369
OG0000394	Prbj.g_00064	Prat.g_00370
OG0000395	Prbj.g_00068	Prat.g_00373
OG0000396	Prbj.g_02500	Prat.g_00985
OG0000397	Prbj.g_00563	Prat.g_01203
OG0000398	Prbj.g_00874	Prat.g_01469
OG0000399	Prbj.g_00689	Prat.g_00671
OG0000400	Prbj.g_02659	Prat.g_01656
OG0000401	Prbj.g_00076	Prat.g_00390
OG0000402	Prbj.g_00077	Prat.g_00391
OG0000403	Prbj.g_00089	Prat.g_00392
OG0000404	Prbj.g_00099	Prat.g_00395
OG0000405	Prbj.g_00100	Prat.g_00396
OG0000406	Prbj.g_00102	Prat.g_00398
OG0000407	Prbj.g_00103	Prat.g_00399
OG0000408	Prbj.g_00104	Prat.g_00400
OG0000409	Prbj.g_00105	Prat.g_00401
OG0000410	Prbj.g_00107	Prat.g_00403
OG0000411	Prbj.g_00108	Prat.g_00404
OG0000412	Prbj.g_00109	Prat.g_00405
OG0000413	Prbj.g_00110	Prat.g_00406
OG0000414	Prbj.g_00111	Prat.g_00407
OG0000415	Prbj.g_00112	Prat.g_00408
OG0000416	Prbj.g_00113	Prat.g_00410
OG0000417	Prbj.g_00117	Prat.g_00411
OG0000418	Prbj.g_00118	Prat.g_00412
OG0000419	Prbj.g_00119	Prat.g_00413
OG0000420	Prbj.g_00120	Prat.g_00414
OG0000421	Prbj.g_01894	Prat.g_00415
OG0000422	Prbj.g_01892	Prat.g_00417
OG0000423	Prbj.g_01891	Prat.g_00418
OG0000424	Prbj.g_01888	Prat.g_00419
OG0000425	Prbj.g_00152	Prat.g_00424
OG0000426	Prbj.g_00151	Prat.g_00425
OG0000427	Prbj.g_00148	Prat.g_00426
OG0000428	Prbj.g_00136	Prat.g_00428
OG0000429	Prbj.g_00134	Prat.g_00429
OG0000430	Prbj.g_00132	Prat.g_00430
OG0000431	Prbj.g_00130	Prat.g_00432
OG0000432	Prbj.g_00129	Prat.g_00433
OG0000433	Prbj.g_01638	Prat.g_00436
OG0000434	Prbj.g_01635	Prat.g_00438
OG0000435	Prbj.g_01631	Prat.g_00439
OG0000436	Prbj.g_01629	Prat.g_00441
OG0000437	Prbj.g_01627	Prat.g_00443
OG0000438	Prbj.g_01626	Prat.g_00444
OG0000439	Prbj.g_01625	Prat.g_00445
OG0000440	Prbj.g_01622	Prat.g_00447
OG0000441	Prbj.g_01620	Prat.g_00448
OG0000442	Prbj.g_01619	Prat.g_00449
OG0000443	Prbj.g_01618	Prat.g_00450
OG0000444	Prbj.g_01617	Prat.g_00451
OG0000445	Prbj.g_01616	Prat.g_00453
OG0000446	Prbj.g_01615	Prat.g_00454
OG0000447	Prbj.g_01614	Prat.g_00455
OG0000448	Prbj.g_01613	Prat.g_00456
OG0000449	Prbj.g_01605	Prat.g_00463
OG0000450	Prbj.g_02088	Prat.g_00464
OG0000451	Prbj.g_02089	Prat.g_00465
OG0000452	Prbj.g_02090	Prat.g_00466
OG0000453	Prbj.g_02093	Prat.g_00468
OG0000454	Prbj.g_02094	Prat.g_00469
OG0000455	Prbj.g_02095	Prat.g_00470
OG0000456	Prbj.g_02096	Prat.g_00471
OG0000457	Prbj.g_02097	Prat.g_00473
OG0000458	Prbj.g_02098	Prat.g_00475
OG0000459	Prbj.g_02099	Prat.g_00476
OG0000460	Prbj.g_02101	Prat.g_00478
OG0000461	Prbj.g_02102	Prat.g_00479
OG0000462	Prbj.g_02103	Prat.g_00480
OG0000463	Prbj.g_02108	Prat.g_00482
OG0000464	Prbj.g_02113	Prat.g_00486
OG0000465	Prbj.g_02114	Prat.g_00487
OG0000466	Prbj.g_02115	Prat.g_00488
OG0000467	Prbj.g_02117	Prat.g_00489
OG0000468	Prbj.g_02118	Prat.g_00490
OG0000469	Prbj.g_02123	Prat.g_00491
OG0000470	Prbj.g_01116	Prat.g_00492
OG0000471	Prbj.g_00765	Prat.g_00493
OG0000472	Prbj.g_02128	Prat.g_00496
OG0000473	Prbj.g_02130	Prat.g_00497
OG0000474	Prbj.g_02132	Prat.g_00498
OG0000475	Prbj.g_02133	Prat.g_00499
OG0000476	Prbj.g_02139	Prat.g_00500
OG0000477	Prbj.g_02142	Prat.g_00501
OG0000478	Prbj.g_02144	Prat.g_00502
OG0000479	Prbj.g_02146	Prat.g_00503
OG0000480	Prbj.g_02666	Prat.g_00505
OG0000481	Prbj.g_01858	Prat.g_00506
OG0000482	Prbj.g_01859	Prat.g_00507
OG0000483	Prbj.g_01861	Prat.g_00508
OG0000484	Prbj.g_01862	Prat.g_00509
OG0000485	Prbj.g_01863	Prat.g_00510
OG0000486	Prbj.g_01864	Prat.g_00511
OG0000487	Prbj.g_01865	Prat.g_00512
OG0000488	Prbj.g_01867	Prat.g_00515
OG0000489	Prbj.g_01868	Prat.g_00516
OG0000490	Prbj.g_01869	Prat.g_00517
OG0000491	Prbj.g_01870	Prat.g_00518
OG0000492	Prbj.g_01871	Prat.g_00519
OG0000493	Prbj.g_01872	Prat.g_00520
OG0000494	Prbj.g_01874	Prat.g_00522
OG0000495	Prbj.g_01875	Prat.g_00523
OG0000496	Prbj.g_01877	Prat.g_00525
OG0000497	Prbj.g_01879	Prat.g_00527
OG0000498	Prbj.g_01880	Prat.g_00528
OG0000499	Prbj.g_01882	Prat.g_00530
OG0000500	Prbj.g_01883	Prat.g_00531
OG0000501	Prbj.g_01807	Prat.g_00533
OG0000502	Prbj.g_01806	Prat.g_00534
OG0000503	Prbj.g_01805	Prat.g_00536
OG0000504	Prbj.g_01803	Prat.g_00537
OG0000505	Prbj.g_01802	Prat.g_00538
OG0000506	Prbj.g_01801	Prat.g_00539
OG0000507	Prbj.g_01800	Prat.g_00540
OG0000508	Prbj.g_01796	Prat.g_00542
OG0000509	Prbj.g_01795	Prat.g_00543
OG0000510	Prbj.g_01794	Prat.g_00544
OG0000511	Prbj.g_01793	Prat.g_00545
OG0000512	Prbj.g_01792	Prat.g_00546
OG0000513	Prbj.g_01791	Prat.g_00547
OG0000514	Prbj.g_01790	Prat.g_00548
OG0000515	Prbj.g_01787	Prat.g_00549
OG0000516	Prbj.g_01786	Prat.g_00550
OG0000517	Prbj.g_01785	Prat.g_00551
OG0000518	Prbj.g_01781	Prat.g_00553
OG0000519	Prbj.g_01780	Prat.g_00554
OG0000520	Prbj.g_01779	Prat.g_00555
OG0000521	Prbj.g_01778	Prat.g_00556
OG0000522	Prbj.g_01772	Prat.g_00557
OG0000523	Prbj.g_01771	Prat.g_00558
OG0000524	Prbj.g_01770	Prat.g_00559
OG0000525	Prbj.g_01768	Prat.g_00561
OG0000526	Prbj.g_01767	Prat.g_00562
OG0000527	Prbj.g_01766	Prat.g_00563
OG0000528	Prbj.g_01765	Prat.g_00564
OG0000529	Prbj.g_01764	Prat.g_00565
OG0000530	Prbj.g_01763	Prat.g_00566
OG0000531	Prbj.g_01760	Prat.g_00568
OG0000532	Prbj.g_01758	Prat.g_00569
OG0000533	Prbj.g_01757	Prat.g_00570
OG0000534	Prbj.g_01756	Prat.g_00571
OG0000535	Prbj.g_01755	Prat.g_00572
OG0000536	Prbj.g_01754	Prat.g_00573
OG0000537	Prbj.g_01753	Prat.g_00574
OG0000538	Prbj.g_01752	Prat.g_00575
OG0000539	Prbj.g_01750	Prat.g_00576
OG0000540	Prbj.g_01748	Prat.g_00577
OG0000541	Prbj.g_02544	Prat.g_00579
OG0000542	Prbj.g_02545	Prat.g_00580
OG0000543	Prbj.g_02546	Prat.g_00581
OG0000544	Prbj.g_02547	Prat.g_00582
OG0000545	Prbj.g_02550	Prat.g_00584
OG0000546	Prbj.g_02551	Prat.g_00585
OG0000547	Prbj.g_02553	Prat.g_00587
OG0000548	Prbj.g_02558	Prat.g_00589
OG0000549	Prbj.g_02559	Prat.g_00590
OG0000550	Prbj.g_02560	Prat.g_00591
OG0000551	Prbj.g_02563	Prat.g_00592
OG0000552	Prbj.g_02565	Prat.g_00593
OG0000553	Prbj.g_02566	Prat.g_01097
OG0000554	Prbj.g_02568	Prat.g_01095
OG0000555	Prbj.g_02569	Prat.g_01094
OG0000556	Prbj.g_02570	Prat.g_01093
OG0000557	Prbj.g_02571	Prat.g_01091
OG0000558	Prbj.g_02573	Prat.g_01090
OG0000559	Prbj.g_02574	Prat.g_01089
OG0000560	Prbj.g_02576	Prat.g_01087
OG0000561	Prbj.g_02577	Prat.g_01086
OG0000562	Prbj.g_02579	Prat.g_01084
OG0000563	Prbj.g_02580	Prat.g_01083
OG0000564	Prbj.g_02581	Prat.g_01082
OG0000565	Prbj.g_02589	Prat.g_01081
OG0000566	Prbj.g_02590	Prat.g_01080
OG0000567	Prbj.g_02591	Prat.g_01079
OG0000568	Prbj.g_02592	Prat.g_01078
OG0000569	Prbj.g_02593	Prat.g_01077
