Orthogroup	Prax	Prbb
OG0000026	Prax.g_01917	Prbb.g_01119, Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01243, Prbb.g_01400
OG0000029	Prax.g_00392	Prbb.g_00747, Prbb.g_01897
OG0000030	Prax.g_00391	Prbb.g_01020, Prbb.g_01379, Prbb.g_01019, Prbb.g_01096, Prbb.g_01362
OG0000031	Prax.g_01401	Prbb.g_02069
OG0000032	Prax.g_00280	Prbb.g_01921
OG0000033	Prax.g_01641, Prax.g_00441	Prbb.g_01114, Prbb.g_01127
OG0000034	Prax.g_01733, Prax.g_01728	Prbb.g_01686
OG0000035	Prax.g_01616	Prbb.g_01324, Prbb.g_01729
OG0000036	Prax.g_00138	Prbb.g_01071
OG0000040	Prax.g_01930	Prbb.g_01229
OG0000040	Prax.g_00776	Prbb.g_01368
OG0000041	Prax.g_00082	Prbb.g_01111
OG0000045	Prax.g_00045	Prbb.g_01882
OG0000046	Prax.g_00415	Prbb.g_01231
OG0000047	Prax.g_00200	Prbb.g_01517
OG0000049	Prax.g_01823	Prbb.g_00851
OG0000050	Prax.g_01052	Prbb.g_00223
OG0000051	Prax.g_00813	Prbb.g_01373, Prbb.g_01411
OG0000053	Prax.g_00485	Prbb.g_00713
OG0000054	Prax.g_01566	Prbb.g_01816
OG0000055	Prax.g_01394	Prbb.g_02061
OG0000056	Prax.g_00282, Prax.g_00458	Prbb.g_00032
OG0000057	Prax.g_01061	Prbb.g_00214
OG0000058	Prax.g_00803	Prbb.g_01197, Prbb.g_01329
OG0000059	Prax.g_00662	Prbb.g_00542
OG0000060	Prax.g_00452	Prbb.g_00726
OG0000061	Prax.g_00457	Prbb.g_00053
OG0000062	Prax.g_00351	Prbb.g_00807, Prbb.g_01218
OG0000063	Prax.g_00148	Prbb.g_00054
OG0000065	Prax.g_00981, Prax.g_01581	Prbb.g_00294
OG0000066	Prax.g_00727	Prbb.g_00478
OG0000067	Prax.g_00944	Prbb.g_01359, Prbb.g_00706
OG0000069	Prax.g_00159, Prax.g_01149	Prbb.g_01627
OG0000070	Prax.g_01204	Prbb.g_01070
OG0000071	Prax.g_01959	Prbb.g_01399
OG0000072	Prax.g_01899	Prbb.g_01586
OG0000074	Prax.g_01832	Prbb.g_00678
OG0000075	Prax.g_01338	Prbb.g_02001
OG0000077	Prax.g_01974	Prbb.g_00012
OG0000078	Prax.g_00853, Prax.g_00852	Prbb.g_00373
OG0000079	Prax.g_00792	Prbb.g_01326
OG0000080	Prax.g_00973	Prbb.g_00673
OG0000081	Prax.g_00951	Prbb.g_00697, Prbb.g_00698
OG0000082	Prax.g_00366	Prbb.g_00790
OG0000083	Prax.g_00501, Prax.g_00530, Prax.g_00301	Prbb.g_00909, Prbb.g_01198
OG0000084	Prax.g_01129	Prbb.g_00991
OG0000085	Prax.g_01254, Prax.g_01759	Prbb.g_01238
OG0000086	Prax.g_00161	Prbb.g_01887
OG0000088	Prax.g_01952	Prbb.g_01306
OG0000090	Prax.g_01825	Prbb.g_00388
OG0000091	Prax.g_01720	Prbb.g_01694
OG0000092	Prax.g_01600	Prbb.g_01208
OG0000093	Prax.g_01286	Prbb.g_01946
OG0000094	Prax.g_01335	Prbb.g_01997
OG0000095	Prax.g_01368	Prbb.g_02034
OG0000096	Prax.g_01439	Prbb.g_02123
OG0000098	Prax.g_01493	Prbb.g_00003
OG0000099	Prax.g_00290	Prbb.g_00024
OG0000101	Prax.g_00624	Prbb.g_00064
OG0000102	Prax.g_01106	Prbb.g_00170
OG0000103	Prax.g_01097	Prbb.g_00179
OG0000104	Prax.g_01079	Prbb.g_00196
OG0000105	Prax.g_01048	Prbb.g_00227
OG0000106	Prax.g_01034	Prbb.g_00240
OG0000107	Prax.g_01026	Prbb.g_00249
OG0000108	Prax.g_01016	Prbb.g_00259
OG0000109	Prax.g_00979	Prbb.g_00041, Prbb.g_00297
OG0000110	Prax.g_00488, Prax.g_00924	Prbb.g_00307
OG0000111	Prax.g_00901	Prbb.g_00327
OG0000113	Prax.g_00878	Prbb.g_00348
OG0000114	Prax.g_00848	Prbb.g_00376
OG0000115	Prax.g_00728	Prbb.g_00477
OG0000116	Prax.g_00726	Prbb.g_00479
OG0000117	Prax.g_00722	Prbb.g_00484, Prbb.g_00485
OG0000118	Prax.g_00702	Prbb.g_00503
OG0000119	Prax.g_00669	Prbb.g_00535
OG0000120	Prax.g_00668	Prbb.g_00536
OG0000121	Prax.g_00004	Prbb.g_00546
OG0000122	Prax.g_00013	Prbb.g_00556
OG0000123	Prax.g_00044	Prbb.g_00586
OG0000124	Prax.g_00110	Prbb.g_00652
OG0000125	Prax.g_00111	Prbb.g_00653
OG0000126	Prax.g_00112	Prbb.g_00654
OG0000127	Prax.g_00956	Prbb.g_00692
OG0000128	Prax.g_00483	Prbb.g_00715
OG0000129	Prax.g_00463	Prbb.g_00737
OG0000130	Prax.g_00388	Prbb.g_00954
OG0000131	Prax.g_00375	Prbb.g_00781
OG0000132	Prax.g_00339	Prbb.g_00817
OG0000133	Prax.g_00578	Prbb.g_00950
OG0000134	Prax.g_01769, Prax.g_00588	Prbb.g_00768
OG0000135	Prax.g_01133	Prbb.g_00995
OG0000136	Prax.g_01201	Prbb.g_01067
OG0000137	Prax.g_00164	Prbb.g_01890
OG0000138	Prax.g_00195	Prbb.g_01523
OG0000139	Prax.g_00206	Prbb.g_01510
OG0000140	Prax.g_00257	Prbb.g_01456
OG0000141	Prax.g_01789	Prbb.g_01060
OG0000142	Prax.g_01887	Prbb.g_01598
OG0000143	Prax.g_01863	Prbb.g_01639
OG0000144	Prax.g_01746	Prbb.g_01673
OG0000145	Prax.g_01727	Prbb.g_01687
OG0000146	Prax.g_01691	Prbb.g_01721
OG0000147	Prax.g_01651	Prbb.g_01767
OG0000148	Prax.g_01650	Prbb.g_01768
OG0000149	Prax.g_01561	Prbb.g_01821
OG0000150	Prax.g_01523	Prbb.g_01858
OG0000151	Prax.g_01520	Prbb.g_01860
OG0000152	Prax.g_01257	Prbb.g_01880
OG0000153	Prax.g_01297	Prbb.g_01959
OG0000154	Prax.g_01333	Prbb.g_01995
OG0000155	Prax.g_01351	Prbb.g_02014
OG0000156	Prax.g_01379	Prbb.g_02046
OG0000157	Prax.g_01411	Prbb.g_02082
OG0000158	Prax.g_01473	Prbb.g_02168
OG0000160	Prax.g_01491	Prbb.g_00001
OG0000161	Prax.g_01492	Prbb.g_00002
OG0000162	Prax.g_01494	Prbb.g_00004
OG0000163	Prax.g_01495	Prbb.g_00005
OG0000164	Prax.g_01496	Prbb.g_00007
OG0000165	Prax.g_01497	Prbb.g_00008
OG0000166	Prax.g_01498	Prbb.g_00009
OG0000167	Prax.g_01499	Prbb.g_00010
OG0000168	Prax.g_01975	Prbb.g_00011
OG0000169	Prax.g_01973	Prbb.g_00013
OG0000170	Prax.g_00299	Prbb.g_00015
OG0000171	Prax.g_00298	Prbb.g_00016
OG0000172	Prax.g_00297	Prbb.g_00017
OG0000173	Prax.g_00296	Prbb.g_00018
OG0000174	Prax.g_00295	Prbb.g_00019
OG0000175	Prax.g_00294	Prbb.g_00020
OG0000176	Prax.g_00293	Prbb.g_00021
OG0000177	Prax.g_00292	Prbb.g_00022
OG0000178	Prax.g_00291	Prbb.g_00023
OG0000179	Prax.g_00289	Prbb.g_00025
OG0000180	Prax.g_00288	Prbb.g_00026
OG0000181	Prax.g_00287	Prbb.g_00027
OG0000182	Prax.g_00286	Prbb.g_00028
OG0000183	Prax.g_00285	Prbb.g_00029
OG0000184	Prax.g_00284	Prbb.g_00030
OG0000185	Prax.g_00281	Prbb.g_00033
OG0000186	Prax.g_00278	Prbb.g_00035
OG0000187	Prax.g_00277	Prbb.g_00036
OG0000188	Prax.g_00276	Prbb.g_00037
OG0000189	Prax.g_00273	Prbb.g_00055
OG0000190	Prax.g_00271	Prbb.g_00057
OG0000191	Prax.g_00270	Prbb.g_00058
OG0000192	Prax.g_00269	Prbb.g_00059
OG0000193	Prax.g_00261	Prbb.g_00060
OG0000194	Prax.g_00621	Prbb.g_00061
OG0000195	Prax.g_00622	Prbb.g_00062
OG0000196	Prax.g_00623	Prbb.g_00063
OG0000197	Prax.g_00625	Prbb.g_00065
OG0000198	Prax.g_00626	Prbb.g_00066
OG0000199	Prax.g_00627	Prbb.g_00067
OG0000200	Prax.g_00635	Prbb.g_00119
OG0000201	Prax.g_00636	Prbb.g_00120
OG0000202	Prax.g_00637	Prbb.g_00121
OG0000203	Prax.g_00640	Prbb.g_00124
OG0000204	Prax.g_00641	Prbb.g_00125
OG0000205	Prax.g_00644	Prbb.g_00128
OG0000206	Prax.g_00646	Prbb.g_00130
OG0000207	Prax.g_00648	Prbb.g_00132
OG0000208	Prax.g_00649	Prbb.g_00133
OG0000209	Prax.g_00650	Prbb.g_00134
OG0000210	Prax.g_00651	Prbb.g_00135
OG0000211	Prax.g_00652	Prbb.g_00136
OG0000212	Prax.g_00653	Prbb.g_00137
OG0000213	Prax.g_00654	Prbb.g_00138
OG0000214	Prax.g_00655	Prbb.g_00139
OG0000215	Prax.g_00656	Prbb.g_00140
OG0000216	Prax.g_00657	Prbb.g_00141
OG0000217	Prax.g_00659	Prbb.g_00143
OG0000218	Prax.g_00660	Prbb.g_00144
OG0000219	Prax.g_01128	Prbb.g_00145
OG0000220	Prax.g_01127	Prbb.g_00146
OG0000221	Prax.g_01124	Prbb.g_00149
OG0000222	Prax.g_01123	Prbb.g_00150
OG0000223	Prax.g_01122	Prbb.g_00151
OG0000224	Prax.g_01121	Prbb.g_00152
OG0000225	Prax.g_01120	Prbb.g_00153
OG0000226	Prax.g_01119	Prbb.g_00154
OG0000227	Prax.g_01118	Prbb.g_00156
OG0000228	Prax.g_01117	Prbb.g_00157
OG0000229	Prax.g_01116	Prbb.g_00158
OG0000230	Prax.g_01115	Prbb.g_00159
OG0000231	Prax.g_01114	Prbb.g_00160
OG0000232	Prax.g_01113	Prbb.g_00161
OG0000233	Prax.g_01112	Prbb.g_00162
OG0000234	Prax.g_01111	Prbb.g_00163
OG0000235	Prax.g_01110	Prbb.g_00164
OG0000236	Prax.g_01109	Prbb.g_00167
OG0000237	Prax.g_01108	Prbb.g_00168
OG0000238	Prax.g_01107	Prbb.g_00169
OG0000239	Prax.g_01105	Prbb.g_00171
OG0000240	Prax.g_01103	Prbb.g_00173
OG0000241	Prax.g_01102	Prbb.g_00174
OG0000242	Prax.g_01101	Prbb.g_00175
OG0000243	Prax.g_01098	Prbb.g_00177
OG0000244	Prax.g_01096	Prbb.g_00180
OG0000245	Prax.g_01095	Prbb.g_00181
OG0000246	Prax.g_01094	Prbb.g_00182
OG0000247	Prax.g_01091	Prbb.g_00185
OG0000248	Prax.g_01089	Prbb.g_00187
OG0000249	Prax.g_01088	Prbb.g_00189
OG0000250	Prax.g_01087	Prbb.g_00190
OG0000251	Prax.g_01086	Prbb.g_00191
OG0000252	Prax.g_01085	Prbb.g_00192
OG0000253	Prax.g_01084	Prbb.g_00193
OG0000254	Prax.g_01082	Prbb.g_01101
OG0000255	Prax.g_01081	Prbb.g_00194
OG0000256	Prax.g_01078	Prbb.g_00197
OG0000257	Prax.g_01076	Prbb.g_00200
OG0000258	Prax.g_01073	Prbb.g_00202
OG0000259	Prax.g_01072	Prbb.g_00203
OG0000260	Prax.g_01071	Prbb.g_00204
OG0000261	Prax.g_01070	Prbb.g_00205
OG0000262	Prax.g_01069	Prbb.g_00206
OG0000263	Prax.g_01067	Prbb.g_00208
OG0000264	Prax.g_01066	Prbb.g_00209
OG0000265	Prax.g_01065	Prbb.g_00210
OG0000266	Prax.g_01064	Prbb.g_00211
OG0000267	Prax.g_01063	Prbb.g_00212
OG0000268	Prax.g_01062	Prbb.g_00213
OG0000269	Prax.g_01060	Prbb.g_00215
OG0000270	Prax.g_01059	Prbb.g_00216
OG0000271	Prax.g_01058	Prbb.g_00217
OG0000272	Prax.g_01057	Prbb.g_00218
OG0000273	Prax.g_01056	Prbb.g_00219
OG0000274	Prax.g_01055	Prbb.g_00220
OG0000275	Prax.g_01054	Prbb.g_00221
OG0000276	Prax.g_01053	Prbb.g_00222
OG0000277	Prax.g_01051	Prbb.g_00224
OG0000278	Prax.g_01050	Prbb.g_00225
OG0000279	Prax.g_01049	Prbb.g_00226
OG0000280	Prax.g_01047	Prbb.g_00228
OG0000281	Prax.g_01045	Prbb.g_00229
OG0000282	Prax.g_01044	Prbb.g_00230
OG0000283	Prax.g_01043	Prbb.g_00231
OG0000284	Prax.g_01042	Prbb.g_00232
OG0000285	Prax.g_01041	Prbb.g_00233
OG0000286	Prax.g_01040	Prbb.g_00234
OG0000287	Prax.g_01039	Prbb.g_00235
OG0000288	Prax.g_01037	Prbb.g_00237
OG0000289	Prax.g_01036	Prbb.g_00238
OG0000290	Prax.g_01035	Prbb.g_00239
OG0000291	Prax.g_01033	Prbb.g_00241
OG0000292	Prax.g_01032	Prbb.g_00243
OG0000293	Prax.g_01031	Prbb.g_00244
OG0000294	Prax.g_01030	Prbb.g_00245
OG0000295	Prax.g_01029	Prbb.g_00246
OG0000296	Prax.g_01028	Prbb.g_00247
OG0000297	Prax.g_01027	Prbb.g_00248
OG0000298	Prax.g_01025	Prbb.g_00250
OG0000299	Prax.g_01024	Prbb.g_00251
OG0000300	Prax.g_01023	Prbb.g_00252
OG0000301	Prax.g_01022	Prbb.g_00253
OG0000302	Prax.g_01021	Prbb.g_00254
OG0000303	Prax.g_01020	Prbb.g_00255
OG0000304	Prax.g_01018	Prbb.g_00257
OG0000305	Prax.g_01017	Prbb.g_00258
OG0000306	Prax.g_01014	Prbb.g_00260
OG0000307	Prax.g_01013	Prbb.g_00261
OG0000308	Prax.g_01012	Prbb.g_00262
OG0000309	Prax.g_01011	Prbb.g_00263
OG0000310	Prax.g_01010	Prbb.g_00264
OG0000311	Prax.g_01009	Prbb.g_00265
OG0000312	Prax.g_01008	Prbb.g_00266
OG0000313	Prax.g_01007	Prbb.g_00267
OG0000314	Prax.g_01006	Prbb.g_00268
OG0000315	Prax.g_01005	Prbb.g_00269
OG0000316	Prax.g_01004	Prbb.g_00270
OG0000317	Prax.g_01003	Prbb.g_00271
OG0000318	Prax.g_01002	Prbb.g_00272
OG0000319	Prax.g_01001	Prbb.g_00273
OG0000320	Prax.g_01000	Prbb.g_00274
OG0000321	Prax.g_00999	Prbb.g_00275
OG0000322	Prax.g_00998	Prbb.g_00276
OG0000323	Prax.g_00997	Prbb.g_00277
OG0000324	Prax.g_00996	Prbb.g_00278
OG0000325	Prax.g_00995	Prbb.g_00279
OG0000326	Prax.g_00994	Prbb.g_00280
OG0000327	Prax.g_00993	Prbb.g_00281
OG0000328	Prax.g_00992	Prbb.g_00282
OG0000329	Prax.g_00991	Prbb.g_00283
OG0000330	Prax.g_00990	Prbb.g_00284
OG0000331	Prax.g_00989	Prbb.g_00285
OG0000332	Prax.g_00988	Prbb.g_00286
OG0000333	Prax.g_00987	Prbb.g_00287
OG0000334	Prax.g_00986	Prbb.g_00288
OG0000335	Prax.g_00985	Prbb.g_00290
OG0000336	Prax.g_00983	Prbb.g_00292
OG0000337	Prax.g_00982	Prbb.g_00293
OG0000338	Prax.g_00978	Prbb.g_00298
OG0000339	Prax.g_00933	Prbb.g_00300
OG0000340	Prax.g_00931	Prbb.g_00302
OG0000341	Prax.g_00930	Prbb.g_00303
OG0000342	Prax.g_00929	Prbb.g_00304
OG0000343	Prax.g_00928	Prbb.g_00305
OG0000344	Prax.g_00925	Prbb.g_00306
OG0000345	Prax.g_00922	Prbb.g_00309
OG0000346	Prax.g_00921	Prbb.g_00310
OG0000347	Prax.g_00918	Prbb.g_00313
OG0000348	Prax.g_00916	Prbb.g_00314
OG0000349	Prax.g_00915	Prbb.g_00315
OG0000350	Prax.g_00913	Prbb.g_00316
OG0000351	Prax.g_00912	Prbb.g_00317
OG0000352	Prax.g_00911	Prbb.g_00318
OG0000353	Prax.g_00910	Prbb.g_00319
OG0000354	Prax.g_00909	Prbb.g_00320
OG0000355	Prax.g_00908	Prbb.g_00321
OG0000356	Prax.g_00907	Prbb.g_00322
OG0000357	Prax.g_00906	Prbb.g_00323
OG0000358	Prax.g_00905	Prbb.g_00324
OG0000359	Prax.g_00904	Prbb.g_00326
OG0000360	Prax.g_00900	Prbb.g_00328
OG0000361	Prax.g_00899	Prbb.g_00329
OG0000362	Prax.g_00898	Prbb.g_00330
OG0000363	Prax.g_00897	Prbb.g_00331
OG0000364	Prax.g_00893	Prbb.g_00334
OG0000365	Prax.g_00892	Prbb.g_00335
OG0000366	Prax.g_00890	Prbb.g_00337
OG0000367	Prax.g_00889	Prbb.g_00338
OG0000368	Prax.g_00888	Prbb.g_00339
OG0000369	Prax.g_00887	Prbb.g_00340
OG0000370	Prax.g_00886	Prbb.g_00341
OG0000371	Prax.g_00885	Prbb.g_00342
OG0000372	Prax.g_00884	Prbb.g_00343
OG0000373	Prax.g_00883	Prbb.g_00344
OG0000374	Prax.g_00881	Prbb.g_00345
OG0000375	Prax.g_00880	Prbb.g_00346
OG0000376	Prax.g_00877	Prbb.g_00349
OG0000377	Prax.g_00876	Prbb.g_00350
OG0000378	Prax.g_00875	Prbb.g_00351
OG0000379	Prax.g_00874	Prbb.g_00352
OG0000380	Prax.g_00873	Prbb.g_00353
OG0000381	Prax.g_00872	Prbb.g_00354
OG0000382	Prax.g_00871	Prbb.g_00355
OG0000383	Prax.g_00870	Prbb.g_00356
OG0000384	Prax.g_00867	Prbb.g_00359
OG0000385	Prax.g_00866	Prbb.g_00360
OG0000386	Prax.g_00865	Prbb.g_00361
OG0000387	Prax.g_00864	Prbb.g_00362
OG0000388	Prax.g_00863	Prbb.g_00363
OG0000389	Prax.g_00862	Prbb.g_00364
OG0000390	Prax.g_00861	Prbb.g_00365
OG0000391	Prax.g_00860	Prbb.g_00366
OG0000392	Prax.g_00859	Prbb.g_00367
OG0000393	Prax.g_00858	Prbb.g_00368
OG0000394	Prax.g_00857	Prbb.g_00369
OG0000395	Prax.g_00856	Prbb.g_00370
OG0000396	Prax.g_00854	Prbb.g_00372
OG0000397	Prax.g_00850	Prbb.g_00374
OG0000398	Prax.g_00849	Prbb.g_00375
OG0000399	Prax.g_00846	Prbb.g_00378
OG0000400	Prax.g_00845	Prbb.g_00384
OG0000401	Prax.g_00844	Prbb.g_00739
OG0000402	Prax.g_00839	Prbb.g_00394
OG0000403	Prax.g_00838	Prbb.g_00396
OG0000404	Prax.g_00837	Prbb.g_00397
OG0000405	Prax.g_00835	Prbb.g_00398
OG0000406	Prax.g_00832	Prbb.g_00401
OG0000407	Prax.g_00831	Prbb.g_00402
OG0000408	Prax.g_00828	Prbb.g_00404
OG0000409	Prax.g_00827	Prbb.g_00405
OG0000410	Prax.g_00826	Prbb.g_00406
OG0000411	Prax.g_00825	Prbb.g_00407
OG0000412	Prax.g_00824	Prbb.g_00408
OG0000413	Prax.g_00823	Prbb.g_00409
OG0000414	Prax.g_00822	Prbb.g_00410
OG0000415	Prax.g_00821	Prbb.g_00411
OG0000416	Prax.g_00818	Prbb.g_00415
OG0000417	Prax.g_00817	Prbb.g_00416
OG0000418	Prax.g_00816	Prbb.g_00418
OG0000419	Prax.g_00815	Prbb.g_00419
OG0000420	Prax.g_00814	Prbb.g_00836
OG0000421	Prax.g_00802	Prbb.g_01094
OG0000422	Prax.g_00795	Prbb.g_01124
OG0000423	Prax.g_00794	Prbb.g_01288
OG0000424	Prax.g_00790	Prbb.g_01923
OG0000425	Prax.g_00769	Prbb.g_00436
OG0000426	Prax.g_00768	Prbb.g_00437
OG0000427	Prax.g_00767	Prbb.g_00438
OG0000428	Prax.g_00765	Prbb.g_00440
OG0000429	Prax.g_00764	Prbb.g_00441
OG0000430	Prax.g_00762	Prbb.g_00443
OG0000431	Prax.g_00761	Prbb.g_00444
OG0000432	Prax.g_00760	Prbb.g_00445
OG0000433	Prax.g_00759	Prbb.g_00446
OG0000434	Prax.g_00758	Prbb.g_00447
OG0000435	Prax.g_00757	Prbb.g_00448
OG0000436	Prax.g_00756	Prbb.g_00449
OG0000437	Prax.g_00755	Prbb.g_00450
OG0000438	Prax.g_00754	Prbb.g_00451
OG0000439	Prax.g_00753	Prbb.g_00452
OG0000440	Prax.g_00752	Prbb.g_00453
OG0000441	Prax.g_00751	Prbb.g_00454
OG0000442	Prax.g_00750	Prbb.g_00455
OG0000443	Prax.g_00749	Prbb.g_00456
OG0000444	Prax.g_00748	Prbb.g_00457
OG0000445	Prax.g_00747	Prbb.g_00458
OG0000446	Prax.g_00746	Prbb.g_00460
OG0000447	Prax.g_00745	Prbb.g_00461
OG0000448	Prax.g_00743	Prbb.g_00462
OG0000449	Prax.g_00740	Prbb.g_00468
OG0000450	Prax.g_00739	Prbb.g_00469
OG0000451	Prax.g_00738	Prbb.g_00470
OG0000452	Prax.g_00737	Prbb.g_00472
OG0000453	Prax.g_00736	Prbb.g_00473
OG0000454	Prax.g_00731	Prbb.g_00475
OG0000455	Prax.g_00729	Prbb.g_00476
OG0000456	Prax.g_00725	Prbb.g_00480
OG0000457	Prax.g_00724	Prbb.g_00482
OG0000458	Prax.g_00723	Prbb.g_00483
OG0000459	Prax.g_00721	Prbb.g_00486
OG0000460	Prax.g_00719	Prbb.g_00488
OG0000461	Prax.g_00718	Prbb.g_00489
OG0000462	Prax.g_00717	Prbb.g_00490
OG0000463	Prax.g_00715	Prbb.g_00491
OG0000464	Prax.g_00714	Prbb.g_00492
OG0000465	Prax.g_00713	Prbb.g_00493
OG0000466	Prax.g_00712	Prbb.g_00494
OG0000467	Prax.g_00711	Prbb.g_00495
OG0000468	Prax.g_00709	Prbb.g_00496
OG0000469	Prax.g_00708	Prbb.g_00497
OG0000470	Prax.g_00707	Prbb.g_00498
OG0000471	Prax.g_00706	Prbb.g_00499
OG0000472	Prax.g_00701	Prbb.g_00504
OG0000473	Prax.g_00700	Prbb.g_00505
OG0000474	Prax.g_00699	Prbb.g_00506
OG0000475	Prax.g_00698	Prbb.g_00507
OG0000476	Prax.g_00696	Prbb.g_00509
OG0000477	Prax.g_00695	Prbb.g_00510
OG0000478	Prax.g_00694	Prbb.g_00511
OG0000479	Prax.g_00693	Prbb.g_00512
OG0000480	Prax.g_00691	Prbb.g_00514
OG0000481	Prax.g_00689	Prbb.g_00516
OG0000482	Prax.g_00688	Prbb.g_00517
OG0000483	Prax.g_00686	Prbb.g_00519
OG0000484	Prax.g_00685	Prbb.g_00520
OG0000485	Prax.g_00684	Prbb.g_00521
OG0000486	Prax.g_00683	Prbb.g_00523
OG0000487	Prax.g_00678	Prbb.g_00527
OG0000488	Prax.g_00676	Prbb.g_00528
OG0000489	Prax.g_00675	Prbb.g_00529
OG0000490	Prax.g_00674	Prbb.g_00530
OG0000491	Prax.g_00673	Prbb.g_00531
OG0000492	Prax.g_00672	Prbb.g_00532
OG0000493	Prax.g_00671	Prbb.g_00533
OG0000494	Prax.g_00670	Prbb.g_00534
OG0000495	Prax.g_00667	Prbb.g_00537
OG0000496	Prax.g_00666	Prbb.g_00538
OG0000497	Prax.g_00665	Prbb.g_00539
OG0000498	Prax.g_00664	Prbb.g_00540
OG0000499	Prax.g_00663	Prbb.g_00541
OG0000500	Prax.g_00001	Prbb.g_00543
OG0000501	Prax.g_00002	Prbb.g_00544
OG0000502	Prax.g_00003	Prbb.g_00545
OG0000503	Prax.g_00005	Prbb.g_00547
OG0000504	Prax.g_00006	Prbb.g_00548
OG0000505	Prax.g_00007	Prbb.g_00550
OG0000506	Prax.g_00008	Prbb.g_00551
OG0000507	Prax.g_00009	Prbb.g_00552
OG0000508	Prax.g_00010	Prbb.g_00553
OG0000509	Prax.g_00011	Prbb.g_00554
OG0000510	Prax.g_00012	Prbb.g_00555
OG0000511	Prax.g_00014	Prbb.g_00557
OG0000512	Prax.g_00015	Prbb.g_00558
OG0000513	Prax.g_00016	Prbb.g_00559
OG0000514	Prax.g_00017	Prbb.g_00560
OG0000515	Prax.g_00018	Prbb.g_00561
OG0000516	Prax.g_00019	Prbb.g_00562
OG0000517	Prax.g_00021	Prbb.g_00564
OG0000518	Prax.g_00022	Prbb.g_00565
OG0000519	Prax.g_00023	Prbb.g_00566
OG0000520	Prax.g_00024	Prbb.g_00567
OG0000521	Prax.g_00025	Prbb.g_00568
OG0000522	Prax.g_00026	Prbb.g_00569
OG0000523	Prax.g_00027	Prbb.g_00570
OG0000524	Prax.g_00028	Prbb.g_00571
OG0000525	Prax.g_00029	Prbb.g_00572
OG0000526	Prax.g_00030	Prbb.g_00573
OG0000527	Prax.g_00031	Prbb.g_00574
OG0000528	Prax.g_00032	Prbb.g_00575
OG0000529	Prax.g_00033	Prbb.g_00576
OG0000530	Prax.g_00034	Prbb.g_00577
OG0000531	Prax.g_00035	Prbb.g_00578
OG0000532	Prax.g_00036	Prbb.g_00579
OG0000533	Prax.g_00038	Prbb.g_00580
OG0000534	Prax.g_00039	Prbb.g_00581
OG0000535	Prax.g_00040	Prbb.g_00582
OG0000536	Prax.g_00041	Prbb.g_00583
OG0000537	Prax.g_00042	Prbb.g_00584
OG0000538	Prax.g_00043	Prbb.g_00585
OG0000539	Prax.g_00046	Prbb.g_00587
OG0000540	Prax.g_00047	Prbb.g_00588
OG0000541	Prax.g_00048	Prbb.g_00589
OG0000542	Prax.g_00050	Prbb.g_00591
OG0000543	Prax.g_00051	Prbb.g_00592
OG0000544	Prax.g_00052	Prbb.g_00594
OG0000545	Prax.g_00053	Prbb.g_00593
OG0000546	Prax.g_00054	Prbb.g_00595
OG0000547	Prax.g_00055	Prbb.g_00596
OG0000548	Prax.g_00056	Prbb.g_00597
OG0000549	Prax.g_00058	Prbb.g_00599
