Orthogroup	Prai	Syaq
OG0000063	Prai.g_00033, Prai.g_01261	Syaq.g_01110
OG0000065	Prai.g_00107	Syaq.g_01487, Syaq.g_01908
OG0000066	Prai.g_00567	Syaq.g_01851
OG0000067	Prai.g_00848	Syaq.g_02340, Syaq.g_02560
OG0000068	Prai.g_01370	Syaq.g_01763
OG0000070	Prai.g_00481	Syaq.g_00484
OG0000071	Prai.g_01335	Syaq.g_00297
OG0000072	Prai.g_00182	Syaq.g_01397
OG0000073	Prai.g_00529	Syaq.g_01795
OG0000075	Prai.g_01814	Syaq.g_00986
OG0000076	Prai.g_01838	Syaq.g_01028
OG0000077	Prai.g_00078	Syaq.g_01547
OG0000078	Prai.g_00250	Syaq.g_01585
OG0000079	Prai.g_00265	Syaq.g_00721
OG0000081	Prai.g_00559	Syaq.g_01893
OG0000082	Prai.g_00613	Syaq.g_01975
OG0000084	Prai.g_01459	Syaq.g_00367
OG0000085	Prai.g_01631	Syaq.g_01683
OG0000086	Prai.g_00088	Syaq.g_01525
OG0000087	Prai.g_00139	Syaq.g_01438
OG0000088	Prai.g_00177	Syaq.g_01402
OG0000089	Prai.g_00368	Syaq.g_00529
OG0000090	Prai.g_00561	Syaq.g_01838
OG0000091	Prai.g_00671	Syaq.g_02090
OG0000093	Prai.g_01021	Syaq.g_02323
OG0000094	Prai.g_00937	Syaq.g_00056, Syaq.g_02554
OG0000095	Prai.g_00918	Syaq.g_02679
OG0000097	Prai.g_01214	Syaq.g_00167
OG0000098	Prai.g_01353	Syaq.g_02221, Syaq.g_01849
OG0000099	Prai.g_01393	Syaq.g_00882
OG0000100	Prai.g_01536	Syaq.g_02371
OG0000101	Prai.g_01782	Syaq.g_00607
OG0000102	Prai.g_01843	Syaq.g_01033
OG0000103	Prai.g_01923	Syaq.g_01170
OG0000104	Prai.g_01932	Syaq.g_01154
OG0000105	Prai.g_00286, Prai.g_00287	Syaq.g_00754
OG0000106	Prai.g_00383	Syaq.g_01863
OG0000107	Prai.g_00397	Syaq.g_00694
OG0000108	Prai.g_00510	Syaq.g_01772
OG0000109	Prai.g_00524	Syaq.g_01788
OG0000110	Prai.g_00603	Syaq.g_01962
OG0000111	Prai.g_00728	Syaq.g_02606
OG0000112	Prai.g_00882	Syaq.g_02476
OG0000114	Prai.g_01046	Syaq.g_02269
OG0000115	Prai.g_01119	Syaq.g_00395
OG0000116	Prai.g_01162	Syaq.g_00263
OG0000117	Prai.g_01273	Syaq.g_00203
OG0000118	Prai.g_01347	Syaq.g_00325, Syaq.g_00316
OG0000120	Prai.g_01443	Syaq.g_00883
OG0000121	Prai.g_01465	Syaq.g_00375
OG0000123	Prai.g_01789	Syaq.g_00599
OG0000124	Prai.g_01854	Syaq.g_01055
OG0000125	Prai.g_01892	Syaq.g_01256
OG0000126	Prai.g_01931	Syaq.g_01156
OG0000128	Prai.g_00011	Syaq.g_01138
OG0000129	Prai.g_00051	Syaq.g_01269
OG0000130	Prai.g_00069	Syaq.g_01559
OG0000131	Prai.g_00156	Syaq.g_01427, Syaq.g_01424
OG0000132	Prai.g_00175	Syaq.g_01036, Syaq.g_01404
OG0000133	Prai.g_00335	Syaq.g_02481
OG0000134	Prai.g_00369	Syaq.g_00526
OG0000135	Prai.g_00393	Syaq.g_01227
OG0000136	Prai.g_00472	Syaq.g_00496
OG0000137	Prai.g_00505	Syaq.g_00442
OG0000138	Prai.g_00525	Syaq.g_01789
OG0000139	Prai.g_00565	Syaq.g_01844
OG0000140	Prai.g_00566	Syaq.g_01848
OG0000141	Prai.g_00635	Syaq.g_02010
OG0000142	Prai.g_00664	Syaq.g_02082
OG0000143	Prai.g_00668	Syaq.g_02086
OG0000144	Prai.g_00681	Syaq.g_02152
OG0000145	Prai.g_00883	Syaq.g_01796
OG0000146	Prai.g_00881	Syaq.g_02475
OG0000147	Prai.g_00880	Syaq.g_02474
OG0000148	Prai.g_00831	Syaq.g_02359
OG0000149	Prai.g_00800	Syaq.g_02395
OG0000150	Prai.g_00792	Syaq.g_02011
OG0000151	Prai.g_01036	Syaq.g_02283
OG0000152	Prai.g_00989	Syaq.g_02485
OG0000153	Prai.g_00970	Syaq.g_02518
OG0000154	Prai.g_00943	Syaq.g_00066
OG0000155	Prai.g_01191	Syaq.g_00212
OG0000156	Prai.g_01323	Syaq.g_00281
OG0000157	Prai.g_01324	Syaq.g_00282
OG0000158	Prai.g_01392	Syaq.g_01003
OG0000159	Prai.g_01321	Syaq.g_00918
OG0000160	Prai.g_01464	Syaq.g_00374
OG0000161	Prai.g_01470	Syaq.g_00382
OG0000162	Prai.g_01476	Syaq.g_00389
OG0000163	Prai.g_01509	Syaq.g_02373, Syaq.g_01730
OG0000164	Prai.g_01662	Syaq.g_01642
OG0000165	Prai.g_01669	Syaq.g_01630
OG0000166	Prai.g_01740	Syaq.g_00647
OG0000167	Prai.g_01812	Syaq.g_00983
OG0000168	Prai.g_01822	Syaq.g_01004
OG0000169	Prai.g_01832	Syaq.g_01016
OG0000170	Prai.g_01834	Syaq.g_01023
OG0000171	Prai.g_01853	Syaq.g_01052
OG0000172	Prai.g_01863	Syaq.g_01074
OG0000173	Prai.g_01878	Syaq.g_01092
OG0000174	Prai.g_01905	Syaq.g_01224
OG0000175	Prai.g_01915	Syaq.g_01183
OG0000176	Prai.g_00004	Syaq.g_01146
OG0000177	Prai.g_00005	Syaq.g_01145
OG0000178	Prai.g_00006	Syaq.g_01144
OG0000179	Prai.g_00016	Syaq.g_01129
OG0000180	Prai.g_00017	Syaq.g_01128
OG0000181	Prai.g_00018	Syaq.g_01127
OG0000182	Prai.g_00019	Syaq.g_01126
OG0000183	Prai.g_00023	Syaq.g_01122
OG0000184	Prai.g_00053	Syaq.g_01277
OG0000185	Prai.g_00056	Syaq.g_01290
OG0000186	Prai.g_00064	Syaq.g_01563
OG0000187	Prai.g_00065	Syaq.g_01561
OG0000188	Prai.g_00082	Syaq.g_01539
OG0000189	Prai.g_00096	Syaq.g_01499, Syaq.g_00122
OG0000190	Prai.g_00097	Syaq.g_01497
OG0000191	Prai.g_00117	Syaq.g_01467
OG0000192	Prai.g_00121	Syaq.g_01462
OG0000193	Prai.g_00157	Syaq.g_01423
OG0000194	Prai.g_00160	Syaq.g_01420
OG0000195	Prai.g_00162	Syaq.g_01418
OG0000196	Prai.g_00172	Syaq.g_01407
OG0000197	Prai.g_00173	Syaq.g_01406
OG0000198	Prai.g_00174	Syaq.g_01405
OG0000199	Prai.g_00181	Syaq.g_01398
OG0000200	Prai.g_00195	Syaq.g_01382
OG0000201	Prai.g_00203	Syaq.g_01365
OG0000202	Prai.g_00204	Syaq.g_01364
OG0000203	Prai.g_00205	Syaq.g_01363
OG0000204	Prai.g_00206	Syaq.g_01362
OG0000205	Prai.g_00213	Syaq.g_01355
OG0000206	Prai.g_00218	Syaq.g_01345
OG0000207	Prai.g_00220	Syaq.g_01338
OG0000208	Prai.g_00221	Syaq.g_01337
OG0000209	Prai.g_00230	Syaq.g_01310
OG0000210	Prai.g_00231	Syaq.g_01309
OG0000211	Prai.g_00244	Syaq.g_01570
OG0000212	Prai.g_00251	Syaq.g_01586
OG0000213	Prai.g_00270	Syaq.g_00729
OG0000214	Prai.g_00280	Syaq.g_00745
OG0000215	Prai.g_00305	Syaq.g_00777
OG0000216	Prai.g_00307	Syaq.g_00781
OG0000217	Prai.g_00310	Syaq.g_00844
OG0000218	Prai.g_00312	Syaq.g_00846
OG0000219	Prai.g_00313	Syaq.g_00847
OG0000220	Prai.g_00314	Syaq.g_00848
OG0000221	Prai.g_00315	Syaq.g_00856
OG0000222	Prai.g_00323	Syaq.g_00868
OG0000223	Prai.g_00336	Syaq.g_00946
OG0000224	Prai.g_00338	Syaq.g_00950
OG0000225	Prai.g_00358	Syaq.g_00543
OG0000226	Prai.g_00362	Syaq.g_00536
OG0000227	Prai.g_00364	Syaq.g_00534
OG0000228	Prai.g_00367	Syaq.g_00531
OG0000229	Prai.g_00467	Syaq.g_00501
OG0000230	Prai.g_00469	Syaq.g_00499
OG0000231	Prai.g_00480	Syaq.g_00485
OG0000232	Prai.g_00489	Syaq.g_00472
OG0000233	Prai.g_00494	Syaq.g_00464
OG0000234	Prai.g_00506	Syaq.g_00440
OG0000235	Prai.g_00509	Syaq.g_01771
OG0000236	Prai.g_00523	Syaq.g_01787
OG0000237	Prai.g_00536	Syaq.g_01805
OG0000238	Prai.g_00542	Syaq.g_01810
OG0000239	Prai.g_00553	Syaq.g_01826
OG0000240	Prai.g_00554	Syaq.g_01827
OG0000241	Prai.g_00558	Syaq.g_02074
OG0000242	Prai.g_00560	Syaq.g_01836
OG0000243	Prai.g_00571	Syaq.g_01922
OG0000244	Prai.g_00574	Syaq.g_01928
OG0000245	Prai.g_00576	Syaq.g_01930
OG0000246	Prai.g_00580	Syaq.g_01934
OG0000247	Prai.g_00590	Syaq.g_01945
OG0000248	Prai.g_00593	Syaq.g_01948
OG0000249	Prai.g_00595	Syaq.g_01950
OG0000250	Prai.g_00600	Syaq.g_01958
OG0000251	Prai.g_00619	Syaq.g_01984
OG0000252	Prai.g_00622	Syaq.g_01987
OG0000253	Prai.g_00623	Syaq.g_01989
OG0000254	Prai.g_00639	Syaq.g_02016
OG0000255	Prai.g_00645	Syaq.g_02041
OG0000256	Prai.g_00656	Syaq.g_02068
OG0000257	Prai.g_00659	Syaq.g_02073
OG0000258	Prai.g_00672	Syaq.g_02095
OG0000259	Prai.g_00689	Syaq.g_02239
OG0000260	Prai.g_00692	Syaq.g_02242
OG0000261	Prai.g_00694	Syaq.g_02245
OG0000262	Prai.g_00698	Syaq.g_02250
OG0000263	Prai.g_00710	Syaq.g_00185
OG0000264	Prai.g_00720	Syaq.g_02582
OG0000266	Prai.g_00758	Syaq.g_00037
OG0000267	Prai.g_00769	Syaq.g_02430
OG0000268	Prai.g_00770	Syaq.g_02431
OG0000269	Prai.g_00853	Syaq.g_02335
OG0000270	Prai.g_00850	Syaq.g_02338
OG0000271	Prai.g_00842	Syaq.g_02346
OG0000272	Prai.g_00840, Prai.g_00841	Syaq.g_02347
OG0000273	Prai.g_00817	Syaq.g_02376
OG0000274	Prai.g_00816	Syaq.g_02377
OG0000275	Prai.g_00741, Prai.g_00813	Syaq.g_02380
OG0000276	Prai.g_00808	Syaq.g_02387
OG0000277	Prai.g_00807	Syaq.g_02388
OG0000278	Prai.g_00804	Syaq.g_02391
OG0000279	Prai.g_00797	Syaq.g_02401
OG0000280	Prai.g_00796	Syaq.g_02410
OG0000281	Prai.g_00791	Syaq.g_02224
OG0000282	Prai.g_01044	Syaq.g_02271
OG0000283	Prai.g_01012	Syaq.g_02445
OG0000284	Prai.g_01007	Syaq.g_02450
OG0000285	Prai.g_01002	Syaq.g_02466
OG0000286	Prai.g_00990	Syaq.g_02484
OG0000287	Prai.g_00973	Syaq.g_02511
OG0000288	Prai.g_00944	Syaq.g_00067
OG0000289	Prai.g_00934	Syaq.g_00053
OG0000290	Prai.g_00921	Syaq.g_02682
OG0000291	Prai.g_00919	Syaq.g_02680
OG0000292	Prai.g_01107	Syaq.g_01157
OG0000293	Prai.g_01163	Syaq.g_00262
OG0000294	Prai.g_01164	Syaq.g_00261
OG0000295	Prai.g_01183	Syaq.g_00220
OG0000296	Prai.g_01185	Syaq.g_00218
OG0000297	Prai.g_01193	Syaq.g_00205
OG0000298	Prai.g_01194	Syaq.g_00204
OG0000299	Prai.g_01213	Syaq.g_00171
OG0000300	Prai.g_01216	Syaq.g_00164
OG0000301	Prai.g_01217	Syaq.g_00163
OG0000302	Prai.g_01219	Syaq.g_00162
OG0000303	Prai.g_01226	Syaq.g_00152
OG0000304	Prai.g_01230	Syaq.g_00146
OG0000305	Prai.g_01362	Syaq.g_02677
OG0000306	Prai.g_01365	Syaq.g_01861
OG0000307	Prai.g_01379	Syaq.g_01754
OG0000308	Prai.g_01380	Syaq.g_01752
OG0000309	Prai.g_01384	Syaq.g_01747
OG0000310	Prai.g_01448	Syaq.g_00347
OG0000311	Prai.g_01450	Syaq.g_00352
OG0000312	Prai.g_01453	Syaq.g_00359
OG0000313	Prai.g_01467	Syaq.g_00379
OG0000314	Prai.g_01489	Syaq.g_00408
OG0000315	Prai.g_01499	Syaq.g_00418
OG0000316	Prai.g_01519	Syaq.g_01716
OG0000317	Prai.g_01636	Syaq.g_01675
OG0000318	Prai.g_01639	Syaq.g_01672
OG0000319	Prai.g_01652	Syaq.g_01657
OG0000320	Prai.g_01654	Syaq.g_01655
OG0000321	Prai.g_01655	Syaq.g_01654
OG0000322	Prai.g_01656	Syaq.g_01653
OG0000323	Prai.g_01665	Syaq.g_01638
OG0000324	Prai.g_01691	Syaq.g_01605
OG0000325	Prai.g_01702	Syaq.g_00693
OG0000326	Prai.g_01708	Syaq.g_00686
OG0000327	Prai.g_01735	Syaq.g_00652
OG0000328	Prai.g_01736	Syaq.g_00651
OG0000329	Prai.g_01754	Syaq.g_00633
OG0000330	Prai.g_01755	Syaq.g_00632
OG0000331	Prai.g_01756	Syaq.g_00631
OG0000332	Prai.g_01770	Syaq.g_00616
OG0000333	Prai.g_01777	Syaq.g_00613
OG0000334	Prai.g_01785	Syaq.g_00603
OG0000335	Prai.g_01790	Syaq.g_00598
OG0000336	Prai.g_01794	Syaq.g_00594
OG0000337	Prai.g_01810	Syaq.g_00975
OG0000338	Prai.g_01811	Syaq.g_00981
OG0000339	Prai.g_01815	Syaq.g_00988
OG0000340	Prai.g_01823	Syaq.g_01005
OG0000341	Prai.g_01825	Syaq.g_01007
OG0000342	Prai.g_01826	Syaq.g_01008
OG0000343	Prai.g_01827	Syaq.g_01010
OG0000344	Prai.g_01830	Syaq.g_01014
OG0000345	Prai.g_01835	Syaq.g_01024
OG0000346	Prai.g_01839	Syaq.g_01029
OG0000347	Prai.g_01855	Syaq.g_01057
OG0000348	Prai.g_01866	Syaq.g_01070
OG0000349	Prai.g_01883	Syaq.g_01099
OG0000350	Prai.g_01901	Syaq.g_00679
OG0000351	Prai.g_01918	Syaq.g_01179
OG0000352	Prai.g_01919	Syaq.g_01178
OG0000353	Prai.g_01935	Syaq.g_01151
OG0000355	Prai.g_00001	Syaq.g_01149
OG0000356	Prai.g_00002	Syaq.g_01148
OG0000357	Prai.g_00003	Syaq.g_01147
OG0000358	Prai.g_00007	Syaq.g_01143
OG0000359	Prai.g_00008	Syaq.g_01141
OG0000360	Prai.g_00009	Syaq.g_01140
OG0000361	Prai.g_00010	Syaq.g_01139
OG0000362	Prai.g_00012	Syaq.g_01137
OG0000363	Prai.g_00014	Syaq.g_01135
OG0000364	Prai.g_00015	Syaq.g_01134
OG0000365	Prai.g_00020	Syaq.g_01125
OG0000366	Prai.g_00021	Syaq.g_01124
OG0000367	Prai.g_00022	Syaq.g_01123
OG0000368	Prai.g_00024	Syaq.g_01121
OG0000369	Prai.g_00025	Syaq.g_01120
OG0000370	Prai.g_00026	Syaq.g_01119
OG0000371	Prai.g_00032	Syaq.g_01111
OG0000372	Prai.g_00035	Syaq.g_01106
OG0000373	Prai.g_00036	Syaq.g_01105
OG0000374	Prai.g_00037	Syaq.g_01104
OG0000375	Prai.g_00047	Syaq.g_01103
OG0000376	Prai.g_00049	Syaq.g_01101
OG0000377	Prai.g_00052	Syaq.g_01270
OG0000378	Prai.g_00054	Syaq.g_01286
OG0000379	Prai.g_00057	Syaq.g_01291
OG0000380	Prai.g_00066	Syaq.g_01560
OG0000381	Prai.g_00070	Syaq.g_01558
OG0000382	Prai.g_00081	Syaq.g_01540
OG0000383	Prai.g_00083	Syaq.g_01535
OG0000384	Prai.g_00084	Syaq.g_01534
OG0000385	Prai.g_00085	Syaq.g_01533
OG0000386	Prai.g_00086	Syaq.g_01532
OG0000387	Prai.g_00099	Syaq.g_01495
OG0000388	Prai.g_00102	Syaq.g_01491
OG0000389	Prai.g_00106	Syaq.g_01488
OG0000390	Prai.g_00113	Syaq.g_01473
OG0000391	Prai.g_00116	Syaq.g_01468
OG0000392	Prai.g_00120	Syaq.g_01463
OG0000393	Prai.g_00122	Syaq.g_01460
OG0000394	Prai.g_00123	Syaq.g_01459
OG0000395	Prai.g_00124	Syaq.g_01458
OG0000396	Prai.g_00127	Syaq.g_01455
OG0000397	Prai.g_00129	Syaq.g_01453
OG0000398	Prai.g_00131	Syaq.g_01448
OG0000399	Prai.g_00132	Syaq.g_01447
OG0000400	Prai.g_00133	Syaq.g_01446
OG0000401	Prai.g_00134	Syaq.g_01445
OG0000402	Prai.g_00136	Syaq.g_01443
OG0000403	Prai.g_00137	Syaq.g_01442
OG0000404	Prai.g_00138	Syaq.g_01440
OG0000405	Prai.g_00142	Syaq.g_01429
OG0000406	Prai.g_00158	Syaq.g_01422
OG0000407	Prai.g_00159	Syaq.g_01421
OG0000408	Prai.g_00161	Syaq.g_01419
OG0000409	Prai.g_00163	Syaq.g_01417
OG0000410	Prai.g_00164	Syaq.g_01416
OG0000411	Prai.g_00165	Syaq.g_01415
OG0000412	Prai.g_00166	Syaq.g_01414
OG0000413	Prai.g_00167	Syaq.g_01412
OG0000414	Prai.g_01288, Prai.g_00168	Syaq.g_01411
OG0000415	Prai.g_00169	Syaq.g_01410
OG0000416	Prai.g_00170	Syaq.g_01409
OG0000417	Prai.g_00171	Syaq.g_01408
OG0000418	Prai.g_00176	Syaq.g_01403
OG0000419	Prai.g_00178	Syaq.g_01401
OG0000420	Prai.g_00179	Syaq.g_01400
OG0000421	Prai.g_00184	Syaq.g_01395
OG0000422	Prai.g_00185	Syaq.g_01394
OG0000423	Prai.g_00186	Syaq.g_01393
OG0000424	Prai.g_00187	Syaq.g_01392
OG0000425	Prai.g_00188	Syaq.g_01391
OG0000426	Prai.g_00189	Syaq.g_01390
OG0000427	Prai.g_00190	Syaq.g_01389
OG0000428	Prai.g_00192	Syaq.g_01386
OG0000429	Prai.g_00193	Syaq.g_01384
OG0000430	Prai.g_00194	Syaq.g_01383
OG0000431	Prai.g_00196	Syaq.g_01380
OG0000432	Prai.g_00199	Syaq.g_01374
OG0000433	Prai.g_00200	Syaq.g_01369
OG0000434	Prai.g_00201	Syaq.g_01368
OG0000435	Prai.g_00202	Syaq.g_01367
OG0000436	Prai.g_00207	Syaq.g_01361
OG0000437	Prai.g_00208	Syaq.g_01360
OG0000438	Prai.g_00209	Syaq.g_01359
OG0000439	Prai.g_00211	Syaq.g_01357
OG0000440	Prai.g_00212	Syaq.g_01356
OG0000441	Prai.g_00215	Syaq.g_01352
OG0000442	Prai.g_00216	Syaq.g_01350
OG0000443	Prai.g_00217	Syaq.g_01347
OG0000444	Prai.g_00222	Syaq.g_01333
OG0000445	Prai.g_00223	Syaq.g_01332
OG0000446	Prai.g_00224	Syaq.g_01330
OG0000447	Prai.g_00225	Syaq.g_01328
OG0000448	Prai.g_00226	Syaq.g_01327
OG0000449	Prai.g_00227	Syaq.g_01320
OG0000450	Prai.g_00228	Syaq.g_01313
OG0000451	Prai.g_00229	Syaq.g_01312
OG0000452	Prai.g_00232	Syaq.g_01308
OG0000453	Prai.g_00233	Syaq.g_01307
OG0000454	Prai.g_00234	Syaq.g_01306
OG0000455	Prai.g_00235	Syaq.g_01305
OG0000456	Prai.g_00236	Syaq.g_01304
OG0000457	Prai.g_00237	Syaq.g_01302
OG0000458	Prai.g_00238	Syaq.g_01299
OG0000459	Prai.g_00239	Syaq.g_01298
OG0000460	Prai.g_00246	Syaq.g_01577
OG0000461	Prai.g_00255	Syaq.g_00707
OG0000462	Prai.g_00257	Syaq.g_00710
OG0000463	Prai.g_00258	Syaq.g_00711
OG0000464	Prai.g_00259	Syaq.g_00712
OG0000465	Prai.g_00260	Syaq.g_00714
OG0000466	Prai.g_00263	Syaq.g_00718
OG0000467	Prai.g_00264	Syaq.g_00720
OG0000468	Prai.g_00266	Syaq.g_00725
OG0000469	Prai.g_00275	Syaq.g_00739
OG0000470	Prai.g_00277	Syaq.g_00741
OG0000471	Prai.g_00278	Syaq.g_00742
OG0000472	Prai.g_00279	Syaq.g_00744
OG0000473	Prai.g_00281	Syaq.g_00746
OG0000474	Prai.g_00282	Syaq.g_00747
OG0000475	Prai.g_00283	Syaq.g_00748
OG0000476	Prai.g_00284	Syaq.g_00750
OG0000477	Prai.g_00288	Syaq.g_00756
OG0000478	Prai.g_00289	Syaq.g_00757
OG0000479	Prai.g_00290	Syaq.g_00759
OG0000480	Prai.g_00295	Syaq.g_00766
OG0000481	Prai.g_00297	Syaq.g_00768
OG0000482	Prai.g_00298	Syaq.g_00769
OG0000483	Prai.g_00301	Syaq.g_00773
OG0000484	Prai.g_00302	Syaq.g_00774
OG0000485	Prai.g_00303	Syaq.g_00775
OG0000486	Prai.g_00304	Syaq.g_00776
OG0000487	Prai.g_00308	Syaq.g_00782
OG0000488	Prai.g_00311	Syaq.g_00845
OG0000489	Prai.g_00316	Syaq.g_00857
OG0000490	Prai.g_00321	Syaq.g_00864
OG0000491	Prai.g_00322	Syaq.g_00865
OG0000492	Prai.g_00324	Syaq.g_00869
OG0000493	Prai.g_00325	Syaq.g_00870
OG0000494	Prai.g_00326	Syaq.g_00871
OG0000495	Prai.g_00327	Syaq.g_00872
OG0000496	Prai.g_00328	Syaq.g_00873
OG0000497	Prai.g_00329	Syaq.g_00874
OG0000498	Prai.g_00330	Syaq.g_00875
OG0000499	Prai.g_00331	Syaq.g_00876
OG0000500	Prai.g_00332	Syaq.g_00877
OG0000501	Prai.g_00334	Syaq.g_00880
OG0000502	Prai.g_00337	Syaq.g_00953
OG0000503	Prai.g_00347	Syaq.g_00559
OG0000504	Prai.g_00348	Syaq.g_00557
OG0000505	Prai.g_00349	Syaq.g_00556
OG0000506	Prai.g_00351	Syaq.g_00554
OG0000507	Prai.g_00354	Syaq.g_00548
OG0000508	Prai.g_00357	Syaq.g_00544
OG0000509	Prai.g_00359	Syaq.g_00542
OG0000510	Prai.g_00360	Syaq.g_00538
OG0000511	Prai.g_00361	Syaq.g_00537
OG0000512	Prai.g_00363	Syaq.g_00535
OG0000513	Prai.g_00370	Syaq.g_00525
OG0000514	Prai.g_00462	Syaq.g_00514
OG0000515	Prai.g_00463	Syaq.g_00513
OG0000516	Prai.g_00464	Syaq.g_00509
OG0000517	Prai.g_00466	Syaq.g_00502
OG0000518	Prai.g_00477	Syaq.g_00490
OG0000519	Prai.g_00478	Syaq.g_00489
OG0000520	Prai.g_00479	Syaq.g_00488
OG0000521	Prai.g_00484	Syaq.g_00477
OG0000522	Prai.g_00486	Syaq.g_00475
OG0000523	Prai.g_00487	Syaq.g_00474
OG0000524	Prai.g_00492	Syaq.g_00469
OG0000525	Prai.g_00495	Syaq.g_00450
OG0000526	Prai.g_00496	Syaq.g_00448
OG0000527	Prai.g_00503	Syaq.g_00444
OG0000528	Prai.g_00508	Syaq.g_01768
OG0000529	Prai.g_00511	Syaq.g_01773
OG0000530	Prai.g_00514	Syaq.g_01776
OG0000531	Prai.g_00515	Syaq.g_01777
OG0000532	Prai.g_00517	Syaq.g_01780
OG0000533	Prai.g_00518	Syaq.g_01782
OG0000534	Prai.g_00519	Syaq.g_01783
OG0000535	Prai.g_00520	Syaq.g_01784
OG0000536	Prai.g_00521	Syaq.g_01785
OG0000537	Prai.g_00522	Syaq.g_01786
OG0000538	Prai.g_00530	Syaq.g_01798
OG0000539	Prai.g_00531	Syaq.g_01799
OG0000540	Prai.g_00532	Syaq.g_01800
OG0000541	Prai.g_00533	Syaq.g_01801
OG0000542	Prai.g_00535	Syaq.g_01804
OG0000543	Prai.g_00537	Syaq.g_01806
OG0000544	Prai.g_00538	Syaq.g_01807, Syaq.g_02567
OG0000545	Prai.g_00540	Syaq.g_01809
OG0000546	Prai.g_00543	Syaq.g_01811
OG0000547	Prai.g_00544	Syaq.g_01813
OG0000548	Prai.g_00545	Syaq.g_01814
OG0000549	Prai.g_00547	Syaq.g_01819
OG0000550	Prai.g_00552	Syaq.g_01824
OG0000551	Prai.g_00555	Syaq.g_01829
OG0000552	Prai.g_00556	Syaq.g_01830
OG0000553	Prai.g_00557	Syaq.g_01834
OG0000554	Prai.g_00562	Syaq.g_01839
OG0000555	Prai.g_00570	Syaq.g_01857
OG0000556	Prai.g_00572	Syaq.g_01925
OG0000557	Prai.g_00573	Syaq.g_01927
OG0000558	Prai.g_00575	Syaq.g_01929
OG0000559	Prai.g_00579	Syaq.g_01933
OG0000560	Prai.g_00582	Syaq.g_01936
OG0000561	Prai.g_00583	Syaq.g_01937
OG0000562	Prai.g_00584	Syaq.g_01938
OG0000563	Prai.g_00585	Syaq.g_01939
OG0000564	Prai.g_00586	Syaq.g_01940
OG0000565	Prai.g_00589	Syaq.g_01943
OG0000566	Prai.g_00592	Syaq.g_01947
OG0000567	Prai.g_00596	Syaq.g_01951
OG0000568	Prai.g_00597	Syaq.g_01954
OG0000569	Prai.g_00598	Syaq.g_01955
OG0000570	Prai.g_00599	Syaq.g_01956
OG0000571	Prai.g_00601	Syaq.g_01960
OG0000572	Prai.g_00614	Syaq.g_01977
OG0000573	Prai.g_00620	Syaq.g_01985
