Orthogroup	Prai	Syag
OG0000125	Prai.g_01892	Syag.g_02136, Syag.g_02134
OG0000126	Prai.g_01931	Syag.g_02266
OG0000128	Prai.g_00011	Syag.g_02284
OG0000129	Prai.g_00051	Syag.g_02121
OG0000130	Prai.g_00069	Syag.g_01819
OG0000131	Prai.g_00156	Syag.g_01951
OG0000132	Prai.g_00175	Syag.g_01972
OG0000133	Prai.g_00335	Syag.g_00806
OG0000134	Prai.g_00369	Syag.g_00008
OG0000135	Prai.g_00393	Syag.g_02171
OG0000136	Prai.g_00472	Syag.g_00038
OG0000137	Prai.g_00505	Syag.g_01356
OG0000138	Prai.g_00525	Syag.g_01511
OG0000139	Prai.g_00565	Syag.g_01448
OG0000140	Prai.g_00566	Syag.g_01446
OG0000141	Prai.g_00635	Syag.g_00351
OG0000142	Prai.g_00664	Syag.g_00410
OG0000143	Prai.g_00668	Syag.g_00414
OG0000144	Prai.g_00681	Syag.g_00493
OG0000145	Prai.g_00883	Syag.g_01504
OG0000146	Prai.g_00881	Syag.g_00800
OG0000147	Prai.g_00880	Syag.g_00799
OG0000148	Prai.g_00831	Syag.g_00693
OG0000149	Prai.g_00800	Syag.g_00731
OG0000150	Prai.g_00792	Syag.g_00352
OG0000151	Prai.g_01036	Syag.g_00623
OG0000152	Prai.g_00989	Syag.g_00810
OG0000153	Prai.g_00970	Syag.g_00845
OG0000154	Prai.g_00943	Syag.g_00870
OG0000155	Prai.g_01191	Syag.g_01107
OG0000156	Prai.g_01323	Syag.g_01166
OG0000157	Prai.g_01324	Syag.g_01167
OG0000158	Prai.g_01392	Syag.g_02422
OG0000160	Prai.g_01464	Syag.g_01415
OG0000161	Prai.g_01470	Syag.g_01409
OG0000162	Prai.g_01476	Syag.g_01402
OG0000163	Prai.g_01509	Syag.g_00706, Syag.g_01618
OG0000164	Prai.g_01662	Syag.g_01725
OG0000165	Prai.g_01669	Syag.g_01733
OG0000166	Prai.g_01740	Syag.g_02733
OG0000167	Prai.g_01812	Syag.g_02437
OG0000168	Prai.g_01822	Syag.g_02417
OG0000169	Prai.g_01832	Syag.g_02405
OG0000170	Prai.g_01834	Syag.g_02398
OG0000171	Prai.g_01853	Syag.g_02368
OG0000172	Prai.g_01863	Syag.g_02360
OG0000173	Prai.g_01878	Syag.g_02337
OG0000174	Prai.g_01905	Syag.g_02175
OG0000175	Prai.g_01915	Syag.g_02240
OG0000176	Prai.g_00004	Syag.g_02276
OG0000177	Prai.g_00005	Syag.g_02277
OG0000178	Prai.g_00006	Syag.g_02278
OG0000179	Prai.g_00016	Syag.g_02293
OG0000180	Prai.g_00017	Syag.g_02294
OG0000181	Prai.g_00018	Syag.g_02295
OG0000182	Prai.g_00019	Syag.g_02296
OG0000183	Prai.g_00023	Syag.g_02300
OG0000184	Prai.g_00053	Syag.g_02110
OG0000185	Prai.g_00056	Syag.g_02092
OG0000186	Prai.g_00064	Syag.g_01815
OG0000187	Prai.g_00065	Syag.g_01816
OG0000188	Prai.g_00082	Syag.g_01839
OG0000189	Prai.g_00096	Syag.g_01872
OG0000190	Prai.g_00097	Syag.g_01874
OG0000191	Prai.g_00117	Syag.g_01909
OG0000192	Prai.g_00121	Syag.g_01915
OG0000193	Prai.g_00157	Syag.g_01952
OG0000194	Prai.g_00160	Syag.g_01955
OG0000195	Prai.g_00162	Syag.g_01957
OG0000196	Prai.g_00172	Syag.g_01968
OG0000197	Prai.g_00173	Syag.g_01969
OG0000198	Prai.g_00174	Syag.g_00108, Syag.g_01971
OG0000199	Prai.g_00181	Syag.g_01979
OG0000200	Prai.g_00195	Syag.g_01996
OG0000201	Prai.g_00203	Syag.g_02019, Syag.g_02023
OG0000202	Prai.g_00204	Syag.g_02024
OG0000203	Prai.g_00205	Syag.g_02025
OG0000204	Prai.g_00206	Syag.g_02020, Syag.g_02026
OG0000205	Prai.g_00213	Syag.g_02035
OG0000206	Prai.g_00218	Syag.g_02047
OG0000207	Prai.g_00220	Syag.g_02051
OG0000208	Prai.g_00221	Syag.g_02052
OG0000209	Prai.g_00230	Syag.g_02069
OG0000210	Prai.g_00231	Syag.g_02070
OG0000211	Prai.g_00244	Syag.g_01788
OG0000212	Prai.g_00251	Syag.g_01777
OG0000213	Prai.g_00270	Syag.g_02632
OG0000214	Prai.g_00280	Syag.g_02615
OG0000215	Prai.g_00305	Syag.g_02584
OG0000216	Prai.g_00307	Syag.g_02580
OG0000217	Prai.g_00310	Syag.g_02576
OG0000218	Prai.g_00312	Syag.g_02574
OG0000219	Prai.g_00313	Syag.g_02573
OG0000220	Prai.g_00314	Syag.g_02572
OG0000221	Prai.g_00315	Syag.g_02566
OG0000222	Prai.g_00323	Syag.g_02550
OG0000223	Prai.g_00336	Syag.g_02475
OG0000224	Prai.g_00338	Syag.g_02471
OG0000225	Prai.g_00358	Syag.g_02861
OG0000226	Prai.g_00362	Syag.g_02865
OG0000227	Prai.g_00364	Syag.g_02867
OG0000228	Prai.g_00367	Syag.g_00004
OG0000229	Prai.g_00467	Syag.g_00033
OG0000230	Prai.g_00469	Syag.g_00035
OG0000231	Prai.g_00480	Syag.g_00048
OG0000232	Prai.g_00489	Syag.g_00059
OG0000233	Prai.g_00494	Syag.g_01330
OG0000234	Prai.g_00506	Syag.g_01358
OG0000235	Prai.g_00509	Syag.g_01529
OG0000236	Prai.g_00523	Syag.g_01513
OG0000237	Prai.g_00536	Syag.g_01495
OG0000238	Prai.g_00542	Syag.g_01490
OG0000239	Prai.g_00553	Syag.g_01472
OG0000240	Prai.g_00554	Syag.g_01471
OG0000241	Prai.g_00558	Syag.g_00396
OG0000242	Prai.g_00560	Syag.g_01456
OG0000243	Prai.g_00571	Syag.g_00255
OG0000244	Prai.g_00574	Syag.g_00268
OG0000245	Prai.g_00576	Syag.g_00270
OG0000246	Prai.g_00580	Syag.g_00274
OG0000247	Prai.g_00590	Syag.g_00286
OG0000248	Prai.g_00593	Syag.g_00289
OG0000249	Prai.g_00595	Syag.g_00291
OG0000250	Prai.g_00600	Syag.g_00299
OG0000251	Prai.g_00619	Syag.g_00328
OG0000252	Prai.g_00622	Syag.g_00331
OG0000253	Prai.g_00623	Syag.g_00333
OG0000254	Prai.g_00639	Syag.g_00356
OG0000255	Prai.g_00645	Syag.g_00369
OG0000256	Prai.g_00656	Syag.g_00385
OG0000257	Prai.g_00659	Syag.g_00395
OG0000258	Prai.g_00672	Syag.g_00423
OG0000259	Prai.g_00689	Syag.g_00560
OG0000260	Prai.g_00692	Syag.g_00570
OG0000261	Prai.g_00694	Syag.g_00581
OG0000262	Prai.g_00698	Syag.g_00586
OG0000263	Prai.g_00710	Syag.g_01079
OG0000264	Prai.g_00720	Syag.g_01011
OG0000265	Prai.g_00748	Syag.g_01021
OG0000266	Prai.g_00758	Syag.g_00907
OG0000267	Prai.g_00769	Syag.g_00762
OG0000268	Prai.g_00770	Syag.g_00763
OG0000269	Prai.g_00853	Syag.g_00662
OG0000270	Prai.g_00850	Syag.g_00665
OG0000271	Prai.g_00842	Syag.g_00673
OG0000273	Prai.g_00817	Syag.g_00713
OG0000274	Prai.g_00816	Syag.g_00714
OG0000275	Prai.g_00741, Prai.g_00813	Syag.g_00717
OG0000276	Prai.g_00808	Syag.g_00723
OG0000277	Prai.g_00807	Syag.g_00724
OG0000278	Prai.g_00804	Syag.g_00727
OG0000279	Prai.g_00797	Syag.g_00735
OG0000280	Prai.g_00796	Syag.g_00741
OG0000281	Prai.g_00791	Syag.g_00572
OG0000282	Prai.g_01044	Syag.g_00611
OG0000283	Prai.g_01012	Syag.g_00775
OG0000284	Prai.g_01007	Syag.g_00780
OG0000285	Prai.g_01002	Syag.g_00791
OG0000286	Prai.g_00990	Syag.g_00809
OG0000287	Prai.g_00973	Syag.g_00838
OG0000288	Prai.g_00944	Syag.g_00869
OG0000289	Prai.g_00934	Syag.g_00884
OG0000290	Prai.g_00921	Syag.g_00970
OG0000291	Prai.g_00919	Syag.g_00972
OG0000292	Prai.g_01107	Syag.g_02265
OG0000293	Prai.g_01163	Syag.g_01155
OG0000294	Prai.g_01164	Syag.g_01154
OG0000295	Prai.g_01183	Syag.g_01115
OG0000296	Prai.g_01185	Syag.g_01113
OG0000297	Prai.g_01193	Syag.g_01099
OG0000298	Prai.g_01194	Syag.g_01098
OG0000299	Prai.g_01213	Syag.g_01067
OG0000300	Prai.g_01216	Syag.g_01062
OG0000301	Prai.g_01217	Syag.g_01061
OG0000302	Prai.g_01219	Syag.g_01060
OG0000303	Prai.g_01226	Syag.g_01048
OG0000304	Prai.g_01230	Syag.g_01041
OG0000305	Prai.g_01362	Syag.g_00977
OG0000306	Prai.g_01365	Syag.g_00460
OG0000307	Prai.g_01379	Syag.g_01546
OG0000308	Prai.g_01380	Syag.g_01548
OG0000309	Prai.g_01384	Syag.g_01553
OG0000310	Prai.g_01448	Syag.g_01291
OG0000311	Prai.g_01450	Syag.g_01300
OG0000312	Prai.g_01453	Syag.g_01434
OG0000313	Prai.g_01467	Syag.g_00966, Syag.g_01412
OG0000314	Prai.g_01489	Syag.g_01380
OG0000315	Prai.g_01499	Syag.g_01369
OG0000316	Prai.g_01519	Syag.g_01641
OG0000317	Prai.g_01636	Syag.g_01684
OG0000318	Prai.g_01639	Syag.g_01688
OG0000319	Prai.g_01652	Syag.g_01710
OG0000320	Prai.g_01654	Syag.g_01712
OG0000321	Prai.g_01655	Syag.g_01713
OG0000322	Prai.g_01656	Syag.g_01714
OG0000323	Prai.g_01665	Syag.g_01728
OG0000324	Prai.g_01691	Syag.g_01757
OG0000325	Prai.g_01702	Syag.g_02690
OG0000326	Prai.g_01708	Syag.g_02698
OG0000327	Prai.g_01735	Syag.g_02728
OG0000328	Prai.g_01736	Syag.g_02729
OG0000329	Prai.g_01754	Syag.g_02747
OG0000330	Prai.g_01755	Syag.g_02748
OG0000331	Prai.g_01756	Syag.g_02749
OG0000332	Prai.g_01770	Syag.g_02764
OG0000333	Prai.g_01777	Syag.g_02767
OG0000334	Prai.g_01785	Syag.g_02777
OG0000335	Prai.g_01790	Syag.g_02782
OG0000336	Prai.g_01794	Syag.g_02786
OG0000337	Prai.g_01810	Syag.g_02445
OG0000338	Prai.g_01811	Syag.g_02440
OG0000340	Prai.g_01823	Syag.g_02416
OG0000341	Prai.g_01825	Syag.g_02414
OG0000342	Prai.g_01826	Syag.g_02413
OG0000343	Prai.g_01827	Syag.g_02411
OG0000344	Prai.g_01830	Syag.g_02407
OG0000345	Prai.g_01835	Syag.g_02397
OG0000346	Prai.g_01839	Syag.g_02392
OG0000347	Prai.g_01855	Syag.g_02366
OG0000348	Prai.g_01866	Syag.g_02357
OG0000349	Prai.g_01883	Syag.g_02330
OG0000350	Prai.g_01901	Syag.g_02705
OG0000351	Prai.g_01918	Syag.g_02244
OG0000352	Prai.g_01919	Syag.g_02245
OG0000353	Prai.g_01935	Syag.g_02271
OG0000355	Prai.g_00001	Syag.g_02273
OG0000356	Prai.g_00002	Syag.g_02274
OG0000357	Prai.g_00003	Syag.g_02275
OG0000358	Prai.g_00007	Syag.g_02279
OG0000359	Prai.g_00008	Syag.g_02281
OG0000360	Prai.g_00009	Syag.g_02282
OG0000361	Prai.g_00010	Syag.g_02283
OG0000362	Prai.g_00012	Syag.g_02285
OG0000363	Prai.g_00014	Syag.g_02287
OG0000364	Prai.g_00015	Syag.g_02288
OG0000365	Prai.g_00020	Syag.g_02297
OG0000366	Prai.g_00021	Syag.g_02298
OG0000367	Prai.g_00022	Syag.g_02299
OG0000368	Prai.g_00024	Syag.g_02301
OG0000369	Prai.g_00025	Syag.g_02302
OG0000370	Prai.g_00026	Syag.g_02303
OG0000371	Prai.g_00032	Syag.g_02312
OG0000372	Prai.g_00035	Syag.g_02317
OG0000373	Prai.g_00036	Syag.g_02318
OG0000374	Prai.g_00037	Syag.g_02319
OG0000375	Prai.g_00047	Syag.g_02326
OG0000376	Prai.g_00049	Syag.g_02328
OG0000377	Prai.g_00052	Syag.g_02119
OG0000378	Prai.g_00054	Syag.g_02099
OG0000379	Prai.g_00057	Syag.g_02091
OG0000380	Prai.g_00066	Syag.g_01817
OG0000381	Prai.g_00070	Syag.g_01820
OG0000382	Prai.g_00081	Syag.g_01838
OG0000383	Prai.g_00083	Syag.g_01843
OG0000384	Prai.g_00084	Syag.g_01844
OG0000385	Prai.g_00085	Syag.g_01845
OG0000386	Prai.g_00086	Syag.g_01846
OG0000387	Prai.g_00099	Syag.g_01876
OG0000388	Prai.g_00102	Syag.g_01880
OG0000389	Prai.g_00106	Syag.g_01884
OG0000390	Prai.g_00113	Syag.g_01903
OG0000391	Prai.g_00116	Syag.g_01908
OG0000392	Prai.g_00120	Syag.g_01914
OG0000393	Prai.g_00122	Syag.g_01917
OG0000394	Prai.g_00123	Syag.g_01918
OG0000395	Prai.g_00124	Syag.g_01919
OG0000396	Prai.g_00127	Syag.g_01922
OG0000397	Prai.g_00129	Syag.g_01924
OG0000398	Prai.g_00131	Syag.g_01929
OG0000399	Prai.g_00132	Syag.g_01930
OG0000400	Prai.g_00133	Syag.g_01931
OG0000401	Prai.g_00134	Syag.g_01932
OG0000402	Prai.g_00136	Syag.g_01934
OG0000403	Prai.g_00137	Syag.g_01935
OG0000404	Prai.g_00138	Syag.g_01937
OG0000405	Prai.g_00142	Syag.g_01949
OG0000406	Prai.g_00158	Syag.g_01953
OG0000407	Prai.g_00159	Syag.g_01954
OG0000408	Prai.g_00161	Syag.g_01956
OG0000409	Prai.g_00163	Syag.g_01958
OG0000410	Prai.g_00164	Syag.g_01959
OG0000411	Prai.g_00165	Syag.g_01960
OG0000412	Prai.g_00166	Syag.g_01961
OG0000413	Prai.g_00167	Syag.g_01963
OG0000414	Prai.g_01288, Prai.g_00168	Syag.g_01964
OG0000415	Prai.g_00169	Syag.g_01965
OG0000416	Prai.g_00170	Syag.g_01966
OG0000417	Prai.g_00171	Syag.g_01967
OG0000418	Prai.g_00176	Syag.g_01973
OG0000419	Prai.g_00178	Syag.g_01975
OG0000420	Prai.g_00179	Syag.g_01977
OG0000421	Prai.g_00184	Syag.g_01982
OG0000422	Prai.g_00185	Syag.g_01983
OG0000423	Prai.g_00186	Syag.g_01984
OG0000424	Prai.g_00187	Syag.g_01985
OG0000425	Prai.g_00188	Syag.g_01986
OG0000426	Prai.g_00189	Syag.g_01987
OG0000427	Prai.g_00190	Syag.g_01988
OG0000428	Prai.g_00192	Syag.g_01991
OG0000429	Prai.g_00193	Syag.g_01993
OG0000430	Prai.g_00194	Syag.g_01995
OG0000431	Prai.g_00196	Syag.g_01998
OG0000432	Prai.g_00199	Syag.g_02007
OG0000433	Prai.g_00200	Syag.g_02009
OG0000434	Prai.g_00201	Syag.g_02010
OG0000435	Prai.g_00202	Syag.g_02017
OG0000436	Prai.g_00207	Syag.g_02028
OG0000437	Prai.g_00208	Syag.g_02029
OG0000438	Prai.g_00209	Syag.g_02031
OG0000439	Prai.g_00211	Syag.g_02033
OG0000440	Prai.g_00212	Syag.g_02034
OG0000441	Prai.g_00215	Syag.g_02041
OG0000442	Prai.g_00216	Syag.g_02044
OG0000443	Prai.g_00217	Syag.g_02046
OG0000444	Prai.g_00222	Syag.g_02053
OG0000445	Prai.g_00223	Syag.g_02054
OG0000446	Prai.g_00224	Syag.g_02056
OG0000447	Prai.g_00225	Syag.g_02059
OG0000448	Prai.g_00226	Syag.g_02060
OG0000449	Prai.g_00227	Syag.g_02061
OG0000450	Prai.g_00228	Syag.g_02066
OG0000451	Prai.g_00229	Syag.g_02067
OG0000452	Prai.g_00232	Syag.g_02071
OG0000453	Prai.g_00233	Syag.g_02072
OG0000454	Prai.g_00234	Syag.g_02073
OG0000455	Prai.g_00235	Syag.g_02074
OG0000456	Prai.g_00236	Syag.g_02075
OG0000457	Prai.g_00237	Syag.g_02077
OG0000458	Prai.g_00238	Syag.g_02080
OG0000459	Prai.g_00239	Syag.g_02081
OG0000460	Prai.g_00246	Syag.g_01786
OG0000461	Prai.g_00255	Syag.g_02675
OG0000462	Prai.g_00257	Syag.g_02672
OG0000463	Prai.g_00258	Syag.g_02671
OG0000464	Prai.g_00259	Syag.g_02670
OG0000465	Prai.g_00260	Syag.g_02668
OG0000466	Prai.g_00263	Syag.g_02662
OG0000467	Prai.g_00264	Syag.g_02660
OG0000468	Prai.g_00266	Syag.g_02636
OG0000469	Prai.g_00275	Syag.g_02621
OG0000470	Prai.g_00277	Syag.g_02619
OG0000471	Prai.g_00278	Syag.g_02618
OG0000472	Prai.g_00279	Syag.g_02616
OG0000473	Prai.g_00281	Syag.g_02614
OG0000474	Prai.g_00282	Syag.g_02613
OG0000475	Prai.g_00283	Syag.g_02612
OG0000476	Prai.g_00284	Syag.g_02610
OG0000477	Prai.g_00288	Syag.g_02604
OG0000478	Prai.g_00289	Syag.g_02603
OG0000479	Prai.g_00290	Syag.g_02602
OG0000480	Prai.g_00295	Syag.g_02595
OG0000481	Prai.g_00297	Syag.g_02593
OG0000482	Prai.g_00298	Syag.g_02592
OG0000483	Prai.g_00301	Syag.g_02588
OG0000484	Prai.g_00302	Syag.g_02587
OG0000485	Prai.g_00303	Syag.g_02586
OG0000486	Prai.g_00304	Syag.g_02585
OG0000487	Prai.g_00308	Syag.g_02579
OG0000488	Prai.g_00311	Syag.g_02575
OG0000489	Prai.g_00316	Syag.g_02565
OG0000490	Prai.g_00321	Syag.g_02553
OG0000491	Prai.g_00322	Syag.g_02551
OG0000492	Prai.g_00324	Syag.g_02549
OG0000493	Prai.g_00325	Syag.g_02548
OG0000494	Prai.g_00326	Syag.g_02547
OG0000495	Prai.g_00327	Syag.g_02546
OG0000496	Prai.g_00328	Syag.g_02545
OG0000497	Prai.g_00329	Syag.g_02544
OG0000498	Prai.g_00330	Syag.g_02543
OG0000499	Prai.g_00331	Syag.g_02542
OG0000500	Prai.g_00332	Syag.g_02541
OG0000501	Prai.g_00334	Syag.g_02538
OG0000502	Prai.g_00337	Syag.g_02467
OG0000503	Prai.g_00347	Syag.g_02843
OG0000504	Prai.g_00348	Syag.g_02845
OG0000505	Prai.g_00349	Syag.g_02846
OG0000506	Prai.g_00351	Syag.g_02849
OG0000507	Prai.g_00354	Syag.g_02855
OG0000508	Prai.g_00357	Syag.g_02860
OG0000509	Prai.g_00359	Syag.g_02862
OG0000510	Prai.g_00360	Syag.g_02863
OG0000511	Prai.g_00361	Syag.g_02864
OG0000512	Prai.g_00363	Syag.g_02866
OG0000513	Prai.g_00370	Syag.g_00009
OG0000514	Prai.g_00462	Syag.g_00018
OG0000515	Prai.g_00463	Syag.g_00019
OG0000516	Prai.g_00464	Syag.g_00025
OG0000517	Prai.g_00466	Syag.g_00032
OG0000518	Prai.g_00477	Syag.g_00044
OG0000519	Prai.g_00478	Syag.g_00045
OG0000520	Prai.g_00479	Syag.g_00046
OG0000521	Prai.g_00484	Syag.g_00054
OG0000522	Prai.g_00486	Syag.g_00056
OG0000523	Prai.g_00487	Syag.g_00057
OG0000524	Prai.g_00492	Syag.g_01327
OG0000525	Prai.g_00495	Syag.g_01345
OG0000526	Prai.g_00496	Syag.g_01348
OG0000527	Prai.g_00503	Syag.g_01354
OG0000528	Prai.g_00508	Syag.g_01532
OG0000529	Prai.g_00511	Syag.g_01527
OG0000530	Prai.g_00514	Syag.g_01524
OG0000531	Prai.g_00515	Syag.g_01523
OG0000532	Prai.g_00517	Syag.g_01520
OG0000533	Prai.g_00518	Syag.g_01518
OG0000534	Prai.g_00519	Syag.g_01517
OG0000535	Prai.g_00520	Syag.g_01516
OG0000536	Prai.g_00521	Syag.g_01515
OG0000537	Prai.g_00522	Syag.g_01514
OG0000538	Prai.g_00530	Syag.g_01502
OG0000539	Prai.g_00531	Syag.g_01501
OG0000540	Prai.g_00532	Syag.g_01500
OG0000541	Prai.g_00533	Syag.g_01499
OG0000542	Prai.g_00535	Syag.g_01496
OG0000543	Prai.g_00537	Syag.g_01494
OG0000544	Prai.g_00538	Syag.g_01493
OG0000545	Prai.g_00540	Syag.g_01491
OG0000546	Prai.g_00543	Syag.g_01489
OG0000547	Prai.g_00544	Syag.g_01487
OG0000548	Prai.g_00545	Syag.g_01486
OG0000549	Prai.g_00547	Syag.g_01480
OG0000550	Prai.g_00552	Syag.g_01474
OG0000551	Prai.g_00555	Syag.g_01470
OG0000552	Prai.g_00556	Syag.g_01469
OG0000553	Prai.g_00557	Syag.g_01464
OG0000554	Prai.g_00562	Syag.g_01453
OG0000555	Prai.g_00570	Syag.g_00075
OG0000556	Prai.g_00572	Syag.g_00257
OG0000557	Prai.g_00573	Syag.g_00267
OG0000558	Prai.g_00575	Syag.g_00269
OG0000559	Prai.g_00579	Syag.g_00273
OG0000560	Prai.g_00582	Syag.g_00276
OG0000561	Prai.g_00583	Syag.g_00277
OG0000562	Prai.g_00584	Syag.g_00278
OG0000563	Prai.g_00585	Syag.g_00279
OG0000564	Prai.g_00586	Syag.g_00280
OG0000565	Prai.g_00589	Syag.g_00284
OG0000566	Prai.g_00592	Syag.g_00288
OG0000567	Prai.g_00596	Syag.g_00292
OG0000568	Prai.g_00597	Syag.g_00295
OG0000569	Prai.g_00598	Syag.g_00296
OG0000570	Prai.g_00599	Syag.g_00297
OG0000571	Prai.g_00601	Syag.g_00301
OG0000572	Prai.g_00614	Syag.g_00320, Syag.g_00251
OG0000573	Prai.g_00620	Syag.g_00329
OG0000574	Prai.g_00621	Syag.g_00330
OG0000575	Prai.g_00625	Syag.g_00335
OG0000576	Prai.g_00627	Syag.g_00337
OG0000577	Prai.g_00628	Syag.g_00338
OG0000578	Prai.g_00629	Syag.g_00339
OG0000579	Prai.g_00630	Syag.g_00340
OG0000580	Prai.g_00631	Syag.g_00341
OG0000581	Prai.g_00633	Syag.g_00348
OG0000582	Prai.g_00636	Syag.g_00353
OG0000583	Prai.g_00637	Syag.g_00354
