Orthogroup	Praq	Syap
OG0000380	Praq.g_01937	Syap.g_01687
OG0000381	Praq.g_01933	Syap.g_01690
OG0000382	Praq.g_01922	Syap.g_02548
OG0000383	Praq.g_01920	Syap.g_02359
OG0000384	Praq.g_01919	Syap.g_02360
OG0000385	Praq.g_01918	Syap.g_02361
OG0000386	Praq.g_01917	Syap.g_02362
OG0000387	Praq.g_01904	Syap.g_01864
OG0000391	Praq.g_01887	Syap.g_02234
OG0000392	Praq.g_01883	Syap.g_02225
OG0000393	Praq.g_01881	Syap.g_02222
OG0000394	Praq.g_01880	Syap.g_02221
OG0000395	Praq.g_01879	Syap.g_02220
OG0000396	Praq.g_01876	Syap.g_02217
OG0000397	Praq.g_01874	Syap.g_02215
OG0000398	Praq.g_01872	Syap.g_02211
OG0000399	Praq.g_01871	Syap.g_02210
OG0000400	Praq.g_01870	Syap.g_02209
OG0000401	Praq.g_01869	Syap.g_02208
OG0000402	Praq.g_01867	Syap.g_02206
OG0000403	Praq.g_01866	Syap.g_02205
OG0000404	Praq.g_01865	Syap.g_02204, Syap.g_02618
OG0000405	Praq.g_01861	Syap.g_02191
OG0000406	Praq.g_01855	Syap.g_02186
OG0000407	Praq.g_01854	Syap.g_02185
OG0000408	Praq.g_01852	Syap.g_02181, Syap.g_02182
OG0000409	Praq.g_01850	Syap.g_02179
OG0000410	Praq.g_01849	Syap.g_02178
OG0000411	Praq.g_01848	Syap.g_02177
OG0000412	Praq.g_01847	Syap.g_02176
OG0000413	Praq.g_01846	Syap.g_02174
OG0000414	Praq.g_00554, Praq.g_01845	Syap.g_02173
OG0000415	Praq.g_01844	Syap.g_02172
OG0000416	Praq.g_01843	Syap.g_02171
OG0000417	Praq.g_01842	Syap.g_02169
OG0000418	Praq.g_01837	Syap.g_01204
OG0000419	Praq.g_01835	Syap.g_01201
OG0000420	Praq.g_01834	Syap.g_01199
OG0000421	Praq.g_01829	Syap.g_01195
OG0000422	Praq.g_01828	Syap.g_01194
OG0000423	Praq.g_01827	Syap.g_01193
OG0000424	Praq.g_01826	Syap.g_01192
OG0000425	Praq.g_01825	Syap.g_01191
OG0000426	Praq.g_01824	Syap.g_01190
OG0000427	Praq.g_01823	Syap.g_01189
OG0000428	Praq.g_01821	Syap.g_01186
OG0000429	Praq.g_01820	Syap.g_01184
OG0000430	Praq.g_01819	Syap.g_01182
OG0000431	Praq.g_01817	Syap.g_01179
OG0000432	Praq.g_01814	Syap.g_02277
OG0000433	Praq.g_01813	Syap.g_02272
OG0000434	Praq.g_01812	Syap.g_02271
OG0000435	Praq.g_01811	Syap.g_02268
OG0000436	Praq.g_01806	Syap.g_01607
OG0000437	Praq.g_01805	Syap.g_01608
OG0000438	Praq.g_01804	Syap.g_01612
OG0000439	Praq.g_01802	Syap.g_01614
OG0000440	Praq.g_01801	Syap.g_01615
OG0000441	Praq.g_01798	Syap.g_01619
OG0000442	Praq.g_01797	Syap.g_01620
OG0000443	Praq.g_01796	Syap.g_01622
OG0000444	Praq.g_01791	Syap.g_01424
OG0000445	Praq.g_01790	Syap.g_01421
OG0000446	Praq.g_01789	Syap.g_01419
OG0000447	Praq.g_01788	Syap.g_01410
OG0000448	Praq.g_01787	Syap.g_01407
OG0000449	Praq.g_01786	Syap.g_01406
OG0000450	Praq.g_01785	Syap.g_01909
OG0000451	Praq.g_01784	Syap.g_01908
OG0000452	Praq.g_01781	Syap.g_01904
OG0000453	Praq.g_01780	Syap.g_01903
OG0000454	Praq.g_01779	Syap.g_01902
OG0000455	Praq.g_01778	Syap.g_01901
OG0000456	Praq.g_01777	Syap.g_01900
OG0000457	Praq.g_01776	Syap.g_01896
OG0000458	Praq.g_01775	Syap.g_01895
OG0000459	Praq.g_01774	Syap.g_01894
OG0000460	Praq.g_01767	Syap.g_01159
OG0000461	Praq.g_01760	Syap.g_01575
OG0000462	Praq.g_01758	Syap.g_01578
OG0000463	Praq.g_01757	Syap.g_01579
OG0000464	Praq.g_01756	Syap.g_01580
OG0000465	Praq.g_01755	Syap.g_01582
OG0000466	Praq.g_01752	Syap.g_01587
OG0000467	Praq.g_01751	Syap.g_01588
OG0000468	Praq.g_01750	Syap.g_01593
OG0000469	Praq.g_01741	Syap.g_02352
OG0000470	Praq.g_01739	Syap.g_02349
OG0000471	Praq.g_01738	Syap.g_02348
OG0000472	Praq.g_01737	Syap.g_02347
OG0000473	Praq.g_01735	Syap.g_02343
OG0000474	Praq.g_01734	Syap.g_02342
OG0000475	Praq.g_01733	Syap.g_02341
OG0000476	Praq.g_01732	Syap.g_02339
OG0000477	Praq.g_01728	Syap.g_01367
OG0000478	Praq.g_01727	Syap.g_01366
OG0000479	Praq.g_01726	Syap.g_01364
OG0000480	Praq.g_01721	Syap.g_01357
OG0000482	Praq.g_01717	Syap.g_01355
OG0000483	Praq.g_01714	Syap.g_01344
OG0000484	Praq.g_01713	Syap.g_01350
OG0000485	Praq.g_01712	Syap.g_01349
OG0000487	Praq.g_01707	Syap.g_01635
OG0000488	Praq.g_01704	Syap.g_01639
OG0000489	Praq.g_01699	Syap.g_02482
OG0000490	Praq.g_01694	Syap.g_01673
OG0000491	Praq.g_01693	Syap.g_01670
OG0000492	Praq.g_01691	Syap.g_01668
OG0000493	Praq.g_01690	Syap.g_01667
OG0000494	Praq.g_01689	Syap.g_01666
OG0000495	Praq.g_01688	Syap.g_01665
OG0000496	Praq.g_01687	Syap.g_01663
OG0000497	Praq.g_01686	Syap.g_01662
OG0000498	Praq.g_01685	Syap.g_01661
OG0000499	Praq.g_01684	Syap.g_01660
OG0000500	Praq.g_01683	Syap.g_01659
OG0000501	Praq.g_01681	Syap.g_01656
OG0000502	Praq.g_01678	Syap.g_02066
OG0000503	Praq.g_01211	Syap.g_00569
OG0000504	Praq.g_01210	Syap.g_00567
OG0000505	Praq.g_01209	Syap.g_00566
OG0000506	Praq.g_01207	Syap.g_00564
OG0000507	Praq.g_01204	Syap.g_00558
OG0000508	Praq.g_01200	Syap.g_00554
OG0000509	Praq.g_01198	Syap.g_00551
OG0000510	Praq.g_01197	Syap.g_00550
OG0000511	Praq.g_01196	Syap.g_00548
OG0000512	Praq.g_01194	Syap.g_02145
OG0000513	Praq.g_01186	Syap.g_02048
OG0000514	Praq.g_01126	Syap.g_02051
OG0000515	Praq.g_01125	Syap.g_02052
OG0000516	Praq.g_01124	Syap.g_02054
OG0000517	Praq.g_01122	Syap.g_02057
OG0000519	Praq.g_01110	Syap.g_00457
OG0000520	Praq.g_01109	Syap.g_00456
OG0000521	Praq.g_00502	Syap.g_01997
OG0000522	Praq.g_00504	Syap.g_01995
OG0000523	Praq.g_00505	Syap.g_02507
OG0000524	Praq.g_00511	Syap.g_02135
OG0000525	Praq.g_00514	Syap.g_02159
OG0000526	Praq.g_00515	Syap.g_02157
OG0000527	Praq.g_00524	Syap.g_02758
OG0000528	Praq.g_00529	Syap.g_02261
OG0000529	Praq.g_00532	Syap.g_02254
OG0000530	Praq.g_00535	Syap.g_02252
OG0000531	Praq.g_00536	Syap.g_02251
OG0000532	Praq.g_00538	Syap.g_02247
OG0000533	Praq.g_00539	Syap.g_02244
OG0000534	Praq.g_00540	Syap.g_02243
OG0000535	Praq.g_00541	Syap.g_02242
OG0000536	Praq.g_00542	Syap.g_02241
OG0000537	Praq.g_00543	Syap.g_02240
OG0000538	Praq.g_01102	Syap.g_00271
OG0000539	Praq.g_01101	Syap.g_00270
OG0000540	Praq.g_01100	Syap.g_00269
OG0000541	Praq.g_01099	Syap.g_00268
OG0000542	Praq.g_01097	Syap.g_00264
OG0000543	Praq.g_01095	Syap.g_00261
OG0000544	Praq.g_01094	Syap.g_00260
OG0000545	Praq.g_01092	Syap.g_00259
OG0000546	Praq.g_01089	Syap.g_00256
OG0000547	Praq.g_01087	Syap.g_00254
OG0000548	Praq.g_01086	Syap.g_00253
OG0000549	Praq.g_01084	Syap.g_00758
OG0000550	Praq.g_01079	Syap.g_02747
OG0000551	Praq.g_01075	Syap.g_02739
OG0000552	Praq.g_01074	Syap.g_02738
OG0000553	Praq.g_01073	Syap.g_02735
OG0000554	Praq.g_01068	Syap.g_01450
OG0000555	Praq.g_01060	Syap.g_01941
OG0000556	Praq.g_01058	Syap.g_01933
OG0000557	Praq.g_01057	Syap.g_01931
OG0000558	Praq.g_01055	Syap.g_01147
OG0000560	Praq.g_01048	Syap.g_00305
OG0000561	Praq.g_01047	Syap.g_00304
OG0000562	Praq.g_01046	Syap.g_00302
OG0000563	Praq.g_01045	Syap.g_00301
OG0000564	Praq.g_01044	Syap.g_00300
OG0000565	Praq.g_01041	Syap.g_00296
OG0000566	Praq.g_01039	Syap.g_00291
OG0000567	Praq.g_01035	Syap.g_01297
OG0000568	Praq.g_01034	Syap.g_01302
OG0000569	Praq.g_01033	Syap.g_01303
OG0000570	Praq.g_01032	Syap.g_01304
OG0000571	Praq.g_01030	Syap.g_01307
OG0000573	Praq.g_01010	Syap.g_00765
OG0000574	Praq.g_01009	Syap.g_00759
OG0000575	Praq.g_01005	Syap.g_00445
OG0000576	Praq.g_01003	Syap.g_00450
OG0000577	Praq.g_01002	Syap.g_00451
OG0000578	Praq.g_01001	Syap.g_00452
OG0000579	Praq.g_01000	Syap.g_00453
OG0000580	Praq.g_00999	Syap.g_00454
OG0000581	Praq.g_00997	Syap.g_01521
OG0000582	Praq.g_00994	Syap.g_01533
OG0000583	Praq.g_00993	Syap.g_01532
OG0000584	Praq.g_00992	Syap.g_01530
OG0000585	Praq.g_00990	Syap.g_01526
OG0000586	Praq.g_00989	Syap.g_01525
OG0000587	Praq.g_00988	Syap.g_01523
OG0000588	Praq.g_00984	Syap.g_00776
OG0000589	Praq.g_00981	Syap.g_00941
OG0000590	Praq.g_00980	Syap.g_00940
OG0000591	Praq.g_00977	Syap.g_01289
OG0000592	Praq.g_00976	Syap.g_01288
OG0000593	Praq.g_00970	Syap.g_00890
OG0000594	Praq.g_00969	Syap.g_00891
OG0000595	Praq.g_00968	Syap.g_00892
OG0000596	Praq.g_00964	Syap.g_00898
OG0000597	Praq.g_00962	Syap.g_00903
OG0000598	Praq.g_00961	Syap.g_00904
OG0000599	Praq.g_00958	Syap.g_00908
OG0000600	Praq.g_00957	Syap.g_00909
OG0000601	Praq.g_00775	Syap.g_00910
OG0000602	Praq.g_00777	Syap.g_00640
OG0000603	Praq.g_00778	Syap.g_00641
OG0000604	Praq.g_00779	Syap.g_02769
OG0000605	Praq.g_00780	Syap.g_02501, Syap.g_02771
OG0000606	Praq.g_00783	Syap.g_02506
