Orthogroup	Praq	Syad
OG0000038	Praq.g_00716	Syad.g_03038
OG0000039	Praq.g_00815	Syad.g_01249, Syad.g_01111
OG0000041	Praq.g_00451	Syad.g_02498
OG0000042	Praq.g_00770	Syad.g_00333
OG0000043	Praq.g_01469	Syad.g_02119
OG0000044	Praq.g_00058	Syad.g_02214
OG0000045	Praq.g_00567	Syad.g_00964
OG0000047	Praq.g_01137, Praq.g_01672	Syad.g_00754
OG0000048	Praq.g_01169	Syad.g_00534
OG0000053	Praq.g_01246, Praq.g_00314	Syad.g_02302
OG0000054	Praq.g_00996	Syad.g_02209
OG0000055	Praq.g_00650	Syad.g_01255
OG0000057	Praq.g_00827	Syad.g_01301
OG0000058	Praq.g_00218, Praq.g_00271	Syad.g_00452
OG0000059	Praq.g_00927	Syad.g_00642
OG0000061	Praq.g_01333	Syad.g_01152
OG0000063	Praq.g_01237, Praq.g_01236, Praq.g_00075	Syad.g_00202
OG0000065	Praq.g_01896	Syad.g_02574, Syad.g_02801
OG0000066	Praq.g_01063	Syad.g_00992
OG0000067	Praq.g_00670	Syad.g_01889
OG0000068	Praq.g_00175	Syad.g_00891
OG0000070	Praq.g_01107	Syad.g_02424
OG0000071	Praq.g_00133	Syad.g_02405
OG0000072	Praq.g_01831	Syad.g_02905
OG0000073	Praq.g_01103	Syad.g_00926
OG0000075	Praq.g_00739	Syad.g_00416
OG0000076	Praq.g_01243, Praq.g_00763	Syad.g_00348
OG0000077	Praq.g_01925	Syad.g_02741
OG0000078	Praq.g_01763	Syad.g_00824
OG0000081	Praq.g_01071	Syad.g_00833
OG0000082	Praq.g_01018	Syad.g_01063
OG0000084	Praq.g_00290	Syad.g_02272
OG0000086	Praq.g_01915	Syad.g_02770
OG0000087	Praq.g_01864	Syad.g_02860
OG0000088	Praq.g_01836	Syad.g_02899
OG0000089	Praq.g_01188	Syad.g_00785, Syad.g_02829
OG0000090	Praq.g_01069	Syad.g_00977
OG0000091	Praq.g_00960	Syad.g_02144
OG0000092	Praq.g_01495, Praq.g_00725	Syad.g_01190
OG0000094	Praq.g_01600	Syad.g_01676
OG0000097	Praq.g_01374	Syad.g_01458
OG0000098	Praq.g_00157	Syad.g_00625
OG0000099	Praq.g_00216	Syad.g_00460
OG0000100	Praq.g_00368	Syad.g_01846
OG0000101	Praq.g_00879	Syad.g_00694
OG0000102	Praq.g_00768	Syad.g_00343
OG0000103	Praq.g_00414	Syad.g_00143
OG0000104	Praq.g_00422	Syad.g_00158
OG0000105	Praq.g_01729	Syad.g_00530
OG0000106	Praq.g_01173	Syad.g_01993
OG0000107	Praq.g_01158	Syad.g_00590
OG0000108	Praq.g_00531	Syad.g_00904
OG0000109	Praq.g_00545	Syad.g_00919
OG0000110	Praq.g_01028	Syad.g_01048
OG0000111	Praq.g_00828	Syad.g_01300
OG0000112	Praq.g_00638	Syad.g_01766
OG0000113	Praq.g_01420	Syad.g_01851
OG0000114	Praq.g_01490	Syad.g_01617
OG0000115	Praq.g_01278	Syad.g_02300
OG0000116	Praq.g_01323	Syad.g_01123
OG0000117	Praq.g_00084	Syad.g_01510
OG0000118	Praq.g_00145	Syad.g_01104
OG0000119	Praq.g_00171	Syad.g_01168
OG0000120	Praq.g_00208	Syad.g_00459
OG0000121	Praq.g_00296	Syad.g_02280
OG0000122	Praq.g_00334	Syad.g_02122
OG0000123	Praq.g_00873	Syad.g_00701
OG0000124	Praq.g_00682	Syad.g_00320
OG0000125	Praq.g_00718	Syad.g_03040
OG0000126	Praq.g_00421	Syad.g_00156
OG0000128	Praq.g_00437	Syad.g_00174
OG0000129	Praq.g_01259	Syad.g_03028
OG0000130	Praq.g_01934	Syad.g_02728
OG0000131	Praq.g_01857	Syad.g_02876
OG0000132	Praq.g_01838	Syad.g_02897
OG0000133	Praq.g_01680	Syad.g_01761
OG0000134	Praq.g_01187	Syad.g_00788
OG0000135	Praq.g_01160	Syad.g_00063
OG0000136	Praq.g_01116	Syad.g_02445
OG0000137	Praq.g_00526	Syad.g_02353
OG0000138	Praq.g_00546	Syad.g_00920
OG0000139	Praq.g_01065	Syad.g_00983
OG0000140	Praq.g_01064	Syad.g_00987
OG0000141	Praq.g_00995	Syad.g_02208
OG0000142	Praq.g_00967	Syad.g_02152
OG0000143	Praq.g_00963	Syad.g_02148
OG0000144	Praq.g_00781	Syad.g_02024
OG0000145	Praq.g_00637	Syad.g_00927
OG0000146	Praq.g_00639	Syad.g_01767
OG0000147	Praq.g_00640	Syad.g_01768
OG0000148	Praq.g_01414	Syad.g_01861
OG0000149	Praq.g_01444	Syad.g_01221
OG0000150	Praq.g_01452	Syad.g_02207, Syad.g_00989
OG0000151	Praq.g_01500	Syad.g_01956
OG0000152	Praq.g_01548	Syad.g_01757
OG0000153	Praq.g_01567	Syad.g_01713
OG0000154	Praq.g_01593	Syad.g_01686
OG0000155	Praq.g_01353	Syad.g_01189
OG0000156	Praq.g_00122	Syad.g_01116
OG0000157	Praq.g_00123	Syad.g_01115
OG0000158	Praq.g_00258	Syad.g_00374
OG0000160	Praq.g_00295	Syad.g_02279
OG0000161	Praq.g_00301	Syad.g_02287
OG0000162	Praq.g_00307	Syad.g_02293
OG0000163	Praq.g_00341	Syad.g_02542
OG0000164	Praq.g_00473	Syad.g_02659
OG0000165	Praq.g_00466	Syad.g_02476
OG0000166	Praq.g_00915	Syad.g_00654
OG0000167	Praq.g_00737	Syad.g_00419
OG0000168	Praq.g_00747	Syad.g_00371
OG0000169	Praq.g_00757	Syad.g_00360
OG0000170	Praq.g_00759	Syad.g_00353
OG0000171	Praq.g_00681	Syad.g_00321
OG0000172	Praq.g_00689	Syad.g_00244
OG0000173	Praq.g_00704	Syad.g_00220
OG0000174	Praq.g_00396	Syad.g_00065
OG0000175	Praq.g_00406	Syad.g_00129
OG0000176	Praq.g_00430	Syad.g_00166
OG0000177	Praq.g_00431	Syad.g_00167
OG0000178	Praq.g_00432	Syad.g_00168
OG0000179	Praq.g_01219	Syad.g_00183
OG0000180	Praq.g_01220	Syad.g_00184
OG0000181	Praq.g_01221	Syad.g_00185
OG0000182	Praq.g_01222	Syad.g_00186
OG0000183	Praq.g_01226	Syad.g_00190
OG0000184	Praq.g_01262	Syad.g_03018
OG0000185	Praq.g_01265	Syad.g_03006
OG0000186	Praq.g_01939	Syad.g_02722
OG0000187	Praq.g_01938	Syad.g_02724
OG0000188	Praq.g_01921	Syad.g_02759
OG0000189	Praq.g_01907	Syad.g_02788
OG0000190	Praq.g_01906	Syad.g_02790
OG0000191	Praq.g_01886	Syad.g_02824
OG0000192	Praq.g_01882	Syad.g_02834
OG0000193	Praq.g_01856	Syad.g_02877
OG0000194	Praq.g_01853	Syad.g_02880
OG0000195	Praq.g_01851	Syad.g_02884
OG0000196	Praq.g_01841	Syad.g_02894
OG0000197	Praq.g_01840	Syad.g_02895
OG0000198	Praq.g_01839	Syad.g_02896
OG0000199	Praq.g_01832	Syad.g_02904
OG0000200	Praq.g_01818	Syad.g_02921
OG0000201	Praq.g_01810	Syad.g_02937
OG0000202	Praq.g_01809	Syad.g_02938
OG0000203	Praq.g_01808	Syad.g_02939
OG0000204	Praq.g_01807	Syad.g_02940
OG0000205	Praq.g_01800	Syad.g_02948
OG0000206	Praq.g_01795	Syad.g_02955
OG0000207	Praq.g_01793	Syad.g_02957
OG0000208	Praq.g_01792	Syad.g_02958
OG0000209	Praq.g_01783	Syad.g_02981
OG0000210	Praq.g_01782	Syad.g_02982
OG0000212	Praq.g_01762	Syad.g_00825
OG0000213	Praq.g_01746	Syad.g_00556
OG0000214	Praq.g_01736	Syad.g_00538
OG0000215	Praq.g_01710	Syad.g_00508
OG0000216	Praq.g_01708	Syad.g_00504, Syad.g_00285
OG0000217	Praq.g_01705	Syad.g_00500
OG0000218	Praq.g_01703	Syad.g_00498
OG0000219	Praq.g_01702	Syad.g_00497
OG0000220	Praq.g_01701	Syad.g_00496
OG0000221	Praq.g_01700	Syad.g_00488
OG0000222	Praq.g_01692	Syad.g_00473
OG0000223	Praq.g_01679	Syad.g_00451
OG0000224	Praq.g_01677	Syad.g_00444
OG0000225	Praq.g_01199	Syad.g_00777
OG0000226	Praq.g_01195	Syad.g_00781
OG0000227	Praq.g_01193	Syad.g_00783
OG0000228	Praq.g_01189	Syad.g_00784
OG0000229	Praq.g_01121	Syad.g_02450
OG0000230	Praq.g_01119	Syad.g_02448
OG0000231	Praq.g_01108	Syad.g_02436
OG0000232	Praq.g_00507	Syad.g_02392
OG0000233	Praq.g_00513	Syad.g_02382
OG0000234	Praq.g_00527	Syad.g_02351
OG0000235	Praq.g_00530	Syad.g_00903
OG0000236	Praq.g_00544	Syad.g_00918
OG0000237	Praq.g_01096	Syad.g_00936
OG0000238	Praq.g_01090	Syad.g_00941
OG0000239	Praq.g_01077	Syad.g_00957
OG0000240	Praq.g_01076	Syad.g_00958
OG0000241	Praq.g_01072	Syad.g_02160
OG0000242	Praq.g_01070	Syad.g_00975
OG0000243	Praq.g_01059	Syad.g_01000
OG0000244	Praq.g_01056	Syad.g_01012
OG0000245	Praq.g_01054	Syad.g_01014
OG0000246	Praq.g_01050	Syad.g_01017
OG0000247	Praq.g_01040	Syad.g_01029
OG0000248	Praq.g_01038	Syad.g_01032
OG0000249	Praq.g_01036	Syad.g_01034
OG0000250	Praq.g_01031	Syad.g_01044
OG0000251	Praq.g_01012	Syad.g_01071
OG0000252	Praq.g_01008	Syad.g_01078
OG0000253	Praq.g_01007	Syad.g_01081
OG0000254	Praq.g_00991	Syad.g_02203
OG0000255	Praq.g_00985	Syad.g_02185
OG0000256	Praq.g_00975	Syad.g_02167
OG0000257	Praq.g_00972	Syad.g_02161
OG0000258	Praq.g_00959	Syad.g_02143
OG0000259	Praq.g_00789	Syad.g_01576
OG0000260	Praq.g_00792	Syad.g_01587
OG0000261	Praq.g_00794	Syad.g_01590
OG0000262	Praq.g_00798	Syad.g_01595
OG0000263	Praq.g_00810	Syad.g_01475
OG0000264	Praq.g_00820	Syad.g_01360
OG0000265	Praq.g_00583	Syad.g_01383
OG0000266	Praq.g_00593	Syad.g_01804
OG0000267	Praq.g_00604	Syad.g_01645
OG0000268	Praq.g_00605	Syad.g_01646
OG0000269	Praq.g_00665	Syad.g_01894
OG0000270	Praq.g_00668	Syad.g_01891
OG0000271	Praq.g_00676	Syad.g_01883
OG0000272	Praq.g_00677	Syad.g_01882
OG0000273	Praq.g_01428	Syad.g_01247
OG0000274	Praq.g_01429	Syad.g_01246
OG0000275	Praq.g_01431	Syad.g_01242
OG0000276	Praq.g_01436	Syad.g_01229
OG0000277	Praq.g_01437	Syad.g_01228
OG0000278	Praq.g_01440	Syad.g_01225
OG0000279	Praq.g_01447	Syad.g_01208
OG0000280	Praq.g_01448	Syad.g_01198
OG0000281	Praq.g_01454	Syad.g_00624
OG0000282	Praq.g_01492	Syad.g_01619
OG0000283	Praq.g_01525	Syad.g_01661
OG0000284	Praq.g_01530	Syad.g_01787
OG0000285	Praq.g_01535	Syad.g_01776
OG0000286	Praq.g_01547	Syad.g_01758
OG0000288	Praq.g_01592	Syad.g_01687
OG0000289	Praq.g_01603	Syad.g_01672
OG0000290	Praq.g_01616	Syad.g_01287
OG0000291	Praq.g_01618	Syad.g_01289
OG0000292	Praq.g_01667	Syad.g_00155
OG0000293	Praq.g_01324	Syad.g_01124
OG0000294	Praq.g_01325	Syad.g_01125
OG0000295	Praq.g_01345	Syad.g_01181
OG0000296	Praq.g_01347	Syad.g_01183
OG0000297	Praq.g_01355	Syad.g_01512
OG0000298	Praq.g_01356	Syad.g_01511
OG0000299	Praq.g_01373	Syad.g_01462
OG0000300	Praq.g_01376	Syad.g_01455
OG0000301	Praq.g_01377	Syad.g_01454
OG0000302	Praq.g_01379	Syad.g_01453
OG0000303	Praq.g_01386	Syad.g_01442
OG0000304	Praq.g_01390	Syad.g_01436
OG0000305	Praq.g_00167	Syad.g_01292
OG0000306	Praq.g_00170	Syad.g_01989
OG0000307	Praq.g_00186	Syad.g_00883
OG0000308	Praq.g_00187	Syad.g_00881
OG0000309	Praq.g_00191	Syad.g_00876
OG0000310	Praq.g_00279	Syad.g_02250
OG0000311	Praq.g_00281	Syad.g_02254
OG0000312	Praq.g_00284	Syad.g_02265
OG0000313	Praq.g_00298	Syad.g_02284
OG0000314	Praq.g_00321	Syad.g_02313
OG0000315	Praq.g_00331	Syad.g_02323
OG0000316	Praq.g_00351	Syad.g_02564
OG0000317	Praq.g_01954, Praq.g_00499	Syad.g_02620
OG0000318	Praq.g_00496	Syad.g_02624
OG0000319	Praq.g_00483	Syad.g_02642
OG0000320	Praq.g_00481	Syad.g_02644
OG0000321	Praq.g_00480	Syad.g_02645
OG0000322	Praq.g_00479	Syad.g_02646
OG0000323	Praq.g_00470	Syad.g_02661
OG0000324	Praq.g_00444	Syad.g_02505
OG0000325	Praq.g_00950	Syad.g_00591
OG0000326	Praq.g_00944	Syad.g_00598
OG0000327	Praq.g_00920	Syad.g_00649
OG0000328	Praq.g_00919	Syad.g_00650
OG0000329	Praq.g_00902	Syad.g_00668
OG0000330	Praq.g_00901	Syad.g_00669
OG0000331	Praq.g_00900	Syad.g_00670
OG0000332	Praq.g_00886	Syad.g_00685
OG0000333	Praq.g_00884	Syad.g_00688
OG0000334	Praq.g_00876	Syad.g_00697
OG0000335	Praq.g_00872	Syad.g_00702
OG0000336	Praq.g_00868	Syad.g_00706
OG0000337	Praq.g_00735	Syad.g_00425, Syad.g_00427
OG0000338	Praq.g_00736	Syad.g_00421
OG0000339	Praq.g_00740	Syad.g_00414
OG0000340	Praq.g_00748	Syad.g_00370
OG0000341	Praq.g_00750	Syad.g_00368
OG0000342	Praq.g_00751	Syad.g_00367
OG0000343	Praq.g_00752	Syad.g_00366
OG0000344	Praq.g_00755	Syad.g_00362
OG0000345	Praq.g_00760	Syad.g_00352
OG0000346	Praq.g_00764	Syad.g_00347
OG0000347	Praq.g_00683	Syad.g_00318
OG0000348	Praq.g_00692	Syad.g_00233
OG0000349	Praq.g_00709	Syad.g_00213
OG0000350	Praq.g_00392	Syad.g_00605
OG0000351	Praq.g_00409	Syad.g_00134
OG0000352	Praq.g_00410	Syad.g_00135
OG0000353	Praq.g_00425	Syad.g_00161
OG0000355	Praq.g_00427	Syad.g_00163
OG0000356	Praq.g_00428	Syad.g_00164
OG0000357	Praq.g_00429	Syad.g_00165
OG0000358	Praq.g_00433	Syad.g_00169
OG0000359	Praq.g_00434	Syad.g_00171
OG0000360	Praq.g_00435	Syad.g_00172
OG0000361	Praq.g_00436	Syad.g_00173
OG0000362	Praq.g_00438	Syad.g_00175
OG0000363	Praq.g_01217	Syad.g_00177
OG0000364	Praq.g_01218	Syad.g_00178
OG0000365	Praq.g_01223	Syad.g_00187
OG0000366	Praq.g_01224	Syad.g_00188
OG0000367	Praq.g_01225	Syad.g_00189
OG0000368	Praq.g_01227	Syad.g_00191
OG0000369	Praq.g_01228	Syad.g_00192
OG0000370	Praq.g_01229	Syad.g_00193
OG0000371	Praq.g_01235	Syad.g_00201
OG0000372	Praq.g_01239	Syad.g_00206
OG0000373	Praq.g_01240	Syad.g_00207
OG0000374	Praq.g_01241	Syad.g_00208
OG0000375	Praq.g_01255	Syad.g_00209
OG0000376	Praq.g_01257	Syad.g_00211
OG0000377	Praq.g_01261	Syad.g_03027
OG0000378	Praq.g_01263	Syad.g_03012
OG0000379	Praq.g_01266	Syad.g_03005
OG0000380	Praq.g_01937	Syad.g_02725
OG0000381	Praq.g_01933	Syad.g_02729
OG0000382	Praq.g_01922	Syad.g_02758
OG0000383	Praq.g_01920	Syad.g_02761
OG0000384	Praq.g_01919	Syad.g_02762
OG0000385	Praq.g_01918	Syad.g_02763
OG0000386	Praq.g_01917	Syad.g_02764
OG0000387	Praq.g_01904	Syad.g_02792
OG0000388	Praq.g_01901	Syad.g_02796
OG0000389	Praq.g_01897	Syad.g_02800
OG0000390	Praq.g_01890	Syad.g_02818
OG0000391	Praq.g_01887	Syad.g_02823
OG0000392	Praq.g_01883	Syad.g_02833
OG0000393	Praq.g_01881	Syad.g_02837
OG0000394	Praq.g_01880	Syad.g_02838
OG0000395	Praq.g_01879	Syad.g_02839
OG0000396	Praq.g_01876	Syad.g_02843
OG0000397	Praq.g_01874	Syad.g_02845
OG0000398	Praq.g_01872	Syad.g_02850
OG0000399	Praq.g_01871	Syad.g_02851
OG0000400	Praq.g_01870	Syad.g_02852
OG0000401	Praq.g_01869	Syad.g_02853
OG0000402	Praq.g_01867	Syad.g_02855
OG0000403	Praq.g_01866	Syad.g_02856
OG0000404	Praq.g_01865	Syad.g_02858
OG0000405	Praq.g_01861	Syad.g_02874
OG0000406	Praq.g_01855	Syad.g_02878
OG0000407	Praq.g_01854	Syad.g_02879
OG0000408	Praq.g_01852	Syad.g_02883
OG0000409	Praq.g_01850	Syad.g_02885
OG0000410	Praq.g_01849	Syad.g_02886
OG0000411	Praq.g_01848	Syad.g_02887
OG0000412	Praq.g_01847	Syad.g_02888
OG0000413	Praq.g_01846	Syad.g_02890
OG0000415	Praq.g_01844	Syad.g_02891
OG0000416	Praq.g_01843	Syad.g_02892
OG0000417	Praq.g_01842	Syad.g_02893
OG0000418	Praq.g_01837	Syad.g_02898
OG0000419	Praq.g_01835	Syad.g_02900
OG0000420	Praq.g_01834	Syad.g_02902
OG0000421	Praq.g_01829	Syad.g_02907
OG0000422	Praq.g_01828	Syad.g_02908
OG0000423	Praq.g_01827	Syad.g_02909
OG0000424	Praq.g_01826	Syad.g_02910
OG0000425	Praq.g_01825	Syad.g_02911
OG0000426	Praq.g_01824	Syad.g_02912
OG0000427	Praq.g_01823	Syad.g_02913
OG0000428	Praq.g_01821	Syad.g_02916
OG0000429	Praq.g_01820	Syad.g_02918
OG0000430	Praq.g_01819	Syad.g_02920
OG0000431	Praq.g_01817	Syad.g_02923
OG0000432	Praq.g_01814	Syad.g_02930
OG0000433	Praq.g_01813	Syad.g_02933
OG0000434	Praq.g_01812	Syad.g_02934
OG0000435	Praq.g_01811	Syad.g_02936
OG0000436	Praq.g_01806	Syad.g_02942
OG0000437	Praq.g_01805	Syad.g_02943
OG0000438	Praq.g_01804	Syad.g_02944
OG0000439	Praq.g_01802	Syad.g_02946
OG0000440	Praq.g_01801	Syad.g_02947
OG0000441	Praq.g_01798	Syad.g_02951
OG0000442	Praq.g_01797	Syad.g_02952
OG0000443	Praq.g_01796	Syad.g_02953
OG0000444	Praq.g_01791	Syad.g_02964
OG0000445	Praq.g_01790	Syad.g_02965
OG0000446	Praq.g_01789	Syad.g_02967
OG0000447	Praq.g_01788	Syad.g_02970
OG0000448	Praq.g_01787	Syad.g_02971
OG0000449	Praq.g_01786	Syad.g_02972
OG0000450	Praq.g_01785	Syad.g_02978
OG0000451	Praq.g_01784	Syad.g_02979
OG0000452	Praq.g_01781	Syad.g_02983
OG0000453	Praq.g_01780	Syad.g_02984
OG0000454	Praq.g_01779	Syad.g_02985
OG0000455	Praq.g_01778	Syad.g_02986
OG0000456	Praq.g_01777	Syad.g_02987
OG0000457	Praq.g_01776	Syad.g_02989
OG0000458	Praq.g_01775	Syad.g_02998
OG0000459	Praq.g_01774	Syad.g_02999
OG0000460	Praq.g_01767	Syad.g_00815
OG0000461	Praq.g_01760	Syad.g_00579
OG0000462	Praq.g_01758	Syad.g_00576
OG0000463	Praq.g_01757	Syad.g_00575
OG0000464	Praq.g_01756	Syad.g_00574
OG0000465	Praq.g_01755	Syad.g_00573
OG0000466	Praq.g_01752	Syad.g_00568
OG0000467	Praq.g_01751	Syad.g_00566
OG0000468	Praq.g_01750	Syad.g_00561
OG0000469	Praq.g_01741	Syad.g_00545
OG0000470	Praq.g_01739	Syad.g_00542
OG0000471	Praq.g_01738	Syad.g_00541
OG0000472	Praq.g_01737	Syad.g_00539
OG0000473	Praq.g_01735	Syad.g_00537
OG0000474	Praq.g_01734	Syad.g_00536
OG0000475	Praq.g_01733	Syad.g_00535
OG0000476	Praq.g_01732	Syad.g_00533
OG0000477	Praq.g_01728	Syad.g_00528
OG0000478	Praq.g_01727	Syad.g_00527
OG0000479	Praq.g_01726	Syad.g_00526
OG0000480	Praq.g_01721	Syad.g_00520
OG0000481	Praq.g_01718	Syad.g_00518
OG0000482	Praq.g_01717	Syad.g_00517
OG0000483	Praq.g_01714	Syad.g_00513
OG0000484	Praq.g_01713	Syad.g_00512
OG0000485	Praq.g_01712	Syad.g_00511
OG0000486	Praq.g_01711	Syad.g_00510
OG0000487	Praq.g_01707	Syad.g_00503
OG0000488	Praq.g_01704	Syad.g_00499
OG0000489	Praq.g_01699	Syad.g_00487
OG0000490	Praq.g_01694	Syad.g_00475
OG0000491	Praq.g_01693	Syad.g_00474
OG0000492	Praq.g_01691	Syad.g_00472
OG0000493	Praq.g_01690	Syad.g_00471
OG0000494	Praq.g_01689	Syad.g_00470
OG0000495	Praq.g_01688	Syad.g_00469
OG0000496	Praq.g_01687	Syad.g_00468
OG0000497	Praq.g_01686	Syad.g_00467
OG0000498	Praq.g_01685	Syad.g_00466
OG0000499	Praq.g_01684	Syad.g_00465
OG0000500	Praq.g_01683	Syad.g_00464
OG0000501	Praq.g_01681	Syad.g_00461
OG0000502	Praq.g_01678	Syad.g_00449
OG0000503	Praq.g_01211	Syad.g_00761
OG0000504	Praq.g_01210	Syad.g_00763
OG0000505	Praq.g_01209	Syad.g_00764
OG0000506	Praq.g_01207	Syad.g_00766
OG0000507	Praq.g_01204	Syad.g_00772
OG0000508	Praq.g_01200	Syad.g_00776
OG0000509	Praq.g_01198	Syad.g_00778
OG0000510	Praq.g_01197	Syad.g_00779
OG0000511	Praq.g_01196	Syad.g_00780
OG0000512	Praq.g_01194	Syad.g_00782
OG0000513	Praq.g_01186	Syad.g_00789
OG0000514	Praq.g_01126	Syad.g_00795
OG0000515	Praq.g_01125	Syad.g_00796
OG0000516	Praq.g_01124	Syad.g_02456
OG0000517	Praq.g_01122	Syad.g_02451
OG0000518	Praq.g_01111	Syad.g_02439
OG0000519	Praq.g_01110	Syad.g_02438
OG0000520	Praq.g_01109	Syad.g_02437
OG0000521	Praq.g_00502	Syad.g_01108
OG0000522	Praq.g_00504	Syad.g_01109
OG0000523	Praq.g_00505	Syad.g_01110
OG0000524	Praq.g_00511	Syad.g_02386
OG0000525	Praq.g_00514	Syad.g_02363
OG0000526	Praq.g_00515	Syad.g_02360
OG0000527	Praq.g_00524	Syad.g_02355
OG0000528	Praq.g_00529	Syad.g_00897
OG0000529	Praq.g_00532	Syad.g_00905
OG0000530	Praq.g_00535	Syad.g_00908
OG0000531	Praq.g_00536	Syad.g_00909
OG0000532	Praq.g_00538	Syad.g_00912
OG0000533	Praq.g_00539	Syad.g_00913
OG0000534	Praq.g_00540	Syad.g_00914
OG0000535	Praq.g_00541	Syad.g_00915
OG0000536	Praq.g_00542	Syad.g_00916
OG0000537	Praq.g_00543	Syad.g_00917
OG0000538	Praq.g_01102	Syad.g_00929
OG0000539	Praq.g_01101	Syad.g_00930
OG0000540	Praq.g_01100	Syad.g_00931
OG0000541	Praq.g_01099	Syad.g_00932
OG0000542	Praq.g_01097	Syad.g_00935
OG0000543	Praq.g_01095	Syad.g_00937
OG0000544	Praq.g_01094	Syad.g_00938
OG0000545	Praq.g_01092	Syad.g_00940
OG0000546	Praq.g_01089	Syad.g_00942
OG0000547	Praq.g_01087	Syad.g_00944
OG0000548	Praq.g_01086	Syad.g_00945
OG0000549	Praq.g_01084	Syad.g_00952
OG0000550	Praq.g_01079	Syad.g_00956
OG0000551	Praq.g_01075	Syad.g_00960
OG0000552	Praq.g_01074	Syad.g_00961
OG0000553	Praq.g_01073	Syad.g_00965
OG0000554	Praq.g_01068	Syad.g_00978
OG0000555	Praq.g_01060	Syad.g_00999
OG0000556	Praq.g_01058	Syad.g_01003
OG0000557	Praq.g_01057	Syad.g_01011
OG0000558	Praq.g_01055	Syad.g_01013
OG0000559	Praq.g_01051	Syad.g_01016
OG0000560	Praq.g_01048	Syad.g_01019
OG0000561	Praq.g_01047	Syad.g_01020
OG0000562	Praq.g_01046	Syad.g_01021
OG0000563	Praq.g_01045	Syad.g_01022
OG0000564	Praq.g_01044	Syad.g_01023
OG0000565	Praq.g_01041	Syad.g_01027
OG0000566	Praq.g_01039	Syad.g_01031
OG0000567	Praq.g_01035	Syad.g_01035
OG0000568	Praq.g_01034	Syad.g_01040
OG0000569	Praq.g_01033	Syad.g_01041
OG0000570	Praq.g_01032	Syad.g_01042
OG0000571	Praq.g_01030	Syad.g_01046
OG0000572	Praq.g_01017	Syad.g_01064
OG0000573	Praq.g_01010	Syad.g_01072
OG0000574	Praq.g_01009	Syad.g_01077
OG0000575	Praq.g_01005	Syad.g_01083
OG0000576	Praq.g_01003	Syad.g_01085
OG0000577	Praq.g_01002	Syad.g_01086
OG0000578	Praq.g_01001	Syad.g_01087
OG0000579	Praq.g_01000	Syad.g_01088
OG0000580	Praq.g_00999	Syad.g_01089
OG0000581	Praq.g_00997	Syad.g_01097
OG0000582	Praq.g_00994	Syad.g_02206
OG0000583	Praq.g_00993	Syad.g_02205
OG0000584	Praq.g_00992	Syad.g_02204
OG0000585	Praq.g_00990	Syad.g_02202
OG0000586	Praq.g_00989	Syad.g_02201
OG0000587	Praq.g_00988	Syad.g_02199
OG0000588	Praq.g_00984	Syad.g_02183
OG0000589	Praq.g_00981	Syad.g_02178
OG0000590	Praq.g_00980	Syad.g_02177
OG0000591	Praq.g_00977	Syad.g_02169
OG0000592	Praq.g_00976	Syad.g_02168
