Orthogroup	Prat	Syap
OG0000070	Prat.g_00412	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Prat.g_01249	Syap.g_01483
OG0000072	Prat.g_00172	Syap.g_00555
OG0000073	Prat.g_00462	Syap.g_00273
OG0000075	Prat.g_01761	Syap.g_01064, Syap.g_00664
OG0000076	Prat.g_01788	Syap.g_01111
OG0000077	Prat.g_00075	Syap.g_00416
OG0000078	Prat.g_00245	Syap.g_01149
OG0000079	Prat.g_00258	Syap.g_01589
OG0000080	Prat.g_01323	Syap.g_01707, Syap.g_00630, Syap.g_01035
OG0000085	Prat.g_01584	Syap.g_00611
OG0000087	Prat.g_00138	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prat.g_00166	Syap.g_01202
OG0000089	Prat.g_00370	Syap.g_00115, Syap.g_02042
OG0000090	Prat.g_00495	Syap.g_01451
OG0000091	Prat.g_01082	Syap.g_01861
OG0000094	Prat.g_00943	Syap.g_02781
OG0000095	Prat.g_00965	Syap.g_01556
OG0000098	Prat.g_01282	Syap.g_01975
OG0000099	Prat.g_01312	Syap.g_01385
OG0000101	Prat.g_01726	Syap.g_00472
OG0000102	Prat.g_01793	Syap.g_01116
OG0000103	Prat.g_01880	Syap.g_02607, Syap.g_02608
OG0000104	Prat.g_01889	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prat.g_00281	Syap.g_01369, Syap.g_01368
OG0000107	Prat.g_01656	Syap.g_02496
OG0000108	Prat.g_00440	Syap.g_02256, Syap.g_00733, Syap.g_02255
OG0000109	Prat.g_00455	Syap.g_00279, Syap.g_02237
OG0000110	Prat.g_00539	Syap.g_01313
OG0000111	Prat.g_00776	Syap.g_01566, Syap.g_01568
OG0000112	Prat.g_00888	Syap.g_02023
OG0000113	Prat.g_01014	Syap.g_02714
OG0000114	Prat.g_00716	Syap.g_01255
OG0000115	Prat.g_01373	Syap.g_02004
OG0000116	Prat.g_01166	Syap.g_00241
OG0000117	Prat.g_01129	Syap.g_01889
OG0000118	Prat.g_01261	Syap.g_02286
OG0000120	Prat.g_00344	Syap.g_02075
OG0000121	Prat.g_01355	Syap.g_02471
OG0000123	Prat.g_01733	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prat.g_01805	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prat.g_01841	Syap.g_01046, Syap.g_01047
OG0000126	Prat.g_01888	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000128	Prat.g_00012, Prat.g_00011	Syap.g_00069
OG0000129	Prat.g_00047	Syap.g_00130, Syap.g_00129
OG0000130	Prat.g_00066	Syap.g_01688, Syap.g_01689
OG0000131	Prat.g_00144	Syap.g_02189
OG0000132	Prat.g_00164	Syap.g_01205
OG0000133	Prat.g_00329	Syap.g_02017
OG0000134	Prat.g_00372	Syap.g_02047
OG0000135	Prat.g_01477	Syap.g_02090
OG0000136	Prat.g_00401	Syap.g_00089
OG0000137	Prat.g_00434	Syap.g_02756
OG0000138	Prat.g_00456	Syap.g_00278
OG0000139	Prat.g_00499	Syap.g_00410
OG0000140	Prat.g_00500	Syap.g_01976
OG0000141	Prat.g_00570	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prat.g_01090	Syap.g_00895, Syap.g_00894
OG0000143	Prat.g_01086	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prat.g_01072	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prat.g_01472	Syap.g_01860, Syap.g_01859
OG0000146	Prat.g_00887	Syap.g_02024
OG0000147	Prat.g_00886	Syap.g_02025
OG0000148	Prat.g_01020	Syap.g_02720
OG0000149	Prat.g_00991	Syap.g_00824
OG0000150	Prat.g_00981	Syap.g_01540
OG0000151	Prat.g_00726	Syap.g_00142
OG0000152	Prat.g_00896	Syap.g_02012
OG0000153	Prat.g_00915	Syap.g_02682
OG0000154	Prat.g_00934	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prat.g_01135	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prat.g_01238	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prat.g_01239	Syap.g_00249, Syap.g_00286
OG0000158	Prat.g_01769	Syap.g_01075
OG0000160	Prat.g_01354	Syap.g_02470, Syap.g_02469
OG0000161	Prat.g_01360	Syap.g_02476
OG0000162	Prat.g_01366	Syap.g_02531
OG0000164	Prat.g_01615	Syap.g_01391, Syap.g_01392
OG0000165	Prat.g_01623	Syap.g_01381, Syap.g_01382
OG0000166	Prat.g_01690	Syap.g_00512, Syap.g_01238
OG0000167	Prat.g_01759	Syap.g_02080
OG0000168	Prat.g_01770	Syap.g_01076
OG0000169	Prat.g_01781	Syap.g_01049, Syap.g_01093
OG0000170	Prat.g_01784	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Prat.g_01804	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Prat.g_01811	Syap.g_01143, Syap.g_00635
OG0000173	Prat.g_01826	Syap.g_01213, Syap.g_00982, Syap.g_00983
OG0000174	Prat.g_01858	Syap.g_02092
OG0000175	Prat.g_01870	Syap.g_02654
OG0000176	Prat.g_00004	Syap.g_00059
OG0000177	Prat.g_00005	Syap.g_00061, Syap.g_00060
OG0000178	Prat.g_00006	Syap.g_00062
OG0000179	Prat.g_00017	Syap.g_00077, Syap.g_02638
OG0000180	Prat.g_00018	Syap.g_00078, Syap.g_02640
OG0000181	Prat.g_00019	Syap.g_00079, Syap.g_02641
OG0000182	Prat.g_00020	Syap.g_00080, Syap.g_02642
OG0000183	Prat.g_00024	Syap.g_00084
OG0000184	Prat.g_00051	Syap.g_01337
OG0000185	Prat.g_00054	Syap.g_01322
OG0000186	Prat.g_00060	Syap.g_01684
OG0000187	Prat.g_00061	Syap.g_01686
OG0000188	Prat.g_00080	Syap.g_02547
OG0000191	Prat.g_00116	Syap.g_02233
OG0000192	Prat.g_00121	Syap.g_02224
OG0000193	Prat.g_00145	Syap.g_02187, Syap.g_02188
OG0000194	Prat.g_00148	Syap.g_02183
OG0000195	Prat.g_00150	Syap.g_02180
OG0000196	Prat.g_00161	Syap.g_01208, Syap.g_02167
OG0000197	Prat.g_00162	Syap.g_01207, Syap.g_02166
OG0000198	Prat.g_00163	Syap.g_01206
OG0000199	Prat.g_00171	Syap.g_01197
OG0000200	Prat.g_00185	Syap.g_01181
OG0000201	Prat.g_00194	Syap.g_02265
OG0000202	Prat.g_00195	Syap.g_02264
OG0000203	Prat.g_00196	Syap.g_01601
OG0000204	Prat.g_00197	Syap.g_01602
OG0000205	Prat.g_00204	Syap.g_01616
OG0000206	Prat.g_00209	Syap.g_01628
OG0000207	Prat.g_00211	Syap.g_01426, Syap.g_00424
OG0000208	Prat.g_00212	Syap.g_00426, Syap.g_01425
OG0000209	Prat.g_00221	Syap.g_01906
OG0000210	Prat.g_00222	Syap.g_01905
OG0000211	Prat.g_00238	Syap.g_01160
OG0000212	Prat.g_00246	Syap.g_02664
OG0000213	Prat.g_00264	Syap.g_00107, Syap.g_01599
OG0000214	Prat.g_00274	Syap.g_02344, Syap.g_02345
OG0000215	Prat.g_00300	Syap.g_01347, Syap.g_01629
OG0000216	Prat.g_00302	Syap.g_01634
OG0000217	Prat.g_00305	Syap.g_01638
OG0000218	Prat.g_00307	Syap.g_01641, Syap.g_01640
OG0000219	Prat.g_00308	Syap.g_01642, Syap.g_01643
OG0000220	Prat.g_00309	Syap.g_01645
OG0000221	Prat.g_00310	Syap.g_01646
OG0000222	Prat.g_00317	Syap.g_01669
OG0000223	Prat.g_00330	Syap.g_02072, Syap.g_02073
OG0000224	Prat.g_00332	Syap.g_02064
OG0000225	Prat.g_00360	Syap.g_00553, Syap.g_00552
OG0000226	Prat.g_00364	Syap.g_02029, Syap.g_02144
OG0000227	Prat.g_00366	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Prat.g_00369	Syap.g_00116, Syap.g_02041
OG0000229	Prat.g_00396	Syap.g_02059
OG0000230	Prat.g_00398	Syap.g_02061
OG0000231	Prat.g_00411	Syap.g_02533
OG0000232	Prat.g_00419	Syap.g_02510, Syap.g_02511
OG0000233	Prat.g_00426	Syap.g_02133
OG0000234	Prat.g_00435	Syap.g_02755
OG0000235	Prat.g_00439	Syap.g_00732, Syap.g_02258
OG0000236	Prat.g_00454	Syap.g_02238
OG0000237	Prat.g_00469	Syap.g_00262, Syap.g_00263
OG0000238	Prat.g_00475	Syap.g_00257, Syap.g_00258
OG0000239	Prat.g_00487	Syap.g_02744
OG0000240	Prat.g_00488	Syap.g_02742
OG0000241	Prat.g_00492	Syap.g_00888
OG0000242	Prat.g_00494	Syap.g_01455
OG0000243	Prat.g_00504	Syap.g_01938
OG0000244	Prat.g_00507	Syap.g_01146, Syap.g_01145
OG0000245	Prat.g_00509	Syap.g_01148
OG0000246	Prat.g_00514, Prat.g_00513	Syap.g_00308
OG0000247	Prat.g_00525	Syap.g_00288, Syap.g_00293
OG0000248	Prat.g_00528	Syap.g_00290
OG0000249	Prat.g_00530	Syap.g_01296, Syap.g_01295
OG0000250	Prat.g_00536	Syap.g_01306
OG0000251	Prat.g_00553	Syap.g_00442
OG0000252	Prat.g_00556	Syap.g_01857
OG0000253	Prat.g_00557	Syap.g_00443
OG0000254	Prat.g_00574	Syap.g_01527, Syap.g_01528
OG0000256	Prat.g_00591	Syap.g_01287
OG0000257	Prat.g_01097	Syap.g_00886
OG0000258	Prat.g_01081	Syap.g_00907
OG0000260	Prat.g_01061	Syap.g_01970
OG0000261	Prat.g_01058	Syap.g_01962, Syap.g_01961
OG0000262	Prat.g_01054	Syap.g_01954
OG0000263	Prat.g_00754	Syap.g_00432, Syap.g_00433
OG0000266	Prat.g_00801	Syap.g_00519
OG0000267	Prat.g_00814	Syap.g_02333, Syap.g_02332
OG0000268	Prat.g_00815	Syap.g_00646
OG0000269	Prat.g_01042	Syap.g_00188
OG0000270	Prat.g_01039	Syap.g_00192
OG0000271	Prat.g_01031	Syap.g_00200, Syap.g_00201
OG0000272	Prat.g_01030	Syap.g_00202
OG0000273	Prat.g_01007	Syap.g_02703
OG0000274	Prat.g_01006	Syap.g_02702
OG0000275	Prat.g_01004	Syap.g_01847
OG0000276	Prat.g_00999	Syap.g_01839, Syap.g_01838
OG0000277	Prat.g_00998	Syap.g_01837
OG0000278	Prat.g_00995	Syap.g_01834
OG0000279	Prat.g_00988	Syap.g_00829, Syap.g_00830
OG0000280	Prat.g_00987	Syap.g_00365
OG0000281	Prat.g_00980	Syap.g_01977
OG0000282	Prat.g_00718	Syap.g_01252
OG0000283	Prat.g_00868	Syap.g_01728
OG0000284	Prat.g_00873	Syap.g_01736
OG0000285	Prat.g_00879	Syap.g_01746, Syap.g_01744
OG0000286	Prat.g_00895	Syap.g_02014, Syap.g_02013
OG0000288	Prat.g_00933	Syap.g_02764, Syap.g_02763
OG0000289	Prat.g_00948	Syap.g_02784
OG0000290	Prat.g_00962	Syap.g_01552
OG0000291	Prat.g_00964	Syap.g_01554
OG0000292	Prat.g_01208	Syap.g_02314
OG0000293	Prat.g_01165	Syap.g_00240
OG0000294	Prat.g_01164	Syap.g_00239
OG0000295	Prat.g_01142	Syap.g_00206
OG0000296	Prat.g_01140	Syap.g_00204
OG0000297	Prat.g_01131	Syap.g_01887
OG0000298	Prat.g_01130	Syap.g_01888
OG0000299	Prat.g_01112	Syap.g_02620
OG0000302	Prat.g_01105	Syap.g_02444, Syap.g_02445
OG0000303	Prat.g_01099	Syap.g_02435
OG0000304	Prat.g_00595	Syap.g_02430
OG0000305	Prat.g_01200	Syap.g_01557
OG0000306	Prat.g_00976	Syap.g_01966
OG0000307	Prat.g_01300	Syap.g_02517
OG0000308	Prat.g_01301	Syap.g_02514, Syap.g_02515
OG0000309	Prat.g_01305	Syap.g_02198, Syap.g_02446
OG0000310	Prat.g_01336	Syap.g_02660, Syap.g_02661
OG0000311	Prat.g_01338	Syap.g_02657
OG0000312	Prat.g_01341	Syap.g_02114
OG0000313	Prat.g_01357	Syap.g_02473
OG0000314	Prat.g_01382	Syap.g_00007
OG0000315	Prat.g_01392	Syap.g_00017
OG0000316	Prat.g_01420	Syap.g_00030
OG0000317	Prat.g_01589	Syap.g_00618
OG0000318	Prat.g_01593	Syap.g_00622, Syap.g_02786
OG0000319	Prat.g_01605	Syap.g_01764, Syap.g_01771
OG0000320	Prat.g_01607	Syap.g_01761, Syap.g_01769
OG0000321	Prat.g_01608	Syap.g_01760, Syap.g_01768
OG0000322	Prat.g_01609	Syap.g_01759, Syap.g_01767
OG0000323	Prat.g_01618	Syap.g_01389
OG0000324	Prat.g_01647	Syap.g_01503
OG0000325	Prat.g_01657	Syap.g_02680
OG0000326	Prat.g_01664	Syap.g_00544
OG0000327	Prat.g_01685	Syap.g_01233, Syap.g_01913
OG0000328	Prat.g_01686	Syap.g_01234, Syap.g_01912
OG0000329	Prat.g_01703	Syap.g_00498
OG0000330	Prat.g_01704	Syap.g_00497
OG0000331	Prat.g_01705	Syap.g_00496
OG0000332	Prat.g_01718	Syap.g_00481
OG0000333	Prat.g_01720	Syap.g_00478
OG0000334	Prat.g_01729	Syap.g_00468
OG0000335	Prat.g_01734	Syap.g_00101, Syap.g_00463
OG0000336	Prat.g_01738	Syap.g_00417, Syap.g_00607
OG0000337	Prat.g_01756	Syap.g_01054
OG0000338	Prat.g_01757	Syap.g_01059
OG0000339	Prat.g_01762	Syap.g_01068
OG0000340	Prat.g_01771	Syap.g_01077
OG0000341	Prat.g_01773	Syap.g_01079
OG0000342	Prat.g_01775	Syap.g_01080, Syap.g_02477
OG0000343	Prat.g_01776	Syap.g_01086, Syap.g_02078
OG0000344	Prat.g_01779	Syap.g_01091
OG0000345	Prat.g_01785	Syap.g_01107, Syap.g_01470
OG0000346	Prat.g_01789	Syap.g_02423, Syap.g_01113
OG0000347	Prat.g_01806	Syap.g_01131, Syap.g_02459
OG0000348	Prat.g_01814	Syap.g_00632
OG0000349	Prat.g_01832	Syap.g_00110, Syap.g_01813
OG0000351	Prat.g_01873	Syap.g_02594
OG0000352	Prat.g_01874	Syap.g_02596, Syap.g_02597
OG0000353	Prat.g_01892	Syap.g_00054
OG0000354	Prat.g_00845	Syap.g_00075, Syap.g_02635
OG0000355	Prat.g_00001	Syap.g_00056
OG0000356	Prat.g_00002	Syap.g_00057
OG0000357	Prat.g_00003	Syap.g_00058
OG0000358	Prat.g_00007	Syap.g_00063
OG0000359	Prat.g_00008	Syap.g_00065
OG0000360	Prat.g_00009	Syap.g_00067
OG0000361	Prat.g_00010	Syap.g_00068
OG0000362	Prat.g_00013	Syap.g_00070
OG0000363	Prat.g_00015	Syap.g_00072
OG0000364	Prat.g_00016	Syap.g_00620
OG0000365	Prat.g_00021	Syap.g_00081
OG0000366	Prat.g_00022	Syap.g_00082
OG0000367	Prat.g_00023	Syap.g_00083
OG0000368	Prat.g_00025	Syap.g_00085
OG0000369	Prat.g_00026	Syap.g_00086
OG0000370	Prat.g_00027	Syap.g_00087
OG0000372	Prat.g_00036	Syap.g_01805
OG0000373	Prat.g_00037	Syap.g_01806
OG0000374	Prat.g_00038	Syap.g_01807
OG0000375	Prat.g_00042	Syap.g_01808
OG0000376	Prat.g_00044	Syap.g_01811
OG0000377	Prat.g_00048	Syap.g_00128
OG0000378	Prat.g_00052	Syap.g_01326
OG0000380	Prat.g_00062	Syap.g_01687
OG0000381	Prat.g_00067	Syap.g_01690
OG0000382	Prat.g_00079	Syap.g_02548
OG0000383	Prat.g_00081	Syap.g_02359
OG0000384	Prat.g_00082	Syap.g_02360
OG0000385	Prat.g_00083	Syap.g_02361
OG0000386	Prat.g_00084	Syap.g_02362
OG0000387	Prat.g_00096	Syap.g_01864
OG0000391	Prat.g_00115	Syap.g_02234
OG0000392	Prat.g_00118	Syap.g_02225
OG0000393	Prat.g_00122	Syap.g_02222
OG0000394	Prat.g_00123	Syap.g_02221
OG0000395	Prat.g_00124	Syap.g_02220
OG0000396	Prat.g_00126	Syap.g_02217
OG0000397	Prat.g_00128	Syap.g_02215
OG0000398	Prat.g_00131	Syap.g_02211
OG0000399	Prat.g_00132	Syap.g_02210
OG0000400	Prat.g_00133	Syap.g_02209
OG0000401	Prat.g_00134	Syap.g_02208
OG0000402	Prat.g_00601	Syap.g_02206
OG0000403	Prat.g_00136	Syap.g_02205
OG0000404	Prat.g_00137	Syap.g_02204, Syap.g_02618
OG0000405	Prat.g_00141	Syap.g_02191
OG0000406	Prat.g_00146	Syap.g_02186
OG0000407	Prat.g_00147	Syap.g_02185
OG0000408	Prat.g_00149	Syap.g_02181, Syap.g_02182
OG0000409	Prat.g_00151	Syap.g_02179
OG0000410	Prat.g_00152	Syap.g_02178
OG0000411	Prat.g_00153	Syap.g_02177
OG0000412	Prat.g_00154	Syap.g_02176
OG0000413	Prat.g_00156	Syap.g_02174
OG0000414	Prat.g_00157	Syap.g_02173
OG0000415	Prat.g_00158	Syap.g_02172
OG0000416	Prat.g_00159	Syap.g_02171
OG0000417	Prat.g_00160	Syap.g_02169
OG0000418	Prat.g_00165	Syap.g_01204
OG0000419	Prat.g_00167	Syap.g_01201
OG0000420	Prat.g_00169	Syap.g_01199
OG0000421	Prat.g_00174	Syap.g_01195
OG0000422	Prat.g_00175	Syap.g_01194
OG0000423	Prat.g_00176	Syap.g_01193
OG0000424	Prat.g_00177	Syap.g_01192
OG0000425	Prat.g_00178	Syap.g_01191
OG0000426	Prat.g_00179	Syap.g_01190
OG0000427	Prat.g_00180	Syap.g_01189
OG0000428	Prat.g_00182	Syap.g_01186
OG0000429	Prat.g_00183	Syap.g_01184
OG0000430	Prat.g_00184	Syap.g_01182
OG0000431	Prat.g_00186	Syap.g_01179
OG0000432	Prat.g_00190	Syap.g_02277
OG0000433	Prat.g_00191	Syap.g_02272
OG0000434	Prat.g_00192	Syap.g_02271
OG0000435	Prat.g_00193	Syap.g_02268
OG0000436	Prat.g_00198	Syap.g_01607
OG0000437	Prat.g_00199	Syap.g_01608
OG0000438	Prat.g_00200	Syap.g_01612
OG0000439	Prat.g_00202	Syap.g_01614
OG0000440	Prat.g_00203	Syap.g_01615
OG0000441	Prat.g_00206	Syap.g_01619
OG0000442	Prat.g_00207	Syap.g_01620
OG0000443	Prat.g_00208	Syap.g_01622
OG0000444	Prat.g_00213	Syap.g_01424
OG0000445	Prat.g_00214	Syap.g_01421
OG0000446	Prat.g_00215	Syap.g_01419
OG0000447	Prat.g_00216	Syap.g_01410
OG0000448	Prat.g_00217	Syap.g_01407
OG0000449	Prat.g_00218	Syap.g_01406
OG0000450	Prat.g_00219	Syap.g_01909
OG0000451	Prat.g_00220	Syap.g_01908
OG0000452	Prat.g_00223	Syap.g_01904
OG0000453	Prat.g_00224	Syap.g_01903
OG0000454	Prat.g_00225	Syap.g_01902
OG0000455	Prat.g_00226	Syap.g_01901
OG0000456	Prat.g_00227	Syap.g_01900
OG0000457	Prat.g_00229	Syap.g_01896
OG0000458	Prat.g_00230	Syap.g_01895
OG0000459	Prat.g_00231	Syap.g_01894
OG0000460	Prat.g_00240	Syap.g_01159
OG0000461	Prat.g_00249	Syap.g_01575
OG0000462	Prat.g_00250	Syap.g_01578
OG0000463	Prat.g_00251	Syap.g_01579
OG0000464	Prat.g_00252	Syap.g_01580
OG0000465	Prat.g_00253	Syap.g_01582
OG0000466	Prat.g_00256	Syap.g_01587
OG0000467	Prat.g_00257	Syap.g_01588
OG0000468	Prat.g_00260	Syap.g_01593
OG0000469	Prat.g_00269	Syap.g_02352
OG0000470	Prat.g_00271	Syap.g_02349
OG0000471	Prat.g_00272	Syap.g_02348
OG0000472	Prat.g_00273	Syap.g_02347
OG0000473	Prat.g_00275	Syap.g_02343
OG0000474	Prat.g_00276	Syap.g_02342
OG0000475	Prat.g_00277	Syap.g_02341
OG0000476	Prat.g_00279	Syap.g_02339
OG0000477	Prat.g_00282	Syap.g_01367
OG0000478	Prat.g_00283	Syap.g_01366
OG0000479	Prat.g_00284	Syap.g_01364
OG0000480	Prat.g_00290	Syap.g_01357
OG0000482	Prat.g_00293	Syap.g_01355
OG0000483	Prat.g_00296	Syap.g_01344
OG0000484	Prat.g_00297	Syap.g_01350
OG0000485	Prat.g_00298	Syap.g_01349
OG0000487	Prat.g_00303	Syap.g_01635
OG0000488	Prat.g_00306	Syap.g_01639
OG0000489	Prat.g_00311	Syap.g_02482
OG0000490	Prat.g_00315	Syap.g_01673
OG0000491	Prat.g_00316	Syap.g_01670
OG0000492	Prat.g_00318	Syap.g_01668
OG0000493	Prat.g_00319	Syap.g_01667
OG0000494	Prat.g_00320	Syap.g_01666
OG0000495	Prat.g_00321	Syap.g_01665
OG0000496	Prat.g_00322	Syap.g_01663
OG0000497	Prat.g_00323	Syap.g_01662
OG0000498	Prat.g_00324	Syap.g_01661
OG0000499	Prat.g_00325	Syap.g_01660
OG0000500	Prat.g_00326	Syap.g_01659
OG0000501	Prat.g_00328	Syap.g_01656
OG0000502	Prat.g_00331	Syap.g_02066
OG0000503	Prat.g_00348	Syap.g_00569
OG0000504	Prat.g_00350	Syap.g_00567
OG0000505	Prat.g_00351	Syap.g_00566
OG0000506	Prat.g_00352	Syap.g_00564
OG0000507	Prat.g_00355	Syap.g_00558
OG0000508	Prat.g_00359	Syap.g_00554
OG0000509	Prat.g_00361	Syap.g_00551
OG0000510	Prat.g_00362	Syap.g_00550
OG0000511	Prat.g_00363	Syap.g_00548
OG0000512	Prat.g_00365	Syap.g_02145
OG0000513	Prat.g_00373	Syap.g_02048
OG0000514	Prat.g_00390	Syap.g_02051
OG0000515	Prat.g_00391	Syap.g_02052
OG0000516	Prat.g_00392	Syap.g_02054
OG0000517	Prat.g_00395	Syap.g_02057
OG0000519	Prat.g_00408	Syap.g_00457
OG0000520	Prat.g_00410	Syap.g_00456
OG0000521	Prat.g_00415	Syap.g_01997
OG0000522	Prat.g_00417	Syap.g_01995
OG0000523	Prat.g_00418	Syap.g_02507
OG0000524	Prat.g_00424	Syap.g_02135
OG0000525	Prat.g_00428	Syap.g_02159
OG0000526	Prat.g_00429	Syap.g_02157
OG0000527	Prat.g_00432	Syap.g_02758
OG0000528	Prat.g_00438	Syap.g_02261
OG0000529	Prat.g_00441	Syap.g_02254
OG0000530	Prat.g_00444	Syap.g_02252
OG0000531	Prat.g_00445	Syap.g_02251
OG0000532	Prat.g_00447	Syap.g_02247
OG0000533	Prat.g_00448	Syap.g_02244
OG0000534	Prat.g_00449	Syap.g_02243
OG0000535	Prat.g_00450	Syap.g_02242
OG0000536	Prat.g_00451	Syap.g_02241
OG0000537	Prat.g_00453	Syap.g_02240
OG0000538	Prat.g_00463	Syap.g_00271
OG0000539	Prat.g_00464	Syap.g_00270
OG0000540	Prat.g_00465	Syap.g_00269
OG0000541	Prat.g_00466	Syap.g_00268
OG0000542	Prat.g_00468	Syap.g_00264
OG0000543	Prat.g_00470	Syap.g_00261
OG0000544	Prat.g_00471	Syap.g_00260
OG0000545	Prat.g_00473	Syap.g_00259
OG0000546	Prat.g_00476	Syap.g_00256
OG0000547	Prat.g_00478	Syap.g_00254
OG0000548	Prat.g_00479	Syap.g_00253
OG0000549	Prat.g_00482	Syap.g_00758
OG0000550	Prat.g_00486	Syap.g_02747
OG0000551	Prat.g_00489	Syap.g_02739
OG0000552	Prat.g_00490	Syap.g_02738
OG0000553	Prat.g_00491	Syap.g_02735
OG0000554	Prat.g_00496	Syap.g_01450
OG0000555	Prat.g_00503	Syap.g_01941
OG0000556	Prat.g_00505	Syap.g_01933
OG0000557	Prat.g_00506	Syap.g_01931
OG0000558	Prat.g_00508	Syap.g_01147
OG0000560	Prat.g_00516	Syap.g_00305
OG0000561	Prat.g_00517	Syap.g_00304
OG0000562	Prat.g_00518	Syap.g_00302
OG0000563	Prat.g_00519	Syap.g_00301
OG0000564	Prat.g_00520	Syap.g_00300
OG0000565	Prat.g_00523	Syap.g_00296
OG0000566	Prat.g_00527	Syap.g_00291
OG0000567	Prat.g_00531	Syap.g_01297
OG0000568	Prat.g_00532	Syap.g_01302
OG0000569	Prat.g_00533	Syap.g_01303
OG0000570	Prat.g_00534	Syap.g_01304
OG0000571	Prat.g_00537	Syap.g_01307
OG0000573	Prat.g_00554	Syap.g_00765
OG0000574	Prat.g_00555	Syap.g_00759
OG0000575	Prat.g_00559	Syap.g_00445
OG0000576	Prat.g_00561	Syap.g_00450
OG0000577	Prat.g_00562	Syap.g_00451
OG0000578	Prat.g_00563	Syap.g_00452
OG0000579	Prat.g_00564	Syap.g_00453
OG0000580	Prat.g_00565	Syap.g_00454
OG0000581	Prat.g_00568	Syap.g_01521
OG0000582	Prat.g_00571	Syap.g_01533
OG0000583	Prat.g_00572	Syap.g_01532
OG0000584	Prat.g_00573	Syap.g_01530
OG0000585	Prat.g_00575	Syap.g_01526
OG0000586	Prat.g_00576	Syap.g_01525
