Orthogroup	Prat	Syar
OG0000062	Prat.g_01442	Syar.g_02911
OG0000063	Prat.g_01516	Syar.g_00509
OG0000064	Prat.g_00064	Syar.g_03117, Syar.g_00860
OG0000065	Prat.g_00104	Syar.g_03119
OG0000066	Prat.g_01499	Syar.g_03187, Syar.g_02228
OG0000067	Prat.g_01037	Syar.g_02639
OG0000068	Prat.g_01291	Syar.g_02329, Syar.g_01461
OG0000069	Prat.g_01400	Syar.g_01716
OG0000070	Prat.g_00412	Syar.g_02223
OG0000071	Prat.g_01249	Syar.g_02777
OG0000072	Prat.g_00172	Syar.g_00107, Syar.g_01140
OG0000073	Prat.g_00462	Syar.g_01493
OG0000075	Prat.g_01761	Syar.g_03065, Syar.g_00659
OG0000076	Prat.g_01788	Syar.g_00608
OG0000077	Prat.g_00075	Syar.g_03051
OG0000078	Prat.g_00245	Syar.g_03265, Syar.g_03018
OG0000079	Prat.g_00258	Syar.g_00166
OG0000080	Prat.g_01323	Syar.g_00585
OG0000081	Prat.g_00493	Syar.g_01898
OG0000082	Prat.g_01507	Syar.g_02202
OG0000085	Prat.g_01584	Syar.g_02919
OG0000086	Prat.g_00086	Syar.g_03085
OG0000087	Prat.g_00138	Syar.g_03192, Syar.g_00068
OG0000088	Prat.g_00166	Syar.g_00101
OG0000089	Prat.g_00370	Syar.g_01162
OG0000090	Prat.g_00495	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prat.g_01082	Syar.g_01891, Syar.g_02426
OG0000092	Prat.g_01275	Syar.g_01960
OG0000093	Prat.g_01053	Syar.g_02623
OG0000094	Prat.g_00943	Syar.g_01789
OG0000095	Prat.g_00965	Syar.g_01932
OG0000097	Prat.g_01111	Syar.g_01706, Syar.g_00364
OG0000098	Prat.g_01282	Syar.g_02343
OG0000099	Prat.g_01312	Syar.g_00715
OG0000100	Prat.g_01437	Syar.g_02477
OG0000101	Prat.g_01726	Syar.g_01073, Syar.g_03154
OG0000102	Prat.g_01793	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prat.g_01880	Syar.g_00014, Syar.g_00452
OG0000104	Prat.g_01889	Syar.g_00466
OG0000105	Prat.g_00281	Syar.g_00218
OG0000106	Prat.g_00637	Syar.g_01748
OG0000107	Prat.g_01656	Syar.g_03290, Syar.g_00149
OG0000108	Prat.g_00440	Syar.g_01469
OG0000109	Prat.g_00455	Syar.g_03310, Syar.g_01485
OG0000110	Prat.g_00539	Syar.g_02295
OG0000111	Prat.g_00776	Syar.g_01940, Syar.g_00005
OG0000112	Prat.g_00888	Syar.g_03195, Syar.g_02548
OG0000113	Prat.g_01014	Syar.g_02664
OG0000114	Prat.g_00716	Syar.g_01616
OG0000115	Prat.g_01373	Syar.g_02854, Syar.g_01415
OG0000116	Prat.g_01166	Syar.g_01525, Syar.g_02255
OG0000117	Prat.g_01129	Syar.g_01969
OG0000118	Prat.g_01261	Syar.g_02793
OG0000120	Prat.g_00344	Syar.g_00713
OG0000121	Prat.g_01355	Syar.g_02806
OG0000123	Prat.g_01733	Syar.g_01079
OG0000124	Prat.g_01805	Syar.g_00586
OG0000125	Prat.g_01841	Syar.g_00338
OG0000126	Prat.g_01888	Syar.g_00887, Syar.g_00888
OG0000128	Prat.g_00012, Prat.g_00011	Syar.g_00482
OG0000129	Prat.g_00047	Syar.g_00324
OG0000130	Prat.g_00066	Syar.g_03040
OG0000131	Prat.g_00144	Syar.g_02216, Syar.g_00078
OG0000132	Prat.g_00164	Syar.g_00099
OG0000133	Prat.g_00329	Syar.g_02543
OG0000134	Prat.g_00372	Syar.g_02009, Syar.g_01165
OG0000135	Prat.g_01477	Syar.g_00698
OG0000136	Prat.g_00401	Syar.g_02874
OG0000137	Prat.g_00434	Syar.g_01273
OG0000138	Prat.g_00456	Syar.g_01486
OG0000139	Prat.g_00499	Syar.g_03245, Syar.g_02348
OG0000140	Prat.g_00500	Syar.g_02344, Syar.g_03246
OG0000141	Prat.g_00570	Syar.g_02129
OG0000142	Prat.g_01090	Syar.g_02418
OG0000143	Prat.g_01086	Syar.g_02422
OG0000144	Prat.g_01072	Syar.g_02441
OG0000145	Prat.g_01472	Syar.g_01494, Syar.g_03205
OG0000146	Prat.g_00887	Syar.g_02549
OG0000147	Prat.g_00886	Syar.g_02550
OG0000148	Prat.g_01020	Syar.g_02658
OG0000149	Prat.g_00991	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prat.g_00981	Syar.g_02130
OG0000151	Prat.g_00726	Syar.g_02038
OG0000152	Prat.g_00896	Syar.g_02539
OG0000153	Prat.g_00915	Syar.g_03283, Syar.g_02503
OG0000154	Prat.g_00934	Syar.g_01800
OG0000155	Prat.g_01135	Syar.g_01959
OG0000156	Prat.g_01238	Syar.g_01517
OG0000157	Prat.g_01239	Syar.g_01516
OG0000158	Prat.g_01769	Syar.g_00650
OG0000160	Prat.g_01354	Syar.g_02807
OG0000161	Prat.g_01360	Syar.g_02801
OG0000162	Prat.g_01366	Syar.g_02863
OG0000163	Prat.g_01409	Syar.g_00639, Syar.g_01186
OG0000164	Prat.g_01615	Syar.g_03168, Syar.g_02969
OG0000165	Prat.g_01623	Syar.g_02976
OG0000166	Prat.g_01690	Syar.g_01034
OG0000167	Prat.g_01759	Syar.g_00662
OG0000168	Prat.g_01770	Syar.g_00246
OG0000169	Prat.g_01781	Syar.g_00262
OG0000170	Prat.g_01784	Syar.g_00613
OG0000171	Prat.g_01804	Syar.g_00587
OG0000172	Prat.g_01811	Syar.g_00547
OG0000173	Prat.g_01826	Syar.g_00528
OG0000174	Prat.g_01858	Syar.g_00701
OG0000175	Prat.g_01870	Syar.g_00438
OG0000176	Prat.g_00004	Syar.g_00474
OG0000177	Prat.g_00005	Syar.g_00475
OG0000178	Prat.g_00006	Syar.g_00476
OG0000179	Prat.g_00017	Syar.g_00489
OG0000180	Prat.g_00018	Syar.g_00490
OG0000181	Prat.g_00019	Syar.g_00491
OG0000182	Prat.g_00020	Syar.g_00492
OG0000183	Prat.g_00024	Syar.g_00496
OG0000184	Prat.g_00051	Syar.g_00897
OG0000185	Prat.g_00054	Syar.g_00909
OG0000186	Prat.g_00060	Syar.g_03036
OG0000187	Prat.g_00061	Syar.g_03038
OG0000188	Prat.g_00080	Syar.g_03058
OG0000189	Prat.g_00093	Syar.g_03104
OG0000190	Prat.g_00094	Syar.g_03107, Syar.g_02374
OG0000191	Prat.g_00116	Syar.g_00039
OG0000192	Prat.g_00121	Syar.g_00046
OG0000193	Prat.g_00145	Syar.g_00079
OG0000194	Prat.g_00148	Syar.g_03236, Syar.g_00082
OG0000195	Prat.g_00150	Syar.g_00023, Syar.g_00084
OG0000196	Prat.g_00161	Syar.g_00096
OG0000197	Prat.g_00162	Syar.g_00097
OG0000198	Prat.g_00163	Syar.g_00098
OG0000199	Prat.g_00171	Syar.g_00106
OG0000200	Prat.g_00185	Syar.g_00124
OG0000201	Prat.g_00194	Syar.g_01000
OG0000202	Prat.g_00195	Syar.g_00998, Syar.g_00021
OG0000203	Prat.g_00196	Syar.g_00020, Syar.g_00997
OG0000204	Prat.g_00197	Syar.g_00996
OG0000205	Prat.g_00204	Syar.g_00988
OG0000206	Prat.g_00209	Syar.g_00963
OG0000207	Prat.g_00211	Syar.g_00957
OG0000208	Prat.g_00212	Syar.g_00956
OG0000209	Prat.g_00221	Syar.g_00936, Syar.g_03261
OG0000210	Prat.g_00222	Syar.g_00935, Syar.g_03260
OG0000211	Prat.g_00238	Syar.g_03026
OG0000212	Prat.g_00246	Syar.g_03017
OG0000213	Prat.g_00264	Syar.g_00187
OG0000214	Prat.g_00274	Syar.g_00209
OG0000215	Prat.g_00300	Syar.g_00239
OG0000216	Prat.g_00302	Syar.g_00244
OG0000217	Prat.g_00305	Syar.g_00854
OG0000218	Prat.g_00307	Syar.g_00852
OG0000219	Prat.g_00308	Syar.g_00851
OG0000220	Prat.g_00309	Syar.g_00850, Syar.g_02026
OG0000221	Prat.g_00310	Syar.g_00834
OG0000222	Prat.g_00317	Syar.g_02119, Syar.g_00728
OG0000223	Prat.g_00330	Syar.g_00649
OG0000224	Prat.g_00332	Syar.g_00762, Syar.g_00273
OG0000225	Prat.g_00360	Syar.g_01142
OG0000226	Prat.g_00364	Syar.g_01146
OG0000227	Prat.g_00366	Syar.g_01148
OG0000228	Prat.g_00369	Syar.g_01161
OG0000229	Prat.g_00396	Syar.g_01177, Syar.g_03273
OG0000230	Prat.g_00398	Syar.g_01179, Syar.g_03275
OG0000231	Prat.g_00411	Syar.g_02865, Syar.g_03151
OG0000232	Prat.g_00419	Syar.g_01424
OG0000233	Prat.g_00426	Syar.g_03183, Syar.g_01247
OG0000234	Prat.g_00435	Syar.g_01275
OG0000235	Prat.g_00439	Syar.g_01468
OG0000236	Prat.g_00454	Syar.g_03311, Syar.g_01484
OG0000237	Prat.g_00469	Syar.g_01503
OG0000238	Prat.g_00475	Syar.g_01508
OG0000239	Prat.g_00487	Syar.g_03277, Syar.g_02687
OG0000240	Prat.g_00488	Syar.g_03278, Syar.g_02686
OG0000241	Prat.g_00492	Syar.g_02410
OG0000242	Prat.g_00494	Syar.g_01926
OG0000243	Prat.g_00504	Syar.g_02335
OG0000244	Prat.g_00507	Syar.g_02327
OG0000245	Prat.g_00509	Syar.g_02325, Syar.g_03238
OG0000246	Prat.g_00514, Prat.g_00513	Syar.g_02321
OG0000247	Prat.g_00525	Syar.g_02310
OG0000248	Prat.g_00528	Syar.g_02307, Syar.g_03293
OG0000249	Prat.g_00530	Syar.g_02305
OG0000250	Prat.g_00536	Syar.g_02299, Syar.g_03194
OG0000251	Prat.g_00553	Syar.g_03207, Syar.g_02194
OG0000252	Prat.g_00556	Syar.g_02189, Syar.g_03263
OG0000253	Prat.g_00557	Syar.g_02028, Syar.g_03229
OG0000254	Prat.g_00574	Syar.g_02169
OG0000255	Prat.g_00581	Syar.g_00011, Syar.g_02224
OG0000256	Prat.g_00591	Syar.g_02244
OG0000257	Prat.g_01097	Syar.g_02407, Syar.g_01762
OG0000258	Prat.g_01081	Syar.g_02427, Syar.g_00010
OG0000259	Prat.g_01064	Syar.g_02472
OG0000260	Prat.g_01061	Syar.g_03220, Syar.g_02475
OG0000261	Prat.g_01058	Syar.g_01916
OG0000262	Prat.g_01054	Syar.g_01690
OG0000263	Prat.g_00754	Syar.g_01991
OG0000264	Prat.g_00765	Syar.g_02135, Syar.g_03267
OG0000266	Prat.g_00801	Syar.g_01570
OG0000267	Prat.g_00814	Syar.g_01873
OG0000268	Prat.g_00815	Syar.g_02589
OG0000269	Prat.g_01042	Syar.g_02634
OG0000270	Prat.g_01039	Syar.g_00744, Syar.g_02637
OG0000271	Prat.g_01031	Syar.g_02645
OG0000272	Prat.g_01030	Syar.g_02646
OG0000273	Prat.g_01007	Syar.g_02481, Syar.g_00008
OG0000274	Prat.g_01006	Syar.g_00009, Syar.g_02482
OG0000275	Prat.g_01004	Syar.g_01810
OG0000276	Prat.g_00999	Syar.g_01817
OG0000277	Prat.g_00998	Syar.g_01818, Syar.g_03242
OG0000278	Prat.g_00995	Syar.g_01821, Syar.g_03174
OG0000279	Prat.g_00988	Syar.g_01838
OG0000280	Prat.g_00987	Syar.g_02067, Syar.g_00734
OG0000281	Prat.g_00980	Syar.g_02218
OG0000282	Prat.g_00718	Syar.g_01614, Syar.g_03255
OG0000283	Prat.g_00868	Syar.g_02574
OG0000284	Prat.g_00873	Syar.g_03258, Syar.g_02568
OG0000285	Prat.g_00879	Syar.g_02560
OG0000286	Prat.g_00895	Syar.g_02540
OG0000287	Prat.g_00912	Syar.g_02512
OG0000288	Prat.g_00933	Syar.g_01801
OG0000289	Prat.g_00948	Syar.g_03305, Syar.g_01786
OG0000290	Prat.g_00962	Syar.g_01928
OG0000291	Prat.g_00964	Syar.g_01930
OG0000292	Prat.g_01208	Syar.g_00463
OG0000293	Prat.g_01165	Syar.g_03297, Syar.g_01526
OG0000294	Prat.g_01164	Syar.g_01527, Syar.g_03296
OG0000295	Prat.g_01142	Syar.g_01951, Syar.g_03208
OG0000296	Prat.g_01140	Syar.g_01953
OG0000297	Prat.g_01131	Syar.g_01967, Syar.g_03216
OG0000298	Prat.g_01130	Syar.g_01968, Syar.g_03215
OG0000299	Prat.g_01112	Syar.g_01704
OG0000300	Prat.g_01108	Syar.g_01646, Syar.g_01711
OG0000301	Prat.g_01107	Syar.g_01712
OG0000302	Prat.g_01105	Syar.g_01713
OG0000303	Prat.g_01099	Syar.g_03136, Syar.g_01723
OG0000304	Prat.g_00595	Syar.g_01728
OG0000305	Prat.g_01200	Syar.g_01933, Syar.g_03163
OG0000306	Prat.g_00976	Syar.g_01884, Syar.g_03140
OG0000307	Prat.g_01300	Syar.g_01452, Syar.g_03153
OG0000308	Prat.g_01301	Syar.g_01450
OG0000309	Prat.g_01305	Syar.g_01239
OG0000310	Prat.g_01336	Syar.g_02826
OG0000311	Prat.g_01338	Syar.g_02823
OG0000312	Prat.g_01341	Syar.g_00015, Syar.g_02818
OG0000313	Prat.g_01357	Syar.g_02804
OG0000314	Prat.g_01382	Syar.g_01403
OG0000315	Prat.g_01392	Syar.g_01393
OG0000316	Prat.g_01420	Syar.g_02885
OG0000317	Prat.g_01589	Syar.g_02926
OG0000318	Prat.g_01593	Syar.g_02930
OG0000319	Prat.g_01605	Syar.g_02954
OG0000320	Prat.g_01607	Syar.g_02956
OG0000321	Prat.g_01608	Syar.g_02957
OG0000322	Prat.g_01609	Syar.g_02958
OG0000323	Prat.g_01618	Syar.g_02973
OG0000324	Prat.g_01647	Syar.g_00350, Syar.g_03001
OG0000325	Prat.g_01657	Syar.g_03291, Syar.g_00148
OG0000326	Prat.g_01664	Syar.g_00139, Syar.g_03134
OG0000327	Prat.g_01685	Syar.g_01029
OG0000328	Prat.g_01686	Syar.g_01030
OG0000329	Prat.g_01703	Syar.g_03189, Syar.g_01048
OG0000330	Prat.g_01704	Syar.g_03190, Syar.g_01049
OG0000331	Prat.g_01705	Syar.g_01050, Syar.g_03191
OG0000332	Prat.g_01718	Syar.g_01064, Syar.g_03299
OG0000333	Prat.g_01720	Syar.g_01067
OG0000334	Prat.g_01729	Syar.g_01076
OG0000335	Prat.g_01734	Syar.g_01080
OG0000336	Prat.g_01738	Syar.g_01084
OG0000337	Prat.g_01756	Syar.g_00285
OG0000338	Prat.g_01757	Syar.g_03225, Syar.g_00287
OG0000339	Prat.g_01762	Syar.g_00658
OG0000340	Prat.g_01771	Syar.g_00247
OG0000341	Prat.g_01773	Syar.g_00249
OG0000342	Prat.g_01775	Syar.g_00250
OG0000343	Prat.g_01776	Syar.g_00256
OG0000344	Prat.g_01779	Syar.g_00260
OG0000345	Prat.g_01785	Syar.g_00612
OG0000346	Prat.g_01789	Syar.g_00607
OG0000347	Prat.g_01806	Syar.g_00558
OG0000348	Prat.g_01814	Syar.g_00544
OG0000349	Prat.g_01832	Syar.g_00521
OG0000350	Prat.g_01853	Syar.g_00132
OG0000351	Prat.g_01873	Syar.g_00442
OG0000352	Prat.g_01874	Syar.g_00443
OG0000353	Prat.g_01892	Syar.g_00469
OG0000354	Prat.g_00845	Syar.g_01514, Syar.g_00487
OG0000355	Prat.g_00001	Syar.g_00471
OG0000356	Prat.g_00002	Syar.g_00472
OG0000357	Prat.g_00003	Syar.g_00473
OG0000358	Prat.g_00007	Syar.g_00477
OG0000359	Prat.g_00008	Syar.g_00479
OG0000360	Prat.g_00009	Syar.g_00480
OG0000361	Prat.g_00010	Syar.g_00481
OG0000362	Prat.g_00013	Syar.g_00483
OG0000363	Prat.g_00015	Syar.g_00484
OG0000364	Prat.g_00016	Syar.g_02928
OG0000365	Prat.g_00021	Syar.g_00493
OG0000366	Prat.g_00022	Syar.g_00494
OG0000367	Prat.g_00023	Syar.g_03262, Syar.g_00495
OG0000368	Prat.g_00025	Syar.g_00497
OG0000369	Prat.g_00026	Syar.g_00498
OG0000370	Prat.g_00027	Syar.g_00499
OG0000371	Prat.g_00034	Syar.g_00508
OG0000372	Prat.g_00036	Syar.g_00514
OG0000373	Prat.g_00037	Syar.g_00515
OG0000374	Prat.g_00038	Syar.g_00516
OG0000375	Prat.g_00042	Syar.g_00517
OG0000376	Prat.g_00044	Syar.g_00519
OG0000377	Prat.g_00048	Syar.g_00322
OG0000378	Prat.g_00052	Syar.g_00905
OG0000379	Prat.g_00055	Syar.g_00910
OG0000380	Prat.g_00062	Syar.g_03039
OG0000381	Prat.g_00067	Syar.g_03041
OG0000382	Prat.g_00079	Syar.g_03057
OG0000383	Prat.g_00081	Syar.g_03074
OG0000384	Prat.g_00082	Syar.g_03075
OG0000385	Prat.g_00083	Syar.g_03076
OG0000386	Prat.g_00084	Syar.g_03077
OG0000387	Prat.g_00096	Syar.g_03109
OG0000388	Prat.g_00100	Syar.g_03148, Syar.g_03113
OG0000389	Prat.g_00103	Syar.g_03118
OG0000390	Prat.g_00112	Syar.g_00033
OG0000391	Prat.g_00115	Syar.g_00038
OG0000392	Prat.g_00118	Syar.g_00045
OG0000393	Prat.g_00122	Syar.g_00048
OG0000394	Prat.g_00123	Syar.g_00049
OG0000395	Prat.g_00124	Syar.g_00050
OG0000396	Prat.g_00126	Syar.g_00053
OG0000397	Prat.g_00128	Syar.g_00055
OG0000398	Prat.g_00131	Syar.g_00060
OG0000399	Prat.g_00132	Syar.g_00061
OG0000400	Prat.g_00133	Syar.g_00062
OG0000401	Prat.g_00134	Syar.g_00063
OG0000402	Prat.g_00601	Syar.g_00065
OG0000403	Prat.g_00136	Syar.g_00066
OG0000404	Prat.g_00137	Syar.g_00067
OG0000405	Prat.g_00141	Syar.g_00076
OG0000406	Prat.g_00146	Syar.g_00080
OG0000407	Prat.g_00147	Syar.g_00081
OG0000408	Prat.g_00149	Syar.g_00083
OG0000409	Prat.g_00151	Syar.g_00085
OG0000410	Prat.g_00152	Syar.g_00086
OG0000411	Prat.g_00153	Syar.g_00087
OG0000412	Prat.g_00154	Syar.g_00088
OG0000413	Prat.g_00156	Syar.g_00090
OG0000414	Prat.g_00157	Syar.g_00091, Syar.g_03179
OG0000415	Prat.g_00158	Syar.g_00092
OG0000416	Prat.g_00159	Syar.g_00093
OG0000417	Prat.g_00160	Syar.g_00095
OG0000418	Prat.g_00165	Syar.g_00100
OG0000419	Prat.g_00167	Syar.g_00102
OG0000420	Prat.g_00169	Syar.g_00104
OG0000421	Prat.g_00174	Syar.g_00109
OG0000422	Prat.g_00175	Syar.g_00110
OG0000423	Prat.g_00176	Syar.g_00111
OG0000424	Prat.g_00177	Syar.g_00112
OG0000425	Prat.g_00178	Syar.g_00113
OG0000426	Prat.g_00179	Syar.g_00114
OG0000427	Prat.g_00180	Syar.g_00115
OG0000428	Prat.g_00182	Syar.g_00118
OG0000429	Prat.g_00183	Syar.g_00121
OG0000430	Prat.g_00184	Syar.g_00123
OG0000431	Prat.g_00186	Syar.g_00127
OG0000432	Prat.g_00190	Syar.g_01009
OG0000433	Prat.g_00191	Syar.g_01007
OG0000434	Prat.g_00192	Syar.g_01006
OG0000435	Prat.g_00193	Syar.g_01003
OG0000436	Prat.g_00198	Syar.g_00994
OG0000437	Prat.g_00199	Syar.g_00993
OG0000438	Prat.g_00200	Syar.g_00992
OG0000439	Prat.g_00202	Syar.g_00990
OG0000440	Prat.g_00203	Syar.g_00989
OG0000441	Prat.g_00206	Syar.g_00986
OG0000442	Prat.g_00207	Syar.g_00977
OG0000443	Prat.g_00208	Syar.g_00964
OG0000444	Prat.g_00213	Syar.g_00954
OG0000445	Prat.g_00214	Syar.g_00953
OG0000446	Prat.g_00215	Syar.g_00951
OG0000447	Prat.g_00216	Syar.g_00948
OG0000448	Prat.g_00217	Syar.g_00947
OG0000449	Prat.g_00218	Syar.g_00946
OG0000450	Prat.g_00219	Syar.g_00939
OG0000451	Prat.g_00220	Syar.g_00938
OG0000452	Prat.g_00223	Syar.g_00934
OG0000453	Prat.g_00224	Syar.g_00933
OG0000454	Prat.g_00225	Syar.g_00932
OG0000455	Prat.g_00226	Syar.g_00931
OG0000456	Prat.g_00227	Syar.g_00930
OG0000457	Prat.g_00229	Syar.g_00928
OG0000458	Prat.g_00230	Syar.g_00918
OG0000459	Prat.g_00231	Syar.g_00917
OG0000460	Prat.g_00240	Syar.g_03024
OG0000461	Prat.g_00249	Syar.g_00153
OG0000462	Prat.g_00250	Syar.g_00155
OG0000463	Prat.g_00251	Syar.g_00156
OG0000464	Prat.g_00252	Syar.g_00157
OG0000465	Prat.g_00253	Syar.g_00159
OG0000466	Prat.g_00256	Syar.g_00164
OG0000467	Prat.g_00257	Syar.g_00165
OG0000468	Prat.g_00260	Syar.g_00170
OG0000469	Prat.g_00269	Syar.g_00203
OG0000470	Prat.g_00271	Syar.g_00206
OG0000471	Prat.g_00272	Syar.g_00207
OG0000472	Prat.g_00273	Syar.g_00208
OG0000473	Prat.g_00275	Syar.g_00210
OG0000474	Prat.g_00276	Syar.g_00211
OG0000475	Prat.g_00277	Syar.g_00212
OG0000476	Prat.g_00279	Syar.g_00214
OG0000477	Prat.g_00282	Syar.g_00219
OG0000478	Prat.g_00283	Syar.g_00220
OG0000479	Prat.g_00284	Syar.g_00221
OG0000480	Prat.g_00290	Syar.g_00228
OG0000481	Prat.g_00292	Syar.g_00230
OG0000482	Prat.g_00293	Syar.g_00231
OG0000483	Prat.g_00296	Syar.g_00235
OG0000484	Prat.g_00297	Syar.g_00236
OG0000485	Prat.g_00298	Syar.g_00237
OG0000486	Prat.g_00299	Syar.g_00024, Syar.g_00238
OG0000487	Prat.g_00303	Syar.g_00245
OG0000488	Prat.g_00306	Syar.g_00853
OG0000489	Prat.g_00311	Syar.g_00833
OG0000490	Prat.g_00315	Syar.g_00823
OG0000491	Prat.g_00316	Syar.g_00822
OG0000492	Prat.g_00318	Syar.g_00727
OG0000493	Prat.g_00319	Syar.g_00726
OG0000494	Prat.g_00320	Syar.g_00725
OG0000495	Prat.g_00321	Syar.g_00724
OG0000496	Prat.g_00322	Syar.g_00723
OG0000497	Prat.g_00323	Syar.g_00722
OG0000498	Prat.g_00324	Syar.g_00721
OG0000499	Prat.g_00325	Syar.g_00720
OG0000500	Prat.g_00326	Syar.g_00719
OG0000501	Prat.g_00328	Syar.g_00716
OG0000502	Prat.g_00331	Syar.g_00275
OG0000503	Prat.g_00348	Syar.g_01118
OG0000504	Prat.g_00350	Syar.g_01120
OG0000505	Prat.g_00351	Syar.g_01121
OG0000506	Prat.g_00352	Syar.g_01123
OG0000507	Prat.g_00355	Syar.g_01129
OG0000508	Prat.g_00359	Syar.g_01141
OG0000509	Prat.g_00361	Syar.g_01143
OG0000510	Prat.g_00362	Syar.g_01144
OG0000511	Prat.g_00363	Syar.g_01145
OG0000512	Prat.g_00365	Syar.g_01147
OG0000513	Prat.g_00373	Syar.g_01166
OG0000514	Prat.g_00390	Syar.g_01169
OG0000515	Prat.g_00391	Syar.g_01170
OG0000516	Prat.g_00392	Syar.g_01172
OG0000517	Prat.g_00395	Syar.g_01176
OG0000518	Prat.g_00407	Syar.g_02868
OG0000519	Prat.g_00408	Syar.g_02867
OG0000520	Prat.g_00410	Syar.g_02866
OG0000521	Prat.g_00415	Syar.g_01419
OG0000522	Prat.g_00417	Syar.g_01421
OG0000523	Prat.g_00418	Syar.g_01422
OG0000524	Prat.g_00424	Syar.g_01244
OG0000525	Prat.g_00428	Syar.g_01263
OG0000526	Prat.g_00429	Syar.g_01266
OG0000527	Prat.g_00432	Syar.g_01271
OG0000528	Prat.g_00438	Syar.g_01466
OG0000529	Prat.g_00441	Syar.g_01470
OG0000530	Prat.g_00444	Syar.g_01473
OG0000531	Prat.g_00445	Syar.g_01474
OG0000532	Prat.g_00447	Syar.g_01477
OG0000533	Prat.g_00448	Syar.g_01479
OG0000534	Prat.g_00449	Syar.g_01480
OG0000535	Prat.g_00450	Syar.g_01481
OG0000536	Prat.g_00451	Syar.g_01482
OG0000537	Prat.g_00453	Syar.g_01483
OG0000538	Prat.g_00463	Syar.g_01496
OG0000539	Prat.g_00464	Syar.g_01497
OG0000540	Prat.g_00465	Syar.g_01498
OG0000541	Prat.g_00466	Syar.g_01499
OG0000542	Prat.g_00468	Syar.g_01502
OG0000543	Prat.g_00470	Syar.g_01504
OG0000544	Prat.g_00471	Syar.g_01505
OG0000545	Prat.g_00473	Syar.g_01507
OG0000546	Prat.g_00476	Syar.g_01509
OG0000547	Prat.g_00478	Syar.g_01511
OG0000548	Prat.g_00479	Syar.g_01512
OG0000549	Prat.g_00482	Syar.g_02693
OG0000550	Prat.g_00486	Syar.g_02689
OG0000551	Prat.g_00489	Syar.g_02684
OG0000552	Prat.g_00490	Syar.g_02683
OG0000553	Prat.g_00491	Syar.g_02679
OG0000554	Prat.g_00496	Syar.g_02352
OG0000555	Prat.g_00503	Syar.g_02336
OG0000556	Prat.g_00505	Syar.g_02332
