Orthogroup	Prat	Syab
OG0000027	Prat.g_01474, Prat.g_01548	Syab.g_01782
OG0000028	Prat.g_00380, Prat.g_00327	Syab.g_00234
OG0000030	Prat.g_01799	Syab.g_00096, Syab.g_00095
OG0000032	Prat.g_01394	Syab.g_00724
OG0000033	Prat.g_01265	Syab.g_02590
OG0000034	Prat.g_01259	Syab.g_00900, Syab.g_02560
OG0000035	Prat.g_01353, Prat.g_01352	Syab.g_00776, Syab.g_00778
OG0000037	Prat.g_00106	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504
OG0000038	Prat.g_01839	Syab.g_02759, Syab.g_02761
OG0000039	Prat.g_00760	Syab.g_02791
OG0000041	Prat.g_01640	Syab.g_01086, Syab.g_02804, Syab.g_02333
OG0000042	Prat.g_01796	Syab.g_01019, Syab.g_00099
OG0000043	Prat.g_01176	Syab.g_02802, Syab.g_01785, Syab.g_01539
OG0000044	Prat.g_00619	Syab.g_01262, Syab.g_01256, Syab.g_01097
OG0000045	Prat.g_01203	Syab.g_00871
OG0000046	Prat.g_00335	Syab.g_00488, Syab.g_00496, Syab.g_00481
OG0000047	Prat.g_00374	Syab.g_00876
OG0000048	Prat.g_00278	Syab.g_00308
OG0000052	Prat.g_00058	Syab.g_00214
OG0000053	Prat.g_01375	Syab.g_00746
OG0000054	Prat.g_00569	Syab.g_01932
OG0000056	Prat.g_01571	Syab.g_01452
OG0000057	Prat.g_00775	Syab.g_01200
OG0000058	Prat.g_01311	Syab.g_00227
OG0000059	Prat.g_01679	Syab.g_00397
OG0000061	Prat.g_01156	Syab.g_00969
OG0000062	Prat.g_01442	Syab.g_02234
OG0000063	Prat.g_01516	Syab.g_00040
OG0000064	Prat.g_00064	Syab.g_00824, Syab.g_02808, Syab.g_01783, Syab.g_00997
OG0000065	Prat.g_00104	Syab.g_02500, Syab.g_01768
OG0000066	Prat.g_01499	Syab.g_01516, Syab.g_02031
OG0000067	Prat.g_01037	Syab.g_01659
OG0000068	Prat.g_01291	Syab.g_02087
OG0000070	Prat.g_00412	Syab.g_00614
OG0000071	Prat.g_01249	Syab.g_00915
OG0000072	Prat.g_00172	Syab.g_02593
OG0000073	Prat.g_00462	Syab.g_02119
OG0000075	Prat.g_01761	Syab.g_00202
OG0000076	Prat.g_01788	Syab.g_00113
OG0000077	Prat.g_00075	Syab.g_02446
OG0000078	Prat.g_00245	Syab.g_02366
OG0000079	Prat.g_00258	Syab.g_00340
OG0000080	Prat.g_01323	Syab.g_00140
OG0000081	Prat.g_00493	Syab.g_01793
OG0000082	Prat.g_01507	Syab.g_01971
OG0000084	Prat.g_01348	Syab.g_00781
OG0000085	Prat.g_01584	Syab.g_02243
OG0000086	Prat.g_00086	Syab.g_02468
OG0000087	Prat.g_00138	Syab.g_02551
OG0000088	Prat.g_00166	Syab.g_02586
OG0000089	Prat.g_00370	Syab.g_00551
OG0000090	Prat.g_00495	Syab.g_02041
OG0000091	Prat.g_01082	Syab.g_01866
OG0000092	Prat.g_01275	Syab.g_01242, Syab.g_00690
OG0000093	Prat.g_01053	Syab.g_01582
OG0000094	Prat.g_00943	Syab.g_01306
OG0000095	Prat.g_00965	Syab.g_01210
OG0000097	Prat.g_01111	Syab.g_01051
OG0000098	Prat.g_01282	Syab.g_01553
OG0000099	Prat.g_01312	Syab.g_00230
OG0000100	Prat.g_01437	Syab.g_01694
OG0000101	Prat.g_01726	Syab.g_00446
OG0000102	Prat.g_01793	Syab.g_00104
OG0000103	Prat.g_01880	Syab.g_02895, Syab.g_01296
OG0000104	Prat.g_01889	Syab.g_02910
OG0000105	Prat.g_00281	Syab.g_00303
OG0000106	Prat.g_00637	Syab.g_01817
OG0000107	Prat.g_01656	Syab.g_00367
OG0000108	Prat.g_00440	Syab.g_02096
OG0000109	Prat.g_00455	Syab.g_02112
OG0000110	Prat.g_00539	Syab.g_01984
OG0000111	Prat.g_00776	Syab.g_01201
OG0000112	Prat.g_00888	Syab.g_01392
OG0000113	Prat.g_01014	Syab.g_01689
OG0000114	Prat.g_00716	Syab.g_02656, Syab.g_01633
OG0000115	Prat.g_01373	Syab.g_00748
OG0000116	Prat.g_01166	Syab.g_00945
OG0000117	Prat.g_01129	Syab.g_01018
OG0000118	Prat.g_01261	Syab.g_00897
OG0000120	Prat.g_00344	Syab.g_00229
OG0000121	Prat.g_01355	Syab.g_00772
OG0000122	Prat.g_00781, Prat.g_01398	Syab.g_01839
OG0000123	Prat.g_01733	Syab.g_00454
OG0000124	Prat.g_01805	Syab.g_00088
OG0000125	Prat.g_01841	Syab.g_02763
OG0000126	Prat.g_01888	Syab.g_02908
OG0000128	Prat.g_00012, Prat.g_00011	Syab.g_00012
OG0000129	Prat.g_00047	Syab.g_02749
OG0000130	Prat.g_00066	Syab.g_02434
OG0000131	Prat.g_00144	Syab.g_02564
OG0000132	Prat.g_00164	Syab.g_02584
OG0000133	Prat.g_00329	Syab.g_01387
OG0000134	Prat.g_00372	Syab.g_00554
OG0000135	Prat.g_01477	Syab.g_02815
OG0000136	Prat.g_00401	Syab.g_00588
OG0000137	Prat.g_00434	Syab.g_00697
OG0000138	Prat.g_00456	Syab.g_02113
OG0000139	Prat.g_00499	Syab.g_02035
OG0000140	Prat.g_00500	Syab.g_02033
OG0000141	Prat.g_00570	Syab.g_01931
OG0000142	Prat.g_01090	Syab.g_01524, Syab.g_01873
OG0000143	Prat.g_01086	Syab.g_01870
OG0000144	Prat.g_01072	Syab.g_01757
OG0000145	Prat.g_01472	Syab.g_02120
OG0000146	Prat.g_00887	Syab.g_01393
OG0000147	Prat.g_00886	Syab.g_01394
OG0000148	Prat.g_01020	Syab.g_01682
OG0000149	Prat.g_00991	Syab.g_01720
OG0000150	Prat.g_00981	Syab.g_01930
OG0000151	Prat.g_00726	Syab.g_01612
OG0000152	Prat.g_00896	Syab.g_01383
OG0000153	Prat.g_00915	Syab.g_01343
OG0000154	Prat.g_00934	Syab.g_01317
OG0000155	Prat.g_01135	Syab.g_01009
OG0000156	Prat.g_01238	Syab.g_00933
OG0000157	Prat.g_01239	Syab.g_00932
OG0000158	Prat.g_01769	Syab.g_00161
OG0000160	Prat.g_01354	Syab.g_00774
OG0000161	Prat.g_01360	Syab.g_00766
OG0000162	Prat.g_01366	Syab.g_00755
OG0000163	Prat.g_01409	Syab.g_02173
OG0000164	Prat.g_01615	Syab.g_02307
OG0000165	Prat.g_01623	Syab.g_02316
OG0000166	Prat.g_01690	Syab.g_00407
OG0000167	Prat.g_01759	Syab.g_00205
OG0000168	Prat.g_01770	Syab.g_00136
OG0000169	Prat.g_01781	Syab.g_00125
OG0000170	Prat.g_01784	Syab.g_00118
OG0000171	Prat.g_01804	Syab.g_00089
OG0000172	Prat.g_01811	Syab.g_00080
OG0000173	Prat.g_01826	Syab.g_00061
OG0000174	Prat.g_01858	Syab.g_02819
OG0000175	Prat.g_01870	Syab.g_02876
OG0000176	Prat.g_00004	Syab.g_00004
OG0000177	Prat.g_00005	Syab.g_00005
OG0000178	Prat.g_00006	Syab.g_00006
OG0000179	Prat.g_00017	Syab.g_00022
OG0000180	Prat.g_00018	Syab.g_00023
OG0000181	Prat.g_00019	Syab.g_00024
OG0000182	Prat.g_00020	Syab.g_00025
OG0000183	Prat.g_00024, Prat.g_01314	Syab.g_00029
OG0000184	Prat.g_00051	Syab.g_02738
OG0000185	Prat.g_00054	Syab.g_02715
OG0000186	Prat.g_00060	Syab.g_02430
OG0000187	Prat.g_00061	Syab.g_02431
OG0000188	Prat.g_00080	Syab.g_02454
OG0000189	Prat.g_00093	Syab.g_02487
OG0000190	Prat.g_00094	Syab.g_00190, Syab.g_00139
OG0000191	Prat.g_00116	Syab.g_02522
OG0000192	Prat.g_00121	Syab.g_02528
OG0000193	Prat.g_00145	Syab.g_02565
OG0000194	Prat.g_00148	Syab.g_02568
OG0000195	Prat.g_00150	Syab.g_02570
OG0000196	Prat.g_00161	Syab.g_02581
OG0000197	Prat.g_00162	Syab.g_02582
OG0000198	Prat.g_00163	Syab.g_02583
OG0000199	Prat.g_00171	Syab.g_02591
OG0000200	Prat.g_00185	Syab.g_02611
OG0000201	Prat.g_00194	Syab.g_02628
OG0000202	Prat.g_00195	Syab.g_02629
OG0000203	Prat.g_00196	Syab.g_02630
OG0000204	Prat.g_00197	Syab.g_02631
OG0000205	Prat.g_00204	Syab.g_02638
OG0000206	Prat.g_00209	Syab.g_02674
OG0000207	Prat.g_00211	Syab.g_02677
OG0000208	Prat.g_00212	Syab.g_02678
OG0000209	Prat.g_00221	Syab.g_02698
OG0000210	Prat.g_00222	Syab.g_02699
OG0000211	Prat.g_00238	Syab.g_02374
OG0000212	Prat.g_00246	Syab.g_02365
OG0000213	Prat.g_00264	Syab.g_00332
OG0000214	Prat.g_00274	Syab.g_00312
OG0000215	Prat.g_00300	Syab.g_00281
OG0000216	Prat.g_00302	Syab.g_00277
OG0000217	Prat.g_00305	Syab.g_00273
OG0000218	Prat.g_00307	Syab.g_00271
OG0000219	Prat.g_00308	Syab.g_00270
OG0000220	Prat.g_00309	Syab.g_00269
OG0000221	Prat.g_00310	Syab.g_00257
OG0000222	Prat.g_00317	Syab.g_00244
OG0000223	Prat.g_00330	Syab.g_00226
OG0000224	Prat.g_00332	Syab.g_00223
OG0000225	Prat.g_00360	Syab.g_00538
OG0000226	Prat.g_00364	Syab.g_00542
OG0000227	Prat.g_00366	Syab.g_00544
OG0000228	Prat.g_00369	Syab.g_00550
OG0000229	Prat.g_00396	Syab.g_00583
OG0000230	Prat.g_00398	Syab.g_00585
OG0000231	Prat.g_00411	Syab.g_00613
OG0000232	Prat.g_00419	Syab.g_00631
OG0000233	Prat.g_00426	Syab.g_00645
OG0000234	Prat.g_00435	Syab.g_00699
OG0000235	Prat.g_00439	Syab.g_02095
OG0000236	Prat.g_00454	Syab.g_02111
OG0000237	Prat.g_00469	Syab.g_02129
OG0000238	Prat.g_00475	Syab.g_02134
OG0000239	Prat.g_00487	Syab.g_02151
OG0000240	Prat.g_00488	Syab.g_02152
OG0000241	Prat.g_00492	Syab.g_01884
OG0000242	Prat.g_00494	Syab.g_02043
OG0000243	Prat.g_00504	Syab.g_02025
OG0000244	Prat.g_00507	Syab.g_02017
OG0000245	Prat.g_00509	Syab.g_02015
OG0000246	Prat.g_00514, Prat.g_00513	Syab.g_02011
OG0000247	Prat.g_00525	Syab.g_01999
OG0000248	Prat.g_00528	Syab.g_01996
OG0000249	Prat.g_00530	Syab.g_01994
OG0000250	Prat.g_00536	Syab.g_01988
OG0000251	Prat.g_00553	Syab.g_01961
OG0000252	Prat.g_00556	Syab.g_01958
OG0000253	Prat.g_00557	Syab.g_01956
OG0000254	Prat.g_00574	Syab.g_01925
OG0000255	Prat.g_00581	Syab.g_01912
OG0000256	Prat.g_00591	Syab.g_01890
OG0000257	Prat.g_01097	Syab.g_01885
OG0000258	Prat.g_01081	Syab.g_01861
OG0000259	Prat.g_01064	Syab.g_01538
OG0000260	Prat.g_01061	Syab.g_01544
OG0000261	Prat.g_01058	Syab.g_01556
OG0000262	Prat.g_01054	Syab.g_01561
OG0000263	Prat.g_00754	Syab.g_01035
OG0000264	Prat.g_00765	Syab.g_01173
OG0000265	Prat.g_00788	Syab.g_01773
OG0000266	Prat.g_00801	Syab.g_01667
OG0000267	Prat.g_00814	Syab.g_01433
OG0000268	Prat.g_00815	Syab.g_01432
OG0000269	Prat.g_01042	Syab.g_01650
OG0000270	Prat.g_01039	Syab.g_01657
OG0000271	Prat.g_01031	Syab.g_01279
OG0000272	Prat.g_01030	Syab.g_01280
OG0000273	Prat.g_01007	Syab.g_01699
OG0000274	Prat.g_01006	Syab.g_01700
OG0000275	Prat.g_01004	Syab.g_01704
OG0000276	Prat.g_00999	Syab.g_01712
OG0000277	Prat.g_00998	Syab.g_01713
OG0000278	Prat.g_00995	Syab.g_01716
OG0000279	Prat.g_00988	Syab.g_01724
OG0000280	Prat.g_00987	Syab.g_01736
OG0000281	Prat.g_00980	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546
OG0000282	Prat.g_00718	Syab.g_01631
OG0000283	Prat.g_00868	Syab.g_01418
OG0000284	Prat.g_00873	Syab.g_01413
OG0000285	Prat.g_00879	Syab.g_01402
OG0000286	Prat.g_00895	Syab.g_01384
OG0000287	Prat.g_00912	Syab.g_01350
OG0000288	Prat.g_00933	Syab.g_01318
OG0000289	Prat.g_00948	Syab.g_01303
OG0000290	Prat.g_00962	Syab.g_01213
OG0000291	Prat.g_00964	Syab.g_01211
OG0000292	Prat.g_01208	Syab.g_02907
OG0000293	Prat.g_01165	Syab.g_00946
OG0000294	Prat.g_01164	Syab.g_00947
OG0000295	Prat.g_01142	Syab.g_01001
OG0000296	Prat.g_01140	Syab.g_01003
OG0000297	Prat.g_01131	Syab.g_01016
OG0000298	Prat.g_01130	Syab.g_01017
OG0000299	Prat.g_01112	Syab.g_01047
OG0000300	Prat.g_01108	Syab.g_01054
OG0000301	Prat.g_01107	Syab.g_01055
OG0000302	Prat.g_01105	Syab.g_01056
OG0000303	Prat.g_01099	Syab.g_01149
OG0000304	Prat.g_00595	Syab.g_01143
OG0000305	Prat.g_01200	Syab.g_01208
OG0000306	Prat.g_00976	Syab.g_01819
OG0000307	Prat.g_01300	Syab.g_02078
OG0000308	Prat.g_01301	Syab.g_02076
OG0000309	Prat.g_01305	Syab.g_02071
OG0000310	Prat.g_01336	Syab.g_00817
OG0000311	Prat.g_01338	Syab.g_00811
OG0000312	Prat.g_01341	Syab.g_00793
OG0000313	Prat.g_01357	Syab.g_00769
OG0000314	Prat.g_01382	Syab.g_00736
OG0000315	Prat.g_01392	Syab.g_00726
OG0000316	Prat.g_01420	Syab.g_02189
OG0000317	Prat.g_01589	Syab.g_02251
OG0000318	Prat.g_01593	Syab.g_02257
OG0000319	Prat.g_01605	Syab.g_02291
OG0000320	Prat.g_01607	Syab.g_02293
OG0000321	Prat.g_01608	Syab.g_02294
OG0000322	Prat.g_01609	Syab.g_02295
OG0000323	Prat.g_01618	Syab.g_02310
OG0000324	Prat.g_01647	Syab.g_02341
OG0000325	Prat.g_01657	Syab.g_00368
OG0000326	Prat.g_01664	Syab.g_00375
OG0000327	Prat.g_01685	Syab.g_00402
OG0000328	Prat.g_01686	Syab.g_00403
OG0000329	Prat.g_01703	Syab.g_00420
OG0000330	Prat.g_01704	Syab.g_00421
OG0000331	Prat.g_01705	Syab.g_00422
OG0000332	Prat.g_01718	Syab.g_00437
OG0000333	Prat.g_01720	Syab.g_00440
OG0000334	Prat.g_01729	Syab.g_00450
OG0000335	Prat.g_01734	Syab.g_00455
OG0000336	Prat.g_01738	Syab.g_00459
OG0000337	Prat.g_01756	Syab.g_00210
OG0000338	Prat.g_01757	Syab.g_00207
OG0000339	Prat.g_01762	Syab.g_00201
OG0000340	Prat.g_01771	Syab.g_00135
OG0000341	Prat.g_01773	Syab.g_00157, Syab.g_00133
OG0000342	Prat.g_01775	Syab.g_00132
OG0000343	Prat.g_01776	Syab.g_00131
OG0000344	Prat.g_01779	Syab.g_00127, Syab.g_02424
OG0000345	Prat.g_01785	Syab.g_00117
OG0000346	Prat.g_01789	Syab.g_00112
OG0000347	Prat.g_01806	Syab.g_00087
OG0000348	Prat.g_01814	Syab.g_00076
OG0000349	Prat.g_01832	Syab.g_00054
OG0000350	Prat.g_01853	Syab.g_00382
OG0000351	Prat.g_01873	Syab.g_02879
OG0000352	Prat.g_01874	Syab.g_02880
OG0000353	Prat.g_01892	Syab.g_02913
OG0000354	Prat.g_00845	Syab.g_02140, Syab.g_00020
OG0000355	Prat.g_00001	Syab.g_00001
OG0000356	Prat.g_00002	Syab.g_00002
OG0000357	Prat.g_00003	Syab.g_00003
OG0000358	Prat.g_00007	Syab.g_00007
OG0000359	Prat.g_00008	Syab.g_00009
OG0000360	Prat.g_00009	Syab.g_00010
OG0000361	Prat.g_00010	Syab.g_00011
OG0000362	Prat.g_00013	Syab.g_00013
OG0000363	Prat.g_00015	Syab.g_00015
OG0000364	Prat.g_00016	Syab.g_00016
OG0000365	Prat.g_00021	Syab.g_00026
OG0000366	Prat.g_00022	Syab.g_00027
OG0000367	Prat.g_00023	Syab.g_00028
OG0000368	Prat.g_00025	Syab.g_00030
OG0000369	Prat.g_00026	Syab.g_00031
OG0000370	Prat.g_00027	Syab.g_00032
OG0000371	Prat.g_00034	Syab.g_00711, Syab.g_00039
OG0000372	Prat.g_00036	Syab.g_00045
OG0000373	Prat.g_00037	Syab.g_00046
OG0000374	Prat.g_00038	Syab.g_00047
OG0000375	Prat.g_00042	Syab.g_00050
OG0000376	Prat.g_00044	Syab.g_00052
OG0000377	Prat.g_00048	Syab.g_02748
OG0000378	Prat.g_00052	Syab.g_02717
OG0000379	Prat.g_00055	Syab.g_02714
OG0000380	Prat.g_00062	Syab.g_02432
OG0000381	Prat.g_00067	Syab.g_02435
OG0000382	Prat.g_00079	Syab.g_02453
OG0000383	Prat.g_00081	Syab.g_02459
OG0000384	Prat.g_00082	Syab.g_02460
OG0000385	Prat.g_00083	Syab.g_02461
OG0000386	Prat.g_00084	Syab.g_02462
OG0000387	Prat.g_00096	Syab.g_02491
OG0000388	Prat.g_00100	Syab.g_02495
OG0000389	Prat.g_00103	Syab.g_02499
OG0000390	Prat.g_00112	Syab.g_02516
OG0000391	Prat.g_00115	Syab.g_02521
OG0000392	Prat.g_00118	Syab.g_02527
OG0000393	Prat.g_00122	Syab.g_02530
OG0000394	Prat.g_00123	Syab.g_02531
OG0000395	Prat.g_00124	Syab.g_02532
OG0000396	Prat.g_00126	Syab.g_02535
OG0000397	Prat.g_00128	Syab.g_02537
OG0000398	Prat.g_00131	Syab.g_02542
OG0000399	Prat.g_00132	Syab.g_02543
OG0000400	Prat.g_00133	Syab.g_02544
OG0000401	Prat.g_00134	Syab.g_02545
OG0000402	Prat.g_00601	Syab.g_02547
OG0000403	Prat.g_00136	Syab.g_02548
OG0000404	Prat.g_00137	Syab.g_02550
OG0000405	Prat.g_00141	Syab.g_02562
OG0000406	Prat.g_00146	Syab.g_02566
OG0000407	Prat.g_00147	Syab.g_02567
OG0000408	Prat.g_00149	Syab.g_02569
OG0000409	Prat.g_00151	Syab.g_02571
OG0000410	Prat.g_00152	Syab.g_02572
OG0000411	Prat.g_00153	Syab.g_02573
OG0000412	Prat.g_00154	Syab.g_02574
OG0000413	Prat.g_00156	Syab.g_02576
OG0000414	Prat.g_00157	Syab.g_02577
OG0000415	Prat.g_00158	Syab.g_02578
OG0000416	Prat.g_00159	Syab.g_02579
OG0000417	Prat.g_00160	Syab.g_02580
OG0000418	Prat.g_00165	Syab.g_02585
OG0000419	Prat.g_00167	Syab.g_02587
OG0000420	Prat.g_00169	Syab.g_02589
OG0000421	Prat.g_00174	Syab.g_02595
OG0000422	Prat.g_00175	Syab.g_02596
OG0000423	Prat.g_00176	Syab.g_02597
OG0000424	Prat.g_00177	Syab.g_02598
OG0000425	Prat.g_00178	Syab.g_02599
OG0000426	Prat.g_00179	Syab.g_02600
OG0000427	Prat.g_00180	Syab.g_02601
OG0000428	Prat.g_00182	Syab.g_02604
OG0000429	Prat.g_00183	Syab.g_02608
OG0000430	Prat.g_00184	Syab.g_02610
OG0000431	Prat.g_00186	Syab.g_02613
OG0000432	Prat.g_00190	Syab.g_02619
OG0000433	Prat.g_00191	Syab.g_02622
OG0000434	Prat.g_00192	Syab.g_02623
OG0000435	Prat.g_00193	Syab.g_02625
OG0000436	Prat.g_00198	Syab.g_02632
OG0000437	Prat.g_00199	Syab.g_02633
OG0000438	Prat.g_00200	Syab.g_02634
OG0000439	Prat.g_00202	Syab.g_02636
OG0000440	Prat.g_00203	Syab.g_02637
OG0000441	Prat.g_00206	Syab.g_02641
OG0000442	Prat.g_00207	Syab.g_02642
OG0000443	Prat.g_00208	Syab.g_02668
OG0000444	Prat.g_00213	Syab.g_02681
OG0000445	Prat.g_00214	Syab.g_02682
OG0000446	Prat.g_00215	Syab.g_02684
OG0000447	Prat.g_00216	Syab.g_02687
OG0000448	Prat.g_00217	Syab.g_02688
OG0000449	Prat.g_00218	Syab.g_02689
OG0000450	Prat.g_00219	Syab.g_02695
OG0000451	Prat.g_00220	Syab.g_02696
OG0000452	Prat.g_00223	Syab.g_02701
OG0000453	Prat.g_00224	Syab.g_02702
OG0000454	Prat.g_00225	Syab.g_02703
OG0000455	Prat.g_00226	Syab.g_02704
OG0000456	Prat.g_00227	Syab.g_02705
OG0000457	Prat.g_00229	Syab.g_02707
OG0000458	Prat.g_00230	Syab.g_02708
OG0000459	Prat.g_00231	Syab.g_02709
OG0000460	Prat.g_00240	Syab.g_02372
OG0000461	Prat.g_00249	Syab.g_00356
OG0000462	Prat.g_00250	Syab.g_00352
OG0000463	Prat.g_00251	Syab.g_00351
OG0000464	Prat.g_00252	Syab.g_00350
OG0000465	Prat.g_00253	Syab.g_00349
OG0000466	Prat.g_00256	Syab.g_00343
OG0000467	Prat.g_00257	Syab.g_00341
OG0000468	Prat.g_00260	Syab.g_00336
OG0000469	Prat.g_00269	Syab.g_00318
OG0000470	Prat.g_00271	Syab.g_00316
OG0000471	Prat.g_00272	Syab.g_00315
OG0000472	Prat.g_00273	Syab.g_00313
OG0000473	Prat.g_00275	Syab.g_00311
OG0000474	Prat.g_00276	Syab.g_00310
OG0000475	Prat.g_00277	Syab.g_00309
OG0000476	Prat.g_00279	Syab.g_00307
OG0000477	Prat.g_00282	Syab.g_00301
OG0000478	Prat.g_00283	Syab.g_00300
OG0000479	Prat.g_00284	Syab.g_00299
OG0000480	Prat.g_00290	Syab.g_00292
OG0000481	Prat.g_00292	Syab.g_00290
OG0000482	Prat.g_00293	Syab.g_00289
OG0000483	Prat.g_00296	Syab.g_00285
OG0000484	Prat.g_00297	Syab.g_00284
OG0000485	Prat.g_00298	Syab.g_00283
OG0000486	Prat.g_00299	Syab.g_00282
OG0000487	Prat.g_00303	Syab.g_00276
OG0000488	Prat.g_00306	Syab.g_00272
OG0000489	Prat.g_00311	Syab.g_00256
OG0000490	Prat.g_00315	Syab.g_00247
OG0000491	Prat.g_00316	Syab.g_00245
OG0000492	Prat.g_00318	Syab.g_00243
OG0000493	Prat.g_00319	Syab.g_00242
OG0000494	Prat.g_00320	Syab.g_00241
OG0000495	Prat.g_00321	Syab.g_00240
OG0000496	Prat.g_00322	Syab.g_00239
OG0000497	Prat.g_00323	Syab.g_00238
OG0000498	Prat.g_00324	Syab.g_00237
OG0000499	Prat.g_00325	Syab.g_00236
OG0000500	Prat.g_00326	Syab.g_00235
OG0000501	Prat.g_00328	Syab.g_00232
OG0000502	Prat.g_00331	Syab.g_00224
OG0000503	Prat.g_00348	Syab.g_00523
OG0000504	Prat.g_00350	Syab.g_00525
OG0000505	Prat.g_00351	Syab.g_00526
OG0000506	Prat.g_00352	Syab.g_00528
OG0000507	Prat.g_00355	Syab.g_00533
OG0000508	Prat.g_00359	Syab.g_00537
OG0000509	Prat.g_00361	Syab.g_00539
OG0000510	Prat.g_00362	Syab.g_00540
OG0000511	Prat.g_00363	Syab.g_00541
OG0000512	Prat.g_00365	Syab.g_00543
OG0000513	Prat.g_00373	Syab.g_00555
OG0000514	Prat.g_00390	Syab.g_00566
OG0000515	Prat.g_00391	Syab.g_00567
OG0000516	Prat.g_00392	Syab.g_00575
OG0000517	Prat.g_00395	Syab.g_00582
OG0000518	Prat.g_00407	Syab.g_00594
OG0000519	Prat.g_00408	Syab.g_00610
OG0000520	Prat.g_00410	Syab.g_00611
OG0000521	Prat.g_00415	Syab.g_00624
OG0000522	Prat.g_00417	Syab.g_00626
OG0000523	Prat.g_00418	Syab.g_00627
OG0000524	Prat.g_00424	Syab.g_00640
OG0000525	Prat.g_00428	Syab.g_00671
OG0000526	Prat.g_00429	Syab.g_00689
OG0000527	Prat.g_00432	Syab.g_00695
OG0000528	Prat.g_00438	Syab.g_02092
OG0000529	Prat.g_00441	Syab.g_02097
OG0000530	Prat.g_00444	Syab.g_02100
OG0000531	Prat.g_00445	Syab.g_02101
OG0000532	Prat.g_00447	Syab.g_02104
OG0000533	Prat.g_00448	Syab.g_02106
OG0000534	Prat.g_00449	Syab.g_02107
OG0000535	Prat.g_00450	Syab.g_02108
OG0000536	Prat.g_00451	Syab.g_02109
OG0000537	Prat.g_00453	Syab.g_02110
OG0000538	Prat.g_00463	Syab.g_02122
OG0000539	Prat.g_00464	Syab.g_02123
OG0000540	Prat.g_00465	Syab.g_02124
OG0000541	Prat.g_00466	Syab.g_02125
OG0000542	Prat.g_00468	Syab.g_02128
OG0000543	Prat.g_00470	Syab.g_02130
OG0000544	Prat.g_00471	Syab.g_02131
OG0000545	Prat.g_00473	Syab.g_02133
OG0000546	Prat.g_00476	Syab.g_02135
OG0000547	Prat.g_00478	Syab.g_02137
OG0000548	Prat.g_00479	Syab.g_02138
OG0000549	Prat.g_00482	Syab.g_02144
OG0000550	Prat.g_00486	Syab.g_02149
OG0000551	Prat.g_00489	Syab.g_02153
OG0000552	Prat.g_00490	Syab.g_02154
OG0000553	Prat.g_00491	Syab.g_02046
OG0000554	Prat.g_00496	Syab.g_02040
OG0000555	Prat.g_00503	Syab.g_02026
OG0000556	Prat.g_00505	Syab.g_02022
OG0000557	Prat.g_00506	Syab.g_02019
OG0000558	Prat.g_00508	Syab.g_02016
OG0000559	Prat.g_00512	Syab.g_02012
OG0000560	Prat.g_00516	Syab.g_02009
OG0000561	Prat.g_00517	Syab.g_02008
OG0000562	Prat.g_00518	Syab.g_02007
OG0000563	Prat.g_00519	Syab.g_02006
OG0000564	Prat.g_00520	Syab.g_02005
OG0000565	Prat.g_00523	Syab.g_02001
OG0000566	Prat.g_00527	Syab.g_01997
OG0000567	Prat.g_00531	Syab.g_01993
OG0000568	Prat.g_00532	Syab.g_01991
