Orthogroup	Prat	Syah
OG0000170	Prat.g_01784	Syah.g_00245
OG0000171	Prat.g_01804	Syah.g_00271
OG0000172	Prat.g_01811	Syah.g_00293
OG0000173	Prat.g_01826	Syah.g_00313
OG0000174	Prat.g_01858	Syah.g_00461
OG0000175	Prat.g_01870	Syah.g_00402
OG0000176	Prat.g_00004	Syah.g_00369
OG0000177	Prat.g_00005	Syah.g_00368
OG0000178	Prat.g_00006	Syah.g_00367
OG0000179	Prat.g_00017	Syah.g_00355
OG0000180	Prat.g_00018	Syah.g_00354
OG0000181	Prat.g_00019	Syah.g_00353
OG0000182	Prat.g_00020	Syah.g_00352
OG0000183	Prat.g_00024, Prat.g_01314	Syah.g_00348
OG0000184	Prat.g_00051	Syah.g_00525
OG0000185	Prat.g_00054	Syah.g_00528
OG0000186	Prat.g_00060	Syah.g_02479
OG0000187	Prat.g_00061	Syah.g_02480
OG0000188	Prat.g_00080	Syah.g_02501
OG0000189	Prat.g_00093	Syah.g_02526
OG0000190	Prat.g_00094	Syah.g_02528
OG0000191	Prat.g_00116	Syah.g_00008
OG0000192	Prat.g_00121	Syah.g_00013
OG0000193	Prat.g_00145	Syah.g_00053
OG0000194	Prat.g_00148	Syah.g_00056
OG0000195	Prat.g_00150	Syah.g_00058
OG0000196	Prat.g_00161	Syah.g_00069
OG0000197	Prat.g_00162	Syah.g_00070
OG0000198	Prat.g_00163	Syah.g_00071
OG0000199	Prat.g_00171	Syah.g_00079
OG0000200	Prat.g_00185	Syah.g_00616
OG0000201	Prat.g_00194	Syah.g_00601
OG0000202	Prat.g_00195	Syah.g_00600
OG0000203	Prat.g_00196	Syah.g_00599
OG0000204	Prat.g_00197	Syah.g_00598
OG0000205	Prat.g_00204	Syah.g_00591
OG0000206	Prat.g_00209	Syah.g_00578
OG0000207	Prat.g_00211	Syah.g_00575
OG0000208	Prat.g_00212	Syah.g_00574
OG0000209	Prat.g_00221	Syah.g_00544
OG0000210	Prat.g_00222	Syah.g_00543
OG0000211	Prat.g_00238	Syah.g_00904
OG0000212	Prat.g_00246	Syah.g_00913
OG0000213	Prat.g_00264	Syah.g_00657
OG0000214	Prat.g_00274	Syah.g_00641
OG0000215	Prat.g_00300	Syah.g_00101
OG0000216	Prat.g_00302	Syah.g_00105
OG0000217	Prat.g_00305	Syah.g_00109
OG0000218	Prat.g_00307	Syah.g_00111
OG0000219	Prat.g_00308	Syah.g_00112
OG0000220	Prat.g_00309	Syah.g_00113
OG0000221	Prat.g_00310	Syah.g_00120
OG0000222	Prat.g_00317	Syah.g_00131
OG0000223	Prat.g_00330	Syah.g_00153
OG0000224	Prat.g_00332	Syah.g_00162
OG0000225	Prat.g_00360	Syah.g_00874
OG0000226	Prat.g_00364	Syah.g_00878
OG0000227	Prat.g_00366	Syah.g_00880
OG0000228	Prat.g_00369	Syah.g_00887
OG0000229	Prat.g_00396	Syah.g_02236
OG0000230	Prat.g_00398	Syah.g_02234
OG0000231	Prat.g_00411	Syah.g_02218
OG0000232	Prat.g_00419	Syah.g_01206
OG0000233	Prat.g_00426	Syah.g_01210
OG0000234	Prat.g_00435	Syah.g_01222
OG0000235	Prat.g_00439	Syah.g_00996
OG0000236	Prat.g_00454	Syah.g_01011
OG0000237	Prat.g_00469	Syah.g_01028
OG0000238	Prat.g_00475	Syah.g_01032
OG0000239	Prat.g_00487	Syah.g_01048
OG0000240	Prat.g_00488	Syah.g_01049
OG0000241	Prat.g_00492	Syah.g_01944
OG0000242	Prat.g_00494	Syah.g_01062
OG0000243	Prat.g_00504	Syah.g_01079
OG0000244	Prat.g_00507	Syah.g_01087
OG0000245	Prat.g_00509	Syah.g_01090
OG0000246	Prat.g_00514, Prat.g_00513	Syah.g_01094
OG0000247	Prat.g_00525	Syah.g_01106
OG0000248	Prat.g_00528	Syah.g_01109
OG0000249	Prat.g_00530	Syah.g_01111
OG0000250	Prat.g_00536	Syah.g_01120
OG0000251	Prat.g_00553	Syah.g_01145
OG0000252	Prat.g_00556	Syah.g_01148
OG0000253	Prat.g_00557	Syah.g_01149
OG0000254	Prat.g_00574	Syah.g_01976
OG0000255	Prat.g_00581	Syah.g_01968
OG0000256	Prat.g_00591	Syah.g_01952
OG0000257	Prat.g_01097	Syah.g_01945
OG0000258	Prat.g_01081	Syah.g_01926
OG0000259	Prat.g_01064	Syah.g_01494
OG0000260	Prat.g_01061	Syah.g_01497
OG0000261	Prat.g_01058	Syah.g_01500
OG0000262	Prat.g_01054	Syah.g_01505
OG0000263	Prat.g_00754	Syah.g_01410
OG0000264	Prat.g_00765	Syah.g_02000
OG0000265	Prat.g_00788	Syah.g_02252
OG0000266	Prat.g_00801	Syah.g_01714
OG0000267	Prat.g_00814	Syah.g_01574
OG0000268	Prat.g_00815	Syah.g_01575
OG0000269	Prat.g_01042	Syah.g_01784
OG0000270	Prat.g_01039	Syah.g_01781
OG0000271	Prat.g_01031	Syah.g_01773
OG0000272	Prat.g_01030	Syah.g_01772
OG0000273	Prat.g_01007	Syah.g_02075
OG0000274	Prat.g_01006	Syah.g_02076
OG0000275	Prat.g_01004	Syah.g_02081
OG0000276	Prat.g_00999	Syah.g_02088
OG0000277	Prat.g_00998	Syah.g_02089
OG0000278	Prat.g_00995	Syah.g_02092
OG0000279	Prat.g_00988	Syah.g_02100
OG0000280	Prat.g_00987	Syah.g_02112
OG0000281	Prat.g_00980	Syah.g_00722
OG0000282	Prat.g_00718	Syah.g_01531
OG0000283	Prat.g_00868	Syah.g_01585
OG0000284	Prat.g_00873	Syah.g_01591
OG0000285	Prat.g_00879	Syah.g_01603
OG0000286	Prat.g_00895	Syah.g_01621
OG0000287	Prat.g_00912	Syah.g_01231, Syah.g_01649
OG0000288	Prat.g_00933	Syah.g_01681
OG0000289	Prat.g_00948	Syah.g_01695
OG0000290	Prat.g_00962	Syah.g_02033
OG0000291	Prat.g_00964	Syah.g_02031
OG0000292	Prat.g_01208	Syah.g_00380
OG0000293	Prat.g_01165	Syah.g_02173
OG0000294	Prat.g_01164	Syah.g_02172
OG0000295	Prat.g_01142	Syah.g_02131
OG0000296	Prat.g_01140	Syah.g_02129
OG0000297	Prat.g_01131	Syah.g_01427
OG0000298	Prat.g_01130	Syah.g_01426
OG0000299	Prat.g_01112	Syah.g_01404
OG0000300	Prat.g_01108	Syah.g_01397
OG0000301	Prat.g_01107	Syah.g_01396
OG0000302	Prat.g_01105	Syah.g_01395
OG0000303	Prat.g_01099	Syah.g_01387
OG0000304	Prat.g_00595	Syah.g_01382
OG0000305	Prat.g_01200	Syah.g_02028
OG0000306	Prat.g_00976	Syah.g_02116
OG0000307	Prat.g_01300	Syah.g_00978
OG0000308	Prat.g_01301	Syah.g_00976
OG0000309	Prat.g_01305	Syah.g_00971
OG0000310	Prat.g_01336	Syah.g_01321
OG0000311	Prat.g_01338	Syah.g_01317
OG0000312	Prat.g_01341	Syah.g_01304
OG0000313	Prat.g_01357	Syah.g_01285
OG0000314	Prat.g_01382	Syah.g_01259
OG0000315	Prat.g_01392	Syah.g_01248
OG0000316	Prat.g_01420	Syah.g_02333
OG0000317	Prat.g_01589	Syah.g_02380
OG0000318	Prat.g_01593	Syah.g_02385
OG0000319	Prat.g_01605	Syah.g_02405
OG0000320	Prat.g_01607	Syah.g_02407
OG0000321	Prat.g_01608	Syah.g_02408
OG0000322	Prat.g_01609	Syah.g_02409
OG0000323	Prat.g_01618	Syah.g_02425
OG0000324	Prat.g_01647	Syah.g_02278
OG0000325	Prat.g_01657	Syah.g_00689
OG0000326	Prat.g_01664	Syah.g_00696
OG0000327	Prat.g_01685	Syah.g_00742
OG0000328	Prat.g_01686	Syah.g_00743
OG0000329	Prat.g_01703	Syah.g_00760
OG0000330	Prat.g_01704	Syah.g_00761
OG0000331	Prat.g_01705	Syah.g_00762
OG0000332	Prat.g_01718	Syah.g_00776
OG0000333	Prat.g_01720	Syah.g_00779
OG0000334	Prat.g_01729	Syah.g_00789
OG0000335	Prat.g_01734	Syah.g_00794
OG0000336	Prat.g_01738	Syah.g_00798
OG0000337	Prat.g_01756	Syah.g_00178
OG0000338	Prat.g_01757	Syah.g_00181
OG0000339	Prat.g_01762	Syah.g_00188
OG0000340	Prat.g_01771	Syah.g_00206
OG0000341	Prat.g_01773	Syah.g_00208
OG0000342	Prat.g_01775	Syah.g_00209
OG0000343	Prat.g_01776	Syah.g_00231
OG0000344	Prat.g_01779	Syah.g_00235
OG0000345	Prat.g_01785	Syah.g_00246
OG0000346	Prat.g_01789	Syah.g_00251
OG0000347	Prat.g_01806	Syah.g_00275
OG0000348	Prat.g_01814	Syah.g_00301
OG0000349	Prat.g_01832	Syah.g_00320
OG0000350	Prat.g_01853	Syah.g_00703
OG0000351	Prat.g_01873	Syah.g_00399
OG0000352	Prat.g_01874	Syah.g_00398
OG0000353	Prat.g_01892	Syah.g_00374
OG0000354	Prat.g_00845	Syah.g_01038, Syah.g_00561
OG0000355	Prat.g_00001	Syah.g_00372
OG0000356	Prat.g_00002	Syah.g_00371
OG0000357	Prat.g_00003	Syah.g_00370
OG0000358	Prat.g_00007	Syah.g_00366
OG0000359	Prat.g_00008	Syah.g_00364
OG0000360	Prat.g_00009	Syah.g_00363
OG0000361	Prat.g_00010	Syah.g_00362
OG0000362	Prat.g_00013	Syah.g_00360
OG0000363	Prat.g_00015	Syah.g_00358
OG0000364	Prat.g_00016	Syah.g_00357
OG0000365	Prat.g_00021	Syah.g_00351
OG0000366	Prat.g_00022	Syah.g_00350
OG0000367	Prat.g_00023	Syah.g_00349
OG0000368	Prat.g_00025	Syah.g_00347
OG0000369	Prat.g_00026	Syah.g_00346
OG0000370	Prat.g_00027	Syah.g_00345
OG0000371	Prat.g_00034	Syah.g_00338
OG0000372	Prat.g_00036	Syah.g_00333
OG0000373	Prat.g_00037	Syah.g_00332
OG0000374	Prat.g_00038	Syah.g_00331
OG0000375	Prat.g_00042	Syah.g_00329
OG0000376	Prat.g_00044	Syah.g_00327
OG0000377	Prat.g_00048	Syah.g_00517
OG0000378	Prat.g_00052	Syah.g_00526
OG0000379	Prat.g_00055	Syah.g_00529
OG0000380	Prat.g_00062	Syah.g_02481
OG0000381	Prat.g_00067	Syah.g_02484
OG0000382	Prat.g_00079	Syah.g_02500
OG0000383	Prat.g_00081	Syah.g_02502
OG0000384	Prat.g_00082	Syah.g_02503
OG0000385	Prat.g_00083	Syah.g_02504
OG0000386	Prat.g_00084	Syah.g_02505
OG0000387	Prat.g_00096	Syah.g_02530
OG0000388	Prat.g_00100	Syah.g_02533
OG0000389	Prat.g_00103	Syah.g_02536
OG0000390	Prat.g_00112	Syah.g_00002
OG0000391	Prat.g_00115	Syah.g_00007
OG0000392	Prat.g_00118	Syah.g_00012
OG0000393	Prat.g_00122	Syah.g_00014
OG0000394	Prat.g_00123	Syah.g_00015
OG0000395	Prat.g_00124	Syah.g_00016
OG0000396	Prat.g_00126	Syah.g_00019
OG0000397	Prat.g_00128	Syah.g_00021
OG0000398	Prat.g_00131	Syah.g_00027
OG0000399	Prat.g_00132	Syah.g_00028
OG0000400	Prat.g_00133	Syah.g_00029
OG0000401	Prat.g_00134	Syah.g_00030
OG0000402	Prat.g_00601	Syah.g_00033
OG0000403	Prat.g_00136	Syah.g_00034
OG0000404	Prat.g_00137	Syah.g_00036
OG0000405	Prat.g_00141	Syah.g_00050
OG0000406	Prat.g_00146	Syah.g_00054
OG0000407	Prat.g_00147	Syah.g_00055
OG0000408	Prat.g_00149	Syah.g_00057
OG0000409	Prat.g_00151	Syah.g_00059
OG0000410	Prat.g_00152	Syah.g_00060
OG0000411	Prat.g_00153	Syah.g_00061
OG0000412	Prat.g_00154	Syah.g_00062
OG0000413	Prat.g_00156	Syah.g_00064
OG0000414	Prat.g_00157	Syah.g_00065
OG0000415	Prat.g_00158	Syah.g_00066
OG0000416	Prat.g_00159	Syah.g_00067
OG0000417	Prat.g_00160	Syah.g_00068
OG0000418	Prat.g_00165	Syah.g_00073
OG0000419	Prat.g_00167	Syah.g_00075
OG0000420	Prat.g_00169	Syah.g_00077
OG0000421	Prat.g_00174	Syah.g_00082
OG0000422	Prat.g_00175	Syah.g_00083
OG0000423	Prat.g_00176	Syah.g_00084
OG0000424	Prat.g_00177	Syah.g_00085
OG0000425	Prat.g_00178	Syah.g_00086
OG0000426	Prat.g_00179	Syah.g_00087
OG0000427	Prat.g_00180	Syah.g_00088
OG0000428	Prat.g_00182	Syah.g_00620
OG0000429	Prat.g_00183	Syah.g_00618
OG0000430	Prat.g_00184	Syah.g_00617
OG0000431	Prat.g_00186	Syah.g_00613
OG0000432	Prat.g_00190	Syah.g_00607
OG0000433	Prat.g_00191	Syah.g_00605
OG0000434	Prat.g_00192	Syah.g_00604
OG0000435	Prat.g_00193	Syah.g_00602
OG0000436	Prat.g_00198	Syah.g_00597
OG0000437	Prat.g_00199	Syah.g_00596
OG0000438	Prat.g_00200	Syah.g_00595
OG0000439	Prat.g_00202	Syah.g_00593
OG0000440	Prat.g_00203	Syah.g_00592
OG0000441	Prat.g_00206	Syah.g_00585
OG0000442	Prat.g_00207	Syah.g_00580
OG0000443	Prat.g_00208	Syah.g_00579
OG0000444	Prat.g_00213	Syah.g_00573
OG0000445	Prat.g_00214	Syah.g_00572
OG0000446	Prat.g_00215	Syah.g_00570
OG0000447	Prat.g_00216	Syah.g_00567
OG0000448	Prat.g_00217	Syah.g_00566
OG0000449	Prat.g_00218	Syah.g_00565
OG0000450	Prat.g_00219	Syah.g_00547
OG0000451	Prat.g_00220	Syah.g_00546
OG0000452	Prat.g_00223	Syah.g_00542
OG0000453	Prat.g_00224	Syah.g_00541
OG0000454	Prat.g_00225	Syah.g_00540
OG0000455	Prat.g_00226	Syah.g_00539
OG0000456	Prat.g_00227	Syah.g_00538
OG0000457	Prat.g_00229	Syah.g_00536
OG0000458	Prat.g_00230	Syah.g_00535
OG0000459	Prat.g_00231	Syah.g_00534
OG0000460	Prat.g_00240	Syah.g_00906
OG0000461	Prat.g_00249	Syah.g_00678
OG0000462	Prat.g_00250	Syah.g_00675
OG0000463	Prat.g_00251	Syah.g_00674
OG0000464	Prat.g_00252	Syah.g_00673
OG0000465	Prat.g_00253	Syah.g_00672
OG0000466	Prat.g_00256	Syah.g_00668
OG0000467	Prat.g_00257	Syah.g_00666
OG0000468	Prat.g_00260	Syah.g_00661
OG0000469	Prat.g_00269	Syah.g_00647
OG0000470	Prat.g_00271	Syah.g_00645
OG0000471	Prat.g_00272	Syah.g_00644
OG0000472	Prat.g_00273	Syah.g_00642
OG0000473	Prat.g_00275	Syah.g_00640
OG0000474	Prat.g_00276	Syah.g_00639
OG0000475	Prat.g_00277	Syah.g_00638
OG0000476	Prat.g_00279	Syah.g_00636
OG0000477	Prat.g_00282	Syah.g_00630
OG0000478	Prat.g_00283	Syah.g_00629
OG0000479	Prat.g_00284	Syah.g_00628
OG0000480	Prat.g_00290	Syah.g_00089
OG0000481	Prat.g_00292	Syah.g_00091
OG0000482	Prat.g_00293	Syah.g_00092
OG0000483	Prat.g_00296	Syah.g_00096
OG0000484	Prat.g_00297	Syah.g_00097
OG0000485	Prat.g_00298	Syah.g_00098
OG0000486	Prat.g_00299	Syah.g_00099
OG0000487	Prat.g_00303	Syah.g_00106
OG0000488	Prat.g_00306	Syah.g_00110
OG0000489	Prat.g_00311	Syah.g_00121
OG0000490	Prat.g_00315	Syah.g_00129
OG0000491	Prat.g_00316	Syah.g_00130
OG0000492	Prat.g_00318	Syah.g_00132
OG0000493	Prat.g_00319	Syah.g_00133
OG0000494	Prat.g_00320	Syah.g_00134
OG0000495	Prat.g_00321	Syah.g_00135
OG0000496	Prat.g_00322	Syah.g_00136
OG0000497	Prat.g_00323	Syah.g_00137
OG0000498	Prat.g_00324	Syah.g_00138
OG0000499	Prat.g_00325	Syah.g_00139
OG0000500	Prat.g_00326	Syah.g_00140
OG0000501	Prat.g_00328	Syah.g_00143
OG0000502	Prat.g_00331	Syah.g_00155
OG0000503	Prat.g_00348	Syah.g_00858
OG0000504	Prat.g_00350	Syah.g_00860
OG0000505	Prat.g_00351	Syah.g_00861
OG0000506	Prat.g_00352	Syah.g_00863
OG0000507	Prat.g_00355	Syah.g_00869
OG0000508	Prat.g_00359	Syah.g_00873
OG0000509	Prat.g_00361	Syah.g_00875
OG0000510	Prat.g_00362	Syah.g_00876
OG0000511	Prat.g_00363	Syah.g_00877
OG0000512	Prat.g_00365	Syah.g_00879
OG0000513	Prat.g_00373	Syah.g_00892
OG0000514	Prat.g_00390	Syah.g_00899
OG0000515	Prat.g_00391	Syah.g_00900
OG0000516	Prat.g_00392	Syah.g_02231
OG0000517	Prat.g_00395	Syah.g_02237
OG0000518	Prat.g_00407	Syah.g_02221
OG0000519	Prat.g_00408	Syah.g_02220
OG0000520	Prat.g_00410	Syah.g_02219
OG0000521	Prat.g_00415	Syah.g_01202
OG0000522	Prat.g_00417	Syah.g_01204
OG0000523	Prat.g_00418	Syah.g_01205
OG0000524	Prat.g_00424	Syah.g_01207
OG0000525	Prat.g_00428	Syah.g_01212
OG0000526	Prat.g_00429	Syah.g_01215
OG0000527	Prat.g_00432	Syah.g_01219
OG0000528	Prat.g_00438	Syah.g_00991
OG0000529	Prat.g_00441	Syah.g_00998
OG0000530	Prat.g_00444	Syah.g_01001
OG0000531	Prat.g_00445	Syah.g_01002
OG0000532	Prat.g_00447	Syah.g_01005
OG0000533	Prat.g_00448	Syah.g_01006
OG0000534	Prat.g_00449	Syah.g_01007
OG0000535	Prat.g_00450	Syah.g_01008
OG0000536	Prat.g_00451	Syah.g_01009
OG0000537	Prat.g_00453	Syah.g_01010
OG0000538	Prat.g_00463	Syah.g_01021
OG0000539	Prat.g_00464	Syah.g_01022
OG0000540	Prat.g_00465	Syah.g_01023
OG0000541	Prat.g_00466	Syah.g_01024
OG0000542	Prat.g_00468	Syah.g_01027
OG0000543	Prat.g_00470	Syah.g_01029
OG0000545	Prat.g_00473	Syah.g_01031
OG0000546	Prat.g_00476	Syah.g_01033
OG0000547	Prat.g_00478	Syah.g_01035
OG0000548	Prat.g_00479	Syah.g_01036
OG0000549	Prat.g_00482	Syah.g_01042
OG0000550	Prat.g_00486	Syah.g_01046
OG0000551	Prat.g_00489	Syah.g_01051
OG0000552	Prat.g_00490	Syah.g_01052
OG0000553	Prat.g_00491	Syah.g_01054
OG0000554	Prat.g_00496	Syah.g_01065
OG0000555	Prat.g_00503	Syah.g_01078
OG0000556	Prat.g_00505	Syah.g_01084
OG0000557	Prat.g_00506	Syah.g_01086
OG0000558	Prat.g_00508	Syah.g_01088
OG0000559	Prat.g_00512	Syah.g_01093
OG0000560	Prat.g_00516	Syah.g_01096
OG0000561	Prat.g_00517	Syah.g_01097
OG0000562	Prat.g_00518	Syah.g_01098
OG0000563	Prat.g_00519	Syah.g_01099
OG0000564	Prat.g_00520	Syah.g_01100
OG0000565	Prat.g_00523	Syah.g_01104
OG0000566	Prat.g_00527	Syah.g_01108
OG0000567	Prat.g_00531	Syah.g_01112
OG0000568	Prat.g_00532	Syah.g_01116
OG0000569	Prat.g_00533	Syah.g_01117
OG0000570	Prat.g_00534	Syah.g_01118
OG0000571	Prat.g_00537	Syah.g_01122
OG0000572	Prat.g_00549	Syah.g_01137
OG0000573	Prat.g_00554	Syah.g_01146
OG0000574	Prat.g_00555	Syah.g_01147
