Orthogroup	Syal	Pran
OG0000100	Syal.g_02448	Pran.g_00659
OG0000101	Syal.g_00275	Pran.g_01105
OG0000102	Syal.g_01488	Pran.g_01165
OG0000103	Syal.g_01897, Syal.g_00077	Pran.g_01244
OG0000104	Syal.g_00092	Pran.g_01253
OG0000105	Syal.g_01255	Pran.g_01920
OG0000106	Syal.g_02577	Pran.g_01824
OG0000107	Syal.g_00194	Pran.g_01808
OG0000108	Syal.g_02897	Pran.g_01698
OG0000109	Syal.g_02913	Pran.g_01684
OG0000110	Syal.g_02782	Pran.g_01603
OG0000111	Syal.g_01813	Pran.g_01479
OG0000112	Syal.g_02000	Pran.g_01378
OG0000113	Syal.g_02443	Pran.g_01321
OG0000114	Syal.g_02286	Pran.g_00429
OG0000115	Syal.g_00404	Pran.g_00123
OG0000116	Syal.g_01630	Pran.g_00070
OG0000117	Syal.g_01704	Pran.g_01466
OG0000118	Syal.g_01583	Pran.g_00864
OG0000119	Syal.g_02056	Pran.g_00845
OG0000120	Syal.g_01324	Pran.g_00752
OG0000121	Syal.g_00374	Pran.g_00731
OG0000122	Syal.g_02602	Pran.g_00693
OG0000123	Syal.g_00283	Pran.g_01112
OG0000124	Syal.g_01519	Pran.g_01176
OG0000125	Syal.g_01075	Pran.g_01212
OG0000126	Syal.g_00090	Pran.g_01252
OG0000128	Syal.g_00109	Pran.g_01268
OG0000129	Syal.g_01062	Pran.g_00381
OG0000130	Syal.g_00751	Pran.g_00363
OG0000131	Syal.g_00886	Pran.g_00288
OG0000132	Syal.g_00906	Pran.g_00268
OG0000133	Syal.g_01995	Pran.g_01872
OG0000134	Syal.g_00552	Pran.g_01838
OG0000135	Syal.g_01119	Pran.g_01812
OG0000136	Syal.g_00520	Pran.g_01739
OG0000137	Syal.g_00463	Pran.g_01703
OG0000138	Syal.g_02914	Pran.g_01683
OG0000139	Syal.g_02832	Pran.g_01641
OG0000140	Syal.g_02830	Pran.g_01640
OG0000141	Syal.g_02738	Pran.g_01571
OG0000142	Syal.g_02636	Pran.g_01543
OG0000143	Syal.g_02632	Pran.g_01539
OG0000144	Syal.g_02515	Pran.g_01526
OG0000145	Syal.g_02921	Pran.g_01400
OG0000146	Syal.g_02001	Pran.g_01377
OG0000147	Syal.g_02002	Pran.g_01376
OG0000148	Syal.g_02437	Pran.g_01327
OG0000149	Syal.g_02475	Pran.g_01297
OG0000150	Syal.g_02737	Pran.g_01289
OG0000151	Syal.g_02263	Pran.g_00439
OG0000152	Syal.g_01991	Pran.g_00487
OG0000153	Syal.g_01958	Pran.g_00506
OG0000154	Syal.g_01918	Pran.g_00542
OG0000155	Syal.g_01695	Pran.g_00040
OG0000156	Syal.g_01620	Pran.g_00887
OG0000157	Syal.g_01619	Pran.g_00886
OG0000158	Syal.g_01431	Pran.g_00822
OG0000160	Syal.g_00372	Pran.g_00732
OG0000161	Syal.g_00384	Pran.g_00726
OG0000162	Syal.g_00396	Pran.g_00720
OG0000163	Syal.g_02971	Pran.g_00686
OG0000164	Syal.g_00623	Pran.g_00994
OG0000165	Syal.g_00632	Pran.g_01001
OG0000166	Syal.g_00236	Pran.g_01069, Pran.g_01068
OG0000167	Syal.g_01347	Pran.g_01135
OG0000168	Syal.g_01433	Pran.g_01144
OG0000169	Syal.g_01447	Pran.g_01154
OG0000170	Syal.g_01454	Pran.g_01156
OG0000171	Syal.g_01518	Pran.g_01175
OG0000172	Syal.g_00174, Syal.g_00173	Pran.g_01184
OG0000173	Syal.g_00155	Pran.g_01199
OG0000174	Syal.g_01121	Pran.g_01226
OG0000175	Syal.g_01172	Pran.g_01236
OG0000176	Syal.g_00101	Pran.g_01261
OG0000177	Syal.g_00102	Pran.g_01262
OG0000178	Syal.g_00103	Pran.g_01263
OG0000179	Syal.g_00118	Pran.g_00408
OG0000180	Syal.g_00119	Pran.g_00407
OG0000181	Syal.g_00120	Pran.g_00406
OG0000182	Syal.g_00121	Pran.g_00405
OG0000183	Syal.g_00125	Pran.g_00401
OG0000184	Syal.g_01050	Pran.g_00379
OG0000185	Syal.g_01025	Pran.g_00376
OG0000186	Syal.g_02684, Syal.g_00747	Pran.g_00368
OG0000187	Syal.g_02685, Syal.g_00748	Pran.g_00367
OG0000188	Syal.g_00771	Pran.g_00350
OG0000189	Syal.g_00807	Pran.g_00337
OG0000190	Syal.g_01364	Pran.g_00336
OG0000191	Syal.g_00841	Pran.g_00316
OG0000192	Syal.g_00847	Pran.g_00312
OG0000193	Syal.g_00887	Pran.g_00287
OG0000194	Syal.g_00890	Pran.g_00283
OG0000195	Syal.g_00892	Pran.g_00281
OG0000196	Syal.g_00903	Pran.g_00271
OG0000197	Syal.g_00904	Pran.g_00270
OG0000198	Syal.g_00905	Pran.g_00269
OG0000199	Syal.g_00913	Pran.g_00262
OG0000200	Syal.g_00932	Pran.g_00248
OG0000201	Syal.g_00949	Pran.g_00240
OG0000202	Syal.g_00950	Pran.g_00239
OG0000203	Syal.g_00951	Pran.g_00238
OG0000204	Syal.g_00952	Pran.g_00237
OG0000205	Syal.g_00959	Pran.g_00230
OG0000206	Syal.g_00971	Pran.g_00225
OG0000207	Syal.g_00974	Pran.g_00223
OG0000208	Syal.g_00975	Pran.g_00222
OG0000209	Syal.g_01000	Pran.g_00213
OG0000210	Syal.g_01001	Pran.g_00212
OG0000212	Syal.g_00679	Pran.g_00193
OG0000213	Syal.g_01229	Pran.g_01935
OG0000214	Syal.g_01246	Pran.g_01926
OG0000215	Syal.g_01277	Pran.g_01902
OG0000216	Syal.g_01281	Pran.g_01900
OG0000217	Syal.g_01285	Pran.g_01897
OG0000218	Syal.g_01287	Pran.g_01895
OG0000219	Syal.g_01288	Pran.g_01894
OG0000220	Syal.g_01289	Pran.g_01893
OG0000221	Syal.g_01297	Pran.g_01892
OG0000222	Syal.g_01309	Pran.g_01884
OG0000223	Syal.g_01327	Pran.g_01871
OG0000224	Syal.g_01329	Pran.g_01869
OG0000225	Syal.g_00363	Pran.g_01849
OG0000226	Syal.g_00367	Pran.g_01845
OG0000227	Syal.g_00369	Pran.g_01843
OG0000228	Syal.g_00556	Pran.g_01840
OG0000229	Syal.g_00525	Pran.g_01744
OG0000230	Syal.g_00523	Pran.g_01742
OG0000231	Syal.g_00510	Pran.g_01728
OG0000232	Syal.g_00495	Pran.g_01720
OG0000233	Syal.g_00487	Pran.g_01715
OG0000234	Syal.g_00461	Pran.g_01702
OG0000235	Syal.g_02896	Pran.g_01699
OG0000236	Syal.g_02912	Pran.g_01685
OG0000237	Syal.g_02930	Pran.g_01672
OG0000238	Syal.g_02935	Pran.g_01666
OG0000239	Syal.g_02951	Pran.g_01653
OG0000240	Syal.g_02952	Pran.g_01652
OG0000241	Syal.g_02696	Pran.g_01648
OG0000242	Syal.g_02840	Pran.g_01646
OG0000243	Syal.g_02822	Pran.g_01635
OG0000244	Syal.g_02815	Pran.g_01632
OG0000245	Syal.g_02813	Pran.g_01630
OG0000246	Syal.g_02809	Pran.g_01626
OG0000247	Syal.g_02797	Pran.g_01616
OG0000248	Syal.g_02794	Pran.g_01613
OG0000249	Syal.g_02792	Pran.g_01611
OG0000250	Syal.g_02786	Pran.g_01606
OG0000251	Syal.g_02760	Pran.g_01587
OG0000252	Syal.g_02757	Pran.g_01584
OG0000253	Syal.g_02755	Pran.g_01583
OG0000254	Syal.g_02732	Pran.g_01567
OG0000255	Syal.g_02719	Pran.g_01561
OG0000256	Syal.g_02705	Pran.g_01551
OG0000257	Syal.g_02697	Pran.g_01548
OG0000258	Syal.g_02623	Pran.g_01535
OG0000259	Syal.g_02182	Pran.g_01518
OG0000260	Syal.g_02188	Pran.g_01515
OG0000261	Syal.g_02199	Pran.g_01513
OG0000262	Syal.g_02204	Pran.g_01509
OG0000263	Syal.g_01720	Pran.g_01497
OG0000264	Syal.g_01788	Pran.g_01487
OG0000265	Syal.g_02534	Pran.g_01460
OG0000266	Syal.g_02421	Pran.g_01450
OG0000267	Syal.g_02043	Pran.g_01439
OG0000268	Syal.g_02042	Pran.g_01438
OG0000269	Syal.g_02409	Pran.g_01348
OG0000270	Syal.g_02412	Pran.g_01345
OG0000271	Syal.g_01871	Pran.g_01337
OG0000272	Syal.g_01872	Pran.g_01336
OG0000274	Syal.g_02455	Pran.g_01312
OG0000275	Syal.g_02458	Pran.g_01310
OG0000276	Syal.g_02467	Pran.g_01305
OG0000277	Syal.g_02468	Pran.g_01304
OG0000278	Syal.g_02471	Pran.g_01301
OG0000279	Syal.g_02479	Pran.g_01294
OG0000280	Syal.g_02493	Pran.g_01293
OG0000281	Syal.g_02190	Pran.g_01287
OG0000282	Syal.g_02284	Pran.g_00431
OG0000283	Syal.g_02028	Pran.g_00464
OG0000284	Syal.g_02023	Pran.g_00469
OG0000285	Syal.g_02012	Pran.g_00474
OG0000286	Syal.g_01992	Pran.g_00486
OG0000288	Syal.g_01919	Pran.g_00541
OG0000289	Syal.g_01904	Pran.g_00552
OG0000290	Syal.g_01826	Pran.g_00565
OG0000291	Syal.g_01824	Pran.g_00567
OG0000292	Syal.g_00089	Pran.g_00135
OG0000293	Syal.g_01631	Pran.g_00069
OG0000294	Syal.g_01632	Pran.g_00068
OG0000295	Syal.g_01687	Pran.g_00048
OG0000296	Syal.g_01689	Pran.g_00046
OG0000297	Syal.g_01702	Pran.g_00038
OG0000298	Syal.g_01703	Pran.g_00037
OG0000299	Syal.g_01732	Pran.g_00020
OG0000300	Syal.g_01738	Pran.g_00017
OG0000301	Syal.g_01739	Pran.g_00016
OG0000302	Syal.g_01740	Pran.g_00014
OG0000303	Syal.g_01763	Pran.g_00007
OG0000304	Syal.g_01756	Pran.g_00003
OG0000305	Syal.g_01821	Pran.g_00848
OG0000306	Syal.g_02579	Pran.g_00846
OG0000307	Syal.g_02880	Pran.g_00832
OG0000308	Syal.g_02878	Pran.g_00831
OG0000309	Syal.g_02873	Pran.g_00827
OG0000310	Syal.g_01537	Pran.g_00748
OG0000311	Syal.g_00061	Pran.g_00746
OG0000312	Syal.g_00031	Pran.g_00743
OG0000313	Syal.g_00381	Pran.g_00729
OG0000314	Syal.g_00416	Pran.g_00706
OG0000315	Syal.g_00426	Pran.g_00696
OG0000316	Syal.g_02987	Pran.g_00676
OG0000317	Syal.g_00583	Pran.g_00968
OG0000318	Syal.g_00588	Pran.g_00971
OG0000319	Syal.g_00608	Pran.g_00984
OG0000320	Syal.g_00610	Pran.g_00986
OG0000321	Syal.g_00611	Pran.g_00987
OG0000322	Syal.g_00612	Pran.g_00988
OG0000323	Syal.g_00626	Pran.g_00997
OG0000324	Syal.g_00656	Pran.g_01023
OG0000325	Syal.g_00195	Pran.g_01033
OG0000326	Syal.g_00202	Pran.g_01039
OG0000327	Syal.g_00230	Pran.g_01063
OG0000328	Syal.g_00231	Pran.g_01064
OG0000329	Syal.g_00249	Pran.g_01082
OG0000330	Syal.g_00250	Pran.g_01083
OG0000331	Syal.g_00251	Pran.g_01084
OG0000332	Syal.g_00266	Pran.g_01098
OG0000333	Syal.g_00269	Pran.g_01100
OG0000334	Syal.g_00279	Pran.g_01108
OG0000335	Syal.g_00284	Pran.g_01113
OG0000336	Syal.g_00288	Pran.g_01117
OG0000337	Syal.g_01343	Pran.g_01133
OG0000338	Syal.g_01345	Pran.g_01134
OG0000339	Syal.g_01351	Pran.g_01138
OG0000340	Syal.g_01434	Pran.g_01145
OG0000341	Syal.g_01436	Pran.g_01147
OG0000342	Syal.g_01437	Pran.g_01148
OG0000343	Syal.g_01441	Pran.g_01149
OG0000344	Syal.g_01445	Pran.g_01152
OG0000345	Syal.g_01455	Pran.g_01157
OG0000346	Syal.g_01460	Pran.g_01161
OG0000347	Syal.g_01525	Pran.g_01177
OG0000348	Syal.g_00170	Pran.g_01187
OG0000349	Syal.g_00148	Pran.g_01203
OG0000350	Syal.g_00209	Pran.g_01222
OG0000351	Syal.g_01175	Pran.g_01239
OG0000352	Syal.g_01176	Pran.g_01240
OG0000353	Syal.g_00095	Pran.g_01256
OG0000355	Syal.g_00098	Pran.g_01258
OG0000356	Syal.g_00099	Pran.g_01259
OG0000357	Syal.g_00100	Pran.g_01260
OG0000358	Syal.g_00104	Pran.g_01264
OG0000359	Syal.g_00106	Pran.g_01265
OG0000360	Syal.g_00107	Pran.g_01266
OG0000361	Syal.g_00108	Pran.g_01267
OG0000362	Syal.g_00110	Pran.g_01269
OG0000363	Syal.g_00112	Pran.g_00410
OG0000364	Syal.g_00113	Pran.g_00409
OG0000365	Syal.g_00122	Pran.g_00404
OG0000366	Syal.g_00123	Pran.g_00403
OG0000367	Syal.g_00124	Pran.g_00402
OG0000368	Syal.g_00126	Pran.g_00400
OG0000369	Syal.g_00127	Pran.g_00399
OG0000370	Syal.g_00128	Pran.g_00398
OG0000371	Syal.g_00135	Pran.g_00392
OG0000372	Syal.g_00141	Pran.g_00389
OG0000373	Syal.g_00142	Pran.g_00388
OG0000374	Syal.g_00143	Pran.g_00387
OG0000375	Syal.g_00144	Pran.g_00385
OG0000376	Syal.g_00146	Pran.g_00383
OG0000377	Syal.g_01061	Pran.g_00380
OG0000378	Syal.g_01027	Pran.g_00378
OG0000379	Syal.g_01024	Pran.g_00375
OG0000380	Syal.g_00749	Pran.g_00366
OG0000381	Syal.g_00752	Pran.g_00362
OG0000382	Syal.g_00770	Pran.g_00351
OG0000383	Syal.g_00775	Pran.g_00349
OG0000384	Syal.g_00776	Pran.g_00348
OG0000385	Syal.g_00777	Pran.g_00347
OG0000386	Syal.g_00778	Pran.g_00346
OG0000387	Syal.g_00811	Pran.g_00334
OG0000388	Syal.g_00815	Pran.g_00331
OG0000389	Syal.g_00819	Pran.g_00327
OG0000390	Syal.g_00835	Pran.g_00320
OG0000391	Syal.g_00840	Pran.g_00317
OG0000392	Syal.g_00846	Pran.g_00313
OG0000393	Syal.g_00849	Pran.g_00311
OG0000394	Syal.g_00850	Pran.g_00310
OG0000395	Syal.g_00851	Pran.g_00309
OG0000396	Syal.g_00854	Pran.g_00307
OG0000397	Syal.g_00857	Pran.g_00305
OG0000398	Syal.g_00862	Pran.g_00303
OG0000399	Syal.g_00863	Pran.g_00302
OG0000400	Syal.g_00864	Pran.g_00301
OG0000401	Syal.g_00865	Pran.g_00300
OG0000402	Syal.g_00867	Pran.g_00298
OG0000403	Syal.g_00868	Pran.g_00297
OG0000404	Syal.g_00870	Pran.g_00296
OG0000405	Syal.g_00883	Pran.g_00292
OG0000406	Syal.g_00888	Pran.g_00286
OG0000407	Syal.g_00889	Pran.g_00285
OG0000408	Syal.g_00891	Pran.g_00282
OG0000409	Syal.g_00893	Pran.g_00280
OG0000410	Syal.g_00894	Pran.g_00279
OG0000411	Syal.g_00895	Pran.g_00278
OG0000412	Syal.g_00896	Pran.g_00277
OG0000413	Syal.g_00898	Pran.g_00276
OG0000414	Syal.g_00899	Pran.g_00275
OG0000415	Syal.g_00900	Pran.g_00274
OG0000416	Syal.g_00901	Pran.g_00273
OG0000417	Syal.g_00902	Pran.g_00272
OG0000418	Syal.g_00907	Pran.g_00267
OG0000419	Syal.g_00909	Pran.g_00265
OG0000420	Syal.g_00911	Pran.g_00264
OG0000421	Syal.g_00916	Pran.g_00259
OG0000422	Syal.g_00917	Pran.g_00258
OG0000423	Syal.g_00918	Pran.g_00257
OG0000424	Syal.g_00919	Pran.g_00256
OG0000425	Syal.g_00920	Pran.g_00255
OG0000426	Syal.g_00921	Pran.g_00254
OG0000427	Syal.g_00922	Pran.g_00253
OG0000428	Syal.g_00925	Pran.g_00251
OG0000429	Syal.g_00929	Pran.g_00250
OG0000430	Syal.g_00931	Pran.g_00249
OG0000431	Syal.g_00934	Pran.g_00247
OG0000432	Syal.g_00940	Pran.g_00244
OG0000433	Syal.g_00943	Pran.g_00243
OG0000434	Syal.g_00944	Pran.g_00242
OG0000435	Syal.g_00946	Pran.g_00241
OG0000436	Syal.g_00953	Pran.g_00236
OG0000437	Syal.g_00954	Pran.g_00235
OG0000438	Syal.g_00955	Pran.g_00234
OG0000439	Syal.g_00957	Pran.g_00232
OG0000440	Syal.g_00958	Pran.g_00231
OG0000441	Syal.g_00962	Pran.g_00228
OG0000442	Syal.g_00964	Pran.g_00227
OG0000443	Syal.g_00966	Pran.g_00226
OG0000444	Syal.g_00978	Pran.g_00221
OG0000445	Syal.g_00979	Pran.g_00220
OG0000446	Syal.g_00981	Pran.g_00219
OG0000447	Syal.g_00989	Pran.g_00218
OG0000448	Syal.g_00990	Pran.g_00217
OG0000449	Syal.g_00991	Pran.g_00216
OG0000450	Syal.g_00997	Pran.g_00215
OG0000451	Syal.g_00998	Pran.g_00214
OG0000452	Syal.g_01002	Pran.g_00211
OG0000453	Syal.g_01003	Pran.g_00210
OG0000454	Syal.g_01004	Pran.g_00209
OG0000455	Syal.g_01005	Pran.g_00208
OG0000456	Syal.g_01006	Pran.g_00207
OG0000457	Syal.g_01008	Pran.g_00206
OG0000458	Syal.g_01009	Pran.g_00205
OG0000459	Syal.g_01010	Pran.g_00204
OG0000460	Syal.g_00686	Pran.g_00197
OG0000461	Syal.g_01199	Pran.g_01950
OG0000462	Syal.g_01202	Pran.g_01948
OG0000463	Syal.g_01203	Pran.g_01947
OG0000464	Syal.g_01204	Pran.g_01946
OG0000465	Syal.g_01205	Pran.g_01945
OG0000466	Syal.g_01210	Pran.g_01942
OG0000467	Syal.g_01212	Pran.g_01941
OG0000468	Syal.g_01225	Pran.g_01939
OG0000469	Syal.g_01240	Pran.g_01931
OG0000470	Syal.g_01242	Pran.g_01929
OG0000471	Syal.g_01243	Pran.g_01928
OG0000472	Syal.g_01245	Pran.g_01927
OG0000473	Syal.g_01247	Pran.g_01925
OG0000474	Syal.g_01248	Pran.g_01924
OG0000475	Syal.g_01249	Pran.g_01923
OG0000476	Syal.g_01251	Pran.g_01922
OG0000477	Syal.g_01257	Pran.g_01919
OG0000478	Syal.g_01258	Pran.g_01918
OG0000479	Syal.g_01259	Pran.g_01917
OG0000480	Syal.g_01266	Pran.g_01912
OG0000481	Syal.g_01268	Pran.g_01910
OG0000482	Syal.g_01269	Pran.g_01909
OG0000483	Syal.g_01273	Pran.g_01906
OG0000484	Syal.g_01274	Pran.g_01905
OG0000485	Syal.g_01275	Pran.g_01904
OG0000486	Syal.g_01276	Pran.g_01903
OG0000487	Syal.g_01282	Pran.g_01899
OG0000488	Syal.g_01286	Pran.g_01896
OG0000489	Syal.g_01298	Pran.g_01891
OG0000490	Syal.g_01307	Pran.g_01886
OG0000491	Syal.g_01308	Pran.g_01885
OG0000492	Syal.g_01310	Pran.g_01883
OG0000493	Syal.g_01311	Pran.g_01882
OG0000494	Syal.g_01312	Pran.g_01881
OG0000495	Syal.g_01313	Pran.g_01880
OG0000496	Syal.g_01314	Pran.g_01879
OG0000497	Syal.g_01315	Pran.g_01878
OG0000498	Syal.g_01316	Pran.g_01877
OG0000499	Syal.g_01317	Pran.g_01876
OG0000500	Syal.g_01318	Pran.g_01875
OG0000501	Syal.g_01321	Pran.g_01873
OG0000502	Syal.g_01328	Pran.g_01870
OG0000503	Syal.g_00347	Pran.g_01860
OG0000504	Syal.g_00349	Pran.g_01859
OG0000505	Syal.g_00350	Pran.g_01858
OG0000506	Syal.g_00352	Pran.g_01857
OG0000507	Syal.g_00358	Pran.g_01854
OG0000508	Syal.g_00362	Pran.g_01850
OG0000509	Syal.g_00364	Pran.g_01848
OG0000510	Syal.g_00365	Pran.g_01847
OG0000511	Syal.g_00366	Pran.g_01846
OG0000512	Syal.g_00368	Pran.g_01844
OG0000513	Syal.g_00551	Pran.g_01837
OG0000514	Syal.g_00539	Pran.g_01749
OG0000515	Syal.g_00538	Pran.g_01748
OG0000516	Syal.g_00534	Pran.g_01747
OG0000517	Syal.g_00526	Pran.g_01745
OG0000518	Syal.g_00514	Pran.g_01734
OG0000519	Syal.g_00513	Pran.g_01733
OG0000520	Syal.g_00512	Pran.g_01729
OG0000521	Syal.g_00502	Pran.g_01724
OG0000522	Syal.g_00500	Pran.g_01723
OG0000523	Syal.g_00499	Pran.g_01722
OG0000524	Syal.g_00491	Pran.g_01717
OG0000525	Syal.g_00473	Pran.g_01714
OG0000526	Syal.g_00471	Pran.g_01713
OG0000527	Syal.g_00465	Pran.g_01705
OG0000528	Syal.g_02893	Pran.g_01700
OG0000529	Syal.g_02898	Pran.g_01697
OG0000530	Syal.g_02901	Pran.g_01694
OG0000531	Syal.g_02902	Pran.g_01693
OG0000532	Syal.g_02905	Pran.g_01691
OG0000533	Syal.g_02907	Pran.g_01690
OG0000534	Syal.g_02908	Pran.g_01689
OG0000535	Syal.g_02909	Pran.g_01688
OG0000536	Syal.g_02910	Pran.g_01687
OG0000537	Syal.g_02911	Pran.g_01686
OG0000538	Syal.g_02923	Pran.g_01678
OG0000539	Syal.g_02924	Pran.g_01677
OG0000540	Syal.g_02925	Pran.g_01676
OG0000541	Syal.g_02926	Pran.g_01675
OG0000542	Syal.g_02929	Pran.g_01673
OG0000543	Syal.g_02931	Pran.g_01671
OG0000544	Syal.g_02932	Pran.g_01670
OG0000545	Syal.g_02934	Pran.g_01668
OG0000546	Syal.g_02936	Pran.g_01665
OG0000547	Syal.g_02938	Pran.g_01663
OG0000548	Syal.g_02939	Pran.g_01662
OG0000549	Syal.g_02945	Pran.g_01660
OG0000550	Syal.g_02949	Pran.g_01655
OG0000551	Syal.g_02953	Pran.g_01651
OG0000552	Syal.g_02954	Pran.g_01650
OG0000553	Syal.g_02843	Pran.g_01649
OG0000554	Syal.g_02837	Pran.g_01644
OG0000555	Syal.g_02823	Pran.g_01636
OG0000556	Syal.g_02819	Pran.g_01634
OG0000557	Syal.g_02816	Pran.g_01633
OG0000558	Syal.g_02814	Pran.g_01631
OG0000559	Syal.g_02305, Syal.g_02810	Pran.g_01627
OG0000560	Syal.g_02807	Pran.g_01624
OG0000561	Syal.g_02806	Pran.g_01623
OG0000562	Syal.g_02805	Pran.g_01622
OG0000563	Syal.g_02804	Pran.g_01621
OG0000564	Syal.g_02803	Pran.g_01620
OG0000565	Syal.g_02799	Pran.g_01617
OG0000566	Syal.g_02795	Pran.g_01614
OG0000567	Syal.g_02791	Pran.g_01610
OG0000568	Syal.g_02789	Pran.g_01609
OG0000569	Syal.g_02788	Pran.g_01608
OG0000570	Syal.g_02787	Pran.g_01607
OG0000571	Syal.g_02784	Pran.g_01605
OG0000572	Syal.g_02767	Pran.g_01592
OG0000573	Syal.g_02759	Pran.g_01586
OG0000574	Syal.g_02758	Pran.g_01585
OG0000575	Syal.g_02753	Pran.g_01581
OG0000576	Syal.g_02751	Pran.g_01579
OG0000577	Syal.g_02750	Pran.g_01578
OG0000578	Syal.g_02749	Pran.g_01577
OG0000579	Syal.g_02748	Pran.g_01576
OG0000580	Syal.g_02747	Pran.g_01575
OG0000581	Syal.g_02741	Pran.g_01573
OG0000582	Syal.g_02736	Pran.g_01570
OG0000583	Syal.g_02735	Pran.g_01569
OG0000584	Syal.g_02734	Pran.g_01568
OG0000585	Syal.g_02731	Pran.g_01566
OG0000586	Syal.g_02730	Pran.g_01565
OG0000587	Syal.g_02728	Pran.g_01564
OG0000588	Syal.g_02717	Pran.g_01560
OG0000589	Syal.g_02714	Pran.g_01557
