Orthogroup	Syal	Syar
OG0000062	Syal.g_02113	Syar.g_01439
OG0000063	Syal.g_00136	Syar.g_00509
OG0000064	Syal.g_02544	Syar.g_03117
OG0000064	Syal.g_01681	Syar.g_00860
OG0000065	Syal.g_00820, Syal.g_02528	Syar.g_03119
OG0000066	Syal.g_02828	Syar.g_02228
OG0000067	Syal.g_02414	Syar.g_02639
OG0000068	Syal.g_02888	Syar.g_02329, Syar.g_01461
OG0000070	Syal.g_00509	Syar.g_02223
OG0000071	Syal.g_01601, Syal.g_02099	Syar.g_02777
OG0000072	Syal.g_00914	Syar.g_00107
OG0000073	Syal.g_02920	Syar.g_01493
OG0000075	Syal.g_01350	Syar.g_03065, Syar.g_00659
OG0000076	Syal.g_01459	Syar.g_00608
OG0000077	Syal.g_00506	Syar.g_03051
OG0000078	Syal.g_00680	Syar.g_01366, Syar.g_03265
OG0000079	Syal.g_01213	Syar.g_00166
OG0000080	Syal.g_01394	Syar.g_00585
OG0000081	Syal.g_02555	Syar.g_01898
OG0000082	Syal.g_02769	Syar.g_02202
OG0000085	Syal.g_00575	Syar.g_02919
OG0000086	Syal.g_00784	Syar.g_03085
OG0000087	Syal.g_00871	Syar.g_03192, Syar.g_00068
OG0000088	Syal.g_00908	Syar.g_00101
OG0000089	Syal.g_00555	Syar.g_01162
OG0000090	Syal.g_02838	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Syal.g_02628	Syar.g_01891, Syar.g_02426
OG0000092	Syal.g_00470	Syar.g_01960
OG0000093	Syal.g_02233	Syar.g_02623
OG0000094	Syal.g_01907	Syar.g_01789
OG0000095	Syal.g_01823	Syar.g_01932
OG0000097	Syal.g_01735	Syar.g_01706
OG0000097	Syal.g_01553	Syar.g_00364
OG0000098	Syal.g_02196	Syar.g_02343
OG0000099	Syal.g_01323	Syar.g_00715
OG0000100	Syal.g_02448	Syar.g_02477
OG0000101	Syal.g_00275	Syar.g_03154
OG0000102	Syal.g_01488	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Syal.g_01897	Syar.g_00452
OG0000103	Syal.g_00077	Syar.g_00014
OG0000104	Syal.g_00092	Syar.g_00466
OG0000105	Syal.g_01255	Syar.g_00218
OG0000106	Syal.g_02577	Syar.g_01748
OG0000107	Syal.g_00194	Syar.g_00149
OG0000108	Syal.g_02897	Syar.g_01469
OG0000109	Syal.g_02913	Syar.g_03310, Syar.g_01485
OG0000110	Syal.g_02782	Syar.g_02295
OG0000111	Syal.g_01813	Syar.g_01940
OG0000112	Syal.g_02000	Syar.g_02548, Syar.g_03195
OG0000113	Syal.g_02443	Syar.g_02664
OG0000114	Syal.g_02286	Syar.g_01616
OG0000115	Syal.g_00404	Syar.g_02854, Syar.g_01415
OG0000116	Syal.g_01630	Syar.g_01525, Syar.g_02255
OG0000117	Syal.g_01704	Syar.g_01969
OG0000118	Syal.g_01583	Syar.g_02793
OG0000120	Syal.g_01324	Syar.g_00713
OG0000121	Syal.g_00374	Syar.g_02806
OG0000123	Syal.g_00283	Syar.g_01079
OG0000124	Syal.g_01519	Syar.g_00586
OG0000125	Syal.g_01075	Syar.g_00338
OG0000126	Syal.g_00090	Syar.g_00887, Syar.g_00888
OG0000128	Syal.g_00109	Syar.g_00482
OG0000129	Syal.g_01062	Syar.g_00324
OG0000130	Syal.g_00751	Syar.g_03040
OG0000131	Syal.g_00886	Syar.g_00078, Syar.g_02216
OG0000132	Syal.g_00906	Syar.g_00099
OG0000133	Syal.g_01995	Syar.g_02543
OG0000134	Syal.g_00552	Syar.g_02009, Syar.g_01165
OG0000135	Syal.g_01119	Syar.g_00698
OG0000136	Syal.g_00520	Syar.g_02874
OG0000137	Syal.g_00463	Syar.g_01273
OG0000138	Syal.g_02914	Syar.g_01486
OG0000139	Syal.g_02832	Syar.g_03245
OG0000140	Syal.g_02830	Syar.g_02344, Syar.g_03246
OG0000141	Syal.g_02738	Syar.g_02129
OG0000142	Syal.g_02636	Syar.g_02418
OG0000143	Syal.g_02632	Syar.g_02422
OG0000144	Syal.g_02515	Syar.g_02441
OG0000145	Syal.g_02921	Syar.g_01494
OG0000146	Syal.g_02001	Syar.g_02549
OG0000147	Syal.g_02002	Syar.g_02550
OG0000148	Syal.g_02437	Syar.g_02658
OG0000149	Syal.g_02475	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Syal.g_02737	Syar.g_02130
OG0000151	Syal.g_02263	Syar.g_02038
OG0000152	Syal.g_01991	Syar.g_02539
OG0000153	Syal.g_01958	Syar.g_03283, Syar.g_02503
OG0000154	Syal.g_01918	Syar.g_01800
OG0000155	Syal.g_01695	Syar.g_01959
OG0000156	Syal.g_01620	Syar.g_01517
OG0000157	Syal.g_01619	Syar.g_01516
OG0000158	Syal.g_01431	Syar.g_00650
OG0000159	Syal.g_01400	Syar.g_02359
OG0000160	Syal.g_00372	Syar.g_02807
OG0000161	Syal.g_00384	Syar.g_02801
OG0000162	Syal.g_00396	Syar.g_02863
OG0000163	Syal.g_02971	Syar.g_01186
OG0000164	Syal.g_00623	Syar.g_03168, Syar.g_02969
OG0000165	Syal.g_00632	Syar.g_02976
OG0000166	Syal.g_00236	Syar.g_01034
OG0000167	Syal.g_01347	Syar.g_00662
OG0000168	Syal.g_01433	Syar.g_00246
OG0000169	Syal.g_01447	Syar.g_00262
OG0000170	Syal.g_01454	Syar.g_00613
OG0000171	Syal.g_01518	Syar.g_00587
OG0000172	Syal.g_00174, Syal.g_00173	Syar.g_00547
OG0000173	Syal.g_00155	Syar.g_00528
OG0000174	Syal.g_01121	Syar.g_00701
OG0000175	Syal.g_01172	Syar.g_00438
OG0000176	Syal.g_00101	Syar.g_00474
OG0000177	Syal.g_00102	Syar.g_00475
OG0000178	Syal.g_00103	Syar.g_00476
OG0000179	Syal.g_00118	Syar.g_00489
OG0000180	Syal.g_00119	Syar.g_00490
OG0000181	Syal.g_00120	Syar.g_00491
OG0000182	Syal.g_00121	Syar.g_00492
OG0000183	Syal.g_00125	Syar.g_00496
OG0000184	Syal.g_02678, Syal.g_01050	Syar.g_00897
OG0000185	Syal.g_01025	Syar.g_00909
OG0000186	Syal.g_02684, Syal.g_00747	Syar.g_03036
OG0000187	Syal.g_02685, Syal.g_00748	Syar.g_03038
OG0000188	Syal.g_00771	Syar.g_03058
OG0000189	Syal.g_00807	Syar.g_03104
OG0000190	Syal.g_01364	Syar.g_03107, Syar.g_02374
OG0000191	Syal.g_00841	Syar.g_00039
OG0000192	Syal.g_00847	Syar.g_00046
OG0000193	Syal.g_00887	Syar.g_00079
OG0000194	Syal.g_00890	Syar.g_00082
OG0000195	Syal.g_00892	Syar.g_00023
OG0000196	Syal.g_00903	Syar.g_00096
OG0000197	Syal.g_00904	Syar.g_00097
OG0000198	Syal.g_00905	Syar.g_00098
OG0000199	Syal.g_00913	Syar.g_00106
OG0000200	Syal.g_00932	Syar.g_00124
OG0000201	Syal.g_00949	Syar.g_01000
OG0000202	Syal.g_00950	Syar.g_00021, Syar.g_00998
OG0000203	Syal.g_00951	Syar.g_00997, Syar.g_00020
OG0000204	Syal.g_00952	Syar.g_00996
OG0000205	Syal.g_00959	Syar.g_00988
OG0000206	Syal.g_00971	Syar.g_00963
OG0000207	Syal.g_00974	Syar.g_00957
OG0000208	Syal.g_00975	Syar.g_00956
OG0000209	Syal.g_01000	Syar.g_00936
OG0000210	Syal.g_01001	Syar.g_03260, Syar.g_00935
OG0000211	Syal.g_00688	Syar.g_03026
OG0000212	Syal.g_00679	Syar.g_03017
OG0000213	Syal.g_01229	Syar.g_00187
OG0000214	Syal.g_01246	Syar.g_00209
OG0000215	Syal.g_01277	Syar.g_00239
OG0000216	Syal.g_01281	Syar.g_00244
OG0000217	Syal.g_01285	Syar.g_00854
OG0000218	Syal.g_01287	Syar.g_00852
OG0000219	Syal.g_01288	Syar.g_00851
OG0000220	Syal.g_01289	Syar.g_00850, Syar.g_02026
OG0000221	Syal.g_01297	Syar.g_00834
OG0000222	Syal.g_01309	Syar.g_02119, Syar.g_00728
OG0000223	Syal.g_01327	Syar.g_00649
OG0000224	Syal.g_01329	Syar.g_00273, Syar.g_00762
OG0000225	Syal.g_00363	Syar.g_01142
OG0000226	Syal.g_00367	Syar.g_01146
OG0000227	Syal.g_00369	Syar.g_01148
OG0000228	Syal.g_00556	Syar.g_01161
OG0000229	Syal.g_00525	Syar.g_01177, Syar.g_03273
OG0000230	Syal.g_00523	Syar.g_03275, Syar.g_01179
OG0000231	Syal.g_00510	Syar.g_02865, Syar.g_03151
OG0000232	Syal.g_00495	Syar.g_01424
OG0000233	Syal.g_00487	Syar.g_01247
OG0000234	Syal.g_00461	Syar.g_01275
OG0000235	Syal.g_02896	Syar.g_01468
OG0000236	Syal.g_02912	Syar.g_01484, Syar.g_03311
OG0000237	Syal.g_02930	Syar.g_01503
OG0000238	Syal.g_02935	Syar.g_01508
OG0000239	Syal.g_02951	Syar.g_03277, Syar.g_02687
OG0000240	Syal.g_02952	Syar.g_02686, Syar.g_03278
OG0000241	Syal.g_02696	Syar.g_02410
OG0000242	Syal.g_02840	Syar.g_01926
OG0000243	Syal.g_02822	Syar.g_02335
OG0000244	Syal.g_02815	Syar.g_02327
OG0000245	Syal.g_02813	Syar.g_02325, Syar.g_03238
OG0000246	Syal.g_02809	Syar.g_02321
OG0000247	Syal.g_02797	Syar.g_02310
OG0000248	Syal.g_02794	Syar.g_02307, Syar.g_03293
OG0000249	Syal.g_02792	Syar.g_02305
OG0000250	Syal.g_02786	Syar.g_03194, Syar.g_02299
OG0000251	Syal.g_02760	Syar.g_02194
OG0000252	Syal.g_02757	Syar.g_02189
OG0000253	Syal.g_02755	Syar.g_03229, Syar.g_02028
OG0000254	Syal.g_02732	Syar.g_02169
OG0000255	Syal.g_02719	Syar.g_02224
OG0000256	Syal.g_02705	Syar.g_02244
OG0000257	Syal.g_02697	Syar.g_02407, Syar.g_01762
OG0000258	Syal.g_02623	Syar.g_00010, Syar.g_02427
OG0000259	Syal.g_02182	Syar.g_02472
OG0000260	Syal.g_02188	Syar.g_03220, Syar.g_02475
OG0000261	Syal.g_02199	Syar.g_01916
OG0000262	Syal.g_02204	Syar.g_01690
OG0000263	Syal.g_01720	Syar.g_01991
OG0000264	Syal.g_01788	Syar.g_02135
OG0000266	Syal.g_02421	Syar.g_01570
OG0000267	Syal.g_02043	Syar.g_01873
OG0000268	Syal.g_02042	Syar.g_02589
OG0000269	Syal.g_02409	Syar.g_02634
OG0000270	Syal.g_02412	Syar.g_00744, Syar.g_02637
OG0000271	Syal.g_01871	Syar.g_02645
OG0000272	Syal.g_01872	Syar.g_02646
OG0000273	Syal.g_02454	Syar.g_02481
OG0000274	Syal.g_02455	Syar.g_02482, Syar.g_00009
OG0000275	Syal.g_02458	Syar.g_01810
OG0000276	Syal.g_02467	Syar.g_01817
OG0000277	Syal.g_02468	Syar.g_03242, Syar.g_01818
OG0000278	Syal.g_02471	Syar.g_01821, Syar.g_03174
OG0000279	Syal.g_02479	Syar.g_01838
OG0000280	Syal.g_02493	Syar.g_02067, Syar.g_00734
OG0000281	Syal.g_02190	Syar.g_02218
OG0000282	Syal.g_02284	Syar.g_03255, Syar.g_01614
OG0000283	Syal.g_02131, Syal.g_02028	Syar.g_02574
OG0000284	Syal.g_02023	Syar.g_03258, Syar.g_02568
OG0000285	Syal.g_02012	Syar.g_02560
OG0000286	Syal.g_01992	Syar.g_02540
OG0000287	Syal.g_01965	Syar.g_02512
OG0000288	Syal.g_01919	Syar.g_01801
OG0000289	Syal.g_01904	Syar.g_01786
OG0000290	Syal.g_01826	Syar.g_01928
OG0000291	Syal.g_01824	Syar.g_01930
OG0000292	Syal.g_00089	Syar.g_00463
OG0000293	Syal.g_01631	Syar.g_01526, Syar.g_03297
OG0000294	Syal.g_01632	Syar.g_01527, Syar.g_03296
OG0000295	Syal.g_01687	Syar.g_01951, Syar.g_03208
OG0000296	Syal.g_01689	Syar.g_01953
OG0000297	Syal.g_01702	Syar.g_03216
OG0000298	Syal.g_01703	Syar.g_01968, Syar.g_03215
OG0000299	Syal.g_01732	Syar.g_01704
OG0000300	Syal.g_01738	Syar.g_01646, Syar.g_01711
OG0000301	Syal.g_01739	Syar.g_01712
OG0000302	Syal.g_01740	Syar.g_01713
OG0000303	Syal.g_01763	Syar.g_03136, Syar.g_01723
OG0000304	Syal.g_01756	Syar.g_01728
OG0000305	Syal.g_01821	Syar.g_01933, Syar.g_03163
OG0000306	Syal.g_02579	Syar.g_01884
OG0000307	Syal.g_02880	Syar.g_01452, Syar.g_03153
OG0000308	Syal.g_02878	Syar.g_01450
OG0000309	Syal.g_02873	Syar.g_01239
OG0000310	Syal.g_01537	Syar.g_02826
OG0000311	Syal.g_00061	Syar.g_02823
OG0000312	Syal.g_00031	Syar.g_00015, Syar.g_02818
OG0000313	Syal.g_00381	Syar.g_02804
OG0000314	Syal.g_00416	Syar.g_01403
OG0000315	Syal.g_00426	Syar.g_01393
OG0000316	Syal.g_02987	Syar.g_02885
OG0000317	Syal.g_00583	Syar.g_02926
OG0000318	Syal.g_00588	Syar.g_02930
OG0000319	Syal.g_00608	Syar.g_02954
OG0000320	Syal.g_00610	Syar.g_02956
OG0000321	Syal.g_00611	Syar.g_02957
OG0000322	Syal.g_00612	Syar.g_02958
OG0000323	Syal.g_00626	Syar.g_02973
OG0000324	Syal.g_00656	Syar.g_00350, Syar.g_03001
OG0000325	Syal.g_00195	Syar.g_03291, Syar.g_00148
OG0000326	Syal.g_00202	Syar.g_00139, Syar.g_03134
OG0000327	Syal.g_00230	Syar.g_01029
OG0000328	Syal.g_00231	Syar.g_01030
OG0000329	Syal.g_00249	Syar.g_03189, Syar.g_01048
OG0000330	Syal.g_00250	Syar.g_01049
OG0000331	Syal.g_00251	Syar.g_03191
OG0000332	Syal.g_00266	Syar.g_01064, Syar.g_03299
OG0000333	Syal.g_00269	Syar.g_01067
OG0000334	Syal.g_00279	Syar.g_01076
OG0000335	Syal.g_00284	Syar.g_01080
OG0000336	Syal.g_00288	Syar.g_01084
OG0000337	Syal.g_01343	Syar.g_00285
OG0000338	Syal.g_01345	Syar.g_03225, Syar.g_00287
OG0000339	Syal.g_01351	Syar.g_00658
OG0000340	Syal.g_01434	Syar.g_00247
OG0000341	Syal.g_01436	Syar.g_00249
OG0000342	Syal.g_01437	Syar.g_00250
OG0000343	Syal.g_01441	Syar.g_00256
OG0000344	Syal.g_01445	Syar.g_00260
OG0000345	Syal.g_01455	Syar.g_00612
OG0000346	Syal.g_01460	Syar.g_00607
OG0000347	Syal.g_01525	Syar.g_00558
OG0000348	Syal.g_00170	Syar.g_00544
OG0000349	Syal.g_00148	Syar.g_00521
OG0000350	Syal.g_00209	Syar.g_00132
OG0000351	Syal.g_01175	Syar.g_00442
OG0000352	Syal.g_01176	Syar.g_00443
OG0000353	Syal.g_00095	Syar.g_00469
OG0000354	Syal.g_02941	Syar.g_01514
OG0000354	Syal.g_00116	Syar.g_00487
OG0000355	Syal.g_00098	Syar.g_00471
OG0000356	Syal.g_00099	Syar.g_00472
OG0000357	Syal.g_00100	Syar.g_00473
OG0000358	Syal.g_00104	Syar.g_00477
OG0000359	Syal.g_00106	Syar.g_00479
OG0000360	Syal.g_00107	Syar.g_00480
OG0000361	Syal.g_00108	Syar.g_00481
OG0000362	Syal.g_00110	Syar.g_00483
OG0000363	Syal.g_00112	Syar.g_00484
OG0000364	Syal.g_00113	Syar.g_02928
OG0000365	Syal.g_00122	Syar.g_00493
OG0000366	Syal.g_00123	Syar.g_00494
OG0000367	Syal.g_00124	Syar.g_03262, Syar.g_00495
OG0000368	Syal.g_00126	Syar.g_00497
OG0000369	Syal.g_00127	Syar.g_00498
OG0000370	Syal.g_00128	Syar.g_00499
OG0000371	Syal.g_00135	Syar.g_00508
OG0000372	Syal.g_00141	Syar.g_00514
OG0000373	Syal.g_00142	Syar.g_00515
OG0000374	Syal.g_00143	Syar.g_00516
OG0000375	Syal.g_00144	Syar.g_00517
OG0000376	Syal.g_00146	Syar.g_00519
OG0000377	Syal.g_01061	Syar.g_00322
OG0000378	Syal.g_01027	Syar.g_00905
OG0000379	Syal.g_01024, Syal.g_02681	Syar.g_00910
OG0000380	Syal.g_00749	Syar.g_03039
OG0000381	Syal.g_00752	Syar.g_03041
OG0000382	Syal.g_00770	Syar.g_03057
OG0000383	Syal.g_00775	Syar.g_03074
OG0000384	Syal.g_00776	Syar.g_03075
OG0000385	Syal.g_00777	Syar.g_03076
OG0000386	Syal.g_00778	Syar.g_03077
OG0000387	Syal.g_00811	Syar.g_03109
OG0000388	Syal.g_00815	Syar.g_03148, Syar.g_03113
OG0000389	Syal.g_00819	Syar.g_03118
OG0000390	Syal.g_00835	Syar.g_00033
OG0000391	Syal.g_00840	Syar.g_00038
OG0000392	Syal.g_00846	Syar.g_00045
OG0000393	Syal.g_00849	Syar.g_00048
OG0000394	Syal.g_00850	Syar.g_00049
OG0000395	Syal.g_00851	Syar.g_00050
OG0000396	Syal.g_00854	Syar.g_00053
OG0000397	Syal.g_00857	Syar.g_00055
OG0000398	Syal.g_00862	Syar.g_00060
OG0000399	Syal.g_00863	Syar.g_00061
OG0000400	Syal.g_00864	Syar.g_00062
OG0000401	Syal.g_00865	Syar.g_00063
OG0000402	Syal.g_00867	Syar.g_00065
OG0000403	Syal.g_00868	Syar.g_00066
OG0000404	Syal.g_00870	Syar.g_00067
OG0000405	Syal.g_00883	Syar.g_00076
OG0000406	Syal.g_00888	Syar.g_00080
OG0000407	Syal.g_00889	Syar.g_00081
OG0000408	Syal.g_00891	Syar.g_00083
OG0000409	Syal.g_00893	Syar.g_00085
OG0000410	Syal.g_00894	Syar.g_00086
OG0000411	Syal.g_00895	Syar.g_00087
OG0000412	Syal.g_00896	Syar.g_00088
OG0000413	Syal.g_00898	Syar.g_00090
OG0000414	Syal.g_00899	Syar.g_00091, Syar.g_03179
OG0000415	Syal.g_00900	Syar.g_00092
OG0000416	Syal.g_00901	Syar.g_00093
OG0000417	Syal.g_00902	Syar.g_00095
OG0000418	Syal.g_00907	Syar.g_00100
OG0000419	Syal.g_00909	Syar.g_00102
OG0000420	Syal.g_00911	Syar.g_00104
OG0000421	Syal.g_00916	Syar.g_00109
OG0000422	Syal.g_00917	Syar.g_00110
OG0000423	Syal.g_00918	Syar.g_00111
OG0000424	Syal.g_00919	Syar.g_00112
OG0000425	Syal.g_00920	Syar.g_00113
OG0000426	Syal.g_00921	Syar.g_00114
OG0000427	Syal.g_00922	Syar.g_00115
OG0000428	Syal.g_00925	Syar.g_00118
OG0000429	Syal.g_00929	Syar.g_00121
OG0000430	Syal.g_00931	Syar.g_00123
OG0000431	Syal.g_00934	Syar.g_00127
OG0000432	Syal.g_00940	Syar.g_01009
OG0000433	Syal.g_00943	Syar.g_01007
OG0000434	Syal.g_00944	Syar.g_01006
OG0000435	Syal.g_00946	Syar.g_01003
OG0000436	Syal.g_00953	Syar.g_00994
OG0000437	Syal.g_00954	Syar.g_00993
OG0000438	Syal.g_00955	Syar.g_00992
OG0000439	Syal.g_00957	Syar.g_00990
OG0000440	Syal.g_00958	Syar.g_00989
OG0000441	Syal.g_00962	Syar.g_00986
OG0000442	Syal.g_00964	Syar.g_00977
OG0000443	Syal.g_00966	Syar.g_00964
OG0000444	Syal.g_00978	Syar.g_00954
OG0000445	Syal.g_00979	Syar.g_00953
OG0000446	Syal.g_00981	Syar.g_00951
OG0000447	Syal.g_00989	Syar.g_00948
OG0000448	Syal.g_00990	Syar.g_00947
OG0000449	Syal.g_00991	Syar.g_00946
OG0000450	Syal.g_00997	Syar.g_00939
OG0000451	Syal.g_00998	Syar.g_00938
OG0000452	Syal.g_01002	Syar.g_00934
OG0000453	Syal.g_01003	Syar.g_00933
OG0000454	Syal.g_01004	Syar.g_00932
OG0000455	Syal.g_01005	Syar.g_00931
OG0000456	Syal.g_01006	Syar.g_00930
OG0000457	Syal.g_01008	Syar.g_00928
OG0000458	Syal.g_01009	Syar.g_00918
OG0000459	Syal.g_01010	Syar.g_00917
OG0000460	Syal.g_00686	Syar.g_03024
OG0000461	Syal.g_01199	Syar.g_00153
OG0000462	Syal.g_01202	Syar.g_00155
OG0000463	Syal.g_01203	Syar.g_00156
OG0000464	Syal.g_01204	Syar.g_00157
OG0000465	Syal.g_01205	Syar.g_00159
OG0000466	Syal.g_01210	Syar.g_00164
OG0000467	Syal.g_01212	Syar.g_00165
OG0000468	Syal.g_01225	Syar.g_00170
OG0000469	Syal.g_01240	Syar.g_00203
OG0000470	Syal.g_01242	Syar.g_00206
OG0000471	Syal.g_01243	Syar.g_00207
OG0000472	Syal.g_01245	Syar.g_00208
OG0000473	Syal.g_01247	Syar.g_00210
OG0000474	Syal.g_01248	Syar.g_00211
OG0000475	Syal.g_01249	Syar.g_00212
OG0000476	Syal.g_01251	Syar.g_00214
OG0000477	Syal.g_01257	Syar.g_00219
OG0000478	Syal.g_01258	Syar.g_00220
OG0000479	Syal.g_01259	Syar.g_00221
OG0000480	Syal.g_01266	Syar.g_00228
OG0000481	Syal.g_01268	Syar.g_00230
OG0000482	Syal.g_01269	Syar.g_00231
OG0000483	Syal.g_01273	Syar.g_00235
OG0000484	Syal.g_01274	Syar.g_00236
OG0000485	Syal.g_01275	Syar.g_00237
OG0000486	Syal.g_01276	Syar.g_00238, Syar.g_00024
OG0000487	Syal.g_01282	Syar.g_00245
OG0000488	Syal.g_01286	Syar.g_00853
OG0000489	Syal.g_01298	Syar.g_00833
OG0000490	Syal.g_01307	Syar.g_00823
OG0000491	Syal.g_01308	Syar.g_00822
OG0000492	Syal.g_01310	Syar.g_00727
OG0000493	Syal.g_01311	Syar.g_00726
OG0000494	Syal.g_01312	Syar.g_00725
OG0000495	Syal.g_01313	Syar.g_00724
OG0000496	Syal.g_01314	Syar.g_00723
OG0000497	Syal.g_01315	Syar.g_00722
OG0000498	Syal.g_01316	Syar.g_00721
OG0000499	Syal.g_01317	Syar.g_00720
OG0000500	Syal.g_01318	Syar.g_00719
OG0000501	Syal.g_01321	Syar.g_00716
OG0000502	Syal.g_01328	Syar.g_00275
OG0000503	Syal.g_00347	Syar.g_01118
OG0000504	Syal.g_00349	Syar.g_01120
OG0000505	Syal.g_00350	Syar.g_01121
OG0000506	Syal.g_00352	Syar.g_01123
OG0000507	Syal.g_00358	Syar.g_01129
OG0000508	Syal.g_00362	Syar.g_01141
OG0000509	Syal.g_00364	Syar.g_01143
OG0000510	Syal.g_00365	Syar.g_01144
OG0000511	Syal.g_00366	Syar.g_01145
OG0000512	Syal.g_00368	Syar.g_01147
OG0000513	Syal.g_00551	Syar.g_01166
OG0000514	Syal.g_00539	Syar.g_01169
OG0000515	Syal.g_00538	Syar.g_01170
OG0000516	Syal.g_00534	Syar.g_01172
OG0000517	Syal.g_00526	Syar.g_01176
OG0000518	Syal.g_00514	Syar.g_02868
OG0000519	Syal.g_00513	Syar.g_02867
OG0000520	Syal.g_00512	Syar.g_02866
OG0000521	Syal.g_00502	Syar.g_01419
OG0000522	Syal.g_00500	Syar.g_01421
OG0000523	Syal.g_00499	Syar.g_01422
OG0000524	Syal.g_00491	Syar.g_01244
OG0000525	Syal.g_00473	Syar.g_01263
OG0000526	Syal.g_00471	Syar.g_01266
OG0000527	Syal.g_00465	Syar.g_01271
OG0000528	Syal.g_02893	Syar.g_01466
OG0000529	Syal.g_02898	Syar.g_01470
OG0000530	Syal.g_02901	Syar.g_01473
OG0000531	Syal.g_02902	Syar.g_01474
OG0000532	Syal.g_02905	Syar.g_01477
OG0000533	Syal.g_02907	Syar.g_01479
OG0000534	Syal.g_02908	Syar.g_01480
OG0000535	Syal.g_02909	Syar.g_01481
OG0000536	Syal.g_02910	Syar.g_01482
OG0000537	Syal.g_02911	Syar.g_01483
OG0000538	Syal.g_02923	Syar.g_01496
OG0000539	Syal.g_02924	Syar.g_01497
OG0000540	Syal.g_02925	Syar.g_01498
OG0000541	Syal.g_02926	Syar.g_01499
OG0000542	Syal.g_02929	Syar.g_01502
OG0000543	Syal.g_02931	Syar.g_01504
OG0000544	Syal.g_02932	Syar.g_01505
OG0000545	Syal.g_02934	Syar.g_01507
OG0000546	Syal.g_02936	Syar.g_01509
OG0000547	Syal.g_02938	Syar.g_01511
OG0000548	Syal.g_02939	Syar.g_01512
OG0000549	Syal.g_02945	Syar.g_02693
OG0000550	Syal.g_02949	Syar.g_02689
OG0000551	Syal.g_02953	Syar.g_02684
OG0000552	Syal.g_02954	Syar.g_02683
OG0000553	Syal.g_02843	Syar.g_02679
OG0000554	Syal.g_02837	Syar.g_02352
OG0000555	Syal.g_02823	Syar.g_02336
