Orthogroup	Syal	Prba
OG0000040	Syal.g_01187	Prba.g_00251
OG0000042	Syal.g_01705, Syal.g_01508	Prba.g_00775
OG0000043	Syal.g_02183	Prba.g_01427
OG0000043	Syal.g_02547	Prba.g_01138
OG0000044	Syal.g_01853	Prba.g_00002
OG0000047	Syal.g_01568	Prba.g_00913, Prba.g_00546
OG0000048	Syal.g_01250	Prba.g_00868
OG0000051	Syal.g_01550	Prba.g_01168
OG0000052	Syal.g_01338	Prba.g_00160
OG0000053	Syal.g_00406	Prba.g_00693
OG0000054	Syal.g_02739	Prba.g_01711
OG0000055	Syal.g_01845	Prba.g_01518
OG0000056	Syal.g_02054	Prba.g_01120
OG0000057	Syal.g_01812	Prba.g_01619
OG0000058	Syal.g_01326	Prba.g_00153
OG0000059	Syal.g_00225	Prba.g_00381, Prba.g_00127
OG0000061	Syal.g_01653	Prba.g_00064
OG0000062	Syal.g_02113	Prba.g_00310
OG0000063	Syal.g_00136	Prba.g_01826
OG0000065	Syal.g_00820, Syal.g_02528	Prba.g_01895
OG0000066	Syal.g_02828	Prba.g_00922
OG0000067	Syal.g_02414	Prba.g_01499
OG0000068	Syal.g_02888	Prba.g_00196
OG0000070	Syal.g_00509	Prba.g_01011
OG0000071	Syal.g_01601	Prba.g_01192
OG0000072	Syal.g_00914	Prba.g_00627
OG0000073	Syal.g_02920	Prba.g_00962
OG0000075	Syal.g_01350	Prba.g_01071
OG0000076	Syal.g_01459	Prba.g_00768
OG0000077	Syal.g_00763	Prba.g_01866
OG0000078	Syal.g_00680	Prba.g_00458
OG0000079	Syal.g_01213	Prba.g_00471
OG0000081	Syal.g_02555	Prba.g_00930
OG0000082	Syal.g_02769	Prba.g_01731
OG0000084	Syal.g_00023	Prba.g_00717
OG0000085	Syal.g_00575	Prba.g_00233
OG0000086	Syal.g_00784	Prba.g_01876
OG0000087	Syal.g_00871	Prba.g_01927
OG0000088	Syal.g_00908	Prba.g_00622
OG0000089	Syal.g_00555	Prba.g_00850
OG0000090	Syal.g_02838	Prba.g_00928
OG0000091	Syal.g_02628	Prba.g_01675
OG0000092	Syal.g_00470	Prba.g_01390, Prba.g_01057
OG0000094	Syal.g_01907	Prba.g_01283
OG0000097	Syal.g_01735, Syal.g_01553	Prba.g_00022
OG0000098	Syal.g_02196	Prba.g_00214
OG0000099	Syal.g_01323	Prba.g_00155
OG0000100	Syal.g_02448	Prba.g_00314
OG0000101	Syal.g_00275	Prba.g_00429
OG0000102	Syal.g_01488	Prba.g_00773
OG0000103	Syal.g_01897, Syal.g_00077	Prba.g_01781
OG0000104	Syal.g_00092	Prba.g_01789
OG0000105	Syal.g_01255	Prba.g_00491
OG0000106	Syal.g_02577	Prba.g_00864
OG0000107	Syal.g_00194	Prba.g_00880
OG0000108	Syal.g_02897	Prba.g_00981
OG0000109	Syal.g_02913	Prba.g_00967
OG0000110	Syal.g_02782	Prba.g_01741
OG0000111	Syal.g_01813	Prba.g_01618
OG0000112	Syal.g_02000	Prba.g_01534
OG0000113	Syal.g_02443	Prba.g_01477
OG0000114	Syal.g_02286	Prba.g_01395
OG0000115	Syal.g_00404	Prba.g_00743
OG0000116	Syal.g_01630	Prba.g_00074
OG0000117	Syal.g_01704	Prba.g_01135
OG0000118	Syal.g_01583	Prba.g_01204
OG0000119	Syal.g_02056	Prba.g_00200
OG0000120	Syal.g_01324	Prba.g_00175
OG0000121	Syal.g_00374	Prba.g_00711
OG0000122	Syal.g_02602	Prba.g_00348
OG0000123	Syal.g_00283	Prba.g_00436
OG0000124	Syal.g_01519	Prba.g_00784
OG0000125	Syal.g_01075	Prba.g_01089, Prba.g_00821
OG0000126	Syal.g_00090	Prba.g_01788
OG0000127	Syal.g_00720	Prba.g_01118
OG0000128	Syal.g_00109	Prba.g_01804
OG0000129	Syal.g_01062	Prba.g_01838
OG0000130	Syal.g_00751	Prba.g_01857
OG0000131	Syal.g_00886	Prba.g_01933
OG0000132	Syal.g_00906	Prba.g_01952
OG0000133	Syal.g_01995	Prba.g_00538
OG0000134	Syal.g_00552	Prba.g_00851
OG0000135	Syal.g_01119	Prba.g_00877
OG0000136	Syal.g_00520	Prba.g_01020
OG0000137	Syal.g_00463	Prba.g_00986
OG0000138	Syal.g_02914	Prba.g_00966
OG0000139	Syal.g_02832	Prba.g_00924
OG0000140	Syal.g_02830	Prba.g_00923
OG0000141	Syal.g_02738	Prba.g_01710
OG0000142	Syal.g_02636	Prba.g_01682
OG0000143	Syal.g_02632	Prba.g_01678
OG0000144	Syal.g_02515	Prba.g_01665
OG0000145	Syal.g_02921	Prba.g_01541
OG0000146	Syal.g_02001	Prba.g_01533
OG0000147	Syal.g_02002	Prba.g_01532
OG0000148	Syal.g_02437	Prba.g_01483
OG0000149	Syal.g_02475	Prba.g_01452
OG0000150	Syal.g_02737	Prba.g_01444
OG0000151	Syal.g_02263	Prba.g_01385
OG0000152	Syal.g_01991	Prba.g_01337
OG0000153	Syal.g_01958	Prba.g_01318
OG0000154	Syal.g_01918	Prba.g_01290
OG0000155	Syal.g_01695	Prba.g_00043
OG0000156	Syal.g_01620	Prba.g_01181
OG0000157	Syal.g_01619	Prba.g_01182
OG0000158	Syal.g_01431	Prba.g_00154
OG0000160	Syal.g_00372	Prba.g_00712
OG0000161	Syal.g_00384	Prba.g_00706
OG0000162	Syal.g_00396	Prba.g_00700
OG0000163	Syal.g_02971	Prba.g_00341
OG0000164	Syal.g_00623	Prba.g_00596
OG0000165	Syal.g_00632	Prba.g_00589
OG0000166	Syal.g_00236	Prba.g_00393
OG0000167	Syal.g_01347	Prba.g_01069
OG0000168	Syal.g_01433	Prba.g_01079
OG0000169	Syal.g_01447	Prba.g_00761
OG0000170	Syal.g_01454	Prba.g_00763
OG0000171	Syal.g_01518	Prba.g_00783
OG0000172	Syal.g_00174, Syal.g_00173	Prba.g_00792
OG0000173	Syal.g_00155	Prba.g_00807
OG0000174	Syal.g_01121	Prba.g_00835
OG0000175	Syal.g_01172	Prba.g_00845
OG0000176	Syal.g_00101	Prba.g_01797
OG0000177	Syal.g_00102	Prba.g_01798
OG0000178	Syal.g_00103	Prba.g_01799
OG0000179	Syal.g_00118	Prba.g_01809
OG0000180	Syal.g_00119	Prba.g_01810
OG0000181	Syal.g_00120	Prba.g_01811
OG0000182	Syal.g_00121	Prba.g_01812
OG0000183	Syal.g_00125	Prba.g_01816
OG0000184	Syal.g_01050	Prba.g_01840
OG0000185	Syal.g_01025	Prba.g_01843
OG0000186	Syal.g_02684, Syal.g_00747	Prba.g_01852
OG0000187	Syal.g_02685, Syal.g_00748	Prba.g_01853
OG0000188	Syal.g_00771	Prba.g_01870
OG0000189	Syal.g_00807	Prba.g_01884
OG0000190	Syal.g_01364	Prba.g_01885
OG0000191	Syal.g_00841	Prba.g_01905
OG0000192	Syal.g_00847	Prba.g_01909
OG0000193	Syal.g_00887	Prba.g_01934
OG0000194	Syal.g_00890	Prba.g_01937
OG0000195	Syal.g_00892	Prba.g_01939
OG0000196	Syal.g_00903	Prba.g_01949
OG0000197	Syal.g_00904	Prba.g_01950
OG0000198	Syal.g_00905	Prba.g_01951
OG0000199	Syal.g_00913	Prba.g_00626
OG0000200	Syal.g_00932	Prba.g_00640
OG0000201	Syal.g_00949	Prba.g_00648
OG0000202	Syal.g_00950	Prba.g_00649
OG0000203	Syal.g_00951	Prba.g_00650
OG0000204	Syal.g_00952	Prba.g_00651
OG0000205	Syal.g_00959	Prba.g_00658
OG0000206	Syal.g_00971	Prba.g_00663
OG0000207	Syal.g_00974	Prba.g_00665
OG0000208	Syal.g_00975	Prba.g_00666
OG0000209	Syal.g_01000	Prba.g_00675
OG0000210	Syal.g_01001	Prba.g_00439
OG0000212	Syal.g_00679	Prba.g_00459
OG0000213	Syal.g_01229	Prba.g_00476
OG0000214	Syal.g_01246	Prba.g_00485
OG0000215	Syal.g_01277	Prba.g_00509
OG0000216	Syal.g_01281	Prba.g_00510
OG0000217	Syal.g_01285	Prba.g_00513
OG0000218	Syal.g_01287	Prba.g_00515
OG0000219	Syal.g_01288	Prba.g_00516
OG0000220	Syal.g_01289	Prba.g_00517
OG0000221	Syal.g_01297	Prba.g_00518
OG0000222	Syal.g_01309	Prba.g_00526
OG0000223	Syal.g_01327	Prba.g_00539
OG0000224	Syal.g_01329	Prba.g_00541
OG0000225	Syal.g_00363	Prba.g_00562
OG0000226	Syal.g_00367	Prba.g_00221
OG0000227	Syal.g_00369	Prba.g_00223
OG0000228	Syal.g_00556	Prba.g_00849
OG0000229	Syal.g_00525	Prba.g_01025
OG0000230	Syal.g_00523	Prba.g_01023
OG0000231	Syal.g_00510	Prba.g_01012
OG0000232	Syal.g_00495	Prba.g_01003
OG0000233	Syal.g_00487	Prba.g_00998
OG0000234	Syal.g_00461	Prba.g_00985
OG0000235	Syal.g_02896	Prba.g_00982
OG0000236	Syal.g_02912	Prba.g_00968
OG0000237	Syal.g_02930	Prba.g_00955
OG0000238	Syal.g_02935	Prba.g_00949
OG0000239	Syal.g_02951	Prba.g_00936
OG0000240	Syal.g_02952	Prba.g_00935
OG0000241	Syal.g_02696	Prba.g_00931
OG0000242	Syal.g_02840	Prba.g_00929
OG0000243	Syal.g_02822	Prba.g_01772
OG0000244	Syal.g_02815	Prba.g_01769
OG0000245	Syal.g_02813	Prba.g_01767
OG0000246	Syal.g_02809	Prba.g_01763
OG0000247	Syal.g_02797	Prba.g_01753
OG0000248	Syal.g_02794	Prba.g_01751
OG0000249	Syal.g_02792	Prba.g_01749
OG0000250	Syal.g_02786	Prba.g_01744
OG0000251	Syal.g_02760	Prba.g_01726
OG0000252	Syal.g_02757	Prba.g_01723
OG0000253	Syal.g_02755	Prba.g_01722
OG0000254	Syal.g_02732	Prba.g_01706
OG0000255	Syal.g_02719	Prba.g_01700
OG0000256	Syal.g_02705	Prba.g_01690
OG0000257	Syal.g_02697	Prba.g_01687
OG0000258	Syal.g_02623	Prba.g_01674
OG0000259	Syal.g_02182	Prba.g_01657
OG0000260	Syal.g_02188	Prba.g_01654
OG0000261	Syal.g_02199	Prba.g_01652
OG0000262	Syal.g_02204	Prba.g_01648
OG0000263	Syal.g_01720	Prba.g_01636
OG0000264	Syal.g_01788	Prba.g_01626
OG0000265	Syal.g_02534	Prba.g_01594
OG0000266	Syal.g_02421	Prba.g_01584
OG0000267	Syal.g_02043	Prba.g_01573
OG0000268	Syal.g_02042	Prba.g_01572
OG0000269	Syal.g_02409	Prba.g_01504
OG0000270	Syal.g_02412	Prba.g_01501
OG0000271	Syal.g_01871	Prba.g_01493
OG0000272	Syal.g_01872	Prba.g_01492
OG0000274	Syal.g_02455	Prba.g_01468
OG0000275	Syal.g_02458	Prba.g_01465
OG0000276	Syal.g_02467	Prba.g_01460
OG0000277	Syal.g_02468	Prba.g_01459
OG0000278	Syal.g_02471	Prba.g_01456
OG0000279	Syal.g_02479	Prba.g_01449
OG0000280	Syal.g_02493	Prba.g_01448
OG0000281	Syal.g_02190	Prba.g_01443
OG0000282	Syal.g_02284	Prba.g_01393
OG0000283	Syal.g_02028	Prba.g_01360
OG0000284	Syal.g_02023	Prba.g_01355
OG0000285	Syal.g_02012	Prba.g_01350
OG0000286	Syal.g_01992	Prba.g_01338
OG0000288	Syal.g_01919	Prba.g_01291
OG0000289	Syal.g_01904	Prba.g_01280
OG0000290	Syal.g_01826	Prba.g_01267
OG0000291	Syal.g_01824	Prba.g_01265
OG0000292	Syal.g_00089	Prba.g_01216
OG0000293	Syal.g_01631	Prba.g_00073
OG0000294	Syal.g_01632	Prba.g_00072
OG0000295	Syal.g_01687	Prba.g_00051
OG0000296	Syal.g_01689	Prba.g_00049
OG0000297	Syal.g_01702	Prba.g_00041
OG0000298	Syal.g_01703	Prba.g_00040
OG0000299	Syal.g_01732	Prba.g_00023
OG0000300	Syal.g_01738	Prba.g_00020
OG0000301	Syal.g_01739	Prba.g_00019
OG0000302	Syal.g_01740	Prba.g_00017
OG0000303	Syal.g_01763	Prba.g_00010
OG0000304	Syal.g_01756	Prba.g_00006
OG0000305	Syal.g_01821	Prba.g_00204
OG0000306	Syal.g_02579	Prba.g_00201
OG0000307	Syal.g_02880	Prba.g_00187
OG0000308	Syal.g_02878	Prba.g_00186
OG0000309	Syal.g_02873	Prba.g_00182
OG0000310	Syal.g_01537	Prba.g_00112
OG0000311	Syal.g_00061	Prba.g_00110
OG0000312	Syal.g_00031	Prba.g_00107
OG0000313	Syal.g_00381	Prba.g_00709
OG0000314	Syal.g_00416	Prba.g_00686
OG0000315	Syal.g_00426	Prba.g_00351, Prba.g_00676
OG0000316	Syal.g_02987	Prba.g_00331
OG0000317	Syal.g_00583	Prba.g_00228
OG0000318	Syal.g_00588	Prba.g_00619
OG0000319	Syal.g_00608	Prba.g_00606
OG0000320	Syal.g_00610	Prba.g_00604
OG0000321	Syal.g_00611	Prba.g_00603
OG0000322	Syal.g_00612	Prba.g_00602
OG0000323	Syal.g_00626	Prba.g_00593
OG0000324	Syal.g_00656	Prba.g_00567
OG0000325	Syal.g_00195	Prba.g_00358
OG0000326	Syal.g_00202	Prba.g_00364
OG0000327	Syal.g_00230	Prba.g_00388
OG0000328	Syal.g_00231	Prba.g_00389
OG0000329	Syal.g_00249	Prba.g_00406
OG0000330	Syal.g_00250	Prba.g_00407
OG0000331	Syal.g_00251	Prba.g_00408
OG0000332	Syal.g_00266	Prba.g_00422
OG0000333	Syal.g_00269	Prba.g_00424
OG0000334	Syal.g_00279	Prba.g_00432
OG0000335	Syal.g_00284	Prba.g_00437
OG0000336	Syal.g_00288	Prba.g_01050
OG0000337	Syal.g_01343	Prba.g_01067
OG0000338	Syal.g_01345	Prba.g_01068
OG0000339	Syal.g_01351	Prba.g_01072
OG0000340	Syal.g_01434	Prba.g_00752
OG0000341	Syal.g_01436	Prba.g_00754
OG0000342	Syal.g_01437	Prba.g_00755
OG0000343	Syal.g_01441	Prba.g_00756
OG0000344	Syal.g_01445	Prba.g_00759
OG0000345	Syal.g_01455	Prba.g_00764
OG0000346	Syal.g_01460	Prba.g_00769
OG0000347	Syal.g_01525	Prba.g_00785
OG0000348	Syal.g_00170	Prba.g_00795
OG0000349	Syal.g_00148	Prba.g_00812
OG0000350	Syal.g_00209	Prba.g_00831
OG0000351	Syal.g_01175	Prba.g_00848, Prba.g_01776
OG0000352	Syal.g_01176	Prba.g_01777
OG0000353	Syal.g_00095	Prba.g_01792
OG0000355	Syal.g_00098	Prba.g_01794
OG0000356	Syal.g_00099	Prba.g_01795
OG0000357	Syal.g_00100	Prba.g_01796
OG0000358	Syal.g_00104	Prba.g_01800
OG0000359	Syal.g_00106	Prba.g_01801
OG0000360	Syal.g_00107	Prba.g_01802
OG0000361	Syal.g_00108	Prba.g_01803
OG0000362	Syal.g_00110	Prba.g_01805
OG0000363	Syal.g_00112	Prba.g_01807
OG0000364	Syal.g_00113	Prba.g_01808
OG0000365	Syal.g_00122	Prba.g_01813
OG0000366	Syal.g_00123	Prba.g_01814
OG0000367	Syal.g_00124	Prba.g_01815
OG0000368	Syal.g_00126	Prba.g_01817
OG0000369	Syal.g_00127	Prba.g_01818
OG0000370	Syal.g_00128	Prba.g_01819
OG0000371	Syal.g_00135	Prba.g_01825
OG0000372	Syal.g_00141	Prba.g_01828
OG0000373	Syal.g_00142	Prba.g_01829
OG0000374	Syal.g_00143	Prba.g_01830
OG0000375	Syal.g_00144	Prba.g_01834
OG0000376	Syal.g_00146	Prba.g_01836
OG0000377	Syal.g_01061	Prba.g_01839
OG0000378	Syal.g_01027	Prba.g_01841
OG0000379	Syal.g_01024	Prba.g_01844
OG0000380	Syal.g_00749	Prba.g_01854
OG0000381	Syal.g_00752	Prba.g_01858
OG0000382	Syal.g_00770	Prba.g_01869
OG0000383	Syal.g_00775	Prba.g_01871
OG0000384	Syal.g_00776	Prba.g_01872
OG0000385	Syal.g_00777	Prba.g_01873
OG0000386	Syal.g_00778	Prba.g_01874
OG0000387	Syal.g_00811	Prba.g_01887
OG0000388	Syal.g_00815	Prba.g_01890
OG0000389	Syal.g_00819	Prba.g_01894
OG0000390	Syal.g_00835	Prba.g_01901
OG0000391	Syal.g_00840	Prba.g_01904
OG0000392	Syal.g_00846	Prba.g_01908
OG0000393	Syal.g_00849	Prba.g_01910
OG0000394	Syal.g_00850	Prba.g_01911
OG0000395	Syal.g_00851	Prba.g_01912
OG0000396	Syal.g_00854	Prba.g_01915
OG0000397	Syal.g_00857	Prba.g_01917
OG0000398	Syal.g_00862	Prba.g_01919
OG0000399	Syal.g_00863	Prba.g_01920
OG0000400	Syal.g_00864	Prba.g_01921
OG0000401	Syal.g_00865	Prba.g_01922
OG0000402	Syal.g_00867	Prba.g_01924
OG0000403	Syal.g_00868	Prba.g_01925
OG0000404	Syal.g_00870	Prba.g_01926
OG0000405	Syal.g_00883	Prba.g_01930
OG0000406	Syal.g_00888	Prba.g_01935
OG0000407	Syal.g_00889	Prba.g_01936
OG0000408	Syal.g_00891	Prba.g_01938
OG0000409	Syal.g_00893	Prba.g_01940
OG0000410	Syal.g_00894	Prba.g_01941
OG0000411	Syal.g_00895	Prba.g_01942
OG0000412	Syal.g_00896	Prba.g_01943
OG0000413	Syal.g_00898	Prba.g_01944
OG0000414	Syal.g_00899	Prba.g_01945
OG0000415	Syal.g_00900	Prba.g_01946
OG0000416	Syal.g_00901	Prba.g_01947
OG0000417	Syal.g_00902	Prba.g_01948
OG0000418	Syal.g_00907	Prba.g_01953
OG0000419	Syal.g_00909	Prba.g_00623
OG0000420	Syal.g_00911	Prba.g_00624
OG0000421	Syal.g_00916	Prba.g_00629
OG0000422	Syal.g_00917	Prba.g_00630
OG0000423	Syal.g_00918	Prba.g_00631
OG0000424	Syal.g_00919	Prba.g_00632
OG0000425	Syal.g_00920	Prba.g_00633
OG0000426	Syal.g_00921	Prba.g_00634
OG0000427	Syal.g_00922	Prba.g_00635
OG0000428	Syal.g_00925	Prba.g_00637
OG0000429	Syal.g_00929	Prba.g_00638
OG0000430	Syal.g_00931	Prba.g_00639
OG0000431	Syal.g_00934	Prba.g_00641
OG0000432	Syal.g_00940	Prba.g_00644
OG0000433	Syal.g_00943	Prba.g_00645
OG0000434	Syal.g_00944	Prba.g_00646
OG0000435	Syal.g_00946	Prba.g_00647
OG0000436	Syal.g_00953	Prba.g_00652
OG0000437	Syal.g_00954	Prba.g_00653
OG0000438	Syal.g_00955	Prba.g_00654
OG0000439	Syal.g_00957	Prba.g_00656
OG0000440	Syal.g_00958	Prba.g_00657
OG0000441	Syal.g_00962	Prba.g_00660
OG0000442	Syal.g_00964	Prba.g_00661
OG0000443	Syal.g_00966	Prba.g_00662
OG0000444	Syal.g_00978	Prba.g_00667
OG0000445	Syal.g_00979	Prba.g_00668
OG0000446	Syal.g_00981	Prba.g_00669
OG0000447	Syal.g_00989	Prba.g_00670
OG0000448	Syal.g_00990	Prba.g_00671
OG0000449	Syal.g_00991	Prba.g_00672
OG0000450	Syal.g_00997	Prba.g_00673
OG0000451	Syal.g_00998	Prba.g_00674
OG0000452	Syal.g_01002	Prba.g_00440
OG0000453	Syal.g_01003	Prba.g_00441
OG0000454	Syal.g_01004	Prba.g_00442
OG0000455	Syal.g_01005	Prba.g_00443
OG0000456	Syal.g_01006	Prba.g_00444
OG0000457	Syal.g_01008	Prba.g_00445
OG0000458	Syal.g_01009	Prba.g_00446
OG0000459	Syal.g_01010	Prba.g_00447
OG0000460	Syal.g_00686	Prba.g_00454
OG0000461	Syal.g_01199	Prba.g_00461
OG0000462	Syal.g_01202	Prba.g_00463
OG0000463	Syal.g_01203	Prba.g_00464
OG0000464	Syal.g_01204	Prba.g_00465
OG0000465	Syal.g_01205	Prba.g_00466
OG0000466	Syal.g_01210	Prba.g_00469
OG0000467	Syal.g_01212	Prba.g_00470
OG0000468	Syal.g_01225	Prba.g_00472
OG0000469	Syal.g_01240	Prba.g_00480
OG0000470	Syal.g_01242	Prba.g_00482
OG0000471	Syal.g_01243	Prba.g_00483
OG0000472	Syal.g_01245	Prba.g_00484
OG0000473	Syal.g_01247	Prba.g_00486
OG0000474	Syal.g_01248	Prba.g_00487
OG0000475	Syal.g_01249	Prba.g_00488
OG0000476	Syal.g_01251	Prba.g_00489
OG0000477	Syal.g_01257	Prba.g_00492
OG0000478	Syal.g_01258	Prba.g_00493
OG0000479	Syal.g_01259	Prba.g_00494
OG0000480	Syal.g_01266	Prba.g_00499
OG0000481	Syal.g_01268	Prba.g_00501
OG0000482	Syal.g_01269	Prba.g_00502
OG0000483	Syal.g_01273	Prba.g_00505
OG0000484	Syal.g_01274	Prba.g_00506
OG0000485	Syal.g_01275	Prba.g_00507
OG0000486	Syal.g_01276	Prba.g_00508
OG0000487	Syal.g_01282	Prba.g_00511
OG0000488	Syal.g_01286	Prba.g_00514
OG0000489	Syal.g_01298	Prba.g_00519
OG0000490	Syal.g_01307	Prba.g_00524
OG0000491	Syal.g_01308	Prba.g_00525
OG0000492	Syal.g_01310	Prba.g_00527
OG0000493	Syal.g_01311	Prba.g_00528
OG0000494	Syal.g_01312	Prba.g_00529
OG0000495	Syal.g_01313	Prba.g_00530
OG0000496	Syal.g_01314	Prba.g_00531
OG0000497	Syal.g_01315	Prba.g_00532
OG0000498	Syal.g_01316	Prba.g_00533
OG0000499	Syal.g_01317	Prba.g_00534
OG0000500	Syal.g_01318	Prba.g_00535
OG0000501	Syal.g_01321	Prba.g_00537
OG0000502	Syal.g_01328	Prba.g_00540
OG0000503	Syal.g_00347	Prba.g_00550
OG0000504	Syal.g_00349	Prba.g_00551
OG0000505	Syal.g_00350	Prba.g_00552
OG0000506	Syal.g_00352	Prba.g_00554
OG0000507	Syal.g_00358	Prba.g_00557
OG0000508	Syal.g_00362	Prba.g_00561
OG0000509	Syal.g_00364	Prba.g_00218
OG0000510	Syal.g_00365	Prba.g_00219
OG0000511	Syal.g_00366	Prba.g_00220
OG0000512	Syal.g_00368	Prba.g_00222
OG0000513	Syal.g_00551	Prba.g_00852
OG0000514	Syal.g_00539	Prba.g_01030
OG0000515	Syal.g_00538	Prba.g_01029
OG0000516	Syal.g_00534	Prba.g_01028
OG0000517	Syal.g_00526	Prba.g_01026
OG0000518	Syal.g_00514	Prba.g_01015
OG0000519	Syal.g_00513	Prba.g_01014
OG0000520	Syal.g_00512	Prba.g_01013
OG0000521	Syal.g_00502	Prba.g_01008
OG0000522	Syal.g_00500	Prba.g_01006
OG0000523	Syal.g_00499	Prba.g_01005
OG0000524	Syal.g_00491	Prba.g_01000
OG0000525	Syal.g_00473	Prba.g_00997
OG0000526	Syal.g_00471	Prba.g_00996
OG0000527	Syal.g_00465	Prba.g_00988
OG0000528	Syal.g_02893	Prba.g_00983
OG0000529	Syal.g_02898	Prba.g_00980
OG0000530	Syal.g_02901	Prba.g_00977
OG0000531	Syal.g_02902	Prba.g_00976
OG0000532	Syal.g_02905	Prba.g_00974
OG0000533	Syal.g_02907	Prba.g_00973
OG0000534	Syal.g_02908	Prba.g_00972
OG0000535	Syal.g_02909	Prba.g_00971
OG0000536	Syal.g_02910	Prba.g_00970
OG0000537	Syal.g_02911	Prba.g_00969
OG0000538	Syal.g_02923	Prba.g_00961
OG0000539	Syal.g_02924	Prba.g_00960
OG0000540	Syal.g_02925	Prba.g_00959
OG0000541	Syal.g_02926	Prba.g_00958
OG0000542	Syal.g_02929	Prba.g_00956
OG0000543	Syal.g_02931	Prba.g_00954
OG0000544	Syal.g_02932	Prba.g_00953
OG0000545	Syal.g_02934	Prba.g_00951
OG0000546	Syal.g_02936	Prba.g_00948
OG0000547	Syal.g_02938	Prba.g_00946
OG0000548	Syal.g_02939	Prba.g_00945
OG0000549	Syal.g_02945	Prba.g_00943
OG0000550	Syal.g_02949	Prba.g_00938
OG0000551	Syal.g_02953	Prba.g_00934
OG0000552	Syal.g_02954	Prba.g_00933
OG0000553	Syal.g_02843	Prba.g_00932
OG0000554	Syal.g_02837	Prba.g_00927
OG0000555	Syal.g_02823	Prba.g_01773
OG0000556	Syal.g_02819	Prba.g_01771
OG0000557	Syal.g_02816	Prba.g_01770
OG0000558	Syal.g_02814	Prba.g_01768
OG0000559	Syal.g_02305, Syal.g_02810	Prba.g_01764
OG0000560	Syal.g_02807	Prba.g_01761
OG0000561	Syal.g_02806	Prba.g_01760
OG0000562	Syal.g_02805	Prba.g_01759
OG0000563	Syal.g_02804	Prba.g_01758
OG0000564	Syal.g_02803	Prba.g_01757
OG0000565	Syal.g_02799	Prba.g_01754
OG0000566	Syal.g_02795	Prba.g_01752
OG0000567	Syal.g_02791	Prba.g_01748
OG0000568	Syal.g_02789	Prba.g_01747
OG0000569	Syal.g_02788	Prba.g_01746
OG0000570	Syal.g_02787	Prba.g_01745
OG0000571	Syal.g_02784	Prba.g_01743
OG0000572	Syal.g_02767	Prba.g_01730
OG0000573	Syal.g_02759	Prba.g_01725
OG0000574	Syal.g_02758	Prba.g_01724
OG0000575	Syal.g_02753	Prba.g_01720
OG0000576	Syal.g_02751	Prba.g_01718
OG0000577	Syal.g_02750	Prba.g_01717
OG0000578	Syal.g_02749	Prba.g_01716
OG0000579	Syal.g_02748	Prba.g_01715
OG0000580	Syal.g_02747	Prba.g_01714
OG0000581	Syal.g_02741	Prba.g_01712
OG0000582	Syal.g_02736	Prba.g_01709
OG0000583	Syal.g_02735	Prba.g_01708
OG0000584	Syal.g_02734	Prba.g_01707
OG0000585	Syal.g_02731	Prba.g_01705
OG0000586	Syal.g_02730	Prba.g_01704
OG0000587	Syal.g_02728	Prba.g_01703
