Orthogroup	Syal	Prak
OG0000039	Syal.g_01097	Prak.g_00814
OG0000041	Syal.g_00649	Prak.g_01692
OG0000042	Syal.g_01705, Syal.g_01508	Prak.g_01850
OG0000043	Syal.g_02183	Prak.g_01193
OG0000046	Syal.g_00309, Syal.g_00316, Syal.g_00321	Prak.g_00344
OG0000047	Syal.g_01568	Prak.g_00385
OG0000048	Syal.g_01250	Prak.g_01264, Prak.g_00289
OG0000052	Syal.g_01338	Prak.g_01369
OG0000053	Syal.g_00406	Prak.g_01590, Prak.g_01412
OG0000054	Syal.g_02739	Prak.g_00568
OG0000055	Syal.g_01845	Prak.g_01221
OG0000057	Syal.g_01812	Prak.g_00829
OG0000058	Syal.g_01326	Prak.g_01351
OG0000059	Syal.g_00225	Prak.g_01732
OG0000061	Syal.g_01653	Prak.g_01172
OG0000062	Syal.g_00567, Syal.g_02113	Prak.g_01476
OG0000063	Syal.g_00136	Prak.g_01530
OG0000064	Syal.g_01115, Syal.g_02544, Syal.g_01681, Syal.g_01545	Prak.g_00072
OG0000065	Syal.g_00820, Syal.g_02528	Prak.g_00113
OG0000066	Syal.g_02828	Prak.g_00498, Prak.g_01557
OG0000067	Syal.g_02414	Prak.g_00845
OG0000068	Syal.g_02888	Prak.g_01329
OG0000070	Syal.g_00509	Prak.g_00412
OG0000071	Syal.g_01601	Prak.g_01277
OG0000072	Syal.g_00914	Prak.g_00183
OG0000073	Syal.g_02920	Prak.g_00461
OG0000075	Syal.g_01350	Prak.g_01816
OG0000076	Syal.g_01459	Prak.g_01842
OG0000077	Syal.g_00763	Prak.g_00083
OG0000078	Syal.g_00680	Prak.g_00256
OG0000079	Syal.g_01213	Prak.g_00269
OG0000080	Syal.g_01394	Prak.g_01363, Prak.g_01365
OG0000081	Syal.g_02555	Prak.g_00490
OG0000082	Syal.g_02769	Prak.g_00546, Prak.g_01634
OG0000084	Syal.g_00023	Prak.g_01388
OG0000085	Syal.g_00575	Prak.g_01637, Prak.g_01516
OG0000086	Syal.g_00784	Prak.g_00092
OG0000087	Syal.g_00871	Prak.g_00147
OG0000088	Syal.g_00908	Prak.g_00178
OG0000089	Syal.g_00555	Prak.g_00379
OG0000090	Syal.g_02838	Prak.g_00492
OG0000091	Syal.g_02628	Prak.g_01100
OG0000092	Syal.g_00470	Prak.g_00775
OG0000097	Syal.g_01735, Syal.g_01553	Prak.g_01126
OG0000098	Syal.g_02196	Prak.g_01305
OG0000099	Syal.g_01323	Prak.g_01352
OG0000100	Syal.g_02448	Prak.g_01470
OG0000101	Syal.g_00275	Prak.g_01780
OG0000102	Syal.g_01488	Prak.g_01847
OG0000103	Syal.g_01897, Syal.g_00077	Prak.g_01932
OG0000104	Syal.g_00092	Prak.g_01941
OG0000105	Syal.g_01255	Prak.g_00292
OG0000106	Syal.g_02577	Prak.g_00687
OG0000107	Syal.g_00194	Prak.g_01709
OG0000108	Syal.g_02897	Prak.g_00441
OG0000109	Syal.g_02913	Prak.g_00455
OG0000110	Syal.g_02782	Prak.g_00535
OG0000111	Syal.g_01813	Prak.g_00830
OG0000112	Syal.g_02000	Prak.g_00608
OG0000113	Syal.g_02443	Prak.g_00868
OG0000114	Syal.g_02286	Prak.g_00770
OG0000115	Syal.g_00404	Prak.g_01241
OG0000116	Syal.g_01630	Prak.g_01183
OG0000117	Syal.g_01704	Prak.g_01145
OG0000118	Syal.g_01583	Prak.g_01290
OG0000119	Syal.g_02056	Prak.g_01226, Prak.g_01488
OG0000120	Syal.g_01324	Prak.g_01349
OG0000121	Syal.g_00374	Prak.g_01393
OG0000122	Syal.g_02602	Prak.g_01248, Prak.g_01434
OG0000123	Syal.g_00283	Prak.g_01787
OG0000124	Syal.g_01519	Prak.g_01859
OG0000125	Syal.g_01075	Prak.g_01895
OG0000126	Syal.g_00090	Prak.g_01940
OG0000128	Syal.g_00109	Prak.g_00011
OG0000129	Syal.g_01062	Prak.g_00045
OG0000130	Syal.g_00751	Prak.g_00074
OG0000131	Syal.g_00886	Prak.g_00156
OG0000132	Syal.g_00906	Prak.g_00176
OG0000133	Syal.g_01995	Prak.g_00339
OG0000134	Syal.g_00552	Prak.g_00381
OG0000135	Syal.g_01119	Prak.g_01259
OG0000136	Syal.g_00520	Prak.g_00403
OG0000137	Syal.g_00463	Prak.g_00436
OG0000138	Syal.g_02914	Prak.g_00456
OG0000139	Syal.g_02832	Prak.g_00496
OG0000140	Syal.g_02830	Prak.g_00497
OG0000141	Syal.g_02738	Prak.g_00569
OG0000142	Syal.g_02636	Prak.g_01108
OG0000143	Syal.g_02632	Prak.g_01104
OG0000144	Syal.g_02515	Prak.g_01090
OG0000145	Syal.g_02921	Prak.g_01261
OG0000146	Syal.g_02001	Prak.g_00607
OG0000147	Syal.g_02002	Prak.g_00606
OG0000148	Syal.g_02437	Prak.g_00862
OG0000149	Syal.g_02475	Prak.g_00894
OG0000150	Syal.g_02737	Prak.g_00904
OG0000151	Syal.g_02263	Prak.g_00780
OG0000152	Syal.g_01991	Prak.g_00973
OG0000153	Syal.g_01958	Prak.g_00992
OG0000154	Syal.g_01918	Prak.g_01012
OG0000155	Syal.g_01695	Prak.g_01151
OG0000156	Syal.g_01620	Prak.g_01266
OG0000157	Syal.g_01619	Prak.g_01267
OG0000158	Syal.g_01431	Prak.g_01824
OG0000160	Syal.g_00372	Prak.g_01392
OG0000161	Syal.g_00384	Prak.g_01398
OG0000162	Syal.g_00396	Prak.g_01404
OG0000163	Syal.g_02971	Prak.g_01443
OG0000164	Syal.g_00623	Prak.g_01669
OG0000165	Syal.g_00632	Prak.g_01676
OG0000166	Syal.g_00236	Prak.g_01743
OG0000167	Syal.g_01347	Prak.g_01814
OG0000168	Syal.g_01433	Prak.g_01825
OG0000169	Syal.g_01447	Prak.g_01835
OG0000170	Syal.g_01454	Prak.g_01838
OG0000171	Syal.g_01518	Prak.g_01858
OG0000172	Syal.g_00174, Syal.g_00173	Prak.g_01865
OG0000173	Syal.g_00155	Prak.g_01880
OG0000174	Syal.g_01121	Prak.g_01910
OG0000175	Syal.g_01172	Prak.g_01923
OG0000176	Syal.g_00101	Prak.g_00004
OG0000177	Syal.g_00102	Prak.g_00005
OG0000178	Syal.g_00103	Prak.g_00006
OG0000179	Syal.g_00118	Prak.g_00016
OG0000180	Syal.g_00119	Prak.g_00017
OG0000181	Syal.g_00120	Prak.g_00018
OG0000182	Syal.g_00121	Prak.g_00019
OG0000183	Syal.g_00125	Prak.g_00023
OG0000184	Syal.g_01050	Prak.g_00049
OG0000185	Syal.g_01025	Prak.g_00052
OG0000186	Syal.g_02684, Syal.g_00747	Prak.g_00068
OG0000187	Syal.g_02685, Syal.g_00748	Prak.g_00069
OG0000188	Syal.g_00771	Prak.g_00086
OG0000189	Syal.g_00807	Prak.g_00100
OG0000190	Syal.g_01364	Prak.g_00102
OG0000191	Syal.g_00841	Prak.g_00125
OG0000192	Syal.g_00847	Prak.g_00130
OG0000193	Syal.g_00887	Prak.g_00157
OG0000194	Syal.g_00890	Prak.g_00160
OG0000195	Syal.g_00892	Prak.g_00162
OG0000196	Syal.g_00903	Prak.g_00173
OG0000197	Syal.g_00904	Prak.g_00174
OG0000198	Syal.g_00905	Prak.g_00175
OG0000199	Syal.g_00913	Prak.g_00182
OG0000200	Syal.g_00932	Prak.g_00196
OG0000201	Syal.g_00949	Prak.g_00205
OG0000202	Syal.g_00950	Prak.g_00206
OG0000203	Syal.g_00951	Prak.g_00207
OG0000204	Syal.g_00952	Prak.g_00208
OG0000205	Syal.g_00959	Prak.g_00215
OG0000206	Syal.g_00971	Prak.g_00220
OG0000207	Syal.g_00974	Prak.g_00223
OG0000208	Syal.g_00975	Prak.g_00224
OG0000209	Syal.g_01000	Prak.g_00233
OG0000210	Syal.g_01001	Prak.g_00234
OG0000211	Syal.g_00688	Prak.g_00249
OG0000212	Syal.g_00679	Prak.g_00257
OG0000213	Syal.g_01229	Prak.g_00275
OG0000214	Syal.g_01246	Prak.g_00285
OG0000215	Syal.g_01277	Prak.g_00312
OG0000216	Syal.g_01281	Prak.g_00313
OG0000217	Syal.g_01285	Prak.g_00316
OG0000218	Syal.g_01287	Prak.g_00318
OG0000219	Syal.g_01288	Prak.g_00319
OG0000220	Syal.g_01289	Prak.g_00320
OG0000221	Syal.g_01297	Prak.g_00321
OG0000222	Syal.g_01309	Prak.g_00328
OG0000223	Syal.g_01327	Prak.g_00340
OG0000224	Syal.g_01329	Prak.g_00342
OG0000225	Syal.g_00363	Prak.g_00368
OG0000226	Syal.g_00367	Prak.g_00372
OG0000227	Syal.g_00369	Prak.g_00374
OG0000228	Syal.g_00556	Prak.g_00378
OG0000229	Syal.g_00525	Prak.g_00398
OG0000230	Syal.g_00523	Prak.g_00400
OG0000231	Syal.g_00510	Prak.g_00411
OG0000232	Syal.g_00495	Prak.g_00422
OG0000233	Syal.g_00487	Prak.g_00428
OG0000234	Syal.g_00461	Prak.g_00437
OG0000235	Syal.g_02896	Prak.g_00440
OG0000236	Syal.g_02912	Prak.g_00454
OG0000237	Syal.g_02930	Prak.g_00467
OG0000238	Syal.g_02935	Prak.g_00473
OG0000239	Syal.g_02951	Prak.g_00484
OG0000240	Syal.g_02952	Prak.g_00485
OG0000241	Syal.g_02696	Prak.g_00489
OG0000242	Syal.g_02840	Prak.g_00491
OG0000243	Syal.g_02822	Prak.g_00502
OG0000244	Syal.g_02815	Prak.g_00506
OG0000245	Syal.g_02813	Prak.g_00508
OG0000246	Syal.g_02809	Prak.g_00512
OG0000247	Syal.g_02797	Prak.g_00522
OG0000248	Syal.g_02794	Prak.g_00525
OG0000249	Syal.g_02792	Prak.g_00527
OG0000250	Syal.g_02786	Prak.g_00532
OG0000251	Syal.g_02760	Prak.g_00552
OG0000252	Syal.g_02757	Prak.g_00555
OG0000253	Syal.g_02755	Prak.g_00556
OG0000254	Syal.g_02732	Prak.g_00573
OG0000255	Syal.g_02719	Prak.g_00579
OG0000256	Syal.g_02705	Prak.g_00589
OG0000257	Syal.g_02697	Prak.g_01113
OG0000258	Syal.g_02623	Prak.g_01099
OG0000259	Syal.g_02182	Prak.g_01082
OG0000260	Syal.g_02188	Prak.g_01079
OG0000261	Syal.g_02199	Prak.g_01076
OG0000262	Syal.g_02204	Prak.g_01072
OG0000263	Syal.g_01720	Prak.g_00808
OG0000264	Syal.g_01788	Prak.g_00819
OG0000265	Syal.g_02534	Prak.g_00837
OG0000266	Syal.g_02421	Prak.g_01053
OG0000267	Syal.g_02043	Prak.g_01041
OG0000268	Syal.g_02042	Prak.g_01040
OG0000269	Syal.g_02409	Prak.g_00840
OG0000270	Syal.g_02412	Prak.g_00843
OG0000271	Syal.g_01871	Prak.g_00851
OG0000272	Syal.g_01872	Prak.g_00852
OG0000274	Syal.g_02455	Prak.g_00877
OG0000275	Syal.g_02458	Prak.g_00880
OG0000276	Syal.g_02467	Prak.g_00886
OG0000277	Syal.g_02468	Prak.g_00887
OG0000278	Syal.g_02471	Prak.g_00890
OG0000279	Syal.g_02479	Prak.g_00897
OG0000280	Syal.g_02493	Prak.g_00898
OG0000281	Syal.g_02190	Prak.g_00905
OG0000282	Syal.g_02284	Prak.g_00772
OG0000283	Syal.g_02028	Prak.g_00949
OG0000284	Syal.g_02023	Prak.g_00954
OG0000285	Syal.g_02012	Prak.g_00959
OG0000286	Syal.g_01992	Prak.g_00972
OG0000287	Syal.g_01965	Prak.g_01238
OG0000288	Syal.g_01919	Prak.g_01011
OG0000289	Syal.g_01904	Prak.g_01027
OG0000290	Syal.g_01826	Prak.g_00923
OG0000291	Syal.g_01824	Prak.g_00921
OG0000292	Syal.g_00089	Prak.g_01217
OG0000293	Syal.g_01631	Prak.g_01182
OG0000294	Syal.g_01632	Prak.g_01181
OG0000295	Syal.g_01687	Prak.g_01158
OG0000296	Syal.g_01689	Prak.g_01156
OG0000297	Syal.g_01702	Prak.g_01147
OG0000298	Syal.g_01703	Prak.g_01146
OG0000299	Syal.g_01732	Prak.g_01127
OG0000300	Syal.g_01738	Prak.g_01124
OG0000301	Syal.g_01739	Prak.g_01123
OG0000302	Syal.g_01740	Prak.g_01121
OG0000303	Syal.g_01763	Prak.g_01115
OG0000304	Syal.g_01756	Prak.g_00594
OG0000305	Syal.g_01821	Prak.g_01215
OG0000306	Syal.g_02579	Prak.g_00909
OG0000307	Syal.g_02880	Prak.g_01338
OG0000308	Syal.g_02878	Prak.g_01339
OG0000309	Syal.g_02873	Prak.g_01343
OG0000310	Syal.g_01537	Prak.g_01377
OG0000311	Syal.g_00061	Prak.g_01379
OG0000312	Syal.g_00031	Prak.g_01382
OG0000313	Syal.g_00381	Prak.g_01395
OG0000314	Syal.g_00416	Prak.g_01418
OG0000315	Syal.g_00426	Prak.g_01428
OG0000316	Syal.g_02987	Prak.g_01453
OG0000317	Syal.g_00583	Prak.g_01642
OG0000318	Syal.g_00588	Prak.g_01646
OG0000319	Syal.g_00608	Prak.g_01659
OG0000320	Syal.g_00610	Prak.g_01661
OG0000321	Syal.g_00611	Prak.g_01662
OG0000322	Syal.g_00612	Prak.g_01663
OG0000323	Syal.g_00626	Prak.g_01672
OG0000324	Syal.g_00656	Prak.g_01699
OG0000325	Syal.g_00195	Prak.g_01710
OG0000326	Syal.g_00202	Prak.g_01717
OG0000327	Syal.g_00230	Prak.g_01738
OG0000328	Syal.g_00231	Prak.g_01739
OG0000329	Syal.g_00249	Prak.g_01756
OG0000330	Syal.g_00250	Prak.g_01757
OG0000331	Syal.g_00251	Prak.g_01758
OG0000332	Syal.g_00266	Prak.g_01772
OG0000333	Syal.g_00269	Prak.g_01774
OG0000334	Syal.g_00279	Prak.g_01783
OG0000335	Syal.g_00284	Prak.g_01788
OG0000336	Syal.g_00288	Prak.g_01792
OG0000337	Syal.g_01343	Prak.g_01810
OG0000338	Syal.g_01345	Prak.g_01811
OG0000339	Syal.g_01351	Prak.g_01817
OG0000340	Syal.g_01434	Prak.g_01826
OG0000341	Syal.g_01436	Prak.g_01828
OG0000342	Syal.g_01437	Prak.g_01829
OG0000343	Syal.g_01441	Prak.g_01830
OG0000344	Syal.g_01445	Prak.g_01833
OG0000345	Syal.g_01455	Prak.g_01839
OG0000346	Syal.g_01460	Prak.g_01843
OG0000347	Syal.g_01525	Prak.g_01860
OG0000348	Syal.g_00170	Prak.g_01868
OG0000349	Syal.g_00148	Prak.g_01886
OG0000350	Syal.g_00209	Prak.g_00656
OG0000351	Syal.g_01175	Prak.g_01926
OG0000352	Syal.g_01176	Prak.g_01927
OG0000353	Syal.g_00095	Prak.g_01944
OG0000355	Syal.g_00098	Prak.g_00001
OG0000356	Syal.g_00099	Prak.g_00002
OG0000357	Syal.g_00100	Prak.g_00003
OG0000358	Syal.g_00104	Prak.g_00007
OG0000359	Syal.g_00106	Prak.g_00008
OG0000360	Syal.g_00107	Prak.g_00009
OG0000361	Syal.g_00108	Prak.g_00010
OG0000362	Syal.g_00110	Prak.g_00012
OG0000363	Syal.g_00112	Prak.g_00014
OG0000364	Syal.g_00113	Prak.g_00015
OG0000365	Syal.g_00122	Prak.g_00020
OG0000366	Syal.g_00123	Prak.g_00021
OG0000367	Syal.g_00124	Prak.g_00022
OG0000368	Syal.g_00126	Prak.g_00024
OG0000369	Syal.g_00127	Prak.g_00025
OG0000370	Syal.g_00128	Prak.g_00026
OG0000371	Syal.g_00135	Prak.g_00033
OG0000372	Syal.g_00141	Prak.g_00036
OG0000373	Syal.g_00142	Prak.g_00037
OG0000374	Syal.g_00143	Prak.g_00038
OG0000375	Syal.g_00144	Prak.g_00040
OG0000376	Syal.g_00146	Prak.g_00042
OG0000377	Syal.g_01061	Prak.g_00046
OG0000378	Syal.g_01027	Prak.g_00050
OG0000379	Syal.g_01024	Prak.g_00053
OG0000380	Syal.g_00749	Prak.g_00070
OG0000381	Syal.g_00752	Prak.g_00075
OG0000382	Syal.g_00770	Prak.g_00085
OG0000383	Syal.g_00775	Prak.g_00087
OG0000384	Syal.g_00776	Prak.g_00088
OG0000385	Syal.g_00777	Prak.g_00089
OG0000386	Syal.g_00778	Prak.g_00090
OG0000387	Syal.g_00811	Prak.g_00104
OG0000388	Syal.g_00815	Prak.g_00108
OG0000389	Syal.g_00819	Prak.g_00111
OG0000390	Syal.g_00835	Prak.g_00121
OG0000391	Syal.g_00840	Prak.g_00124
OG0000392	Syal.g_00846	Prak.g_00128
OG0000393	Syal.g_00849	Prak.g_00131
OG0000394	Syal.g_00850	Prak.g_00132
OG0000395	Syal.g_00851	Prak.g_00133
OG0000396	Syal.g_00854	Prak.g_00135
OG0000397	Syal.g_00857	Prak.g_00137
OG0000398	Syal.g_00862	Prak.g_00140
OG0000399	Syal.g_00863	Prak.g_00141
OG0000400	Syal.g_00864	Prak.g_00142
OG0000401	Syal.g_00865	Prak.g_00143
OG0000402	Syal.g_00867	Prak.g_01035
OG0000403	Syal.g_00868	Prak.g_00145
OG0000404	Syal.g_00870	Prak.g_00146
OG0000405	Syal.g_00883	Prak.g_00150
OG0000406	Syal.g_00888	Prak.g_00158
OG0000407	Syal.g_00889	Prak.g_00159
OG0000408	Syal.g_00891	Prak.g_00161
OG0000409	Syal.g_00893	Prak.g_00163
OG0000410	Syal.g_00894	Prak.g_00164
OG0000411	Syal.g_00895	Prak.g_00165
OG0000412	Syal.g_00896	Prak.g_00166
OG0000413	Syal.g_00898	Prak.g_00168
OG0000414	Syal.g_00899	Prak.g_00169
OG0000415	Syal.g_00900	Prak.g_00170
OG0000416	Syal.g_00901	Prak.g_00171
OG0000417	Syal.g_00902	Prak.g_00172
OG0000418	Syal.g_00907	Prak.g_00177
OG0000419	Syal.g_00909	Prak.g_00179
OG0000420	Syal.g_00911	Prak.g_00180
OG0000421	Syal.g_00916	Prak.g_00185
OG0000422	Syal.g_00917	Prak.g_00186
OG0000423	Syal.g_00918	Prak.g_00187
OG0000424	Syal.g_00919	Prak.g_00188
OG0000425	Syal.g_00920	Prak.g_00189
OG0000426	Syal.g_00921	Prak.g_00190
OG0000427	Syal.g_00922	Prak.g_00191
OG0000428	Syal.g_00925	Prak.g_00193
OG0000429	Syal.g_00929	Prak.g_00194
OG0000430	Syal.g_00931	Prak.g_00195
OG0000431	Syal.g_00934	Prak.g_00197
OG0000432	Syal.g_00940	Prak.g_00201
OG0000433	Syal.g_00943	Prak.g_00202
OG0000434	Syal.g_00944	Prak.g_00203
OG0000435	Syal.g_00946	Prak.g_00204
OG0000436	Syal.g_00953	Prak.g_00209
OG0000437	Syal.g_00954	Prak.g_00210
OG0000438	Syal.g_00955	Prak.g_00211
OG0000439	Syal.g_00957	Prak.g_00213
OG0000440	Syal.g_00958	Prak.g_00214
OG0000441	Syal.g_00962	Prak.g_00217
OG0000442	Syal.g_00964	Prak.g_00218
OG0000443	Syal.g_00966	Prak.g_00219
OG0000444	Syal.g_00978	Prak.g_00225
OG0000445	Syal.g_00979	Prak.g_00226
OG0000446	Syal.g_00981	Prak.g_00227
OG0000447	Syal.g_00989	Prak.g_00228
OG0000448	Syal.g_00990	Prak.g_00229
OG0000449	Syal.g_00991	Prak.g_00230
OG0000450	Syal.g_00997	Prak.g_00231
OG0000451	Syal.g_00998	Prak.g_00232
OG0000452	Syal.g_01002	Prak.g_00235
OG0000453	Syal.g_01003	Prak.g_00236
OG0000454	Syal.g_01004	Prak.g_00237
OG0000455	Syal.g_01005	Prak.g_00238
OG0000456	Syal.g_01006	Prak.g_00239
OG0000457	Syal.g_01008	Prak.g_00241
OG0000458	Syal.g_01009	Prak.g_00242
OG0000459	Syal.g_01010	Prak.g_00243
OG0000460	Syal.g_00686	Prak.g_00251
OG0000461	Syal.g_01199	Prak.g_00259
OG0000462	Syal.g_01202	Prak.g_00261
OG0000463	Syal.g_01203	Prak.g_00262
OG0000464	Syal.g_01204	Prak.g_00263
OG0000465	Syal.g_01205	Prak.g_00264
OG0000466	Syal.g_01210	Prak.g_00267
OG0000467	Syal.g_01212	Prak.g_00268
OG0000468	Syal.g_01225	Prak.g_00271
OG0000469	Syal.g_01240	Prak.g_00279
OG0000470	Syal.g_01242	Prak.g_00281
OG0000471	Syal.g_01243	Prak.g_00282
OG0000472	Syal.g_01245	Prak.g_00284
OG0000473	Syal.g_01247	Prak.g_00286
OG0000474	Syal.g_01248	Prak.g_00287
OG0000475	Syal.g_01249	Prak.g_00288
OG0000476	Syal.g_01251	Prak.g_00290
OG0000477	Syal.g_01257	Prak.g_00293
OG0000478	Syal.g_01258	Prak.g_00294
OG0000479	Syal.g_01259	Prak.g_00295
OG0000480	Syal.g_01266	Prak.g_00300
OG0000481	Syal.g_01268	Prak.g_00303
OG0000482	Syal.g_01269	Prak.g_00304
OG0000483	Syal.g_01273	Prak.g_00307
OG0000484	Syal.g_01274	Prak.g_00308
OG0000485	Syal.g_01275	Prak.g_00310
OG0000486	Syal.g_01276	Prak.g_00311
OG0000487	Syal.g_01282	Prak.g_00314
OG0000488	Syal.g_01286	Prak.g_00317
OG0000489	Syal.g_01298	Prak.g_00322
OG0000490	Syal.g_01307	Prak.g_00326
OG0000491	Syal.g_01308	Prak.g_00327
OG0000492	Syal.g_01310	Prak.g_00329
OG0000493	Syal.g_01311	Prak.g_00330
OG0000494	Syal.g_01312	Prak.g_00331
OG0000495	Syal.g_01313	Prak.g_00332
OG0000496	Syal.g_01314	Prak.g_00333
OG0000497	Syal.g_01315	Prak.g_00334
OG0000498	Syal.g_01316	Prak.g_00335
OG0000499	Syal.g_01317	Prak.g_00336
OG0000500	Syal.g_01318	Prak.g_00337
OG0000501	Syal.g_01321	Prak.g_00338
OG0000502	Syal.g_01328	Prak.g_00341
OG0000503	Syal.g_00347	Prak.g_00356
OG0000504	Syal.g_00349	Prak.g_00358
OG0000505	Syal.g_00350	Prak.g_00359
OG0000506	Syal.g_00352	Prak.g_00360
OG0000507	Syal.g_00358	Prak.g_00363
OG0000508	Syal.g_00362	Prak.g_00367
OG0000509	Syal.g_00364	Prak.g_00369
OG0000510	Syal.g_00365	Prak.g_00370
OG0000511	Syal.g_00366	Prak.g_00371
OG0000512	Syal.g_00368	Prak.g_00373
OG0000513	Syal.g_00551	Prak.g_00382
OG0000514	Syal.g_00539	Prak.g_00393
OG0000515	Syal.g_00538	Prak.g_00394
OG0000516	Syal.g_00534	Prak.g_00395
OG0000517	Syal.g_00526	Prak.g_00397
OG0000518	Syal.g_00514	Prak.g_00408
OG0000519	Syal.g_00513	Prak.g_00409
OG0000520	Syal.g_00512	Prak.g_00410
OG0000521	Syal.g_00502	Prak.g_00418
OG0000522	Syal.g_00500	Prak.g_00420
OG0000523	Syal.g_00499	Prak.g_00421
OG0000524	Syal.g_00491	Prak.g_00426
OG0000525	Syal.g_00473	Prak.g_00430
OG0000526	Syal.g_00471	Prak.g_00431
OG0000527	Syal.g_00465	Prak.g_00434
OG0000528	Syal.g_02893	Prak.g_00439
OG0000529	Syal.g_02898	Prak.g_00442
OG0000530	Syal.g_02901	Prak.g_00445
OG0000531	Syal.g_02902	Prak.g_00446
OG0000532	Syal.g_02905	Prak.g_00448
OG0000533	Syal.g_02907	Prak.g_00449
OG0000534	Syal.g_02908	Prak.g_00450
OG0000535	Syal.g_02909	Prak.g_00451
OG0000536	Syal.g_02910	Prak.g_00452
OG0000537	Syal.g_02911	Prak.g_00453
OG0000538	Syal.g_02923	Prak.g_00462
OG0000539	Syal.g_02924	Prak.g_00463
OG0000540	Syal.g_02925	Prak.g_00464
OG0000541	Syal.g_02926	Prak.g_00465
OG0000542	Syal.g_02929	Prak.g_00466
OG0000543	Syal.g_02931	Prak.g_00468
OG0000544	Syal.g_02932	Prak.g_00469
OG0000545	Syal.g_02934	Prak.g_00471
OG0000546	Syal.g_02936	Prak.g_00474
OG0000547	Syal.g_02938	Prak.g_00476
OG0000548	Syal.g_02939	Prak.g_00477
OG0000549	Syal.g_02945	Prak.g_00479
OG0000550	Syal.g_02949	Prak.g_00483
OG0000551	Syal.g_02953	Prak.g_00486
OG0000552	Syal.g_02954	Prak.g_00487
OG0000553	Syal.g_02843	Prak.g_00488
OG0000554	Syal.g_02837	Prak.g_00493
OG0000555	Syal.g_02823	Prak.g_00501
OG0000556	Syal.g_02819	Prak.g_00503
OG0000557	Syal.g_02816	Prak.g_00504
OG0000558	Syal.g_02814	Prak.g_00507
OG0000559	Syal.g_02305, Syal.g_02810	Prak.g_00511
OG0000560	Syal.g_02807	Prak.g_00514
OG0000561	Syal.g_02806	Prak.g_00515
OG0000562	Syal.g_02805	Prak.g_00516
OG0000563	Syal.g_02804	Prak.g_00517
OG0000564	Syal.g_02803	Prak.g_00518
OG0000565	Syal.g_02799	Prak.g_00520
OG0000566	Syal.g_02795	Prak.g_00524
OG0000567	Syal.g_02791	Prak.g_00528
OG0000568	Syal.g_02789	Prak.g_00529
OG0000569	Syal.g_02788	Prak.g_00530
OG0000570	Syal.g_02787	Prak.g_00531
OG0000571	Syal.g_02784	Prak.g_00533
OG0000572	Syal.g_02767	Prak.g_00547
OG0000573	Syal.g_02759	Prak.g_00553
OG0000574	Syal.g_02758	Prak.g_00554
OG0000575	Syal.g_02753	Prak.g_00558
OG0000576	Syal.g_02751	Prak.g_00560
OG0000577	Syal.g_02750	Prak.g_00561
OG0000578	Syal.g_02749	Prak.g_00562
OG0000579	Syal.g_02748	Prak.g_00563
OG0000580	Syal.g_02747	Prak.g_00564
OG0000581	Syal.g_02741	Prak.g_00567
OG0000582	Syal.g_02736	Prak.g_00570
OG0000583	Syal.g_02735	Prak.g_00571
OG0000584	Syal.g_02734	Prak.g_00572
OG0000585	Syal.g_02731	Prak.g_00574
OG0000586	Syal.g_02730	Prak.g_00575
