Orthogroup	Syal	Syap
OG0000183	Syal.g_00125	Syap.g_00084
OG0000184	Syal.g_02678, Syal.g_01050	Syap.g_01337
OG0000185	Syal.g_01025	Syap.g_01322
OG0000186	Syal.g_02684, Syal.g_00747	Syap.g_01684
OG0000187	Syal.g_02685, Syal.g_00748	Syap.g_01686
OG0000188	Syal.g_00771	Syap.g_02547
OG0000191	Syal.g_00841	Syap.g_02233
OG0000192	Syal.g_00847	Syap.g_02224
OG0000193	Syal.g_00887	Syap.g_02187, Syap.g_02188
OG0000194	Syal.g_00890	Syap.g_02183
OG0000196	Syal.g_00903	Syap.g_01208, Syap.g_02167
OG0000197	Syal.g_00904	Syap.g_01207, Syap.g_02166
OG0000198	Syal.g_00905	Syap.g_01206
OG0000199	Syal.g_00913	Syap.g_01197
OG0000200	Syal.g_00932	Syap.g_01181
OG0000201	Syal.g_00949	Syap.g_02265
OG0000202	Syal.g_00950	Syap.g_02264
OG0000203	Syal.g_00951	Syap.g_01601
OG0000204	Syal.g_00952	Syap.g_01602
OG0000205	Syal.g_00959	Syap.g_01616
OG0000206	Syal.g_00971	Syap.g_01628
OG0000207	Syal.g_00974	Syap.g_01426, Syap.g_00424
OG0000208	Syal.g_00975	Syap.g_00426, Syap.g_01425
OG0000209	Syal.g_01000	Syap.g_01906
OG0000210	Syal.g_01001	Syap.g_01905
OG0000211	Syal.g_00688	Syap.g_01160
OG0000212	Syal.g_00679	Syap.g_02664
OG0000213	Syal.g_01229	Syap.g_00107, Syap.g_01599
OG0000214	Syal.g_01246	Syap.g_02344, Syap.g_02345
OG0000215	Syal.g_01277	Syap.g_01347, Syap.g_01629
OG0000216	Syal.g_01281	Syap.g_01634
OG0000217	Syal.g_01285	Syap.g_01638
OG0000218	Syal.g_01287	Syap.g_01641, Syap.g_01640
OG0000219	Syal.g_01288	Syap.g_01642, Syap.g_01643
OG0000220	Syal.g_01289	Syap.g_01645
OG0000221	Syal.g_01297	Syap.g_01646
OG0000222	Syal.g_01309	Syap.g_01669
OG0000223	Syal.g_01327	Syap.g_02072, Syap.g_02073
OG0000224	Syal.g_01329	Syap.g_02064
OG0000225	Syal.g_00363	Syap.g_00553, Syap.g_00552
OG0000226	Syal.g_00367	Syap.g_02029, Syap.g_02144
OG0000227	Syal.g_00369	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Syal.g_00556	Syap.g_00116, Syap.g_02041
OG0000229	Syal.g_00525	Syap.g_02059
OG0000230	Syal.g_00523	Syap.g_02061
OG0000231	Syal.g_00510	Syap.g_02533
OG0000232	Syal.g_00495	Syap.g_02510, Syap.g_02511
OG0000233	Syal.g_00487	Syap.g_02133
OG0000234	Syal.g_00461	Syap.g_02755
OG0000235	Syal.g_02896	Syap.g_00732, Syap.g_02258
OG0000236	Syal.g_02912	Syap.g_02238
OG0000237	Syal.g_02930	Syap.g_00262, Syap.g_00263
OG0000238	Syal.g_02935	Syap.g_00257, Syap.g_00258
OG0000239	Syal.g_02951	Syap.g_02744
OG0000240	Syal.g_02952	Syap.g_02742
OG0000241	Syal.g_02696	Syap.g_00888
OG0000242	Syal.g_02840	Syap.g_01455
OG0000243	Syal.g_02822	Syap.g_01938
OG0000244	Syal.g_02815	Syap.g_01146, Syap.g_01145
OG0000245	Syal.g_02813	Syap.g_01148
OG0000246	Syal.g_02809	Syap.g_00308
OG0000247	Syal.g_02797	Syap.g_00288, Syap.g_00293
OG0000248	Syal.g_02794	Syap.g_00290
OG0000249	Syal.g_02792	Syap.g_01296, Syap.g_01295
OG0000250	Syal.g_02786	Syap.g_01306
OG0000251	Syal.g_02760	Syap.g_00442
OG0000252	Syal.g_02757	Syap.g_01857
OG0000253	Syal.g_02755	Syap.g_00443
OG0000254	Syal.g_02732	Syap.g_01527, Syap.g_01528
OG0000256	Syal.g_02705	Syap.g_01287
OG0000257	Syal.g_02697	Syap.g_00886
OG0000258	Syal.g_02623	Syap.g_00907
OG0000260	Syal.g_02188	Syap.g_01970
OG0000261	Syal.g_02199	Syap.g_01962, Syap.g_01961
OG0000262	Syal.g_02204	Syap.g_01954
OG0000263	Syal.g_01720	Syap.g_00432, Syap.g_00433
OG0000266	Syal.g_02421	Syap.g_00519
OG0000267	Syal.g_02043	Syap.g_02333, Syap.g_02332
OG0000268	Syal.g_02042	Syap.g_00646
OG0000269	Syal.g_02409	Syap.g_00188
OG0000270	Syal.g_02412	Syap.g_00192
OG0000271	Syal.g_01871	Syap.g_00200, Syap.g_00201
OG0000272	Syal.g_01872	Syap.g_00202
OG0000273	Syal.g_02454	Syap.g_02703
OG0000274	Syal.g_02455	Syap.g_02702
OG0000275	Syal.g_02458	Syap.g_01847
OG0000276	Syal.g_02467	Syap.g_01838, Syap.g_01839
OG0000277	Syal.g_02468	Syap.g_01837
OG0000278	Syal.g_02471	Syap.g_01834
OG0000279	Syal.g_02479	Syap.g_00829, Syap.g_00830
OG0000280	Syal.g_02493	Syap.g_00365
OG0000281	Syal.g_02190	Syap.g_01977
OG0000282	Syal.g_02284	Syap.g_01252
OG0000283	Syal.g_02131, Syal.g_02028	Syap.g_01728
OG0000284	Syal.g_02023	Syap.g_01736
OG0000285	Syal.g_02012	Syap.g_01746, Syap.g_01744
OG0000286	Syal.g_01992	Syap.g_02014, Syap.g_02013
OG0000288	Syal.g_01919	Syap.g_02764, Syap.g_02763
OG0000289	Syal.g_01904	Syap.g_02784
OG0000290	Syal.g_01826	Syap.g_01552
OG0000292	Syal.g_00089	Syap.g_02314
OG0000293	Syal.g_01631	Syap.g_00240
OG0000294	Syal.g_01632	Syap.g_00239
OG0000295	Syal.g_01687	Syap.g_00206
OG0000296	Syal.g_01689	Syap.g_00204
OG0000298	Syal.g_01703	Syap.g_01888
OG0000299	Syal.g_01732	Syap.g_02620
OG0000302	Syal.g_01740	Syap.g_02444, Syap.g_02445
OG0000303	Syal.g_01763	Syap.g_02435
OG0000304	Syal.g_01756	Syap.g_02430
OG0000305	Syal.g_01821	Syap.g_01557
OG0000306	Syal.g_02579	Syap.g_01966
OG0000307	Syal.g_02880	Syap.g_02517
OG0000308	Syal.g_02878	Syap.g_02514, Syap.g_02515
OG0000309	Syal.g_02873	Syap.g_02198, Syap.g_02446
OG0000310	Syal.g_01537	Syap.g_02660, Syap.g_02661
OG0000311	Syal.g_00061	Syap.g_02657
OG0000312	Syal.g_00031	Syap.g_02114
OG0000313	Syal.g_00381	Syap.g_02473
OG0000315	Syal.g_00426	Syap.g_00017
OG0000316	Syal.g_02987	Syap.g_00030
OG0000317	Syal.g_00583	Syap.g_00618
OG0000318	Syal.g_00588	Syap.g_00622, Syap.g_02786
OG0000319	Syal.g_00608	Syap.g_01764, Syap.g_01771
OG0000320	Syal.g_00610	Syap.g_01761, Syap.g_01769
OG0000321	Syal.g_00611	Syap.g_01760, Syap.g_01768
OG0000322	Syal.g_00612	Syap.g_01759, Syap.g_01767
OG0000323	Syal.g_00626	Syap.g_01389
OG0000324	Syal.g_00656	Syap.g_01503
OG0000325	Syal.g_00195	Syap.g_02680
OG0000326	Syal.g_00202	Syap.g_00544
OG0000327	Syal.g_00230	Syap.g_01233, Syap.g_01913
OG0000328	Syal.g_00231	Syap.g_01234, Syap.g_01912
OG0000329	Syal.g_00249	Syap.g_00498
OG0000330	Syal.g_00250	Syap.g_00497
OG0000331	Syal.g_00251	Syap.g_00496
OG0000332	Syal.g_00266	Syap.g_00481
OG0000333	Syal.g_00269	Syap.g_00478
OG0000334	Syal.g_00279	Syap.g_00468
OG0000335	Syal.g_00284	Syap.g_00101, Syap.g_00463
OG0000336	Syal.g_00288	Syap.g_00417, Syap.g_00607
OG0000337	Syal.g_01343	Syap.g_01054
OG0000338	Syal.g_01345	Syap.g_01059
OG0000339	Syal.g_01351	Syap.g_01068
OG0000340	Syal.g_01434	Syap.g_01077
OG0000341	Syal.g_01436	Syap.g_01079
OG0000342	Syal.g_01437	Syap.g_01080, Syap.g_02477
OG0000343	Syal.g_01441	Syap.g_01086, Syap.g_02078
OG0000344	Syal.g_01445	Syap.g_01091
OG0000345	Syal.g_01455	Syap.g_01107, Syap.g_01470
OG0000346	Syal.g_01460	Syap.g_02423, Syap.g_01113
OG0000347	Syal.g_01525	Syap.g_01131, Syap.g_02459
OG0000348	Syal.g_00170	Syap.g_00632
OG0000349	Syal.g_00148	Syap.g_00110, Syap.g_01813
OG0000351	Syal.g_01175	Syap.g_02594
OG0000352	Syal.g_01176	Syap.g_02596, Syap.g_02597
OG0000353	Syal.g_00095	Syap.g_00054
OG0000354	Syal.g_00116	Syap.g_00075, Syap.g_02635
OG0000355	Syal.g_00098	Syap.g_00056
OG0000356	Syal.g_00099	Syap.g_00057
OG0000357	Syal.g_00100	Syap.g_00058
OG0000358	Syal.g_00104	Syap.g_00063
OG0000359	Syal.g_00106	Syap.g_00065
OG0000360	Syal.g_00107	Syap.g_00067
OG0000361	Syal.g_00108	Syap.g_00068
OG0000362	Syal.g_00110	Syap.g_00070
OG0000363	Syal.g_00112	Syap.g_00072
OG0000364	Syal.g_00113	Syap.g_00620
OG0000365	Syal.g_00122	Syap.g_00081
OG0000366	Syal.g_00123	Syap.g_00082
OG0000367	Syal.g_00124	Syap.g_00083
OG0000368	Syal.g_00126	Syap.g_00085
OG0000369	Syal.g_00127	Syap.g_00086
OG0000370	Syal.g_00128	Syap.g_00087
OG0000372	Syal.g_00141	Syap.g_01805
OG0000373	Syal.g_00142	Syap.g_01806
OG0000374	Syal.g_00143	Syap.g_01807
OG0000375	Syal.g_00144	Syap.g_01808
OG0000376	Syal.g_00146	Syap.g_01811
OG0000377	Syal.g_01061	Syap.g_00128
OG0000378	Syal.g_01027	Syap.g_01326
OG0000380	Syal.g_00749	Syap.g_01687
OG0000381	Syal.g_00752	Syap.g_01690
OG0000382	Syal.g_00770	Syap.g_02548
OG0000383	Syal.g_00775	Syap.g_02359
OG0000384	Syal.g_00776	Syap.g_02360
OG0000385	Syal.g_00777	Syap.g_02361
OG0000386	Syal.g_00778	Syap.g_02362
OG0000387	Syal.g_00811	Syap.g_01864
OG0000391	Syal.g_00840	Syap.g_02234
OG0000392	Syal.g_00846	Syap.g_02225
OG0000393	Syal.g_00849	Syap.g_02222
OG0000394	Syal.g_00850	Syap.g_02221
OG0000395	Syal.g_00851	Syap.g_02220
OG0000396	Syal.g_00854	Syap.g_02217
OG0000397	Syal.g_00857	Syap.g_02215
OG0000398	Syal.g_00862	Syap.g_02211
OG0000399	Syal.g_00863	Syap.g_02210
OG0000400	Syal.g_00864	Syap.g_02209
OG0000401	Syal.g_00865	Syap.g_02208
OG0000402	Syal.g_00867	Syap.g_02206
OG0000403	Syal.g_00868	Syap.g_02205
OG0000404	Syal.g_00870	Syap.g_02204, Syap.g_02618
OG0000405	Syal.g_00883	Syap.g_02191
OG0000406	Syal.g_00888	Syap.g_02186
OG0000407	Syal.g_00889	Syap.g_02185
OG0000408	Syal.g_00891	Syap.g_02181, Syap.g_02182
OG0000409	Syal.g_00893	Syap.g_02179
OG0000410	Syal.g_00894	Syap.g_02178
OG0000411	Syal.g_00895	Syap.g_02177
OG0000412	Syal.g_00896	Syap.g_02176
OG0000413	Syal.g_00898	Syap.g_02174
OG0000414	Syal.g_00899	Syap.g_02173
OG0000415	Syal.g_00900	Syap.g_02172
OG0000416	Syal.g_00901	Syap.g_02171
OG0000417	Syal.g_00902	Syap.g_02169
OG0000418	Syal.g_00907	Syap.g_01204
OG0000419	Syal.g_00909	Syap.g_01201
OG0000420	Syal.g_00911	Syap.g_01199
OG0000421	Syal.g_00916	Syap.g_01195
OG0000422	Syal.g_00917	Syap.g_01194
OG0000423	Syal.g_00918	Syap.g_01193
OG0000424	Syal.g_00919	Syap.g_01192
OG0000425	Syal.g_00920	Syap.g_01191
OG0000426	Syal.g_00921	Syap.g_01190
OG0000427	Syal.g_00922	Syap.g_01189
OG0000428	Syal.g_00925	Syap.g_01186
OG0000429	Syal.g_00929	Syap.g_01184
OG0000430	Syal.g_00931	Syap.g_01182
OG0000431	Syal.g_00934	Syap.g_01179
OG0000432	Syal.g_00940	Syap.g_02277
OG0000433	Syal.g_00943	Syap.g_02272
OG0000434	Syal.g_00944	Syap.g_02271
OG0000435	Syal.g_00946	Syap.g_02268
OG0000436	Syal.g_00953	Syap.g_01607
OG0000437	Syal.g_00954	Syap.g_01608
OG0000438	Syal.g_00955	Syap.g_01612
OG0000439	Syal.g_00957	Syap.g_01614
OG0000440	Syal.g_00958	Syap.g_01615
OG0000441	Syal.g_00962	Syap.g_01619
OG0000442	Syal.g_00964	Syap.g_01620
OG0000443	Syal.g_00966	Syap.g_01622
OG0000444	Syal.g_00978	Syap.g_01424
OG0000445	Syal.g_00979	Syap.g_01421
OG0000446	Syal.g_00981	Syap.g_01419
OG0000447	Syal.g_00989	Syap.g_01410
OG0000448	Syal.g_00990	Syap.g_01407
OG0000449	Syal.g_00991	Syap.g_01406
OG0000450	Syal.g_00997	Syap.g_01909
OG0000451	Syal.g_00998	Syap.g_01908
OG0000452	Syal.g_01002	Syap.g_01904
OG0000453	Syal.g_01003	Syap.g_01903
OG0000454	Syal.g_01004	Syap.g_01902
OG0000455	Syal.g_01005	Syap.g_01901
OG0000456	Syal.g_01006	Syap.g_01900
OG0000457	Syal.g_01008	Syap.g_01896
OG0000458	Syal.g_01009	Syap.g_01895
OG0000459	Syal.g_01010	Syap.g_01894
OG0000460	Syal.g_00686	Syap.g_01159
OG0000461	Syal.g_01199	Syap.g_01575
OG0000462	Syal.g_01202	Syap.g_01578
OG0000463	Syal.g_01203	Syap.g_01579
OG0000464	Syal.g_01204	Syap.g_01580
OG0000465	Syal.g_01205	Syap.g_01582
OG0000466	Syal.g_01210	Syap.g_01587
OG0000467	Syal.g_01212	Syap.g_01588
OG0000468	Syal.g_01225	Syap.g_01593
OG0000469	Syal.g_01240	Syap.g_02352
OG0000470	Syal.g_01242	Syap.g_02349
OG0000471	Syal.g_01243	Syap.g_02348
OG0000472	Syal.g_01245	Syap.g_02347
OG0000473	Syal.g_01247	Syap.g_02343
OG0000474	Syal.g_01248	Syap.g_02342
OG0000475	Syal.g_01249	Syap.g_02341
OG0000476	Syal.g_01251	Syap.g_02339
OG0000477	Syal.g_01257	Syap.g_01367
OG0000478	Syal.g_01258	Syap.g_01366
OG0000479	Syal.g_01259	Syap.g_01364
OG0000480	Syal.g_01266	Syap.g_01357
OG0000482	Syal.g_01269	Syap.g_01355
OG0000483	Syal.g_01273	Syap.g_01344
OG0000484	Syal.g_01274	Syap.g_01350
OG0000485	Syal.g_01275	Syap.g_01349
OG0000487	Syal.g_01282	Syap.g_01635
OG0000488	Syal.g_01286	Syap.g_01639
OG0000489	Syal.g_01298	Syap.g_02482
OG0000490	Syal.g_01307	Syap.g_01673
OG0000491	Syal.g_01308	Syap.g_01670
OG0000492	Syal.g_01310	Syap.g_01668
OG0000493	Syal.g_01311	Syap.g_01667
OG0000494	Syal.g_01312	Syap.g_01666
OG0000495	Syal.g_01313	Syap.g_01665
OG0000496	Syal.g_01314	Syap.g_01663
OG0000497	Syal.g_01315	Syap.g_01662
OG0000498	Syal.g_01316	Syap.g_01661
OG0000499	Syal.g_01317	Syap.g_01660
OG0000500	Syal.g_01318	Syap.g_01659
OG0000501	Syal.g_01321	Syap.g_01656
OG0000502	Syal.g_01328	Syap.g_02066
OG0000503	Syal.g_00347	Syap.g_00569
OG0000504	Syal.g_00349	Syap.g_00567
OG0000505	Syal.g_00350	Syap.g_00566
OG0000506	Syal.g_00352	Syap.g_00564
OG0000507	Syal.g_00358	Syap.g_00558
OG0000508	Syal.g_00362	Syap.g_00554
OG0000509	Syal.g_00364	Syap.g_00551
OG0000510	Syal.g_00365	Syap.g_00550
OG0000511	Syal.g_00366	Syap.g_00548
OG0000512	Syal.g_00368	Syap.g_02145
OG0000513	Syal.g_00551	Syap.g_02048
OG0000514	Syal.g_00539	Syap.g_02051
OG0000515	Syal.g_00538	Syap.g_02052
OG0000516	Syal.g_00534	Syap.g_02054
OG0000517	Syal.g_00526	Syap.g_02057
OG0000519	Syal.g_00513	Syap.g_00457
OG0000520	Syal.g_00512	Syap.g_00456
OG0000521	Syal.g_00502	Syap.g_01997
OG0000522	Syal.g_00500	Syap.g_01995
OG0000523	Syal.g_00499	Syap.g_02507
OG0000524	Syal.g_00491	Syap.g_02135
OG0000525	Syal.g_00473	Syap.g_02159
OG0000526	Syal.g_00471	Syap.g_02157
OG0000527	Syal.g_00465	Syap.g_02758
OG0000528	Syal.g_02893	Syap.g_02261
OG0000529	Syal.g_02898	Syap.g_02254
OG0000530	Syal.g_02901	Syap.g_02252
OG0000531	Syal.g_02902	Syap.g_02251
OG0000532	Syal.g_02905	Syap.g_02247
OG0000533	Syal.g_02907	Syap.g_02244
OG0000534	Syal.g_02908	Syap.g_02243
OG0000535	Syal.g_02909	Syap.g_02242
OG0000536	Syal.g_02910	Syap.g_02241
OG0000537	Syal.g_02911	Syap.g_02240
OG0000538	Syal.g_02923	Syap.g_00271
OG0000539	Syal.g_02924	Syap.g_00270
OG0000540	Syal.g_02925	Syap.g_00269
OG0000541	Syal.g_02926	Syap.g_00268
OG0000542	Syal.g_02929	Syap.g_00264
OG0000543	Syal.g_02931	Syap.g_00261
OG0000544	Syal.g_02932	Syap.g_00260
OG0000545	Syal.g_02934	Syap.g_00259
OG0000546	Syal.g_02936	Syap.g_00256
OG0000547	Syal.g_02938	Syap.g_00254
OG0000548	Syal.g_02939	Syap.g_00253
OG0000549	Syal.g_02945	Syap.g_00758
OG0000550	Syal.g_02949	Syap.g_02747
OG0000551	Syal.g_02953	Syap.g_02739
OG0000552	Syal.g_02954	Syap.g_02738
OG0000553	Syal.g_02843	Syap.g_02735
OG0000554	Syal.g_02837	Syap.g_01450
OG0000555	Syal.g_02823	Syap.g_01941
OG0000556	Syal.g_02819	Syap.g_01933
OG0000557	Syal.g_02816	Syap.g_01931
OG0000558	Syal.g_02814	Syap.g_01147
OG0000560	Syal.g_02807	Syap.g_00305
OG0000561	Syal.g_02806	Syap.g_00304
OG0000562	Syal.g_02805	Syap.g_00302
OG0000563	Syal.g_02804	Syap.g_00301
OG0000564	Syal.g_02803	Syap.g_00300
OG0000565	Syal.g_02799	Syap.g_00296
OG0000566	Syal.g_02795	Syap.g_00291
OG0000567	Syal.g_02791	Syap.g_01297
OG0000568	Syal.g_02789	Syap.g_01302
OG0000569	Syal.g_02788	Syap.g_01303
OG0000570	Syal.g_02787	Syap.g_01304
OG0000571	Syal.g_02784	Syap.g_01307
OG0000573	Syal.g_02759	Syap.g_00765
OG0000574	Syal.g_02758	Syap.g_00759
OG0000575	Syal.g_02753	Syap.g_00445
OG0000576	Syal.g_02751	Syap.g_00450
OG0000577	Syal.g_02750	Syap.g_00451
OG0000578	Syal.g_02749	Syap.g_00452
OG0000579	Syal.g_02748	Syap.g_00453
OG0000580	Syal.g_02747	Syap.g_00454
OG0000581	Syal.g_02741	Syap.g_01521
OG0000582	Syal.g_02736	Syap.g_01533
OG0000583	Syal.g_02735	Syap.g_01532
OG0000584	Syal.g_02734	Syap.g_01530
OG0000585	Syal.g_02731	Syap.g_01526
OG0000586	Syal.g_02730	Syap.g_01525
OG0000587	Syal.g_02728	Syap.g_01523
OG0000588	Syal.g_02717	Syap.g_00776
OG0000589	Syal.g_02714	Syap.g_00941
OG0000590	Syal.g_02713	Syap.g_00940
