Orthogroup	Syal	Prbi
OG0000040	Syal.g_01187	Prbi.g_01738
OG0000041	Syal.g_00649	Prbi.g_01833
OG0000042	Syal.g_01705, Syal.g_01508	Prbi.g_02001
OG0000043	Syal.g_02183	Prbi.g_00918
OG0000043	Syal.g_02547	Prbi.g_01334
OG0000044	Syal.g_01853	Prbi.g_01744, Prbi.g_01760
OG0000047	Syal.g_01568	Prbi.g_00354
OG0000048	Syal.g_01250	Prbi.g_00398
OG0000051	Syal.g_01550	Prbi.g_01364
OG0000052	Syal.g_01338	Prbi.g_01478
OG0000053	Syal.g_00406	Prbi.g_01611
OG0000054	Syal.g_02739	Prbi.g_00608
OG0000055	Syal.g_01845	Prbi.g_00828
OG0000056	Syal.g_02054	Prbi.g_01276
OG0000057	Syal.g_01812	Prbi.g_00702
OG0000058	Syal.g_01326	Prbi.g_01461
OG0000059	Syal.g_00225	Prbi.g_01873, Prbi.g_01717
OG0000061	Syal.g_01653	Prbi.g_01207
OG0000062	Syal.g_02113	Prbi.g_01668
OG0000063	Syal.g_00136	Prbi.g_00033
OG0000065	Syal.g_00820, Syal.g_02528	Prbi.g_00114
OG0000066	Syal.g_02828	Prbi.g_00542
OG0000067	Syal.g_02414	Prbi.g_00847
OG0000068	Syal.g_02888	Prbi.g_01439
OG0000070	Syal.g_00509	Prbi.g_00451
OG0000071	Syal.g_01601	Prbi.g_01391
OG0000072	Syal.g_00914	Prbi.g_00195
OG0000073	Syal.g_02920	Prbi.g_00502
OG0000075	Syal.g_01350	Prbi.g_01970
OG0000076	Syal.g_01459	Prbi.g_01994
OG0000077	Syal.g_00763	Prbi.g_00085
OG0000078	Syal.g_00680	Prbi.g_00263
OG0000079	Syal.g_01213	Prbi.g_00276
OG0000080	Syal.g_01394	Prbi.g_00410, Prbi.g_01492
OG0000081	Syal.g_02555	Prbi.g_00534
OG0000082	Syal.g_02769	Prbi.g_00587
OG0000084	Syal.g_00023	Prbi.g_01585
OG0000085	Syal.g_00575	Prbi.g_01780
OG0000086	Syal.g_00784	Prbi.g_00095
OG0000087	Syal.g_00871	Prbi.g_00147
OG0000088	Syal.g_00908	Prbi.g_00190
OG0000089	Syal.g_00555	Prbi.g_00380
OG0000090	Syal.g_02838	Prbi.g_00536
OG0000091	Syal.g_02628	Prbi.g_00645
OG0000092	Syal.g_00470	Prbi.g_00956
OG0000094	Syal.g_01907	Prbi.g_01067
OG0000097	Syal.g_01735, Syal.g_01553	Prbi.g_01248
OG0000098	Syal.g_02196	Prbi.g_01421
OG0000099	Syal.g_01323	Prbi.g_01462
OG0000100	Syal.g_02448	Prbi.g_01664
OG0000101	Syal.g_00275	Prbi.g_01938
OG0000102	Syal.g_01488	Prbi.g_01999
OG0000103	Syal.g_01897, Syal.g_00077	Prbi.g_02091
OG0000104	Syal.g_00092	Prbi.g_02099
OG0000105	Syal.g_01255	Prbi.g_00298
OG0000106	Syal.g_02577	Prbi.g_00394
OG0000107	Syal.g_00194	Prbi.g_00409
OG0000108	Syal.g_02897	Prbi.g_00483
OG0000109	Syal.g_02913	Prbi.g_00497
OG0000110	Syal.g_02782	Prbi.g_00577
OG0000111	Syal.g_01813	Prbi.g_00703
OG0000112	Syal.g_02000	Prbi.g_00811
OG0000113	Syal.g_02443	Prbi.g_00869
OG0000114	Syal.g_02286	Prbi.g_00951
OG0000115	Syal.g_00404	Prbi.g_01148
OG0000116	Syal.g_01630	Prbi.g_01197
OG0000117	Syal.g_01704	Prbi.g_01330
OG0000118	Syal.g_01583	Prbi.g_01403
OG0000119	Syal.g_02056	Prbi.g_01435
OG0000120	Syal.g_01324	Prbi.g_01460
OG0000121	Syal.g_00374	Prbi.g_01593
OG0000122	Syal.g_02602	Prbi.g_01630
OG0000123	Syal.g_00283	Prbi.g_01945
OG0000124	Syal.g_01519	Prbi.g_02010
OG0000125	Syal.g_01075	Prbi.g_02059
OG0000126	Syal.g_00090	Prbi.g_02098
OG0000128	Syal.g_00109	Prbi.g_00011
OG0000129	Syal.g_01062	Prbi.g_00053
OG0000130	Syal.g_00751	Prbi.g_00076
OG0000131	Syal.g_00886	Prbi.g_00169
OG0000132	Syal.g_00906	Prbi.g_00188
OG0000133	Syal.g_01995	Prbi.g_00346
OG0000134	Syal.g_00552	Prbi.g_00381
OG0000135	Syal.g_01119	Prbi.g_00407
OG0000136	Syal.g_00520	Prbi.g_00442
OG0000137	Syal.g_00463	Prbi.g_00478
OG0000138	Syal.g_02914	Prbi.g_00498
OG0000139	Syal.g_02832	Prbi.g_00540
OG0000140	Syal.g_02830	Prbi.g_00541
OG0000141	Syal.g_02738	Prbi.g_00609
OG0000142	Syal.g_02636	Prbi.g_00638
OG0000143	Syal.g_02632	Prbi.g_00642
OG0000144	Syal.g_02515	Prbi.g_00655
OG0000145	Syal.g_02921	Prbi.g_00807
OG0000146	Syal.g_02001	Prbi.g_00812
OG0000147	Syal.g_02002	Prbi.g_00813
OG0000148	Syal.g_02437	Prbi.g_00863
OG0000149	Syal.g_02475	Prbi.g_00894
OG0000150	Syal.g_02737	Prbi.g_00902
OG0000151	Syal.g_02263	Prbi.g_00961
OG0000152	Syal.g_01991	Prbi.g_01009
OG0000153	Syal.g_01958	Prbi.g_01028
OG0000154	Syal.g_01918	Prbi.g_01060
OG0000155	Syal.g_01695	Prbi.g_01227
OG0000156	Syal.g_01620	Prbi.g_01380
OG0000157	Syal.g_01619	Prbi.g_01381
OG0000158	Syal.g_01431	Prbi.g_01489
OG0000160	Syal.g_00372	Prbi.g_01592
OG0000161	Syal.g_00384	Prbi.g_01598
OG0000162	Syal.g_00396	Prbi.g_01604
OG0000163	Syal.g_02971	Prbi.g_01637
OG0000164	Syal.g_00623	Prbi.g_01811
OG0000165	Syal.g_00632	Prbi.g_01818
OG0000166	Syal.g_00236	Prbi.g_01902
OG0000167	Syal.g_01347	Prbi.g_01968
OG0000168	Syal.g_01433	Prbi.g_01978
OG0000169	Syal.g_01447	Prbi.g_01988
OG0000170	Syal.g_01454	Prbi.g_01990
OG0000171	Syal.g_01518	Prbi.g_02009
OG0000172	Syal.g_00174, Syal.g_00173	Prbi.g_02030
OG0000173	Syal.g_00155	Prbi.g_02045
OG0000174	Syal.g_01121	Prbi.g_02073
OG0000175	Syal.g_01172	Prbi.g_02083
OG0000176	Syal.g_00101	Prbi.g_00004
OG0000177	Syal.g_00102	Prbi.g_00005
OG0000178	Syal.g_00103	Prbi.g_00006
OG0000179	Syal.g_00118	Prbi.g_00016
OG0000180	Syal.g_00119	Prbi.g_00017
OG0000181	Syal.g_00120	Prbi.g_00018
OG0000182	Syal.g_00121	Prbi.g_00019
OG0000183	Syal.g_00125	Prbi.g_00023
OG0000184	Syal.g_01050	Prbi.g_00057
OG0000185	Syal.g_01025	Prbi.g_00060
OG0000186	Syal.g_02684, Syal.g_00747	Prbi.g_00071
OG0000187	Syal.g_02685, Syal.g_00748	Prbi.g_00072
OG0000188	Syal.g_00771	Prbi.g_00089
OG0000189	Syal.g_00807	Prbi.g_00103
OG0000190	Syal.g_01364	Prbi.g_00104
OG0000191	Syal.g_00841	Prbi.g_00125
OG0000192	Syal.g_00847	Prbi.g_00129
OG0000193	Syal.g_00887	Prbi.g_00170
OG0000194	Syal.g_00890	Prbi.g_00173
OG0000195	Syal.g_00892	Prbi.g_00175
OG0000196	Syal.g_00903	Prbi.g_00185
OG0000197	Syal.g_00904	Prbi.g_00186
OG0000198	Syal.g_00905	Prbi.g_00187
OG0000199	Syal.g_00913	Prbi.g_00194
OG0000200	Syal.g_00932	Prbi.g_00208
OG0000201	Syal.g_00949	Prbi.g_00216
OG0000202	Syal.g_00950	Prbi.g_00217
OG0000203	Syal.g_00951	Prbi.g_00218
OG0000204	Syal.g_00952	Prbi.g_00219
OG0000205	Syal.g_00959	Prbi.g_00226
OG0000206	Syal.g_00971	Prbi.g_00231
OG0000207	Syal.g_00974	Prbi.g_00233
OG0000208	Syal.g_00975	Prbi.g_00234
OG0000209	Syal.g_01000	Prbi.g_00243
OG0000210	Syal.g_01001	Prbi.g_00244
OG0000212	Syal.g_00679	Prbi.g_00264
OG0000213	Syal.g_01229	Prbi.g_00281
OG0000214	Syal.g_01246	Prbi.g_00291
OG0000215	Syal.g_01277	Prbi.g_00316
OG0000216	Syal.g_01281	Prbi.g_00318
OG0000217	Syal.g_01285	Prbi.g_00321
OG0000218	Syal.g_01287	Prbi.g_00323
OG0000219	Syal.g_01288	Prbi.g_00324
OG0000220	Syal.g_01289	Prbi.g_00325
OG0000221	Syal.g_01297	Prbi.g_00326
OG0000222	Syal.g_01309	Prbi.g_00334
OG0000223	Syal.g_01327	Prbi.g_00347
OG0000224	Syal.g_01329	Prbi.g_00349
OG0000225	Syal.g_00363	Prbi.g_00370
OG0000226	Syal.g_00367	Prbi.g_00374
OG0000227	Syal.g_00369	Prbi.g_00376
OG0000228	Syal.g_00556	Prbi.g_00379
OG0000229	Syal.g_00525	Prbi.g_00437
OG0000230	Syal.g_00523	Prbi.g_00439
OG0000231	Syal.g_00510	Prbi.g_00450
OG0000232	Syal.g_00495	Prbi.g_00459
OG0000233	Syal.g_00487	Prbi.g_00465
OG0000234	Syal.g_00461	Prbi.g_00479
OG0000235	Syal.g_02896	Prbi.g_00482
OG0000236	Syal.g_02912	Prbi.g_00496
OG0000237	Syal.g_02930	Prbi.g_00509
OG0000238	Syal.g_02935	Prbi.g_00515
OG0000239	Syal.g_02951	Prbi.g_00528
OG0000240	Syal.g_02952	Prbi.g_00529
OG0000241	Syal.g_02696	Prbi.g_00533
OG0000242	Syal.g_02840	Prbi.g_00535
OG0000243	Syal.g_02822	Prbi.g_00546
OG0000244	Syal.g_02815	Prbi.g_00549
OG0000245	Syal.g_02813	Prbi.g_00551
OG0000246	Syal.g_02809	Prbi.g_00555
OG0000247	Syal.g_02797	Prbi.g_00565
OG0000248	Syal.g_02794	Prbi.g_00567
OG0000249	Syal.g_02792	Prbi.g_00569
OG0000250	Syal.g_02786	Prbi.g_00574
OG0000251	Syal.g_02760	Prbi.g_00593
OG0000252	Syal.g_02757	Prbi.g_00596
OG0000253	Syal.g_02755	Prbi.g_00597
OG0000254	Syal.g_02732	Prbi.g_00613
OG0000255	Syal.g_02719	Prbi.g_00619
OG0000256	Syal.g_02705	Prbi.g_00629
OG0000257	Syal.g_02697	Prbi.g_00632
OG0000258	Syal.g_02623	Prbi.g_00646
OG0000259	Syal.g_02182	Prbi.g_00663
OG0000260	Syal.g_02188	Prbi.g_00666
OG0000261	Syal.g_02199	Prbi.g_00668
OG0000262	Syal.g_02204	Prbi.g_00672
OG0000263	Syal.g_01720	Prbi.g_00684
OG0000264	Syal.g_01788	Prbi.g_00694
OG0000265	Syal.g_02534	Prbi.g_00745
OG0000266	Syal.g_02421	Prbi.g_00755
OG0000267	Syal.g_02043	Prbi.g_00766
OG0000268	Syal.g_02042	Prbi.g_00767
OG0000269	Syal.g_02409	Prbi.g_00842
OG0000270	Syal.g_02412	Prbi.g_00845
OG0000271	Syal.g_01871	Prbi.g_00853
OG0000272	Syal.g_01872	Prbi.g_00854
OG0000274	Syal.g_02455	Prbi.g_00878
OG0000275	Syal.g_02458	Prbi.g_00881
OG0000276	Syal.g_02467	Prbi.g_00886
OG0000277	Syal.g_02468	Prbi.g_00887
OG0000278	Syal.g_02471	Prbi.g_00890
OG0000279	Syal.g_02479	Prbi.g_00897
OG0000280	Syal.g_02493	Prbi.g_00898
OG0000281	Syal.g_02190	Prbi.g_00903
OG0000282	Syal.g_02284	Prbi.g_00953
OG0000283	Syal.g_02028	Prbi.g_00986
OG0000284	Syal.g_02023	Prbi.g_00991
OG0000285	Syal.g_02012	Prbi.g_00996
OG0000286	Syal.g_01992	Prbi.g_01008
OG0000288	Syal.g_01919	Prbi.g_01059
OG0000289	Syal.g_01904	Prbi.g_01070
OG0000290	Syal.g_01826	Prbi.g_01083
OG0000291	Syal.g_01824	Prbi.g_01085
OG0000292	Syal.g_00089	Prbi.g_01136
OG0000293	Syal.g_01631	Prbi.g_01198
OG0000294	Syal.g_01632	Prbi.g_01199
OG0000295	Syal.g_01687	Prbi.g_01219
OG0000296	Syal.g_01689	Prbi.g_01221
OG0000297	Syal.g_01702	Prbi.g_01229
OG0000298	Syal.g_01703	Prbi.g_01230
OG0000299	Syal.g_01732	Prbi.g_01247
OG0000300	Syal.g_01738	Prbi.g_01250
OG0000301	Syal.g_01739	Prbi.g_01251
OG0000302	Syal.g_01740	Prbi.g_01253
OG0000303	Syal.g_01763	Prbi.g_01260
OG0000304	Syal.g_01756	Prbi.g_01264
OG0000305	Syal.g_01821	Prbi.g_01431
OG0000306	Syal.g_02579	Prbi.g_01434
OG0000307	Syal.g_02880	Prbi.g_01448
OG0000308	Syal.g_02878	Prbi.g_01449
OG0000309	Syal.g_02873	Prbi.g_01453
OG0000310	Syal.g_01537	Prbi.g_01574
OG0000311	Syal.g_00061	Prbi.g_01576
OG0000312	Syal.g_00031	Prbi.g_01579
OG0000313	Syal.g_00381	Prbi.g_01595
OG0000314	Syal.g_00416	Prbi.g_01617
OG0000315	Syal.g_00426	Prbi.g_01627
OG0000316	Syal.g_02987	Prbi.g_01647
OG0000317	Syal.g_00583	Prbi.g_01785
OG0000318	Syal.g_00588	Prbi.g_01788
OG0000319	Syal.g_00608	Prbi.g_01801
OG0000320	Syal.g_00610	Prbi.g_01803
OG0000321	Syal.g_00611	Prbi.g_01804
OG0000322	Syal.g_00612	Prbi.g_01805
OG0000323	Syal.g_00626	Prbi.g_01814
OG0000324	Syal.g_00656	Prbi.g_01840
OG0000325	Syal.g_00195	Prbi.g_01849
OG0000326	Syal.g_00202	Prbi.g_01855
OG0000327	Syal.g_00230	Prbi.g_01897
OG0000328	Syal.g_00231	Prbi.g_01898
OG0000329	Syal.g_00249	Prbi.g_01915
OG0000330	Syal.g_00250	Prbi.g_01916
OG0000331	Syal.g_00251	Prbi.g_01917
OG0000332	Syal.g_00266	Prbi.g_01931
OG0000333	Syal.g_00269	Prbi.g_01933
OG0000334	Syal.g_00279	Prbi.g_01941
OG0000335	Syal.g_00284	Prbi.g_01946
OG0000336	Syal.g_00288	Prbi.g_01950
OG0000337	Syal.g_01343	Prbi.g_01966
OG0000338	Syal.g_01345	Prbi.g_01967
OG0000339	Syal.g_01351	Prbi.g_01971
OG0000340	Syal.g_01434	Prbi.g_01979
OG0000341	Syal.g_01436	Prbi.g_01981
OG0000342	Syal.g_01437	Prbi.g_01982
OG0000343	Syal.g_01441	Prbi.g_01983
OG0000344	Syal.g_01445	Prbi.g_01986
OG0000345	Syal.g_01455	Prbi.g_01991
OG0000346	Syal.g_01460	Prbi.g_01995
OG0000347	Syal.g_01525	Prbi.g_02011
OG0000348	Syal.g_00170	Prbi.g_02033
OG0000349	Syal.g_00148	Prbi.g_02050
OG0000350	Syal.g_00209	Prbi.g_02069
OG0000351	Syal.g_01175	Prbi.g_02086
OG0000352	Syal.g_01176	Prbi.g_02087
OG0000353	Syal.g_00095	Prbi.g_02102
OG0000355	Syal.g_00098	Prbi.g_00001
OG0000356	Syal.g_00099	Prbi.g_00002
OG0000357	Syal.g_00100	Prbi.g_00003
OG0000358	Syal.g_00104	Prbi.g_00007
OG0000359	Syal.g_00106	Prbi.g_00008
OG0000360	Syal.g_00107	Prbi.g_00009
OG0000361	Syal.g_00108	Prbi.g_00010
OG0000362	Syal.g_00110	Prbi.g_00012
OG0000363	Syal.g_00112	Prbi.g_00014
OG0000364	Syal.g_00113	Prbi.g_00015
OG0000365	Syal.g_00122	Prbi.g_00020
OG0000366	Syal.g_00123	Prbi.g_00021
OG0000367	Syal.g_00124	Prbi.g_00022
OG0000368	Syal.g_00126	Prbi.g_00024
OG0000369	Syal.g_00127	Prbi.g_00025
OG0000370	Syal.g_00128	Prbi.g_00026
OG0000371	Syal.g_00135	Prbi.g_00032
OG0000372	Syal.g_00141	Prbi.g_00035
OG0000373	Syal.g_00142	Prbi.g_00036
OG0000374	Syal.g_00143	Prbi.g_00037
OG0000375	Syal.g_00144	Prbi.g_00049
OG0000376	Syal.g_00146	Prbi.g_00051
OG0000377	Syal.g_01061	Prbi.g_00056
OG0000378	Syal.g_01027	Prbi.g_00058
OG0000379	Syal.g_01024	Prbi.g_00061
OG0000380	Syal.g_00749	Prbi.g_00073
OG0000381	Syal.g_00752	Prbi.g_00077
OG0000382	Syal.g_00770	Prbi.g_00088
OG0000383	Syal.g_00775	Prbi.g_00090
OG0000384	Syal.g_00776	Prbi.g_00091
OG0000385	Syal.g_00777	Prbi.g_00092
OG0000386	Syal.g_00778	Prbi.g_00093
OG0000387	Syal.g_00811	Prbi.g_00106
OG0000388	Syal.g_00815	Prbi.g_00109
OG0000389	Syal.g_00819	Prbi.g_00113
OG0000390	Syal.g_00835	Prbi.g_00120
OG0000391	Syal.g_00840	Prbi.g_00124
OG0000392	Syal.g_00846	Prbi.g_00128
OG0000393	Syal.g_00849	Prbi.g_00130
OG0000394	Syal.g_00850	Prbi.g_00131
OG0000395	Syal.g_00851	Prbi.g_00132
OG0000396	Syal.g_00854	Prbi.g_00135
OG0000397	Syal.g_00857	Prbi.g_00137
OG0000398	Syal.g_00862	Prbi.g_00139
OG0000399	Syal.g_00863	Prbi.g_00140
OG0000400	Syal.g_00864	Prbi.g_00141
OG0000401	Syal.g_00865	Prbi.g_00142
OG0000402	Syal.g_00867	Prbi.g_00144
OG0000403	Syal.g_00868	Prbi.g_00145
OG0000404	Syal.g_00870	Prbi.g_00146
OG0000405	Syal.g_00883	Prbi.g_00150
OG0000406	Syal.g_00888	Prbi.g_00171
OG0000407	Syal.g_00889	Prbi.g_00172
OG0000408	Syal.g_00891	Prbi.g_00174
OG0000409	Syal.g_00893	Prbi.g_00176
OG0000410	Syal.g_00894	Prbi.g_00177
OG0000411	Syal.g_00895	Prbi.g_00178
OG0000412	Syal.g_00896	Prbi.g_00179
OG0000413	Syal.g_00898	Prbi.g_00180
OG0000414	Syal.g_00899	Prbi.g_00181
OG0000415	Syal.g_00900	Prbi.g_00182
OG0000416	Syal.g_00901	Prbi.g_00183
OG0000417	Syal.g_00902	Prbi.g_00184
OG0000418	Syal.g_00907	Prbi.g_00189
OG0000419	Syal.g_00909	Prbi.g_00191
OG0000420	Syal.g_00911	Prbi.g_00192
OG0000421	Syal.g_00916	Prbi.g_00197
OG0000422	Syal.g_00917	Prbi.g_00198
OG0000423	Syal.g_00918	Prbi.g_00199
OG0000424	Syal.g_00919	Prbi.g_00200
OG0000425	Syal.g_00920	Prbi.g_00201
OG0000426	Syal.g_00921	Prbi.g_00202
OG0000427	Syal.g_00922	Prbi.g_00203
OG0000428	Syal.g_00925	Prbi.g_00205
OG0000429	Syal.g_00929	Prbi.g_00206
OG0000430	Syal.g_00931	Prbi.g_00207
OG0000431	Syal.g_00934	Prbi.g_00209
OG0000432	Syal.g_00940	Prbi.g_00212
OG0000433	Syal.g_00943	Prbi.g_00213
OG0000434	Syal.g_00944	Prbi.g_00214
OG0000435	Syal.g_00946	Prbi.g_00215
OG0000436	Syal.g_00953	Prbi.g_00220
OG0000437	Syal.g_00954	Prbi.g_00221
OG0000438	Syal.g_00955	Prbi.g_00222
OG0000439	Syal.g_00957	Prbi.g_00224
OG0000440	Syal.g_00958	Prbi.g_00225
OG0000441	Syal.g_00962	Prbi.g_00228
OG0000442	Syal.g_00964	Prbi.g_00229
OG0000443	Syal.g_00966	Prbi.g_00230
OG0000444	Syal.g_00978	Prbi.g_00235
OG0000445	Syal.g_00979	Prbi.g_00236
OG0000446	Syal.g_00981	Prbi.g_00237
OG0000447	Syal.g_00989	Prbi.g_00238
OG0000448	Syal.g_00990	Prbi.g_00239
OG0000449	Syal.g_00991	Prbi.g_00240
OG0000450	Syal.g_00997	Prbi.g_00241
OG0000451	Syal.g_00998	Prbi.g_00242
OG0000452	Syal.g_01002	Prbi.g_00245
OG0000453	Syal.g_01003	Prbi.g_00246
OG0000454	Syal.g_01004	Prbi.g_00247
OG0000455	Syal.g_01005	Prbi.g_00248
OG0000456	Syal.g_01006	Prbi.g_00249
OG0000457	Syal.g_01008	Prbi.g_00250
OG0000458	Syal.g_01009	Prbi.g_00251
OG0000459	Syal.g_01010	Prbi.g_00252
OG0000460	Syal.g_00686	Prbi.g_00259
OG0000461	Syal.g_01199	Prbi.g_00266
OG0000462	Syal.g_01202	Prbi.g_00268
OG0000463	Syal.g_01203	Prbi.g_00269
OG0000464	Syal.g_01204	Prbi.g_00270
OG0000465	Syal.g_01205	Prbi.g_00271
OG0000466	Syal.g_01210	Prbi.g_00274
OG0000467	Syal.g_01212	Prbi.g_00275
OG0000468	Syal.g_01225	Prbi.g_00277
OG0000469	Syal.g_01240	Prbi.g_00286
OG0000470	Syal.g_01242	Prbi.g_00288
OG0000471	Syal.g_01243	Prbi.g_00289
OG0000472	Syal.g_01245	Prbi.g_00290
OG0000473	Syal.g_01247	Prbi.g_00292
OG0000474	Syal.g_01248	Prbi.g_00293
OG0000475	Syal.g_01249	Prbi.g_00294
OG0000476	Syal.g_01251	Prbi.g_00295
OG0000477	Syal.g_01257	Prbi.g_00299
OG0000478	Syal.g_01258	Prbi.g_00300
OG0000479	Syal.g_01259	Prbi.g_00301
OG0000480	Syal.g_01266	Prbi.g_00306
OG0000481	Syal.g_01268	Prbi.g_00308
OG0000482	Syal.g_01269	Prbi.g_00309
OG0000483	Syal.g_01273	Prbi.g_00312
OG0000484	Syal.g_01274	Prbi.g_00313
OG0000485	Syal.g_01275	Prbi.g_00314
OG0000486	Syal.g_01276	Prbi.g_00315
OG0000487	Syal.g_01282	Prbi.g_00319
OG0000488	Syal.g_01286	Prbi.g_00322
OG0000489	Syal.g_01298	Prbi.g_00327
OG0000490	Syal.g_01307	Prbi.g_00332
OG0000491	Syal.g_01308	Prbi.g_00333
OG0000492	Syal.g_01310	Prbi.g_00335
OG0000493	Syal.g_01311	Prbi.g_00336
OG0000494	Syal.g_01312	Prbi.g_00337
OG0000495	Syal.g_01313	Prbi.g_00338
OG0000496	Syal.g_01314	Prbi.g_00339
OG0000497	Syal.g_01315	Prbi.g_00340
OG0000498	Syal.g_01316	Prbi.g_00341
OG0000499	Syal.g_01317	Prbi.g_00342
OG0000500	Syal.g_01318	Prbi.g_00343
OG0000501	Syal.g_01321	Prbi.g_00345
OG0000502	Syal.g_01328	Prbi.g_00348
OG0000503	Syal.g_00347	Prbi.g_00358
OG0000504	Syal.g_00349	Prbi.g_00359
OG0000505	Syal.g_00350	Prbi.g_00360
OG0000506	Syal.g_00352	Prbi.g_00362
OG0000507	Syal.g_00358	Prbi.g_00365
OG0000508	Syal.g_00362	Prbi.g_00369
OG0000509	Syal.g_00364	Prbi.g_00371
OG0000510	Syal.g_00365	Prbi.g_00372
OG0000511	Syal.g_00366	Prbi.g_00373
OG0000512	Syal.g_00368	Prbi.g_00375
OG0000513	Syal.g_00551	Prbi.g_00382
OG0000514	Syal.g_00539	Prbi.g_00432
OG0000515	Syal.g_00538	Prbi.g_00433
OG0000516	Syal.g_00534	Prbi.g_00434
OG0000517	Syal.g_00526	Prbi.g_00436
OG0000518	Syal.g_00514	Prbi.g_00447
OG0000519	Syal.g_00513	Prbi.g_00448
OG0000520	Syal.g_00512	Prbi.g_00449
OG0000521	Syal.g_00502	Prbi.g_00454
OG0000522	Syal.g_00500	Prbi.g_00456
OG0000523	Syal.g_00499	Prbi.g_00457
OG0000524	Syal.g_00491	Prbi.g_00463
OG0000525	Syal.g_00473	Prbi.g_00466
OG0000526	Syal.g_00471	Prbi.g_00467
OG0000527	Syal.g_00465	Prbi.g_00476
OG0000528	Syal.g_02893	Prbi.g_00481
OG0000529	Syal.g_02898	Prbi.g_00484
OG0000530	Syal.g_02901	Prbi.g_00487
OG0000531	Syal.g_02902	Prbi.g_00488
OG0000532	Syal.g_02905	Prbi.g_00490
OG0000533	Syal.g_02907	Prbi.g_00491
OG0000534	Syal.g_02908	Prbi.g_00492
OG0000535	Syal.g_02909	Prbi.g_00493
OG0000536	Syal.g_02910	Prbi.g_00494
OG0000537	Syal.g_02911	Prbi.g_00495
OG0000538	Syal.g_02923	Prbi.g_00503
OG0000539	Syal.g_02924	Prbi.g_00504
OG0000540	Syal.g_02925	Prbi.g_00505
OG0000541	Syal.g_02926	Prbi.g_00506
OG0000542	Syal.g_02929	Prbi.g_00508
OG0000543	Syal.g_02931	Prbi.g_00510
OG0000544	Syal.g_02932	Prbi.g_00511
OG0000545	Syal.g_02934	Prbi.g_00513
OG0000546	Syal.g_02936	Prbi.g_00516
OG0000547	Syal.g_02938	Prbi.g_00518
OG0000548	Syal.g_02939	Prbi.g_00519
OG0000549	Syal.g_02945	Prbi.g_00521
OG0000550	Syal.g_02949	Prbi.g_00526
OG0000551	Syal.g_02953	Prbi.g_00530
OG0000552	Syal.g_02954	Prbi.g_00531
OG0000553	Syal.g_02843	Prbi.g_00532
OG0000554	Syal.g_02837	Prbi.g_00537
OG0000555	Syal.g_02823	Prbi.g_00545
OG0000556	Syal.g_02819	Prbi.g_00547
OG0000557	Syal.g_02816	Prbi.g_00548
OG0000558	Syal.g_02814	Prbi.g_00550
