Orthogroup	Prbh	Syae
OG0000126	Prbh.g_01481	Syae.g_01706
OG0000127	Prbh.g_01938	Syae.g_00720
OG0000128	Prbh.g_01953	Syae.g_01724
OG0000129	Prbh.g_00738	Syae.g_01562
OG0000130	Prbh.g_00713	Syae.g_01284
OG0000131	Prbh.g_00637	Syae.g_01428
OG0000132	Prbh.g_00618	Syae.g_01447
OG0000133	Prbh.g_00457	Syae.g_00356
OG0000134	Prbh.g_00413	Syae.g_02222
OG0000135	Prbh.g_01825	Syae.g_01608
OG0000136	Prbh.g_00391	Syae.g_00989
OG0000137	Prbh.g_00356	Syae.g_02530
OG0000138	Prbh.g_00336	Syae.g_02325
OG0000139	Prbh.g_00292	Syae.g_02380
OG0000140	Prbh.g_00291	Syae.g_02383
OG0000141	Prbh.g_00222	Syae.g_00016
OG0000142	Prbh.g_01218	Syae.g_00074
OG0000143	Prbh.g_01215	Syae.g_00078
OG0000144	Prbh.g_01201	Syae.g_00261
OG0000145	Prbh.g_01880	Syae.g_02331
OG0000146	Prbh.g_01077	Syae.g_00350
OG0000147	Prbh.g_01076	Syae.g_00349
OG0000148	Prbh.g_00970	Syae.g_00500
OG0000149	Prbh.g_01002	Syae.g_00847
OG0000150	Prbh.g_01012	Syae.g_00017
OG0000151	Prbh.g_00888	Syae.g_00563
OG0000152	Prbh.g_01086	Syae.g_00360
OG0000153	Prbh.g_01104	Syae.g_00394
OG0000154	Prbh.g_01121	Syae.g_00420
OG0000155	Prbh.g_01261	Syae.g_00885
OG0000156	Prbh.g_01362	Syae.g_00945
OG0000157	Prbh.g_01363	Syae.g_00946
OG0000158	Prbh.g_01599	Syae.g_01858
OG0000160	Prbh.g_00100	Syae.g_02650
OG0000161	Prbh.g_01288, Prbh.g_00106	Syae.g_02644
OG0000162	Prbh.g_00112	Syae.g_02638
OG0000163	Prbh.g_00151	Syae.g_01092
OG0000164	Prbh.g_01758	Syae.g_01198
OG0000165	Prbh.g_01750	Syae.g_01021
OG0000166	Prbh.g_01681	Syae.g_02085
OG0000167	Prbh.g_01609	Syae.g_01874
OG0000168	Prbh.g_01598	Syae.g_01856
OG0000169	Prbh.g_01588	Syae.g_01841
OG0000170	Prbh.g_01585	Syae.g_01834
OG0000171	Prbh.g_01565	Syae.g_01810
OG0000172	Prbh.g_01558	Syae.g_01788
OG0000173	Prbh.g_01543	Syae.g_01770
OG0000174	Prbh.g_01512	Syae.g_01610
OG0000175	Prbh.g_01500	Syae.g_01679
OG0000176	Prbh.g_01472	Syae.g_01716
OG0000177	Prbh.g_01471	Syae.g_01717
OG0000178	Prbh.g_01470	Syae.g_01718
OG0000179	Prbh.g_00764	Syae.g_01733
OG0000180	Prbh.g_00763	Syae.g_01734
OG0000181	Prbh.g_00762	Syae.g_01735
OG0000182	Prbh.g_00761	Syae.g_01736
OG0000183	Prbh.g_00757	Syae.g_01740
OG0000184	Prbh.g_00734	Syae.g_01554
OG0000185	Prbh.g_00731	Syae.g_01551
OG0000186	Prbh.g_00719	Syae.g_01279
OG0000187	Prbh.g_00718	Syae.g_01280
OG0000188	Prbh.g_00701	Syae.g_01323
OG0000189	Prbh.g_00687	Syae.g_01350
OG0000190	Prbh.g_00686	Syae.g_01352
OG0000191	Prbh.g_00664	Syae.g_01384
OG0000192	Prbh.g_00659	Syae.g_01390
OG0000193	Prbh.g_00636	Syae.g_01429
OG0000194	Prbh.g_00633	Syae.g_01432
OG0000195	Prbh.g_00631	Syae.g_01434
OG0000196	Prbh.g_00621	Syae.g_01444
OG0000197	Prbh.g_00620	Syae.g_01445
OG0000198	Prbh.g_00619	Syae.g_01446
OG0000199	Prbh.g_00612	Syae.g_01454
OG0000200	Prbh.g_00599	Syae.g_01471
OG0000201	Prbh.g_00590	Syae.g_01487
OG0000202	Prbh.g_00589	Syae.g_01488
OG0000203	Prbh.g_00588	Syae.g_01489
OG0000204	Prbh.g_00587	Syae.g_01490
OG0000205	Prbh.g_00580	Syae.g_01497
OG0000206	Prbh.g_00575	Syae.g_01504
OG0000207	Prbh.g_00573	Syae.g_01506
OG0000208	Prbh.g_00572	Syae.g_01507
OG0000209	Prbh.g_00563	Syae.g_01528
OG0000210	Prbh.g_00562	Syae.g_01529
OG0000211	Prbh.g_00547	Syae.g_02234
OG0000212	Prbh.g_00539	Syae.g_02244
OG0000213	Prbh.g_00521	Syae.g_02003
OG0000214	Prbh.g_00512	Syae.g_01986
OG0000215	Prbh.g_00485	Syae.g_01955
OG0000216	Prbh.g_00484	Syae.g_01951
OG0000217	Prbh.g_00481	Syae.g_01947
OG0000218	Prbh.g_00479	Syae.g_01945
OG0000219	Prbh.g_00478	Syae.g_01944
OG0000220	Prbh.g_00477	Syae.g_01943
OG0000221	Prbh.g_00476	Syae.g_01937
OG0000222	Prbh.g_00469	Syae.g_01926
OG0000223	Prbh.g_00456	Syae.g_01904
OG0000224	Prbh.g_00454	Syae.g_01897
OG0000225	Prbh.g_00426	Syae.g_02208
OG0000226	Prbh.g_00422	Syae.g_02212
OG0000227	Prbh.g_00420	Syae.g_02214
OG0000228	Prbh.g_00416	Syae.g_02218
OG0000229	Prbh.g_00396	Syae.g_00994
OG0000230	Prbh.g_00394	Syae.g_00992
OG0000231	Prbh.g_00383	Syae.g_00980
OG0000232	Prbh.g_00370	Syae.g_02496
OG0000233	Prbh.g_00365	Syae.g_02504
OG0000234	Prbh.g_00355	Syae.g_02532
OG0000235	Prbh.g_00352	Syae.g_02308
OG0000236	Prbh.g_00338	Syae.g_02323
OG0000237	Prbh.g_00324	Syae.g_02340
OG0000238	Prbh.g_00318	Syae.g_02345
OG0000239	Prbh.g_00305	Syae.g_02360
OG0000240	Prbh.g_00304	Syae.g_02361
OG0000241	Prbh.g_00299	Syae.g_00065
OG0000242	Prbh.g_00297	Syae.g_02372
OG0000243	Prbh.g_00287	Syae.g_02391
OG0000244	Prbh.g_00284	Syae.g_02399
OG0000245	Prbh.g_00282	Syae.g_02401
OG0000246	Prbh.g_00278	Syae.g_02405
OG0000247	Prbh.g_00267	Syae.g_02416
OG0000248	Prbh.g_00264	Syae.g_02419
OG0000249	Prbh.g_00262	Syae.g_02421
OG0000250	Prbh.g_00257	Syae.g_02431
OG0000251	Prbh.g_00239	Syae.g_02455
OG0000252	Prbh.g_00236	Syae.g_02458
OG0000253	Prbh.g_00235	Syae.g_02459
OG0000254	Prbh.g_00218	Syae.g_00021
OG0000255	Prbh.g_00212	Syae.g_00041
OG0000256	Prbh.g_01455	Syae.g_00058
OG0000257	Prbh.g_01223	Syae.g_00064
OG0000258	Prbh.g_01210	Syae.g_00083
OG0000259	Prbh.g_01193	Syae.g_00608
OG0000260	Prbh.g_01190	Syae.g_00603
OG0000261	Prbh.g_01187	Syae.g_00600
OG0000262	Prbh.g_01182	Syae.g_00595
OG0000263	Prbh.g_00915	Syae.g_00671
OG0000264	Prbh.g_00926	Syae.g_00761
OG0000265	Prbh.g_00945	Syae.g_00932, Syae.g_00226
OG0000266	Prbh.g_01163	Syae.g_00457
OG0000267	Prbh.g_01150	Syae.g_00304
OG0000268	Prbh.g_01149	Syae.g_00308
OG0000269	Prbh.g_00948	Syae.g_00526
OG0000270	Prbh.g_00951	Syae.g_00523
OG0000271	Prbh.g_00959	Syae.g_00515
OG0000272	Prbh.g_00960	Syae.g_00514
OG0000273	Prbh.g_00983	Syae.g_00825
OG0000274	Prbh.g_00984	Syae.g_00826
OG0000275	Prbh.g_00987	Syae.g_00832
OG0000276	Prbh.g_00993	Syae.g_00839
OG0000277	Prbh.g_00994	Syae.g_00840
OG0000278	Prbh.g_00997	Syae.g_00843
OG0000279	Prbh.g_01005	Syae.g_00851
OG0000280	Prbh.g_01006	Syae.g_00877
OG0000281	Prbh.g_01013	Syae.g_02057
OG0000282	Prbh.g_00880	Syae.g_00573
OG0000283	Prbh.g_01059	Syae.g_00321
OG0000284	Prbh.g_01064	Syae.g_00327
OG0000285	Prbh.g_01069	Syae.g_00340
OG0000286	Prbh.g_01085	Syae.g_00359
OG0000287	Prbh.g_01342	Syae.g_00387
OG0000288	Prbh.g_01120	Syae.g_00419
OG0000289	Prbh.g_01135	Syae.g_00433
OG0000290	Prbh.g_01034	Syae.g_00796
OG0000291	Prbh.g_01032	Syae.g_00794
OG0000292	Prbh.g_01328	Syae.g_01705
OG0000293	Prbh.g_01293	Syae.g_00938
OG0000294	Prbh.g_01292	Syae.g_00937
OG0000295	Prbh.g_01268	Syae.g_00893
OG0000296	Prbh.g_01266	Syae.g_00891
OG0000297	Prbh.g_01257	Syae.g_00645
OG0000298	Prbh.g_01256	Syae.g_00646
OG0000299	Prbh.g_01237	Syae.g_00680
OG0000300	Prbh.g_01234	Syae.g_00686
OG0000301	Prbh.g_01233	Syae.g_00687
OG0000302	Prbh.g_01231	Syae.g_00691
OG0000303	Prbh.g_01225	Syae.g_00700
OG0000304	Prbh.g_01450	Syae.g_00706
OG0000305	Prbh.g_01326	Syae.g_00791
OG0000306	Prbh.g_01017	Syae.g_00277
OG0000307	Prbh.g_00019	Syae.g_02290
OG0000308	Prbh.g_00020	Syae.g_02288
OG0000309	Prbh.g_00024	Syae.g_02283
OG0000310	Prbh.g_00082	Syae.g_02687
OG0000311	Prbh.g_00084	Syae.g_02682
OG0000312	Prbh.g_00087	Syae.g_02664
OG0000313	Prbh.g_00103	Syae.g_02647
OG0000314	Prbh.g_00126	Syae.g_02618
OG0000315	Prbh.g_00136	Syae.g_02609
OG0000316	Prbh.g_00162	Syae.g_01118
OG0000317	Prbh.g_01785	Syae.g_01160
OG0000318	Prbh.g_01781	Syae.g_01164
OG0000319	Prbh.g_01768	Syae.g_01181
OG0000320	Prbh.g_01766	Syae.g_01183
OG0000321	Prbh.g_01765	Syae.g_01184
OG0000322	Prbh.g_01764	Syae.g_01185
OG0000323	Prbh.g_01755	Syae.g_01200
OG0000324	Prbh.g_01727	Syae.g_01049
OG0000325	Prbh.g_01717	Syae.g_02033
OG0000326	Prbh.g_01710	Syae.g_02040
OG0000327	Prbh.g_01686	Syae.g_02080
OG0000328	Prbh.g_01685	Syae.g_02081
OG0000329	Prbh.g_01668	Syae.g_02099
OG0000330	Prbh.g_01667	Syae.g_02100
OG0000331	Prbh.g_01666	Syae.g_02101
OG0000332	Prbh.g_01652	Syae.g_02116
OG0000333	Prbh.g_01650	Syae.g_02119
OG0000334	Prbh.g_01641	Syae.g_02128
OG0000335	Prbh.g_01636	Syae.g_02132
OG0000336	Prbh.g_01632	Syae.g_02136
OG0000337	Prbh.g_01613	Syae.g_01879
OG0000338	Prbh.g_01612	Syae.g_01876
OG0000339	Prbh.g_01606	Syae.g_01869
OG0000340	Prbh.g_01597	Syae.g_01855
OG0000341	Prbh.g_01595	Syae.g_01853
OG0000342	Prbh.g_01594	Syae.g_01852
OG0000343	Prbh.g_01593	Syae.g_01848
OG0000344	Prbh.g_01590	Syae.g_01843
OG0000345	Prbh.g_01584	Syae.g_01833
OG0000346	Prbh.g_01580	Syae.g_01828
OG0000347	Prbh.g_01563	Syae.g_01805
OG0000348	Prbh.g_01555	Syae.g_01781
OG0000349	Prbh.g_01537	Syae.g_01763
OG0000350	Prbh.g_01516	Syae.g_02047
OG0000351	Prbh.g_01497	Syae.g_01684
OG0000352	Prbh.g_01496	Syae.g_01685
OG0000353	Prbh.g_01477	Syae.g_01711
OG0000355	Prbh.g_01475	Syae.g_01713
OG0000356	Prbh.g_01474	Syae.g_01714
OG0000357	Prbh.g_01473	Syae.g_01715
OG0000358	Prbh.g_01469	Syae.g_01719
OG0000359	Prbh.g_01468	Syae.g_01721
OG0000360	Prbh.g_01467	Syae.g_01722
OG0000361	Prbh.g_01466	Syae.g_01723
OG0000362	Prbh.g_01952	Syae.g_01725
OG0000363	Prbh.g_00766	Syae.g_01727
OG0000364	Prbh.g_00765	Syae.g_01728
OG0000365	Prbh.g_00760	Syae.g_01737
OG0000366	Prbh.g_00759	Syae.g_01738
OG0000367	Prbh.g_00758	Syae.g_01739
OG0000368	Prbh.g_00756	Syae.g_01741
OG0000369	Prbh.g_00755	Syae.g_01742
OG0000370	Prbh.g_00754	Syae.g_01743
OG0000371	Prbh.g_00748	Syae.g_01751
OG0000372	Prbh.g_00746	Syae.g_01756
OG0000373	Prbh.g_00745	Syae.g_01757
OG0000374	Prbh.g_00744	Syae.g_01758
OG0000375	Prbh.g_00743	Syae.g_01759
OG0000376	Prbh.g_00741	Syae.g_01761
OG0000377	Prbh.g_00737	Syae.g_01561
OG0000378	Prbh.g_00733	Syae.g_01553
OG0000379	Prbh.g_00730	Syae.g_01550
OG0000380	Prbh.g_00717	Syae.g_01281
OG0000381	Prbh.g_00712	Syae.g_01285
OG0000382	Prbh.g_00702	Syae.g_01322
OG0000383	Prbh.g_00700	Syae.g_01324
OG0000384	Prbh.g_00699	Syae.g_01325
OG0000385	Prbh.g_00698	Syae.g_01326
OG0000386	Prbh.g_00697	Syae.g_01327
OG0000387	Prbh.g_00684	Syae.g_01354
OG0000388	Prbh.g_00680	Syae.g_01358
OG0000389	Prbh.g_00677	Syae.g_01362
OG0000390	Prbh.g_00668	Syae.g_01378
OG0000391	Prbh.g_00665	Syae.g_01383
OG0000392	Prbh.g_00661	Syae.g_01389
OG0000393	Prbh.g_00658	Syae.g_01392
OG0000394	Prbh.g_00657	Syae.g_01393
OG0000395	Prbh.g_00656	Syae.g_01394
OG0000396	Prbh.g_00654	Syae.g_01397
OG0000397	Prbh.g_00652	Syae.g_01400
OG0000398	Prbh.g_00649	Syae.g_01405
OG0000399	Prbh.g_00648	Syae.g_01406
OG0000400	Prbh.g_00647	Syae.g_01407
OG0000401	Prbh.g_00646	Syae.g_01408
OG0000402	Prbh.g_01144	Syae.g_01410
OG0000403	Prbh.g_00644	Syae.g_01411
OG0000404	Prbh.g_00643	Syae.g_01412
OG0000405	Prbh.g_00639	Syae.g_01426
OG0000406	Prbh.g_00635	Syae.g_01430
OG0000407	Prbh.g_00634	Syae.g_01431
OG0000408	Prbh.g_00632	Syae.g_01433
OG0000409	Prbh.g_00630	Syae.g_01435
OG0000410	Prbh.g_00629	Syae.g_01436
OG0000411	Prbh.g_00628	Syae.g_01437
OG0000412	Prbh.g_00627	Syae.g_01438
OG0000413	Prbh.g_00626	Syae.g_01440
OG0000415	Prbh.g_00624	Syae.g_01441
OG0000416	Prbh.g_00623	Syae.g_01442
OG0000417	Prbh.g_00622	Syae.g_01443
OG0000418	Prbh.g_00617	Syae.g_01448
OG0000419	Prbh.g_00615	Syae.g_01450
OG0000420	Prbh.g_00614	Syae.g_01452
OG0000421	Prbh.g_00610	Syae.g_01457
OG0000422	Prbh.g_00609	Syae.g_01458
OG0000423	Prbh.g_00608	Syae.g_01459
OG0000424	Prbh.g_00607	Syae.g_01460
OG0000425	Prbh.g_00606	Syae.g_01461
OG0000426	Prbh.g_00605	Syae.g_01462
OG0000427	Prbh.g_00604	Syae.g_01463
OG0000428	Prbh.g_00602	Syae.g_01466
OG0000429	Prbh.g_00601	Syae.g_01468
OG0000430	Prbh.g_00600	Syae.g_01470
OG0000431	Prbh.g_00598	Syae.g_01473
OG0000432	Prbh.g_00594	Syae.g_01481
OG0000433	Prbh.g_00593	Syae.g_01484
OG0000434	Prbh.g_00592	Syae.g_01485
OG0000435	Prbh.g_00591	Syae.g_01486
OG0000436	Prbh.g_00586	Syae.g_01491
OG0000437	Prbh.g_00585	Syae.g_01492
OG0000438	Prbh.g_00584	Syae.g_01493
OG0000439	Prbh.g_00582	Syae.g_01495
OG0000440	Prbh.g_00581	Syae.g_01496
OG0000441	Prbh.g_00578	Syae.g_01501
OG0000442	Prbh.g_00577	Syae.g_01502
OG0000443	Prbh.g_00576	Syae.g_01503
OG0000444	Prbh.g_00571	Syae.g_01509
OG0000445	Prbh.g_00570	Syae.g_01510
OG0000446	Prbh.g_00569	Syae.g_01512
OG0000447	Prbh.g_00568	Syae.g_01517
OG0000448	Prbh.g_00567	Syae.g_01518
OG0000449	Prbh.g_00566	Syae.g_01519
OG0000450	Prbh.g_00565	Syae.g_01525
OG0000451	Prbh.g_00564	Syae.g_01526
OG0000452	Prbh.g_00561	Syae.g_01530
OG0000453	Prbh.g_00560	Syae.g_01531
OG0000454	Prbh.g_00559	Syae.g_01532
OG0000455	Prbh.g_00558	Syae.g_01533
OG0000456	Prbh.g_00557	Syae.g_01534
OG0000457	Prbh.g_00555	Syae.g_01536
OG0000458	Prbh.g_00554	Syae.g_01538
OG0000459	Prbh.g_00553	Syae.g_01539
OG0000460	Prbh.g_00545	Syae.g_02236
OG0000461	Prbh.g_00537	Syae.g_02024
OG0000462	Prbh.g_00535	Syae.g_02021
OG0000463	Prbh.g_00534	Syae.g_02020
OG0000464	Prbh.g_00533	Syae.g_02019
OG0000465	Prbh.g_00532	Syae.g_02018
OG0000466	Prbh.g_00529	Syae.g_02014
OG0000467	Prbh.g_00528	Syae.g_02012
OG0000468	Prbh.g_00525	Syae.g_02007
OG0000469	Prbh.g_00517	Syae.g_01992
OG0000470	Prbh.g_00515	Syae.g_01990
OG0000471	Prbh.g_00514	Syae.g_01989
OG0000472	Prbh.g_00513	Syae.g_01987
OG0000473	Prbh.g_00511	Syae.g_01985
OG0000474	Prbh.g_00510	Syae.g_01984
OG0000475	Prbh.g_00509	Syae.g_01983
OG0000476	Prbh.g_00507	Syae.g_01981
OG0000477	Prbh.g_00504	Syae.g_01975
OG0000478	Prbh.g_00503	Syae.g_01974
OG0000479	Prbh.g_00502	Syae.g_01973
OG0000480	Prbh.g_00497	Syae.g_01966
OG0000481	Prbh.g_00494	Syae.g_01964
OG0000482	Prbh.g_00493	Syae.g_01963
OG0000483	Prbh.g_00490	Syae.g_01959
OG0000484	Prbh.g_00489	Syae.g_01958
OG0000485	Prbh.g_00487	Syae.g_01957
OG0000486	Prbh.g_00486	Syae.g_01956
OG0000487	Prbh.g_00483	Syae.g_01950
OG0000488	Prbh.g_00480	Syae.g_01946
OG0000489	Prbh.g_00475	Syae.g_01936
OG0000490	Prbh.g_00471	Syae.g_01928
OG0000491	Prbh.g_00470	Syae.g_01927
OG0000492	Prbh.g_00468	Syae.g_01925
OG0000493	Prbh.g_00467	Syae.g_01924
OG0000494	Prbh.g_00466	Syae.g_01923
OG0000495	Prbh.g_00465	Syae.g_01922
OG0000496	Prbh.g_00464	Syae.g_01921
OG0000497	Prbh.g_00463	Syae.g_01920
OG0000498	Prbh.g_00462	Syae.g_01919
OG0000499	Prbh.g_00461	Syae.g_01918
OG0000500	Prbh.g_00460	Syae.g_01917
OG0000501	Prbh.g_00458	Syae.g_01914
OG0000502	Prbh.g_00455	Syae.g_01902
OG0000503	Prbh.g_00439	Syae.g_02192
OG0000504	Prbh.g_00437	Syae.g_02194
OG0000505	Prbh.g_00436	Syae.g_02195
OG0000506	Prbh.g_00435	Syae.g_02197
OG0000507	Prbh.g_00431	Syae.g_02203
OG0000508	Prbh.g_00427	Syae.g_02207
OG0000509	Prbh.g_00425	Syae.g_02209
OG0000510	Prbh.g_00424	Syae.g_02210
OG0000511	Prbh.g_00423	Syae.g_02211
OG0000512	Prbh.g_00421	Syae.g_02213
OG0000513	Prbh.g_00412	Syae.g_02223
OG0000514	Prbh.g_00401	Syae.g_02229
OG0000515	Prbh.g_00400	Syae.g_02230
OG0000516	Prbh.g_00399	Syae.g_01000
OG0000517	Prbh.g_00397	Syae.g_00995
OG0000518	Prbh.g_00386	Syae.g_00983
OG0000519	Prbh.g_00385	Syae.g_00982
OG0000520	Prbh.g_00384	Syae.g_00981
OG0000521	Prbh.g_00374	Syae.g_02491
OG0000522	Prbh.g_00372	Syae.g_02493
OG0000523	Prbh.g_00371	Syae.g_02494
OG0000524	Prbh.g_00367	Syae.g_02501
OG0000525	Prbh.g_00363	Syae.g_02520
OG0000526	Prbh.g_00361	Syae.g_02523
OG0000527	Prbh.g_00358	Syae.g_02528
OG0000528	Prbh.g_00353	Syae.g_02304
OG0000529	Prbh.g_00350	Syae.g_02310
OG0000530	Prbh.g_00347	Syae.g_02313
OG0000531	Prbh.g_00346	Syae.g_02314
OG0000532	Prbh.g_00344	Syae.g_02317
OG0000533	Prbh.g_00343	Syae.g_02318
OG0000534	Prbh.g_00342	Syae.g_02319
OG0000535	Prbh.g_00341	Syae.g_02320
OG0000536	Prbh.g_00340	Syae.g_02321
OG0000537	Prbh.g_00339	Syae.g_02322
OG0000538	Prbh.g_00329	Syae.g_02333
OG0000539	Prbh.g_00328	Syae.g_02334
OG0000540	Prbh.g_00327	Syae.g_02335
OG0000541	Prbh.g_00326	Syae.g_02336
OG0000542	Prbh.g_00325	Syae.g_02339
OG0000543	Prbh.g_00323	Syae.g_02341
OG0000544	Prbh.g_00322	Syae.g_02342
OG0000545	Prbh.g_00320	Syae.g_02344
OG0000546	Prbh.g_00317	Syae.g_02346
OG0000547	Prbh.g_00315	Syae.g_02348
OG0000548	Prbh.g_00314	Syae.g_02349
OG0000549	Prbh.g_00311	Syae.g_02354
OG0000550	Prbh.g_00306	Syae.g_02358
OG0000551	Prbh.g_00303	Syae.g_02363
OG0000552	Prbh.g_00302	Syae.g_02364
OG0000553	Prbh.g_00301	Syae.g_02366
OG0000554	Prbh.g_00295	Syae.g_02375
OG0000555	Prbh.g_00288	Syae.g_02390
OG0000556	Prbh.g_00286	Syae.g_02394
OG0000557	Prbh.g_00285	Syae.g_02398
OG0000558	Prbh.g_00283	Syae.g_02400
OG0000559	Prbh.g_00279	Syae.g_02404
OG0000560	Prbh.g_00276	Syae.g_02407
OG0000561	Prbh.g_00275	Syae.g_02408
