Orthogroup	Prbg	Syai
OG0000057	Prbg.g_01143	Syai.g_01997
OG0000058	Prbg.g_00551	Syai.g_00195
OG0000059	Prbg.g_01737	Syai.g_00351
OG0000061	Prbg.g_01486	Syai.g_02144
OG0000062	Prbg.g_00676	Syai.g_02358
OG0000063	Prbg.g_00730	Syai.g_00042
OG0000064	Prbg.g_00802	Syai.g_02844, Syai.g_01162, Syai.g_01163, Syai.g_01668, Syai.g_02350
OG0000066	Prbg.g_00256	Syai.g_01709, Syai.g_00719
OG0000067	Prbg.g_01159	Syai.g_01321
OG0000068	Prbg.g_00529	Syai.g_00628
OG0000070	Prbg.g_00170	Syai.g_02196
OG0000071	Prbg.g_00477	Syai.g_02179
OG0000072	Prbg.g_00949	Syai.g_02636
OG0000073	Prbg.g_00219	Syai.g_00659
OG0000075	Prbg.g_01821	Syai.g_00161
OG0000076	Prbg.g_01847	Syai.g_00111
OG0000077	Prbg.g_00791	Syai.g_02486
OG0000078	Prbg.g_01022	Syai.g_00543
OG0000079	Prbg.g_01035	Syai.g_00300
OG0000081	Prbg.g_00248	Syai.g_00553
OG0000082	Prbg.g_00304, Prbg.g_01639	Syai.g_00781
OG0000084	Prbg.g_00588	Syai.g_00958
OG0000085	Prbg.g_01642, Prbg.g_00716	Syai.g_02365
OG0000086	Prbg.g_00782	Syai.g_02507
OG0000087	Prbg.g_00913	Syai.g_02592
OG0000088	Prbg.g_00944	Syai.g_02630
OG0000089	Prbg.g_00137	Syai.g_00517
OG0000090	Prbg.g_00250	Syai.g_00707
OG0000091	Prbg.g_01414	Syai.g_01112
OG0000092	Prbg.g_01089	Syai.g_01358
OG0000097	Prbg.g_01440	Syai.g_01787
OG0000098	Prbg.g_00505	Syai.g_01718
OG0000099	Prbg.g_00552	Syai.g_00199
OG0000100	Prbg.g_00670	Syai.g_01372
OG0000101	Prbg.g_01785	Syai.g_00404
OG0000102	Prbg.g_01852	Syai.g_00106
OG0000103	Prbg.g_01937	Syai.g_02912
OG0000104	Prbg.g_00763	Syai.g_02929
OG0000105	Prbg.g_00053	Syai.g_00267
OG0000106	Prbg.g_00388	Syai.g_01601
OG0000107	Prbg.g_01714	Syai.g_00319
OG0000108	Prbg.g_00199	Syai.g_00638
OG0000109	Prbg.g_00213	Syai.g_00653
OG0000110	Prbg.g_00293	Syai.g_00766
OG0000111	Prbg.g_01144	Syai.g_00884
OG0000112	Prbg.g_00366	Syai.g_01512
OG0000113	Prbg.g_01182	Syai.g_01367
OG0000114	Prbg.g_01084	Syai.g_01261
OG0000115	Prbg.g_01555	Syai.g_00932
OG0000116	Prbg.g_01497	Syai.g_02156
OG0000117	Prbg.g_01459	Syai.g_01756
OG0000118	Prbg.g_00490	Syai.g_00818
OG0000119	Prbg.g_01540, Prbg.g_00688	Syai.g_02127
OG0000120	Prbg.g_00549	Syai.g_00198
OG0000121	Prbg.g_00593	Syai.g_00951
OG0000122	Prbg.g_00448, Prbg.g_00634	Syai.g_01143
OG0000123	Prbg.g_01792	Syai.g_00411
OG0000124	Prbg.g_01864	Syai.g_00089
OG0000125	Prbg.g_01900	Syai.g_02782
OG0000126	Prbg.g_00762	Syai.g_02927
OG0000128	Prbg.g_00778	Syai.g_00012
OG0000129	Prbg.g_00829	Syai.g_02771
OG0000130	Prbg.g_00800	Syai.g_02474
OG0000131	Prbg.g_00922	Syai.g_02608
OG0000132	Prbg.g_00942	Syai.g_02628
OG0000133	Prbg.g_00100	Syai.g_01507
OG0000134	Prbg.g_00139	Syai.g_00520
OG0000135	Prbg.g_00459	Syai.g_02826
OG0000136	Prbg.g_00161	Syai.g_02217
OG0000137	Prbg.g_00194	Syai.g_00865
OG0000138	Prbg.g_00214	Syai.g_00654
OG0000139	Prbg.g_00254	Syai.g_00714
OG0000140	Prbg.g_00255	Syai.g_00716
OG0000141	Prbg.g_00327	Syai.g_01041
OG0000142	Prbg.g_01422	Syai.g_01104
OG0000143	Prbg.g_01418	Syai.g_01108
OG0000144	Prbg.g_01404	Syai.g_01608
OG0000145	Prbg.g_00461	Syai.g_00660
OG0000146	Prbg.g_00365	Syai.g_01513
OG0000147	Prbg.g_00364	Syai.g_01514
OG0000148	Prbg.g_01176	Syai.g_01361
OG0000149	Prbg.g_01208	Syai.g_02059
OG0000150	Prbg.g_01218	Syai.g_00717
OG0000151	Prbg.g_01094	Syai.g_01280
OG0000152	Prbg.g_01287	Syai.g_01503
OG0000153	Prbg.g_01306	Syai.g_01461
OG0000154	Prbg.g_01326	Syai.g_01434
OG0000155	Prbg.g_01465	Syai.g_02109
OG0000156	Prbg.g_00466	Syai.g_02162
OG0000157	Prbg.g_00467	Syai.g_02163
OG0000158	Prbg.g_01829	Syai.g_00135
OG0000160	Prbg.g_00592	Syai.g_00952
OG0000161	Prbg.g_00598	Syai.g_00946
OG0000162	Prbg.g_00604	Syai.g_00939
OG0000163	Prbg.g_00643	Syai.g_02300
OG0000164	Prbg.g_01674	Syai.g_02411
OG0000165	Prbg.g_01681	Syai.g_02244
OG0000166	Prbg.g_01748	Syai.g_00364
OG0000167	Prbg.g_01819	Syai.g_00164
OG0000168	Prbg.g_01830	Syai.g_00134
OG0000169	Prbg.g_01840	Syai.g_00123
OG0000170	Prbg.g_01843	Syai.g_00116
OG0000171	Prbg.g_01863	Syai.g_00090
OG0000172	Prbg.g_01870	Syai.g_00083
OG0000173	Prbg.g_01885	Syai.g_00064
OG0000174	Prbg.g_01915	Syai.g_02828
OG0000175	Prbg.g_01928	Syai.g_02901
OG0000176	Prbg.g_00771	Syai.g_00004
OG0000177	Prbg.g_00772	Syai.g_00005
OG0000178	Prbg.g_00773	Syai.g_00006
OG0000179	Prbg.g_00858	Syai.g_00023
OG0000180	Prbg.g_00857	Syai.g_00024
OG0000181	Prbg.g_00856	Syai.g_00025
OG0000182	Prbg.g_00855	Syai.g_00026
OG0000183	Prbg.g_00851	Syai.g_00030
OG0000184	Prbg.g_00825	Syai.g_02756
OG0000185	Prbg.g_00822	Syai.g_02734
OG0000186	Prbg.g_00806	Syai.g_02469
OG0000187	Prbg.g_00805	Syai.g_02471
OG0000188	Prbg.g_00788	Syai.g_02494
OG0000189	Prbg.g_00866	Syai.g_02530
OG0000190	Prbg.g_00868	Syai.g_02532
OG0000191	Prbg.g_00891	Syai.g_02562
OG0000192	Prbg.g_00896	Syai.g_02569
OG0000193	Prbg.g_00923	Syai.g_02609
OG0000194	Prbg.g_00926	Syai.g_02612
OG0000195	Prbg.g_00928	Syai.g_02614
OG0000196	Prbg.g_00939	Syai.g_02625
OG0000197	Prbg.g_00940	Syai.g_02626
OG0000198	Prbg.g_00941	Syai.g_02627
OG0000199	Prbg.g_00948	Syai.g_02635
OG0000200	Prbg.g_00962	Syai.g_02651
OG0000202	Prbg.g_00972	Syai.g_02668
OG0000203	Prbg.g_00973	Syai.g_02669
OG0000204	Prbg.g_00974	Syai.g_02670
OG0000205	Prbg.g_00981	Syai.g_02677
OG0000206	Prbg.g_00986	Syai.g_02684
OG0000207	Prbg.g_00989	Syai.g_02686
OG0000208	Prbg.g_00990	Syai.g_02687
OG0000209	Prbg.g_00999	Syai.g_02699
OG0000210	Prbg.g_01000	Syai.g_02700
OG0000211	Prbg.g_01015	Syai.g_00533
OG0000212	Prbg.g_01023	Syai.g_00544
OG0000213	Prbg.g_01041	Syai.g_00292
OG0000214	Prbg.g_00046	Syai.g_00276
OG0000215	Prbg.g_00073	Syai.g_00245
OG0000216	Prbg.g_00074	Syai.g_00241
OG0000217	Prbg.g_00077	Syai.g_00237
OG0000218	Prbg.g_00079	Syai.g_00235
OG0000219	Prbg.g_00080	Syai.g_00234
OG0000220	Prbg.g_00081	Syai.g_00233
OG0000221	Prbg.g_00082	Syai.g_00227
OG0000222	Prbg.g_00089	Syai.g_00215
OG0000223	Prbg.g_00101	Syai.g_00194
OG0000224	Prbg.g_00103	Syai.g_00186
OG0000225	Prbg.g_00129	Syai.g_00502
OG0000226	Prbg.g_01941	Syai.g_00506
OG0000227	Prbg.g_01943	Syai.g_00508
OG0000228	Prbg.g_00136	Syai.g_00516
OG0000229	Prbg.g_00156	Syai.g_02228
OG0000230	Prbg.g_00158	Syai.g_02226
OG0000231	Prbg.g_00169	Syai.g_02208
OG0000232	Prbg.g_00180	Syai.g_00846
OG0000233	Prbg.g_00186	Syai.g_00855
OG0000234	Prbg.g_00195	Syai.g_00866
OG0000235	Prbg.g_00198	Syai.g_00637
OG0000236	Prbg.g_00212	Syai.g_00652
OG0000237	Prbg.g_00225	Syai.g_00669
OG0000238	Prbg.g_00231	Syai.g_00674
OG0000239	Prbg.g_00242	Syai.g_00691
OG0000240	Prbg.g_00243	Syai.g_00692
OG0000241	Prbg.g_00247	Syai.g_01089, Syai.g_01085
OG0000242	Prbg.g_00249	Syai.g_00705
OG0000243	Prbg.g_00260	Syai.g_00726
OG0000244	Prbg.g_00264	Syai.g_00731
OG0000245	Prbg.g_00266	Syai.g_00733
OG0000246	Prbg.g_00270	Syai.g_00737
OG0000247	Prbg.g_00280	Syai.g_00748
OG0000248	Prbg.g_00283	Syai.g_00751
OG0000249	Prbg.g_00285	Syai.g_00753
OG0000250	Prbg.g_00290	Syai.g_00762
OG0000251	Prbg.g_00310	Syai.g_00789
OG0000252	Prbg.g_00313	Syai.g_00797
OG0000253	Prbg.g_00314	Syai.g_00798
OG0000254	Prbg.g_00331	Syai.g_01045
OG0000255	Prbg.g_00337	Syai.g_01061
OG0000256	Prbg.g_00347	Syai.g_01077
OG0000257	Prbg.g_01427	Syai.g_01084
OG0000258	Prbg.g_01413	Syai.g_01113
OG0000259	Prbg.g_01396	Syai.g_01229
OG0000260	Prbg.g_01393	Syai.g_01232
OG0000261	Prbg.g_01390	Syai.g_01235
OG0000262	Prbg.g_01386	Syai.g_01240
OG0000263	Prbg.g_01122	Syai.g_01776
OG0000264	Prbg.g_01133	Syai.g_01962
OG0000265	Prbg.g_01151	Syai.g_02245
OG0000266	Prbg.g_01367	Syai.g_01401
OG0000267	Prbg.g_01355	Syai.g_01569
OG0000268	Prbg.g_01354	Syai.g_01568
OG0000269	Prbg.g_01154	Syai.g_01316
OG0000270	Prbg.g_01157	Syai.g_01319
OG0000271	Prbg.g_01165	Syai.g_01327
OG0000272	Prbg.g_01166	Syai.g_01328
OG0000273	Prbg.g_01190	Syai.g_02037
OG0000274	Prbg.g_01191	Syai.g_02038
OG0000275	Prbg.g_01194	Syai.g_02043
OG0000276	Prbg.g_01200	Syai.g_02051
OG0000277	Prbg.g_01201	Syai.g_02052
OG0000278	Prbg.g_01204	Syai.g_02055
OG0000279	Prbg.g_01211	Syai.g_02063
OG0000280	Prbg.g_01212	Syai.g_02084
OG0000281	Prbg.g_01219	Syai.g_01719
OG0000282	Prbg.g_01086	Syai.g_01263
OG0000283	Prbg.g_01263	Syai.g_01554
OG0000284	Prbg.g_01268	Syai.g_01548
OG0000285	Prbg.g_01273	Syai.g_01522
OG0000286	Prbg.g_01286	Syai.g_01504
OG0000287	Prbg.g_01552	Syai.g_01469
OG0000288	Prbg.g_01325	Syai.g_01435
OG0000289	Prbg.g_01341	Syai.g_01421
OG0000290	Prbg.g_01237	Syai.g_02010
OG0000291	Prbg.g_01235	Syai.g_02008
OG0000292	Prbg.g_01531	Syai.g_02926
OG0000293	Prbg.g_01496	Syai.g_02155
OG0000294	Prbg.g_01495	Syai.g_02154
OG0000295	Prbg.g_01472	Syai.g_02117
OG0000296	Prbg.g_01470	Syai.g_02115
OG0000297	Prbg.g_01461	Syai.g_01754
OG0000298	Prbg.g_01460	Syai.g_01755
OG0000299	Prbg.g_01441	Syai.g_01783
OG0000300	Prbg.g_01438	Syai.g_01790
OG0000301	Prbg.g_01437	Syai.g_01791
OG0000302	Prbg.g_01435	Syai.g_01793
OG0000303	Prbg.g_01429	Syai.g_01802
OG0000304	Prbg.g_00352	Syai.g_01826
OG0000305	Prbg.g_01529	Syai.g_02005
OG0000306	Prbg.g_01223	Syai.g_02090
OG0000307	Prbg.g_00538	Syai.g_00619
OG0000308	Prbg.g_00539	Syai.g_00617
OG0000309	Prbg.g_00543	Syai.g_00612
OG0000310	Prbg.g_00577	Syai.g_00989
OG0000311	Prbg.g_00579	Syai.g_00985
OG0000312	Prbg.g_00582	Syai.g_00966
OG0000313	Prbg.g_00595	Syai.g_00949
OG0000314	Prbg.g_00618	Syai.g_00908
OG0000315	Prbg.g_00628	Syai.g_00897
OG0000316	Prbg.g_00653	Syai.g_02320, Syai.g_02322
OG0000317	Prbg.g_01647	Syai.g_02373
OG0000318	Prbg.g_01651	Syai.g_02379
OG0000319	Prbg.g_01664	Syai.g_02395
OG0000320	Prbg.g_01666	Syai.g_02397
OG0000321	Prbg.g_01667	Syai.g_02398
OG0000322	Prbg.g_01668	Syai.g_02399
OG0000323	Prbg.g_01677	Syai.g_02413
OG0000324	Prbg.g_01704	Syai.g_02272
OG0000325	Prbg.g_01715	Syai.g_00320
OG0000326	Prbg.g_01722	Syai.g_00327
OG0000327	Prbg.g_01743	Syai.g_00359
OG0000328	Prbg.g_01744	Syai.g_00360
OG0000329	Prbg.g_01761	Syai.g_00378
OG0000330	Prbg.g_01762	Syai.g_00379
OG0000331	Prbg.g_01763	Syai.g_00380
OG0000332	Prbg.g_01777	Syai.g_00395
OG0000333	Prbg.g_01779	Syai.g_00398
OG0000334	Prbg.g_01788	Syai.g_00407
OG0000335	Prbg.g_01793	Syai.g_00412
OG0000336	Prbg.g_01797	Syai.g_00416
OG0000337	Prbg.g_01815	Syai.g_00169
OG0000338	Prbg.g_01816	Syai.g_00166
OG0000339	Prbg.g_01822	Syai.g_00160
OG0000340	Prbg.g_01831	Syai.g_00133
OG0000341	Prbg.g_01833	Syai.g_00131
OG0000342	Prbg.g_01834	Syai.g_00130
OG0000343	Prbg.g_01835	Syai.g_00129
OG0000344	Prbg.g_01838	Syai.g_00125
OG0000345	Prbg.g_01844	Syai.g_00115
OG0000346	Prbg.g_01848	Syai.g_00110
OG0000347	Prbg.g_01865	Syai.g_00087
OG0000348	Prbg.g_01873	Syai.g_00076
OG0000349	Prbg.g_01891	Syai.g_00057
OG0000350	Prbg.g_00419	Syai.g_00334
OG0000351	Prbg.g_01931	Syai.g_02904
OG0000352	Prbg.g_01932	Syai.g_02905
OG0000353	Prbg.g_00766	Syai.g_02932
OG0000355	Prbg.g_00768	Syai.g_00001
OG0000356	Prbg.g_00769	Syai.g_00002
OG0000357	Prbg.g_00770	Syai.g_00003
OG0000358	Prbg.g_00774	Syai.g_00007
OG0000359	Prbg.g_00775	Syai.g_00009
OG0000360	Prbg.g_00776	Syai.g_00010
OG0000361	Prbg.g_00777	Syai.g_00011
OG0000362	Prbg.g_00779	Syai.g_00013
OG0000363	Prbg.g_00860	Syai.g_00015
OG0000364	Prbg.g_00859	Syai.g_00016
OG0000365	Prbg.g_00854	Syai.g_00027
OG0000366	Prbg.g_00853	Syai.g_00028
OG0000367	Prbg.g_00852	Syai.g_00029
OG0000368	Prbg.g_00850	Syai.g_00031
OG0000369	Prbg.g_00849	Syai.g_00032
OG0000370	Prbg.g_00848	Syai.g_00033
OG0000371	Prbg.g_00841	Syai.g_00041
OG0000372	Prbg.g_00838	Syai.g_00047
OG0000373	Prbg.g_00837	Syai.g_00048
OG0000374	Prbg.g_00836	Syai.g_00049
OG0000375	Prbg.g_00834	Syai.g_00053
OG0000376	Prbg.g_00832	Syai.g_00055
OG0000377	Prbg.g_00828	Syai.g_02769
OG0000378	Prbg.g_00824	Syai.g_02751
OG0000379	Prbg.g_00821	Syai.g_02733
OG0000380	Prbg.g_00804	Syai.g_02472
OG0000381	Prbg.g_00799	Syai.g_02475
OG0000382	Prbg.g_00789	Syai.g_02493
OG0000383	Prbg.g_00787	Syai.g_02498
OG0000384	Prbg.g_00786	Syai.g_02499
OG0000385	Prbg.g_00785	Syai.g_02500
OG0000386	Prbg.g_00784	Syai.g_02501
OG0000387	Prbg.g_00870	Syai.g_02534
OG0000388	Prbg.g_00874	Syai.g_02538
OG0000389	Prbg.g_00877	Syai.g_02542
OG0000390	Prbg.g_00887	Syai.g_02556
OG0000391	Prbg.g_00890	Syai.g_02561
OG0000392	Prbg.g_00894	Syai.g_02568
OG0000393	Prbg.g_00897	Syai.g_02570
OG0000394	Prbg.g_00898	Syai.g_02571
OG0000395	Prbg.g_00899	Syai.g_02572
OG0000396	Prbg.g_00901	Syai.g_02575
OG0000397	Prbg.g_00903	Syai.g_02577
OG0000398	Prbg.g_00906	Syai.g_02582
OG0000399	Prbg.g_00907	Syai.g_02583
OG0000400	Prbg.g_00908	Syai.g_02584
OG0000401	Prbg.g_00909	Syai.g_02585
OG0000402	Prbg.g_01349	Syai.g_02588
OG0000403	Prbg.g_00911	Syai.g_02589
OG0000404	Prbg.g_00912	Syai.g_02590
OG0000405	Prbg.g_00916	Syai.g_02606
OG0000406	Prbg.g_00924	Syai.g_02610
OG0000407	Prbg.g_00925	Syai.g_02611
OG0000408	Prbg.g_00927	Syai.g_02613
OG0000409	Prbg.g_00929	Syai.g_02615
OG0000410	Prbg.g_00930	Syai.g_02616
OG0000411	Prbg.g_00931	Syai.g_02617
OG0000412	Prbg.g_00932	Syai.g_02618
OG0000413	Prbg.g_00934	Syai.g_02620
OG0000414	Prbg.g_00935	Syai.g_02621
OG0000415	Prbg.g_00936	Syai.g_02622
OG0000416	Prbg.g_00937	Syai.g_02623
OG0000417	Prbg.g_00938	Syai.g_02624
OG0000418	Prbg.g_00943	Syai.g_02629
OG0000419	Prbg.g_00945	Syai.g_02631
OG0000420	Prbg.g_00946	Syai.g_02633
OG0000421	Prbg.g_00951	Syai.g_02638
OG0000422	Prbg.g_00952	Syai.g_02639
OG0000423	Prbg.g_00953	Syai.g_02640
OG0000424	Prbg.g_00954	Syai.g_02641
OG0000425	Prbg.g_00955	Syai.g_02642
OG0000426	Prbg.g_00956	Syai.g_02643
OG0000427	Prbg.g_00957	Syai.g_02644
OG0000428	Prbg.g_00959	Syai.g_02647
OG0000429	Prbg.g_00960	Syai.g_02649
OG0000430	Prbg.g_00961	Syai.g_02650
OG0000431	Prbg.g_00963	Syai.g_02654
OG0000432	Prbg.g_00967	Syai.g_02660
OG0000433	Prbg.g_00968	Syai.g_02662
OG0000434	Prbg.g_00969	Syai.g_02663
OG0000435	Prbg.g_00970	Syai.g_02666
OG0000436	Prbg.g_00975	Syai.g_02671
OG0000437	Prbg.g_00976	Syai.g_02672
OG0000438	Prbg.g_00977	Syai.g_02673
OG0000439	Prbg.g_00979	Syai.g_02675
OG0000440	Prbg.g_00980	Syai.g_02676
OG0000441	Prbg.g_00983	Syai.g_02681
OG0000442	Prbg.g_00984	Syai.g_02682
OG0000443	Prbg.g_00985	Syai.g_02683
OG0000444	Prbg.g_00991	Syai.g_02688
OG0000445	Prbg.g_00992	Syai.g_02689
OG0000446	Prbg.g_00993	Syai.g_02690
OG0000447	Prbg.g_00994	Syai.g_02693
OG0000448	Prbg.g_00995	Syai.g_02694
OG0000449	Prbg.g_00996	Syai.g_02695
OG0000450	Prbg.g_00997	Syai.g_02696
OG0000451	Prbg.g_00998	Syai.g_02697
OG0000452	Prbg.g_01001	Syai.g_02701
OG0000453	Prbg.g_01002	Syai.g_02702
OG0000454	Prbg.g_01003	Syai.g_02703
OG0000455	Prbg.g_01004	Syai.g_02704
OG0000456	Prbg.g_01005	Syai.g_02705
OG0000457	Prbg.g_01007	Syai.g_02707
OG0000458	Prbg.g_01008	Syai.g_02708
OG0000459	Prbg.g_01009	Syai.g_02709
OG0000460	Prbg.g_01017	Syai.g_00535
OG0000461	Prbg.g_01025	Syai.g_00314
OG0000462	Prbg.g_01027	Syai.g_00311
OG0000463	Prbg.g_01028	Syai.g_00310
OG0000464	Prbg.g_01029	Syai.g_00309
OG0000465	Prbg.g_01030	Syai.g_00307
OG0000466	Prbg.g_01033	Syai.g_00303
OG0000467	Prbg.g_01034	Syai.g_00301
OG0000468	Prbg.g_01037	Syai.g_00296
OG0000469	Prbg.g_01045	Syai.g_00282
OG0000470	Prbg.g_00042	Syai.g_00280
OG0000471	Prbg.g_00043	Syai.g_00279
OG0000472	Prbg.g_00045	Syai.g_00277
OG0000473	Prbg.g_00047	Syai.g_00275
OG0000474	Prbg.g_00048	Syai.g_00274
OG0000475	Prbg.g_00049	Syai.g_00273
OG0000476	Prbg.g_00051	Syai.g_00271
OG0000477	Prbg.g_00054	Syai.g_00265
OG0000478	Prbg.g_00055	Syai.g_00264
OG0000479	Prbg.g_00056	Syai.g_00263
OG0000480	Prbg.g_00061	Syai.g_00256
OG0000481	Prbg.g_00064	Syai.g_00254
OG0000482	Prbg.g_00065	Syai.g_00253
OG0000483	Prbg.g_00068	Syai.g_00249
OG0000484	Prbg.g_00069	Syai.g_00248
OG0000485	Prbg.g_00071	Syai.g_00247
OG0000486	Prbg.g_00072	Syai.g_00246
OG0000487	Prbg.g_00075	Syai.g_00240
OG0000488	Prbg.g_00078	Syai.g_00236
OG0000489	Prbg.g_00083	Syai.g_00226
OG0000490	Prbg.g_00087	Syai.g_00218
OG0000491	Prbg.g_00088	Syai.g_00217
OG0000492	Prbg.g_00090	Syai.g_00214
OG0000493	Prbg.g_00091	Syai.g_00213
OG0000494	Prbg.g_00092	Syai.g_00212
OG0000495	Prbg.g_00093	Syai.g_00211
OG0000496	Prbg.g_00094	Syai.g_00210
OG0000497	Prbg.g_00095	Syai.g_00209
OG0000498	Prbg.g_00096	Syai.g_00208
OG0000499	Prbg.g_00097	Syai.g_00207
OG0000500	Prbg.g_00098	Syai.g_00206
OG0000501	Prbg.g_00099	Syai.g_00203
OG0000502	Prbg.g_00102	Syai.g_00192
OG0000503	Prbg.g_00117	Syai.g_00486
OG0000504	Prbg.g_00119	Syai.g_00488
OG0000505	Prbg.g_00120	Syai.g_00489
OG0000506	Prbg.g_00121	Syai.g_00491
OG0000507	Prbg.g_00124	Syai.g_00497
OG0000508	Prbg.g_00128	Syai.g_00501
OG0000509	Prbg.g_00130	Syai.g_00503
OG0000510	Prbg.g_00131	Syai.g_00504
OG0000511	Prbg.g_00132	Syai.g_00505
OG0000512	Prbg.g_01942	Syai.g_00507
OG0000513	Prbg.g_00140	Syai.g_00521
OG0000514	Prbg.g_00151	Syai.g_00528
OG0000515	Prbg.g_00152	Syai.g_00529
OG0000516	Prbg.g_00153	Syai.g_02223
OG0000517	Prbg.g_00155	Syai.g_02229
OG0000518	Prbg.g_00166	Syai.g_02211
OG0000519	Prbg.g_00167	Syai.g_02210
OG0000520	Prbg.g_00168	Syai.g_02209
OG0000521	Prbg.g_00176	Syai.g_00842
OG0000522	Prbg.g_00178	Syai.g_00844
OG0000523	Prbg.g_00179	Syai.g_00845
OG0000524	Prbg.g_00184	Syai.g_00852
OG0000525	Prbg.g_00188	Syai.g_00856
OG0000526	Prbg.g_00189	Syai.g_00859
OG0000527	Prbg.g_00192	Syai.g_00863
OG0000528	Prbg.g_00197	Syai.g_00633
OG0000529	Prbg.g_00200	Syai.g_00639
OG0000530	Prbg.g_00203	Syai.g_00642
OG0000531	Prbg.g_00204	Syai.g_00643
OG0000532	Prbg.g_00206	Syai.g_00646
OG0000533	Prbg.g_00207	Syai.g_00647
OG0000534	Prbg.g_00208	Syai.g_00648
OG0000535	Prbg.g_00209	Syai.g_00649
OG0000536	Prbg.g_00210	Syai.g_00650
OG0000537	Prbg.g_00211	Syai.g_00651
OG0000538	Prbg.g_00220	Syai.g_00662
OG0000539	Prbg.g_00221	Syai.g_00663
OG0000540	Prbg.g_00222	Syai.g_00664
OG0000541	Prbg.g_00223	Syai.g_00665
OG0000542	Prbg.g_00224	Syai.g_00668
OG0000543	Prbg.g_00226	Syai.g_00670
OG0000544	Prbg.g_00227	Syai.g_00671
OG0000545	Prbg.g_00229	Syai.g_00673
OG0000546	Prbg.g_00232	Syai.g_00675
OG0000547	Prbg.g_00234	Syai.g_00677
OG0000548	Prbg.g_00235	Syai.g_00678
OG0000549	Prbg.g_00237	Syai.g_00684
OG0000550	Prbg.g_00241	Syai.g_00689
OG0000551	Prbg.g_00244	Syai.g_00694
OG0000552	Prbg.g_00245	Syai.g_00695
OG0000553	Prbg.g_00246	Syai.g_00698
OG0000554	Prbg.g_00251	Syai.g_00708
OG0000555	Prbg.g_00259	Syai.g_00725
OG0000556	Prbg.g_00261	Syai.g_00728
OG0000557	Prbg.g_00262	Syai.g_00730
OG0000558	Prbg.g_00265	Syai.g_00732
OG0000559	Prbg.g_00269	Syai.g_00736
OG0000560	Prbg.g_00272	Syai.g_00739
OG0000561	Prbg.g_00273	Syai.g_00740
