Orthogroup	Prbg	Syah
OG0000123	Prbg.g_01792	Syah.g_00793
OG0000124	Prbg.g_01864	Syah.g_00272
OG0000125	Prbg.g_01900	Syah.g_00504
OG0000126	Prbg.g_00762	Syah.g_00379
OG0000128	Prbg.g_00778	Syah.g_00361
OG0000129	Prbg.g_00829	Syah.g_00516
OG0000130	Prbg.g_00800	Syah.g_02483
OG0000131	Prbg.g_00922	Syah.g_00052
OG0000132	Prbg.g_00942	Syah.g_00072
OG0000133	Prbg.g_00100	Syah.g_01618
OG0000134	Prbg.g_00139	Syah.g_00891
OG0000135	Prbg.g_00459	Syah.g_00465
OG0000136	Prbg.g_00161	Syah.g_02227
OG0000137	Prbg.g_00194	Syah.g_01221
OG0000138	Prbg.g_00214	Syah.g_01013
OG0000139	Prbg.g_00254	Syah.g_01070
OG0000140	Prbg.g_00255	Syah.g_01071
OG0000141	Prbg.g_00327	Syah.g_01981
OG0000142	Prbg.g_01422	Syah.g_01935
OG0000143	Prbg.g_01418	Syah.g_01931
OG0000144	Prbg.g_01404	Syah.g_01824
OG0000145	Prbg.g_00461	Syah.g_01019
OG0000146	Prbg.g_00365	Syah.g_01612
OG0000147	Prbg.g_00364	Syah.g_01611
OG0000148	Prbg.g_01176	Syah.g_01758
OG0000149	Prbg.g_01208	Syah.g_02096
OG0000150	Prbg.g_01218	Syah.g_01980
OG0000151	Prbg.g_01094	Syah.g_01820
OG0000152	Prbg.g_01287	Syah.g_01622
OG0000153	Prbg.g_01306	Syah.g_01656
OG0000154	Prbg.g_01326	Syah.g_01682
OG0000155	Prbg.g_01465	Syah.g_02123
OG0000156	Prbg.g_00466	Syah.g_02185
OG0000157	Prbg.g_00467	Syah.g_02186
OG0000158	Prbg.g_01829	Syah.g_00204
OG0000160	Prbg.g_00592	Syah.g_01289
OG0000161	Prbg.g_00598	Syah.g_01282
OG0000162	Prbg.g_00604	Syah.g_01276
OG0000163	Prbg.g_00643	Syah.g_02315
OG0000164	Prbg.g_01674	Syah.g_02423
OG0000165	Prbg.g_01681	Syah.g_02251
OG0000166	Prbg.g_01748	Syah.g_00747
OG0000167	Prbg.g_01819	Syah.g_00183
OG0000168	Prbg.g_01830	Syah.g_00205
OG0000169	Prbg.g_01840	Syah.g_00237
OG0000170	Prbg.g_01843	Syah.g_00245
OG0000171	Prbg.g_01863	Syah.g_00271
OG0000172	Prbg.g_01870	Syah.g_00293
OG0000173	Prbg.g_01885	Syah.g_00313
OG0000174	Prbg.g_01915	Syah.g_00461
OG0000175	Prbg.g_01928	Syah.g_00402
OG0000176	Prbg.g_00771	Syah.g_00369
OG0000177	Prbg.g_00772	Syah.g_00368
OG0000178	Prbg.g_00773	Syah.g_00367
OG0000179	Prbg.g_00858	Syah.g_00355
OG0000180	Prbg.g_00857	Syah.g_00354
OG0000181	Prbg.g_00856	Syah.g_00353
OG0000182	Prbg.g_00855	Syah.g_00352
OG0000183	Prbg.g_00851	Syah.g_00348
OG0000184	Prbg.g_00825	Syah.g_00525
OG0000185	Prbg.g_00822	Syah.g_00528
OG0000186	Prbg.g_00806	Syah.g_02479
OG0000187	Prbg.g_00805	Syah.g_02480
OG0000188	Prbg.g_00788	Syah.g_02501
OG0000189	Prbg.g_00866	Syah.g_02526
OG0000190	Prbg.g_00868	Syah.g_02528
OG0000191	Prbg.g_00891	Syah.g_00008
OG0000192	Prbg.g_00896	Syah.g_00013
OG0000193	Prbg.g_00923	Syah.g_00053
OG0000194	Prbg.g_00926	Syah.g_00056
OG0000195	Prbg.g_00928	Syah.g_00058
OG0000196	Prbg.g_00939	Syah.g_00069
OG0000197	Prbg.g_00940	Syah.g_00070
OG0000198	Prbg.g_00941	Syah.g_00071
OG0000199	Prbg.g_00948	Syah.g_00079
OG0000200	Prbg.g_00962	Syah.g_00616
OG0000202	Prbg.g_00972	Syah.g_00600
OG0000203	Prbg.g_00973	Syah.g_00599
OG0000204	Prbg.g_00974	Syah.g_00598
OG0000205	Prbg.g_00981	Syah.g_00591
OG0000206	Prbg.g_00986	Syah.g_00578
OG0000207	Prbg.g_00989	Syah.g_00575
OG0000208	Prbg.g_00990	Syah.g_00574
OG0000209	Prbg.g_00999	Syah.g_00544
OG0000210	Prbg.g_01000	Syah.g_00543
OG0000211	Prbg.g_01015	Syah.g_00904
OG0000212	Prbg.g_01023	Syah.g_00913
OG0000213	Prbg.g_01041	Syah.g_00657
OG0000214	Prbg.g_00046	Syah.g_00641
OG0000215	Prbg.g_00073	Syah.g_00101
OG0000216	Prbg.g_00074	Syah.g_00105
OG0000217	Prbg.g_00077	Syah.g_00109
OG0000218	Prbg.g_00079	Syah.g_00111
OG0000219	Prbg.g_00080	Syah.g_00112
OG0000220	Prbg.g_00081	Syah.g_00113
OG0000221	Prbg.g_00082	Syah.g_00120
OG0000222	Prbg.g_00089	Syah.g_00131
OG0000223	Prbg.g_00101	Syah.g_00153
OG0000224	Prbg.g_00103	Syah.g_00162
OG0000225	Prbg.g_00129	Syah.g_00874
OG0000226	Prbg.g_01941	Syah.g_00878
OG0000227	Prbg.g_01943	Syah.g_00880
OG0000228	Prbg.g_00136	Syah.g_00887
OG0000229	Prbg.g_00156	Syah.g_02236
OG0000230	Prbg.g_00158	Syah.g_02234
OG0000231	Prbg.g_00169	Syah.g_02218
OG0000232	Prbg.g_00180	Syah.g_01206
OG0000233	Prbg.g_00186	Syah.g_01210
OG0000234	Prbg.g_00195	Syah.g_01222
OG0000235	Prbg.g_00198	Syah.g_00996
OG0000236	Prbg.g_00212	Syah.g_01011
OG0000237	Prbg.g_00225	Syah.g_01028
OG0000238	Prbg.g_00231	Syah.g_01032
OG0000239	Prbg.g_00242	Syah.g_01048
OG0000240	Prbg.g_00243	Syah.g_01049
OG0000241	Prbg.g_00247	Syah.g_01944
OG0000242	Prbg.g_00249	Syah.g_01062
OG0000243	Prbg.g_00260	Syah.g_01079
OG0000244	Prbg.g_00264	Syah.g_01087
OG0000245	Prbg.g_00266	Syah.g_01090
OG0000246	Prbg.g_00270	Syah.g_01094
OG0000247	Prbg.g_00280	Syah.g_01106
OG0000248	Prbg.g_00283	Syah.g_01109
OG0000249	Prbg.g_00285	Syah.g_01111
OG0000250	Prbg.g_00290	Syah.g_01120
OG0000251	Prbg.g_00310	Syah.g_01145
OG0000252	Prbg.g_00313	Syah.g_01148
OG0000253	Prbg.g_00314	Syah.g_01149
OG0000254	Prbg.g_00331	Syah.g_01976
OG0000255	Prbg.g_00337	Syah.g_01968
OG0000256	Prbg.g_00347	Syah.g_01952
OG0000257	Prbg.g_01427	Syah.g_01945
OG0000258	Prbg.g_01413	Syah.g_01926
OG0000259	Prbg.g_01396	Syah.g_01494
OG0000260	Prbg.g_01393	Syah.g_01497
OG0000261	Prbg.g_01390	Syah.g_01500
OG0000262	Prbg.g_01386	Syah.g_01505
OG0000263	Prbg.g_01122	Syah.g_01410
OG0000264	Prbg.g_01133	Syah.g_02000
OG0000265	Prbg.g_01151	Syah.g_02252
OG0000266	Prbg.g_01367	Syah.g_01714
OG0000267	Prbg.g_01355	Syah.g_01574
OG0000268	Prbg.g_01354	Syah.g_01575
OG0000269	Prbg.g_01154	Syah.g_01784
OG0000270	Prbg.g_01157	Syah.g_01781
OG0000271	Prbg.g_01165	Syah.g_01773
OG0000272	Prbg.g_01166	Syah.g_01772
OG0000273	Prbg.g_01190	Syah.g_02075
OG0000274	Prbg.g_01191	Syah.g_02076
OG0000275	Prbg.g_01194	Syah.g_02081
OG0000276	Prbg.g_01200	Syah.g_02088
OG0000277	Prbg.g_01201	Syah.g_02089
OG0000278	Prbg.g_01204	Syah.g_02092
OG0000279	Prbg.g_01211	Syah.g_02100
OG0000280	Prbg.g_01212	Syah.g_02112
OG0000281	Prbg.g_01219	Syah.g_00722
OG0000282	Prbg.g_01086	Syah.g_01531
OG0000283	Prbg.g_01263	Syah.g_01585
OG0000284	Prbg.g_01268	Syah.g_01591
OG0000285	Prbg.g_01273	Syah.g_01603
OG0000286	Prbg.g_01286	Syah.g_01621
OG0000287	Prbg.g_01552	Syah.g_01231, Syah.g_01649
OG0000288	Prbg.g_01325	Syah.g_01681
OG0000289	Prbg.g_01341	Syah.g_01695
OG0000290	Prbg.g_01237	Syah.g_02033
OG0000291	Prbg.g_01235	Syah.g_02031
OG0000292	Prbg.g_01531	Syah.g_00380
OG0000293	Prbg.g_01496	Syah.g_02173
OG0000294	Prbg.g_01495	Syah.g_02172
OG0000295	Prbg.g_01472	Syah.g_02131
OG0000296	Prbg.g_01470	Syah.g_02129
OG0000297	Prbg.g_01461	Syah.g_01427
OG0000298	Prbg.g_01460	Syah.g_01426
OG0000299	Prbg.g_01441	Syah.g_01404
OG0000300	Prbg.g_01438	Syah.g_01397
OG0000301	Prbg.g_01437	Syah.g_01396
OG0000302	Prbg.g_01435	Syah.g_01395
OG0000303	Prbg.g_01429	Syah.g_01387
OG0000304	Prbg.g_00352	Syah.g_01382
OG0000305	Prbg.g_01529	Syah.g_02028
OG0000306	Prbg.g_01223	Syah.g_02116
OG0000307	Prbg.g_00538	Syah.g_00978
OG0000308	Prbg.g_00539	Syah.g_00976
OG0000309	Prbg.g_00543	Syah.g_00971
OG0000310	Prbg.g_00577	Syah.g_01321
OG0000311	Prbg.g_00579	Syah.g_01317
OG0000312	Prbg.g_00582	Syah.g_01304
OG0000313	Prbg.g_00595	Syah.g_01285
OG0000314	Prbg.g_00618	Syah.g_01259
OG0000315	Prbg.g_00628	Syah.g_01248
OG0000316	Prbg.g_00653	Syah.g_02333
OG0000317	Prbg.g_01647	Syah.g_02380
OG0000318	Prbg.g_01651	Syah.g_02385
OG0000319	Prbg.g_01664	Syah.g_02405
OG0000320	Prbg.g_01666	Syah.g_02407
OG0000321	Prbg.g_01667	Syah.g_02408
OG0000322	Prbg.g_01668	Syah.g_02409
OG0000323	Prbg.g_01677	Syah.g_02425
OG0000324	Prbg.g_01704	Syah.g_02278
OG0000325	Prbg.g_01715	Syah.g_00689
OG0000326	Prbg.g_01722	Syah.g_00696
OG0000327	Prbg.g_01743	Syah.g_00742
OG0000328	Prbg.g_01744	Syah.g_00743
OG0000329	Prbg.g_01761	Syah.g_00760
OG0000330	Prbg.g_01762	Syah.g_00761
OG0000331	Prbg.g_01763	Syah.g_00762
OG0000332	Prbg.g_01777	Syah.g_00776
OG0000333	Prbg.g_01779	Syah.g_00779
OG0000334	Prbg.g_01788	Syah.g_00789
OG0000335	Prbg.g_01793	Syah.g_00794
OG0000336	Prbg.g_01797	Syah.g_00798
OG0000337	Prbg.g_01815	Syah.g_00178
OG0000338	Prbg.g_01816	Syah.g_00181
OG0000339	Prbg.g_01822	Syah.g_00188
OG0000340	Prbg.g_01831	Syah.g_00206
OG0000341	Prbg.g_01833	Syah.g_00208
OG0000342	Prbg.g_01834	Syah.g_00209
OG0000343	Prbg.g_01835	Syah.g_00231
OG0000344	Prbg.g_01838	Syah.g_00235
OG0000345	Prbg.g_01844	Syah.g_00246
OG0000346	Prbg.g_01848	Syah.g_00251
OG0000347	Prbg.g_01865	Syah.g_00275
OG0000348	Prbg.g_01873	Syah.g_00301
OG0000349	Prbg.g_01891	Syah.g_00320
OG0000350	Prbg.g_00419	Syah.g_00703
OG0000351	Prbg.g_01931	Syah.g_00399
OG0000352	Prbg.g_01932	Syah.g_00398
OG0000353	Prbg.g_00766	Syah.g_00374
OG0000355	Prbg.g_00768	Syah.g_00372
OG0000356	Prbg.g_00769	Syah.g_00371
OG0000357	Prbg.g_00770	Syah.g_00370
OG0000358	Prbg.g_00774	Syah.g_00366
OG0000359	Prbg.g_00775	Syah.g_00364
OG0000360	Prbg.g_00776	Syah.g_00363
OG0000361	Prbg.g_00777	Syah.g_00362
OG0000362	Prbg.g_00779	Syah.g_00360
OG0000363	Prbg.g_00860	Syah.g_00358
OG0000364	Prbg.g_00859	Syah.g_00357
OG0000365	Prbg.g_00854	Syah.g_00351
OG0000366	Prbg.g_00853	Syah.g_00350
OG0000367	Prbg.g_00852	Syah.g_00349
OG0000368	Prbg.g_00850	Syah.g_00347
OG0000369	Prbg.g_00849	Syah.g_00346
OG0000370	Prbg.g_00848	Syah.g_00345
OG0000371	Prbg.g_00841	Syah.g_00338
OG0000372	Prbg.g_00838	Syah.g_00333
OG0000373	Prbg.g_00837	Syah.g_00332
OG0000374	Prbg.g_00836	Syah.g_00331
OG0000375	Prbg.g_00834	Syah.g_00329
OG0000376	Prbg.g_00832	Syah.g_00327
OG0000377	Prbg.g_00828	Syah.g_00517
OG0000378	Prbg.g_00824	Syah.g_00526
OG0000379	Prbg.g_00821	Syah.g_00529
OG0000380	Prbg.g_00804	Syah.g_02481
OG0000381	Prbg.g_00799	Syah.g_02484
OG0000382	Prbg.g_00789	Syah.g_02500
OG0000383	Prbg.g_00787	Syah.g_02502
OG0000384	Prbg.g_00786	Syah.g_02503
OG0000385	Prbg.g_00785	Syah.g_02504
OG0000386	Prbg.g_00784	Syah.g_02505
OG0000387	Prbg.g_00870	Syah.g_02530
OG0000388	Prbg.g_00874	Syah.g_02533
OG0000389	Prbg.g_00877	Syah.g_02536
OG0000390	Prbg.g_00887	Syah.g_00002
OG0000391	Prbg.g_00890	Syah.g_00007
OG0000392	Prbg.g_00894	Syah.g_00012
OG0000393	Prbg.g_00897	Syah.g_00014
OG0000394	Prbg.g_00898	Syah.g_00015
OG0000395	Prbg.g_00899	Syah.g_00016
OG0000396	Prbg.g_00901	Syah.g_00019
OG0000397	Prbg.g_00903	Syah.g_00021
OG0000398	Prbg.g_00906	Syah.g_00027
OG0000399	Prbg.g_00907	Syah.g_00028
OG0000400	Prbg.g_00908	Syah.g_00029
OG0000401	Prbg.g_00909	Syah.g_00030
OG0000402	Prbg.g_01349	Syah.g_00033
OG0000403	Prbg.g_00911	Syah.g_00034
OG0000404	Prbg.g_00912	Syah.g_00036
OG0000405	Prbg.g_00916	Syah.g_00050
OG0000406	Prbg.g_00924	Syah.g_00054
OG0000407	Prbg.g_00925	Syah.g_00055
OG0000408	Prbg.g_00927	Syah.g_00057
OG0000409	Prbg.g_00929	Syah.g_00059
OG0000410	Prbg.g_00930	Syah.g_00060
OG0000411	Prbg.g_00931	Syah.g_00061
OG0000412	Prbg.g_00932	Syah.g_00062
OG0000413	Prbg.g_00934	Syah.g_00064
OG0000414	Prbg.g_00935	Syah.g_00065
OG0000415	Prbg.g_00936	Syah.g_00066
OG0000416	Prbg.g_00937	Syah.g_00067
OG0000417	Prbg.g_00938	Syah.g_00068
OG0000418	Prbg.g_00943	Syah.g_00073
OG0000419	Prbg.g_00945	Syah.g_00075
OG0000420	Prbg.g_00946	Syah.g_00077
OG0000421	Prbg.g_00951	Syah.g_00082
OG0000422	Prbg.g_00952	Syah.g_00083
OG0000423	Prbg.g_00953	Syah.g_00084
OG0000424	Prbg.g_00954	Syah.g_00085
OG0000425	Prbg.g_00955	Syah.g_00086
OG0000426	Prbg.g_00956	Syah.g_00087
OG0000427	Prbg.g_00957	Syah.g_00088
OG0000428	Prbg.g_00959	Syah.g_00620
OG0000429	Prbg.g_00960	Syah.g_00618
OG0000430	Prbg.g_00961	Syah.g_00617
OG0000431	Prbg.g_00963	Syah.g_00613
OG0000432	Prbg.g_00967	Syah.g_00607
OG0000433	Prbg.g_00968	Syah.g_00605
OG0000434	Prbg.g_00969	Syah.g_00604
OG0000435	Prbg.g_00970	Syah.g_00602
OG0000436	Prbg.g_00975	Syah.g_00597
OG0000437	Prbg.g_00976	Syah.g_00596
OG0000438	Prbg.g_00977	Syah.g_00595
OG0000439	Prbg.g_00979	Syah.g_00593
OG0000440	Prbg.g_00980	Syah.g_00592
OG0000441	Prbg.g_00983	Syah.g_00585
OG0000442	Prbg.g_00984	Syah.g_00580
OG0000443	Prbg.g_00985	Syah.g_00579
OG0000444	Prbg.g_00991	Syah.g_00573
OG0000445	Prbg.g_00992	Syah.g_00572
OG0000446	Prbg.g_00993	Syah.g_00570
OG0000447	Prbg.g_00994	Syah.g_00567
OG0000448	Prbg.g_00995	Syah.g_00566
OG0000449	Prbg.g_00996	Syah.g_00565
OG0000450	Prbg.g_00997	Syah.g_00547
OG0000451	Prbg.g_00998	Syah.g_00546
OG0000452	Prbg.g_01001	Syah.g_00542
OG0000453	Prbg.g_01002	Syah.g_00541
OG0000454	Prbg.g_01003	Syah.g_00540
OG0000455	Prbg.g_01004	Syah.g_00539
OG0000456	Prbg.g_01005	Syah.g_00538
OG0000457	Prbg.g_01007	Syah.g_00536
OG0000458	Prbg.g_01008	Syah.g_00535
OG0000459	Prbg.g_01009	Syah.g_00534
OG0000460	Prbg.g_01017	Syah.g_00906
OG0000461	Prbg.g_01025	Syah.g_00678
OG0000462	Prbg.g_01027	Syah.g_00675
OG0000463	Prbg.g_01028	Syah.g_00674
OG0000464	Prbg.g_01029	Syah.g_00673
OG0000465	Prbg.g_01030	Syah.g_00672
OG0000466	Prbg.g_01033	Syah.g_00668
OG0000467	Prbg.g_01034	Syah.g_00666
OG0000468	Prbg.g_01037	Syah.g_00661
OG0000469	Prbg.g_01045	Syah.g_00647
OG0000470	Prbg.g_00042	Syah.g_00645
OG0000471	Prbg.g_00043	Syah.g_00644
OG0000472	Prbg.g_00045	Syah.g_00642
OG0000473	Prbg.g_00047	Syah.g_00640
OG0000474	Prbg.g_00048	Syah.g_00639
OG0000475	Prbg.g_00049	Syah.g_00638
OG0000476	Prbg.g_00051	Syah.g_00636
OG0000477	Prbg.g_00054	Syah.g_00630
OG0000478	Prbg.g_00055	Syah.g_00629
OG0000479	Prbg.g_00056	Syah.g_00628
OG0000480	Prbg.g_00061	Syah.g_00089
OG0000481	Prbg.g_00064	Syah.g_00091
OG0000482	Prbg.g_00065	Syah.g_00092
OG0000483	Prbg.g_00068	Syah.g_00096
OG0000484	Prbg.g_00069	Syah.g_00097
OG0000485	Prbg.g_00071	Syah.g_00098
OG0000486	Prbg.g_00072	Syah.g_00099
OG0000487	Prbg.g_00075	Syah.g_00106
OG0000488	Prbg.g_00078	Syah.g_00110
OG0000489	Prbg.g_00083	Syah.g_00121
OG0000490	Prbg.g_00087	Syah.g_00129
OG0000491	Prbg.g_00088	Syah.g_00130
OG0000492	Prbg.g_00090	Syah.g_00132
OG0000493	Prbg.g_00091	Syah.g_00133
OG0000494	Prbg.g_00092	Syah.g_00134
OG0000495	Prbg.g_00093	Syah.g_00135
OG0000496	Prbg.g_00094	Syah.g_00136
OG0000497	Prbg.g_00095	Syah.g_00137
OG0000498	Prbg.g_00096	Syah.g_00138
OG0000499	Prbg.g_00097	Syah.g_00139
OG0000500	Prbg.g_00098	Syah.g_00140
OG0000501	Prbg.g_00099	Syah.g_00143
OG0000502	Prbg.g_00102	Syah.g_00155
OG0000503	Prbg.g_00117	Syah.g_00858
OG0000504	Prbg.g_00119	Syah.g_00860
OG0000505	Prbg.g_00120	Syah.g_00861
OG0000506	Prbg.g_00121	Syah.g_00863
OG0000507	Prbg.g_00124	Syah.g_00869
OG0000508	Prbg.g_00128	Syah.g_00873
OG0000509	Prbg.g_00130	Syah.g_00875
OG0000510	Prbg.g_00131	Syah.g_00876
OG0000511	Prbg.g_00132	Syah.g_00877
OG0000512	Prbg.g_01942	Syah.g_00879
OG0000513	Prbg.g_00140	Syah.g_00892
OG0000514	Prbg.g_00151	Syah.g_00899
OG0000515	Prbg.g_00152	Syah.g_00900
OG0000516	Prbg.g_00153	Syah.g_02231
OG0000517	Prbg.g_00155	Syah.g_02237
OG0000518	Prbg.g_00166	Syah.g_02221
OG0000519	Prbg.g_00167	Syah.g_02220
OG0000520	Prbg.g_00168	Syah.g_02219
OG0000521	Prbg.g_00176	Syah.g_01202
OG0000522	Prbg.g_00178	Syah.g_01204
OG0000523	Prbg.g_00179	Syah.g_01205
OG0000524	Prbg.g_00184	Syah.g_01207
OG0000525	Prbg.g_00188	Syah.g_01212
OG0000526	Prbg.g_00189	Syah.g_01215
OG0000527	Prbg.g_00192	Syah.g_01219
OG0000528	Prbg.g_00197	Syah.g_00991
OG0000529	Prbg.g_00200	Syah.g_00998
OG0000530	Prbg.g_00203	Syah.g_01001
OG0000531	Prbg.g_00204	Syah.g_01002
OG0000532	Prbg.g_00206	Syah.g_01005
OG0000533	Prbg.g_00207	Syah.g_01006
OG0000534	Prbg.g_00208	Syah.g_01007
OG0000535	Prbg.g_00209	Syah.g_01008
OG0000536	Prbg.g_00210	Syah.g_01009
OG0000537	Prbg.g_00211	Syah.g_01010
OG0000538	Prbg.g_00220	Syah.g_01021
OG0000539	Prbg.g_00221	Syah.g_01022
OG0000540	Prbg.g_00222	Syah.g_01023
OG0000541	Prbg.g_00223	Syah.g_01024
OG0000542	Prbg.g_00224	Syah.g_01027
OG0000543	Prbg.g_00226	Syah.g_01029
OG0000545	Prbg.g_00229	Syah.g_01031
OG0000546	Prbg.g_00232	Syah.g_01033
OG0000547	Prbg.g_00234	Syah.g_01035
OG0000548	Prbg.g_00235	Syah.g_01036
OG0000549	Prbg.g_00237	Syah.g_01042
OG0000550	Prbg.g_00241	Syah.g_01046
OG0000551	Prbg.g_00244	Syah.g_01051
OG0000552	Prbg.g_00245	Syah.g_01052
OG0000553	Prbg.g_00246	Syah.g_01054
OG0000554	Prbg.g_00251	Syah.g_01065
OG0000555	Prbg.g_00259	Syah.g_01078
OG0000556	Prbg.g_00261	Syah.g_01084
OG0000557	Prbg.g_00262	Syah.g_01086
OG0000558	Prbg.g_00265	Syah.g_01088
OG0000559	Prbg.g_00269	Syah.g_01093
OG0000560	Prbg.g_00272	Syah.g_01096
OG0000561	Prbg.g_00273	Syah.g_01097
OG0000562	Prbg.g_00274	Syah.g_01098
OG0000563	Prbg.g_00275	Syah.g_01099
