Orthogroup	Prbg	Syaa
OG0000074	Prbg.g_00021, Prbg.g_01064, Prbg.g_01123	Syaa.g_00372
OG0000075	Prbg.g_01821	Syaa.g_00157
OG0000076	Prbg.g_01847	Syaa.g_00123
OG0000077	Prbg.g_00791	Syaa.g_00341
OG0000078	Prbg.g_01022	Syaa.g_02103
OG0000079	Prbg.g_01035	Syaa.g_00303
OG0000080	Prbg.g_00563, Prbg.g_00565	Syaa.g_00487
OG0000081	Prbg.g_00248	Syaa.g_02089
OG0000082	Prbg.g_00304, Prbg.g_01639	Syaa.g_01905
OG0000084	Prbg.g_00588	Syaa.g_01770
OG0000085	Prbg.g_01642, Prbg.g_00716	Syaa.g_00564
OG0000086	Prbg.g_00782	Syaa.g_00324
OG0000087	Prbg.g_00913	Syaa.g_02433
OG0000088	Prbg.g_00944	Syaa.g_02474
OG0000089	Prbg.g_00137	Syaa.g_02149
OG0000090	Prbg.g_00250	Syaa.g_01980
OG0000091	Prbg.g_01414	Syaa.g_01625
OG0000097	Prbg.g_01440	Syaa.g_00979
OG0000099	Prbg.g_00552	Syaa.g_00202
OG0000100	Prbg.g_00670	Syaa.g_01201
OG0000101	Prbg.g_01785	Syaa.g_02249
OG0000102	Prbg.g_01852	Syaa.g_00118
OG0000103	Prbg.g_01937	Syaa.g_02740
OG0000104	Prbg.g_00763	Syaa.g_02754
OG0000105	Prbg.g_00053	Syaa.g_00270
OG0000106	Prbg.g_00388	Syaa.g_01439
OG0000107	Prbg.g_01714	Syaa.g_02351
OG0000108	Prbg.g_00199	Syaa.g_02051
OG0000109	Prbg.g_00213	Syaa.g_02036
OG0000110	Prbg.g_00293	Syaa.g_01918
OG0000111	Prbg.g_01144	Syaa.g_00888
OG0000112	Prbg.g_00366	Syaa.g_01366
OG0000113	Prbg.g_01182	Syaa.g_01196
OG0000114	Prbg.g_01084	Syaa.g_01094
OG0000115	Prbg.g_01555	Syaa.g_01795
OG0000116	Prbg.g_01497	Syaa.g_00757
OG0000117	Prbg.g_01459	Syaa.g_01009
OG0000118	Prbg.g_00490	Syaa.g_01874
OG0000119	Prbg.g_01540, Prbg.g_00688	Syaa.g_00785
OG0000120	Prbg.g_00549	Syaa.g_00201
OG0000121	Prbg.g_00593	Syaa.g_01777
OG0000122	Prbg.g_00448, Prbg.g_00634	Syaa.g_01598
OG0000123	Prbg.g_01792	Syaa.g_02242
OG0000124	Prbg.g_01864	Syaa.g_00092
OG0000125	Prbg.g_01900	Syaa.g_02598
OG0000126	Prbg.g_00762	Syaa.g_02752
OG0000128	Prbg.g_00778	Syaa.g_00012
OG0000129	Prbg.g_00829	Syaa.g_02586
OG0000130	Prbg.g_00800	Syaa.g_00354
OG0000131	Prbg.g_00922	Syaa.g_02448
OG0000132	Prbg.g_00942	Syaa.g_02472
OG0000133	Prbg.g_00100	Syaa.g_01361
OG0000134	Prbg.g_00139	Syaa.g_02146
OG0000135	Prbg.g_00459	Syaa.g_02649
OG0000136	Prbg.g_00161	Syaa.g_00708
OG0000137	Prbg.g_00194	Syaa.g_01842
OG0000138	Prbg.g_00214	Syaa.g_02035
OG0000139	Prbg.g_00254	Syaa.g_01974
OG0000140	Prbg.g_00255	Syaa.g_01971
OG0000141	Prbg.g_00327	Syaa.g_01689
OG0000142	Prbg.g_01422	Syaa.g_01633
OG0000143	Prbg.g_01418	Syaa.g_01629
OG0000144	Prbg.g_01404	Syaa.g_01446
OG0000145	Prbg.g_00461	Syaa.g_02029
OG0000146	Prbg.g_00365	Syaa.g_01367
OG0000147	Prbg.g_00364	Syaa.g_01368
OG0000148	Prbg.g_01176	Syaa.g_01190
OG0000149	Prbg.g_01208	Syaa.g_00826
OG0000150	Prbg.g_01218	Syaa.g_01688
OG0000151	Prbg.g_01094	Syaa.g_01107
OG0000152	Prbg.g_01287	Syaa.g_01357
OG0000153	Prbg.g_01306	Syaa.g_01324
OG0000154	Prbg.g_01326	Syaa.g_01298
OG0000155	Prbg.g_01465	Syaa.g_00804
OG0000156	Prbg.g_00466	Syaa.g_00751
OG0000157	Prbg.g_00467	Syaa.g_00750
OG0000158	Prbg.g_01829	Syaa.g_00148
OG0000160	Prbg.g_00592	Syaa.g_01776
OG0000161	Prbg.g_00598	Syaa.g_01782
OG0000162	Prbg.g_00604	Syaa.g_01788
OG0000163	Prbg.g_00643	Syaa.g_00624
OG0000164	Prbg.g_01674	Syaa.g_00507
OG0000165	Prbg.g_01681	Syaa.g_00681
OG0000166	Prbg.g_01748	Syaa.g_02289
OG0000167	Prbg.g_01819	Syaa.g_00160
OG0000168	Prbg.g_01830	Syaa.g_00145
OG0000169	Prbg.g_01840	Syaa.g_00134
OG0000170	Prbg.g_01843	Syaa.g_00128
OG0000171	Prbg.g_01863	Syaa.g_00093
OG0000172	Prbg.g_01870	Syaa.g_00079
OG0000173	Prbg.g_01885	Syaa.g_00060
OG0000174	Prbg.g_01915	Syaa.g_02651
OG0000175	Prbg.g_01928	Syaa.g_02726
OG0000176	Prbg.g_00771	Syaa.g_00004
OG0000177	Prbg.g_00772	Syaa.g_00005
OG0000178	Prbg.g_00773	Syaa.g_00006
OG0000179	Prbg.g_00858	Syaa.g_00023
OG0000180	Prbg.g_00857	Syaa.g_00024
OG0000181	Prbg.g_00856	Syaa.g_00025
OG0000182	Prbg.g_00855	Syaa.g_00026
OG0000183	Prbg.g_00851	Syaa.g_00030
OG0000184	Prbg.g_00825	Syaa.g_02578
OG0000185	Prbg.g_00822	Syaa.g_02575
OG0000186	Prbg.g_00806	Syaa.g_00359
OG0000187	Prbg.g_00805	Syaa.g_00358
OG0000188	Prbg.g_00788	Syaa.g_00334
OG0000189	Prbg.g_00866	Syaa.g_02367
OG0000190	Prbg.g_00868	Syaa.g_02369
OG0000191	Prbg.g_00891	Syaa.g_02404
OG0000192	Prbg.g_00896	Syaa.g_02410
OG0000193	Prbg.g_00923	Syaa.g_02449
OG0000194	Prbg.g_00926	Syaa.g_02452
OG0000195	Prbg.g_00928	Syaa.g_02459
OG0000196	Prbg.g_00939	Syaa.g_02469
OG0000197	Prbg.g_00940	Syaa.g_02470
OG0000198	Prbg.g_00941	Syaa.g_02471
OG0000199	Prbg.g_00948	Syaa.g_02479
OG0000200	Prbg.g_00962	Syaa.g_02496
OG0000201	Prbg.g_00971	Syaa.g_02521
OG0000202	Prbg.g_00972	Syaa.g_02522
OG0000203	Prbg.g_00973	Syaa.g_02523
OG0000204	Prbg.g_00974	Syaa.g_02524
OG0000205	Prbg.g_00981	Syaa.g_02531
OG0000206	Prbg.g_00986	Syaa.g_02538
OG0000207	Prbg.g_00989	Syaa.g_02540
OG0000208	Prbg.g_00990	Syaa.g_02541
OG0000209	Prbg.g_00999	Syaa.g_02556
OG0000210	Prbg.g_01000	Syaa.g_02557
OG0000211	Prbg.g_01015	Syaa.g_02113
OG0000212	Prbg.g_01023	Syaa.g_02102
OG0000213	Prbg.g_01041	Syaa.g_00295
OG0000214	Prbg.g_00046	Syaa.g_00279
OG0000215	Prbg.g_00073	Syaa.g_00248
OG0000216	Prbg.g_00074	Syaa.g_00244
OG0000217	Prbg.g_00077	Syaa.g_00240
OG0000218	Prbg.g_00079	Syaa.g_00238
OG0000219	Prbg.g_00080	Syaa.g_00237
OG0000220	Prbg.g_00081	Syaa.g_00236
OG0000221	Prbg.g_00082	Syaa.g_00229
OG0000222	Prbg.g_00089	Syaa.g_00215
OG0000223	Prbg.g_00101	Syaa.g_00192
OG0000224	Prbg.g_00103	Syaa.g_00183
OG0000225	Prbg.g_00129	Syaa.g_02166
OG0000226	Prbg.g_01941	Syaa.g_02162
OG0000227	Prbg.g_01943	Syaa.g_02160
OG0000228	Prbg.g_00136	Syaa.g_02150
OG0000229	Prbg.g_00156	Syaa.g_00703
OG0000230	Prbg.g_00158	Syaa.g_00705
OG0000231	Prbg.g_00169	Syaa.g_00717
OG0000232	Prbg.g_00180	Syaa.g_01858
OG0000233	Prbg.g_00186	Syaa.g_01853
OG0000234	Prbg.g_00195	Syaa.g_01841
OG0000235	Prbg.g_00198	Syaa.g_02052
OG0000236	Prbg.g_00212	Syaa.g_02037
OG0000237	Prbg.g_00225	Syaa.g_02020
OG0000238	Prbg.g_00231	Syaa.g_02015
OG0000239	Prbg.g_00242	Syaa.g_01996
OG0000240	Prbg.g_00243	Syaa.g_01995
OG0000241	Prbg.g_00247	Syaa.g_01644
OG0000242	Prbg.g_00249	Syaa.g_01982
OG0000243	Prbg.g_00260	Syaa.g_01960
OG0000244	Prbg.g_00264	Syaa.g_01954
OG0000245	Prbg.g_00266	Syaa.g_01952
OG0000246	Prbg.g_00270	Syaa.g_01948
OG0000247	Prbg.g_00280	Syaa.g_01937
OG0000248	Prbg.g_00283	Syaa.g_01934
OG0000249	Prbg.g_00285	Syaa.g_01932
OG0000250	Prbg.g_00290	Syaa.g_01922
OG0000251	Prbg.g_00310	Syaa.g_01897
OG0000252	Prbg.g_00313	Syaa.g_01894
OG0000253	Prbg.g_00314	Syaa.g_01893
OG0000254	Prbg.g_00331	Syaa.g_01684
OG0000255	Prbg.g_00337	Syaa.g_01668
OG0000256	Prbg.g_00347	Syaa.g_01651
OG0000257	Prbg.g_01427	Syaa.g_01645
OG0000258	Prbg.g_01413	Syaa.g_01624
OG0000259	Prbg.g_01396	Syaa.g_01063
OG0000260	Prbg.g_01393	Syaa.g_01066
OG0000261	Prbg.g_01390	Syaa.g_01069
OG0000262	Prbg.g_01386	Syaa.g_01074
OG0000263	Prbg.g_01122	Syaa.g_00989
OG0000264	Prbg.g_01133	Syaa.g_00910
OG0000265	Prbg.g_01151	Syaa.g_00931, Syaa.g_01498
OG0000266	Prbg.g_01367	Syaa.g_01257, Syaa.g_01258
OG0000267	Prbg.g_01355	Syaa.g_01409
OG0000268	Prbg.g_01354	Syaa.g_01408
OG0000269	Prbg.g_01154	Syaa.g_01149
OG0000270	Prbg.g_01157	Syaa.g_01152
OG0000271	Prbg.g_01165	Syaa.g_01160
OG0000272	Prbg.g_01166	Syaa.g_01161
OG0000273	Prbg.g_01190	Syaa.g_00844
OG0000274	Prbg.g_01191	Syaa.g_00843
OG0000275	Prbg.g_01194	Syaa.g_00840
OG0000276	Prbg.g_01200	Syaa.g_00834
OG0000277	Prbg.g_01201	Syaa.g_00833
OG0000278	Prbg.g_01204	Syaa.g_00830
OG0000279	Prbg.g_01211	Syaa.g_00822
OG0000280	Prbg.g_01212	Syaa.g_00815
OG0000282	Prbg.g_01086	Syaa.g_01096
OG0000283	Prbg.g_01263	Syaa.g_01396
OG0000284	Prbg.g_01268	Syaa.g_01390
OG0000285	Prbg.g_01273	Syaa.g_01377
OG0000286	Prbg.g_01286	Syaa.g_01358
OG0000287	Prbg.g_01552	Syaa.g_01330
OG0000288	Prbg.g_01325	Syaa.g_01299
OG0000289	Prbg.g_01341	Syaa.g_01285
OG0000290	Prbg.g_01237	Syaa.g_00875
OG0000291	Prbg.g_01235	Syaa.g_00877
OG0000292	Prbg.g_01531	Syaa.g_02751
OG0000293	Prbg.g_01496	Syaa.g_00758
OG0000294	Prbg.g_01495	Syaa.g_00759
OG0000295	Prbg.g_01472	Syaa.g_00796
OG0000296	Prbg.g_01470	Syaa.g_00798
OG0000297	Prbg.g_01461	Syaa.g_01021
OG0000298	Prbg.g_01460	Syaa.g_01010
OG0000299	Prbg.g_01441	Syaa.g_00982
OG0000300	Prbg.g_01438	Syaa.g_00976
OG0000301	Prbg.g_01437	Syaa.g_00975
OG0000302	Prbg.g_01435	Syaa.g_00972
OG0000303	Prbg.g_01429	Syaa.g_00963
OG0000304	Prbg.g_00352	Syaa.g_00957
OG0000305	Prbg.g_01529	Syaa.g_00881
OG0000306	Prbg.g_01223	Syaa.g_00807
OG0000307	Prbg.g_00538	Syaa.g_02068
OG0000308	Prbg.g_00539	Syaa.g_02070
OG0000309	Prbg.g_00543	Syaa.g_02075
OG0000310	Prbg.g_00577	Syaa.g_01752
OG0000311	Prbg.g_00579	Syaa.g_01757
OG0000312	Prbg.g_00582	Syaa.g_01762
OG0000313	Prbg.g_00595	Syaa.g_01779
OG0000314	Prbg.g_00618	Syaa.g_01806
OG0000315	Prbg.g_00628	Syaa.g_01816
OG0000316	Prbg.g_00653	Syaa.g_00598
OG0000317	Prbg.g_01647	Syaa.g_00556
OG0000318	Prbg.g_01651	Syaa.g_00550
OG0000319	Prbg.g_01664	Syaa.g_00532
OG0000320	Prbg.g_01666	Syaa.g_00530
OG0000321	Prbg.g_01667	Syaa.g_00529
OG0000322	Prbg.g_01668	Syaa.g_00528
OG0000323	Prbg.g_01677	Syaa.g_00496
OG0000324	Prbg.g_01704	Syaa.g_00653
OG0000325	Prbg.g_01715	Syaa.g_02350
OG0000326	Prbg.g_01722	Syaa.g_02343
OG0000327	Prbg.g_01743	Syaa.g_02294
OG0000328	Prbg.g_01744	Syaa.g_02293
OG0000329	Prbg.g_01761	Syaa.g_02275
OG0000330	Prbg.g_01762	Syaa.g_02274
OG0000331	Prbg.g_01763	Syaa.g_02273
OG0000332	Prbg.g_01777	Syaa.g_02258
OG0000333	Prbg.g_01779	Syaa.g_02255
OG0000334	Prbg.g_01788	Syaa.g_02246
OG0000335	Prbg.g_01793	Syaa.g_02241
OG0000336	Prbg.g_01797	Syaa.g_02237
OG0000337	Prbg.g_01815	Syaa.g_00167
OG0000338	Prbg.g_01816	Syaa.g_00162
OG0000339	Prbg.g_01822	Syaa.g_00156
OG0000340	Prbg.g_01831	Syaa.g_00144
OG0000341	Prbg.g_01833	Syaa.g_00142
OG0000342	Prbg.g_01834	Syaa.g_00141
OG0000343	Prbg.g_01835	Syaa.g_00140
OG0000344	Prbg.g_01838	Syaa.g_00136
OG0000345	Prbg.g_01844	Syaa.g_00127
OG0000346	Prbg.g_01848	Syaa.g_00122
OG0000347	Prbg.g_01865	Syaa.g_00088
OG0000348	Prbg.g_01873	Syaa.g_00071
OG0000349	Prbg.g_01891	Syaa.g_00053
OG0000350	Prbg.g_00419	Syaa.g_02336
OG0000351	Prbg.g_01931	Syaa.g_02730
OG0000352	Prbg.g_01932	Syaa.g_02731
OG0000353	Prbg.g_00766	Syaa.g_02757
OG0000355	Prbg.g_00768	Syaa.g_00001
OG0000356	Prbg.g_00769	Syaa.g_00002
OG0000357	Prbg.g_00770	Syaa.g_00003
OG0000358	Prbg.g_00774	Syaa.g_00007
OG0000359	Prbg.g_00775	Syaa.g_00009
OG0000360	Prbg.g_00776	Syaa.g_00010
OG0000361	Prbg.g_00777	Syaa.g_00011
OG0000362	Prbg.g_00779	Syaa.g_00013
OG0000363	Prbg.g_00860	Syaa.g_00015
OG0000364	Prbg.g_00859	Syaa.g_00016
OG0000365	Prbg.g_00854	Syaa.g_00027
OG0000366	Prbg.g_00853	Syaa.g_00028
OG0000367	Prbg.g_00852	Syaa.g_00029
OG0000368	Prbg.g_00850	Syaa.g_00031
OG0000369	Prbg.g_00849	Syaa.g_00032
OG0000370	Prbg.g_00848	Syaa.g_00033
OG0000371	Prbg.g_00841	Syaa.g_00041
OG0000372	Prbg.g_00838	Syaa.g_00046
OG0000373	Prbg.g_00837	Syaa.g_00047
OG0000374	Prbg.g_00836	Syaa.g_00048
OG0000375	Prbg.g_00834	Syaa.g_00049
OG0000376	Prbg.g_00832	Syaa.g_00051
OG0000377	Prbg.g_00828	Syaa.g_02585
OG0000378	Prbg.g_00824	Syaa.g_02577
OG0000379	Prbg.g_00821	Syaa.g_02574
OG0000380	Prbg.g_00804	Syaa.g_00357
OG0000381	Prbg.g_00799	Syaa.g_00353
OG0000382	Prbg.g_00789	Syaa.g_00335
OG0000383	Prbg.g_00787	Syaa.g_00333
OG0000384	Prbg.g_00786	Syaa.g_00332
OG0000385	Prbg.g_00785	Syaa.g_00331
OG0000386	Prbg.g_00784	Syaa.g_00330
OG0000387	Prbg.g_00870	Syaa.g_02371
OG0000388	Prbg.g_00874	Syaa.g_02375
OG0000389	Prbg.g_00877	Syaa.g_02379
OG0000390	Prbg.g_00887	Syaa.g_02398
OG0000391	Prbg.g_00890	Syaa.g_02403
OG0000392	Prbg.g_00894	Syaa.g_02409
OG0000393	Prbg.g_00897	Syaa.g_02412
OG0000394	Prbg.g_00898	Syaa.g_02413
OG0000395	Prbg.g_00899	Syaa.g_02414
OG0000396	Prbg.g_00901	Syaa.g_02417
OG0000397	Prbg.g_00903	Syaa.g_02419
OG0000398	Prbg.g_00906	Syaa.g_02424
OG0000399	Prbg.g_00907	Syaa.g_02425
OG0000400	Prbg.g_00908	Syaa.g_02426
OG0000401	Prbg.g_00909	Syaa.g_02427
OG0000402	Prbg.g_01349	Syaa.g_02429
OG0000403	Prbg.g_00911	Syaa.g_02430
OG0000404	Prbg.g_00912	Syaa.g_02431
OG0000405	Prbg.g_00916	Syaa.g_02446
OG0000406	Prbg.g_00924	Syaa.g_02450
OG0000407	Prbg.g_00925	Syaa.g_02451
OG0000408	Prbg.g_00927	Syaa.g_02458
OG0000409	Prbg.g_00929	Syaa.g_02460
OG0000410	Prbg.g_00930	Syaa.g_02461
OG0000411	Prbg.g_00931	Syaa.g_02462
OG0000412	Prbg.g_00932	Syaa.g_02463
OG0000413	Prbg.g_00934	Syaa.g_02465
OG0000415	Prbg.g_00936	Syaa.g_02466
OG0000416	Prbg.g_00937	Syaa.g_02467
OG0000417	Prbg.g_00938	Syaa.g_02468
OG0000418	Prbg.g_00943	Syaa.g_02473
OG0000419	Prbg.g_00945	Syaa.g_02475
OG0000420	Prbg.g_00946	Syaa.g_02477
OG0000421	Prbg.g_00951	Syaa.g_02482
OG0000422	Prbg.g_00952	Syaa.g_02483
OG0000423	Prbg.g_00953	Syaa.g_02484
OG0000424	Prbg.g_00954	Syaa.g_02485
OG0000425	Prbg.g_00955	Syaa.g_02486
OG0000426	Prbg.g_00956	Syaa.g_02487
OG0000427	Prbg.g_00957	Syaa.g_02488
OG0000428	Prbg.g_00959	Syaa.g_02491
OG0000429	Prbg.g_00960	Syaa.g_02493
OG0000430	Prbg.g_00961	Syaa.g_02495
OG0000431	Prbg.g_00963	Syaa.g_02498
OG0000432	Prbg.g_00967	Syaa.g_02504
OG0000433	Prbg.g_00968	Syaa.g_02513
OG0000434	Prbg.g_00969	Syaa.g_02514
OG0000435	Prbg.g_00970	Syaa.g_02516
OG0000436	Prbg.g_00975	Syaa.g_02525
OG0000437	Prbg.g_00976	Syaa.g_02526
OG0000438	Prbg.g_00977	Syaa.g_02527
OG0000439	Prbg.g_00979	Syaa.g_02529
OG0000440	Prbg.g_00980	Syaa.g_02530
OG0000441	Prbg.g_00983	Syaa.g_02534
OG0000442	Prbg.g_00984	Syaa.g_02535
OG0000443	Prbg.g_00985	Syaa.g_02536
OG0000444	Prbg.g_00991	Syaa.g_02542
OG0000445	Prbg.g_00992	Syaa.g_02543
OG0000446	Prbg.g_00993	Syaa.g_02545
OG0000447	Prbg.g_00994	Syaa.g_02548
OG0000448	Prbg.g_00995	Syaa.g_02549
OG0000449	Prbg.g_00996	Syaa.g_02550
OG0000450	Prbg.g_00997	Syaa.g_02553
OG0000451	Prbg.g_00998	Syaa.g_02554
OG0000452	Prbg.g_01001	Syaa.g_02558
OG0000453	Prbg.g_01002	Syaa.g_02559
OG0000454	Prbg.g_01003	Syaa.g_02560
OG0000455	Prbg.g_01004	Syaa.g_02561
OG0000456	Prbg.g_01005	Syaa.g_02562
OG0000457	Prbg.g_01007	Syaa.g_02564
OG0000458	Prbg.g_01008	Syaa.g_02565
OG0000459	Prbg.g_01009	Syaa.g_02566
OG0000460	Prbg.g_01017	Syaa.g_02111
OG0000461	Prbg.g_01025	Syaa.g_00318
OG0000462	Prbg.g_01027	Syaa.g_00315
OG0000463	Prbg.g_01028	Syaa.g_00314
OG0000464	Prbg.g_01029	Syaa.g_00313
OG0000465	Prbg.g_01030	Syaa.g_00311
OG0000466	Prbg.g_01033	Syaa.g_00306
OG0000467	Prbg.g_01034	Syaa.g_00304
OG0000468	Prbg.g_01037	Syaa.g_00299
OG0000469	Prbg.g_01045	Syaa.g_00285
OG0000470	Prbg.g_00042	Syaa.g_00283
OG0000471	Prbg.g_00043	Syaa.g_00282
OG0000472	Prbg.g_00045	Syaa.g_00280
OG0000473	Prbg.g_00047	Syaa.g_00278
OG0000474	Prbg.g_00048	Syaa.g_00277
OG0000475	Prbg.g_00049	Syaa.g_00276
OG0000476	Prbg.g_00051	Syaa.g_00274
OG0000477	Prbg.g_00054	Syaa.g_00268
OG0000478	Prbg.g_00055	Syaa.g_00267
OG0000479	Prbg.g_00056	Syaa.g_00266
OG0000480	Prbg.g_00061	Syaa.g_00259
OG0000481	Prbg.g_00064	Syaa.g_00257
OG0000482	Prbg.g_00065	Syaa.g_00256
OG0000483	Prbg.g_00068	Syaa.g_00252
OG0000484	Prbg.g_00069	Syaa.g_00251
OG0000485	Prbg.g_00071	Syaa.g_00250
OG0000486	Prbg.g_00072	Syaa.g_00249
OG0000487	Prbg.g_00075	Syaa.g_00243
OG0000488	Prbg.g_00078	Syaa.g_00239
OG0000489	Prbg.g_00083	Syaa.g_00228
OG0000490	Prbg.g_00087	Syaa.g_00220
OG0000491	Prbg.g_00088	Syaa.g_00218
OG0000492	Prbg.g_00090	Syaa.g_00214
OG0000493	Prbg.g_00091	Syaa.g_00213
OG0000494	Prbg.g_00092	Syaa.g_00212
OG0000495	Prbg.g_00093	Syaa.g_00211
OG0000496	Prbg.g_00094	Syaa.g_00210
OG0000497	Prbg.g_00095	Syaa.g_00209
OG0000498	Prbg.g_00096	Syaa.g_00208
OG0000499	Prbg.g_00097	Syaa.g_00207
OG0000500	Prbg.g_00098	Syaa.g_00206
OG0000501	Prbg.g_00099	Syaa.g_00203
OG0000502	Prbg.g_00102	Syaa.g_00190
OG0000503	Prbg.g_00117	Syaa.g_02182
OG0000504	Prbg.g_00119	Syaa.g_02180
OG0000505	Prbg.g_00120	Syaa.g_02179
OG0000506	Prbg.g_00121	Syaa.g_02177
OG0000507	Prbg.g_00124	Syaa.g_02171
OG0000508	Prbg.g_00128	Syaa.g_02167
OG0000509	Prbg.g_00130	Syaa.g_02165
OG0000510	Prbg.g_00131	Syaa.g_02164
OG0000511	Prbg.g_00132	Syaa.g_02163
OG0000512	Prbg.g_01942	Syaa.g_02161
OG0000513	Prbg.g_00140	Syaa.g_02145
OG0000514	Prbg.g_00151	Syaa.g_02118
OG0000515	Prbg.g_00152	Syaa.g_02117
OG0000516	Prbg.g_00153	Syaa.g_00698
OG0000517	Prbg.g_00155	Syaa.g_00702
OG0000518	Prbg.g_00166	Syaa.g_00714
OG0000519	Prbg.g_00167	Syaa.g_00715
OG0000520	Prbg.g_00168	Syaa.g_00716
OG0000521	Prbg.g_00176	Syaa.g_01864
OG0000522	Prbg.g_00178	Syaa.g_01862
OG0000523	Prbg.g_00179	Syaa.g_01859
OG0000524	Prbg.g_00184	Syaa.g_01856
OG0000525	Prbg.g_00188	Syaa.g_01851
OG0000526	Prbg.g_00189	Syaa.g_01848
OG0000527	Prbg.g_00192	Syaa.g_01844
OG0000528	Prbg.g_00197	Syaa.g_02054
OG0000529	Prbg.g_00200	Syaa.g_02050
OG0000530	Prbg.g_00203	Syaa.g_02047
OG0000531	Prbg.g_00204	Syaa.g_02046
OG0000532	Prbg.g_00206	Syaa.g_02043
OG0000533	Prbg.g_00207	Syaa.g_02042
OG0000534	Prbg.g_00208	Syaa.g_02041
OG0000535	Prbg.g_00209	Syaa.g_02040
OG0000536	Prbg.g_00210	Syaa.g_02039
OG0000537	Prbg.g_00211	Syaa.g_02038
OG0000538	Prbg.g_00220	Syaa.g_02027
OG0000539	Prbg.g_00221	Syaa.g_02026
OG0000540	Prbg.g_00222	Syaa.g_02025
OG0000541	Prbg.g_00223	Syaa.g_02024
OG0000542	Prbg.g_00224	Syaa.g_02021
