Orthogroup	Prbg	Syad
OG0000222	Prbg.g_00089	Syad.g_00473
OG0000223	Prbg.g_00101	Syad.g_00451
OG0000224	Prbg.g_00103	Syad.g_00444
OG0000225	Prbg.g_00129	Syad.g_00777
OG0000226	Prbg.g_01941	Syad.g_00781
OG0000227	Prbg.g_01943	Syad.g_00783
OG0000228	Prbg.g_00136	Syad.g_00784
OG0000229	Prbg.g_00156	Syad.g_02450
OG0000230	Prbg.g_00158	Syad.g_02448
OG0000231	Prbg.g_00169	Syad.g_02436
OG0000232	Prbg.g_00180	Syad.g_02392
OG0000233	Prbg.g_00186	Syad.g_02382
OG0000234	Prbg.g_00195	Syad.g_02351
OG0000235	Prbg.g_00198	Syad.g_00903
OG0000236	Prbg.g_00212	Syad.g_00918
OG0000237	Prbg.g_00225	Syad.g_00936
OG0000238	Prbg.g_00231	Syad.g_00941
OG0000239	Prbg.g_00242	Syad.g_00957
OG0000240	Prbg.g_00243	Syad.g_00958
OG0000241	Prbg.g_00247	Syad.g_02160
OG0000242	Prbg.g_00249	Syad.g_00975
OG0000243	Prbg.g_00260	Syad.g_01000
OG0000244	Prbg.g_00264	Syad.g_01012
OG0000245	Prbg.g_00266	Syad.g_01014
OG0000246	Prbg.g_00270	Syad.g_01017
OG0000247	Prbg.g_00280	Syad.g_01029
OG0000248	Prbg.g_00283	Syad.g_01032
OG0000249	Prbg.g_00285	Syad.g_01034
OG0000250	Prbg.g_00290	Syad.g_01044
OG0000251	Prbg.g_00310	Syad.g_01071
OG0000252	Prbg.g_00313	Syad.g_01078
OG0000253	Prbg.g_00314	Syad.g_01081
OG0000254	Prbg.g_00331	Syad.g_02203
OG0000255	Prbg.g_00337	Syad.g_02185
OG0000256	Prbg.g_00347	Syad.g_02167
OG0000257	Prbg.g_01427	Syad.g_02161
OG0000258	Prbg.g_01413	Syad.g_02143
OG0000259	Prbg.g_01396	Syad.g_01576
OG0000260	Prbg.g_01393	Syad.g_01587
OG0000261	Prbg.g_01390	Syad.g_01590
OG0000262	Prbg.g_01386	Syad.g_01595
OG0000263	Prbg.g_01122	Syad.g_01475
OG0000264	Prbg.g_01133	Syad.g_01360
OG0000265	Prbg.g_01151	Syad.g_01383
OG0000266	Prbg.g_01367	Syad.g_01804
OG0000267	Prbg.g_01355	Syad.g_01645
OG0000268	Prbg.g_01354	Syad.g_01646
OG0000269	Prbg.g_01154	Syad.g_01894
OG0000270	Prbg.g_01157	Syad.g_01891
OG0000271	Prbg.g_01165	Syad.g_01883
OG0000272	Prbg.g_01166	Syad.g_01882
OG0000273	Prbg.g_01190	Syad.g_01247
OG0000274	Prbg.g_01191	Syad.g_01246
OG0000275	Prbg.g_01194	Syad.g_01242
OG0000276	Prbg.g_01200	Syad.g_01229
OG0000277	Prbg.g_01201	Syad.g_01228
OG0000278	Prbg.g_01204	Syad.g_01225
OG0000279	Prbg.g_01211	Syad.g_01208
OG0000280	Prbg.g_01212	Syad.g_01198
OG0000281	Prbg.g_01219	Syad.g_00624
OG0000282	Prbg.g_01086	Syad.g_01619
OG0000283	Prbg.g_01263	Syad.g_01661
OG0000284	Prbg.g_01268	Syad.g_01787
OG0000285	Prbg.g_01273	Syad.g_01776
OG0000286	Prbg.g_01286	Syad.g_01758
OG0000287	Prbg.g_01552	Syad.g_01720
OG0000288	Prbg.g_01325	Syad.g_01687
OG0000289	Prbg.g_01341	Syad.g_01672
OG0000290	Prbg.g_01237	Syad.g_01287
OG0000291	Prbg.g_01235	Syad.g_01289
OG0000292	Prbg.g_01531	Syad.g_00155
OG0000293	Prbg.g_01496	Syad.g_01124
OG0000294	Prbg.g_01495	Syad.g_01125
OG0000295	Prbg.g_01472	Syad.g_01181
OG0000296	Prbg.g_01470	Syad.g_01183
OG0000297	Prbg.g_01461	Syad.g_01512
OG0000298	Prbg.g_01460	Syad.g_01511
OG0000299	Prbg.g_01441	Syad.g_01462
OG0000300	Prbg.g_01438	Syad.g_01455
OG0000301	Prbg.g_01437	Syad.g_01454
OG0000302	Prbg.g_01435	Syad.g_01453
OG0000303	Prbg.g_01429	Syad.g_01442
OG0000304	Prbg.g_00352	Syad.g_01436
OG0000305	Prbg.g_01529	Syad.g_01292
OG0000306	Prbg.g_01223	Syad.g_01989
OG0000307	Prbg.g_00538	Syad.g_00883
OG0000308	Prbg.g_00539	Syad.g_00881
OG0000309	Prbg.g_00543	Syad.g_00876
OG0000310	Prbg.g_00577	Syad.g_02250
OG0000311	Prbg.g_00579	Syad.g_02254
OG0000312	Prbg.g_00582	Syad.g_02265
OG0000313	Prbg.g_00595	Syad.g_02284
OG0000314	Prbg.g_00618	Syad.g_02313
OG0000315	Prbg.g_00628	Syad.g_02323
OG0000316	Prbg.g_00653	Syad.g_02564
OG0000317	Prbg.g_01647	Syad.g_02620
OG0000318	Prbg.g_01651	Syad.g_02624
OG0000319	Prbg.g_01664	Syad.g_02642
OG0000320	Prbg.g_01666	Syad.g_02644
OG0000321	Prbg.g_01667	Syad.g_02645
OG0000322	Prbg.g_01668	Syad.g_02646
OG0000323	Prbg.g_01677	Syad.g_02661
OG0000324	Prbg.g_01704	Syad.g_02505
OG0000325	Prbg.g_01715	Syad.g_00591
OG0000326	Prbg.g_01722	Syad.g_00598
OG0000327	Prbg.g_01743	Syad.g_00649
OG0000328	Prbg.g_01744	Syad.g_00650
OG0000329	Prbg.g_01761	Syad.g_00668
OG0000330	Prbg.g_01762	Syad.g_00669
OG0000331	Prbg.g_01763	Syad.g_00670
OG0000332	Prbg.g_01777	Syad.g_00685
OG0000333	Prbg.g_01779	Syad.g_00688
OG0000334	Prbg.g_01788	Syad.g_00697
OG0000335	Prbg.g_01793	Syad.g_00702
OG0000336	Prbg.g_01797	Syad.g_00706
OG0000337	Prbg.g_01815	Syad.g_00425, Syad.g_00427
OG0000338	Prbg.g_01816	Syad.g_00421
OG0000339	Prbg.g_01822	Syad.g_00414
OG0000340	Prbg.g_01831	Syad.g_00370
OG0000341	Prbg.g_01833	Syad.g_00368
OG0000342	Prbg.g_01834	Syad.g_00367
OG0000343	Prbg.g_01835	Syad.g_00366
OG0000344	Prbg.g_01838	Syad.g_00362
OG0000345	Prbg.g_01844	Syad.g_00352
OG0000346	Prbg.g_01848	Syad.g_00347
OG0000347	Prbg.g_01865	Syad.g_00318
OG0000348	Prbg.g_01873	Syad.g_00233
OG0000349	Prbg.g_01891	Syad.g_00213
OG0000350	Prbg.g_00419	Syad.g_00605
OG0000351	Prbg.g_01931	Syad.g_00134
OG0000352	Prbg.g_01932	Syad.g_00135
OG0000353	Prbg.g_00766	Syad.g_00161
OG0000355	Prbg.g_00768	Syad.g_00163
OG0000356	Prbg.g_00769	Syad.g_00164
OG0000357	Prbg.g_00770	Syad.g_00165
OG0000358	Prbg.g_00774	Syad.g_00169
OG0000359	Prbg.g_00775	Syad.g_00171
OG0000360	Prbg.g_00776	Syad.g_00172
OG0000361	Prbg.g_00777	Syad.g_00173
OG0000362	Prbg.g_00779	Syad.g_00175
OG0000363	Prbg.g_00860	Syad.g_00177
OG0000364	Prbg.g_00859	Syad.g_00178
OG0000365	Prbg.g_00854	Syad.g_00187
OG0000366	Prbg.g_00853	Syad.g_00188
OG0000367	Prbg.g_00852	Syad.g_00189
OG0000368	Prbg.g_00850	Syad.g_00191
OG0000369	Prbg.g_00849	Syad.g_00192
OG0000370	Prbg.g_00848	Syad.g_00193
OG0000371	Prbg.g_00841	Syad.g_00201
OG0000372	Prbg.g_00838	Syad.g_00206
OG0000373	Prbg.g_00837	Syad.g_00207
OG0000374	Prbg.g_00836	Syad.g_00208
OG0000375	Prbg.g_00834	Syad.g_00209
OG0000376	Prbg.g_00832	Syad.g_00211
OG0000377	Prbg.g_00828	Syad.g_03027
OG0000378	Prbg.g_00824	Syad.g_03012
OG0000379	Prbg.g_00821	Syad.g_03005
OG0000380	Prbg.g_00804	Syad.g_02725
OG0000381	Prbg.g_00799	Syad.g_02729
OG0000382	Prbg.g_00789	Syad.g_02758
OG0000383	Prbg.g_00787	Syad.g_02761
OG0000384	Prbg.g_00786	Syad.g_02762
OG0000385	Prbg.g_00785	Syad.g_02763
OG0000386	Prbg.g_00784	Syad.g_02764
OG0000387	Prbg.g_00870	Syad.g_02792
OG0000388	Prbg.g_00874	Syad.g_02796
OG0000389	Prbg.g_00877	Syad.g_02800
OG0000390	Prbg.g_00887	Syad.g_02818
OG0000391	Prbg.g_00890	Syad.g_02823
OG0000392	Prbg.g_00894	Syad.g_02833
OG0000393	Prbg.g_00897	Syad.g_02837
OG0000394	Prbg.g_00898	Syad.g_02838
OG0000395	Prbg.g_00899	Syad.g_02839
OG0000396	Prbg.g_00901	Syad.g_02843
OG0000397	Prbg.g_00903	Syad.g_02845
OG0000398	Prbg.g_00906	Syad.g_02850
OG0000399	Prbg.g_00907	Syad.g_02851
OG0000400	Prbg.g_00908	Syad.g_02852
OG0000401	Prbg.g_00909	Syad.g_02853
OG0000402	Prbg.g_01349	Syad.g_02855
OG0000403	Prbg.g_00911	Syad.g_02856
OG0000404	Prbg.g_00912	Syad.g_02858
OG0000405	Prbg.g_00916	Syad.g_02874
OG0000406	Prbg.g_00924	Syad.g_02878
OG0000407	Prbg.g_00925	Syad.g_02879
OG0000408	Prbg.g_00927	Syad.g_02883
OG0000409	Prbg.g_00929	Syad.g_02885
OG0000410	Prbg.g_00930	Syad.g_02886
OG0000411	Prbg.g_00931	Syad.g_02887
OG0000412	Prbg.g_00932	Syad.g_02888
OG0000413	Prbg.g_00934	Syad.g_02890
OG0000415	Prbg.g_00936	Syad.g_02891
OG0000416	Prbg.g_00937	Syad.g_02892
OG0000417	Prbg.g_00938	Syad.g_02893
OG0000418	Prbg.g_00943	Syad.g_02898
OG0000419	Prbg.g_00945	Syad.g_02900
OG0000420	Prbg.g_00946	Syad.g_02902
OG0000421	Prbg.g_00951	Syad.g_02907
OG0000422	Prbg.g_00952	Syad.g_02908
OG0000423	Prbg.g_00953	Syad.g_02909
OG0000424	Prbg.g_00954	Syad.g_02910
OG0000425	Prbg.g_00955	Syad.g_02911
OG0000426	Prbg.g_00956	Syad.g_02912
OG0000427	Prbg.g_00957	Syad.g_02913
OG0000428	Prbg.g_00959	Syad.g_02916
OG0000429	Prbg.g_00960	Syad.g_02918
OG0000430	Prbg.g_00961	Syad.g_02920
OG0000431	Prbg.g_00963	Syad.g_02923
OG0000432	Prbg.g_00967	Syad.g_02930
OG0000433	Prbg.g_00968	Syad.g_02933
OG0000434	Prbg.g_00969	Syad.g_02934
OG0000435	Prbg.g_00970	Syad.g_02936
OG0000436	Prbg.g_00975	Syad.g_02942
OG0000437	Prbg.g_00976	Syad.g_02943
OG0000438	Prbg.g_00977	Syad.g_02944
OG0000439	Prbg.g_00979	Syad.g_02946
OG0000440	Prbg.g_00980	Syad.g_02947
OG0000441	Prbg.g_00983	Syad.g_02951
OG0000442	Prbg.g_00984	Syad.g_02952
OG0000443	Prbg.g_00985	Syad.g_02953
OG0000444	Prbg.g_00991	Syad.g_02964
OG0000445	Prbg.g_00992	Syad.g_02965
OG0000446	Prbg.g_00993	Syad.g_02967
OG0000447	Prbg.g_00994	Syad.g_02970
OG0000448	Prbg.g_00995	Syad.g_02971
OG0000449	Prbg.g_00996	Syad.g_02972
OG0000450	Prbg.g_00997	Syad.g_02978
OG0000451	Prbg.g_00998	Syad.g_02979
OG0000452	Prbg.g_01001	Syad.g_02983
OG0000453	Prbg.g_01002	Syad.g_02984
OG0000454	Prbg.g_01003	Syad.g_02985
OG0000455	Prbg.g_01004	Syad.g_02986
OG0000456	Prbg.g_01005	Syad.g_02987
OG0000457	Prbg.g_01007	Syad.g_02989
OG0000458	Prbg.g_01008	Syad.g_02998
OG0000459	Prbg.g_01009	Syad.g_02999
OG0000460	Prbg.g_01017	Syad.g_00815
OG0000461	Prbg.g_01025	Syad.g_00579
OG0000462	Prbg.g_01027	Syad.g_00576
OG0000463	Prbg.g_01028	Syad.g_00575
OG0000464	Prbg.g_01029	Syad.g_00574
OG0000465	Prbg.g_01030	Syad.g_00573
OG0000466	Prbg.g_01033	Syad.g_00568
OG0000467	Prbg.g_01034	Syad.g_00566
OG0000468	Prbg.g_01037	Syad.g_00561
OG0000469	Prbg.g_01045	Syad.g_00545
OG0000470	Prbg.g_00042	Syad.g_00542
OG0000471	Prbg.g_00043	Syad.g_00541
OG0000472	Prbg.g_00045	Syad.g_00539
OG0000473	Prbg.g_00047	Syad.g_00537
OG0000474	Prbg.g_00048	Syad.g_00536
OG0000475	Prbg.g_00049	Syad.g_00535
OG0000476	Prbg.g_00051	Syad.g_00533
OG0000477	Prbg.g_00054	Syad.g_00528
OG0000478	Prbg.g_00055	Syad.g_00527
OG0000479	Prbg.g_00056	Syad.g_00526
OG0000480	Prbg.g_00061	Syad.g_00520
OG0000481	Prbg.g_00064	Syad.g_00518
OG0000482	Prbg.g_00065	Syad.g_00517
OG0000483	Prbg.g_00068	Syad.g_00513
OG0000484	Prbg.g_00069	Syad.g_00512
OG0000485	Prbg.g_00071	Syad.g_00511
OG0000486	Prbg.g_00072	Syad.g_00510
OG0000487	Prbg.g_00075	Syad.g_00503
OG0000488	Prbg.g_00078	Syad.g_00499
OG0000489	Prbg.g_00083	Syad.g_00487
OG0000490	Prbg.g_00087	Syad.g_00475
OG0000491	Prbg.g_00088	Syad.g_00474
OG0000492	Prbg.g_00090	Syad.g_00472
OG0000493	Prbg.g_00091	Syad.g_00471
OG0000494	Prbg.g_00092	Syad.g_00470
OG0000495	Prbg.g_00093	Syad.g_00469
OG0000496	Prbg.g_00094	Syad.g_00468
OG0000497	Prbg.g_00095	Syad.g_00467
OG0000498	Prbg.g_00096	Syad.g_00466
OG0000499	Prbg.g_00097	Syad.g_00465
OG0000500	Prbg.g_00098	Syad.g_00464
OG0000501	Prbg.g_00099	Syad.g_00461
OG0000502	Prbg.g_00102	Syad.g_00449
OG0000503	Prbg.g_00117	Syad.g_00761
OG0000504	Prbg.g_00119	Syad.g_00763
OG0000505	Prbg.g_00120	Syad.g_00764
OG0000506	Prbg.g_00121	Syad.g_00766
OG0000507	Prbg.g_00124	Syad.g_00772
OG0000508	Prbg.g_00128	Syad.g_00776
OG0000509	Prbg.g_00130	Syad.g_00778
OG0000510	Prbg.g_00131	Syad.g_00779
OG0000511	Prbg.g_00132	Syad.g_00780
OG0000512	Prbg.g_01942	Syad.g_00782
OG0000513	Prbg.g_00140	Syad.g_00789
OG0000514	Prbg.g_00151	Syad.g_00795
OG0000515	Prbg.g_00152	Syad.g_00796
OG0000516	Prbg.g_00153	Syad.g_02456
OG0000517	Prbg.g_00155	Syad.g_02451
OG0000518	Prbg.g_00166	Syad.g_02439
OG0000519	Prbg.g_00167	Syad.g_02438
OG0000520	Prbg.g_00168	Syad.g_02437
OG0000521	Prbg.g_00176	Syad.g_01108
OG0000522	Prbg.g_00178	Syad.g_01109
OG0000523	Prbg.g_00179	Syad.g_01110
OG0000524	Prbg.g_00184	Syad.g_02386
OG0000525	Prbg.g_00188	Syad.g_02363
OG0000526	Prbg.g_00189	Syad.g_02360
OG0000527	Prbg.g_00192	Syad.g_02355
OG0000528	Prbg.g_00197	Syad.g_00897
OG0000529	Prbg.g_00200	Syad.g_00905
OG0000530	Prbg.g_00203	Syad.g_00908
OG0000531	Prbg.g_00204	Syad.g_00909
OG0000532	Prbg.g_00206	Syad.g_00912
OG0000533	Prbg.g_00207	Syad.g_00913
OG0000534	Prbg.g_00208	Syad.g_00914
OG0000535	Prbg.g_00209	Syad.g_00915
OG0000536	Prbg.g_00210	Syad.g_00916
OG0000537	Prbg.g_00211	Syad.g_00917
OG0000538	Prbg.g_00220	Syad.g_00929
OG0000539	Prbg.g_00221	Syad.g_00930
OG0000540	Prbg.g_00222	Syad.g_00931
OG0000541	Prbg.g_00223	Syad.g_00932
OG0000542	Prbg.g_00224	Syad.g_00935
OG0000543	Prbg.g_00226	Syad.g_00937
OG0000544	Prbg.g_00227	Syad.g_00938
OG0000545	Prbg.g_00229	Syad.g_00940
OG0000546	Prbg.g_00232	Syad.g_00942
OG0000547	Prbg.g_00234	Syad.g_00944
OG0000548	Prbg.g_00235	Syad.g_00945
OG0000549	Prbg.g_00237	Syad.g_00952
OG0000550	Prbg.g_00241	Syad.g_00956
OG0000551	Prbg.g_00244	Syad.g_00960
OG0000552	Prbg.g_00245	Syad.g_00961
OG0000553	Prbg.g_00246	Syad.g_00965
OG0000554	Prbg.g_00251	Syad.g_00978
OG0000555	Prbg.g_00259	Syad.g_00999
OG0000556	Prbg.g_00261	Syad.g_01003
OG0000557	Prbg.g_00262	Syad.g_01011
