Orthogroup	Prbg	Syae
OG0000053	Prbg.g_01595, Prbg.g_00612	Syae.g_02629
OG0000054	Prbg.g_00326	Syae.g_00014
OG0000055	Prbg.g_01535	Syae.g_00817
OG0000057	Prbg.g_01143	Syae.g_00782
OG0000058	Prbg.g_00551	Syae.g_01905
OG0000059	Prbg.g_01737	Syae.g_02074
OG0000061	Prbg.g_01486	Syae.g_00921
OG0000062	Prbg.g_00676	Syae.g_01145
OG0000063	Prbg.g_00730	Syae.g_01752
OG0000064	Prbg.g_00802	Syae.g_00012, Syae.g_01631, Syae.g_00194, Syae.g_01137
OG0000065	Prbg.g_00879	Syae.g_00722, Syae.g_01363
OG0000066	Prbg.g_00256	Syae.g_02386
OG0000067	Prbg.g_01159	Syae.g_00521
OG0000068	Prbg.g_00529	Syae.g_02299
OG0000069	Prbg.g_00174	Syae.g_00458
OG0000070	Prbg.g_00170	Syae.g_00979
OG0000071	Prbg.g_00477	Syae.g_00961
OG0000072	Prbg.g_00949	Syae.g_01455
OG0000073	Prbg.g_00219	Syae.g_02330
OG0000075	Prbg.g_01821	Syae.g_01871
OG0000076	Prbg.g_01847	Syae.g_01829
OG0000077	Prbg.g_00791	Syae.g_01297
OG0000078	Prbg.g_01022	Syae.g_02243
OG0000079	Prbg.g_01035	Syae.g_02011
OG0000081	Prbg.g_00248	Syae.g_02261
OG0000082	Prbg.g_00304, Prbg.g_01639	Syae.g_02447
OG0000084	Prbg.g_00588	Syae.g_02656
OG0000085	Prbg.g_01642, Prbg.g_00716	Syae.g_01152
OG0000086	Prbg.g_00782	Syae.g_01333
OG0000087	Prbg.g_00913	Syae.g_01414
OG0000088	Prbg.g_00944	Syae.g_01449
OG0000089	Prbg.g_00137	Syae.g_02219
OG0000090	Prbg.g_00250	Syae.g_02374
OG0000091	Prbg.g_01414	Syae.g_00082
OG0000092	Prbg.g_01089	Syae.g_00884
OG0000095	Prbg.g_01234	Syae.g_01624
OG0000097	Prbg.g_01440	Syae.g_00683
OG0000098	Prbg.g_00505	Syae.g_02058
OG0000099	Prbg.g_00552	Syae.g_01913, Syae.g_01226
OG0000100	Prbg.g_00670	Syae.g_00489
OG0000101	Prbg.g_01785	Syae.g_02125
OG0000102	Prbg.g_01852	Syae.g_01824
OG0000103	Prbg.g_01937	Syae.g_01694
OG0000104	Prbg.g_00763	Syae.g_01708
OG0000105	Prbg.g_00053	Syae.g_01977
OG0000106	Prbg.g_00388	Syae.g_00272
OG0000107	Prbg.g_01714	Syae.g_02032
OG0000108	Prbg.g_00199	Syae.g_02309
OG0000109	Prbg.g_00213	Syae.g_02324
OG0000110	Prbg.g_00293	Syae.g_02435
OG0000111	Prbg.g_01144	Syae.g_00783
OG0000112	Prbg.g_00366	Syae.g_00351
OG0000113	Prbg.g_01182	Syae.g_00494
OG0000114	Prbg.g_01084	Syae.g_00575
OG0000115	Prbg.g_01555	Syae.g_02631
OG0000116	Prbg.g_01497	Syae.g_00939
OG0000117	Prbg.g_01459	Syae.g_00647
OG0000118	Prbg.g_00490	Syae.g_02479
OG0000119	Prbg.g_01540, Prbg.g_00688	Syae.g_00904
OG0000120	Prbg.g_00549	Syae.g_01912
OG0000121	Prbg.g_00593	Syae.g_02649
OG0000122	Prbg.g_00448, Prbg.g_00634	Syae.g_00112
OG0000123	Prbg.g_01792	Syae.g_02131
OG0000124	Prbg.g_01864	Syae.g_01809
OG0000125	Prbg.g_01900	Syae.g_01573
OG0000126	Prbg.g_00762	Syae.g_01706
OG0000128	Prbg.g_00778	Syae.g_01724
OG0000129	Prbg.g_00829	Syae.g_01562
OG0000130	Prbg.g_00800	Syae.g_01284
OG0000131	Prbg.g_00922	Syae.g_01428
OG0000132	Prbg.g_00942	Syae.g_01447
OG0000133	Prbg.g_00100	Syae.g_00356
OG0000134	Prbg.g_00139	Syae.g_02222
OG0000135	Prbg.g_00459	Syae.g_01608
OG0000136	Prbg.g_00161	Syae.g_00989
OG0000137	Prbg.g_00194	Syae.g_02530
OG0000138	Prbg.g_00214	Syae.g_02325
OG0000139	Prbg.g_00254	Syae.g_02380
OG0000140	Prbg.g_00255	Syae.g_02383
OG0000141	Prbg.g_00327	Syae.g_00016
OG0000142	Prbg.g_01422	Syae.g_00074
OG0000143	Prbg.g_01418	Syae.g_00078
OG0000144	Prbg.g_01404	Syae.g_00261
OG0000145	Prbg.g_00461	Syae.g_02331
OG0000146	Prbg.g_00365	Syae.g_00350
OG0000147	Prbg.g_00364	Syae.g_00349
OG0000148	Prbg.g_01176	Syae.g_00500
OG0000149	Prbg.g_01208	Syae.g_00847
OG0000150	Prbg.g_01218	Syae.g_00017
OG0000151	Prbg.g_01094	Syae.g_00563
OG0000152	Prbg.g_01287	Syae.g_00360
OG0000153	Prbg.g_01306	Syae.g_00394
OG0000154	Prbg.g_01326	Syae.g_00420
OG0000155	Prbg.g_01465	Syae.g_00885
OG0000156	Prbg.g_00466	Syae.g_00945
OG0000157	Prbg.g_00467	Syae.g_00946
OG0000158	Prbg.g_01829	Syae.g_01858
OG0000160	Prbg.g_00592	Syae.g_02650
OG0000161	Prbg.g_00598	Syae.g_02644
OG0000162	Prbg.g_00604	Syae.g_02638
OG0000163	Prbg.g_00643	Syae.g_01092
OG0000164	Prbg.g_01674	Syae.g_01198
OG0000165	Prbg.g_01681	Syae.g_01021
OG0000166	Prbg.g_01748	Syae.g_02085
OG0000167	Prbg.g_01819	Syae.g_01874
OG0000168	Prbg.g_01830	Syae.g_01856
OG0000169	Prbg.g_01840	Syae.g_01841
OG0000170	Prbg.g_01843	Syae.g_01834
OG0000171	Prbg.g_01863	Syae.g_01810
OG0000172	Prbg.g_01870	Syae.g_01788
OG0000173	Prbg.g_01885	Syae.g_01770
OG0000174	Prbg.g_01915	Syae.g_01610
OG0000175	Prbg.g_01928	Syae.g_01679
OG0000176	Prbg.g_00771	Syae.g_01716
OG0000177	Prbg.g_00772	Syae.g_01717
OG0000178	Prbg.g_00773	Syae.g_01718
OG0000179	Prbg.g_00858	Syae.g_01733
OG0000180	Prbg.g_00857	Syae.g_01734
OG0000181	Prbg.g_00856	Syae.g_01735
OG0000182	Prbg.g_00855	Syae.g_01736
OG0000183	Prbg.g_00851	Syae.g_01740
OG0000184	Prbg.g_00825	Syae.g_01554
OG0000185	Prbg.g_00822	Syae.g_01551
OG0000186	Prbg.g_00806	Syae.g_01279
OG0000187	Prbg.g_00805	Syae.g_01280
OG0000188	Prbg.g_00788	Syae.g_01323
OG0000189	Prbg.g_00866	Syae.g_01350
OG0000190	Prbg.g_00868	Syae.g_01352
OG0000191	Prbg.g_00891	Syae.g_01384
OG0000192	Prbg.g_00896	Syae.g_01390
OG0000193	Prbg.g_00923	Syae.g_01429
OG0000194	Prbg.g_00926	Syae.g_01432
OG0000195	Prbg.g_00928	Syae.g_01434
OG0000196	Prbg.g_00939	Syae.g_01444
OG0000197	Prbg.g_00940	Syae.g_01445
OG0000198	Prbg.g_00941	Syae.g_01446
OG0000199	Prbg.g_00948	Syae.g_01454
OG0000200	Prbg.g_00962	Syae.g_01471
OG0000201	Prbg.g_00971	Syae.g_01487
OG0000202	Prbg.g_00972	Syae.g_01488
OG0000203	Prbg.g_00973	Syae.g_01489
OG0000204	Prbg.g_00974	Syae.g_01490
OG0000205	Prbg.g_00981	Syae.g_01497
OG0000206	Prbg.g_00986	Syae.g_01504
OG0000207	Prbg.g_00989	Syae.g_01506
OG0000208	Prbg.g_00990	Syae.g_01507
OG0000209	Prbg.g_00999	Syae.g_01528
OG0000210	Prbg.g_01000	Syae.g_01529
OG0000211	Prbg.g_01015	Syae.g_02234
OG0000212	Prbg.g_01023	Syae.g_02244
OG0000213	Prbg.g_01041	Syae.g_02003
OG0000214	Prbg.g_00046	Syae.g_01986
OG0000215	Prbg.g_00073	Syae.g_01955
OG0000216	Prbg.g_00074	Syae.g_01951
OG0000217	Prbg.g_00077	Syae.g_01947
OG0000218	Prbg.g_00079	Syae.g_01945
OG0000219	Prbg.g_00080	Syae.g_01944
OG0000220	Prbg.g_00081	Syae.g_01943
OG0000221	Prbg.g_00082	Syae.g_01937
OG0000222	Prbg.g_00089	Syae.g_01926
OG0000223	Prbg.g_00101	Syae.g_01904
OG0000224	Prbg.g_00103	Syae.g_01897
OG0000225	Prbg.g_00129	Syae.g_02208
OG0000226	Prbg.g_01941	Syae.g_02212
OG0000227	Prbg.g_01943	Syae.g_02214
OG0000228	Prbg.g_00136	Syae.g_02218
OG0000229	Prbg.g_00156	Syae.g_00994
OG0000230	Prbg.g_00158	Syae.g_00992
OG0000231	Prbg.g_00169	Syae.g_00980
OG0000232	Prbg.g_00180	Syae.g_02496
OG0000233	Prbg.g_00186	Syae.g_02504
OG0000234	Prbg.g_00195	Syae.g_02532
OG0000235	Prbg.g_00198	Syae.g_02308
OG0000236	Prbg.g_00212	Syae.g_02323
OG0000237	Prbg.g_00225	Syae.g_02340
OG0000238	Prbg.g_00231	Syae.g_02345
OG0000239	Prbg.g_00242	Syae.g_02360
OG0000240	Prbg.g_00243	Syae.g_02361
OG0000241	Prbg.g_00247	Syae.g_00065
OG0000242	Prbg.g_00249	Syae.g_02372
OG0000243	Prbg.g_00260	Syae.g_02391
OG0000244	Prbg.g_00264	Syae.g_02399
OG0000245	Prbg.g_00266	Syae.g_02401
OG0000246	Prbg.g_00270	Syae.g_02405
OG0000247	Prbg.g_00280	Syae.g_02416
OG0000248	Prbg.g_00283	Syae.g_02419
OG0000249	Prbg.g_00285	Syae.g_02421
OG0000250	Prbg.g_00290	Syae.g_02431
OG0000251	Prbg.g_00310	Syae.g_02455
OG0000252	Prbg.g_00313	Syae.g_02458
OG0000253	Prbg.g_00314	Syae.g_02459
OG0000254	Prbg.g_00331	Syae.g_00021
OG0000255	Prbg.g_00337	Syae.g_00041
OG0000256	Prbg.g_00347	Syae.g_00058
OG0000257	Prbg.g_01427	Syae.g_00064
OG0000258	Prbg.g_01413	Syae.g_00083
OG0000259	Prbg.g_01396	Syae.g_00608
OG0000260	Prbg.g_01393	Syae.g_00603
OG0000261	Prbg.g_01390	Syae.g_00600
OG0000262	Prbg.g_01386	Syae.g_00595
OG0000263	Prbg.g_01122	Syae.g_00671
OG0000264	Prbg.g_01133	Syae.g_00761
OG0000265	Prbg.g_01151	Syae.g_00932, Syae.g_00226
OG0000266	Prbg.g_01367	Syae.g_00457
OG0000267	Prbg.g_01355	Syae.g_00304
OG0000268	Prbg.g_01354	Syae.g_00308
OG0000269	Prbg.g_01154	Syae.g_00526
OG0000270	Prbg.g_01157	Syae.g_00523
OG0000271	Prbg.g_01165	Syae.g_00515
OG0000272	Prbg.g_01166	Syae.g_00514
OG0000273	Prbg.g_01190	Syae.g_00825
OG0000274	Prbg.g_01191	Syae.g_00826
OG0000275	Prbg.g_01194	Syae.g_00832
OG0000276	Prbg.g_01200	Syae.g_00839
OG0000277	Prbg.g_01201	Syae.g_00840
OG0000278	Prbg.g_01204	Syae.g_00843
OG0000279	Prbg.g_01211	Syae.g_00851
OG0000280	Prbg.g_01212	Syae.g_00877
OG0000281	Prbg.g_01219	Syae.g_02057
OG0000282	Prbg.g_01086	Syae.g_00573
OG0000283	Prbg.g_01263	Syae.g_00321
OG0000284	Prbg.g_01268	Syae.g_00327
OG0000285	Prbg.g_01273	Syae.g_00340
OG0000286	Prbg.g_01286	Syae.g_00359
OG0000287	Prbg.g_01552	Syae.g_00387
OG0000288	Prbg.g_01325	Syae.g_00419
OG0000289	Prbg.g_01341	Syae.g_00433
OG0000290	Prbg.g_01237	Syae.g_00796
OG0000291	Prbg.g_01235	Syae.g_00794
OG0000292	Prbg.g_01531	Syae.g_01705
OG0000293	Prbg.g_01496	Syae.g_00938
OG0000294	Prbg.g_01495	Syae.g_00937
OG0000295	Prbg.g_01472	Syae.g_00893
OG0000296	Prbg.g_01470	Syae.g_00891
OG0000297	Prbg.g_01461	Syae.g_00645
OG0000298	Prbg.g_01460	Syae.g_00646
OG0000299	Prbg.g_01441	Syae.g_00680
OG0000300	Prbg.g_01438	Syae.g_00686
OG0000301	Prbg.g_01437	Syae.g_00687
OG0000302	Prbg.g_01435	Syae.g_00691
OG0000303	Prbg.g_01429	Syae.g_00700
OG0000304	Prbg.g_00352	Syae.g_00706
OG0000305	Prbg.g_01529	Syae.g_00791
OG0000306	Prbg.g_01223	Syae.g_00277
OG0000307	Prbg.g_00538	Syae.g_02290
OG0000308	Prbg.g_00539	Syae.g_02288
OG0000309	Prbg.g_00543	Syae.g_02283
OG0000310	Prbg.g_00577	Syae.g_02687
OG0000311	Prbg.g_00579	Syae.g_02682
OG0000312	Prbg.g_00582	Syae.g_02664
OG0000313	Prbg.g_00595	Syae.g_02647
OG0000314	Prbg.g_00618	Syae.g_02618
OG0000315	Prbg.g_00628	Syae.g_02609
OG0000316	Prbg.g_00653	Syae.g_01118
OG0000317	Prbg.g_01647	Syae.g_01160
OG0000318	Prbg.g_01651	Syae.g_01164
OG0000319	Prbg.g_01664	Syae.g_01181
OG0000320	Prbg.g_01666	Syae.g_01183
OG0000321	Prbg.g_01667	Syae.g_01184
OG0000322	Prbg.g_01668	Syae.g_01185
OG0000323	Prbg.g_01677	Syae.g_01200
OG0000324	Prbg.g_01704	Syae.g_01049
OG0000325	Prbg.g_01715	Syae.g_02033
OG0000326	Prbg.g_01722	Syae.g_02040
OG0000327	Prbg.g_01743	Syae.g_02080
OG0000328	Prbg.g_01744	Syae.g_02081
OG0000329	Prbg.g_01761	Syae.g_02099
OG0000330	Prbg.g_01762	Syae.g_02100
OG0000331	Prbg.g_01763	Syae.g_02101
OG0000332	Prbg.g_01777	Syae.g_02116
OG0000333	Prbg.g_01779	Syae.g_02119
OG0000334	Prbg.g_01788	Syae.g_02128
OG0000335	Prbg.g_01793	Syae.g_02132
OG0000336	Prbg.g_01797	Syae.g_02136
OG0000337	Prbg.g_01815	Syae.g_01879
OG0000338	Prbg.g_01816	Syae.g_01876
OG0000339	Prbg.g_01822	Syae.g_01869
OG0000340	Prbg.g_01831	Syae.g_01855
OG0000341	Prbg.g_01833	Syae.g_01853
OG0000342	Prbg.g_01834	Syae.g_01852
OG0000343	Prbg.g_01835	Syae.g_01848
OG0000344	Prbg.g_01838	Syae.g_01843
OG0000345	Prbg.g_01844	Syae.g_01833
OG0000346	Prbg.g_01848	Syae.g_01828
OG0000347	Prbg.g_01865	Syae.g_01805
OG0000348	Prbg.g_01873	Syae.g_01781
OG0000349	Prbg.g_01891	Syae.g_01763
OG0000350	Prbg.g_00419	Syae.g_02047
OG0000351	Prbg.g_01931	Syae.g_01684
OG0000352	Prbg.g_01932	Syae.g_01685
OG0000353	Prbg.g_00766	Syae.g_01711
OG0000355	Prbg.g_00768	Syae.g_01713
OG0000356	Prbg.g_00769	Syae.g_01714
OG0000357	Prbg.g_00770	Syae.g_01715
OG0000358	Prbg.g_00774	Syae.g_01719
OG0000359	Prbg.g_00775	Syae.g_01721
OG0000360	Prbg.g_00776	Syae.g_01722
OG0000361	Prbg.g_00777	Syae.g_01723
OG0000362	Prbg.g_00779	Syae.g_01725
OG0000363	Prbg.g_00860	Syae.g_01727
OG0000364	Prbg.g_00859	Syae.g_01728
OG0000365	Prbg.g_00854	Syae.g_01737
OG0000366	Prbg.g_00853	Syae.g_01738
OG0000367	Prbg.g_00852	Syae.g_01739
OG0000368	Prbg.g_00850	Syae.g_01741
OG0000369	Prbg.g_00849	Syae.g_01742
OG0000370	Prbg.g_00848	Syae.g_01743
OG0000371	Prbg.g_00841	Syae.g_01751
OG0000372	Prbg.g_00838	Syae.g_01756
OG0000373	Prbg.g_00837	Syae.g_01757
OG0000374	Prbg.g_00836	Syae.g_01758
OG0000375	Prbg.g_00834	Syae.g_01759
OG0000376	Prbg.g_00832	Syae.g_01761
OG0000377	Prbg.g_00828	Syae.g_01561
OG0000378	Prbg.g_00824	Syae.g_01553
OG0000379	Prbg.g_00821	Syae.g_01550
OG0000380	Prbg.g_00804	Syae.g_01281
OG0000381	Prbg.g_00799	Syae.g_01285
OG0000382	Prbg.g_00789	Syae.g_01322
OG0000383	Prbg.g_00787	Syae.g_01324
OG0000384	Prbg.g_00786	Syae.g_01325
OG0000385	Prbg.g_00785	Syae.g_01326
OG0000386	Prbg.g_00784	Syae.g_01327
OG0000387	Prbg.g_00870	Syae.g_01354
OG0000388	Prbg.g_00874	Syae.g_01358
OG0000389	Prbg.g_00877	Syae.g_01362
OG0000390	Prbg.g_00887	Syae.g_01378
OG0000391	Prbg.g_00890	Syae.g_01383
OG0000392	Prbg.g_00894	Syae.g_01389
OG0000393	Prbg.g_00897	Syae.g_01392
OG0000394	Prbg.g_00898	Syae.g_01393
OG0000395	Prbg.g_00899	Syae.g_01394
OG0000396	Prbg.g_00901	Syae.g_01397
OG0000397	Prbg.g_00903	Syae.g_01400
OG0000398	Prbg.g_00906	Syae.g_01405
OG0000399	Prbg.g_00907	Syae.g_01406
OG0000400	Prbg.g_00908	Syae.g_01407
OG0000401	Prbg.g_00909	Syae.g_01408
OG0000402	Prbg.g_01349	Syae.g_01410
OG0000403	Prbg.g_00911	Syae.g_01411
OG0000404	Prbg.g_00912	Syae.g_01412
OG0000405	Prbg.g_00916	Syae.g_01426
OG0000406	Prbg.g_00924	Syae.g_01430
OG0000407	Prbg.g_00925	Syae.g_01431
OG0000408	Prbg.g_00927	Syae.g_01433
OG0000409	Prbg.g_00929	Syae.g_01435
OG0000410	Prbg.g_00930	Syae.g_01436
OG0000411	Prbg.g_00931	Syae.g_01437
OG0000412	Prbg.g_00932	Syae.g_01438
OG0000413	Prbg.g_00934	Syae.g_01440
OG0000415	Prbg.g_00936	Syae.g_01441
OG0000416	Prbg.g_00937	Syae.g_01442
OG0000417	Prbg.g_00938	Syae.g_01443
OG0000418	Prbg.g_00943	Syae.g_01448
OG0000419	Prbg.g_00945	Syae.g_01450
OG0000420	Prbg.g_00946	Syae.g_01452
OG0000421	Prbg.g_00951	Syae.g_01457
OG0000422	Prbg.g_00952	Syae.g_01458
OG0000423	Prbg.g_00953	Syae.g_01459
OG0000424	Prbg.g_00954	Syae.g_01460
OG0000425	Prbg.g_00955	Syae.g_01461
OG0000426	Prbg.g_00956	Syae.g_01462
OG0000427	Prbg.g_00957	Syae.g_01463
OG0000428	Prbg.g_00959	Syae.g_01466
OG0000429	Prbg.g_00960	Syae.g_01468
OG0000430	Prbg.g_00961	Syae.g_01470
OG0000431	Prbg.g_00963	Syae.g_01473
OG0000432	Prbg.g_00967	Syae.g_01481
OG0000433	Prbg.g_00968	Syae.g_01484
OG0000434	Prbg.g_00969	Syae.g_01485
OG0000435	Prbg.g_00970	Syae.g_01486
OG0000436	Prbg.g_00975	Syae.g_01491
OG0000437	Prbg.g_00976	Syae.g_01492
OG0000438	Prbg.g_00977	Syae.g_01493
OG0000439	Prbg.g_00979	Syae.g_01495
OG0000440	Prbg.g_00980	Syae.g_01496
OG0000441	Prbg.g_00983	Syae.g_01501
OG0000442	Prbg.g_00984	Syae.g_01502
OG0000443	Prbg.g_00985	Syae.g_01503
OG0000444	Prbg.g_00991	Syae.g_01509
OG0000445	Prbg.g_00992	Syae.g_01510
OG0000446	Prbg.g_00993	Syae.g_01512
OG0000447	Prbg.g_00994	Syae.g_01517
OG0000448	Prbg.g_00995	Syae.g_01518
OG0000449	Prbg.g_00996	Syae.g_01519
OG0000450	Prbg.g_00997	Syae.g_01525
OG0000451	Prbg.g_00998	Syae.g_01526
OG0000452	Prbg.g_01001	Syae.g_01530
OG0000453	Prbg.g_01002	Syae.g_01531
OG0000454	Prbg.g_01003	Syae.g_01532
OG0000455	Prbg.g_01004	Syae.g_01533
OG0000456	Prbg.g_01005	Syae.g_01534
OG0000457	Prbg.g_01007	Syae.g_01536
OG0000458	Prbg.g_01008	Syae.g_01538
OG0000459	Prbg.g_01009	Syae.g_01539
OG0000460	Prbg.g_01017	Syae.g_02236
OG0000461	Prbg.g_01025	Syae.g_02024
OG0000462	Prbg.g_01027	Syae.g_02021
OG0000463	Prbg.g_01028	Syae.g_02020
OG0000464	Prbg.g_01029	Syae.g_02019
OG0000465	Prbg.g_01030	Syae.g_02018
OG0000466	Prbg.g_01033	Syae.g_02014
OG0000467	Prbg.g_01034	Syae.g_02012
OG0000468	Prbg.g_01037	Syae.g_02007
OG0000469	Prbg.g_01045	Syae.g_01992
OG0000470	Prbg.g_00042	Syae.g_01990
OG0000471	Prbg.g_00043	Syae.g_01989
OG0000472	Prbg.g_00045	Syae.g_01987
OG0000473	Prbg.g_00047	Syae.g_01985
OG0000474	Prbg.g_00048	Syae.g_01984
OG0000475	Prbg.g_00049	Syae.g_01983
OG0000476	Prbg.g_00051	Syae.g_01981
OG0000477	Prbg.g_00054	Syae.g_01975
OG0000478	Prbg.g_00055	Syae.g_01974
OG0000479	Prbg.g_00056	Syae.g_01973
OG0000480	Prbg.g_00061	Syae.g_01966
OG0000481	Prbg.g_00064	Syae.g_01964
OG0000482	Prbg.g_00065	Syae.g_01963
OG0000483	Prbg.g_00068	Syae.g_01959
OG0000484	Prbg.g_00069	Syae.g_01958
OG0000485	Prbg.g_00071	Syae.g_01957
OG0000486	Prbg.g_00072	Syae.g_01956
OG0000487	Prbg.g_00075	Syae.g_01950
OG0000488	Prbg.g_00078	Syae.g_01946
OG0000489	Prbg.g_00083	Syae.g_01936
OG0000490	Prbg.g_00087	Syae.g_01928
OG0000491	Prbg.g_00088	Syae.g_01927
OG0000492	Prbg.g_00090	Syae.g_01925
OG0000493	Prbg.g_00091	Syae.g_01924
OG0000494	Prbg.g_00092	Syae.g_01923
OG0000495	Prbg.g_00093	Syae.g_01922
OG0000496	Prbg.g_00094	Syae.g_01921
OG0000497	Prbg.g_00095	Syae.g_01920
OG0000498	Prbg.g_00096	Syae.g_01919
OG0000499	Prbg.g_00097	Syae.g_01918
OG0000500	Prbg.g_00098	Syae.g_01917
OG0000501	Prbg.g_00099	Syae.g_01914
OG0000502	Prbg.g_00102	Syae.g_01902
OG0000503	Prbg.g_00117	Syae.g_02192
OG0000504	Prbg.g_00119	Syae.g_02194
OG0000505	Prbg.g_00120	Syae.g_02195
OG0000506	Prbg.g_00121	Syae.g_02197
OG0000507	Prbg.g_00124	Syae.g_02203
OG0000508	Prbg.g_00128	Syae.g_02207
OG0000509	Prbg.g_00130	Syae.g_02209
OG0000510	Prbg.g_00131	Syae.g_02210
OG0000511	Prbg.g_00132	Syae.g_02211
OG0000512	Prbg.g_01942	Syae.g_02213
OG0000513	Prbg.g_00140	Syae.g_02223
OG0000514	Prbg.g_00151	Syae.g_02229
OG0000515	Prbg.g_00152	Syae.g_02230
OG0000516	Prbg.g_00153	Syae.g_01000
OG0000517	Prbg.g_00155	Syae.g_00995
OG0000518	Prbg.g_00166	Syae.g_00983
OG0000519	Prbg.g_00167	Syae.g_00982
OG0000520	Prbg.g_00168	Syae.g_00981
OG0000521	Prbg.g_00176	Syae.g_02491
OG0000522	Prbg.g_00178	Syae.g_02493
OG0000523	Prbg.g_00179	Syae.g_02494
OG0000524	Prbg.g_00184	Syae.g_02501
OG0000525	Prbg.g_00188	Syae.g_02520
OG0000526	Prbg.g_00189	Syae.g_02523
OG0000527	Prbg.g_00192	Syae.g_02528
OG0000528	Prbg.g_00197	Syae.g_02304
OG0000529	Prbg.g_00200	Syae.g_02310
OG0000530	Prbg.g_00203	Syae.g_02313
OG0000531	Prbg.g_00204	Syae.g_02314
OG0000532	Prbg.g_00206	Syae.g_02317
OG0000533	Prbg.g_00207	Syae.g_02318
OG0000534	Prbg.g_00208	Syae.g_02319
OG0000535	Prbg.g_00209	Syae.g_02320
OG0000536	Prbg.g_00210	Syae.g_02321
OG0000537	Prbg.g_00211	Syae.g_02322
OG0000538	Prbg.g_00220	Syae.g_02333
OG0000539	Prbg.g_00221	Syae.g_02334
OG0000540	Prbg.g_00222	Syae.g_02335
OG0000541	Prbg.g_00223	Syae.g_02336
OG0000542	Prbg.g_00224	Syae.g_02339
OG0000543	Prbg.g_00226	Syae.g_02341
OG0000544	Prbg.g_00227	Syae.g_02342
OG0000545	Prbg.g_00229	Syae.g_02344
OG0000546	Prbg.g_00232	Syae.g_02346
OG0000547	Prbg.g_00234	Syae.g_02348
OG0000548	Prbg.g_00235	Syae.g_02349
OG0000549	Prbg.g_00237	Syae.g_02354
OG0000550	Prbg.g_00241	Syae.g_02358
OG0000551	Prbg.g_00244	Syae.g_02363
OG0000552	Prbg.g_00245	Syae.g_02364
OG0000553	Prbg.g_00246	Syae.g_02366
OG0000554	Prbg.g_00251	Syae.g_02375
OG0000555	Prbg.g_00259	Syae.g_02390
OG0000556	Prbg.g_00261	Syae.g_02394
OG0000557	Prbg.g_00262	Syae.g_02398
OG0000558	Prbg.g_00265	Syae.g_02400
OG0000559	Prbg.g_00269	Syae.g_02404
OG0000560	Prbg.g_00272	Syae.g_02407
OG0000561	Prbg.g_00273	Syae.g_02408
OG0000562	Prbg.g_00274	Syae.g_02409
OG0000563	Prbg.g_00275	Syae.g_02410
OG0000564	Prbg.g_00276	Syae.g_02411
OG0000565	Prbg.g_00278	Syae.g_02414
