Orthogroup	Prbg	Syab
OG0000084	Prbg.g_00588	Syab.g_00781
OG0000085	Prbg.g_00716, Prbg.g_01642	Syab.g_02243
OG0000086	Prbg.g_00782	Syab.g_02468
OG0000087	Prbg.g_00913	Syab.g_02551
OG0000088	Prbg.g_00944	Syab.g_02586
OG0000089	Prbg.g_00137	Syab.g_00551
OG0000090	Prbg.g_00250	Syab.g_02041
OG0000091	Prbg.g_01414	Syab.g_01866
OG0000093	Prbg.g_01385	Syab.g_01582
OG0000094	Prbg.g_01336	Syab.g_01306
OG0000095	Prbg.g_01234	Syab.g_01210
OG0000097	Prbg.g_01440	Syab.g_01051
OG0000098	Prbg.g_00505	Syab.g_01553
OG0000099	Prbg.g_00552	Syab.g_00230
OG0000100	Prbg.g_00670	Syab.g_01694
OG0000101	Prbg.g_01785	Syab.g_00446
OG0000102	Prbg.g_01852	Syab.g_00104
OG0000103	Prbg.g_01937	Syab.g_02895, Syab.g_01296
OG0000104	Prbg.g_00763	Syab.g_02910
OG0000105	Prbg.g_00053	Syab.g_00303
OG0000106	Prbg.g_00388	Syab.g_01817
OG0000107	Prbg.g_01714	Syab.g_00367
OG0000108	Prbg.g_00199	Syab.g_02096
OG0000109	Prbg.g_00213	Syab.g_02112
OG0000110	Prbg.g_00293	Syab.g_01984
OG0000111	Prbg.g_01144	Syab.g_01201
OG0000112	Prbg.g_00366	Syab.g_01392
OG0000113	Prbg.g_01182	Syab.g_01689
OG0000114	Prbg.g_01084	Syab.g_02656, Syab.g_01633
OG0000115	Prbg.g_01555	Syab.g_00748
OG0000116	Prbg.g_01497	Syab.g_00945
OG0000117	Prbg.g_01459	Syab.g_01018
OG0000118	Prbg.g_00490	Syab.g_00897
OG0000120	Prbg.g_00549	Syab.g_00229
OG0000121	Prbg.g_00593	Syab.g_00772
OG0000122	Prbg.g_00448, Prbg.g_00634	Syab.g_01839
OG0000123	Prbg.g_01792	Syab.g_00454
OG0000124	Prbg.g_01864	Syab.g_00088
OG0000125	Prbg.g_01900	Syab.g_02763
OG0000126	Prbg.g_00762	Syab.g_02908
OG0000128	Prbg.g_00778	Syab.g_00012
OG0000129	Prbg.g_00829	Syab.g_02749
OG0000130	Prbg.g_00800	Syab.g_02434
OG0000131	Prbg.g_00922	Syab.g_02564
OG0000132	Prbg.g_00942	Syab.g_02584
OG0000133	Prbg.g_00100	Syab.g_01387
OG0000134	Prbg.g_00139	Syab.g_00554
OG0000135	Prbg.g_00459	Syab.g_02815
OG0000136	Prbg.g_00161	Syab.g_00588
OG0000137	Prbg.g_00194	Syab.g_00697
OG0000138	Prbg.g_00214	Syab.g_02113
OG0000139	Prbg.g_00254	Syab.g_02035
OG0000140	Prbg.g_00255	Syab.g_02033
OG0000141	Prbg.g_00327	Syab.g_01931
OG0000142	Prbg.g_01422	Syab.g_01524, Syab.g_01873
OG0000143	Prbg.g_01418	Syab.g_01870
OG0000144	Prbg.g_01404	Syab.g_01757
OG0000145	Prbg.g_00461	Syab.g_02120
OG0000146	Prbg.g_00365	Syab.g_01393
OG0000147	Prbg.g_00364	Syab.g_01394
OG0000148	Prbg.g_01176	Syab.g_01682
OG0000149	Prbg.g_01208	Syab.g_01720
OG0000150	Prbg.g_01218	Syab.g_01930
OG0000151	Prbg.g_01094	Syab.g_01612
OG0000152	Prbg.g_01287	Syab.g_01383
OG0000153	Prbg.g_01306	Syab.g_01343
OG0000154	Prbg.g_01326	Syab.g_01317
OG0000155	Prbg.g_01465	Syab.g_01009
OG0000156	Prbg.g_00466	Syab.g_00933
OG0000157	Prbg.g_00467	Syab.g_00932
OG0000158	Prbg.g_01829	Syab.g_00161
OG0000159	Prbg.g_00809	Syab.g_00148
OG0000160	Prbg.g_00592	Syab.g_00774
OG0000161	Prbg.g_00598	Syab.g_00766
OG0000162	Prbg.g_00604	Syab.g_00755
OG0000163	Prbg.g_00643	Syab.g_02173
OG0000164	Prbg.g_01674	Syab.g_02307
OG0000165	Prbg.g_01681	Syab.g_02316
OG0000166	Prbg.g_01748	Syab.g_00407
OG0000167	Prbg.g_01819	Syab.g_00205
OG0000168	Prbg.g_01830	Syab.g_00136
OG0000169	Prbg.g_01840	Syab.g_00125
OG0000170	Prbg.g_01843	Syab.g_00118
OG0000171	Prbg.g_01863	Syab.g_00089
OG0000172	Prbg.g_01870	Syab.g_00080
OG0000173	Prbg.g_01885	Syab.g_00061
OG0000174	Prbg.g_01915	Syab.g_02819
OG0000175	Prbg.g_01928	Syab.g_02876
OG0000176	Prbg.g_00771	Syab.g_00004
OG0000177	Prbg.g_00772	Syab.g_00005
OG0000178	Prbg.g_00773	Syab.g_00006
OG0000179	Prbg.g_00858	Syab.g_00022
OG0000180	Prbg.g_00857	Syab.g_00023
OG0000181	Prbg.g_00856	Syab.g_00024
OG0000182	Prbg.g_00855	Syab.g_00025
OG0000183	Prbg.g_00851	Syab.g_00029
OG0000184	Prbg.g_00825	Syab.g_02738
OG0000185	Prbg.g_00822	Syab.g_02715
OG0000186	Prbg.g_00806	Syab.g_02430
OG0000187	Prbg.g_00805	Syab.g_02431
OG0000188	Prbg.g_00788	Syab.g_02454
OG0000189	Prbg.g_00866	Syab.g_02487
OG0000190	Prbg.g_00868	Syab.g_00190, Syab.g_00139
OG0000191	Prbg.g_00891	Syab.g_02522
OG0000192	Prbg.g_00896	Syab.g_02528
OG0000193	Prbg.g_00923	Syab.g_02565
OG0000194	Prbg.g_00926	Syab.g_02568
OG0000195	Prbg.g_00928	Syab.g_02570
OG0000196	Prbg.g_00939	Syab.g_02581
OG0000197	Prbg.g_00940	Syab.g_02582
OG0000198	Prbg.g_00941	Syab.g_02583
OG0000199	Prbg.g_00948	Syab.g_02591
OG0000200	Prbg.g_00962	Syab.g_02611
OG0000201	Prbg.g_00971	Syab.g_02628
OG0000202	Prbg.g_00972	Syab.g_02629
OG0000203	Prbg.g_00973	Syab.g_02630
OG0000204	Prbg.g_00974	Syab.g_02631
OG0000205	Prbg.g_00981	Syab.g_02638
OG0000206	Prbg.g_00986	Syab.g_02674
OG0000207	Prbg.g_00989	Syab.g_02677
OG0000208	Prbg.g_00990	Syab.g_02678
OG0000209	Prbg.g_00999	Syab.g_02698
OG0000210	Prbg.g_01000	Syab.g_02699
OG0000211	Prbg.g_01015	Syab.g_02374
OG0000212	Prbg.g_01023	Syab.g_02365
OG0000213	Prbg.g_01041	Syab.g_00332
OG0000214	Prbg.g_00046	Syab.g_00312
OG0000215	Prbg.g_00073	Syab.g_00281
OG0000216	Prbg.g_00074	Syab.g_00277
OG0000217	Prbg.g_00077	Syab.g_00273
OG0000218	Prbg.g_00079	Syab.g_00271
OG0000219	Prbg.g_00080	Syab.g_00270
OG0000220	Prbg.g_00081	Syab.g_00269
OG0000221	Prbg.g_00082	Syab.g_00257
OG0000222	Prbg.g_00089	Syab.g_00244
OG0000223	Prbg.g_00101	Syab.g_00226
OG0000224	Prbg.g_00103	Syab.g_00223
OG0000225	Prbg.g_00129	Syab.g_00538
OG0000226	Prbg.g_01941	Syab.g_00542
OG0000227	Prbg.g_01943	Syab.g_00544
OG0000228	Prbg.g_00136	Syab.g_00550
OG0000229	Prbg.g_00156	Syab.g_00583
OG0000230	Prbg.g_00158	Syab.g_00585
OG0000231	Prbg.g_00169	Syab.g_00613
OG0000232	Prbg.g_00180	Syab.g_00631
OG0000233	Prbg.g_00186	Syab.g_00645
OG0000234	Prbg.g_00195	Syab.g_00699
OG0000235	Prbg.g_00198	Syab.g_02095
OG0000236	Prbg.g_00212	Syab.g_02111
OG0000237	Prbg.g_00225	Syab.g_02129
OG0000238	Prbg.g_00231	Syab.g_02134
OG0000239	Prbg.g_00242	Syab.g_02151
OG0000240	Prbg.g_00243	Syab.g_02152
OG0000241	Prbg.g_00247	Syab.g_01884
OG0000242	Prbg.g_00249	Syab.g_02043
OG0000243	Prbg.g_00260	Syab.g_02025
OG0000244	Prbg.g_00264	Syab.g_02017
OG0000245	Prbg.g_00266	Syab.g_02015
OG0000246	Prbg.g_00270	Syab.g_02011
OG0000247	Prbg.g_00280	Syab.g_01999
OG0000248	Prbg.g_00283	Syab.g_01996
OG0000249	Prbg.g_00285	Syab.g_01994
OG0000250	Prbg.g_00290	Syab.g_01988
OG0000251	Prbg.g_00310	Syab.g_01961
OG0000252	Prbg.g_00313	Syab.g_01958
OG0000253	Prbg.g_00314	Syab.g_01956
OG0000254	Prbg.g_00331	Syab.g_01925
OG0000255	Prbg.g_00337	Syab.g_01912
OG0000256	Prbg.g_00347	Syab.g_01890
OG0000257	Prbg.g_01427	Syab.g_01885
OG0000258	Prbg.g_01413	Syab.g_01861
OG0000259	Prbg.g_01396	Syab.g_01538
OG0000260	Prbg.g_01393	Syab.g_01544
OG0000261	Prbg.g_01390	Syab.g_01556
OG0000262	Prbg.g_01386	Syab.g_01561
OG0000263	Prbg.g_01122	Syab.g_01035
OG0000264	Prbg.g_01133	Syab.g_01173
OG0000265	Prbg.g_01151	Syab.g_01773
OG0000266	Prbg.g_01367	Syab.g_01667
OG0000267	Prbg.g_01355	Syab.g_01433
OG0000268	Prbg.g_01354	Syab.g_01432
OG0000269	Prbg.g_01154	Syab.g_01650
OG0000270	Prbg.g_01157	Syab.g_01657
OG0000271	Prbg.g_01165	Syab.g_01279
OG0000272	Prbg.g_01166	Syab.g_01280
OG0000273	Prbg.g_01190	Syab.g_01699
OG0000274	Prbg.g_01191	Syab.g_01700
OG0000275	Prbg.g_01194	Syab.g_01704
OG0000276	Prbg.g_01200	Syab.g_01712
OG0000277	Prbg.g_01201	Syab.g_01713
OG0000278	Prbg.g_01204	Syab.g_01716
OG0000279	Prbg.g_01211	Syab.g_01724
OG0000280	Prbg.g_01212	Syab.g_01736
OG0000281	Prbg.g_01219	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546
OG0000282	Prbg.g_01086	Syab.g_01631
OG0000283	Prbg.g_01263	Syab.g_01418
OG0000284	Prbg.g_01268	Syab.g_01413
OG0000285	Prbg.g_01273	Syab.g_01402
OG0000286	Prbg.g_01286	Syab.g_01384
OG0000287	Prbg.g_01552	Syab.g_01350
OG0000288	Prbg.g_01325	Syab.g_01318
OG0000289	Prbg.g_01341	Syab.g_01303
OG0000290	Prbg.g_01237	Syab.g_01213
OG0000291	Prbg.g_01235	Syab.g_01211
OG0000292	Prbg.g_01531	Syab.g_02907
OG0000293	Prbg.g_01496	Syab.g_00946
OG0000294	Prbg.g_01495	Syab.g_00947
OG0000295	Prbg.g_01472	Syab.g_01001
OG0000296	Prbg.g_01470	Syab.g_01003
OG0000297	Prbg.g_01461	Syab.g_01016
OG0000298	Prbg.g_01460	Syab.g_01017
OG0000299	Prbg.g_01441	Syab.g_01047
OG0000300	Prbg.g_01438	Syab.g_01054
OG0000301	Prbg.g_01437	Syab.g_01055
OG0000302	Prbg.g_01435	Syab.g_01056
OG0000303	Prbg.g_01429	Syab.g_01149
OG0000304	Prbg.g_00352	Syab.g_01143
OG0000305	Prbg.g_01529	Syab.g_01208
OG0000306	Prbg.g_01223	Syab.g_01819
OG0000307	Prbg.g_00538	Syab.g_02078
OG0000308	Prbg.g_00539	Syab.g_02076
OG0000309	Prbg.g_00543	Syab.g_02071
OG0000310	Prbg.g_00577	Syab.g_00817
OG0000311	Prbg.g_00579	Syab.g_00811
OG0000312	Prbg.g_00582	Syab.g_00793
OG0000313	Prbg.g_00595	Syab.g_00769
OG0000314	Prbg.g_00618	Syab.g_00736
OG0000315	Prbg.g_00628	Syab.g_00726
OG0000316	Prbg.g_00653	Syab.g_02189
OG0000317	Prbg.g_01647	Syab.g_02251
OG0000318	Prbg.g_01651	Syab.g_02257
OG0000319	Prbg.g_01664	Syab.g_02291
OG0000320	Prbg.g_01666	Syab.g_02293
OG0000321	Prbg.g_01667	Syab.g_02294
OG0000322	Prbg.g_01668	Syab.g_02295
OG0000323	Prbg.g_01677	Syab.g_02310
OG0000324	Prbg.g_01704	Syab.g_02341
OG0000325	Prbg.g_01715	Syab.g_00368
OG0000326	Prbg.g_01722	Syab.g_00375
OG0000327	Prbg.g_01743	Syab.g_00402
OG0000328	Prbg.g_01744	Syab.g_00403
OG0000329	Prbg.g_01761	Syab.g_00420
OG0000330	Prbg.g_01762	Syab.g_00421
OG0000331	Prbg.g_01763	Syab.g_00422
OG0000332	Prbg.g_01777	Syab.g_00437
OG0000333	Prbg.g_01779	Syab.g_00440
OG0000334	Prbg.g_01788	Syab.g_00450
OG0000335	Prbg.g_01793	Syab.g_00455
OG0000336	Prbg.g_01797	Syab.g_00459
OG0000337	Prbg.g_01815	Syab.g_00210
OG0000338	Prbg.g_01816	Syab.g_00207
OG0000339	Prbg.g_01822	Syab.g_00201
OG0000340	Prbg.g_01831	Syab.g_00135
OG0000341	Prbg.g_01833	Syab.g_00157, Syab.g_00133
OG0000342	Prbg.g_01834	Syab.g_00132
OG0000343	Prbg.g_01835	Syab.g_00131
OG0000344	Prbg.g_01838	Syab.g_00127, Syab.g_02424
OG0000345	Prbg.g_01844	Syab.g_00117
OG0000346	Prbg.g_01848	Syab.g_00112
OG0000347	Prbg.g_01865	Syab.g_00087
OG0000348	Prbg.g_01873	Syab.g_00076
OG0000349	Prbg.g_01891	Syab.g_00054
OG0000350	Prbg.g_00419	Syab.g_00382
OG0000351	Prbg.g_01931	Syab.g_02879
OG0000352	Prbg.g_01932	Syab.g_02880
OG0000353	Prbg.g_00766	Syab.g_02913
OG0000355	Prbg.g_00768	Syab.g_00001
OG0000356	Prbg.g_00769	Syab.g_00002
OG0000357	Prbg.g_00770	Syab.g_00003
OG0000358	Prbg.g_00774	Syab.g_00007
OG0000359	Prbg.g_00775	Syab.g_00009
OG0000360	Prbg.g_00776	Syab.g_00010
OG0000361	Prbg.g_00777	Syab.g_00011
OG0000362	Prbg.g_00779	Syab.g_00013
OG0000363	Prbg.g_00860	Syab.g_00015
OG0000364	Prbg.g_00859	Syab.g_00016
OG0000365	Prbg.g_00854	Syab.g_00026
OG0000366	Prbg.g_00853	Syab.g_00027
OG0000367	Prbg.g_00852	Syab.g_00028
OG0000368	Prbg.g_00850	Syab.g_00030
OG0000369	Prbg.g_00849	Syab.g_00031
OG0000370	Prbg.g_00848	Syab.g_00032
OG0000371	Prbg.g_00841	Syab.g_00711, Syab.g_00039
OG0000372	Prbg.g_00838	Syab.g_00045
OG0000373	Prbg.g_00837	Syab.g_00046
OG0000374	Prbg.g_00836	Syab.g_00047
OG0000375	Prbg.g_00834	Syab.g_00050
OG0000376	Prbg.g_00832	Syab.g_00052
OG0000377	Prbg.g_00828	Syab.g_02748
OG0000378	Prbg.g_00824	Syab.g_02717
OG0000379	Prbg.g_00821	Syab.g_02714
OG0000380	Prbg.g_00804	Syab.g_02432
OG0000381	Prbg.g_00799	Syab.g_02435
OG0000382	Prbg.g_00789	Syab.g_02453
OG0000383	Prbg.g_00787	Syab.g_02459
OG0000384	Prbg.g_00786	Syab.g_02460
OG0000385	Prbg.g_00785	Syab.g_02461
OG0000386	Prbg.g_00784	Syab.g_02462
OG0000387	Prbg.g_00870	Syab.g_02491
OG0000388	Prbg.g_00874	Syab.g_02495
OG0000389	Prbg.g_00877	Syab.g_02499
OG0000390	Prbg.g_00887	Syab.g_02516
OG0000391	Prbg.g_00890	Syab.g_02521
OG0000392	Prbg.g_00894	Syab.g_02527
OG0000393	Prbg.g_00897	Syab.g_02530
OG0000394	Prbg.g_00898	Syab.g_02531
OG0000395	Prbg.g_00899	Syab.g_02532
OG0000396	Prbg.g_00901	Syab.g_02535
OG0000397	Prbg.g_00903	Syab.g_02537
OG0000398	Prbg.g_00906	Syab.g_02542
OG0000399	Prbg.g_00907	Syab.g_02543
OG0000400	Prbg.g_00908	Syab.g_02544
OG0000401	Prbg.g_00909	Syab.g_02545
OG0000402	Prbg.g_01349	Syab.g_02547
OG0000403	Prbg.g_00911	Syab.g_02548
OG0000404	Prbg.g_00912	Syab.g_02550
OG0000405	Prbg.g_00916	Syab.g_02562
OG0000406	Prbg.g_00924	Syab.g_02566
OG0000407	Prbg.g_00925	Syab.g_02567
OG0000408	Prbg.g_00927	Syab.g_02569
OG0000409	Prbg.g_00929	Syab.g_02571
OG0000410	Prbg.g_00930	Syab.g_02572
OG0000411	Prbg.g_00931	Syab.g_02573
OG0000412	Prbg.g_00932	Syab.g_02574
OG0000413	Prbg.g_00934	Syab.g_02576
OG0000414	Prbg.g_00935	Syab.g_02577
OG0000415	Prbg.g_00936	Syab.g_02578
OG0000416	Prbg.g_00937	Syab.g_02579
OG0000417	Prbg.g_00938	Syab.g_02580
OG0000418	Prbg.g_00943	Syab.g_02585
OG0000419	Prbg.g_00945	Syab.g_02587
OG0000420	Prbg.g_00946	Syab.g_02589
OG0000421	Prbg.g_00951	Syab.g_02595
OG0000422	Prbg.g_00952	Syab.g_02596
OG0000423	Prbg.g_00953	Syab.g_02597
OG0000424	Prbg.g_00954	Syab.g_02598
OG0000425	Prbg.g_00955	Syab.g_02599
OG0000426	Prbg.g_00956	Syab.g_02600
OG0000427	Prbg.g_00957	Syab.g_02601
OG0000428	Prbg.g_00959	Syab.g_02604
OG0000429	Prbg.g_00960	Syab.g_02608
OG0000430	Prbg.g_00961	Syab.g_02610
OG0000431	Prbg.g_00963	Syab.g_02613
OG0000432	Prbg.g_00967	Syab.g_02619
OG0000433	Prbg.g_00968	Syab.g_02622
OG0000434	Prbg.g_00969	Syab.g_02623
OG0000435	Prbg.g_00970	Syab.g_02625
OG0000436	Prbg.g_00975	Syab.g_02632
OG0000437	Prbg.g_00976	Syab.g_02633
OG0000438	Prbg.g_00977	Syab.g_02634
OG0000439	Prbg.g_00979	Syab.g_02636
OG0000440	Prbg.g_00980	Syab.g_02637
OG0000441	Prbg.g_00983	Syab.g_02641
OG0000442	Prbg.g_00984	Syab.g_02642
OG0000443	Prbg.g_00985	Syab.g_02668
OG0000444	Prbg.g_00991	Syab.g_02681
OG0000445	Prbg.g_00992	Syab.g_02682
OG0000446	Prbg.g_00993	Syab.g_02684
OG0000447	Prbg.g_00994	Syab.g_02687
OG0000448	Prbg.g_00995	Syab.g_02688
OG0000449	Prbg.g_00996	Syab.g_02689
OG0000450	Prbg.g_00997	Syab.g_02695
OG0000451	Prbg.g_00998	Syab.g_02696
OG0000452	Prbg.g_01001	Syab.g_02701
OG0000453	Prbg.g_01002	Syab.g_02702
OG0000454	Prbg.g_01003	Syab.g_02703
OG0000455	Prbg.g_01004	Syab.g_02704
OG0000456	Prbg.g_01005	Syab.g_02705
OG0000457	Prbg.g_01007	Syab.g_02707
OG0000458	Prbg.g_01008	Syab.g_02708
OG0000459	Prbg.g_01009	Syab.g_02709
OG0000460	Prbg.g_01017	Syab.g_02372
OG0000461	Prbg.g_01025	Syab.g_00356
OG0000462	Prbg.g_01027	Syab.g_00352
OG0000463	Prbg.g_01028	Syab.g_00351
OG0000464	Prbg.g_01029	Syab.g_00350
OG0000465	Prbg.g_01030	Syab.g_00349
OG0000466	Prbg.g_01033	Syab.g_00343
OG0000467	Prbg.g_01034	Syab.g_00341
OG0000468	Prbg.g_01037	Syab.g_00336
OG0000469	Prbg.g_01045	Syab.g_00318
OG0000470	Prbg.g_00042	Syab.g_00316
OG0000471	Prbg.g_00043	Syab.g_00315
OG0000472	Prbg.g_00045	Syab.g_00313
OG0000473	Prbg.g_00047	Syab.g_00311
OG0000474	Prbg.g_00048	Syab.g_00310
OG0000475	Prbg.g_00049	Syab.g_00309
OG0000476	Prbg.g_00051	Syab.g_00307
OG0000477	Prbg.g_00054	Syab.g_00301
OG0000478	Prbg.g_00055	Syab.g_00300
OG0000479	Prbg.g_00056	Syab.g_00299
OG0000480	Prbg.g_00061	Syab.g_00292
OG0000481	Prbg.g_00064	Syab.g_00290
OG0000482	Prbg.g_00065	Syab.g_00289
OG0000483	Prbg.g_00068	Syab.g_00285
OG0000484	Prbg.g_00069	Syab.g_00284
OG0000485	Prbg.g_00071	Syab.g_00283
OG0000486	Prbg.g_00072	Syab.g_00282
OG0000487	Prbg.g_00075	Syab.g_00276
OG0000488	Prbg.g_00078	Syab.g_00272
OG0000489	Prbg.g_00083	Syab.g_00256
OG0000490	Prbg.g_00087	Syab.g_00247
OG0000491	Prbg.g_00088	Syab.g_00245
OG0000492	Prbg.g_00090	Syab.g_00243
OG0000493	Prbg.g_00091	Syab.g_00242
OG0000494	Prbg.g_00092	Syab.g_00241
OG0000495	Prbg.g_00093	Syab.g_00240
OG0000496	Prbg.g_00094	Syab.g_00239
OG0000497	Prbg.g_00095	Syab.g_00238
OG0000498	Prbg.g_00096	Syab.g_00237
OG0000499	Prbg.g_00097	Syab.g_00236
OG0000500	Prbg.g_00098	Syab.g_00235
OG0000501	Prbg.g_00099	Syab.g_00232
OG0000502	Prbg.g_00102	Syab.g_00224
OG0000503	Prbg.g_00117	Syab.g_00523
OG0000504	Prbg.g_00119	Syab.g_00525
OG0000505	Prbg.g_00120	Syab.g_00526
OG0000506	Prbg.g_00121	Syab.g_00528
OG0000507	Prbg.g_00124	Syab.g_00533
OG0000508	Prbg.g_00128	Syab.g_00537
OG0000509	Prbg.g_00130	Syab.g_00539
OG0000510	Prbg.g_00131	Syab.g_00540
OG0000511	Prbg.g_00132	Syab.g_00541
OG0000512	Prbg.g_01942	Syab.g_00543
OG0000513	Prbg.g_00140	Syab.g_00555
OG0000514	Prbg.g_00151	Syab.g_00566
OG0000515	Prbg.g_00152	Syab.g_00567
OG0000516	Prbg.g_00153	Syab.g_00575
OG0000517	Prbg.g_00155	Syab.g_00582
OG0000518	Prbg.g_00166	Syab.g_00594
OG0000519	Prbg.g_00167	Syab.g_00610
OG0000520	Prbg.g_00168	Syab.g_00611
OG0000521	Prbg.g_00176	Syab.g_00624
OG0000522	Prbg.g_00178	Syab.g_00626
OG0000523	Prbg.g_00179	Syab.g_00627
OG0000524	Prbg.g_00184	Syab.g_00640
OG0000525	Prbg.g_00188	Syab.g_00671
OG0000526	Prbg.g_00189	Syab.g_00689
OG0000527	Prbg.g_00192	Syab.g_00695
OG0000528	Prbg.g_00197	Syab.g_02092
OG0000529	Prbg.g_00200	Syab.g_02097
OG0000530	Prbg.g_00203	Syab.g_02100
OG0000531	Prbg.g_00204	Syab.g_02101
OG0000532	Prbg.g_00206	Syab.g_02104
OG0000533	Prbg.g_00207	Syab.g_02106
OG0000534	Prbg.g_00208	Syab.g_02107
OG0000535	Prbg.g_00209	Syab.g_02108
OG0000536	Prbg.g_00210	Syab.g_02109
OG0000537	Prbg.g_00211	Syab.g_02110
OG0000538	Prbg.g_00220	Syab.g_02122
OG0000539	Prbg.g_00221	Syab.g_02123
OG0000540	Prbg.g_00222	Syab.g_02124
OG0000541	Prbg.g_00223	Syab.g_02125
OG0000542	Prbg.g_00224	Syab.g_02128
OG0000543	Prbg.g_00226	Syab.g_02130
OG0000544	Prbg.g_00227	Syab.g_02131
OG0000545	Prbg.g_00229	Syab.g_02133
OG0000546	Prbg.g_00232	Syab.g_02135
OG0000547	Prbg.g_00234	Syab.g_02137
OG0000548	Prbg.g_00235	Syab.g_02138
OG0000549	Prbg.g_00237	Syab.g_02144
OG0000550	Prbg.g_00241	Syab.g_02149
OG0000551	Prbg.g_00244	Syab.g_02153
OG0000552	Prbg.g_00245	Syab.g_02154
OG0000553	Prbg.g_00246	Syab.g_02046
OG0000554	Prbg.g_00251	Syab.g_02040
