Orthogroup	Syas	Praz
OG0000076	Syas.g_02156	Praz.g_00205
OG0000077	Syas.g_02510	Praz.g_00438
OG0000078	Syas.g_02561, Syas.g_02308	Praz.g_00599
OG0000079	Syas.g_01699	Praz.g_00612
OG0000081	Syas.g_00391	Praz.g_01797
OG0000082	Syas.g_00837	Praz.g_01744
OG0000085	Syas.g_02695	Praz.g_00884
OG0000086	Syas.g_02470	Praz.g_00448
OG0000087	Syas.g_02374	Praz.g_00499
OG0000089	Syas.g_01512	Praz.g_00818
OG0000090	Syas.g_00062	Praz.g_01795
OG0000091	Syas.g_00907, Syas.g_00146	Praz.g_01688
OG0000092	Syas.g_00900, Syas.g_00877	Praz.g_00244
OG0000094	Syas.g_00208, Syas.g_01716	Praz.g_01296
OG0000095	Syas.g_01021	Praz.g_00066
OG0000097	Syas.g_00114, Syas.g_01443	Praz.g_00713
OG0000098	Syas.g_00091	Praz.g_01157
OG0000099	Syas.g_01826	Praz.g_01098
OG0000100	Syas.g_00567	Praz.g_00967
OG0000101	Syas.g_01589	Praz.g_00263
OG0000102	Syas.g_02152, Syas.g_01395	Praz.g_00200
OG0000103	Syas.g_02009	Praz.g_00120
OG0000104	Syas.g_02027, Syas.g_02026	Praz.g_00361
OG0000105	Syas.g_01739	Praz.g_00632
OG0000106	Syas.g_01451	Praz.g_00804
OG0000107	Syas.g_01669	Praz.g_00788
OG0000108	Syas.g_01253	Praz.g_01848
OG0000109	Syas.g_01236	Praz.g_01834
OG0000110	Syas.g_00359, Syas.g_00818	Praz.g_01754
OG0000111	Syas.g_01037	Praz.g_01631
OG0000112	Syas.g_00452	Praz.g_01547
OG0000113	Syas.g_00571	Praz.g_01490
OG0000114	Syas.g_00252, Syas.g_00674	Praz.g_01408
OG0000115	Syas.g_02548, Syas.g_01285	Praz.g_00054
OG0000116	Syas.g_01198, Syas.g_00317	Praz.g_00002
OG0000117	Syas.g_01122	Praz.g_01237
OG0000118	Syas.g_02835	Praz.g_01168
OG0000120	Syas.g_01828	Praz.g_01118
OG0000121	Syas.g_02821	Praz.g_01039
OG0000122	Syas.g_00393	Praz.g_01001
OG0000123	Syas.g_01582	Praz.g_00256
OG0000124	Syas.g_02137	Praz.g_00189
OG0000125	Syas.g_01889	Praz.g_00152
OG0000126	Syas.g_01992	Praz.g_00360
OG0000127	Syas.g_02540	Praz.g_01255
OG0000128	Syas.g_02046	Praz.g_00376
OG0000129	Syas.g_01880	Praz.g_00410
OG0000130	Syas.g_02522	Praz.g_00429
OG0000131	Syas.g_02367	Praz.g_00505
OG0000132	Syas.g_02334	Praz.g_00524
OG0000133	Syas.g_00457	Praz.g_00679
OG0000134	Syas.g_01509	Praz.g_00817
OG0000135	Syas.g_01938	Praz.g_00791
OG0000136	Syas.g_02740	Praz.g_01887
OG0000137	Syas.g_01333	Praz.g_01853
OG0000138	Syas.g_01235	Praz.g_01833
OG0000139	Syas.g_00069	Praz.g_01791
OG0000140	Syas.g_00090	Praz.g_01790
OG0000141	Syas.g_00875	Praz.g_01723
OG0000142	Syas.g_00746	Praz.g_01695
OG0000143	Syas.g_00742	Praz.g_01691
OG0000144	Syas.g_00718	Praz.g_01678
OG0000145	Syas.g_00948	Praz.g_01554
OG0000146	Syas.g_00451	Praz.g_01546
OG0000147	Syas.g_00450	Praz.g_01545
OG0000148	Syas.g_00577	Praz.g_01496
OG0000149	Syas.g_00282	Praz.g_01465
OG0000150	Syas.g_00874	Praz.g_01457
OG0000151	Syas.g_00148, Syas.g_00659	Praz.g_01398
OG0000152	Syas.g_00461	Praz.g_01350
OG0000153	Syas.g_00543	Praz.g_01331
OG0000154	Syas.g_00219	Praz.g_01303
OG0000155	Syas.g_01131	Praz.g_00734
OG0000156	Syas.g_01206	Praz.g_01191
OG0000157	Syas.g_01207	Praz.g_01190
OG0000158	Syas.g_02185	Praz.g_01097
OG0000160	Syas.g_02820	Praz.g_01040
OG0000161	Syas.g_02826	Praz.g_01034
OG0000162	Syas.g_02751	Praz.g_01028
OG0000163	Syas.g_01488	Praz.g_00994
OG0000164	Syas.g_02648	Praz.g_00853
OG0000165	Syas.g_02609	Praz.g_00846
OG0000166	Syas.g_01629	Praz.g_00299
OG0000167	Syas.g_01449	Praz.g_00232
OG0000168	Syas.g_02184	Praz.g_00222
OG0000169	Syas.g_02170	Praz.g_00212
OG0000170	Syas.g_02161	Praz.g_00210
OG0000171	Syas.g_02139	Praz.g_00190
OG0000172	Syas.g_02110	Praz.g_00181
OG0000173	Syas.g_02092	Praz.g_00166
OG0000174	Syas.g_01940	Praz.g_00138
OG0000175	Syas.g_01994	Praz.g_00128
OG0000176	Syas.g_02038	Praz.g_00369
OG0000177	Syas.g_02039	Praz.g_00370
OG0000178	Syas.g_02040	Praz.g_00371
OG0000179	Syas.g_02054	Praz.g_00381
OG0000180	Syas.g_02055	Praz.g_00382
OG0000181	Syas.g_02056	Praz.g_00383
OG0000182	Syas.g_02057	Praz.g_00384
OG0000183	Syas.g_02061	Praz.g_00388
OG0000184	Syas.g_01872	Praz.g_00412
OG0000185	Syas.g_01861	Praz.g_00415
OG0000186	Syas.g_02525	Praz.g_00424
OG0000187	Syas.g_02524	Praz.g_00425
OG0000188	Syas.g_02502	Praz.g_00442
OG0000189	Syas.g_02432	Praz.g_00456
OG0000190	Syas.g_00133	Praz.g_00457
OG0000191	Syas.g_02400	Praz.g_00477
OG0000192	Syas.g_02395	Praz.g_00481
OG0000193	Syas.g_02366	Praz.g_00506
OG0000194	Syas.g_02363	Praz.g_00509
OG0000195	Syas.g_02360	Praz.g_00511
OG0000196	Syas.g_02337	Praz.g_00521
OG0000197	Syas.g_02336	Praz.g_00522
OG0000198	Syas.g_02335	Praz.g_00523
OG0000199	Syas.g_02327	Praz.g_00530
OG0000200	Syas.g_02298	Praz.g_00544
OG0000201	Syas.g_02279	Praz.g_00552
OG0000202	Syas.g_02278	Praz.g_00553
OG0000203	Syas.g_02277	Praz.g_00554
OG0000204	Syas.g_02276	Praz.g_00555
OG0000205	Syas.g_02267	Praz.g_00562
OG0000206	Syas.g_02240	Praz.g_00567
OG0000207	Syas.g_02237	Praz.g_00569
OG0000208	Syas.g_02236	Praz.g_00570
OG0000209	Syas.g_01837	Praz.g_00579
OG0000210	Syas.g_01838	Praz.g_00580
OG0000211	Syas.g_02552	Praz.g_00593
OG0000212	Syas.g_02562	Praz.g_00600
OG0000213	Syas.g_01707	Praz.g_00617
OG0000214	Syas.g_01730	Praz.g_00626
OG0000215	Syas.g_01766	Praz.g_00650
OG0000216	Syas.g_01770	Praz.g_00651
OG0000217	Syas.g_01778	Praz.g_00654
OG0000218	Syas.g_01780	Praz.g_00656
OG0000219	Syas.g_01783	Praz.g_00657
OG0000220	Syas.g_01784	Praz.g_00658
OG0000221	Syas.g_01785	Praz.g_00659
OG0000222	Syas.g_01804	Praz.g_00667
OG0000223	Syas.g_02221	Praz.g_00680
OG0000224	Syas.g_02215	Praz.g_00682
OG0000225	Syas.g_01522	Praz.g_00348
OG0000226	Syas.g_01518	Praz.g_00352
OG0000227	Syas.g_01516	Praz.g_00354
OG0000228	Syas.g_01513	Praz.g_00819
OG0000229	Syas.g_01497	Praz.g_01892
OG0000230	Syas.g_01495	Praz.g_01890
OG0000231	Syas.g_02749	Praz.g_01879
OG0000232	Syas.g_01276	Praz.g_01870
OG0000233	Syas.g_01352	Praz.g_01865
OG0000234	Syas.g_01331	Praz.g_01852
OG0000235	Syas.g_01254	Praz.g_01849
OG0000236	Syas.g_01237	Praz.g_01835
OG0000237	Syas.g_01220	Praz.g_01822
OG0000238	Syas.g_01215	Praz.g_01816
OG0000239	Syas.g_00012	Praz.g_01803
OG0000240	Syas.g_00013	Praz.g_01802
OG0000241	Syas.g_00754	Praz.g_01798
OG0000242	Syas.g_00059	Praz.g_01796
OG0000243	Syas.g_00777	Praz.g_01785
OG0000244	Syas.g_00784	Praz.g_01782
OG0000245	Syas.g_00786	Praz.g_01780
OG0000246	Syas.g_00790	Praz.g_01776
OG0000247	Syas.g_00802	Praz.g_01766
OG0000248	Syas.g_00805	Praz.g_01764
OG0000249	Syas.g_00807	Praz.g_01762
OG0000250	Syas.g_00814	Praz.g_01757
OG0000251	Syas.g_00845	Praz.g_01739
OG0000252	Syas.g_00950	Praz.g_01736
OG0000253	Syas.g_00846	Praz.g_01735
OG0000254	Syas.g_00869	Praz.g_01719
OG0000255	Syas.g_00132, Syas.g_01062	Praz.g_01713
OG0000256	Syas.g_00104	Praz.g_01703
OG0000257	Syas.g_00757	Praz.g_01700
OG0000258	Syas.g_00733	Praz.g_01687
OG0000259	Syas.g_01006, Syas.g_00708	Praz.g_01670
OG0000260	Syas.g_00705	Praz.g_01667
OG0000261	Syas.g_00701	Praz.g_01665
OG0000262	Syas.g_00695	Praz.g_01661
OG0000263	Syas.g_01103	Praz.g_01649
OG0000264	Syas.g_02588	Praz.g_01639
OG0000266	Syas.g_00186	Praz.g_01597
OG0000267	Syas.g_00377	Praz.g_01586
OG0000268	Syas.g_00390	Praz.g_01585
OG0000269	Syas.g_00601	Praz.g_01517
OG0000270	Syas.g_00598	Praz.g_01514
OG0000271	Syas.g_00590	Praz.g_01506
OG0000272	Syas.g_00589	Praz.g_01505
OG0000273	Syas.g_00563	Praz.g_01482
OG0000274	Syas.g_00562	Praz.g_01481
OG0000275	Syas.g_00230	Praz.g_01478
OG0000276	Syas.g_00237	Praz.g_01473
OG0000277	Syas.g_00238	Praz.g_01472
OG0000278	Syas.g_00241	Praz.g_01469
OG0000279	Syas.g_00288	Praz.g_01462
OG0000280	Syas.g_00889, Syas.g_00481	Praz.g_01461
OG0000281	Syas.g_00970	Praz.g_01456
OG0000282	Syas.g_00672	Praz.g_01406
OG0000283	Syas.g_00409	Praz.g_01373
OG0000284	Syas.g_00416	Praz.g_01368
OG0000285	Syas.g_00436	Praz.g_01363
OG0000286	Syas.g_00460	Praz.g_01351
OG0000287	Syas.g_00534	Praz.g_01334
OG0000288	Syas.g_00220	Praz.g_01304
OG0000289	Syas.g_00205	Praz.g_01292
OG0000290	Syas.g_01016	Praz.g_01279, Praz.g_00063
OG0000291	Syas.g_01018	Praz.g_00065
OG0000292	Syas.g_02020	Praz.g_00114
OG0000293	Syas.g_01197	Praz.g_00001
OG0000294	Syas.g_01196	Praz.g_00763
OG0000295	Syas.g_01139	Praz.g_00742
OG0000296	Syas.g_01137	Praz.g_00740
OG0000297	Syas.g_01124	Praz.g_00732
OG0000298	Syas.g_01123	Praz.g_00731
OG0000299	Syas.g_01087	Praz.g_00714
OG0000300	Syas.g_01082	Praz.g_00711
OG0000301	Syas.g_01081	Praz.g_00710
OG0000302	Syas.g_01080	Praz.g_00708
OG0000303	Syas.g_01071	Praz.g_00701
OG0000304	Syas.g_01066	Praz.g_00697
OG0000305	Syas.g_01023	Praz.g_01147
OG0000306	Syas.g_01929	Praz.g_01144
OG0000307	Syas.g_01270	Praz.g_01130
OG0000308	Syas.g_01272	Praz.g_01129
OG0000309	Syas.g_01364	Praz.g_01125
OG0000310	Syas.g_02796	Praz.g_01056
OG0000311	Syas.g_02799	Praz.g_01054
OG0000312	Syas.g_02804	Praz.g_01051
OG0000313	Syas.g_02823	Praz.g_01037
OG0000314	Syas.g_01296	Praz.g_01014
OG0000315	Syas.g_01306	Praz.g_01004
OG0000316	Syas.g_02728	Praz.g_00984
OG0000317	Syas.g_02687	Praz.g_00879
OG0000318	Syas.g_02680	Praz.g_00876
OG0000319	Syas.g_02663	Praz.g_00863
OG0000320	Syas.g_02661	Praz.g_00861
OG0000321	Syas.g_02660	Praz.g_00860
OG0000322	Syas.g_02659	Praz.g_00859
OG0000323	Syas.g_02646, Syas.g_00159	Praz.g_00850
OG0000324	Syas.g_02578	Praz.g_00824
OG0000325	Syas.g_01668	Praz.g_00334
OG0000326	Syas.g_01661	Praz.g_00328
OG0000327	Syas.g_01634	Praz.g_00304
OG0000328	Syas.g_01633	Praz.g_00303
OG0000329	Syas.g_01615	Praz.g_00286
OG0000330	Syas.g_01614	Praz.g_00285
OG0000331	Syas.g_01613	Praz.g_00284
OG0000332	Syas.g_01598	Praz.g_00270
OG0000333	Syas.g_01595	Praz.g_00268
OG0000334	Syas.g_01586	Praz.g_00260
OG0000335	Syas.g_01581	Praz.g_00255
OG0000336	Syas.g_01577	Praz.g_00251
OG0000337	Syas.g_02211	Praz.g_00234
OG0000338	Syas.g_02199	Praz.g_00233
OG0000339	Syas.g_02192	Praz.g_00229
OG0000340	Syas.g_02183	Praz.g_00221
OG0000341	Syas.g_02181	Praz.g_00219
OG0000342	Syas.g_02180	Praz.g_00218
OG0000343	Syas.g_02176	Praz.g_00217
OG0000344	Syas.g_02172	Praz.g_00214
OG0000345	Syas.g_02160	Praz.g_00209
OG0000346	Syas.g_02155	Praz.g_00204
OG0000347	Syas.g_02136	Praz.g_00188
OG0000348	Syas.g_02107	Praz.g_00178
OG0000349	Syas.g_02085	Praz.g_00161
OG0000350	Syas.g_01654	Praz.g_00142
OG0000351	Syas.g_01998	Praz.g_00125
OG0000352	Syas.g_01999	Praz.g_00124
OG0000353	Syas.g_02033	Praz.g_00364
OG0000355	Syas.g_02035	Praz.g_00366
OG0000356	Syas.g_02036	Praz.g_00367
OG0000357	Syas.g_02037	Praz.g_00368
OG0000358	Syas.g_02041	Praz.g_00372
OG0000359	Syas.g_02043	Praz.g_00373
OG0000360	Syas.g_02044	Praz.g_00374
OG0000361	Syas.g_02045	Praz.g_00375
OG0000362	Syas.g_02047	Praz.g_00377
OG0000363	Syas.g_02049	Praz.g_00379
OG0000364	Syas.g_02685	Praz.g_00380
OG0000365	Syas.g_02058	Praz.g_00385
OG0000366	Syas.g_02059	Praz.g_00386
OG0000368	Syas.g_02062	Praz.g_00389
OG0000369	Syas.g_02063	Praz.g_00390
OG0000370	Syas.g_02064	Praz.g_00391
OG0000371	Syas.g_02073	Praz.g_00397
OG0000372	Syas.g_02078	Praz.g_00400
OG0000373	Syas.g_02079	Praz.g_00401
OG0000374	Syas.g_02080	Praz.g_00402
OG0000375	Syas.g_02081	Praz.g_00406
OG0000376	Syas.g_02083	Praz.g_00408
OG0000377	Syas.g_01879	Praz.g_00411
OG0000378	Syas.g_01867	Praz.g_00413
OG0000379	Syas.g_01859	Praz.g_00416
OG0000380	Syas.g_02523	Praz.g_00426
OG0000381	Syas.g_02521	Praz.g_00430
OG0000382	Syas.g_02503	Praz.g_00441
OG0000383	Syas.g_02480	Praz.g_00443
OG0000384	Syas.g_02479	Praz.g_00444
OG0000385	Syas.g_02478	Praz.g_00445
OG0000386	Syas.g_02477	Praz.g_00446
OG0000387	Syas.g_00134	Praz.g_00459
OG0000388	Syas.g_02426	Praz.g_00462
OG0000389	Syas.g_02422	Praz.g_00466
OG0000390	Syas.g_02406	Praz.g_00473
OG0000391	Syas.g_02401	Praz.g_00476
OG0000392	Syas.g_02396	Praz.g_00480
OG0000393	Syas.g_02394	Praz.g_00482
OG0000394	Syas.g_02393	Praz.g_00483
OG0000395	Syas.g_02392	Praz.g_00484
OG0000396	Syas.g_02389	Praz.g_00487
OG0000397	Syas.g_02387	Praz.g_00489
OG0000398	Syas.g_02382	Praz.g_00491
OG0000399	Syas.g_02381	Praz.g_00492
OG0000400	Syas.g_02380	Praz.g_00493
OG0000401	Syas.g_02379	Praz.g_00494
OG0000402	Syas.g_02377	Praz.g_00496
OG0000403	Syas.g_02376	Praz.g_00497
OG0000404	Syas.g_02375	Praz.g_00498
OG0000405	Syas.g_02369	Praz.g_00502
OG0000406	Syas.g_02365	Praz.g_00507
OG0000407	Syas.g_02364	Praz.g_00508
OG0000408	Syas.g_02361	Praz.g_00510
OG0000409	Syas.g_02359	Praz.g_00512
OG0000410	Syas.g_02358	Praz.g_00513
OG0000411	Syas.g_02357	Praz.g_00514
OG0000412	Syas.g_02356	Praz.g_00515
OG0000413	Syas.g_02354	Praz.g_00516
OG0000414	Syas.g_02353	Praz.g_00517
OG0000415	Syas.g_02352	Praz.g_00518
OG0000416	Syas.g_02351	Praz.g_00519
OG0000417	Syas.g_02338	Praz.g_00520
OG0000418	Syas.g_02333	Praz.g_00525
OG0000419	Syas.g_02331	Praz.g_00527
OG0000420	Syas.g_02329	Praz.g_00528
OG0000421	Syas.g_02324	Praz.g_00533
OG0000422	Syas.g_02323	Praz.g_00534
OG0000423	Syas.g_02322	Praz.g_00535
OG0000424	Syas.g_02321	Praz.g_00536
OG0000425	Syas.g_02320	Praz.g_00537
OG0000426	Syas.g_02319	Praz.g_00538
OG0000427	Syas.g_02318	Praz.g_00539
OG0000428	Syas.g_02315	Praz.g_00541
OG0000429	Syas.g_02312	Praz.g_00542
OG0000430	Syas.g_02311	Praz.g_00543
OG0000431	Syas.g_02296	Praz.g_00545
OG0000432	Syas.g_02288	Praz.g_00548
OG0000433	Syas.g_02286	Praz.g_00549
OG0000434	Syas.g_02285	Praz.g_00550
OG0000435	Syas.g_02282	Praz.g_00551
OG0000436	Syas.g_02273	Praz.g_00556
OG0000437	Syas.g_02272	Praz.g_00557
OG0000438	Syas.g_02271	Praz.g_00558
OG0000439	Syas.g_02269	Praz.g_00560
OG0000440	Syas.g_02268	Praz.g_00561
OG0000441	Syas.g_02265	Praz.g_00564
OG0000442	Syas.g_02259	Praz.g_00565
OG0000443	Syas.g_02241	Praz.g_00566
OG0000444	Syas.g_02234	Praz.g_00571
OG0000445	Syas.g_02233	Praz.g_00572
OG0000446	Syas.g_02231	Praz.g_00573
OG0000447	Syas.g_02229	Praz.g_00574
OG0000448	Syas.g_02228	Praz.g_00575
OG0000449	Syas.g_02226	Praz.g_00576
OG0000450	Syas.g_01834	Praz.g_00577
OG0000451	Syas.g_01835	Praz.g_00578
OG0000452	Syas.g_01844	Praz.g_00581
OG0000453	Syas.g_01845	Praz.g_00582
OG0000454	Syas.g_01846	Praz.g_00583
OG0000455	Syas.g_01847	Praz.g_00584
OG0000456	Syas.g_01848	Praz.g_00585
OG0000457	Syas.g_01850	Praz.g_00586
OG0000458	Syas.g_01851	Praz.g_00587
OG0000459	Syas.g_01852	Praz.g_00588
OG0000460	Syas.g_02554	Praz.g_00595
OG0000461	Syas.g_01686	Praz.g_00602
OG0000462	Syas.g_01688	Praz.g_00604
OG0000463	Syas.g_01689	Praz.g_00605
OG0000464	Syas.g_01690	Praz.g_00606
OG0000465	Syas.g_01692	Praz.g_00607
OG0000466	Syas.g_01697	Praz.g_00610
OG0000467	Syas.g_01698	Praz.g_00611
OG0000468	Syas.g_01703	Praz.g_00613
OG0000469	Syas.g_01725	Praz.g_00621
OG0000470	Syas.g_01727	Praz.g_00623
OG0000471	Syas.g_01728	Praz.g_00624
OG0000472	Syas.g_01729	Praz.g_00625
OG0000473	Syas.g_01731	Praz.g_00627
OG0000474	Syas.g_01732	Praz.g_00628
OG0000475	Syas.g_01733	Praz.g_00629
OG0000476	Syas.g_01735	Praz.g_00630
OG0000477	Syas.g_01740	Praz.g_00633
OG0000478	Syas.g_01741	Praz.g_00634
OG0000479	Syas.g_01749	Praz.g_00635
OG0000480	Syas.g_01756	Praz.g_00640
OG0000481	Syas.g_00161, Syas.g_00162	Praz.g_00642
OG0000482	Syas.g_01758	Praz.g_00643
OG0000483	Syas.g_01762	Praz.g_00646
OG0000484	Syas.g_01763	Praz.g_00647
OG0000485	Syas.g_01764	Praz.g_00648
OG0000486	Syas.g_01765	Praz.g_00649
OG0000487	Syas.g_01771	Praz.g_00652
OG0000488	Syas.g_01779	Praz.g_00655
OG0000489	Syas.g_01823	Praz.g_00660
OG0000490	Syas.g_01808	Praz.g_00665
OG0000491	Syas.g_01806	Praz.g_00666
OG0000492	Syas.g_01803	Praz.g_00668
OG0000493	Syas.g_01802	Praz.g_00669
OG0000494	Syas.g_01801	Praz.g_00670
OG0000495	Syas.g_01799	Praz.g_00671
OG0000496	Syas.g_01798	Praz.g_00672
OG0000497	Syas.g_01797	Praz.g_00673
OG0000498	Syas.g_01796	Praz.g_00674
OG0000499	Syas.g_01795	Praz.g_00675
OG0000500	Syas.g_01794	Praz.g_00676
OG0000501	Syas.g_01791	Praz.g_00678
OG0000502	Syas.g_02216	Praz.g_00681
OG0000503	Syas.g_01541	Praz.g_01931
OG0000504	Syas.g_01539	Praz.g_01932
OG0000505	Syas.g_01538	Praz.g_01933
OG0000506	Syas.g_01536	Praz.g_01935
OG0000507	Syas.g_01530	Praz.g_00343
OG0000508	Syas.g_01523	Praz.g_00347
OG0000509	Syas.g_01521	Praz.g_00349
OG0000510	Syas.g_01520	Praz.g_00350
OG0000511	Syas.g_01519	Praz.g_00351
OG0000512	Syas.g_01517	Praz.g_00353
OG0000513	Syas.g_01508	Praz.g_00816
OG0000514	Syas.g_01504	Praz.g_01897
OG0000515	Syas.g_01503	Praz.g_01896
OG0000516	Syas.g_01501	Praz.g_01895
OG0000517	Syas.g_01498	Praz.g_01893
OG0000518	Syas.g_00360, Syas.g_02746	Praz.g_01882
OG0000519	Syas.g_02747	Praz.g_01881
OG0000520	Syas.g_02748	Praz.g_01880
OG0000521	Syas.g_01281	Praz.g_01875
OG0000522	Syas.g_01279	Praz.g_01873
OG0000523	Syas.g_01278	Praz.g_01872
OG0000524	Syas.g_01354	Praz.g_01867
OG0000525	Syas.g_01342	Praz.g_01864
OG0000526	Syas.g_01340	Praz.g_01863
OG0000527	Syas.g_01335	Praz.g_01855
OG0000528	Syas.g_01256	Praz.g_01850
OG0000529	Syas.g_01252	Praz.g_01847
OG0000530	Syas.g_01249	Praz.g_01844
OG0000531	Syas.g_01248	Praz.g_01843
OG0000532	Syas.g_01245	Praz.g_01841
OG0000533	Syas.g_01243	Praz.g_01840
OG0000534	Syas.g_01242	Praz.g_01839
OG0000535	Syas.g_01241	Praz.g_01838
OG0000536	Syas.g_01240	Praz.g_01837
OG0000537	Syas.g_01238	Praz.g_01836
OG0000538	Syas.g_01228	Praz.g_01828
OG0000539	Syas.g_01227	Praz.g_01827
OG0000540	Syas.g_01226	Praz.g_01826
OG0000541	Syas.g_01225	Praz.g_01825
OG0000542	Syas.g_01221	Praz.g_01823
OG0000543	Syas.g_01219	Praz.g_01821
OG0000544	Syas.g_01218	Praz.g_01820
OG0000545	Syas.g_01216	Praz.g_01818
OG0000546	Syas.g_01214	Praz.g_01815
OG0000547	Syas.g_01212	Praz.g_01813
OG0000548	Syas.g_01211	Praz.g_01812
OG0000549	Syas.g_00005	Praz.g_01810
OG0000550	Syas.g_00010	Praz.g_01805
OG0000551	Syas.g_00015	Praz.g_01801
OG0000552	Syas.g_00016	Praz.g_01800
OG0000553	Syas.g_00019	Praz.g_01799
OG0000554	Syas.g_00063	Praz.g_01794
OG0000555	Syas.g_00775	Praz.g_01786
OG0000556	Syas.g_00781	Praz.g_01784
OG0000557	Syas.g_00783	Praz.g_01783
OG0000558	Syas.g_00785	Praz.g_01781
OG0000559	Syas.g_00789	Praz.g_01777
OG0000560	Syas.g_00792	Praz.g_01774
OG0000561	Syas.g_00793	Praz.g_01773
OG0000562	Syas.g_00794	Praz.g_01772
OG0000563	Syas.g_00795	Praz.g_01771
OG0000564	Syas.g_00796	Praz.g_01770
OG0000565	Syas.g_00800	Praz.g_01767
OG0000566	Syas.g_00804	Praz.g_01765
OG0000567	Syas.g_00808	Praz.g_01761
OG0000568	Syas.g_00810	Praz.g_01760
OG0000569	Syas.g_00811	Praz.g_01759
OG0000570	Syas.g_00812	Praz.g_01758
OG0000571	Syas.g_00815	Praz.g_01756
OG0000572	Syas.g_00839	Praz.g_01743
OG0000573	Syas.g_00952	Praz.g_01738
OG0000574	Syas.g_00951	Praz.g_01737
OG0000575	Syas.g_00848	Praz.g_01733
OG0000576	Syas.g_00850	Praz.g_01731
OG0000577	Syas.g_00851	Praz.g_01730
OG0000578	Syas.g_00852	Praz.g_01729
OG0000579	Syas.g_00853	Praz.g_01728
OG0000580	Syas.g_00854	Praz.g_01727
OG0000581	Syas.g_00861	Praz.g_01725
OG0000582	Syas.g_00873	Praz.g_01722
OG0000583	Syas.g_00872	Praz.g_01721
OG0000584	Syas.g_00871	Praz.g_01720
OG0000585	Syas.g_00868	Praz.g_01718
OG0000586	Syas.g_00867	Praz.g_01717
OG0000587	Syas.g_00865	Praz.g_01716
OG0000588	Syas.g_00960	Praz.g_01712
OG0000589	Syas.g_00121	Praz.g_01709
OG0000590	Syas.g_00120	Praz.g_01708
