Orthogroup	Syas	Prah
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Prah.g_01955
OG0000048	Syas.g_01734	Prah.g_02122
OG0000051	Syas.g_01445	Prah.g_01166, Prah.g_00717
OG0000053	Syas.g_01287	Prah.g_00381
OG0000054	Syas.g_00961, Syas.g_00957	Prah.g_01394
OG0000055	Syas.g_00203	Prah.g_00942
OG0000057	Syas.g_01055, Syas.g_01038	Prah.g_01027
OG0000059	Syas.g_01639	Prah.g_02043
OG0000060	Syas.g_00975	Prah.g_01156
OG0000061	Syas.g_01184	Prah.g_01322
OG0000062	Syas.g_02702	Prah.g_01654
OG0000063	Syas.g_02074	Prah.g_00042
OG0000065	Syas.g_02420	Prah.g_01897
OG0000066	Syas.g_00094	Prah.g_01485
OG0000067	Syas.g_02346	Prah.g_01826
OG0000068	Syas.g_00969, Syas.g_01261	Prah.g_01576
OG0000070	Syas.g_00173	Prah.g_00252
OG0000071	Syas.g_02854	Prah.g_01364
OG0000072	Syas.g_02326, Syas.g_01524	Prah.g_02309
OG0000073	Syas.g_01230	Prah.g_01544
OG0000075	Syas.g_01921, Syas.g_02194	Prah.g_02232
OG0000076	Syas.g_02156	Prah.g_00150
OG0000078	Syas.g_02561	Prah.g_01773
OG0000079	Syas.g_01699	Prah.g_02090, Prah.g_01868
OG0000082	Syas.g_00837	Prah.g_01427
OG0000085	Syas.g_02695	Prah.g_01666
OG0000086	Syas.g_02470	Prah.g_01866
OG0000087	Syas.g_02374	Prah.g_02268
OG0000089	Syas.g_01512	Prah.g_00205
OG0000090	Syas.g_00062	Prah.g_01501
OG0000091	Syas.g_00907, Syas.g_00146	Prah.g_00493
OG0000094	Syas.g_00208, Syas.g_01716	Prah.g_02518
OG0000095	Syas.g_01021	Prah.g_00915
OG0000098	Syas.g_00091	Prah.g_00327
OG0000099	Syas.g_01826	Prah.g_02191
OG0000100	Syas.g_00567	Prah.g_01791, Prah.g_00636
OG0000102	Syas.g_02152, Syas.g_01395	Prah.g_00144
OG0000103	Syas.g_02009	Prah.g_02586
OG0000104	Syas.g_02027, Syas.g_02026	Prah.g_02600
OG0000105	Syas.g_01739	Prah.g_02126
OG0000106	Syas.g_01451	Prah.g_01660
OG0000107	Syas.g_01669	Prah.g_02072
OG0000108	Syas.g_01253	Prah.g_01566
OG0000109	Syas.g_01236	Prah.g_01550
OG0000110	Syas.g_00359, Syas.g_00818	Prah.g_01439
OG0000111	Syas.g_01037	Prah.g_01028
OG0000112	Syas.g_00452	Prah.g_00788
OG0000113	Syas.g_00571	Prah.g_00641
OG0000114	Syas.g_00252, Syas.g_00674	Prah.g_00733
OG0000115	Syas.g_02548, Syas.g_01285	Prah.g_00383
OG0000116	Syas.g_01198, Syas.g_00317	Prah.g_01337
OG0000117	Syas.g_01122	Prah.g_01257
OG0000118	Syas.g_02835	Prah.g_01378
OG0000120	Syas.g_01828	Prah.g_02192
OG0000121	Syas.g_02821	Prah.g_00406
OG0000122	Syas.g_00393	Prah.g_01203
OG0000123	Syas.g_01582	Prah.g_01987
OG0000124	Syas.g_02137	Prah.g_00125
OG0000125	Syas.g_01889	Prah.g_02498
OG0000126	Syas.g_01992	Prah.g_02598
OG0000128	Syas.g_02046	Prah.g_00013
OG0000129	Syas.g_01880	Prah.g_02486
OG0000130	Syas.g_02522	Prah.g_01838
OG0000131	Syas.g_02367	Prah.g_02282
OG0000132	Syas.g_02334	Prah.g_02302
OG0000133	Syas.g_00457	Prah.g_02187
OG0000134	Syas.g_01509	Prah.g_00208
OG0000135	Syas.g_01938	Prah.g_02538
OG0000136	Syas.g_02740	Prah.g_00235
OG0000137	Syas.g_01333	Prah.g_00312
OG0000138	Syas.g_01235	Prah.g_01549
OG0000139	Syas.g_00069	Prah.g_01495
OG0000140	Syas.g_00090	Prah.g_01489
OG0000141	Syas.g_00875	Prah.g_01393
OG0000142	Syas.g_00746	Prah.g_00501
OG0000143	Syas.g_00742	Prah.g_00497
OG0000144	Syas.g_00718	Prah.g_00473
OG0000145	Syas.g_00948	Prah.g_01543
OG0000146	Syas.g_00451	Prah.g_00787
OG0000147	Syas.g_00450	Prah.g_00786
OG0000148	Syas.g_00577	Prah.g_00649
OG0000149	Syas.g_00282	Prah.g_00591
OG0000150	Syas.g_00874	Prah.g_00568
OG0000151	Syas.g_00148, Syas.g_00659	Prah.g_00718
OG0000152	Syas.g_00461	Prah.g_00796
OG0000153	Syas.g_00543	Prah.g_00826
OG0000154	Syas.g_00219	Prah.g_00852
OG0000155	Syas.g_01131	Prah.g_01291
OG0000156	Syas.g_01206	Prah.g_01349
OG0000157	Syas.g_01207	Prah.g_01350
OG0000158	Syas.g_02185	Prah.g_02242
OG0000160	Syas.g_02820	Prah.g_00407
OG0000161	Syas.g_02826	Prah.g_00399
OG0000162	Syas.g_02751	Prah.g_00391
OG0000163	Syas.g_01488	Prah.g_01619
OG0000164	Syas.g_02648	Prah.g_01705
OG0000165	Syas.g_02609	Prah.g_01716
OG0000166	Syas.g_01629	Prah.g_02033
OG0000167	Syas.g_01449	Prah.g_02230
OG0000168	Syas.g_02184	Prah.g_02243
OG0000169	Syas.g_02170	Prah.g_00163
OG0000170	Syas.g_02161	Prah.g_00155
OG0000171	Syas.g_02139	Prah.g_00126
OG0000172	Syas.g_02110	Prah.g_00084
OG0000173	Syas.g_02092	Prah.g_00061
OG0000174	Syas.g_01940	Prah.g_02541
OG0000175	Syas.g_01994	Prah.g_02575
OG0000176	Syas.g_02038	Prah.g_00005
OG0000177	Syas.g_02039	Prah.g_00006
OG0000178	Syas.g_02040	Prah.g_00007
OG0000179	Syas.g_02054	Prah.g_00022
OG0000180	Syas.g_02055	Prah.g_00023
OG0000181	Syas.g_02056	Prah.g_00024
OG0000182	Syas.g_02057	Prah.g_00025
OG0000183	Syas.g_02061	Prah.g_00029
OG0000184	Syas.g_01872	Prah.g_02478
OG0000185	Syas.g_01861	Prah.g_02458
OG0000186	Syas.g_02525	Prah.g_01830
OG0000187	Syas.g_02524	Prah.g_01833
OG0000188	Syas.g_02502	Prah.g_01860
OG0000189	Syas.g_02432	Prah.g_01884
OG0000190	Syas.g_00133	Prah.g_01886
OG0000191	Syas.g_02400	Prah.g_00188
OG0000192	Syas.g_02395	Prah.g_00176, Prah.g_00180
OG0000193	Syas.g_02366	Prah.g_02283
OG0000194	Syas.g_02363	Prah.g_02286
OG0000195	Syas.g_02360	Prah.g_02288
OG0000196	Syas.g_02337	Prah.g_02299
OG0000197	Syas.g_02336	Prah.g_02300
OG0000198	Syas.g_02335	Prah.g_02301
OG0000199	Syas.g_02327	Prah.g_02308
OG0000200	Syas.g_02298	Prah.g_02324
OG0000201	Syas.g_02279	Prah.g_02352
OG0000202	Syas.g_02278	Prah.g_02353
OG0000203	Syas.g_02277	Prah.g_02354
OG0000204	Syas.g_02276	Prah.g_02355
OG0000205	Syas.g_02267	Prah.g_02362
OG0000206	Syas.g_02240	Prah.g_02371
OG0000207	Syas.g_02237	Prah.g_02420
OG0000208	Syas.g_02236	Prah.g_02419
OG0000209	Syas.g_01837	Prah.g_02400
OG0000210	Syas.g_01838	Prah.g_02399
OG0000211	Syas.g_02552	Prah.g_01782
OG0000212	Syas.g_02562	Prah.g_01772
OG0000213	Syas.g_01707	Prah.g_02101
OG0000214	Syas.g_01730	Prah.g_02118
OG0000215	Syas.g_01766	Prah.g_02148
OG0000216	Syas.g_01770	Prah.g_02151
OG0000217	Syas.g_01778	Prah.g_02155
OG0000218	Syas.g_01780	Prah.g_02157
OG0000219	Syas.g_01783	Prah.g_02158
OG0000220	Syas.g_01784	Prah.g_02159
OG0000221	Syas.g_01785	Prah.g_02166
OG0000222	Syas.g_01804	Prah.g_02174
OG0000223	Syas.g_02221	Prah.g_02197
OG0000224	Syas.g_02215	Prah.g_02207
OG0000225	Syas.g_01522	Prah.g_01921
OG0000226	Syas.g_01518	Prah.g_01917
OG0000227	Syas.g_01516	Prah.g_01915
OG0000228	Syas.g_01513	Prah.g_00204
OG0000229	Syas.g_01497	Prah.g_00230
OG0000230	Syas.g_01495	Prah.g_00232
OG0000231	Syas.g_02749	Prah.g_00251
OG0000232	Syas.g_01276	Prah.g_00261
OG0000233	Syas.g_01352	Prah.g_00294
OG0000234	Syas.g_01331	Prah.g_00313, Prah.g_00314
OG0000235	Syas.g_01254	Prah.g_01567
OG0000236	Syas.g_01237	Prah.g_01551
OG0000237	Syas.g_01220	Prah.g_01534
OG0000238	Syas.g_01215	Prah.g_01529
OG0000239	Syas.g_00012	Prah.g_01513
OG0000240	Syas.g_00013	Prah.g_01512
OG0000241	Syas.g_00754	Prah.g_01094
OG0000242	Syas.g_00059	Prah.g_00108, Prah.g_01503
OG0000243	Syas.g_00777	Prah.g_01476
OG0000244	Syas.g_00784	Prah.g_01472
OG0000245	Syas.g_00786	Prah.g_01469
OG0000246	Syas.g_00790	Prah.g_01465
OG0000247	Syas.g_00802	Prah.g_01454
OG0000248	Syas.g_00805	Prah.g_01451
OG0000249	Syas.g_00807	Prah.g_01449
OG0000250	Syas.g_00814	Prah.g_01443
OG0000251	Syas.g_00845	Prah.g_01417
OG0000252	Syas.g_00950	Prah.g_01414
OG0000253	Syas.g_00846	Prah.g_01408
OG0000254	Syas.g_00869	Prah.g_01389
OG0000255	Syas.g_00132, Syas.g_01062	Prah.g_00530
OG0000256	Syas.g_00104	Prah.g_00516
OG0000257	Syas.g_00757	Prah.g_00509
OG0000258	Syas.g_00733	Prah.g_00486
OG0000259	Syas.g_00708	Prah.g_00457
OG0000260	Syas.g_00705	Prah.g_00454
OG0000261	Syas.g_00701	Prah.g_00451
OG0000262	Syas.g_00695	Prah.g_00445
OG0000263	Syas.g_01103	Prah.g_02413
OG0000264	Syas.g_02588	Prah.g_00974
OG0000266	Syas.g_00186	Prah.g_00876
OG0000267	Syas.g_00377	Prah.g_00751
OG0000268	Syas.g_00390	Prah.g_00752
OG0000269	Syas.g_00601	Prah.g_00672
OG0000270	Syas.g_00598	Prah.g_00669
OG0000271	Syas.g_00590	Prah.g_00661
OG0000272	Syas.g_00589	Prah.g_00660
OG0000274	Syas.g_00562	Prah.g_00608
OG0000275	Syas.g_00230	Prah.g_00605
OG0000276	Syas.g_00237	Prah.g_00599
OG0000277	Syas.g_00238	Prah.g_00598
OG0000278	Syas.g_00241	Prah.g_00595
OG0000279	Syas.g_00288	Prah.g_00587
OG0000280	Syas.g_00889, Syas.g_00481	Prah.g_00581
OG0000281	Syas.g_00970	Prah.g_00566
OG0000282	Syas.g_00672	Prah.g_00731
OG0000283	Syas.g_00409	Prah.g_00761
OG0000284	Syas.g_00416	Prah.g_00767
OG0000285	Syas.g_00436	Prah.g_01178
OG0000286	Syas.g_00460	Prah.g_00795
OG0000287	Syas.g_00534	Prah.g_01131
OG0000288	Syas.g_00220	Prah.g_00851
OG0000289	Syas.g_00205	Prah.g_00864
OG0000290	Syas.g_01016	Prah.g_00912
OG0000291	Syas.g_01018	Prah.g_00914
OG0000292	Syas.g_02020	Prah.g_02597
OG0000293	Syas.g_01197	Prah.g_01336
OG0000294	Syas.g_01196	Prah.g_01335
OG0000295	Syas.g_01139	Prah.g_01298
OG0000296	Syas.g_01137	Prah.g_01296
OG0000297	Syas.g_01124	Prah.g_01259
OG0000298	Syas.g_01123	Prah.g_01258
OG0000299	Syas.g_01087	Prah.g_01268
OG0000300	Syas.g_01082	Prah.g_01275
OG0000301	Syas.g_01081	Prah.g_01276
OG0000302	Syas.g_01080	Prah.g_01279
OG0000303	Syas.g_01071	Prah.g_01289
OG0000304	Syas.g_01066	Prah.g_01237, Prah.g_01238
OG0000305	Syas.g_01023	Prah.g_00918
OG0000306	Syas.g_01929	Prah.g_00560
OG0000307	Syas.g_01270	Prah.g_01584
OG0000308	Syas.g_01272	Prah.g_01586
OG0000309	Syas.g_01364	Prah.g_01590
OG0000310	Syas.g_02796	Prah.g_00428
OG0000311	Syas.g_02799	Prah.g_00424
OG0000312	Syas.g_02804	Prah.g_00420
OG0000313	Syas.g_02823	Prah.g_00402
OG0000314	Syas.g_01296	Prah.g_00371
OG0000315	Syas.g_01306	Prah.g_00361
OG0000316	Syas.g_02728	Prah.g_01631
OG0000317	Syas.g_02687	Prah.g_01672
OG0000318	Syas.g_02680	Prah.g_01677
OG0000319	Syas.g_02663	Prah.g_01694
OG0000320	Syas.g_02661	Prah.g_01696
OG0000321	Syas.g_02660	Prah.g_01697
OG0000322	Syas.g_02659	Prah.g_01698
OG0000323	Syas.g_02646	Prah.g_01710
OG0000324	Syas.g_02578	Prah.g_01744
OG0000325	Syas.g_01668	Prah.g_02071
OG0000326	Syas.g_01661	Prah.g_02064
OG0000327	Syas.g_01634	Prah.g_02038
OG0000328	Syas.g_01633	Prah.g_02037
OG0000329	Syas.g_01615	Prah.g_02020
OG0000330	Syas.g_01614	Prah.g_02019
OG0000331	Syas.g_01613	Prah.g_02018
OG0000332	Syas.g_01598	Prah.g_02003
OG0000333	Syas.g_01595	Prah.g_02001
OG0000334	Syas.g_01586	Prah.g_01991
OG0000335	Syas.g_01581	Prah.g_01986
OG0000336	Syas.g_01577	Prah.g_01982
OG0000337	Syas.g_02211	Prah.g_02224
OG0000338	Syas.g_02199	Prah.g_02227
OG0000339	Syas.g_02192	Prah.g_02234
OG0000340	Syas.g_02183	Prah.g_02244
OG0000341	Syas.g_02181	Prah.g_02246
OG0000342	Syas.g_02180	Prah.g_02247
OG0000343	Syas.g_02176	Prah.g_00168
OG0000344	Syas.g_02172	Prah.g_00165
OG0000345	Syas.g_02160	Prah.g_00154
OG0000346	Syas.g_02155	Prah.g_00149
OG0000347	Syas.g_02136	Prah.g_00089
OG0000348	Syas.g_02107	Prah.g_00078
OG0000349	Syas.g_02085	Prah.g_00053
OG0000350	Syas.g_01654	Prah.g_02533
OG0000351	Syas.g_01998	Prah.g_02578
OG0000352	Syas.g_01999	Prah.g_02579
OG0000353	Syas.g_02033	Prah.g_02603
OG0000354	Syas.g_01209	Prah.g_01523
OG0000354	Syas.g_02052	Prah.g_00020
OG0000355	Syas.g_02035	Prah.g_00002
OG0000356	Syas.g_02036	Prah.g_00003
OG0000357	Syas.g_02037	Prah.g_00004
OG0000358	Syas.g_02041	Prah.g_00008
OG0000359	Syas.g_02043	Prah.g_00010
OG0000360	Syas.g_02044	Prah.g_00011
OG0000361	Syas.g_02045	Prah.g_00012
OG0000362	Syas.g_02047	Prah.g_00014
OG0000363	Syas.g_02049	Prah.g_00016
OG0000364	Syas.g_02685	Prah.g_00017
OG0000365	Syas.g_02058	Prah.g_00026
OG0000366	Syas.g_02059	Prah.g_00027
OG0000368	Syas.g_02062	Prah.g_00030
OG0000369	Syas.g_02063	Prah.g_00031
OG0000370	Syas.g_02064	Prah.g_00032
OG0000371	Syas.g_02073	Prah.g_00041
OG0000372	Syas.g_02078	Prah.g_00046
OG0000373	Syas.g_02079	Prah.g_00047
OG0000374	Syas.g_02080	Prah.g_00048
OG0000375	Syas.g_02081	Prah.g_00049
OG0000376	Syas.g_02083	Prah.g_00051
OG0000377	Syas.g_01879	Prah.g_02485
OG0000378	Syas.g_01867	Prah.g_02471
OG0000379	Syas.g_01859	Prah.g_02457
OG0000380	Syas.g_02523	Prah.g_01834
OG0000381	Syas.g_02521	Prah.g_01839
OG0000382	Syas.g_02503	Prah.g_01859
OG0000383	Syas.g_02480	Prah.g_01861
OG0000384	Syas.g_02479	Prah.g_01862
OG0000385	Syas.g_02478	Prah.g_01863
OG0000386	Syas.g_02477	Prah.g_01864
OG0000387	Syas.g_00134	Prah.g_01888
OG0000388	Syas.g_02426	Prah.g_01892
OG0000389	Syas.g_02422	Prah.g_01896
OG0000390	Syas.g_02406	Prah.g_00194
OG0000391	Syas.g_02401	Prah.g_00189
OG0000392	Syas.g_02396	Prah.g_00183
OG0000393	Syas.g_02394	Prah.g_00175
OG0000394	Syas.g_02393	Prah.g_00174
OG0000395	Syas.g_02392	Prah.g_00173
OG0000396	Syas.g_02389	Prah.g_02252
OG0000397	Syas.g_02387	Prah.g_02254
OG0000398	Syas.g_02382	Prah.g_02259
OG0000399	Syas.g_02381	Prah.g_02260
OG0000400	Syas.g_02380	Prah.g_02261
OG0000401	Syas.g_02379	Prah.g_02262
OG0000402	Syas.g_02377	Prah.g_02264
OG0000403	Syas.g_02376	Prah.g_02265
OG0000405	Syas.g_02369	Prah.g_02280
OG0000406	Syas.g_02365	Prah.g_02284
OG0000407	Syas.g_02364	Prah.g_02285
OG0000408	Syas.g_02361	Prah.g_02287
OG0000409	Syas.g_02359	Prah.g_02289
OG0000410	Syas.g_02358	Prah.g_02290
OG0000411	Syas.g_02357	Prah.g_02291
OG0000412	Syas.g_02356	Prah.g_02292
OG0000413	Syas.g_02354	Prah.g_02294
OG0000414	Syas.g_02353	Prah.g_02295
OG0000415	Syas.g_02352	Prah.g_02296
OG0000416	Syas.g_02351	Prah.g_02297
OG0000417	Syas.g_02338	Prah.g_02298
OG0000418	Syas.g_02333	Prah.g_02303
OG0000419	Syas.g_02331	Prah.g_02305
OG0000420	Syas.g_02329	Prah.g_02306
OG0000421	Syas.g_02324	Prah.g_02310
OG0000422	Syas.g_02323	Prah.g_02311
OG0000423	Syas.g_02322	Prah.g_02312
OG0000424	Syas.g_02321	Prah.g_02313
OG0000425	Syas.g_02320	Prah.g_02314
OG0000426	Syas.g_02319	Prah.g_02315
OG0000427	Syas.g_02318	Prah.g_02316
OG0000428	Syas.g_02315	Prah.g_00709
OG0000429	Syas.g_02312	Prah.g_02321
OG0000430	Syas.g_02311	Prah.g_02323
OG0000431	Syas.g_02296	Prah.g_02334
OG0000432	Syas.g_02288	Prah.g_02341
OG0000433	Syas.g_02286	Prah.g_02344
OG0000434	Syas.g_02285	Prah.g_02345
OG0000435	Syas.g_02282	Prah.g_02350
OG0000436	Syas.g_02273	Prah.g_02356
OG0000437	Syas.g_02272	Prah.g_02357
OG0000438	Syas.g_02271	Prah.g_02358
OG0000439	Syas.g_02269	Prah.g_02360
OG0000440	Syas.g_02268	Prah.g_02361
OG0000441	Syas.g_02265	Prah.g_02364
OG0000442	Syas.g_02259	Prah.g_02365
OG0000443	Syas.g_02241	Prah.g_02370
OG0000444	Syas.g_02234	Prah.g_02418
OG0000445	Syas.g_02233	Prah.g_02417
OG0000446	Syas.g_02231	Prah.g_02415
OG0000447	Syas.g_02229	Prah.g_02411
OG0000448	Syas.g_02228	Prah.g_02410
OG0000449	Syas.g_02226	Prah.g_02409
OG0000450	Syas.g_01834	Prah.g_02403
OG0000451	Syas.g_01835	Prah.g_02402
OG0000452	Syas.g_01844	Prah.g_02398
OG0000453	Syas.g_01845	Prah.g_02397
OG0000454	Syas.g_01846	Prah.g_02396
OG0000455	Syas.g_01847	Prah.g_02395
OG0000456	Syas.g_01848	Prah.g_02394
OG0000457	Syas.g_01850	Prah.g_02392
OG0000458	Syas.g_01851	Prah.g_02391
OG0000459	Syas.g_01852	Prah.g_02390
OG0000460	Syas.g_02554	Prah.g_01781
OG0000461	Syas.g_01686	Prah.g_02074
OG0000462	Syas.g_01688	Prah.g_02078
OG0000463	Syas.g_01689	Prah.g_02079
OG0000464	Syas.g_01690	Prah.g_02080
OG0000465	Syas.g_01692	Prah.g_02082
OG0000466	Syas.g_01697	Prah.g_02087
OG0000467	Syas.g_01698	Prah.g_02089
OG0000468	Syas.g_01703	Prah.g_02098
OG0000469	Syas.g_01725	Prah.g_02111
OG0000470	Syas.g_01727	Prah.g_02114
OG0000471	Syas.g_01728	Prah.g_02115
OG0000472	Syas.g_01729	Prah.g_02117
OG0000473	Syas.g_01731	Prah.g_02119
OG0000474	Syas.g_01732	Prah.g_02120
OG0000475	Syas.g_01733	Prah.g_02121
OG0000476	Syas.g_01735	Prah.g_02123
OG0000477	Syas.g_01740	Prah.g_02128
OG0000478	Syas.g_01741	Prah.g_02129
OG0000479	Syas.g_01749	Prah.g_02130
OG0000480	Syas.g_01756	Prah.g_02137
OG0000481	Syas.g_00161, Syas.g_00162	Prah.g_02139
OG0000482	Syas.g_01758	Prah.g_02140
OG0000483	Syas.g_01762	Prah.g_02144
OG0000484	Syas.g_01763	Prah.g_02145
OG0000485	Syas.g_01764	Prah.g_02146
OG0000486	Syas.g_01765	Prah.g_02147
OG0000487	Syas.g_01771	Prah.g_02152
OG0000488	Syas.g_01779	Prah.g_02156
OG0000489	Syas.g_01823	Prah.g_02167
OG0000490	Syas.g_01808	Prah.g_02172
OG0000491	Syas.g_01806	Prah.g_02173
OG0000492	Syas.g_01803	Prah.g_02175
OG0000493	Syas.g_01802	Prah.g_02176
OG0000494	Syas.g_01801	Prah.g_02177
OG0000495	Syas.g_01799	Prah.g_02178
OG0000496	Syas.g_01798	Prah.g_02179
OG0000497	Syas.g_01797	Prah.g_02180
OG0000498	Syas.g_01796	Prah.g_02181
OG0000499	Syas.g_01795	Prah.g_02182
OG0000500	Syas.g_01794	Prah.g_02183
OG0000501	Syas.g_01791	Prah.g_02186
OG0000502	Syas.g_02216	Prah.g_02199
OG0000503	Syas.g_01541	Prah.g_01940
OG0000504	Syas.g_01539	Prah.g_01938
OG0000505	Syas.g_01538	Prah.g_01937
OG0000506	Syas.g_01536	Prah.g_01935
OG0000507	Syas.g_01530	Prah.g_01930
OG0000508	Syas.g_01523	Prah.g_01922
OG0000509	Syas.g_01521	Prah.g_01920
OG0000510	Syas.g_01520	Prah.g_01919
OG0000511	Syas.g_01519	Prah.g_01918
OG0000512	Syas.g_01517	Prah.g_01916
OG0000513	Syas.g_01508	Prah.g_00209
OG0000514	Syas.g_01504	Prah.g_00218
OG0000515	Syas.g_01503	Prah.g_00219
OG0000516	Syas.g_01501	Prah.g_00221
OG0000517	Syas.g_01498	Prah.g_00229
OG0000518	Syas.g_00360, Syas.g_02746	Prah.g_00241
OG0000519	Syas.g_02747	Prah.g_00242
OG0000520	Syas.g_02748	Prah.g_00247
OG0000521	Syas.g_01281	Prah.g_00255
OG0000522	Syas.g_01279	Prah.g_00257
OG0000523	Syas.g_01278	Prah.g_00258
OG0000524	Syas.g_01354	Prah.g_00290
OG0000525	Syas.g_01342	Prah.g_00304
OG0000526	Syas.g_01340	Prah.g_00306
OG0000527	Syas.g_01335	Prah.g_00310
OG0000528	Syas.g_01256	Prah.g_01572
OG0000529	Syas.g_01252	Prah.g_01565
OG0000530	Syas.g_01249	Prah.g_01562
OG0000531	Syas.g_01248	Prah.g_01561
OG0000532	Syas.g_01245	Prah.g_01558
OG0000533	Syas.g_01243	Prah.g_01556
OG0000534	Syas.g_01242	Prah.g_01555
OG0000535	Syas.g_01241	Prah.g_01554
OG0000536	Syas.g_01240	Prah.g_01553
OG0000537	Syas.g_01238	Prah.g_01552
OG0000538	Syas.g_01228	Prah.g_01541
OG0000539	Syas.g_01227	Prah.g_01540
OG0000540	Syas.g_01226	Prah.g_01539
OG0000541	Syas.g_01225	Prah.g_01538
OG0000542	Syas.g_01221	Prah.g_01535
OG0000543	Syas.g_01219	Prah.g_01533
OG0000544	Syas.g_01218	Prah.g_01532
OG0000545	Syas.g_01216	Prah.g_01530
OG0000546	Syas.g_01214	Prah.g_01528
OG0000547	Syas.g_01212	Prah.g_01526
OG0000548	Syas.g_01211	Prah.g_01525
OG0000549	Syas.g_00005	Prah.g_01519
OG0000550	Syas.g_00010	Prah.g_01514
OG0000551	Syas.g_00015	Prah.g_01510
OG0000552	Syas.g_00016	Prah.g_01509
OG0000553	Syas.g_00019	Prah.g_01505
OG0000554	Syas.g_00063	Prah.g_01500
OG0000555	Syas.g_00775	Prah.g_01480
OG0000556	Syas.g_00781	Prah.g_01474
OG0000557	Syas.g_00783	Prah.g_01473
OG0000558	Syas.g_00785	Prah.g_01470
OG0000559	Syas.g_00789	Prah.g_01466
OG0000560	Syas.g_00792	Prah.g_01463
OG0000561	Syas.g_00793	Prah.g_01462
OG0000562	Syas.g_00794	Prah.g_01461
OG0000563	Syas.g_00795	Prah.g_01460
OG0000564	Syas.g_00796	Prah.g_01459
OG0000565	Syas.g_00800	Prah.g_01457
OG0000566	Syas.g_00804	Prah.g_01452
OG0000567	Syas.g_00808	Prah.g_01448
OG0000568	Syas.g_00810	Prah.g_01446
OG0000569	Syas.g_00811	Prah.g_01445
OG0000570	Syas.g_00812	Prah.g_01444
OG0000571	Syas.g_00815	Prah.g_01441
OG0000572	Syas.g_00839	Prah.g_01425
OG0000573	Syas.g_00952	Prah.g_01416
OG0000574	Syas.g_00951	Prah.g_01415
OG0000575	Syas.g_00848	Prah.g_01406
OG0000576	Syas.g_00850	Prah.g_01404
OG0000577	Syas.g_00851	Prah.g_01403
OG0000578	Syas.g_00852	Prah.g_01402
OG0000579	Syas.g_00853	Prah.g_01401
OG0000580	Syas.g_00854	Prah.g_01400
OG0000581	Syas.g_00861	Prah.g_01396
OG0000582	Syas.g_00873	Prah.g_01392
OG0000583	Syas.g_00872	Prah.g_01391
OG0000584	Syas.g_00871	Prah.g_01390
OG0000585	Syas.g_00868	Prah.g_01388
OG0000586	Syas.g_00867	Prah.g_01387
OG0000587	Syas.g_00865	Prah.g_01385
OG0000588	Syas.g_00960	Prah.g_00529
OG0000589	Syas.g_00121	Prah.g_00526
OG0000590	Syas.g_00120	Prah.g_00525
OG0000591	Syas.g_00106	Prah.g_00518
OG0000592	Syas.g_00105	Prah.g_00517
OG0000593	Syas.g_00750	Prah.g_00505
