Orthogroup	Syas	Prap
OG0000085	Syas.g_02695	Prap.g_01917, Prap.g_01787
OG0000086	Syas.g_02470	Prap.g_01090
OG0000087	Syas.g_02374	Prap.g_01035
OG0000089	Syas.g_01512	Prap.g_01349
OG0000090	Syas.g_00062	Prap.g_01236
OG0000091	Syas.g_00907, Syas.g_00146	Prap.g_00384
OG0000094	Syas.g_00208, Syas.g_01716	Prap.g_00306
OG0000095	Syas.g_01021	Prap.g_00708
OG0000097	Syas.g_00114, Syas.g_01443	Prap.g_00410
OG0000098	Syas.g_00091	Prap.g_01928
OG0000099	Syas.g_01826	Prap.g_00082
OG0000100	Syas.g_00567	Prap.g_00200
OG0000101	Syas.g_01589	Prap.g_01642
OG0000102	Syas.g_02152, Syas.g_01395	Prap.g_01575
OG0000103	Syas.g_02009	Prap.g_01491
OG0000104	Syas.g_02027, Syas.g_02026	Prap.g_01869
OG0000105	Syas.g_01739	Prap.g_01436
OG0000106	Syas.g_01451	Prap.g_00591
OG0000107	Syas.g_01669	Prap.g_01714
OG0000108	Syas.g_01253	Prap.g_01287
OG0000109	Syas.g_01236	Prap.g_01273
OG0000110	Syas.g_00359, Syas.g_00818	Prap.g_01194
OG0000111	Syas.g_01037	Prap.g_00798
OG0000112	Syas.g_00452	Prap.g_01121
OG0000113	Syas.g_00571	Prap.g_00760
OG0000114	Syas.g_00252, Syas.g_00674	Prap.g_00858
OG0000115	Syas.g_02548, Syas.g_01285	Prap.g_00525
OG0000116	Syas.g_01198, Syas.g_00317	Prap.g_00467
OG0000117	Syas.g_01122	Prap.g_00429
OG0000118	Syas.g_02835	Prap.g_00574
OG0000120	Syas.g_01828	Prap.g_00079
OG0000121	Syas.g_02821	Prap.g_00123
OG0000122	Syas.g_00393	Prap.g_00532, Prap.g_00164
OG0000123	Syas.g_01582	Prap.g_01635
OG0000124	Syas.g_02137	Prap.g_01563
OG0000125	Syas.g_01889	Prap.g_01528
OG0000126	Syas.g_01992	Prap.g_01870
OG0000128	Syas.g_02046	Prap.g_00043
OG0000129	Syas.g_01880	Prap.g_00910
OG0000130	Syas.g_02522	Prap.g_00881
OG0000131	Syas.g_02367	Prap.g_01026
OG0000132	Syas.g_02334	Prap.g_01006
OG0000133	Syas.g_00457	Prap.g_01389
OG0000134	Syas.g_01509	Prap.g_01347
OG0000135	Syas.g_01938	Prap.g_00543
OG0000136	Syas.g_02740	Prap.g_01325
OG0000137	Syas.g_01333	Prap.g_01292
OG0000138	Syas.g_01235	Prap.g_01272
OG0000139	Syas.g_00069	Prap.g_01232
OG0000140	Syas.g_00090	Prap.g_01231
OG0000141	Syas.g_00875	Prap.g_01160
OG0000142	Syas.g_00746	Prap.g_00392
OG0000143	Syas.g_00742	Prap.g_00388
OG0000144	Syas.g_00718	Prap.g_00374
OG0000145	Syas.g_00948	Prap.g_00545
OG0000146	Syas.g_00451	Prap.g_01122
OG0000147	Syas.g_00450	Prap.g_01123
OG0000148	Syas.g_00577	Prap.g_00766
OG0000149	Syas.g_00282	Prap.g_00734
OG0000150	Syas.g_00874	Prap.g_00724
OG0000151	Syas.g_00148, Syas.g_00659	Prap.g_00848
OG0000152	Syas.g_00461	Prap.g_00257
OG0000153	Syas.g_00543	Prap.g_00276
OG0000154	Syas.g_00219	Prap.g_00296
OG0000155	Syas.g_01131	Prap.g_00435
OG0000156	Syas.g_01206	Prap.g_00550
OG0000157	Syas.g_01207	Prap.g_00551
OG0000158	Syas.g_02185	Prap.g_01598
OG0000159	Syas.g_01155	Prap.g_00890
OG0000160	Syas.g_02820	Prap.g_00122
OG0000161	Syas.g_02826	Prap.g_00128
OG0000162	Syas.g_02751	Prap.g_00134
OG0000163	Syas.g_01488	Prap.g_00173
OG0000164	Syas.g_02648	Prap.g_01754
OG0000165	Syas.g_02609	Prap.g_01747
OG0000166	Syas.g_01629	Prap.g_01680
OG0000167	Syas.g_01449	Prap.g_01608
OG0000168	Syas.g_02184	Prap.g_01597
OG0000169	Syas.g_02170	Prap.g_01587
OG0000170	Syas.g_02161	Prap.g_01584
OG0000171	Syas.g_02139	Prap.g_01564
OG0000172	Syas.g_02110	Prap.g_01557
OG0000173	Syas.g_02092	Prap.g_01542
OG0000174	Syas.g_01940	Prap.g_01513
OG0000175	Syas.g_01994	Prap.g_01500
OG0000176	Syas.g_02038	Prap.g_00050
OG0000177	Syas.g_02039	Prap.g_00049
OG0000178	Syas.g_02040	Prap.g_00048
OG0000179	Syas.g_02054	Prap.g_00939
OG0000180	Syas.g_02055	Prap.g_00938
OG0000181	Syas.g_02056	Prap.g_00937
OG0000182	Syas.g_02057	Prap.g_00936
OG0000183	Syas.g_02061	Prap.g_00932
OG0000184	Syas.g_01872	Prap.g_00906
OG0000185	Syas.g_01861	Prap.g_00903
OG0000186	Syas.g_02525	Prap.g_00887
OG0000187	Syas.g_02524	Prap.g_00886
OG0000188	Syas.g_02502	Prap.g_01096
OG0000189	Syas.g_02432	Prap.g_01082
OG0000190	Syas.g_00133	Prap.g_01080
OG0000191	Syas.g_02400	Prap.g_01057
OG0000192	Syas.g_02395	Prap.g_01052
OG0000193	Syas.g_02366	Prap.g_01025
OG0000194	Syas.g_02363	Prap.g_01022
OG0000195	Syas.g_02360	Prap.g_01020
OG0000196	Syas.g_02337	Prap.g_01009
OG0000197	Syas.g_02336	Prap.g_01008
OG0000198	Syas.g_02335	Prap.g_01007
OG0000199	Syas.g_02327	Prap.g_01000
OG0000200	Syas.g_02298	Prap.g_00986
OG0000201	Syas.g_02279	Prap.g_00977
OG0000202	Syas.g_02278	Prap.g_00976
OG0000203	Syas.g_02277	Prap.g_00975
OG0000204	Syas.g_02276	Prap.g_00974
OG0000205	Syas.g_02267	Prap.g_00967
OG0000206	Syas.g_02240	Prap.g_00962
OG0000207	Syas.g_02237	Prap.g_00959
OG0000208	Syas.g_02236	Prap.g_00958
OG0000209	Syas.g_01837	Prap.g_00949
OG0000210	Syas.g_01838	Prap.g_00948
OG0000211	Syas.g_02552	Prap.g_01479
OG0000212	Syas.g_02562	Prap.g_01471
OG0000213	Syas.g_01707	Prap.g_01453
OG0000214	Syas.g_01730	Prap.g_01443
OG0000215	Syas.g_01766	Prap.g_01416
OG0000216	Syas.g_01770	Prap.g_01415
OG0000217	Syas.g_01778	Prap.g_01412
OG0000218	Syas.g_01780	Prap.g_01410
OG0000219	Syas.g_01783	Prap.g_01409
OG0000220	Syas.g_01784	Prap.g_01408
OG0000221	Syas.g_01785	Prap.g_01407
OG0000222	Syas.g_01804	Prap.g_01400
OG0000223	Syas.g_02221	Prap.g_01388
OG0000224	Syas.g_02215	Prap.g_01386
OG0000225	Syas.g_01522	Prap.g_01360
OG0000226	Syas.g_01518	Prap.g_01356
OG0000227	Syas.g_01516	Prap.g_01354
OG0000228	Syas.g_01513	Prap.g_01350
OG0000229	Syas.g_01497	Prap.g_01330
OG0000230	Syas.g_01495	Prap.g_01328
OG0000231	Syas.g_02749	Prap.g_01317
OG0000232	Syas.g_01276	Prap.g_01306
OG0000233	Syas.g_01352	Prap.g_01300
OG0000234	Syas.g_01331	Prap.g_01291
OG0000235	Syas.g_01254	Prap.g_01288
OG0000236	Syas.g_01237	Prap.g_01274
OG0000237	Syas.g_01220	Prap.g_01261
OG0000238	Syas.g_01215	Prap.g_01255
OG0000239	Syas.g_00012	Prap.g_01244
OG0000240	Syas.g_00013	Prap.g_01243
OG0000241	Syas.g_00754	Prap.g_01239
OG0000242	Syas.g_00059	Prap.g_01237
OG0000243	Syas.g_00777	Prap.g_01226
OG0000244	Syas.g_00784	Prap.g_01223
OG0000245	Syas.g_00786	Prap.g_01221
OG0000246	Syas.g_00790	Prap.g_01217
OG0000247	Syas.g_00802	Prap.g_01207
OG0000248	Syas.g_00805	Prap.g_01204
OG0000249	Syas.g_00807	Prap.g_01202
OG0000250	Syas.g_00814	Prap.g_01197
OG0000251	Syas.g_00845	Prap.g_01177
OG0000252	Syas.g_00950	Prap.g_01174
OG0000253	Syas.g_00846	Prap.g_01173
OG0000254	Syas.g_00869	Prap.g_01156
OG0000255	Syas.g_00132, Syas.g_01062	Prap.g_01150
OG0000256	Syas.g_00104	Prap.g_01140
OG0000257	Syas.g_00757	Prap.g_00397
OG0000258	Syas.g_00733	Prap.g_00383
OG0000259	Syas.g_01006, Syas.g_00708	Prap.g_00366
OG0000260	Syas.g_00705	Prap.g_00363
OG0000261	Syas.g_00701	Prap.g_00360
OG0000262	Syas.g_00695	Prap.g_00356
OG0000263	Syas.g_01103	Prap.g_00820
OG0000264	Syas.g_02588	Prap.g_00809
OG0000266	Syas.g_00186	Prap.g_00337
OG0000267	Syas.g_00377	Prap.g_00325
OG0000268	Syas.g_00390	Prap.g_00324
OG0000269	Syas.g_00601	Prap.g_00788
OG0000270	Syas.g_00598	Prap.g_00785
OG0000271	Syas.g_00590	Prap.g_00777
OG0000272	Syas.g_00589	Prap.g_00776
OG0000273	Syas.g_00563	Prap.g_00752
OG0000274	Syas.g_00562	Prap.g_00751
OG0000275	Syas.g_00230	Prap.g_00748
OG0000276	Syas.g_00237	Prap.g_00742
OG0000277	Syas.g_00238	Prap.g_00741
OG0000278	Syas.g_00241	Prap.g_00738
OG0000279	Syas.g_00288	Prap.g_00731
OG0000280	Syas.g_00889, Syas.g_00481	Prap.g_00730
OG0000281	Syas.g_00970	Prap.g_00723
OG0000282	Syas.g_00672	Prap.g_00856
OG0000283	Syas.g_00409	Prap.g_00680
OG0000284	Syas.g_00416	Prap.g_00675
OG0000285	Syas.g_00436	Prap.g_00243
OG0000286	Syas.g_00460	Prap.g_00256
OG0000287	Syas.g_00534	Prap.g_00522
OG0000288	Syas.g_00220	Prap.g_00295
OG0000289	Syas.g_00205	Prap.g_00311
OG0000290	Syas.g_01016	Prap.g_00705
OG0000291	Syas.g_01018	Prap.g_00707
OG0000292	Syas.g_02020	Prap.g_00501
OG0000293	Syas.g_01197	Prap.g_00466
OG0000294	Syas.g_01196	Prap.g_00465
OG0000295	Syas.g_01139	Prap.g_00442
OG0000296	Syas.g_01137	Prap.g_00440
OG0000297	Syas.g_01124	Prap.g_00431
OG0000298	Syas.g_01123	Prap.g_00430
OG0000299	Syas.g_01087	Prap.g_00411
OG0000300	Syas.g_01082	Prap.g_00408
OG0000301	Syas.g_01081	Prap.g_00407
OG0000302	Syas.g_01080	Prap.g_00405
OG0000303	Syas.g_01071	Prap.g_00399
OG0000304	Syas.g_01066	Prap.g_01135
OG0000305	Syas.g_01023	Prap.g_00499
OG0000306	Syas.g_01929	Prap.g_00719
OG0000307	Syas.g_01270	Prap.g_00068
OG0000308	Syas.g_01272	Prap.g_00069
OG0000309	Syas.g_01364	Prap.g_00073
OG0000310	Syas.g_02796	Prap.g_00107
OG0000311	Syas.g_02799	Prap.g_00109
OG0000312	Syas.g_02804	Prap.g_00112
OG0000313	Syas.g_02823	Prap.g_00125
OG0000314	Syas.g_01296	Prap.g_00148
OG0000315	Syas.g_01306	Prap.g_00158
OG0000316	Syas.g_02728	Prap.g_00183
OG0000317	Syas.g_02687	Prap.g_01782
OG0000318	Syas.g_02680	Prap.g_01778
OG0000319	Syas.g_02663	Prap.g_01765
OG0000320	Syas.g_02661	Prap.g_01763
OG0000321	Syas.g_02660	Prap.g_01762
OG0000322	Syas.g_02659	Prap.g_01761
OG0000323	Syas.g_02646	Prap.g_01751
OG0000324	Syas.g_02578	Prap.g_01724
OG0000325	Syas.g_01668	Prap.g_01713
OG0000326	Syas.g_01661	Prap.g_01706
OG0000327	Syas.g_01634	Prap.g_01685
OG0000328	Syas.g_01633	Prap.g_01684
OG0000329	Syas.g_01615	Prap.g_01667
OG0000330	Syas.g_01614	Prap.g_01666
OG0000331	Syas.g_01613	Prap.g_01665
OG0000332	Syas.g_01598	Prap.g_01651
OG0000333	Syas.g_01595	Prap.g_01648, Prap.g_01649
OG0000334	Syas.g_01586	Prap.g_01639
OG0000335	Syas.g_01581	Prap.g_01634
OG0000336	Syas.g_01577	Prap.g_01630
OG0000337	Syas.g_02211	Prap.g_01612
OG0000338	Syas.g_02199	Prap.g_01611
OG0000339	Syas.g_02192	Prap.g_01605
OG0000340	Syas.g_02183	Prap.g_01596
OG0000341	Syas.g_02181	Prap.g_01594
OG0000342	Syas.g_02180	Prap.g_01593
OG0000343	Syas.g_02176	Prap.g_01592
OG0000344	Syas.g_02172	Prap.g_01589
OG0000345	Syas.g_02160	Prap.g_01583
OG0000346	Syas.g_02155	Prap.g_01579
OG0000347	Syas.g_02136	Prap.g_01562
OG0000348	Syas.g_02107	Prap.g_01554
OG0000349	Syas.g_02085	Prap.g_01537
OG0000350	Syas.g_01654	Prap.g_00623
OG0000351	Syas.g_01998	Prap.g_01497
OG0000352	Syas.g_01999	Prap.g_01496
OG0000353	Syas.g_02033	Prap.g_00055
OG0000355	Syas.g_02035	Prap.g_00053
OG0000356	Syas.g_02036	Prap.g_00052
OG0000357	Syas.g_02037	Prap.g_00051
OG0000358	Syas.g_02041	Prap.g_00047
OG0000359	Syas.g_02043	Prap.g_00046
OG0000360	Syas.g_02044	Prap.g_00045
OG0000361	Syas.g_02045	Prap.g_00044
OG0000362	Syas.g_02047	Prap.g_00042
OG0000363	Syas.g_02049	Prap.g_00941
OG0000364	Syas.g_02685	Prap.g_00940
OG0000365	Syas.g_02058	Prap.g_00935
OG0000366	Syas.g_02059	Prap.g_00934
OG0000368	Syas.g_02062	Prap.g_00931
OG0000369	Syas.g_02063	Prap.g_00930
OG0000370	Syas.g_02064	Prap.g_00929
OG0000371	Syas.g_02073	Prap.g_00922
OG0000372	Syas.g_02078	Prap.g_00919
OG0000373	Syas.g_02079	Prap.g_00918
OG0000374	Syas.g_02080	Prap.g_00917
OG0000375	Syas.g_02081	Prap.g_00915
OG0000376	Syas.g_02083	Prap.g_00913
OG0000377	Syas.g_01879	Prap.g_00909
OG0000378	Syas.g_01867	Prap.g_00905
OG0000379	Syas.g_01859	Prap.g_00902
OG0000380	Syas.g_02523	Prap.g_00885
OG0000381	Syas.g_02521	Prap.g_00880
OG0000382	Syas.g_02503	Prap.g_01097
OG0000383	Syas.g_02480	Prap.g_01095
OG0000384	Syas.g_02479	Prap.g_01094
OG0000385	Syas.g_02478	Prap.g_01093
OG0000386	Syas.g_02477	Prap.g_01092
OG0000387	Syas.g_00134	Prap.g_01078
OG0000388	Syas.g_02426	Prap.g_01074
OG0000389	Syas.g_02422	Prap.g_01071
OG0000390	Syas.g_02406	Prap.g_01061
OG0000391	Syas.g_02401	Prap.g_01058
OG0000392	Syas.g_02396	Prap.g_01054
OG0000393	Syas.g_02394	Prap.g_01051
OG0000394	Syas.g_02393	Prap.g_01050
OG0000395	Syas.g_02392	Prap.g_01049
OG0000396	Syas.g_02389	Prap.g_01047
OG0000397	Syas.g_02387	Prap.g_01045
OG0000398	Syas.g_02382	Prap.g_01042
OG0000399	Syas.g_02381	Prap.g_01041
OG0000400	Syas.g_02380	Prap.g_01040
OG0000401	Syas.g_02379	Prap.g_01039
OG0000402	Syas.g_02377	Prap.g_00319
OG0000403	Syas.g_02376	Prap.g_01037
OG0000404	Syas.g_02375	Prap.g_01036
OG0000405	Syas.g_02369	Prap.g_01032
OG0000406	Syas.g_02365	Prap.g_01024
OG0000407	Syas.g_02364	Prap.g_01023
OG0000408	Syas.g_02361	Prap.g_01021
OG0000409	Syas.g_02359	Prap.g_01019
OG0000410	Syas.g_02358	Prap.g_01018
OG0000411	Syas.g_02357	Prap.g_01017
OG0000412	Syas.g_02356	Prap.g_01016
OG0000413	Syas.g_02354	Prap.g_01014
OG0000414	Syas.g_02353	Prap.g_01013
OG0000415	Syas.g_02352	Prap.g_01012
OG0000416	Syas.g_02351	Prap.g_01011
OG0000417	Syas.g_02338	Prap.g_01010
OG0000418	Syas.g_02333	Prap.g_01005
OG0000419	Syas.g_02331	Prap.g_01003
OG0000420	Syas.g_02329	Prap.g_01002
OG0000421	Syas.g_02324	Prap.g_00997
OG0000422	Syas.g_02323	Prap.g_00996
OG0000423	Syas.g_02322	Prap.g_00995
OG0000424	Syas.g_02321	Prap.g_00994
OG0000425	Syas.g_02320	Prap.g_00993
OG0000426	Syas.g_02319	Prap.g_00992
OG0000427	Syas.g_02318	Prap.g_00991
OG0000428	Syas.g_02315	Prap.g_00989
OG0000429	Syas.g_02312	Prap.g_00988
OG0000430	Syas.g_02311	Prap.g_00987
OG0000431	Syas.g_02296	Prap.g_00985
OG0000432	Syas.g_02288	Prap.g_00981
OG0000433	Syas.g_02286	Prap.g_00980
OG0000434	Syas.g_02285	Prap.g_00979
OG0000435	Syas.g_02282	Prap.g_00978
OG0000436	Syas.g_02273	Prap.g_00973
OG0000437	Syas.g_02272	Prap.g_00972
OG0000438	Syas.g_02271	Prap.g_00971
OG0000439	Syas.g_02269	Prap.g_00969
OG0000440	Syas.g_02268	Prap.g_00968
OG0000441	Syas.g_02265	Prap.g_00965
OG0000442	Syas.g_02259	Prap.g_00964
OG0000443	Syas.g_02241	Prap.g_00963
OG0000444	Syas.g_02234	Prap.g_00957
OG0000445	Syas.g_02233	Prap.g_00956
OG0000446	Syas.g_02231	Prap.g_00955
OG0000447	Syas.g_02229	Prap.g_00954
OG0000448	Syas.g_02228	Prap.g_00953
OG0000449	Syas.g_02226	Prap.g_00952
OG0000450	Syas.g_01834	Prap.g_00951
OG0000451	Syas.g_01835	Prap.g_00950
OG0000452	Syas.g_01844	Prap.g_00947
OG0000453	Syas.g_01845	Prap.g_00946
OG0000454	Syas.g_01846	Prap.g_00945
OG0000455	Syas.g_01847	Prap.g_00944
OG0000456	Syas.g_01848	Prap.g_00943
OG0000457	Syas.g_01850	Prap.g_01487
OG0000458	Syas.g_01851	Prap.g_01486
OG0000459	Syas.g_01852	Prap.g_01485
OG0000460	Syas.g_02554	Prap.g_01477
OG0000461	Syas.g_01686	Prap.g_01469
OG0000462	Syas.g_01688	Prap.g_01467
OG0000463	Syas.g_01689	Prap.g_01466
OG0000464	Syas.g_01690	Prap.g_01465
OG0000465	Syas.g_01692	Prap.g_01464
OG0000466	Syas.g_01697	Prap.g_01461
OG0000467	Syas.g_01698	Prap.g_01460
OG0000468	Syas.g_01703	Prap.g_01457
OG0000469	Syas.g_01725	Prap.g_01449
OG0000470	Syas.g_01727	Prap.g_01447
OG0000471	Syas.g_01728	Prap.g_01446
OG0000472	Syas.g_01729	Prap.g_01444
OG0000473	Syas.g_01731	Prap.g_01442
OG0000474	Syas.g_01732	Prap.g_01441
OG0000475	Syas.g_01733	Prap.g_01440
OG0000476	Syas.g_01735	Prap.g_01438
OG0000477	Syas.g_01740	Prap.g_01435
OG0000478	Syas.g_01741	Prap.g_01434
OG0000479	Syas.g_01749	Prap.g_01433
OG0000480	Syas.g_01756	Prap.g_01428
OG0000481	Syas.g_00161, Syas.g_00162	Prap.g_01425
OG0000482	Syas.g_01758	Prap.g_01424
OG0000483	Syas.g_01762	Prap.g_01421
OG0000484	Syas.g_01763	Prap.g_01420
OG0000485	Syas.g_01764	Prap.g_01418
OG0000486	Syas.g_01765	Prap.g_01417
OG0000487	Syas.g_01771	Prap.g_01414
OG0000488	Syas.g_01779	Prap.g_01411
OG0000489	Syas.g_01823	Prap.g_01406
OG0000490	Syas.g_01808	Prap.g_01402
OG0000491	Syas.g_01806	Prap.g_01401
OG0000492	Syas.g_01803	Prap.g_01399
OG0000493	Syas.g_01802	Prap.g_01398
OG0000494	Syas.g_01801	Prap.g_01397
OG0000495	Syas.g_01799	Prap.g_01396
OG0000496	Syas.g_01798	Prap.g_01395
OG0000497	Syas.g_01797	Prap.g_01394
OG0000498	Syas.g_01796	Prap.g_01393
OG0000499	Syas.g_01795	Prap.g_01392
OG0000500	Syas.g_01794	Prap.g_01391
OG0000501	Syas.g_01791	Prap.g_01390
OG0000502	Syas.g_02216	Prap.g_01387
OG0000503	Syas.g_01541	Prap.g_01372
OG0000504	Syas.g_01539	Prap.g_01370
OG0000505	Syas.g_01538	Prap.g_01369
OG0000506	Syas.g_01536	Prap.g_01368
OG0000507	Syas.g_01530	Prap.g_01365
OG0000508	Syas.g_01523	Prap.g_01361
OG0000509	Syas.g_01521	Prap.g_01359
OG0000510	Syas.g_01520	Prap.g_01358
OG0000511	Syas.g_01519	Prap.g_01357
OG0000512	Syas.g_01517	Prap.g_01355
OG0000513	Syas.g_01508	Prap.g_01346
OG0000514	Syas.g_01504	Prap.g_01335
OG0000515	Syas.g_01503	Prap.g_01334
OG0000516	Syas.g_01501	Prap.g_01333
OG0000517	Syas.g_01498	Prap.g_01331
OG0000518	Syas.g_00360, Syas.g_02746	Prap.g_01320
OG0000519	Syas.g_02747	Prap.g_01319
OG0000520	Syas.g_02748	Prap.g_01318
OG0000521	Syas.g_01281	Prap.g_01310
OG0000522	Syas.g_01279	Prap.g_01308
OG0000523	Syas.g_01278	Prap.g_01307
OG0000524	Syas.g_01354	Prap.g_01302
OG0000525	Syas.g_01342	Prap.g_01298
OG0000526	Syas.g_01340	Prap.g_01297
OG0000527	Syas.g_01335	Prap.g_01294
OG0000528	Syas.g_01256	Prap.g_01289
OG0000529	Syas.g_01252	Prap.g_01286
OG0000530	Syas.g_01249	Prap.g_01283
OG0000531	Syas.g_01248	Prap.g_01282
OG0000532	Syas.g_01245	Prap.g_01280
OG0000533	Syas.g_01243	Prap.g_01279
OG0000534	Syas.g_01242	Prap.g_01278
OG0000535	Syas.g_01241	Prap.g_01277
OG0000536	Syas.g_01240	Prap.g_01276
OG0000537	Syas.g_01238	Prap.g_01275
OG0000538	Syas.g_01228	Prap.g_01266
OG0000539	Syas.g_01227	Prap.g_01265
OG0000540	Syas.g_01226	Prap.g_01264
OG0000541	Syas.g_01225	Prap.g_01263
OG0000542	Syas.g_01221	Prap.g_01262
OG0000543	Syas.g_01219	Prap.g_01260
OG0000544	Syas.g_01218	Prap.g_01259
OG0000545	Syas.g_01216	Prap.g_01257
OG0000546	Syas.g_01214	Prap.g_01254
OG0000547	Syas.g_01212	Prap.g_01252
OG0000548	Syas.g_01211	Prap.g_01251
OG0000549	Syas.g_00005	Prap.g_01249
OG0000550	Syas.g_00010	Prap.g_01245
OG0000551	Syas.g_00015	Prap.g_01242
OG0000552	Syas.g_00016	Prap.g_01241
OG0000553	Syas.g_00019	Prap.g_01240
OG0000554	Syas.g_00063	Prap.g_01235
OG0000555	Syas.g_00775	Prap.g_01227
OG0000556	Syas.g_00781	Prap.g_01225
OG0000557	Syas.g_00783	Prap.g_01224
OG0000558	Syas.g_00785	Prap.g_01222
OG0000559	Syas.g_00789	Prap.g_01218
OG0000560	Syas.g_00792	Prap.g_01215
OG0000561	Syas.g_00793	Prap.g_01214
OG0000562	Syas.g_00794	Prap.g_01213
OG0000563	Syas.g_00795	Prap.g_01212
OG0000564	Syas.g_00796	Prap.g_01211
OG0000565	Syas.g_00800	Prap.g_01209
OG0000566	Syas.g_00804	Prap.g_01205
OG0000567	Syas.g_00808	Prap.g_01201
OG0000568	Syas.g_00810	Prap.g_01200
OG0000569	Syas.g_00811	Prap.g_01199
OG0000570	Syas.g_00812	Prap.g_01198
OG0000571	Syas.g_00815	Prap.g_01196
OG0000572	Syas.g_00839	Prap.g_01182
OG0000573	Syas.g_00952	Prap.g_01176
OG0000574	Syas.g_00951	Prap.g_01175
OG0000575	Syas.g_00848	Prap.g_01171
OG0000576	Syas.g_00850	Prap.g_01169
OG0000577	Syas.g_00851	Prap.g_01168
OG0000578	Syas.g_00852	Prap.g_01167
OG0000579	Syas.g_00853	Prap.g_01166
OG0000580	Syas.g_00854	Prap.g_01165
OG0000581	Syas.g_00861	Prap.g_01162
OG0000582	Syas.g_00873	Prap.g_01159
OG0000583	Syas.g_00872	Prap.g_01158
OG0000584	Syas.g_00871	Prap.g_01157
OG0000585	Syas.g_00868	Prap.g_01155
OG0000586	Syas.g_00867	Prap.g_01154
OG0000587	Syas.g_00865	Prap.g_01153
OG0000588	Syas.g_00960	Prap.g_01149
OG0000589	Syas.g_00121	Prap.g_01147
OG0000590	Syas.g_00120	Prap.g_01146
