Orthogroup	Syas	Prat
OG0000053	Syas.g_01287	Prat.g_01375
OG0000054	Syas.g_00961, Syas.g_00957	Prat.g_00569
OG0000057	Syas.g_01055, Syas.g_01038	Prat.g_00775
OG0000059	Syas.g_01639	Prat.g_01679
OG0000061	Syas.g_01184	Prat.g_01156
OG0000062	Syas.g_02702	Prat.g_01442
OG0000063	Syas.g_02074	Prat.g_01516
OG0000064	Syas.g_02423, Syas.g_00946	Prat.g_00064
OG0000065	Syas.g_02420	Prat.g_00104
OG0000066	Syas.g_00094	Prat.g_01499
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Prat.g_01037
OG0000068	Syas.g_00969, Syas.g_01261	Prat.g_01291
OG0000069	Syas.g_00779, Syas.g_00876	Prat.g_01400
OG0000070	Syas.g_00173	Prat.g_00412
OG0000071	Syas.g_02854	Prat.g_01249
OG0000072	Syas.g_02326, Syas.g_01524	Prat.g_00172
OG0000073	Syas.g_01230	Prat.g_00462
OG0000075	Syas.g_01921, Syas.g_02194	Prat.g_01761
OG0000076	Syas.g_02156	Prat.g_01788
OG0000077	Syas.g_02510	Prat.g_00075
OG0000078	Syas.g_02561	Prat.g_00245
OG0000079	Syas.g_01699	Prat.g_00258
OG0000080	Syas.g_02616, Syas.g_02149	Prat.g_01323
OG0000081	Syas.g_00391	Prat.g_00493
OG0000082	Syas.g_00837	Prat.g_01507
OG0000085	Syas.g_02695	Prat.g_01584
OG0000086	Syas.g_02470	Prat.g_00086
OG0000087	Syas.g_02374	Prat.g_00138
OG0000089	Syas.g_01512	Prat.g_00370
OG0000090	Syas.g_00062	Prat.g_00495
OG0000091	Syas.g_00907, Syas.g_00146	Prat.g_01082
OG0000092	Syas.g_00900, Syas.g_00877	Prat.g_01275
OG0000094	Syas.g_00208, Syas.g_01716	Prat.g_00943
OG0000095	Syas.g_01021	Prat.g_00965
OG0000097	Syas.g_00114, Syas.g_01443	Prat.g_01111
OG0000098	Syas.g_00091	Prat.g_01282
OG0000099	Syas.g_01826	Prat.g_01312
OG0000100	Syas.g_00567	Prat.g_01437
OG0000101	Syas.g_01589	Prat.g_01726
OG0000102	Syas.g_02152, Syas.g_01395	Prat.g_01793
OG0000103	Syas.g_02009	Prat.g_01880
OG0000104	Syas.g_02027, Syas.g_02026	Prat.g_01889
OG0000105	Syas.g_01739	Prat.g_00281
OG0000106	Syas.g_01451	Prat.g_00637
OG0000107	Syas.g_01669	Prat.g_01656
OG0000108	Syas.g_01253	Prat.g_00440
OG0000109	Syas.g_01236	Prat.g_00455
OG0000110	Syas.g_00359, Syas.g_00818	Prat.g_00539
OG0000111	Syas.g_01037	Prat.g_00776
OG0000112	Syas.g_00452	Prat.g_00888
OG0000113	Syas.g_00571	Prat.g_01014
OG0000114	Syas.g_00252, Syas.g_00674	Prat.g_00716
OG0000115	Syas.g_02548, Syas.g_01285	Prat.g_01373
OG0000116	Syas.g_01198, Syas.g_00317	Prat.g_01166
OG0000117	Syas.g_01122	Prat.g_01129
OG0000118	Syas.g_02835	Prat.g_01261
OG0000120	Syas.g_01828	Prat.g_00344
OG0000121	Syas.g_02821	Prat.g_01355
OG0000122	Syas.g_00393	Prat.g_00781, Prat.g_01398
OG0000123	Syas.g_01582	Prat.g_01733
OG0000124	Syas.g_02137	Prat.g_01805
OG0000125	Syas.g_01889	Prat.g_01841
OG0000126	Syas.g_01992	Prat.g_01888
OG0000128	Syas.g_02046	Prat.g_00012, Prat.g_00011
OG0000129	Syas.g_01880	Prat.g_00047
OG0000130	Syas.g_02522	Prat.g_00066
OG0000131	Syas.g_02367	Prat.g_00144
OG0000132	Syas.g_02334	Prat.g_00164
OG0000133	Syas.g_00457	Prat.g_00329
OG0000134	Syas.g_01509	Prat.g_00372
OG0000135	Syas.g_01938	Prat.g_01477
OG0000136	Syas.g_02740	Prat.g_00401
OG0000137	Syas.g_01333	Prat.g_00434
OG0000138	Syas.g_01235	Prat.g_00456
OG0000139	Syas.g_00069	Prat.g_00499
OG0000140	Syas.g_00090	Prat.g_00500
OG0000141	Syas.g_00875	Prat.g_00570
OG0000142	Syas.g_00746	Prat.g_01090
OG0000143	Syas.g_00742	Prat.g_01086
OG0000144	Syas.g_00718	Prat.g_01072
OG0000145	Syas.g_00948	Prat.g_01472
OG0000146	Syas.g_00451	Prat.g_00887
OG0000147	Syas.g_00450	Prat.g_00886
OG0000148	Syas.g_00577	Prat.g_01020
OG0000149	Syas.g_00282	Prat.g_00991
OG0000150	Syas.g_00874	Prat.g_00981
OG0000151	Syas.g_00148, Syas.g_00659	Prat.g_00726
OG0000152	Syas.g_00461	Prat.g_00896
OG0000153	Syas.g_00543	Prat.g_00915
OG0000154	Syas.g_00219	Prat.g_00934
OG0000155	Syas.g_01131	Prat.g_01135
OG0000156	Syas.g_01206	Prat.g_01238
OG0000157	Syas.g_01207	Prat.g_01239
OG0000158	Syas.g_02185	Prat.g_01769
OG0000160	Syas.g_02820	Prat.g_01354
OG0000161	Syas.g_02826	Prat.g_01360
OG0000162	Syas.g_02751	Prat.g_01366
OG0000163	Syas.g_01488	Prat.g_01409
OG0000164	Syas.g_02648	Prat.g_01615
OG0000165	Syas.g_02609	Prat.g_01623
OG0000166	Syas.g_01629	Prat.g_01690
OG0000167	Syas.g_01449	Prat.g_01759
OG0000168	Syas.g_02184	Prat.g_01770
OG0000169	Syas.g_02170	Prat.g_01781
OG0000170	Syas.g_02161	Prat.g_01784
OG0000171	Syas.g_02139	Prat.g_01804
OG0000172	Syas.g_02110	Prat.g_01811
OG0000173	Syas.g_02092	Prat.g_01826
OG0000174	Syas.g_01940	Prat.g_01858
OG0000175	Syas.g_01994	Prat.g_01870
OG0000176	Syas.g_02038	Prat.g_00004
OG0000177	Syas.g_02039	Prat.g_00005
OG0000178	Syas.g_02040	Prat.g_00006
OG0000179	Syas.g_02054	Prat.g_00017
OG0000180	Syas.g_02055	Prat.g_00018
OG0000181	Syas.g_02056	Prat.g_00019
OG0000182	Syas.g_02057	Prat.g_00020
OG0000183	Syas.g_02061	Prat.g_00024
OG0000184	Syas.g_01872	Prat.g_00051
OG0000185	Syas.g_01861	Prat.g_00054
OG0000186	Syas.g_02525	Prat.g_00060
OG0000187	Syas.g_02524	Prat.g_00061
OG0000188	Syas.g_02502	Prat.g_00080
OG0000189	Syas.g_02432	Prat.g_00093
OG0000190	Syas.g_00133	Prat.g_00094
OG0000191	Syas.g_02400	Prat.g_00116
OG0000192	Syas.g_02395	Prat.g_00121
OG0000193	Syas.g_02366	Prat.g_00145
OG0000194	Syas.g_02363	Prat.g_00148
OG0000195	Syas.g_02360	Prat.g_00150
OG0000196	Syas.g_02337	Prat.g_00161
OG0000197	Syas.g_02336	Prat.g_00162
OG0000198	Syas.g_02335	Prat.g_00163
OG0000199	Syas.g_02327	Prat.g_00171
OG0000200	Syas.g_02298	Prat.g_00185
OG0000201	Syas.g_02279	Prat.g_00194
OG0000202	Syas.g_02278	Prat.g_00195
OG0000203	Syas.g_02277	Prat.g_00196
OG0000204	Syas.g_02276	Prat.g_00197
OG0000205	Syas.g_02267	Prat.g_00204
OG0000206	Syas.g_02240	Prat.g_00209
OG0000207	Syas.g_02237	Prat.g_00211
OG0000208	Syas.g_02236	Prat.g_00212
OG0000209	Syas.g_01837	Prat.g_00221
OG0000210	Syas.g_01838	Prat.g_00222
OG0000211	Syas.g_02552	Prat.g_00238
OG0000212	Syas.g_02562	Prat.g_00246
OG0000213	Syas.g_01707	Prat.g_00264
OG0000214	Syas.g_01730	Prat.g_00274
OG0000215	Syas.g_01766	Prat.g_00300
OG0000216	Syas.g_01770	Prat.g_00302
OG0000217	Syas.g_01778	Prat.g_00305
OG0000218	Syas.g_01780	Prat.g_00307
OG0000219	Syas.g_01783	Prat.g_00308
OG0000220	Syas.g_01784	Prat.g_00309
OG0000221	Syas.g_01785	Prat.g_00310
OG0000222	Syas.g_01804	Prat.g_00317
OG0000223	Syas.g_02221	Prat.g_00330
OG0000224	Syas.g_02215	Prat.g_00332
OG0000225	Syas.g_01522	Prat.g_00360
OG0000226	Syas.g_01518	Prat.g_00364
OG0000227	Syas.g_01516	Prat.g_00366
OG0000228	Syas.g_01513	Prat.g_00369
OG0000229	Syas.g_01497	Prat.g_00396
OG0000230	Syas.g_01495	Prat.g_00398
OG0000231	Syas.g_02749	Prat.g_00411
OG0000232	Syas.g_01276	Prat.g_00419
OG0000233	Syas.g_01352	Prat.g_00426
OG0000234	Syas.g_01331	Prat.g_00435
OG0000235	Syas.g_01254	Prat.g_00439
OG0000236	Syas.g_01237	Prat.g_00454
OG0000237	Syas.g_01220	Prat.g_00469
OG0000238	Syas.g_01215	Prat.g_00475
OG0000239	Syas.g_00012	Prat.g_00487
OG0000240	Syas.g_00013	Prat.g_00488
OG0000241	Syas.g_00754	Prat.g_00492
OG0000242	Syas.g_00059	Prat.g_00494
OG0000243	Syas.g_00777	Prat.g_00504
OG0000244	Syas.g_00784	Prat.g_00507
OG0000245	Syas.g_00786	Prat.g_00509
OG0000246	Syas.g_00790	Prat.g_00514, Prat.g_00513
OG0000247	Syas.g_00802	Prat.g_00525
OG0000248	Syas.g_00805	Prat.g_00528
OG0000249	Syas.g_00807	Prat.g_00530
OG0000250	Syas.g_00814	Prat.g_00536
OG0000251	Syas.g_00845	Prat.g_00553
OG0000252	Syas.g_00950	Prat.g_00556
OG0000253	Syas.g_00846	Prat.g_00557
OG0000254	Syas.g_00869	Prat.g_00574
OG0000255	Syas.g_00132, Syas.g_01062	Prat.g_00581
OG0000256	Syas.g_00104	Prat.g_00591
OG0000257	Syas.g_00757	Prat.g_01097
OG0000258	Syas.g_00733	Prat.g_01081
OG0000259	Syas.g_01006, Syas.g_00708	Prat.g_01064
OG0000260	Syas.g_00705	Prat.g_01061
OG0000261	Syas.g_00701	Prat.g_01058
OG0000262	Syas.g_00695	Prat.g_01054
OG0000263	Syas.g_01103	Prat.g_00754
OG0000264	Syas.g_02588	Prat.g_00765
OG0000266	Syas.g_00186	Prat.g_00801
OG0000267	Syas.g_00377	Prat.g_00814
OG0000268	Syas.g_00390	Prat.g_00815
OG0000269	Syas.g_00601	Prat.g_01042
OG0000270	Syas.g_00598	Prat.g_01039
OG0000271	Syas.g_00590	Prat.g_01031
OG0000272	Syas.g_00589	Prat.g_01030
OG0000273	Syas.g_00563	Prat.g_01007
OG0000274	Syas.g_00562	Prat.g_01006
OG0000275	Syas.g_00230	Prat.g_01004
OG0000276	Syas.g_00237	Prat.g_00999
OG0000277	Syas.g_00238	Prat.g_00998
OG0000278	Syas.g_00241	Prat.g_00995
OG0000279	Syas.g_00288	Prat.g_00988
OG0000280	Syas.g_00889, Syas.g_00481	Prat.g_00987
OG0000281	Syas.g_00970	Prat.g_00980
OG0000282	Syas.g_00672	Prat.g_00718
OG0000283	Syas.g_00409	Prat.g_00868
OG0000284	Syas.g_00416	Prat.g_00873
OG0000285	Syas.g_00436	Prat.g_00879
OG0000286	Syas.g_00460	Prat.g_00895
OG0000287	Syas.g_00534	Prat.g_00912
OG0000288	Syas.g_00220	Prat.g_00933
OG0000289	Syas.g_00205	Prat.g_00948
OG0000290	Syas.g_01016	Prat.g_00962
OG0000291	Syas.g_01018	Prat.g_00964
OG0000292	Syas.g_02020	Prat.g_01208
OG0000293	Syas.g_01197	Prat.g_01165
OG0000294	Syas.g_01196	Prat.g_01164
OG0000295	Syas.g_01139	Prat.g_01142
OG0000296	Syas.g_01137	Prat.g_01140
OG0000297	Syas.g_01124	Prat.g_01131
OG0000298	Syas.g_01123	Prat.g_01130
OG0000299	Syas.g_01087	Prat.g_01112
OG0000300	Syas.g_01082	Prat.g_01108
OG0000301	Syas.g_01081	Prat.g_01107
OG0000302	Syas.g_01080	Prat.g_01105
OG0000303	Syas.g_01071	Prat.g_01099
OG0000304	Syas.g_01066	Prat.g_00595
OG0000305	Syas.g_01023	Prat.g_01200
OG0000306	Syas.g_01929	Prat.g_00976
OG0000307	Syas.g_01270	Prat.g_01300
OG0000308	Syas.g_01272	Prat.g_01301
OG0000309	Syas.g_01364	Prat.g_01305
OG0000310	Syas.g_02796	Prat.g_01336
OG0000311	Syas.g_02799	Prat.g_01338
OG0000312	Syas.g_02804	Prat.g_01341
OG0000313	Syas.g_02823	Prat.g_01357
OG0000314	Syas.g_01296	Prat.g_01382
OG0000315	Syas.g_01306	Prat.g_01392
OG0000316	Syas.g_02728	Prat.g_01420
OG0000317	Syas.g_02687	Prat.g_01589
OG0000318	Syas.g_02680	Prat.g_01593
OG0000319	Syas.g_02663	Prat.g_01605
OG0000320	Syas.g_02661	Prat.g_01607
OG0000321	Syas.g_02660	Prat.g_01608
OG0000322	Syas.g_02659	Prat.g_01609
OG0000323	Syas.g_02646	Prat.g_01618
OG0000324	Syas.g_02578	Prat.g_01647
OG0000325	Syas.g_01668	Prat.g_01657
OG0000326	Syas.g_01661	Prat.g_01664
OG0000327	Syas.g_01634	Prat.g_01685
OG0000328	Syas.g_01633	Prat.g_01686
OG0000329	Syas.g_01615	Prat.g_01703
OG0000330	Syas.g_01614	Prat.g_01704
OG0000331	Syas.g_01613	Prat.g_01705
OG0000332	Syas.g_01598	Prat.g_01718
OG0000333	Syas.g_01595	Prat.g_01720
OG0000334	Syas.g_01586	Prat.g_01729
OG0000335	Syas.g_01581	Prat.g_01734
OG0000336	Syas.g_01577	Prat.g_01738
OG0000337	Syas.g_02211	Prat.g_01756
OG0000338	Syas.g_02199	Prat.g_01757
OG0000339	Syas.g_02192	Prat.g_01762
OG0000340	Syas.g_02183	Prat.g_01771
OG0000341	Syas.g_02181	Prat.g_01773
OG0000342	Syas.g_02180	Prat.g_01775
OG0000343	Syas.g_02176	Prat.g_01776
OG0000344	Syas.g_02172	Prat.g_01779
OG0000345	Syas.g_02160	Prat.g_01785
OG0000346	Syas.g_02155	Prat.g_01789
OG0000347	Syas.g_02136	Prat.g_01806
OG0000348	Syas.g_02107	Prat.g_01814
OG0000349	Syas.g_02085	Prat.g_01832
OG0000350	Syas.g_01654	Prat.g_01853
OG0000351	Syas.g_01998	Prat.g_01873
OG0000352	Syas.g_01999	Prat.g_01874
OG0000353	Syas.g_02033	Prat.g_01892
OG0000354	Syas.g_01209, Syas.g_02052	Prat.g_00845
OG0000355	Syas.g_02035	Prat.g_00001
OG0000356	Syas.g_02036	Prat.g_00002
OG0000357	Syas.g_02037	Prat.g_00003
OG0000358	Syas.g_02041	Prat.g_00007
OG0000359	Syas.g_02043	Prat.g_00008
OG0000360	Syas.g_02044	Prat.g_00009
OG0000361	Syas.g_02045	Prat.g_00010
OG0000362	Syas.g_02047	Prat.g_00013
OG0000363	Syas.g_02049	Prat.g_00015
OG0000364	Syas.g_02685	Prat.g_00016
OG0000365	Syas.g_02058	Prat.g_00021
OG0000366	Syas.g_02059	Prat.g_00022
OG0000368	Syas.g_02062	Prat.g_00025
OG0000369	Syas.g_02063	Prat.g_00026
OG0000370	Syas.g_02064	Prat.g_00027
OG0000371	Syas.g_02073	Prat.g_00034
OG0000372	Syas.g_02078	Prat.g_00036
OG0000373	Syas.g_02079	Prat.g_00037
OG0000374	Syas.g_02080	Prat.g_00038
OG0000375	Syas.g_02081	Prat.g_00042
OG0000376	Syas.g_02083	Prat.g_00044
OG0000377	Syas.g_01879	Prat.g_00048
OG0000378	Syas.g_01867	Prat.g_00052
OG0000379	Syas.g_01859	Prat.g_00055
OG0000380	Syas.g_02523	Prat.g_00062
OG0000381	Syas.g_02521	Prat.g_00067
OG0000382	Syas.g_02503	Prat.g_00079
OG0000383	Syas.g_02480	Prat.g_00081
OG0000384	Syas.g_02479	Prat.g_00082
OG0000385	Syas.g_02478	Prat.g_00083
OG0000386	Syas.g_02477	Prat.g_00084
OG0000387	Syas.g_00134	Prat.g_00096
OG0000388	Syas.g_02426	Prat.g_00100
OG0000389	Syas.g_02422	Prat.g_00103
OG0000390	Syas.g_02406	Prat.g_00112
OG0000391	Syas.g_02401	Prat.g_00115
OG0000392	Syas.g_02396	Prat.g_00118
OG0000393	Syas.g_02394	Prat.g_00122
OG0000394	Syas.g_02393	Prat.g_00123
OG0000395	Syas.g_02392	Prat.g_00124
OG0000396	Syas.g_02389	Prat.g_00126
OG0000397	Syas.g_02387	Prat.g_00128
OG0000398	Syas.g_02382	Prat.g_00131
OG0000399	Syas.g_02381	Prat.g_00132
OG0000400	Syas.g_02380	Prat.g_00133
OG0000401	Syas.g_02379	Prat.g_00134
OG0000402	Syas.g_02377	Prat.g_00601
OG0000403	Syas.g_02376	Prat.g_00136
OG0000404	Syas.g_02375	Prat.g_00137
OG0000405	Syas.g_02369	Prat.g_00141
OG0000406	Syas.g_02365	Prat.g_00146
OG0000407	Syas.g_02364	Prat.g_00147
OG0000408	Syas.g_02361	Prat.g_00149
OG0000409	Syas.g_02359	Prat.g_00151
OG0000410	Syas.g_02358	Prat.g_00152
OG0000411	Syas.g_02357	Prat.g_00153
OG0000412	Syas.g_02356	Prat.g_00154
OG0000413	Syas.g_02354	Prat.g_00156
OG0000414	Syas.g_02353	Prat.g_00157
OG0000415	Syas.g_02352	Prat.g_00158
OG0000416	Syas.g_02351	Prat.g_00159
OG0000417	Syas.g_02338	Prat.g_00160
OG0000418	Syas.g_02333	Prat.g_00165
OG0000419	Syas.g_02331	Prat.g_00167
OG0000420	Syas.g_02329	Prat.g_00169
OG0000421	Syas.g_02324	Prat.g_00174
OG0000422	Syas.g_02323	Prat.g_00175
OG0000423	Syas.g_02322	Prat.g_00176
OG0000424	Syas.g_02321	Prat.g_00177
OG0000425	Syas.g_02320	Prat.g_00178
OG0000426	Syas.g_02319	Prat.g_00179
OG0000427	Syas.g_02318	Prat.g_00180
OG0000428	Syas.g_02315	Prat.g_00182
OG0000429	Syas.g_02312	Prat.g_00183
OG0000430	Syas.g_02311	Prat.g_00184
OG0000431	Syas.g_02296	Prat.g_00186
OG0000432	Syas.g_02288	Prat.g_00190
OG0000433	Syas.g_02286	Prat.g_00191
OG0000434	Syas.g_02285	Prat.g_00192
OG0000435	Syas.g_02282	Prat.g_00193
OG0000436	Syas.g_02273	Prat.g_00198
OG0000437	Syas.g_02272	Prat.g_00199
OG0000438	Syas.g_02271	Prat.g_00200
OG0000439	Syas.g_02269	Prat.g_00202
OG0000440	Syas.g_02268	Prat.g_00203
OG0000441	Syas.g_02265	Prat.g_00206
OG0000442	Syas.g_02259	Prat.g_00207
OG0000443	Syas.g_02241	Prat.g_00208
OG0000444	Syas.g_02234	Prat.g_00213
OG0000445	Syas.g_02233	Prat.g_00214
OG0000446	Syas.g_02231	Prat.g_00215
OG0000447	Syas.g_02229	Prat.g_00216
OG0000448	Syas.g_02228	Prat.g_00217
OG0000449	Syas.g_02226	Prat.g_00218
OG0000450	Syas.g_01834	Prat.g_00219
OG0000451	Syas.g_01835	Prat.g_00220
OG0000452	Syas.g_01844	Prat.g_00223
OG0000453	Syas.g_01845	Prat.g_00224
OG0000454	Syas.g_01846	Prat.g_00225
OG0000455	Syas.g_01847	Prat.g_00226
OG0000456	Syas.g_01848	Prat.g_00227
OG0000457	Syas.g_01850	Prat.g_00229
OG0000458	Syas.g_01851	Prat.g_00230
OG0000459	Syas.g_01852	Prat.g_00231
OG0000460	Syas.g_02554	Prat.g_00240
OG0000461	Syas.g_01686	Prat.g_00249
OG0000462	Syas.g_01688	Prat.g_00250
OG0000463	Syas.g_01689	Prat.g_00251
OG0000464	Syas.g_01690	Prat.g_00252
OG0000465	Syas.g_01692	Prat.g_00253
OG0000466	Syas.g_01697	Prat.g_00256
OG0000467	Syas.g_01698	Prat.g_00257
OG0000468	Syas.g_01703	Prat.g_00260
OG0000469	Syas.g_01725	Prat.g_00269
OG0000470	Syas.g_01727	Prat.g_00271
OG0000471	Syas.g_01728	Prat.g_00272
OG0000472	Syas.g_01729	Prat.g_00273
OG0000473	Syas.g_01731	Prat.g_00275
OG0000474	Syas.g_01732	Prat.g_00276
OG0000475	Syas.g_01733	Prat.g_00277
OG0000476	Syas.g_01735	Prat.g_00279
OG0000477	Syas.g_01740	Prat.g_00282
OG0000478	Syas.g_01741	Prat.g_00283
OG0000479	Syas.g_01749	Prat.g_00284
OG0000480	Syas.g_01756	Prat.g_00290
OG0000481	Syas.g_00161, Syas.g_00162	Prat.g_00292
OG0000482	Syas.g_01758	Prat.g_00293
OG0000483	Syas.g_01762	Prat.g_00296
OG0000484	Syas.g_01763	Prat.g_00297
OG0000485	Syas.g_01764	Prat.g_00298
OG0000486	Syas.g_01765	Prat.g_00299
OG0000487	Syas.g_01771	Prat.g_00303
OG0000488	Syas.g_01779	Prat.g_00306
OG0000489	Syas.g_01823	Prat.g_00311
OG0000490	Syas.g_01808	Prat.g_00315
OG0000491	Syas.g_01806	Prat.g_00316
OG0000492	Syas.g_01803	Prat.g_00318
OG0000493	Syas.g_01802	Prat.g_00319
OG0000494	Syas.g_01801	Prat.g_00320
OG0000495	Syas.g_01799	Prat.g_00321
OG0000496	Syas.g_01798	Prat.g_00322
OG0000497	Syas.g_01797	Prat.g_00323
OG0000498	Syas.g_01796	Prat.g_00324
OG0000499	Syas.g_01795	Prat.g_00325
OG0000500	Syas.g_01794	Prat.g_00326
OG0000501	Syas.g_01791	Prat.g_00328
OG0000502	Syas.g_02216	Prat.g_00331
OG0000503	Syas.g_01541	Prat.g_00348
OG0000504	Syas.g_01539	Prat.g_00350
OG0000505	Syas.g_01538	Prat.g_00351
OG0000506	Syas.g_01536	Prat.g_00352
OG0000507	Syas.g_01530	Prat.g_00355
OG0000508	Syas.g_01523	Prat.g_00359
OG0000509	Syas.g_01521	Prat.g_00361
OG0000510	Syas.g_01520	Prat.g_00362
OG0000511	Syas.g_01519	Prat.g_00363
OG0000512	Syas.g_01517	Prat.g_00365
OG0000513	Syas.g_01508	Prat.g_00373
OG0000514	Syas.g_01504	Prat.g_00390
OG0000515	Syas.g_01503	Prat.g_00391
OG0000516	Syas.g_01501	Prat.g_00392
OG0000517	Syas.g_01498	Prat.g_00395
OG0000518	Syas.g_00360, Syas.g_02746	Prat.g_00407
OG0000519	Syas.g_02747	Prat.g_00408
OG0000520	Syas.g_02748	Prat.g_00410
OG0000521	Syas.g_01281	Prat.g_00415
OG0000522	Syas.g_01279	Prat.g_00417
OG0000523	Syas.g_01278	Prat.g_00418
OG0000524	Syas.g_01354	Prat.g_00424
OG0000525	Syas.g_01342	Prat.g_00428
OG0000526	Syas.g_01340	Prat.g_00429
OG0000527	Syas.g_01335	Prat.g_00432
OG0000528	Syas.g_01256	Prat.g_00438
OG0000529	Syas.g_01252	Prat.g_00441
OG0000530	Syas.g_01249	Prat.g_00444
OG0000531	Syas.g_01248	Prat.g_00445
OG0000532	Syas.g_01245	Prat.g_00447
OG0000533	Syas.g_01243	Prat.g_00448
OG0000534	Syas.g_01242	Prat.g_00449
OG0000535	Syas.g_01241	Prat.g_00450
OG0000536	Syas.g_01240	Prat.g_00451
OG0000537	Syas.g_01238	Prat.g_00453
OG0000538	Syas.g_01228	Prat.g_00463
OG0000539	Syas.g_01227	Prat.g_00464
OG0000540	Syas.g_01226	Prat.g_00465
OG0000541	Syas.g_01225	Prat.g_00466
OG0000542	Syas.g_01221	Prat.g_00468
OG0000543	Syas.g_01219	Prat.g_00470
OG0000544	Syas.g_01218	Prat.g_00471
OG0000545	Syas.g_01216	Prat.g_00473
OG0000546	Syas.g_01214	Prat.g_00476
OG0000547	Syas.g_01212	Prat.g_00478
OG0000548	Syas.g_01211	Prat.g_00479
OG0000549	Syas.g_00005	Prat.g_00482
OG0000550	Syas.g_00010	Prat.g_00486
OG0000551	Syas.g_00015	Prat.g_00489
OG0000552	Syas.g_00016	Prat.g_00490
OG0000553	Syas.g_00019	Prat.g_00491
OG0000554	Syas.g_00063	Prat.g_00496
OG0000555	Syas.g_00775	Prat.g_00503
OG0000556	Syas.g_00781	Prat.g_00505
OG0000557	Syas.g_00783	Prat.g_00506
OG0000558	Syas.g_00785	Prat.g_00508
OG0000559	Syas.g_00789	Prat.g_00512
OG0000560	Syas.g_00792	Prat.g_00516
OG0000561	Syas.g_00793	Prat.g_00517
OG0000562	Syas.g_00794	Prat.g_00518
OG0000563	Syas.g_00795	Prat.g_00519
OG0000564	Syas.g_00796	Prat.g_00520
OG0000565	Syas.g_00800	Prat.g_00523
OG0000566	Syas.g_00804	Prat.g_00527
OG0000567	Syas.g_00808	Prat.g_00531
OG0000568	Syas.g_00810	Prat.g_00532
OG0000569	Syas.g_00811	Prat.g_00533
OG0000570	Syas.g_00812	Prat.g_00534
OG0000571	Syas.g_00815	Prat.g_00537
OG0000572	Syas.g_00839	Prat.g_00549
OG0000573	Syas.g_00952	Prat.g_00554
OG0000574	Syas.g_00951	Prat.g_00555
OG0000575	Syas.g_00848	Prat.g_00559
OG0000576	Syas.g_00850	Prat.g_00561
OG0000577	Syas.g_00851	Prat.g_00562
OG0000578	Syas.g_00852	Prat.g_00563
OG0000579	Syas.g_00853	Prat.g_00564
OG0000580	Syas.g_00854	Prat.g_00565
OG0000581	Syas.g_00861	Prat.g_00568
OG0000582	Syas.g_00873	Prat.g_00571
OG0000583	Syas.g_00872	Prat.g_00572
OG0000584	Syas.g_00871	Prat.g_00573
OG0000585	Syas.g_00868	Prat.g_00575
OG0000586	Syas.g_00867	Prat.g_00576
OG0000587	Syas.g_00865	Prat.g_00577
OG0000588	Syas.g_00960	Prat.g_00582
OG0000589	Syas.g_00121	Prat.g_00584
OG0000590	Syas.g_00120	Prat.g_00585
