Orthogroup	Syas	Pras
OG0000120	Syas.g_01828	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330
OG0000121	Syas.g_02821	Pras.g_00352
OG0000122	Syas.g_00393	Pras.g_00391
OG0000123	Syas.g_01582	Pras.g_00694
OG0000124	Syas.g_02137	Pras.g_00759
OG0000125	Syas.g_01889	Pras.g_00797
OG0000126	Syas.g_01992	Pras.g_00837
OG0000128	Syas.g_02046	Pras.g_00853
OG0000129	Syas.g_01880	Pras.g_00897
OG0000130	Syas.g_02522	Pras.g_00921
OG0000131	Syas.g_02367	Pras.g_00996
OG0000132	Syas.g_02334	Pras.g_01015
OG0000133	Syas.g_00457	Pras.g_01174
OG0000134	Syas.g_01509	Pras.g_01210
OG0000135	Syas.g_01938	Pras.g_01236
OG0000136	Syas.g_02740	Pras.g_01319
OG0000137	Syas.g_01333	Pras.g_01353
OG0000138	Syas.g_01235	Pras.g_01373
OG0000139	Syas.g_00069	Pras.g_01414
OG0000140	Syas.g_00090	Pras.g_01415
OG0000141	Syas.g_00875	Pras.g_01483
OG0000142	Syas.g_00746	Pras.g_01511
OG0000143	Syas.g_00742	Pras.g_01515
OG0000144	Syas.g_00718	Pras.g_01528
OG0000145	Syas.g_00948	Pras.g_01664
OG0000146	Syas.g_00451	Pras.g_01666
OG0000147	Syas.g_00450	Pras.g_01667
OG0000148	Syas.g_00577	Pras.g_01717
OG0000149	Syas.g_00282	Pras.g_01747
OG0000150	Syas.g_00874	Pras.g_01755
OG0000151	Syas.g_00148, Syas.g_00659	Pras.g_01811
OG0000152	Syas.g_00461	Pras.g_01859
OG0000153	Syas.g_00543	Pras.g_01878
OG0000154	Syas.g_00219	Pras.g_01908
OG0000155	Syas.g_01131	Pras.g_00076
OG0000156	Syas.g_01206	Pras.g_00197
OG0000157	Syas.g_01207	Pras.g_00198
OG0000158	Syas.g_02185	Pras.g_00289
OG0000160	Syas.g_02820	Pras.g_00351
OG0000161	Syas.g_02826	Pras.g_00357
OG0000162	Syas.g_02751	Pras.g_00363
OG0000163	Syas.g_01488	Pras.g_00399
OG0000164	Syas.g_02648	Pras.g_00574
OG0000165	Syas.g_02609	Pras.g_00581
OG0000166	Syas.g_01629	Pras.g_00651
OG0000167	Syas.g_01449	Pras.g_00717
OG0000168	Syas.g_02184	Pras.g_00727
OG0000169	Syas.g_02170	Pras.g_00737
OG0000170	Syas.g_02161	Pras.g_00739
OG0000171	Syas.g_02139	Pras.g_00758
OG0000172	Syas.g_02110	Pras.g_00768
OG0000173	Syas.g_02092	Pras.g_00783
OG0000174	Syas.g_01940	Pras.g_00811, Pras.g_00810
OG0000175	Syas.g_01994	Pras.g_00821
OG0000176	Syas.g_02038	Pras.g_00846
OG0000177	Syas.g_02039	Pras.g_00847
OG0000178	Syas.g_02040	Pras.g_00848
OG0000179	Syas.g_02054	Pras.g_00858
OG0000180	Syas.g_02055	Pras.g_00859
OG0000181	Syas.g_02056	Pras.g_00860
OG0000182	Syas.g_02057	Pras.g_00861
OG0000183	Syas.g_02061	Pras.g_00865
OG0000184	Syas.g_01872	Pras.g_00899
OG0000185	Syas.g_01861	Pras.g_00902
OG0000186	Syas.g_02525	Pras.g_00916
OG0000187	Syas.g_02524	Pras.g_00917
OG0000188	Syas.g_02502	Pras.g_00933
OG0000189	Syas.g_02432	Pras.g_00947
OG0000190	Syas.g_00133	Pras.g_00948
OG0000191	Syas.g_02400	Pras.g_00968
OG0000192	Syas.g_02395	Pras.g_00972
OG0000193	Syas.g_02366	Pras.g_00997
OG0000194	Syas.g_02363	Pras.g_01000
OG0000195	Syas.g_02360	Pras.g_01002
OG0000196	Syas.g_02337	Pras.g_01012
OG0000197	Syas.g_02336	Pras.g_01013
OG0000198	Syas.g_02335	Pras.g_01014
OG0000199	Syas.g_02327	Pras.g_01021
OG0000200	Syas.g_02298	Pras.g_01035
OG0000201	Syas.g_02279	Pras.g_01043
OG0000202	Syas.g_02278	Pras.g_01044
OG0000203	Syas.g_02277	Pras.g_01045
OG0000204	Syas.g_02276	Pras.g_01046
OG0000205	Syas.g_02267	Pras.g_01053
OG0000206	Syas.g_02240	Pras.g_01058, Pras.g_01059
OG0000207	Syas.g_02237	Pras.g_01061
OG0000208	Syas.g_02236	Pras.g_01062
OG0000209	Syas.g_01837	Pras.g_01071
OG0000210	Syas.g_01838	Pras.g_01072
OG0000211	Syas.g_02552	Pras.g_01085
OG0000212	Syas.g_02562	Pras.g_01092
OG0000213	Syas.g_01707	Pras.g_01109
OG0000214	Syas.g_01730	Pras.g_01119
OG0000215	Syas.g_01766	Pras.g_01144
OG0000216	Syas.g_01770	Pras.g_01145
OG0000217	Syas.g_01778	Pras.g_01148
OG0000218	Syas.g_01780	Pras.g_01150
OG0000219	Syas.g_01783	Pras.g_01151
OG0000220	Syas.g_01784	Pras.g_01152
OG0000221	Syas.g_01785	Pras.g_01153
OG0000222	Syas.g_01804	Pras.g_01162
OG0000223	Syas.g_02221	Pras.g_01175
OG0000224	Syas.g_02215	Pras.g_01177
OG0000225	Syas.g_01522	Pras.g_01199
OG0000226	Syas.g_01518	Pras.g_01203
OG0000227	Syas.g_01516	Pras.g_01205
OG0000228	Syas.g_01513	Pras.g_01208
OG0000229	Syas.g_01497	Pras.g_01314
OG0000230	Syas.g_01495	Pras.g_01316
OG0000231	Syas.g_02749	Pras.g_01327
OG0000232	Syas.g_01276	Pras.g_01335
OG0000233	Syas.g_01352	Pras.g_01341
OG0000234	Syas.g_01331	Pras.g_01354
OG0000235	Syas.g_01254	Pras.g_01357
OG0000236	Syas.g_01237	Pras.g_01371
OG0000237	Syas.g_01220	Pras.g_01384
OG0000238	Syas.g_01215	Pras.g_01390
OG0000239	Syas.g_00012	Pras.g_01402
OG0000240	Syas.g_00013	Pras.g_01403
OG0000241	Syas.g_00754	Pras.g_01407
OG0000242	Syas.g_00059	Pras.g_01409
OG0000243	Syas.g_00777	Pras.g_01420
OG0000244	Syas.g_00784	Pras.g_01423
OG0000245	Syas.g_00786	Pras.g_01425
OG0000246	Syas.g_00790	Pras.g_01429
OG0000247	Syas.g_00802	Pras.g_01439
OG0000248	Syas.g_00805	Pras.g_01441
OG0000249	Syas.g_00807	Pras.g_01443
OG0000250	Syas.g_00814	Pras.g_01448
OG0000251	Syas.g_00845	Pras.g_01467
OG0000252	Syas.g_00950	Pras.g_01470
OG0000253	Syas.g_00846	Pras.g_01471
OG0000254	Syas.g_00869	Pras.g_01487
OG0000255	Syas.g_00132, Syas.g_01062	Pras.g_01493
OG0000256	Syas.g_00104	Pras.g_01503
OG0000257	Syas.g_00757	Pras.g_01506
OG0000258	Syas.g_00733	Pras.g_01519
OG0000259	Syas.g_01006, Syas.g_00708	Pras.g_01536
OG0000260	Syas.g_00705	Pras.g_01539
OG0000261	Syas.g_00701	Pras.g_01541
OG0000262	Syas.g_00695	Pras.g_00327, Pras.g_01545
OG0000263	Syas.g_01103	Pras.g_01557
OG0000264	Syas.g_02588	Pras.g_01567
OG0000266	Syas.g_00186	Pras.g_01616
OG0000267	Syas.g_00377	Pras.g_01627
OG0000268	Syas.g_00390	Pras.g_01628
OG0000269	Syas.g_00601	Pras.g_01696
OG0000270	Syas.g_00598	Pras.g_01699
OG0000271	Syas.g_00590	Pras.g_01707
OG0000272	Syas.g_00589	Pras.g_01708
OG0000273	Syas.g_00563	Pras.g_01731
OG0000274	Syas.g_00562	Pras.g_01732
OG0000275	Syas.g_00230	Pras.g_01734
OG0000276	Syas.g_00237	Pras.g_01739
OG0000277	Syas.g_00238	Pras.g_01740
OG0000278	Syas.g_00241	Pras.g_01743
OG0000279	Syas.g_00288	Pras.g_01750
OG0000280	Syas.g_00889, Syas.g_00481	Pras.g_01751
OG0000281	Syas.g_00970	Pras.g_01756
OG0000282	Syas.g_00672	Pras.g_01803
OG0000283	Syas.g_00409	Pras.g_01836
OG0000284	Syas.g_00416	Pras.g_01841
OG0000285	Syas.g_00436	Pras.g_01846
OG0000286	Syas.g_00460	Pras.g_01858
OG0000287	Syas.g_00534	Pras.g_01875
OG0000288	Syas.g_00220	Pras.g_01907
OG0000289	Syas.g_00205	Pras.g_01918
OG0000290	Syas.g_01016	Pras.g_01931
OG0000291	Syas.g_01018	Pras.g_01933
OG0000292	Syas.g_02020	Pras.g_01982
OG0000293	Syas.g_01197	Pras.g_00047
OG0000294	Syas.g_01196	Pras.g_00048
OG0000295	Syas.g_01139	Pras.g_00068
OG0000296	Syas.g_01137	Pras.g_00070
OG0000297	Syas.g_01124	Pras.g_00078
OG0000298	Syas.g_01123	Pras.g_00079
OG0000299	Syas.g_01087	Pras.g_00096, Pras.g_00097
OG0000300	Syas.g_01082	Pras.g_00100
OG0000301	Syas.g_01081	Pras.g_00101
OG0000302	Syas.g_01080	Pras.g_00103
OG0000303	Syas.g_01071	Pras.g_00110
OG0000304	Syas.g_01066	Pras.g_00114
OG0000305	Syas.g_01023	Pras.g_00242
OG0000306	Syas.g_01929	Pras.g_00245
OG0000307	Syas.g_01270	Pras.g_00259
OG0000308	Syas.g_01272	Pras.g_00260
OG0000309	Syas.g_01364	Pras.g_00264
OG0000310	Syas.g_02796	Pras.g_00335
OG0000311	Syas.g_02799	Pras.g_00337
OG0000312	Syas.g_02804	Pras.g_00340
OG0000313	Syas.g_02823	Pras.g_00354
OG0000314	Syas.g_01296	Pras.g_00377
OG0000315	Syas.g_01306	Pras.g_00388
OG0000316	Syas.g_02728	Pras.g_00410
OG0000317	Syas.g_02687	Pras.g_00548
OG0000318	Syas.g_02680	Pras.g_00551
OG0000319	Syas.g_02663	Pras.g_00564
OG0000320	Syas.g_02661	Pras.g_00566
OG0000321	Syas.g_02660	Pras.g_00567
OG0000322	Syas.g_02659	Pras.g_00568
OG0000323	Syas.g_02646, Syas.g_00159	Pras.g_00577
OG0000324	Syas.g_02578	Pras.g_00604
OG0000325	Syas.g_01668	Pras.g_00614
OG0000326	Syas.g_01661	Pras.g_00620
OG0000327	Syas.g_01634	Pras.g_00646
OG0000328	Syas.g_01633	Pras.g_00647
OG0000329	Syas.g_01615	Pras.g_00664
OG0000330	Syas.g_01614	Pras.g_00665
OG0000331	Syas.g_01613	Pras.g_00666
OG0000332	Syas.g_01598	Pras.g_00680
OG0000333	Syas.g_01595	Pras.g_00682
OG0000334	Syas.g_01586	Pras.g_00690
OG0000335	Syas.g_01581	Pras.g_00695
OG0000336	Syas.g_01577	Pras.g_00699
OG0000337	Syas.g_02211	Pras.g_00715
OG0000338	Syas.g_02199	Pras.g_00716
OG0000339	Syas.g_02192	Pras.g_00720
OG0000340	Syas.g_02183	Pras.g_00728
OG0000341	Syas.g_02181	Pras.g_00730
OG0000342	Syas.g_02180	Pras.g_00731
OG0000343	Syas.g_02176	Pras.g_00732
OG0000344	Syas.g_02172	Pras.g_00735
OG0000345	Syas.g_02160	Pras.g_00740
OG0000346	Syas.g_02155	Pras.g_00744
OG0000347	Syas.g_02136	Pras.g_00761
OG0000348	Syas.g_02107	Pras.g_00771
OG0000349	Syas.g_02085	Pras.g_00788
OG0000350	Syas.g_01654	Pras.g_00806, Pras.g_00131
OG0000351	Syas.g_01998	Pras.g_00824
OG0000352	Syas.g_01999	Pras.g_00825
OG0000353	Syas.g_02033	Pras.g_00841
OG0000355	Syas.g_02035	Pras.g_00843
OG0000356	Syas.g_02036	Pras.g_00844
OG0000357	Syas.g_02037	Pras.g_00845
OG0000358	Syas.g_02041	Pras.g_00849
OG0000359	Syas.g_02043	Pras.g_00850
OG0000360	Syas.g_02044	Pras.g_00851
OG0000361	Syas.g_02045	Pras.g_00852
OG0000362	Syas.g_02047	Pras.g_00854
OG0000363	Syas.g_02049	Pras.g_00856
OG0000364	Syas.g_02685	Pras.g_00857
OG0000365	Syas.g_02058	Pras.g_00862
OG0000366	Syas.g_02059	Pras.g_00863
OG0000368	Syas.g_02062	Pras.g_00866
OG0000369	Syas.g_02063	Pras.g_00867
OG0000370	Syas.g_02064	Pras.g_00868
OG0000371	Syas.g_02073	Pras.g_00874
OG0000372	Syas.g_02078	Pras.g_00877
OG0000373	Syas.g_02079	Pras.g_00878
OG0000374	Syas.g_02080	Pras.g_00879
OG0000375	Syas.g_02081	Pras.g_00893
OG0000376	Syas.g_02083	Pras.g_00895
OG0000377	Syas.g_01879	Pras.g_00898
OG0000378	Syas.g_01867	Pras.g_00900
OG0000379	Syas.g_01859	Pras.g_00903
OG0000380	Syas.g_02523	Pras.g_00918
OG0000381	Syas.g_02521	Pras.g_00922
OG0000382	Syas.g_02503	Pras.g_00932
OG0000383	Syas.g_02480	Pras.g_00934
OG0000384	Syas.g_02479	Pras.g_00935
OG0000385	Syas.g_02478	Pras.g_00936
OG0000386	Syas.g_02477	Pras.g_00937
OG0000387	Syas.g_00134	Pras.g_00950
OG0000388	Syas.g_02426	Pras.g_00953
OG0000389	Syas.g_02422	Pras.g_00957
OG0000390	Syas.g_02406	Pras.g_00964
OG0000391	Syas.g_02401	Pras.g_00967
OG0000392	Syas.g_02396	Pras.g_00971
OG0000393	Syas.g_02394	Pras.g_00973
OG0000394	Syas.g_02393	Pras.g_00974
OG0000395	Syas.g_02392	Pras.g_00975
OG0000396	Syas.g_02389	Pras.g_00978
OG0000397	Syas.g_02387	Pras.g_00980
OG0000398	Syas.g_02382	Pras.g_00982
OG0000399	Syas.g_02381	Pras.g_00983
OG0000400	Syas.g_02380	Pras.g_00984
OG0000401	Syas.g_02379	Pras.g_00985
OG0000402	Syas.g_02377	Pras.g_00987
OG0000403	Syas.g_02376	Pras.g_00988
OG0000404	Syas.g_02375	Pras.g_00989
OG0000405	Syas.g_02369	Pras.g_00993
OG0000406	Syas.g_02365	Pras.g_00998
OG0000407	Syas.g_02364	Pras.g_00999
OG0000408	Syas.g_02361	Pras.g_01001
OG0000409	Syas.g_02359	Pras.g_01003
OG0000410	Syas.g_02358	Pras.g_01004
OG0000411	Syas.g_02357	Pras.g_01005
OG0000412	Syas.g_02356	Pras.g_01006
OG0000413	Syas.g_02354	Pras.g_01007
OG0000414	Syas.g_02353	Pras.g_01008
OG0000415	Syas.g_02352	Pras.g_01009
OG0000416	Syas.g_02351	Pras.g_01010
OG0000417	Syas.g_02338	Pras.g_01011
OG0000418	Syas.g_02333	Pras.g_01016
OG0000419	Syas.g_02331	Pras.g_01018
OG0000420	Syas.g_02329	Pras.g_01019
OG0000421	Syas.g_02324	Pras.g_01024
OG0000422	Syas.g_02323	Pras.g_01025
OG0000423	Syas.g_02322	Pras.g_01026
OG0000424	Syas.g_02321	Pras.g_01027
OG0000425	Syas.g_02320	Pras.g_01028
OG0000426	Syas.g_02319	Pras.g_01029
OG0000427	Syas.g_02318	Pras.g_01030
OG0000428	Syas.g_02315	Pras.g_01032
OG0000429	Syas.g_02312	Pras.g_01033
OG0000430	Syas.g_02311	Pras.g_01034
OG0000431	Syas.g_02296	Pras.g_01036
OG0000432	Syas.g_02288	Pras.g_01039
OG0000433	Syas.g_02286	Pras.g_01040
OG0000434	Syas.g_02285	Pras.g_01041
OG0000435	Syas.g_02282	Pras.g_01042
OG0000436	Syas.g_02273	Pras.g_01047
OG0000437	Syas.g_02272	Pras.g_01048
OG0000438	Syas.g_02271	Pras.g_01049
OG0000439	Syas.g_02269	Pras.g_01051
OG0000440	Syas.g_02268	Pras.g_01052
OG0000441	Syas.g_02265	Pras.g_01055
OG0000442	Syas.g_02259	Pras.g_01056
OG0000443	Syas.g_02241	Pras.g_01057
OG0000444	Syas.g_02234	Pras.g_01063
OG0000445	Syas.g_02233	Pras.g_01064
OG0000446	Syas.g_02231	Pras.g_01065
OG0000447	Syas.g_02229	Pras.g_01066
OG0000448	Syas.g_02228	Pras.g_01067
OG0000449	Syas.g_02226	Pras.g_01068
OG0000450	Syas.g_01834	Pras.g_01069
OG0000451	Syas.g_01835	Pras.g_01070
OG0000452	Syas.g_01844	Pras.g_01073
OG0000453	Syas.g_01845	Pras.g_01074
OG0000454	Syas.g_01846	Pras.g_01075
OG0000455	Syas.g_01847	Pras.g_01076
OG0000456	Syas.g_01848	Pras.g_01077
OG0000457	Syas.g_01850	Pras.g_01078
OG0000458	Syas.g_01851	Pras.g_01079
OG0000459	Syas.g_01852	Pras.g_01080
OG0000460	Syas.g_02554	Pras.g_01087
OG0000461	Syas.g_01686	Pras.g_01094
OG0000462	Syas.g_01688	Pras.g_01096
OG0000463	Syas.g_01689	Pras.g_01097
OG0000464	Syas.g_01690	Pras.g_01098
OG0000465	Syas.g_01692	Pras.g_01099
OG0000466	Syas.g_01697	Pras.g_01102
OG0000467	Syas.g_01698	Pras.g_01103
OG0000468	Syas.g_01703	Pras.g_01105
OG0000469	Syas.g_01725	Pras.g_01114
OG0000470	Syas.g_01727	Pras.g_01116
OG0000471	Syas.g_01728	Pras.g_01117
OG0000472	Syas.g_01729	Pras.g_01118
OG0000473	Syas.g_01731	Pras.g_01120
OG0000474	Syas.g_01732	Pras.g_01121
OG0000475	Syas.g_01733	Pras.g_01122
OG0000476	Syas.g_01735	Pras.g_01123
OG0000477	Syas.g_01740	Pras.g_01127
OG0000478	Syas.g_01741	Pras.g_01128
OG0000479	Syas.g_01749	Pras.g_01129
OG0000480	Syas.g_01756	Pras.g_01134
OG0000481	Syas.g_00161, Syas.g_00162	Pras.g_01136
OG0000482	Syas.g_01758	Pras.g_01137
OG0000483	Syas.g_01762	Pras.g_01140
OG0000484	Syas.g_01763	Pras.g_01141
OG0000485	Syas.g_01764	Pras.g_01142
OG0000486	Syas.g_01765	Pras.g_01143
OG0000487	Syas.g_01771	Pras.g_01146
OG0000488	Syas.g_01779	Pras.g_01149
OG0000489	Syas.g_01823	Pras.g_01155
OG0000490	Syas.g_01808	Pras.g_01160
OG0000491	Syas.g_01806	Pras.g_01161
OG0000492	Syas.g_01803	Pras.g_01163
OG0000493	Syas.g_01802	Pras.g_01164
OG0000494	Syas.g_01801	Pras.g_01165
OG0000495	Syas.g_01799	Pras.g_01166
OG0000496	Syas.g_01798	Pras.g_01167
OG0000497	Syas.g_01797	Pras.g_01168
OG0000498	Syas.g_01796	Pras.g_01169
OG0000499	Syas.g_01795	Pras.g_01170
OG0000500	Syas.g_01794	Pras.g_01171
OG0000501	Syas.g_01791	Pras.g_01173
OG0000502	Syas.g_02216	Pras.g_01176
OG0000503	Syas.g_01541	Pras.g_01187
OG0000504	Syas.g_01539	Pras.g_01188
OG0000505	Syas.g_01538	Pras.g_01189
OG0000506	Syas.g_01536	Pras.g_01191
OG0000507	Syas.g_01530	Pras.g_01194
OG0000508	Syas.g_01523	Pras.g_01198
OG0000509	Syas.g_01521	Pras.g_01200
OG0000510	Syas.g_01520	Pras.g_01201
OG0000511	Syas.g_01519	Pras.g_01202
OG0000512	Syas.g_01517	Pras.g_01204
OG0000513	Syas.g_01508	Pras.g_01211
OG0000514	Syas.g_01504	Pras.g_01309
OG0000515	Syas.g_01503	Pras.g_01310
OG0000516	Syas.g_01501	Pras.g_01311
OG0000517	Syas.g_01498	Pras.g_01313
OG0000518	Syas.g_00360, Syas.g_02746	Pras.g_01324
OG0000519	Syas.g_02747	Pras.g_01325
OG0000520	Syas.g_02748	Pras.g_01326
OG0000521	Syas.g_01281	Pras.g_01331
OG0000522	Syas.g_01279	Pras.g_01332
OG0000523	Syas.g_01278	Pras.g_01333
OG0000524	Syas.g_01354	Pras.g_01339
OG0000525	Syas.g_01342	Pras.g_01342
OG0000526	Syas.g_01340	Pras.g_01343
OG0000527	Syas.g_01335	Pras.g_01351
OG0000528	Syas.g_01256	Pras.g_01356
OG0000529	Syas.g_01252	Pras.g_01359
OG0000530	Syas.g_01249	Pras.g_01362
OG0000531	Syas.g_01248	Pras.g_01363
OG0000532	Syas.g_01245	Pras.g_01365
OG0000533	Syas.g_01243	Pras.g_01366
OG0000534	Syas.g_01242	Pras.g_01367
OG0000535	Syas.g_01241	Pras.g_01368
OG0000536	Syas.g_01240	Pras.g_01369
OG0000537	Syas.g_01238	Pras.g_01370
OG0000538	Syas.g_01228	Pras.g_01378
OG0000539	Syas.g_01227	Pras.g_01379
OG0000540	Syas.g_01226	Pras.g_01380
OG0000541	Syas.g_01225	Pras.g_01381
OG0000542	Syas.g_01221	Pras.g_01383
OG0000543	Syas.g_01219	Pras.g_01385
OG0000544	Syas.g_01218	Pras.g_01386
OG0000545	Syas.g_01216	Pras.g_01388
OG0000546	Syas.g_01214	Pras.g_01391
OG0000547	Syas.g_01212	Pras.g_01393
OG0000548	Syas.g_01211	Pras.g_01394
OG0000549	Syas.g_00005	Pras.g_01396
OG0000550	Syas.g_00010	Pras.g_01401
OG0000551	Syas.g_00015	Pras.g_01404
OG0000552	Syas.g_00016	Pras.g_01405
OG0000553	Syas.g_00019	Pras.g_01406
OG0000554	Syas.g_00063	Pras.g_01411
OG0000555	Syas.g_00775	Pras.g_01419
OG0000556	Syas.g_00781	Pras.g_01421
OG0000557	Syas.g_00783	Pras.g_01422
OG0000558	Syas.g_00785	Pras.g_01424
OG0000559	Syas.g_00789	Pras.g_01428
OG0000560	Syas.g_00792	Pras.g_01431
OG0000561	Syas.g_00793	Pras.g_01432
OG0000562	Syas.g_00794	Pras.g_01433
OG0000563	Syas.g_00795	Pras.g_01434
OG0000564	Syas.g_00796	Pras.g_01435
OG0000565	Syas.g_00800	Pras.g_01438
OG0000566	Syas.g_00804	Pras.g_01440
OG0000567	Syas.g_00808	Pras.g_01444
OG0000568	Syas.g_00810	Pras.g_01445
OG0000569	Syas.g_00811	Pras.g_01446
OG0000570	Syas.g_00812	Pras.g_01447
OG0000571	Syas.g_00815	Pras.g_01449
OG0000572	Syas.g_00839	Pras.g_01463
OG0000573	Syas.g_00952	Pras.g_01468
OG0000574	Syas.g_00951	Pras.g_01469
OG0000575	Syas.g_00848	Pras.g_01473
OG0000576	Syas.g_00850	Pras.g_01475
OG0000577	Syas.g_00851	Pras.g_01476
OG0000578	Syas.g_00852	Pras.g_01477
OG0000579	Syas.g_00853	Pras.g_01478
OG0000580	Syas.g_00854	Pras.g_01479
OG0000581	Syas.g_00861	Pras.g_01481
OG0000582	Syas.g_00873	Pras.g_01484
OG0000583	Syas.g_00872	Pras.g_01485
OG0000584	Syas.g_00871	Pras.g_01486
OG0000585	Syas.g_00868	Pras.g_01488
OG0000586	Syas.g_00867	Pras.g_01489
OG0000587	Syas.g_00865	Pras.g_01490
OG0000588	Syas.g_00960	Pras.g_01494
