Orthogroup	Syae	Syao
OG0000054	Syae.g_00221	Syao.g_00295, Syao.g_00625
OG0000058	Syae.g_01905	Syao.g_01080
OG0000058	Syae.g_01227	Syao.g_01978
OG0000059	Syae.g_02074	Syao.g_01959
OG0000060	Syae.g_00649	Syao.g_00312
OG0000061	Syae.g_00921	Syao.g_00123
OG0000062	Syae.g_01145	Syao.g_01576
OG0000063	Syae.g_01752	Syao.g_02230
OG0000064	Syae.g_01631	Syao.g_01462, Syao.g_02605
OG0000064	Syae.g_01137	Syao.g_01898
OG0000065	Syae.g_00722, Syae.g_01363	Syao.g_02600
OG0000066	Syae.g_02386	Syao.g_01422
OG0000067	Syae.g_00521	Syao.g_00756
OG0000068	Syae.g_02299	Syao.g_00868, Syao.g_00036
OG0000069	Syae.g_00458	Syao.g_00313
OG0000070	Syae.g_00979	Syao.g_00330
OG0000071	Syae.g_00961	Syao.g_01433
OG0000072	Syae.g_01455	Syao.g_02509
OG0000073	Syae.g_02330	Syao.g_00103
OG0000075	Syae.g_01871	Syao.g_02257
OG0000076	Syae.g_01829	Syao.g_01949, Syao.g_01251
OG0000079	Syae.g_02011	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Syae.g_02447	Syao.g_01035
OG0000084	Syae.g_00857	Syao.g_01509
OG0000084	Syae.g_02656	Syao.g_02606
OG0000085	Syae.g_01152	Syao.g_01569
OG0000086	Syae.g_01333	Syao.g_02653, Syao.g_01240
OG0000087	Syae.g_01414	Syao.g_02555
OG0000088	Syae.g_01449	Syao.g_02503
OG0000089	Syae.g_02219	Syao.g_01716
OG0000090	Syae.g_02374	Syao.g_01412
OG0000091	Syae.g_00082	Syao.g_00902
OG0000092	Syae.g_00884	Syao.g_00656
OG0000093	Syae.g_00537	Syao.g_00739
OG0000094	Syae.g_00430	Syao.g_00458
OG0000095	Syae.g_00793, Syae.g_00259	Syao.g_00331
OG0000098	Syae.g_02058	Syao.g_01374
OG0000099	Syae.g_01913	Syao.g_02019
OG0000100	Syae.g_00489	Syao.g_00787
OG0000102	Syae.g_01824	Syao.g_01945
OG0000104	Syae.g_01708	Syao.g_02157
OG0000105	Syae.g_01977	Syao.g_02071, Syao.g_02072
OG0000106	Syae.g_00272	Syao.g_01385
OG0000107	Syae.g_02032	Syao.g_01935
OG0000108	Syae.g_02309	Syao.g_00028
OG0000110	Syae.g_02435	Syao.g_01051
OG0000111	Syae.g_00783	Syao.g_00378
OG0000112	Syae.g_00351	Syao.g_00683, Syao.g_00303
OG0000113	Syae.g_00494	Syao.g_00782
OG0000114	Syae.g_00575	Syao.g_00965
OG0000115	Syae.g_02631	Syao.g_00065, Syao.g_01464
OG0000116	Syae.g_00939	Syao.g_00137
OG0000117	Syae.g_00647	Syao.g_00169
OG0000118	Syae.g_02479	Syao.g_01475
OG0000120	Syae.g_01912	Syao.g_02009
OG0000121	Syae.g_02649	Syao.g_01489
OG0000122	Syae.g_00112	Syao.g_01247
OG0000123	Syae.g_02131	Syao.g_01832
OG0000124	Syae.g_01809	Syao.g_02179
OG0000125	Syae.g_01573	Syao.g_02444
OG0000126	Syae.g_01706	Syao.g_02198
OG0000128	Syae.g_01724	Syao.g_02149
OG0000129	Syae.g_01562	Syao.g_02434
OG0000130	Syae.g_01284	Syao.g_02617
OG0000131	Syae.g_01428	Syao.g_02480
OG0000132	Syae.g_01447	Syao.g_02501
OG0000133	Syae.g_00356	Syao.g_00678
OG0000134	Syae.g_02222	Syao.g_01719
OG0000135	Syae.g_01608	Syao.g_00147
OG0000136	Syae.g_00989	Syao.g_01614, Syao.g_01613
OG0000137	Syae.g_02530	Syao.g_02682
OG0000138	Syae.g_02325	Syao.g_00108
OG0000139	Syae.g_02380	Syao.g_01418, Syao.g_02005
OG0000140	Syae.g_02383	Syao.g_01373, Syao.g_01372
OG0000141	Syae.g_00016	Syao.g_01202
OG0000142	Syae.g_00074	Syao.g_00894
OG0000143	Syae.g_00078	Syao.g_00898
OG0000145	Syae.g_02331	Syao.g_00102
OG0000146	Syae.g_00350	Syao.g_00684, Syao.g_00304
OG0000147	Syae.g_00349	Syao.g_00305, Syao.g_00685
OG0000148	Syae.g_00500	Syao.g_00776
OG0000149	Syae.g_00847	Syao.g_00534
OG0000150	Syae.g_00017	Syao.g_01203
OG0000151	Syae.g_00563	Syao.g_00975
OG0000152	Syae.g_00360	Syao.g_00674
OG0000153	Syae.g_00394	Syao.g_00818, Syao.g_01176
OG0000154	Syae.g_00420	Syao.g_00447
OG0000155	Syae.g_00885	Syao.g_00178
OG0000156	Syae.g_00945	Syao.g_00151
OG0000157	Syae.g_00946	Syao.g_00152
OG0000158	Syae.g_01858	Syao.g_02267
OG0000160	Syae.g_02650	Syao.g_01488
OG0000161	Syae.g_02644	Syao.g_01494
OG0000162	Syae.g_02638	Syao.g_01515
OG0000163	Syae.g_01092	Syao.g_01745
OG0000165	Syae.g_01021	Syao.g_01655
OG0000166	Syae.g_02085	Syao.g_01790
OG0000167	Syae.g_01874	Syao.g_01960
OG0000168	Syae.g_01856	Syao.g_02128
OG0000169	Syae.g_01841	Syao.g_02139
OG0000170	Syae.g_01834	Syao.g_02148
OG0000171	Syae.g_01810	Syao.g_02181
OG0000172	Syae.g_01788	Syao.g_02170
OG0000173	Syae.g_01770	Syao.g_02212
OG0000174	Syae.g_01610	Syao.g_02364, Syao.g_02355
OG0000175	Syae.g_01679	Syao.g_02327, Syao.g_00308
OG0000176	Syae.g_01716	Syao.g_02165
OG0000177	Syae.g_01717	Syao.g_02156
OG0000178	Syae.g_01718	Syao.g_02155
OG0000179	Syae.g_01733	Syao.g_02250
OG0000180	Syae.g_01734	Syao.g_02249
OG0000181	Syae.g_01735	Syao.g_02248
OG0000182	Syae.g_01736	Syao.g_02247
OG0000183	Syae.g_01740	Syao.g_02243
OG0000184	Syae.g_01554	Syao.g_02423
OG0000185	Syae.g_01551	Syao.g_02410
OG0000186	Syae.g_01279	Syao.g_02613
OG0000187	Syae.g_01280	Syao.g_02615
OG0000188	Syae.g_01323	Syao.g_02637
OG0000189	Syae.g_01350	Syao.g_02672
OG0000190	Syae.g_01352	Syao.g_01015
OG0000191	Syae.g_01384	Syao.g_02573
OG0000192	Syae.g_01390	Syao.g_02579
OG0000193	Syae.g_01429	Syao.g_02481
OG0000194	Syae.g_01432	Syao.g_02484
OG0000196	Syae.g_01444	Syao.g_02498
OG0000197	Syae.g_01445	Syao.g_02499
OG0000198	Syae.g_01446	Syao.g_02500
OG0000199	Syae.g_01454	Syao.g_02508
OG0000200	Syae.g_01471	Syao.g_02524
OG0000201	Syae.g_01487	Syao.g_02540
OG0000202	Syae.g_01488	Syao.g_02454
OG0000203	Syae.g_01489	Syao.g_02455
OG0000204	Syae.g_01490	Syao.g_02456
OG0000205	Syae.g_01497	Syao.g_02464
OG0000206	Syae.g_01504	Syao.g_02469
OG0000207	Syae.g_01506	Syao.g_02471
OG0000208	Syae.g_01507	Syao.g_02472
OG0000209	Syae.g_01528	Syao.g_02394
OG0000210	Syae.g_01529	Syao.g_02395
OG0000211	Syae.g_02234	Syao.g_01700
OG0000212	Syae.g_02244	Syao.g_01710
OG0000213	Syae.g_02003	Syao.g_02098
OG0000214	Syae.g_01986	Syao.g_02081
OG0000215	Syae.g_01955	Syao.g_02050
OG0000216	Syae.g_01951	Syao.g_02045
OG0000217	Syae.g_01947	Syao.g_02041
OG0000218	Syae.g_01945	Syao.g_02039
OG0000219	Syae.g_01944	Syao.g_02038
OG0000220	Syae.g_01943	Syao.g_02037
OG0000221	Syae.g_01937	Syao.g_02034
OG0000222	Syae.g_01926	Syao.g_02023
OG0000223	Syae.g_01904	Syao.g_00291
OG0000224	Syae.g_01897	Syao.g_01973
OG0000225	Syae.g_02208	Syao.g_01751
OG0000226	Syae.g_02212	Syao.g_01758
OG0000227	Syae.g_02214	Syao.g_01760
OG0000228	Syae.g_02218	Syao.g_01715
OG0000229	Syae.g_00994	Syao.g_01736
OG0000230	Syae.g_00992	Syao.g_01738
OG0000232	Syae.g_02496	Syao.g_00057
OG0000233	Syae.g_02504	Syao.g_02698
OG0000234	Syae.g_02532	Syao.g_02680
OG0000235	Syae.g_02308	Syao.g_00029
OG0000236	Syae.g_02323	Syao.g_00111
OG0000237	Syae.g_02340	Syao.g_00166
OG0000238	Syae.g_02345	Syao.g_00161
OG0000239	Syae.g_02360	Syao.g_01398
OG0000240	Syae.g_02361	Syao.g_01399
OG0000241	Syae.g_00065	Syao.g_00887
OG0000242	Syae.g_02372	Syao.g_01410
OG0000243	Syae.g_02391	Syao.g_00873
OG0000244	Syae.g_02399	Syao.g_00865
OG0000245	Syae.g_02401	Syao.g_00863
OG0000246	Syae.g_02405	Syao.g_00859
OG0000247	Syae.g_02416	Syao.g_00847
OG0000249	Syae.g_02421	Syao.g_00842
OG0000250	Syae.g_02431	Syao.g_00835
OG0000251	Syae.g_02455	Syao.g_01026
OG0000252	Syae.g_02458	Syao.g_01020
OG0000253	Syae.g_02459	Syao.g_01003
OG0000254	Syae.g_00021	Syao.g_01053
OG0000255	Syae.g_00041	Syao.g_01009
OG0000256	Syae.g_00058	Syao.g_01328
OG0000257	Syae.g_00064	Syao.g_00884
OG0000258	Syae.g_00083	Syao.g_00907
OG0000259	Syae.g_00608	Syao.g_00933, Syao.g_00932
OG0000260	Syae.g_00603	Syao.g_00936
OG0000261	Syae.g_00600	Syao.g_00941
OG0000262	Syae.g_00595	Syao.g_00946
OG0000263	Syae.g_00671	Syao.g_00247
OG0000264	Syae.g_00761	Syao.g_00699
OG0000265	Syae.g_00932, Syae.g_00226	Syao.g_00049
OG0000266	Syae.g_00457	Syao.g_00480
OG0000267	Syae.g_00304	Syao.g_00589
OG0000268	Syae.g_00308	Syao.g_00588
OG0000269	Syae.g_00526	Syao.g_00751
OG0000270	Syae.g_00523	Syao.g_00754
OG0000271	Syae.g_00515	Syao.g_00762
OG0000272	Syae.g_00514	Syao.g_00763
OG0000273	Syae.g_00825	Syao.g_00791
OG0000274	Syae.g_00826	Syao.g_00792
OG0000275	Syae.g_00832	Syao.g_00438
OG0000276	Syae.g_00839	Syao.g_00558
OG0000278	Syae.g_00843	Syao.g_00554
OG0000279	Syae.g_00851	Syao.g_00529
OG0000280	Syae.g_00877	Syao.g_00608
OG0000281	Syae.g_02057	Syao.g_01377
OG0000282	Syae.g_00573	Syao.g_00967
OG0000283	Syae.g_00321	Syao.g_00640
OG0000284	Syae.g_00327	Syao.g_00634
OG0000285	Syae.g_00340	Syao.g_00706
OG0000286	Syae.g_00359	Syao.g_00675
OG0000287	Syae.g_00387	Syao.g_00825
OG0000288	Syae.g_00419	Syao.g_00446
OG0000289	Syae.g_00433	Syao.g_00461
OG0000290	Syae.g_00796	Syao.g_00428
OG0000291	Syae.g_00794	Syao.g_00333
OG0000292	Syae.g_01705	Syao.g_02196
OG0000293	Syae.g_00938	Syao.g_00136
OG0000295	Syae.g_00893	Syao.g_00186
OG0000296	Syae.g_00891	Syao.g_00184
OG0000299	Syae.g_00680	Syao.g_00231
OG0000301	Syae.g_00687	Syao.g_00272, Syao.g_00273
OG0000302	Syae.g_00691	Syao.g_00271
OG0000303	Syae.g_00700	Syao.g_00262
OG0000304	Syae.g_00706	Syao.g_00256
OG0000305	Syae.g_00791	Syao.g_00388
OG0000306	Syae.g_00277	Syao.g_01216
OG0000307	Syae.g_02290	Syao.g_00045
OG0000308	Syae.g_02288	Syao.g_00047
OG0000309	Syae.g_02283	Syao.g_02705
OG0000310	Syae.g_02687	Syao.g_01530
OG0000311	Syae.g_02682	Syao.g_01533
OG0000312	Syae.g_02664	Syao.g_01538
OG0000313	Syae.g_02647	Syao.g_01491
OG0000314	Syae.g_02618	Syao.g_00078
OG0000315	Syae.g_02609	Syao.g_00088
OG0000316	Syae.g_01118	Syao.g_01602
OG0000317	Syae.g_01160	Syao.g_01560
OG0000318	Syae.g_01164	Syao.g_01553
OG0000319	Syae.g_01181	Syao.g_01678
OG0000320	Syae.g_01183	Syao.g_01676
OG0000321	Syae.g_01184	Syao.g_01675
OG0000322	Syae.g_01185	Syao.g_01674
OG0000323	Syae.g_01200	Syao.g_01661
OG0000324	Syae.g_01049	Syao.g_01630
OG0000325	Syae.g_02033	Syao.g_01936
OG0000327	Syae.g_02080	Syao.g_01795
OG0000328	Syae.g_02081	Syao.g_01794
OG0000329	Syae.g_02099	Syao.g_01776
OG0000330	Syae.g_02100	Syao.g_01775
OG0000331	Syae.g_02101	Syao.g_01774
OG0000333	Syae.g_02119	Syao.g_01810
OG0000334	Syae.g_02128	Syao.g_01836
OG0000335	Syae.g_02132	Syao.g_01831
OG0000336	Syae.g_02136	Syao.g_01827
OG0000337	Syae.g_01879	Syao.g_01968
OG0000338	Syae.g_01876	Syao.g_01962
OG0000339	Syae.g_01869	Syao.g_02259
OG0000340	Syae.g_01855	Syao.g_02129
OG0000341	Syae.g_01853	Syao.g_02131
OG0000342	Syae.g_01852	Syao.g_02132
OG0000343	Syae.g_01848	Syao.g_02133
OG0000344	Syae.g_01843	Syao.g_02137
OG0000345	Syae.g_01833	Syao.g_01953
OG0000346	Syae.g_01828	Syao.g_01948
OG0000347	Syae.g_01805	Syao.g_02178
OG0000348	Syae.g_01781	Syao.g_02166
OG0000349	Syae.g_01763	Syao.g_02219
OG0000350	Syae.g_02047	Syao.g_01925
OG0000351	Syae.g_01684	Syao.g_02331
OG0000352	Syae.g_01685	Syao.g_02332
OG0000353	Syae.g_01711	Syao.g_02160
OG0000354	Syae.g_02351	Syao.g_00154, Syao.g_00155
OG0000354	Syae.g_01731	Syao.g_02252
OG0000355	Syae.g_01713	Syao.g_02162
OG0000356	Syae.g_01714	Syao.g_02163
OG0000357	Syae.g_01715	Syao.g_02164
OG0000358	Syae.g_01719	Syao.g_02154
OG0000359	Syae.g_01721	Syao.g_02152
OG0000360	Syae.g_01722	Syao.g_02151
OG0000361	Syae.g_01723	Syao.g_02150
OG0000362	Syae.g_01725	Syao.g_01954
OG0000363	Syae.g_01727	Syao.g_02255
OG0000364	Syae.g_01728	Syao.g_01558
OG0000365	Syae.g_01737	Syao.g_02246
OG0000366	Syae.g_01738	Syao.g_02245
OG0000367	Syae.g_01739	Syao.g_02244
OG0000368	Syae.g_01741	Syao.g_02242
OG0000369	Syae.g_01742	Syao.g_02241
OG0000370	Syae.g_01743	Syao.g_02240
OG0000371	Syae.g_01751	Syao.g_02231
OG0000372	Syae.g_01756	Syao.g_02226
OG0000373	Syae.g_01757	Syao.g_02225
OG0000374	Syae.g_01758	Syao.g_02224
OG0000375	Syae.g_01759	Syao.g_02223
OG0000376	Syae.g_01761	Syao.g_02221
OG0000377	Syae.g_01561	Syao.g_02429
OG0000378	Syae.g_01553	Syao.g_02414
OG0000379	Syae.g_01550	Syao.g_02409
OG0000380	Syae.g_01281	Syao.g_02616
OG0000381	Syae.g_01285	Syao.g_02618
OG0000382	Syae.g_01322	Syao.g_02636
OG0000383	Syae.g_01324	Syao.g_02643
OG0000384	Syae.g_01325	Syao.g_02644
OG0000385	Syae.g_01326	Syao.g_02645
OG0000386	Syae.g_01327	Syao.g_02646
OG0000387	Syae.g_01354	Syao.g_01019
OG0000388	Syae.g_01358	Syao.g_02596
OG0000389	Syae.g_01362	Syao.g_02599
OG0000390	Syae.g_01378	Syao.g_02567
OG0000391	Syae.g_01383	Syao.g_02572
OG0000392	Syae.g_01389	Syao.g_02578
OG0000393	Syae.g_01392	Syao.g_02581
OG0000394	Syae.g_01393	Syao.g_02582
OG0000395	Syae.g_01394	Syao.g_02583
OG0000396	Syae.g_01397	Syao.g_02586
OG0000397	Syae.g_01400	Syao.g_02542
OG0000398	Syae.g_01405	Syao.g_02547
OG0000399	Syae.g_01406	Syao.g_02548
OG0000400	Syae.g_01407	Syao.g_02549
OG0000401	Syae.g_01408	Syao.g_02550
OG0000402	Syae.g_01410	Syao.g_02552
OG0000403	Syae.g_01411	Syao.g_02553
OG0000404	Syae.g_01412	Syao.g_02554
OG0000405	Syae.g_01426	Syao.g_02478
OG0000406	Syae.g_01430	Syao.g_02482
OG0000407	Syae.g_01431	Syao.g_02483
OG0000408	Syae.g_01433	Syao.g_02485
OG0000409	Syae.g_01435	Syao.g_02487
OG0000410	Syae.g_01436	Syao.g_02488
OG0000411	Syae.g_01437	Syao.g_02489
OG0000412	Syae.g_01438	Syao.g_02490
OG0000413	Syae.g_01440	Syao.g_02492
OG0000415	Syae.g_01441	Syao.g_02494
OG0000416	Syae.g_01442	Syao.g_02495
OG0000417	Syae.g_01443	Syao.g_02497
OG0000418	Syae.g_01448	Syao.g_02502
OG0000419	Syae.g_01450	Syao.g_02504
OG0000420	Syae.g_01452	Syao.g_02506
OG0000421	Syae.g_01457	Syao.g_02510
OG0000422	Syae.g_01458	Syao.g_02511
OG0000423	Syae.g_01459	Syao.g_02512
OG0000424	Syae.g_01460	Syao.g_02513
OG0000425	Syae.g_01461	Syao.g_02514
OG0000426	Syae.g_01462	Syao.g_02515
OG0000427	Syae.g_01463	Syao.g_02516
OG0000428	Syae.g_01466	Syao.g_02519
OG0000429	Syae.g_01468	Syao.g_02522
OG0000430	Syae.g_01470	Syao.g_02523
OG0000431	Syae.g_01473	Syao.g_02526
OG0000432	Syae.g_01481	Syao.g_02532
OG0000433	Syae.g_01484	Syao.g_02534
OG0000434	Syae.g_01485	Syao.g_02535
OG0000435	Syae.g_01486	Syao.g_02538
OG0000436	Syae.g_01491	Syao.g_02458
OG0000437	Syae.g_01492	Syao.g_02459
OG0000438	Syae.g_01493	Syao.g_02460
OG0000439	Syae.g_01495	Syao.g_02462
OG0000440	Syae.g_01496	Syao.g_02463
OG0000441	Syae.g_01501	Syao.g_02466
OG0000442	Syae.g_01502	Syao.g_02467
OG0000443	Syae.g_01503	Syao.g_02468
OG0000444	Syae.g_01509	Syao.g_02473
OG0000445	Syae.g_01510	Syao.g_02474
OG0000446	Syae.g_01512	Syao.g_02476
OG0000447	Syae.g_01517	Syao.g_02383
OG0000448	Syae.g_01518	Syao.g_02384
OG0000449	Syae.g_01519	Syao.g_02385
OG0000450	Syae.g_01525	Syao.g_02391
OG0000451	Syae.g_01526	Syao.g_02392
OG0000452	Syae.g_01530	Syao.g_02396
OG0000453	Syae.g_01531	Syao.g_02397
OG0000454	Syae.g_01532	Syao.g_02398
OG0000455	Syae.g_01533	Syao.g_02399
OG0000456	Syae.g_01534	Syao.g_02400
OG0000457	Syae.g_01536	Syao.g_02402
OG0000458	Syae.g_01538	Syao.g_02403
OG0000459	Syae.g_01539	Syao.g_02404
OG0000460	Syae.g_02236	Syao.g_01702
OG0000461	Syae.g_02024	Syao.g_02119
OG0000462	Syae.g_02021	Syao.g_02116
OG0000463	Syae.g_02020	Syao.g_02115
OG0000464	Syae.g_02019	Syao.g_02114
OG0000465	Syae.g_02018	Syao.g_02112
OG0000466	Syae.g_02014	Syao.g_02107
OG0000467	Syae.g_02012	Syao.g_02106
OG0000468	Syae.g_02007	Syao.g_02102
OG0000469	Syae.g_01992	Syao.g_02087
OG0000470	Syae.g_01990	Syao.g_02085
OG0000471	Syae.g_01989	Syao.g_02084
OG0000472	Syae.g_01987	Syao.g_02082
OG0000473	Syae.g_01985	Syao.g_02080
OG0000474	Syae.g_01984	Syao.g_02079
OG0000475	Syae.g_01983	Syao.g_02078
OG0000476	Syae.g_01981	Syao.g_02076
OG0000477	Syae.g_01975	Syao.g_02069
OG0000478	Syae.g_01974	Syao.g_02068
OG0000479	Syae.g_01973	Syao.g_02067
OG0000480	Syae.g_01966	Syao.g_02060
OG0000481	Syae.g_01964	Syao.g_01012
OG0000482	Syae.g_01963	Syao.g_02058
OG0000483	Syae.g_01959	Syao.g_02054
OG0000484	Syae.g_01958	Syao.g_02053
OG0000485	Syae.g_01957	Syao.g_02052
OG0000486	Syae.g_01956	Syao.g_02051
OG0000487	Syae.g_01950	Syao.g_02044
OG0000488	Syae.g_01946	Syao.g_02040
OG0000489	Syae.g_01936	Syao.g_02033
OG0000490	Syae.g_01928	Syao.g_02025
OG0000491	Syae.g_01927	Syao.g_02024
OG0000492	Syae.g_01925	Syao.g_02022
OG0000493	Syae.g_01924	Syao.g_02021
OG0000494	Syae.g_01923	Syao.g_02020
OG0000495	Syae.g_01922	Syao.g_02018
OG0000496	Syae.g_01921	Syao.g_02017
OG0000497	Syae.g_01920	Syao.g_02016
OG0000498	Syae.g_01919	Syao.g_02015
OG0000499	Syae.g_01918	Syao.g_02014
OG0000500	Syae.g_01917	Syao.g_02013
OG0000501	Syae.g_01914	Syao.g_02010
OG0000502	Syae.g_01902	Syao.g_01974
OG0000503	Syae.g_02192	Syao.g_01877
OG0000504	Syae.g_02194	Syao.g_01875
OG0000505	Syae.g_02195	Syao.g_01874
OG0000506	Syae.g_02197	Syao.g_01872
OG0000507	Syae.g_02203	Syao.g_01866
OG0000508	Syae.g_02207	Syao.g_01750
OG0000509	Syae.g_02209	Syao.g_01755
OG0000510	Syae.g_02210	Syao.g_01756
OG0000511	Syae.g_02211	Syao.g_01757
OG0000512	Syae.g_02213	Syao.g_01759
OG0000513	Syae.g_02223	Syao.g_01720
OG0000514	Syae.g_02229	Syao.g_01727
OG0000515	Syae.g_02230	Syao.g_01728
OG0000516	Syae.g_01000	Syao.g_01730
OG0000517	Syae.g_00995	Syao.g_01735
OG0000518	Syae.g_00983	Syao.g_01621
OG0000519	Syae.g_00982	Syao.g_01622
OG0000520	Syae.g_00981	Syao.g_01512
OG0000521	Syae.g_02491	Syao.g_00061
OG0000522	Syae.g_02493	Syao.g_00059
OG0000523	Syae.g_02494	Syao.g_00058
OG0000524	Syae.g_02501	Syao.g_02699
OG0000525	Syae.g_02520	Syao.g_02691
OG0000526	Syae.g_02523	Syao.g_02688
OG0000527	Syae.g_02528	Syao.g_02684
OG0000528	Syae.g_02304	Syao.g_00031
OG0000529	Syae.g_02310	Syao.g_00027
OG0000530	Syae.g_02313	Syao.g_00122
OG0000531	Syae.g_02314	Syao.g_00121
OG0000532	Syae.g_02317	Syao.g_00118
OG0000533	Syae.g_02318	Syao.g_00116
OG0000534	Syae.g_02319	Syao.g_00115
OG0000535	Syae.g_02320	Syao.g_00114
OG0000536	Syae.g_02321	Syao.g_00113
OG0000537	Syae.g_02322	Syao.g_00112
OG0000538	Syae.g_02333	Syao.g_00100
OG0000539	Syae.g_02334	Syao.g_00099
OG0000540	Syae.g_02335	Syao.g_00098
OG0000541	Syae.g_02336	Syao.g_00097
OG0000542	Syae.g_02339	Syao.g_00167
OG0000543	Syae.g_02341	Syao.g_00165
OG0000544	Syae.g_02342	Syao.g_00164
OG0000545	Syae.g_02344	Syao.g_00162
OG0000546	Syae.g_02346	Syao.g_00160
OG0000547	Syae.g_02348	Syao.g_00158
OG0000548	Syae.g_02349	Syao.g_00157
OG0000549	Syae.g_02354	Syao.g_01391
OG0000550	Syae.g_02358	Syao.g_01396
OG0000551	Syae.g_02363	Syao.g_01401
OG0000552	Syae.g_02364	Syao.g_01402
OG0000553	Syae.g_02366	Syao.g_01404
OG0000554	Syae.g_02375	Syao.g_01413
OG0000555	Syae.g_02390	Syao.g_00875
OG0000556	Syae.g_02394	Syao.g_00871
OG0000557	Syae.g_02398	Syao.g_00866
OG0000558	Syae.g_02400	Syao.g_00864
OG0000559	Syae.g_02404	Syao.g_00860
OG0000560	Syae.g_02407	Syao.g_00857
OG0000561	Syae.g_02408	Syao.g_00856
OG0000562	Syae.g_02409	Syao.g_00855
OG0000563	Syae.g_02410	Syao.g_00854
OG0000564	Syae.g_02411	Syao.g_00853
OG0000565	Syae.g_02414	Syao.g_00849
OG0000566	Syae.g_02418	Syao.g_00845
OG0000567	Syae.g_02422	Syao.g_00841
OG0000568	Syae.g_02427	Syao.g_00839
OG0000569	Syae.g_02428	Syao.g_00838
OG0000570	Syae.g_02429	Syao.g_00837
OG0000571	Syae.g_02433	Syao.g_00834
OG0000572	Syae.g_02448	Syao.g_01033
OG0000573	Syae.g_02456	Syao.g_01022
OG0000574	Syae.g_02457	Syao.g_01021
OG0000575	Syae.g_02461	Syao.g_01000
OG0000576	Syae.g_02463	Syao.g_00996
OG0000577	Syae.g_02464	Syao.g_00995
OG0000578	Syae.g_02465	Syao.g_00994
OG0000579	Syae.g_02466	Syao.g_00993
OG0000580	Syae.g_02467	Syao.g_00992
OG0000581	Syae.g_02473	Syao.g_01059
OG0000582	Syae.g_00018	Syao.g_01204
OG0000583	Syae.g_00019	Syao.g_01205
OG0000584	Syae.g_00020	Syao.g_01206
OG0000585	Syae.g_00022	Syao.g_01054
OG0000586	Syae.g_00023	Syao.g_01055
OG0000587	Syae.g_00025	Syao.g_01057
OG0000588	Syae.g_00043	Syao.g_00406
OG0000589	Syae.g_00047	Syao.g_01342
OG0000590	Syae.g_00048	Syao.g_01341
OG0000591	Syae.g_00056	Syao.g_01330
OG0000592	Syae.g_00057	Syao.g_01329
OG0000593	Syae.g_00070	Syao.g_00890
OG0000594	Syae.g_00071	Syao.g_00891
OG0000595	Syae.g_00072	Syao.g_00892
OG0000596	Syae.g_00077	Syao.g_00897
