Orthogroup	Syae	Prbi
OG0000160	Syae.g_02650	Prbi.g_01592
OG0000161	Syae.g_02644	Prbi.g_01598
OG0000162	Syae.g_02638	Prbi.g_01604
OG0000163	Syae.g_01092	Prbi.g_01637
OG0000164	Syae.g_01198	Prbi.g_01811
OG0000165	Syae.g_01021	Prbi.g_01818
OG0000166	Syae.g_02085	Prbi.g_01902
OG0000167	Syae.g_01874	Prbi.g_01968
OG0000168	Syae.g_01856	Prbi.g_01978
OG0000169	Syae.g_01841	Prbi.g_01988
OG0000170	Syae.g_01834	Prbi.g_01990
OG0000171	Syae.g_01810	Prbi.g_02009
OG0000172	Syae.g_01788	Prbi.g_02030
OG0000173	Syae.g_01770	Prbi.g_02045
OG0000174	Syae.g_01610	Prbi.g_02073
OG0000175	Syae.g_01679	Prbi.g_02083
OG0000176	Syae.g_01716	Prbi.g_00004
OG0000177	Syae.g_01717	Prbi.g_00005
OG0000178	Syae.g_01718	Prbi.g_00006
OG0000179	Syae.g_01733	Prbi.g_00016
OG0000180	Syae.g_01734	Prbi.g_00017
OG0000181	Syae.g_01735	Prbi.g_00018
OG0000182	Syae.g_01736	Prbi.g_00019
OG0000183	Syae.g_01740	Prbi.g_00023
OG0000184	Syae.g_01554	Prbi.g_00057
OG0000185	Syae.g_01551	Prbi.g_00060
OG0000186	Syae.g_01279	Prbi.g_00071
OG0000187	Syae.g_01280	Prbi.g_00072
OG0000188	Syae.g_01323	Prbi.g_00089
OG0000189	Syae.g_01350	Prbi.g_00103
OG0000190	Syae.g_01352	Prbi.g_00104
OG0000191	Syae.g_01384	Prbi.g_00125
OG0000192	Syae.g_01390	Prbi.g_00129
OG0000193	Syae.g_01429	Prbi.g_00170
OG0000194	Syae.g_01432	Prbi.g_00173
OG0000195	Syae.g_01434	Prbi.g_00175
OG0000196	Syae.g_01444	Prbi.g_00185
OG0000197	Syae.g_01445	Prbi.g_00186
OG0000198	Syae.g_01446	Prbi.g_00187
OG0000199	Syae.g_01454	Prbi.g_00194
OG0000200	Syae.g_01471	Prbi.g_00208
OG0000201	Syae.g_01487	Prbi.g_00216
OG0000202	Syae.g_01488	Prbi.g_00217
OG0000203	Syae.g_01489	Prbi.g_00218
OG0000204	Syae.g_01490	Prbi.g_00219
OG0000205	Syae.g_01497	Prbi.g_00226
OG0000206	Syae.g_01504	Prbi.g_00231
OG0000207	Syae.g_01506	Prbi.g_00233
OG0000208	Syae.g_01507	Prbi.g_00234
OG0000209	Syae.g_01528	Prbi.g_00243
OG0000210	Syae.g_01529	Prbi.g_00244
OG0000212	Syae.g_02244	Prbi.g_00264
OG0000213	Syae.g_02003	Prbi.g_00281
OG0000214	Syae.g_01986	Prbi.g_00291
OG0000215	Syae.g_01955	Prbi.g_00316
OG0000216	Syae.g_01951	Prbi.g_00318
OG0000217	Syae.g_01947	Prbi.g_00321
OG0000218	Syae.g_01945	Prbi.g_00323
OG0000219	Syae.g_01944	Prbi.g_00324
OG0000220	Syae.g_01943	Prbi.g_00325
OG0000221	Syae.g_01937	Prbi.g_00326
OG0000222	Syae.g_01926	Prbi.g_00334
OG0000223	Syae.g_01904	Prbi.g_00347
OG0000224	Syae.g_01897	Prbi.g_00349
OG0000225	Syae.g_02208	Prbi.g_00370
OG0000226	Syae.g_02212	Prbi.g_00374
OG0000227	Syae.g_02214	Prbi.g_00376
OG0000228	Syae.g_02218	Prbi.g_00379
OG0000229	Syae.g_00994	Prbi.g_00437
OG0000230	Syae.g_00992	Prbi.g_00439
OG0000231	Syae.g_00980	Prbi.g_00450
OG0000232	Syae.g_02496	Prbi.g_00459
OG0000233	Syae.g_02504	Prbi.g_00465
OG0000234	Syae.g_02532	Prbi.g_00479
OG0000235	Syae.g_02308	Prbi.g_00482
OG0000236	Syae.g_02323	Prbi.g_00496
OG0000237	Syae.g_02340	Prbi.g_00509
OG0000238	Syae.g_02345	Prbi.g_00515
OG0000239	Syae.g_02360	Prbi.g_00528
OG0000240	Syae.g_02361	Prbi.g_00529
OG0000241	Syae.g_00065	Prbi.g_00533
OG0000242	Syae.g_02372	Prbi.g_00535
OG0000243	Syae.g_02391	Prbi.g_00546
OG0000244	Syae.g_02399	Prbi.g_00549
OG0000245	Syae.g_02401	Prbi.g_00551
OG0000246	Syae.g_02405	Prbi.g_00555
OG0000247	Syae.g_02416	Prbi.g_00565
OG0000248	Syae.g_02419	Prbi.g_00567
OG0000249	Syae.g_02421	Prbi.g_00569
OG0000250	Syae.g_02431	Prbi.g_00574
OG0000251	Syae.g_02455	Prbi.g_00593
OG0000252	Syae.g_02458	Prbi.g_00596
OG0000253	Syae.g_02459	Prbi.g_00597
OG0000254	Syae.g_00021	Prbi.g_00613
OG0000255	Syae.g_00041	Prbi.g_00619
OG0000256	Syae.g_00058	Prbi.g_00629
OG0000257	Syae.g_00064	Prbi.g_00632
OG0000258	Syae.g_00083	Prbi.g_00646
OG0000259	Syae.g_00608	Prbi.g_00663
OG0000260	Syae.g_00603	Prbi.g_00666
OG0000261	Syae.g_00600	Prbi.g_00668
OG0000262	Syae.g_00595	Prbi.g_00672
OG0000263	Syae.g_00671	Prbi.g_00684
OG0000264	Syae.g_00761	Prbi.g_00694
OG0000265	Syae.g_00932, Syae.g_00226	Prbi.g_00745
OG0000266	Syae.g_00457	Prbi.g_00755
OG0000267	Syae.g_00304	Prbi.g_00766
OG0000268	Syae.g_00308	Prbi.g_00767
OG0000269	Syae.g_00526	Prbi.g_00842
OG0000270	Syae.g_00523	Prbi.g_00845
OG0000271	Syae.g_00515	Prbi.g_00853
OG0000272	Syae.g_00514	Prbi.g_00854
OG0000273	Syae.g_00825	Prbi.g_00877
OG0000274	Syae.g_00826	Prbi.g_00878
OG0000275	Syae.g_00832	Prbi.g_00881
OG0000276	Syae.g_00839	Prbi.g_00886
OG0000277	Syae.g_00840	Prbi.g_00887
OG0000278	Syae.g_00843	Prbi.g_00890
OG0000279	Syae.g_00851	Prbi.g_00897
OG0000280	Syae.g_00877	Prbi.g_00898
OG0000281	Syae.g_02057	Prbi.g_00903
OG0000282	Syae.g_00573	Prbi.g_00953
OG0000283	Syae.g_00321	Prbi.g_00986
OG0000284	Syae.g_00327	Prbi.g_00991
OG0000285	Syae.g_00340	Prbi.g_00996
OG0000286	Syae.g_00359	Prbi.g_01008
OG0000288	Syae.g_00419	Prbi.g_01059
OG0000289	Syae.g_00433	Prbi.g_01070
OG0000290	Syae.g_00796	Prbi.g_01083
OG0000291	Syae.g_00794	Prbi.g_01085
OG0000292	Syae.g_01705	Prbi.g_01136
OG0000293	Syae.g_00938	Prbi.g_01198
OG0000294	Syae.g_00937	Prbi.g_01199
OG0000295	Syae.g_00893	Prbi.g_01219
OG0000296	Syae.g_00891	Prbi.g_01221
OG0000297	Syae.g_00645	Prbi.g_01229
OG0000298	Syae.g_00646	Prbi.g_01230
OG0000299	Syae.g_00680	Prbi.g_01247
OG0000300	Syae.g_00686	Prbi.g_01250
OG0000301	Syae.g_00687	Prbi.g_01251
OG0000302	Syae.g_00691	Prbi.g_01253
OG0000303	Syae.g_00700	Prbi.g_01260
OG0000304	Syae.g_00706	Prbi.g_01264
OG0000305	Syae.g_00791	Prbi.g_01431
OG0000306	Syae.g_00277	Prbi.g_01434
OG0000307	Syae.g_02290	Prbi.g_01448
OG0000308	Syae.g_02288	Prbi.g_01449
OG0000309	Syae.g_02283	Prbi.g_01453
OG0000310	Syae.g_02687	Prbi.g_01574
OG0000311	Syae.g_02682	Prbi.g_01576
OG0000312	Syae.g_02664	Prbi.g_01579
OG0000313	Syae.g_02647	Prbi.g_01595
OG0000314	Syae.g_02618	Prbi.g_01617
OG0000315	Syae.g_02609	Prbi.g_01627
OG0000316	Syae.g_01118	Prbi.g_01647
OG0000317	Syae.g_01160	Prbi.g_01785
OG0000318	Syae.g_01164	Prbi.g_01788
OG0000319	Syae.g_01181	Prbi.g_01801
OG0000320	Syae.g_01183	Prbi.g_01803
OG0000321	Syae.g_01184	Prbi.g_01804
OG0000322	Syae.g_01185	Prbi.g_01805
OG0000323	Syae.g_01200	Prbi.g_01814
OG0000324	Syae.g_01049	Prbi.g_01840
OG0000325	Syae.g_02033	Prbi.g_01849
OG0000326	Syae.g_02040	Prbi.g_01855
OG0000327	Syae.g_02080	Prbi.g_01897
OG0000328	Syae.g_02081	Prbi.g_01898
OG0000329	Syae.g_02099	Prbi.g_01915
OG0000330	Syae.g_02100	Prbi.g_01916
OG0000331	Syae.g_02101	Prbi.g_01917
OG0000332	Syae.g_02116	Prbi.g_01931
OG0000333	Syae.g_02119	Prbi.g_01933
OG0000334	Syae.g_02128	Prbi.g_01941
OG0000335	Syae.g_02132	Prbi.g_01946
OG0000336	Syae.g_02136	Prbi.g_01950
OG0000337	Syae.g_01879	Prbi.g_01966
OG0000338	Syae.g_01876	Prbi.g_01967
OG0000339	Syae.g_01869	Prbi.g_01971
OG0000340	Syae.g_01855	Prbi.g_01979
OG0000341	Syae.g_01853	Prbi.g_01981
OG0000342	Syae.g_01852	Prbi.g_01982
OG0000343	Syae.g_01848	Prbi.g_01983
OG0000344	Syae.g_01843	Prbi.g_01986
OG0000345	Syae.g_01833	Prbi.g_01991
OG0000346	Syae.g_01828	Prbi.g_01995
OG0000347	Syae.g_01805	Prbi.g_02011
OG0000348	Syae.g_01781	Prbi.g_02033
OG0000349	Syae.g_01763	Prbi.g_02050
OG0000350	Syae.g_02047	Prbi.g_02069
OG0000351	Syae.g_01684	Prbi.g_02086
OG0000352	Syae.g_01685	Prbi.g_02087
OG0000353	Syae.g_01711	Prbi.g_02102
OG0000355	Syae.g_01713	Prbi.g_00001
OG0000356	Syae.g_01714	Prbi.g_00002
OG0000357	Syae.g_01715	Prbi.g_00003
OG0000358	Syae.g_01719	Prbi.g_00007
OG0000359	Syae.g_01721	Prbi.g_00008
OG0000360	Syae.g_01722	Prbi.g_00009
OG0000361	Syae.g_01723	Prbi.g_00010
OG0000362	Syae.g_01725	Prbi.g_00012
OG0000363	Syae.g_01727	Prbi.g_00014
OG0000364	Syae.g_01728	Prbi.g_00015
OG0000365	Syae.g_01737	Prbi.g_00020
OG0000366	Syae.g_01738	Prbi.g_00021
OG0000367	Syae.g_01739	Prbi.g_00022
OG0000368	Syae.g_01741	Prbi.g_00024
OG0000369	Syae.g_01742	Prbi.g_00025
OG0000370	Syae.g_01743	Prbi.g_00026
OG0000371	Syae.g_01751	Prbi.g_00032
OG0000372	Syae.g_01756	Prbi.g_00035
OG0000373	Syae.g_01757	Prbi.g_00036
OG0000374	Syae.g_01758	Prbi.g_00037
OG0000375	Syae.g_01759	Prbi.g_00049
OG0000376	Syae.g_01761	Prbi.g_00051
OG0000377	Syae.g_01561	Prbi.g_00056
OG0000378	Syae.g_01553	Prbi.g_00058
OG0000379	Syae.g_01550	Prbi.g_00061
OG0000380	Syae.g_01281	Prbi.g_00073
OG0000381	Syae.g_01285	Prbi.g_00077
OG0000382	Syae.g_01322	Prbi.g_00088
OG0000383	Syae.g_01324	Prbi.g_00090
OG0000384	Syae.g_01325	Prbi.g_00091
OG0000385	Syae.g_01326	Prbi.g_00092
OG0000386	Syae.g_01327	Prbi.g_00093
OG0000387	Syae.g_01354	Prbi.g_00106
OG0000388	Syae.g_01358	Prbi.g_00109
OG0000389	Syae.g_01362	Prbi.g_00113
OG0000390	Syae.g_01378	Prbi.g_00120
OG0000391	Syae.g_01383	Prbi.g_00124
OG0000392	Syae.g_01389	Prbi.g_00128
OG0000393	Syae.g_01392	Prbi.g_00130
OG0000394	Syae.g_01393	Prbi.g_00131
OG0000395	Syae.g_01394	Prbi.g_00132
OG0000396	Syae.g_01397	Prbi.g_00135
OG0000397	Syae.g_01400	Prbi.g_00137
OG0000398	Syae.g_01405	Prbi.g_00139
OG0000399	Syae.g_01406	Prbi.g_00140
OG0000400	Syae.g_01407	Prbi.g_00141
OG0000401	Syae.g_01408	Prbi.g_00142
OG0000402	Syae.g_01410	Prbi.g_00144
OG0000403	Syae.g_01411	Prbi.g_00145
OG0000404	Syae.g_01412	Prbi.g_00146
OG0000405	Syae.g_01426	Prbi.g_00150
OG0000406	Syae.g_01430	Prbi.g_00171
OG0000407	Syae.g_01431	Prbi.g_00172
OG0000408	Syae.g_01433	Prbi.g_00174
OG0000409	Syae.g_01435	Prbi.g_00176
OG0000410	Syae.g_01436	Prbi.g_00177
OG0000411	Syae.g_01437	Prbi.g_00178
OG0000412	Syae.g_01438	Prbi.g_00179
OG0000413	Syae.g_01440	Prbi.g_00180
OG0000415	Syae.g_01441	Prbi.g_00182
OG0000416	Syae.g_01442	Prbi.g_00183
OG0000417	Syae.g_01443	Prbi.g_00184
OG0000418	Syae.g_01448	Prbi.g_00189
OG0000419	Syae.g_01450	Prbi.g_00191
OG0000420	Syae.g_01452	Prbi.g_00192
OG0000421	Syae.g_01457	Prbi.g_00197
OG0000422	Syae.g_01458	Prbi.g_00198
OG0000423	Syae.g_01459	Prbi.g_00199
OG0000424	Syae.g_01460	Prbi.g_00200
OG0000425	Syae.g_01461	Prbi.g_00201
OG0000426	Syae.g_01462	Prbi.g_00202
OG0000427	Syae.g_01463	Prbi.g_00203
OG0000428	Syae.g_01466	Prbi.g_00205
OG0000429	Syae.g_01468	Prbi.g_00206
OG0000430	Syae.g_01470	Prbi.g_00207
OG0000431	Syae.g_01473	Prbi.g_00209
OG0000432	Syae.g_01481	Prbi.g_00212
OG0000433	Syae.g_01484	Prbi.g_00213
OG0000434	Syae.g_01485	Prbi.g_00214
OG0000435	Syae.g_01486	Prbi.g_00215
OG0000436	Syae.g_01491	Prbi.g_00220
OG0000437	Syae.g_01492	Prbi.g_00221
OG0000438	Syae.g_01493	Prbi.g_00222
OG0000439	Syae.g_01495	Prbi.g_00224
OG0000440	Syae.g_01496	Prbi.g_00225
OG0000441	Syae.g_01501	Prbi.g_00228
OG0000442	Syae.g_01502	Prbi.g_00229
OG0000443	Syae.g_01503	Prbi.g_00230
OG0000444	Syae.g_01509	Prbi.g_00235
OG0000445	Syae.g_01510	Prbi.g_00236
OG0000446	Syae.g_01512	Prbi.g_00237
OG0000447	Syae.g_01517	Prbi.g_00238
OG0000448	Syae.g_01518	Prbi.g_00239
OG0000449	Syae.g_01519	Prbi.g_00240
OG0000450	Syae.g_01525	Prbi.g_00241
OG0000451	Syae.g_01526	Prbi.g_00242
OG0000452	Syae.g_01530	Prbi.g_00245
OG0000453	Syae.g_01531	Prbi.g_00246
OG0000454	Syae.g_01532	Prbi.g_00247
OG0000455	Syae.g_01533	Prbi.g_00248
OG0000456	Syae.g_01534	Prbi.g_00249
OG0000457	Syae.g_01536	Prbi.g_00250
OG0000458	Syae.g_01538	Prbi.g_00251
OG0000459	Syae.g_01539	Prbi.g_00252
OG0000460	Syae.g_02236	Prbi.g_00259
OG0000461	Syae.g_02024	Prbi.g_00266
OG0000462	Syae.g_02021	Prbi.g_00268
OG0000463	Syae.g_02020	Prbi.g_00269
OG0000464	Syae.g_02019	Prbi.g_00270
OG0000465	Syae.g_02018	Prbi.g_00271
OG0000466	Syae.g_02014	Prbi.g_00274
OG0000467	Syae.g_02012	Prbi.g_00275
OG0000468	Syae.g_02007	Prbi.g_00277
OG0000469	Syae.g_01992	Prbi.g_00286
OG0000470	Syae.g_01990	Prbi.g_00288
OG0000471	Syae.g_01989	Prbi.g_00289
OG0000472	Syae.g_01987	Prbi.g_00290
OG0000473	Syae.g_01985	Prbi.g_00292
OG0000474	Syae.g_01984	Prbi.g_00293
OG0000475	Syae.g_01983	Prbi.g_00294
OG0000476	Syae.g_01981	Prbi.g_00295
OG0000477	Syae.g_01975	Prbi.g_00299
OG0000478	Syae.g_01974	Prbi.g_00300
OG0000479	Syae.g_01973	Prbi.g_00301
OG0000480	Syae.g_01966	Prbi.g_00306
OG0000481	Syae.g_01964	Prbi.g_00308
OG0000482	Syae.g_01963	Prbi.g_00309
OG0000483	Syae.g_01959	Prbi.g_00312
OG0000484	Syae.g_01958	Prbi.g_00313
OG0000485	Syae.g_01957	Prbi.g_00314
OG0000486	Syae.g_01956	Prbi.g_00315
OG0000487	Syae.g_01950	Prbi.g_00319
OG0000488	Syae.g_01946	Prbi.g_00322
OG0000489	Syae.g_01936	Prbi.g_00327
OG0000490	Syae.g_01928	Prbi.g_00332
OG0000491	Syae.g_01927	Prbi.g_00333
OG0000492	Syae.g_01925	Prbi.g_00335
OG0000493	Syae.g_01924	Prbi.g_00336
OG0000494	Syae.g_01923	Prbi.g_00337
OG0000495	Syae.g_01922	Prbi.g_00338
OG0000496	Syae.g_01921	Prbi.g_00339
OG0000497	Syae.g_01920	Prbi.g_00340
OG0000498	Syae.g_01919	Prbi.g_00341
OG0000499	Syae.g_01918	Prbi.g_00342
OG0000500	Syae.g_01917	Prbi.g_00343
OG0000501	Syae.g_01914	Prbi.g_00345
OG0000502	Syae.g_01902	Prbi.g_00348
OG0000503	Syae.g_02192	Prbi.g_00358
OG0000504	Syae.g_02194	Prbi.g_00359
OG0000505	Syae.g_02195	Prbi.g_00360
OG0000506	Syae.g_02197	Prbi.g_00362
OG0000507	Syae.g_02203	Prbi.g_00365
OG0000508	Syae.g_02207	Prbi.g_00369
OG0000509	Syae.g_02209	Prbi.g_00371
OG0000510	Syae.g_02210	Prbi.g_00372
OG0000511	Syae.g_02211	Prbi.g_00373
OG0000512	Syae.g_02213	Prbi.g_00375
OG0000513	Syae.g_02223	Prbi.g_00382
OG0000514	Syae.g_02229	Prbi.g_00432
OG0000515	Syae.g_02230	Prbi.g_00433
OG0000516	Syae.g_01000	Prbi.g_00434
OG0000517	Syae.g_00995	Prbi.g_00436
OG0000518	Syae.g_00983	Prbi.g_00447
OG0000519	Syae.g_00982	Prbi.g_00448
OG0000520	Syae.g_00981	Prbi.g_00449
OG0000521	Syae.g_02491	Prbi.g_00454
OG0000522	Syae.g_02493	Prbi.g_00456
OG0000523	Syae.g_02494	Prbi.g_00457
OG0000524	Syae.g_02501	Prbi.g_00463
OG0000525	Syae.g_02520	Prbi.g_00466
OG0000526	Syae.g_02523	Prbi.g_00467
OG0000527	Syae.g_02528	Prbi.g_00476
OG0000528	Syae.g_02304	Prbi.g_00481
OG0000529	Syae.g_02310	Prbi.g_00484
OG0000530	Syae.g_02313	Prbi.g_00487
OG0000531	Syae.g_02314	Prbi.g_00488
OG0000532	Syae.g_02317	Prbi.g_00490
OG0000533	Syae.g_02318	Prbi.g_00491
OG0000534	Syae.g_02319	Prbi.g_00492
OG0000535	Syae.g_02320	Prbi.g_00493
OG0000536	Syae.g_02321	Prbi.g_00494
OG0000537	Syae.g_02322	Prbi.g_00495
OG0000538	Syae.g_02333	Prbi.g_00503
OG0000539	Syae.g_02334	Prbi.g_00504
OG0000540	Syae.g_02335	Prbi.g_00505
OG0000541	Syae.g_02336	Prbi.g_00506
OG0000542	Syae.g_02339	Prbi.g_00508
OG0000543	Syae.g_02341	Prbi.g_00510
OG0000544	Syae.g_02342	Prbi.g_00511
OG0000545	Syae.g_02344	Prbi.g_00513
OG0000546	Syae.g_02346	Prbi.g_00516
OG0000547	Syae.g_02348	Prbi.g_00518
OG0000548	Syae.g_02349	Prbi.g_00519
OG0000549	Syae.g_02354	Prbi.g_00521
OG0000550	Syae.g_02358	Prbi.g_00526
OG0000551	Syae.g_02363	Prbi.g_00530
OG0000552	Syae.g_02364	Prbi.g_00531
OG0000553	Syae.g_02366	Prbi.g_00532
OG0000554	Syae.g_02375	Prbi.g_00537
OG0000555	Syae.g_02390	Prbi.g_00545
OG0000556	Syae.g_02394	Prbi.g_00547
OG0000557	Syae.g_02398	Prbi.g_00548
OG0000558	Syae.g_02400	Prbi.g_00550
OG0000559	Syae.g_02404	Prbi.g_00554
OG0000560	Syae.g_02407	Prbi.g_00557
OG0000561	Syae.g_02408	Prbi.g_00558
OG0000562	Syae.g_02409	Prbi.g_00559
OG0000563	Syae.g_02410	Prbi.g_00560
OG0000564	Syae.g_02411	Prbi.g_00561
OG0000565	Syae.g_02414	Prbi.g_00564
