Orthogroup	Prat	Syaq
OG0000103	Prat.g_01880	Syaq.g_01170
OG0000104	Prat.g_01889	Syaq.g_01154
OG0000105	Prat.g_00281	Syaq.g_00754
OG0000106	Prat.g_00637	Syaq.g_01863
OG0000108	Prat.g_00440	Syaq.g_01772
OG0000109	Prat.g_00455	Syaq.g_01788
OG0000110	Prat.g_00539	Syaq.g_01962
OG0000111	Prat.g_00776	Syaq.g_02606
OG0000112	Prat.g_00888	Syaq.g_02476
OG0000114	Prat.g_00716	Syaq.g_02269
OG0000115	Prat.g_01373	Syaq.g_00395
OG0000116	Prat.g_01166	Syaq.g_00263
OG0000117	Prat.g_01129	Syaq.g_00203
OG0000118	Prat.g_01261	Syaq.g_00325, Syaq.g_00316
OG0000120	Prat.g_00344	Syaq.g_00883
OG0000121	Prat.g_01355	Syaq.g_00375
OG0000122	Prat.g_00781, Prat.g_01398	Syaq.g_02118
OG0000123	Prat.g_01733	Syaq.g_00599
OG0000124	Prat.g_01805	Syaq.g_01055
OG0000125	Prat.g_01841	Syaq.g_01256
OG0000126	Prat.g_01888	Syaq.g_01156
OG0000128	Prat.g_00012, Prat.g_00011	Syaq.g_01138
OG0000129	Prat.g_00047	Syaq.g_01269
OG0000130	Prat.g_00066	Syaq.g_01559
OG0000131	Prat.g_00144	Syaq.g_01427, Syaq.g_01424
OG0000132	Prat.g_00164	Syaq.g_01404
OG0000133	Prat.g_00329	Syaq.g_02481
OG0000134	Prat.g_00372	Syaq.g_00526
OG0000135	Prat.g_01477	Syaq.g_01227
OG0000136	Prat.g_00401	Syaq.g_00496
OG0000137	Prat.g_00434	Syaq.g_00442
OG0000138	Prat.g_00456	Syaq.g_01789
OG0000139	Prat.g_00499	Syaq.g_01844
OG0000140	Prat.g_00500	Syaq.g_01848
OG0000141	Prat.g_00570	Syaq.g_02010
OG0000142	Prat.g_01090	Syaq.g_02082
OG0000143	Prat.g_01086	Syaq.g_02086
OG0000144	Prat.g_01072	Syaq.g_02152
OG0000145	Prat.g_01472	Syaq.g_01796
OG0000146	Prat.g_00887	Syaq.g_02475
OG0000147	Prat.g_00886	Syaq.g_02474
OG0000148	Prat.g_01020	Syaq.g_02359
OG0000149	Prat.g_00991	Syaq.g_02395
OG0000150	Prat.g_00981	Syaq.g_02011
OG0000151	Prat.g_00726	Syaq.g_02283
OG0000152	Prat.g_00896, Prat.g_01277	Syaq.g_02485
OG0000153	Prat.g_00915	Syaq.g_02518
OG0000154	Prat.g_00934	Syaq.g_00066
OG0000155	Prat.g_01135	Syaq.g_00212
OG0000156	Prat.g_01238	Syaq.g_00281
OG0000157	Prat.g_01239	Syaq.g_00282
OG0000158	Prat.g_01769	Syaq.g_01003
OG0000160	Prat.g_01354	Syaq.g_00374
OG0000161	Prat.g_01360	Syaq.g_00382
OG0000162	Prat.g_01366	Syaq.g_00389
OG0000163	Prat.g_01409	Syaq.g_01730
OG0000164	Prat.g_01615	Syaq.g_01642
OG0000165	Prat.g_01623	Syaq.g_01630
OG0000166	Prat.g_01690	Syaq.g_00647
OG0000167	Prat.g_01759	Syaq.g_00983
OG0000168	Prat.g_01770	Syaq.g_01004
OG0000169	Prat.g_01781	Syaq.g_01016
OG0000170	Prat.g_01784	Syaq.g_01023
OG0000171	Prat.g_01804	Syaq.g_01052
OG0000172	Prat.g_01811	Syaq.g_01074
OG0000173	Prat.g_01826	Syaq.g_01092
OG0000174	Prat.g_01858	Syaq.g_01224
OG0000175	Prat.g_01870	Syaq.g_01183
OG0000176	Prat.g_00004	Syaq.g_01146
OG0000177	Prat.g_00005	Syaq.g_01145
OG0000178	Prat.g_00006	Syaq.g_01144
OG0000179	Prat.g_00017	Syaq.g_01129
OG0000180	Prat.g_00018	Syaq.g_01128
OG0000181	Prat.g_00019	Syaq.g_01127
OG0000182	Prat.g_00020	Syaq.g_01126
OG0000183	Prat.g_01314, Prat.g_00024	Syaq.g_01122
OG0000184	Prat.g_00051	Syaq.g_01277
OG0000185	Prat.g_00054	Syaq.g_01290
OG0000186	Prat.g_00060	Syaq.g_01563
OG0000187	Prat.g_00061	Syaq.g_01561
OG0000188	Prat.g_00080	Syaq.g_01539
OG0000189	Prat.g_00093	Syaq.g_01499
OG0000190	Prat.g_00094	Syaq.g_01497
OG0000191	Prat.g_00116	Syaq.g_01467
OG0000192	Prat.g_00121	Syaq.g_01462
OG0000193	Prat.g_00145	Syaq.g_01423
OG0000194	Prat.g_00148	Syaq.g_01420
OG0000195	Prat.g_00150	Syaq.g_01418
OG0000196	Prat.g_00161	Syaq.g_01407
OG0000197	Prat.g_00162	Syaq.g_01406
OG0000198	Prat.g_00163	Syaq.g_01405
OG0000199	Prat.g_00171	Syaq.g_01398
OG0000200	Prat.g_00185	Syaq.g_01382
OG0000201	Prat.g_00194	Syaq.g_01365
OG0000202	Prat.g_00195	Syaq.g_01364
OG0000203	Prat.g_00196	Syaq.g_01363
OG0000204	Prat.g_00197	Syaq.g_01362
OG0000205	Prat.g_00204	Syaq.g_01355
OG0000206	Prat.g_00209	Syaq.g_01345
OG0000207	Prat.g_00211	Syaq.g_01338
OG0000208	Prat.g_00212	Syaq.g_01337
OG0000209	Prat.g_00221	Syaq.g_01310
OG0000210	Prat.g_00222	Syaq.g_01309
OG0000211	Prat.g_00238	Syaq.g_01570
OG0000212	Prat.g_00246	Syaq.g_01586
OG0000213	Prat.g_00264	Syaq.g_00729
OG0000214	Prat.g_00274	Syaq.g_00745
OG0000215	Prat.g_00300	Syaq.g_00777
OG0000216	Prat.g_00302	Syaq.g_00781
OG0000217	Prat.g_00305	Syaq.g_00844
OG0000218	Prat.g_00307	Syaq.g_00846
OG0000219	Prat.g_00308	Syaq.g_00847
OG0000220	Prat.g_00309	Syaq.g_00848
OG0000221	Prat.g_00310	Syaq.g_00856
OG0000222	Prat.g_00317	Syaq.g_00868
OG0000223	Prat.g_00330	Syaq.g_00946
OG0000224	Prat.g_00332	Syaq.g_00950
OG0000225	Prat.g_00360	Syaq.g_00543
OG0000226	Prat.g_00364	Syaq.g_00536
OG0000227	Prat.g_00366	Syaq.g_00534
OG0000228	Prat.g_00369	Syaq.g_00531
OG0000229	Prat.g_00396	Syaq.g_00501
OG0000230	Prat.g_00398	Syaq.g_00499
OG0000231	Prat.g_00411	Syaq.g_00485
OG0000232	Prat.g_00419	Syaq.g_00472
OG0000233	Prat.g_00426	Syaq.g_00464
OG0000234	Prat.g_00435	Syaq.g_00440
OG0000235	Prat.g_00439	Syaq.g_01771
OG0000236	Prat.g_00454	Syaq.g_01787
OG0000237	Prat.g_00469	Syaq.g_01805
OG0000238	Prat.g_00475	Syaq.g_01810
OG0000239	Prat.g_00487	Syaq.g_01826
OG0000240	Prat.g_00488	Syaq.g_01827
OG0000241	Prat.g_00492	Syaq.g_02074
OG0000242	Prat.g_00494	Syaq.g_01836
OG0000243	Prat.g_00504	Syaq.g_01922
OG0000244	Prat.g_00507	Syaq.g_01928
OG0000245	Prat.g_00509	Syaq.g_01930
OG0000246	Prat.g_00514, Prat.g_00513	Syaq.g_01934
OG0000247	Prat.g_00525	Syaq.g_01945
OG0000248	Prat.g_00528	Syaq.g_01948
OG0000249	Prat.g_00530	Syaq.g_01950
OG0000250	Prat.g_00536	Syaq.g_01958
OG0000251	Prat.g_00553	Syaq.g_01984
OG0000252	Prat.g_00556	Syaq.g_01987
OG0000253	Prat.g_00557	Syaq.g_01989
OG0000254	Prat.g_00574	Syaq.g_02016
OG0000255	Prat.g_00581	Syaq.g_02041
OG0000256	Prat.g_00591	Syaq.g_02068
OG0000257	Prat.g_01097	Syaq.g_02073
OG0000258	Prat.g_01081	Syaq.g_02095
OG0000259	Prat.g_01064	Syaq.g_02239
OG0000260	Prat.g_01061	Syaq.g_02242
OG0000261	Prat.g_01058	Syaq.g_02245
OG0000262	Prat.g_01054	Syaq.g_02250
OG0000263	Prat.g_00754	Syaq.g_00185
OG0000264	Prat.g_00765	Syaq.g_02582
OG0000266	Prat.g_00801	Syaq.g_00037
OG0000267	Prat.g_00814	Syaq.g_02430
OG0000268	Prat.g_00815	Syaq.g_02431
OG0000269	Prat.g_01042	Syaq.g_02335
OG0000270	Prat.g_01039	Syaq.g_02338
OG0000271	Prat.g_01031	Syaq.g_02346
OG0000272	Prat.g_01030	Syaq.g_02347
OG0000273	Prat.g_01007	Syaq.g_02376
OG0000274	Prat.g_01006	Syaq.g_02377
OG0000275	Prat.g_01004	Syaq.g_02380
OG0000276	Prat.g_00999	Syaq.g_02387
OG0000277	Prat.g_00998	Syaq.g_02388
OG0000278	Prat.g_00995	Syaq.g_02391
OG0000279	Prat.g_00988	Syaq.g_02401
OG0000280	Prat.g_00987	Syaq.g_02410
OG0000281	Prat.g_00980	Syaq.g_02224
OG0000282	Prat.g_00718	Syaq.g_02271
OG0000283	Prat.g_00868	Syaq.g_02445
OG0000284	Prat.g_00873	Syaq.g_02450
OG0000285	Prat.g_00879	Syaq.g_02466
OG0000286	Prat.g_00895	Syaq.g_02484
OG0000288	Prat.g_00933	Syaq.g_00067
OG0000289	Prat.g_00948	Syaq.g_00053
OG0000290	Prat.g_00962	Syaq.g_02682
OG0000291	Prat.g_00964	Syaq.g_02680
OG0000292	Prat.g_01208	Syaq.g_01157
OG0000293	Prat.g_01165	Syaq.g_00262
OG0000294	Prat.g_01164	Syaq.g_00261
OG0000295	Prat.g_01142	Syaq.g_00220
OG0000296	Prat.g_01140	Syaq.g_00218
OG0000297	Prat.g_01131	Syaq.g_00205
OG0000298	Prat.g_01130	Syaq.g_00204
OG0000299	Prat.g_01112	Syaq.g_00171
OG0000300	Prat.g_01108	Syaq.g_00164
OG0000301	Prat.g_01107	Syaq.g_00163
OG0000302	Prat.g_01105	Syaq.g_00162
OG0000303	Prat.g_01099	Syaq.g_00152
OG0000304	Prat.g_00595	Syaq.g_00146
OG0000305	Prat.g_01200	Syaq.g_02677
OG0000306	Prat.g_00976	Syaq.g_01861
OG0000307	Prat.g_01300	Syaq.g_01754
OG0000308	Prat.g_01301	Syaq.g_01752
OG0000309	Prat.g_01305	Syaq.g_01747
OG0000310	Prat.g_01336	Syaq.g_00347
OG0000311	Prat.g_01338	Syaq.g_00352
OG0000312	Prat.g_01341	Syaq.g_00359
OG0000313	Prat.g_01357	Syaq.g_00379
OG0000314	Prat.g_01382	Syaq.g_00408
OG0000315	Prat.g_01392	Syaq.g_00418
OG0000316	Prat.g_01420	Syaq.g_01716
OG0000317	Prat.g_01589	Syaq.g_01675
OG0000318	Prat.g_01593	Syaq.g_01672
OG0000319	Prat.g_01605	Syaq.g_01657
OG0000320	Prat.g_01607	Syaq.g_01655
OG0000321	Prat.g_01608	Syaq.g_01654
OG0000322	Prat.g_01609	Syaq.g_01653
OG0000323	Prat.g_01618	Syaq.g_01638
OG0000324	Prat.g_01647	Syaq.g_01605
OG0000325	Prat.g_01657	Syaq.g_00693
OG0000326	Prat.g_01664	Syaq.g_00686
OG0000327	Prat.g_01685	Syaq.g_00652
OG0000328	Prat.g_01686	Syaq.g_00651
OG0000329	Prat.g_01703	Syaq.g_00633
OG0000330	Prat.g_01704	Syaq.g_00632
OG0000331	Prat.g_01705	Syaq.g_00631
OG0000332	Prat.g_01718	Syaq.g_00616
OG0000333	Prat.g_01720	Syaq.g_00613
OG0000334	Prat.g_01729	Syaq.g_00603
OG0000335	Prat.g_01734	Syaq.g_00598
OG0000336	Prat.g_01738	Syaq.g_00594
OG0000337	Prat.g_01756	Syaq.g_00975
OG0000338	Prat.g_01757	Syaq.g_00981
OG0000339	Prat.g_01762	Syaq.g_00988
OG0000340	Prat.g_01771	Syaq.g_01005
OG0000341	Prat.g_01773	Syaq.g_01007
OG0000342	Prat.g_01775	Syaq.g_01008
OG0000343	Prat.g_01776	Syaq.g_01010
OG0000344	Prat.g_01779	Syaq.g_01014
OG0000345	Prat.g_01785	Syaq.g_01024
OG0000346	Prat.g_01789	Syaq.g_01029
OG0000347	Prat.g_01806	Syaq.g_01057
OG0000348	Prat.g_01814	Syaq.g_01070
OG0000349	Prat.g_01832	Syaq.g_01099
OG0000350	Prat.g_01853	Syaq.g_00679
OG0000351	Prat.g_01873	Syaq.g_01179
OG0000352	Prat.g_01874	Syaq.g_01178
OG0000353	Prat.g_01892	Syaq.g_01151
OG0000354	Prat.g_00845	Syaq.g_01131
OG0000355	Prat.g_00001	Syaq.g_01149
OG0000356	Prat.g_00002	Syaq.g_01148
OG0000357	Prat.g_00003	Syaq.g_01147
OG0000358	Prat.g_00007	Syaq.g_01143
OG0000359	Prat.g_00008	Syaq.g_01141
OG0000360	Prat.g_00009	Syaq.g_01140
OG0000361	Prat.g_00010	Syaq.g_01139
OG0000362	Prat.g_00013	Syaq.g_01137
OG0000363	Prat.g_00015	Syaq.g_01135
OG0000364	Prat.g_00016	Syaq.g_01134
OG0000365	Prat.g_00021	Syaq.g_01125
OG0000366	Prat.g_00022	Syaq.g_01124
OG0000367	Prat.g_00023	Syaq.g_01123
OG0000368	Prat.g_00025	Syaq.g_01121
OG0000369	Prat.g_00026	Syaq.g_01120
OG0000370	Prat.g_00027	Syaq.g_01119
OG0000371	Prat.g_00034	Syaq.g_01111
OG0000372	Prat.g_00036	Syaq.g_01106
OG0000373	Prat.g_00037	Syaq.g_01105
OG0000374	Prat.g_00038	Syaq.g_01104
OG0000375	Prat.g_00042	Syaq.g_01103
OG0000376	Prat.g_00044	Syaq.g_01101
OG0000377	Prat.g_00048	Syaq.g_01270
OG0000378	Prat.g_00052	Syaq.g_01286
OG0000379	Prat.g_00055	Syaq.g_01291
OG0000380	Prat.g_00062	Syaq.g_01560
OG0000381	Prat.g_00067	Syaq.g_01558
OG0000382	Prat.g_00079	Syaq.g_01540
OG0000383	Prat.g_00081	Syaq.g_01535
OG0000384	Prat.g_00082	Syaq.g_01534
OG0000385	Prat.g_00083	Syaq.g_01533
OG0000386	Prat.g_00084	Syaq.g_01532
OG0000387	Prat.g_00096	Syaq.g_01495
OG0000388	Prat.g_00100	Syaq.g_01491
OG0000389	Prat.g_00103	Syaq.g_01488
OG0000390	Prat.g_00112	Syaq.g_01473
OG0000391	Prat.g_00115	Syaq.g_01468
OG0000392	Prat.g_00118	Syaq.g_01463
OG0000393	Prat.g_00122	Syaq.g_01460
OG0000394	Prat.g_00123	Syaq.g_01459
OG0000395	Prat.g_00124	Syaq.g_01458
OG0000396	Prat.g_00126	Syaq.g_01455
OG0000397	Prat.g_00128	Syaq.g_01453
OG0000398	Prat.g_00131	Syaq.g_01448
OG0000399	Prat.g_00132	Syaq.g_01447
OG0000400	Prat.g_00133	Syaq.g_01446
OG0000401	Prat.g_00134	Syaq.g_01445
OG0000402	Prat.g_00601	Syaq.g_01443
OG0000403	Prat.g_00136	Syaq.g_01442
OG0000404	Prat.g_00137	Syaq.g_01440
OG0000405	Prat.g_00141	Syaq.g_01429
OG0000406	Prat.g_00146	Syaq.g_01422
OG0000407	Prat.g_00147	Syaq.g_01421
OG0000408	Prat.g_00149	Syaq.g_01419
OG0000409	Prat.g_00151	Syaq.g_01417
OG0000410	Prat.g_00152	Syaq.g_01416
OG0000411	Prat.g_00153	Syaq.g_01415
OG0000412	Prat.g_00154	Syaq.g_01414
OG0000413	Prat.g_00156	Syaq.g_01412
OG0000414	Prat.g_00157	Syaq.g_01411
OG0000415	Prat.g_00158	Syaq.g_01410
OG0000416	Prat.g_00159	Syaq.g_01409
OG0000417	Prat.g_00160	Syaq.g_01408
OG0000418	Prat.g_00165	Syaq.g_01403
OG0000419	Prat.g_00167	Syaq.g_01401
OG0000420	Prat.g_00169	Syaq.g_01400
OG0000421	Prat.g_00174	Syaq.g_01395
OG0000422	Prat.g_00175	Syaq.g_01394
OG0000423	Prat.g_00176	Syaq.g_01393
OG0000424	Prat.g_00177	Syaq.g_01392
OG0000425	Prat.g_00178	Syaq.g_01391
OG0000426	Prat.g_00179	Syaq.g_01390
OG0000427	Prat.g_00180	Syaq.g_01389
OG0000428	Prat.g_00182	Syaq.g_01386
OG0000429	Prat.g_00183	Syaq.g_01384
OG0000430	Prat.g_00184	Syaq.g_01383
OG0000431	Prat.g_00186	Syaq.g_01380
OG0000432	Prat.g_00190	Syaq.g_01374
OG0000433	Prat.g_00191	Syaq.g_01369
OG0000434	Prat.g_00192	Syaq.g_01368
OG0000435	Prat.g_00193	Syaq.g_01367
OG0000436	Prat.g_00198	Syaq.g_01361
OG0000437	Prat.g_00199	Syaq.g_01360
OG0000438	Prat.g_00200	Syaq.g_01359
OG0000439	Prat.g_00202	Syaq.g_01357
OG0000440	Prat.g_00203	Syaq.g_01356
OG0000441	Prat.g_00206	Syaq.g_01352
OG0000442	Prat.g_00207	Syaq.g_01350
OG0000443	Prat.g_00208	Syaq.g_01347
OG0000444	Prat.g_00213	Syaq.g_01333
OG0000445	Prat.g_00214	Syaq.g_01332
OG0000446	Prat.g_00215	Syaq.g_01330
OG0000447	Prat.g_00216	Syaq.g_01328
OG0000448	Prat.g_00217	Syaq.g_01327
OG0000449	Prat.g_00218	Syaq.g_01320
OG0000450	Prat.g_00219	Syaq.g_01313
OG0000451	Prat.g_00220	Syaq.g_01312
OG0000452	Prat.g_00223	Syaq.g_01308
OG0000453	Prat.g_00224	Syaq.g_01307
OG0000454	Prat.g_00225	Syaq.g_01306
OG0000455	Prat.g_00226	Syaq.g_01305
OG0000456	Prat.g_00227	Syaq.g_01304
OG0000457	Prat.g_00229	Syaq.g_01302
OG0000458	Prat.g_00230	Syaq.g_01299
OG0000459	Prat.g_00231	Syaq.g_01298
OG0000460	Prat.g_00240	Syaq.g_01577
OG0000461	Prat.g_00249	Syaq.g_00707
OG0000462	Prat.g_00250	Syaq.g_00710
OG0000463	Prat.g_00251	Syaq.g_00711
OG0000464	Prat.g_00252	Syaq.g_00712
OG0000465	Prat.g_00253	Syaq.g_00714
OG0000466	Prat.g_00256	Syaq.g_00718
OG0000467	Prat.g_00257	Syaq.g_00720
OG0000468	Prat.g_00260	Syaq.g_00725
OG0000469	Prat.g_00269	Syaq.g_00739
OG0000470	Prat.g_00271	Syaq.g_00741
OG0000471	Prat.g_00272	Syaq.g_00742
OG0000472	Prat.g_00273	Syaq.g_00744
OG0000473	Prat.g_00275	Syaq.g_00746
OG0000474	Prat.g_00276	Syaq.g_00747
OG0000475	Prat.g_00277	Syaq.g_00748
OG0000476	Prat.g_00279	Syaq.g_00750
OG0000477	Prat.g_00282	Syaq.g_00756
OG0000478	Prat.g_00283	Syaq.g_00757
OG0000479	Prat.g_00284	Syaq.g_00759
OG0000480	Prat.g_00290	Syaq.g_00766
OG0000481	Prat.g_00292	Syaq.g_00768
OG0000482	Prat.g_00293	Syaq.g_00769
OG0000483	Prat.g_00296	Syaq.g_00773
OG0000484	Prat.g_00297	Syaq.g_00774
OG0000485	Prat.g_00298	Syaq.g_00775
OG0000486	Prat.g_00299	Syaq.g_00776
OG0000487	Prat.g_00303	Syaq.g_00782
OG0000488	Prat.g_00306	Syaq.g_00845
OG0000489	Prat.g_00311	Syaq.g_00857
OG0000490	Prat.g_00315	Syaq.g_00864
OG0000491	Prat.g_00316	Syaq.g_00865
OG0000492	Prat.g_00318	Syaq.g_00869
OG0000493	Prat.g_00319	Syaq.g_00870
OG0000494	Prat.g_00320	Syaq.g_00871
OG0000495	Prat.g_00321	Syaq.g_00872
OG0000496	Prat.g_00322	Syaq.g_00873
OG0000497	Prat.g_00323	Syaq.g_00874
OG0000498	Prat.g_00324	Syaq.g_00875
OG0000499	Prat.g_00325	Syaq.g_00876
OG0000500	Prat.g_00326	Syaq.g_00877
OG0000501	Prat.g_00328	Syaq.g_00880
OG0000502	Prat.g_00331	Syaq.g_00953
OG0000503	Prat.g_00348	Syaq.g_00559
OG0000504	Prat.g_00350	Syaq.g_00557
OG0000505	Prat.g_00351	Syaq.g_00556
OG0000506	Prat.g_00352	Syaq.g_00554
OG0000507	Prat.g_00355	Syaq.g_00548
OG0000508	Prat.g_00359	Syaq.g_00544
OG0000509	Prat.g_00361	Syaq.g_00542
OG0000510	Prat.g_00362	Syaq.g_00538
OG0000511	Prat.g_00363	Syaq.g_00537
OG0000512	Prat.g_00365	Syaq.g_00535
OG0000513	Prat.g_00373	Syaq.g_00525
OG0000514	Prat.g_00390	Syaq.g_00514
OG0000515	Prat.g_00391	Syaq.g_00513
OG0000516	Prat.g_00392	Syaq.g_00509
OG0000517	Prat.g_00395	Syaq.g_00502
OG0000518	Prat.g_00407	Syaq.g_00490
OG0000519	Prat.g_00408	Syaq.g_00489
OG0000520	Prat.g_00410	Syaq.g_00488
OG0000521	Prat.g_00415	Syaq.g_00477
OG0000522	Prat.g_00417	Syaq.g_00475
OG0000523	Prat.g_00418	Syaq.g_00474
OG0000524	Prat.g_00424	Syaq.g_00469
OG0000525	Prat.g_00428	Syaq.g_00450
OG0000526	Prat.g_00429	Syaq.g_00448
OG0000527	Prat.g_00432	Syaq.g_00444
OG0000528	Prat.g_00438	Syaq.g_01768
OG0000529	Prat.g_00441	Syaq.g_01773
OG0000530	Prat.g_00444	Syaq.g_01776
OG0000531	Prat.g_00445	Syaq.g_01777
OG0000532	Prat.g_00447	Syaq.g_01780
OG0000533	Prat.g_00448	Syaq.g_01782
OG0000534	Prat.g_00449	Syaq.g_01783
OG0000535	Prat.g_00450	Syaq.g_01784
OG0000536	Prat.g_00451	Syaq.g_01785
OG0000537	Prat.g_00453	Syaq.g_01786
OG0000538	Prat.g_00463	Syaq.g_01798
OG0000539	Prat.g_00464	Syaq.g_01799
OG0000540	Prat.g_00465	Syaq.g_01800
OG0000541	Prat.g_00466	Syaq.g_01801
OG0000542	Prat.g_00468	Syaq.g_01804
OG0000543	Prat.g_00470	Syaq.g_01806
OG0000544	Prat.g_00471	Syaq.g_02567
OG0000545	Prat.g_00473	Syaq.g_01809
OG0000546	Prat.g_00476	Syaq.g_01811
OG0000547	Prat.g_00478	Syaq.g_01813
OG0000548	Prat.g_00479	Syaq.g_01814
OG0000549	Prat.g_00482	Syaq.g_01819
OG0000550	Prat.g_00486	Syaq.g_01824
OG0000551	Prat.g_00489	Syaq.g_01829
OG0000552	Prat.g_00490	Syaq.g_01830
OG0000553	Prat.g_00491	Syaq.g_01834
OG0000554	Prat.g_00496	Syaq.g_01839
OG0000555	Prat.g_00503	Syaq.g_01857
OG0000556	Prat.g_00505	Syaq.g_01925
OG0000557	Prat.g_00506	Syaq.g_01927
OG0000558	Prat.g_00508	Syaq.g_01929
OG0000559	Prat.g_00512	Syaq.g_01933
OG0000560	Prat.g_00516	Syaq.g_01936
OG0000561	Prat.g_00517	Syaq.g_01937
OG0000562	Prat.g_00518	Syaq.g_01938
OG0000563	Prat.g_00519	Syaq.g_01939
OG0000564	Prat.g_00520	Syaq.g_01940
OG0000565	Prat.g_00523	Syaq.g_01943
OG0000566	Prat.g_00527	Syaq.g_01947
OG0000567	Prat.g_00531	Syaq.g_01951
OG0000568	Prat.g_00532	Syaq.g_01954
OG0000569	Prat.g_00533	Syaq.g_01955
OG0000570	Prat.g_00534	Syaq.g_01956
OG0000571	Prat.g_00537	Syaq.g_01960
OG0000572	Prat.g_00549	Syaq.g_01977
OG0000573	Prat.g_00554	Syaq.g_01985
OG0000574	Prat.g_00555	Syaq.g_01986
OG0000575	Prat.g_00559	Syaq.g_01991
OG0000576	Prat.g_00561	Syaq.g_01993
OG0000577	Prat.g_00562	Syaq.g_01994
OG0000578	Prat.g_00563	Syaq.g_01995
