Orthogroup	Pral	Prad
OG0000075	Pral.g_01495	Prad.g_01153
OG0000076	Pral.g_01561	Prad.g_01018
OG0000078	Pral.g_01201	Prad.g_00566
OG0000079	Pral.g_01073	Prad.g_00436
OG0000080	Pral.g_00065	Prad.g_00383
OG0000081	Pral.g_00277	Prad.g_00777
OG0000082	Pral.g_00370	Prad.g_01570
OG0000083	Pral.g_00413	Prad.g_01533
OG0000084	Pral.g_00416	Prad.g_01530
OG0000085	Pral.g_01021	Prad.g_01963
OG0000086	Pral.g_01886	Prad.g_00675
OG0000087	Pral.g_00993	Prad.g_01937
OG0000088	Pral.g_00932	Prad.g_00011
OG0000089	Pral.g_00923	Prad.g_01872
OG0000090	Pral.g_00906	Prad.g_01854
OG0000091	Pral.g_00874	Prad.g_01822
OG0000092	Pral.g_00873	Prad.g_01821
OG0000093	Pral.g_00860	Prad.g_01807
OG0000094	Pral.g_00842	Prad.g_01789
OG0000095	Pral.g_00837	Prad.g_01784
OG0000096	Pral.g_00788	Prad.g_01740
OG0000097	Pral.g_00765	Prad.g_01717
OG0000099	Pral.g_00744	Prad.g_01697
OG0000100	Pral.g_00741	Prad.g_01694
OG0000101	Pral.g_00674	Prad.g_00754
OG0000102	Pral.g_01034	Prad.g_00727
OG0000103	Pral.g_00616	Prad.g_00031
OG0000104	Pral.g_00611	Prad.g_00027
OG0000105	Pral.g_00591	Prad.g_00130
OG0000106	Pral.g_00558	Prad.g_00097
OG0000107	Pral.g_00557	Prad.g_00096
OG0000108	Pral.g_00547	Prad.g_01333
OG0000109	Pral.g_00538	Prad.g_01342
OG0000110	Pral.g_00520	Prad.g_01358
OG0000111	Pral.g_01452	Prad.g_01225
OG0000112	Pral.g_01453	Prad.g_01226
OG0000113	Pral.g_01705	Prad.g_01071
OG0000114	Pral.g_01486	Prad.g_01144
OG0000115	Pral.g_01627	Prad.g_00186
OG0000116	Pral.g_01623	Prad.g_00182
OG0000117	Pral.g_01564	Prad.g_01021
OG0000118	Pral.g_01316	Prad.g_00972
OG0000119	Pral.g_00075	Prad.g_01526
OG0000120	Pral.g_01373, Pral.g_01187	Prad.g_01490
OG0000121	Pral.g_01400	Prad.g_01471, Prad.g_01470
OG0000122	Pral.g_01420	Prad.g_01451
OG0000123	Pral.g_00455	Prad.g_01438
OG0000124	Pral.g_01064	Prad.g_00076
OG0000125	Pral.g_01269	Prad.g_00616
OG0000126	Pral.g_01222	Prad.g_00594
OG0000127	Pral.g_01179	Prad.g_00528
OG0000128	Pral.g_01160	Prad.g_00514
OG0000129	Pral.g_01123	Prad.g_00477
OG0000130	Pral.g_00104	Prad.g_00943
OG0000131	Pral.g_00143	Prad.g_00905
OG0000132	Pral.g_00146	Prad.g_00902
OG0000133	Pral.g_00201	Prad.g_00848
OG0000134	Pral.g_00237	Prad.g_00812
OG0000135	Pral.g_00239	Prad.g_00810
OG0000136	Pral.g_00289	Prad.g_00766
OG0000136	Pral.g_00289	Prad.g_01294
OG0000137	Pral.g_00323	Prad.g_01615
OG0000138	Pral.g_00358	Prad.g_01580
OG0000139	Pral.g_00390	Prad.g_01553
OG0000140	Pral.g_00411	Prad.g_01535
OG0000141	Pral.g_00412	Prad.g_01534
OG0000142	Pral.g_00414	Prad.g_01532
OG0000143	Pral.g_00415	Prad.g_01531
OG0000144	Pral.g_00417	Prad.g_01529
OG0000145	Pral.g_00418	Prad.g_01528
OG0000146	Pral.g_00419	Prad.g_01527
OG0000147	Pral.g_00420	Prad.g_01976
OG0000148	Pral.g_00422	Prad.g_01974
OG0000149	Pral.g_01030	Prad.g_01972
OG0000150	Pral.g_01029	Prad.g_01971
OG0000151	Pral.g_01028	Prad.g_01970
OG0000152	Pral.g_01027	Prad.g_01969
OG0000153	Pral.g_01026	Prad.g_01968
OG0000154	Pral.g_01025	Prad.g_01967
OG0000155	Pral.g_01024	Prad.g_01966
OG0000156	Pral.g_01023	Prad.g_01965
OG0000157	Pral.g_01022	Prad.g_01964
OG0000158	Pral.g_01020	Prad.g_01962
OG0000159	Pral.g_01019	Prad.g_01961
OG0000160	Pral.g_01018	Prad.g_01960
OG0000161	Pral.g_01017	Prad.g_01959
OG0000162	Pral.g_01016	Prad.g_01958
OG0000163	Pral.g_01014	Prad.g_01957
OG0000164	Pral.g_01011	Prad.g_01954
OG0000165	Pral.g_01009	Prad.g_01951
OG0000166	Pral.g_01008	Prad.g_01950
OG0000167	Pral.g_01007	Prad.g_01949
OG0000168	Pral.g_01005	Prad.g_01947
OG0000169	Pral.g_01003	Prad.g_01945
OG0000170	Pral.g_01001	Prad.g_01944
OG0000171	Pral.g_01000	Prad.g_01943
OG0000172	Pral.g_00999	Prad.g_01941
OG0000173	Pral.g_00996	Prad.g_01940
OG0000174	Pral.g_00995	Prad.g_01939
OG0000175	Pral.g_00994	Prad.g_01938
OG0000176	Pral.g_00992	Prad.g_01936
OG0000177	Pral.g_00991	Prad.g_01935
OG0000178	Pral.g_00990	Prad.g_01934
OG0000179	Pral.g_00984	Prad.g_01929
OG0000180	Pral.g_00983	Prad.g_01928
OG0000181	Pral.g_00982	Prad.g_01927
OG0000182	Pral.g_00978	Prad.g_01924
OG0000183	Pral.g_00977	Prad.g_01923
OG0000184	Pral.g_00974	Prad.g_01920
OG0000185	Pral.g_00970	Prad.g_01916
OG0000186	Pral.g_00969	Prad.g_01915
OG0000187	Pral.g_00048	Prad.g_01914
OG0000188	Pral.g_00968	Prad.g_01913
OG0000189	Pral.g_00966	Prad.g_01912
OG0000190	Pral.g_00965	Prad.g_01911
OG0000191	Pral.g_00964	Prad.g_01910
OG0000192	Pral.g_00963	Prad.g_01909
OG0000193	Pral.g_00962	Prad.g_01908
OG0000194	Pral.g_00961	Prad.g_01907
OG0000195	Pral.g_00959	Prad.g_01905
OG0000196	Pral.g_00958	Prad.g_01904
OG0000197	Pral.g_00957	Prad.g_01903
OG0000198	Pral.g_00956	Prad.g_01902
OG0000199	Pral.g_00953	Prad.g_01899
OG0000200	Pral.g_00952	Prad.g_01898
OG0000201	Pral.g_00951	Prad.g_01897
OG0000202	Pral.g_00950	Prad.g_01896
OG0000203	Pral.g_00949	Prad.g_01895
OG0000204	Pral.g_00948	Prad.g_01894
OG0000205	Pral.g_00946	Prad.g_01893
OG0000206	Pral.g_00945	Prad.g_01892
OG0000207	Pral.g_00944	Prad.g_01891
OG0000208	Pral.g_00943	Prad.g_01890
OG0000209	Pral.g_00942	Prad.g_01889
OG0000210	Pral.g_00941	Prad.g_01887
OG0000211	Pral.g_00940	Prad.g_01886
OG0000212	Pral.g_00939	Prad.g_01885
OG0000213	Pral.g_00938	Prad.g_01884
OG0000214	Pral.g_00934	Prad.g_01882
OG0000215	Pral.g_00933	Prad.g_01881
OG0000216	Pral.g_00931	Prad.g_01879
OG0000217	Pral.g_00930	Prad.g_01878
OG0000218	Pral.g_00929	Prad.g_01877
OG0000219	Pral.g_00928	Prad.g_01876
OG0000220	Pral.g_00925	Prad.g_01873
OG0000221	Pral.g_00922	Prad.g_01871
OG0000222	Pral.g_00921	Prad.g_01870
OG0000223	Pral.g_00920	Prad.g_01869
OG0000224	Pral.g_00918	Prad.g_01866
OG0000225	Pral.g_00916	Prad.g_01864
OG0000226	Pral.g_00914	Prad.g_01863
OG0000227	Pral.g_00913	Prad.g_01862
OG0000228	Pral.g_00912	Prad.g_01861
OG0000229	Pral.g_00911	Prad.g_01860
OG0000230	Pral.g_00910	Prad.g_01859
OG0000231	Pral.g_00450	Prad.g_01857
OG0000232	Pral.g_00908	Prad.g_01856
OG0000233	Pral.g_00905	Prad.g_01853
OG0000234	Pral.g_00903	Prad.g_01851
OG0000235	Pral.g_00900	Prad.g_01846
OG0000236	Pral.g_00899	Prad.g_01845
OG0000237	Pral.g_00898	Prad.g_01844
OG0000238	Pral.g_00897	Prad.g_01843
OG0000239	Pral.g_00896	Prad.g_01842
OG0000240	Pral.g_00894	Prad.g_01840
OG0000241	Pral.g_00893	Prad.g_01839
OG0000242	Pral.g_00892	Prad.g_01838
OG0000243	Pral.g_00891	Prad.g_01837
OG0000244	Pral.g_00890	Prad.g_01836
OG0000245	Pral.g_00888	Prad.g_01835
OG0000246	Pral.g_00886	Prad.g_01833
OG0000247	Pral.g_00885	Prad.g_01832
OG0000248	Pral.g_00884	Prad.g_01831
OG0000249	Pral.g_00883	Prad.g_01830
OG0000250	Pral.g_00882	Prad.g_01829
OG0000251	Pral.g_00881	Prad.g_01828
OG0000252	Pral.g_00880	Prad.g_01827
OG0000253	Pral.g_00879	Prad.g_01826
OG0000254	Pral.g_00877	Prad.g_01824
OG0000255	Pral.g_00875	Prad.g_01823
OG0000256	Pral.g_00872	Prad.g_01820
OG0000257	Pral.g_00871	Prad.g_01818
OG0000258	Pral.g_00870	Prad.g_01817
OG0000259	Pral.g_00869	Prad.g_01816
OG0000260	Pral.g_00868	Prad.g_01815
OG0000261	Pral.g_00867	Prad.g_01814
OG0000262	Pral.g_00866	Prad.g_01813
OG0000263	Pral.g_00865	Prad.g_01812
OG0000264	Pral.g_00863	Prad.g_01810
OG0000265	Pral.g_00862	Prad.g_01809
OG0000266	Pral.g_00861	Prad.g_01808
OG0000267	Pral.g_00859	Prad.g_01806
OG0000268	Pral.g_00857	Prad.g_01805
OG0000269	Pral.g_00856	Prad.g_01804
OG0000270	Pral.g_00855	Prad.g_01803
OG0000271	Pral.g_00854	Prad.g_01802
OG0000272	Pral.g_00853	Prad.g_01801
OG0000273	Pral.g_00852	Prad.g_01800
OG0000274	Pral.g_00851	Prad.g_01799
OG0000275	Pral.g_00850	Prad.g_01798
OG0000276	Pral.g_00849	Prad.g_01797
OG0000277	Pral.g_00848	Prad.g_01796
OG0000278	Pral.g_00847	Prad.g_01795
OG0000279	Pral.g_00846	Prad.g_01794
OG0000280	Pral.g_00845	Prad.g_01793
OG0000281	Pral.g_00844	Prad.g_01791
OG0000282	Pral.g_00843	Prad.g_01790
OG0000283	Pral.g_00840	Prad.g_01787
OG0000284	Pral.g_00839	Prad.g_01786
OG0000285	Pral.g_00838	Prad.g_01785
OG0000286	Pral.g_00836	Prad.g_01783
OG0000287	Pral.g_00835	Prad.g_01782
OG0000288	Pral.g_00834	Prad.g_01781
OG0000289	Pral.g_00833	Prad.g_01780
OG0000290	Pral.g_00832	Prad.g_01779
OG0000291	Pral.g_00831	Prad.g_01778
OG0000292	Pral.g_00830	Prad.g_01777
OG0000293	Pral.g_00829	Prad.g_01776
OG0000294	Pral.g_00828	Prad.g_01775
OG0000295	Pral.g_00827	Prad.g_01774
OG0000296	Pral.g_00826	Prad.g_01773
OG0000297	Pral.g_00825	Prad.g_01772
OG0000298	Pral.g_00824	Prad.g_01771
OG0000299	Pral.g_00823	Prad.g_01770
OG0000300	Pral.g_00822	Prad.g_01769
OG0000301	Pral.g_00821	Prad.g_01768
OG0000302	Pral.g_00820	Prad.g_01767
OG0000303	Pral.g_00819	Prad.g_01766
OG0000304	Pral.g_00817	Prad.g_01765
OG0000305	Pral.g_00816	Prad.g_01764
OG0000306	Pral.g_00815	Prad.g_01763
OG0000307	Pral.g_00812	Prad.g_01762
OG0000308	Pral.g_00811	Prad.g_01761
OG0000309	Pral.g_00810	Prad.g_01760
OG0000310	Pral.g_00809	Prad.g_01759
OG0000311	Pral.g_00807	Prad.g_01758
OG0000312	Pral.g_00805	Prad.g_01756
OG0000313	Pral.g_00804	Prad.g_01755
OG0000314	Pral.g_00800	Prad.g_01752
OG0000315	Pral.g_00799	Prad.g_01751
OG0000316	Pral.g_00796	Prad.g_01749
OG0000317	Pral.g_00795	Prad.g_01747
OG0000318	Pral.g_00794	Prad.g_01746
OG0000319	Pral.g_00793	Prad.g_01745
OG0000320	Pral.g_00792	Prad.g_01744
OG0000321	Pral.g_00789	Prad.g_01741
OG0000322	Pral.g_00785	Prad.g_01738
OG0000323	Pral.g_00784	Prad.g_01737
OG0000324	Pral.g_00781	Prad.g_01734
OG0000325	Pral.g_00780	Prad.g_01732
OG0000326	Pral.g_00779	Prad.g_01731
OG0000327	Pral.g_00777	Prad.g_01729
OG0000328	Pral.g_00776	Prad.g_01728
OG0000329	Pral.g_00775	Prad.g_01727
OG0000330	Pral.g_00774	Prad.g_01726
OG0000331	Pral.g_00773	Prad.g_01725
OG0000332	Pral.g_00772	Prad.g_01724
OG0000333	Pral.g_00771	Prad.g_01723
OG0000334	Pral.g_00770	Prad.g_01722
OG0000335	Pral.g_00769	Prad.g_01721
OG0000336	Pral.g_00767	Prad.g_01720
OG0000337	Pral.g_00764	Prad.g_01716
OG0000338	Pral.g_00763	Prad.g_01715
OG0000339	Pral.g_00762	Prad.g_01714
OG0000340	Pral.g_00761	Prad.g_01713
OG0000341	Pral.g_00756	Prad.g_01709
OG0000342	Pral.g_00755	Prad.g_01708
OG0000343	Pral.g_00753	Prad.g_01706
OG0000344	Pral.g_00752	Prad.g_01705
OG0000345	Pral.g_00751	Prad.g_01704
OG0000346	Pral.g_00750	Prad.g_01703
OG0000347	Pral.g_00749	Prad.g_01702
OG0000348	Pral.g_00748	Prad.g_01701
OG0000349	Pral.g_00747	Prad.g_01700
OG0000350	Pral.g_00746	Prad.g_01699
OG0000351	Pral.g_00743	Prad.g_01696
OG0000352	Pral.g_00740	Prad.g_01693
OG0000353	Pral.g_00739	Prad.g_01692
OG0000354	Pral.g_00738	Prad.g_01691
OG0000355	Pral.g_00737	Prad.g_01690
OG0000356	Pral.g_00736	Prad.g_01689
OG0000357	Pral.g_00735	Prad.g_01688
OG0000358	Pral.g_00734	Prad.g_01687
OG0000359	Pral.g_00733	Prad.g_01686
OG0000360	Pral.g_00731	Prad.g_01683
OG0000361	Pral.g_00730	Prad.g_01682
OG0000362	Pral.g_00729	Prad.g_01681
OG0000363	Pral.g_00728	Prad.g_01680
OG0000364	Pral.g_00727	Prad.g_01679
OG0000365	Pral.g_00726	Prad.g_01678
OG0000366	Pral.g_00725	Prad.g_01677
OG0000367	Pral.g_00724	Prad.g_01676
OG0000368	Pral.g_00723	Prad.g_01675
OG0000369	Pral.g_00722	Prad.g_01674
OG0000370	Pral.g_00721	Prad.g_01673
OG0000371	Pral.g_00720	Prad.g_01672
OG0000372	Pral.g_00718	Prad.g_01670
OG0000373	Pral.g_00716	Prad.g_01668
OG0000374	Pral.g_00715	Prad.g_01667
OG0000375	Pral.g_00714	Prad.g_01666
OG0000376	Pral.g_00712	Prad.g_01664
OG0000377	Pral.g_00706	Prad.g_01663
OG0000378	Pral.g_00705	Prad.g_01662
OG0000379	Pral.g_00698	Prad.g_01657
OG0000380	Pral.g_00696	Prad.g_01656
OG0000381	Pral.g_00695	Prad.g_01655
OG0000382	Pral.g_00694	Prad.g_01653
OG0000383	Pral.g_00691	Prad.g_01650
OG0000384	Pral.g_00690	Prad.g_01649
OG0000385	Pral.g_00687	Prad.g_01646
OG0000386	Pral.g_00686	Prad.g_01645
OG0000387	Pral.g_00685	Prad.g_01644
OG0000388	Pral.g_00684	Prad.g_01643
OG0000389	Pral.g_00683	Prad.g_01642
OG0000390	Pral.g_00682	Prad.g_00761
OG0000391	Pral.g_00681	Prad.g_00760
OG0000392	Pral.g_00680	Prad.g_00759
OG0000393	Pral.g_00677	Prad.g_00756
OG0000394	Pral.g_00676	Prad.g_00755
OG0000395	Pral.g_00673	Prad.g_00753
OG0000396	Pral.g_01541	Prad.g_00752
OG0000397	Pral.g_01322	Prad.g_00738
OG0000398	Pral.g_01039	Prad.g_00730
OG0000399	Pral.g_01840	Prad.g_00729
OG0000400	Pral.g_00171	Prad.g_00724
OG0000401	Pral.g_00663	Prad.g_00671
OG0000402	Pral.g_00662	Prad.g_00670
OG0000403	Pral.g_00661	Prad.g_00669
OG0000404	Pral.g_00659	Prad.g_00667
OG0000405	Pral.g_00658	Prad.g_00666
OG0000406	Pral.g_00656	Prad.g_00069
OG0000407	Pral.g_00655	Prad.g_00068
OG0000408	Pral.g_00654	Prad.g_00067
OG0000409	Pral.g_00653	Prad.g_00066
OG0000410	Pral.g_00651	Prad.g_00065
OG0000411	Pral.g_00650	Prad.g_00064
OG0000412	Pral.g_00649	Prad.g_00063
OG0000413	Pral.g_00648	Prad.g_00062
OG0000414	Pral.g_00647	Prad.g_00061
OG0000415	Pral.g_00646	Prad.g_00060
OG0000416	Pral.g_00645	Prad.g_00059
OG0000417	Pral.g_00644	Prad.g_00058
OG0000418	Pral.g_00643	Prad.g_00057
OG0000419	Pral.g_00642	Prad.g_00056
OG0000420	Pral.g_00641	Prad.g_00055
OG0000421	Pral.g_00635	Prad.g_00054
OG0000422	Pral.g_00633	Prad.g_00052
OG0000423	Pral.g_00632	Prad.g_00051
OG0000424	Pral.g_00631	Prad.g_00049
OG0000425	Pral.g_00627	Prad.g_00045
OG0000426	Pral.g_00626	Prad.g_00044
OG0000427	Pral.g_00625	Prad.g_00043
OG0000428	Pral.g_00623	Prad.g_00042
OG0000429	Pral.g_00622	Prad.g_00041
OG0000430	Pral.g_00621	Prad.g_00036
OG0000431	Pral.g_00619	Prad.g_00034
OG0000432	Pral.g_00618	Prad.g_00033
OG0000433	Pral.g_00615	Prad.g_00030
OG0000434	Pral.g_00613	Prad.g_00029
OG0000435	Pral.g_00612	Prad.g_00028
OG0000436	Pral.g_00610	Prad.g_00026
OG0000437	Pral.g_00608	Prad.g_00024
OG0000438	Pral.g_00607	Prad.g_00023
OG0000439	Pral.g_00606	Prad.g_00022
OG0000440	Pral.g_00603	Prad.g_00020
OG0000441	Pral.g_00602	Prad.g_00019
OG0000442	Pral.g_00601	Prad.g_00018
OG0000443	Pral.g_00600	Prad.g_00017
OG0000444	Pral.g_00599	Prad.g_00016
OG0000445	Pral.g_00598	Prad.g_00015
OG0000446	Pral.g_00597	Prad.g_00014
OG0000447	Pral.g_00596	Prad.g_00013
OG0000448	Pral.g_00595	Prad.g_00012
OG0000449	Pral.g_00590	Prad.g_00129
OG0000450	Pral.g_00589	Prad.g_00128
OG0000451	Pral.g_00588	Prad.g_00127
OG0000452	Pral.g_00587	Prad.g_00126
OG0000453	Pral.g_00585	Prad.g_00124
OG0000454	Pral.g_00584	Prad.g_00123
OG0000455	Pral.g_00583	Prad.g_00122
OG0000456	Pral.g_00582	Prad.g_00121
OG0000457	Pral.g_00580	Prad.g_00119
OG0000458	Pral.g_00578	Prad.g_00117
OG0000459	Pral.g_00577	Prad.g_00116
OG0000460	Pral.g_00575	Prad.g_00114
OG0000461	Pral.g_00574	Prad.g_00113
OG0000462	Pral.g_00573	Prad.g_00112
OG0000463	Pral.g_00571	Prad.g_00111
OG0000464	Pral.g_00566	Prad.g_00106
OG0000465	Pral.g_00565	Prad.g_00104
OG0000466	Pral.g_00564	Prad.g_00103
OG0000467	Pral.g_00563	Prad.g_00102
OG0000468	Pral.g_00562	Prad.g_00101
OG0000469	Pral.g_00561	Prad.g_00100
OG0000470	Pral.g_00560	Prad.g_00099
OG0000471	Pral.g_00559	Prad.g_00098
OG0000472	Pral.g_00556	Prad.g_00095
OG0000473	Pral.g_00555	Prad.g_00094
OG0000474	Pral.g_00554	Prad.g_00093
OG0000475	Pral.g_00553	Prad.g_00092
OG0000476	Pral.g_00552	Prad.g_00091
OG0000477	Pral.g_00550	Prad.g_01330
OG0000478	Pral.g_00549	Prad.g_01331
OG0000479	Pral.g_00548	Prad.g_01332
OG0000480	Pral.g_00546	Prad.g_01334
OG0000481	Pral.g_00545	Prad.g_01335
OG0000482	Pral.g_00544	Prad.g_01336
OG0000483	Pral.g_00543	Prad.g_01337
OG0000484	Pral.g_00542	Prad.g_01338
OG0000485	Pral.g_00541	Prad.g_01339
OG0000486	Pral.g_00540	Prad.g_01340
OG0000487	Pral.g_00539	Prad.g_01341
OG0000488	Pral.g_00537	Prad.g_01343
OG0000489	Pral.g_00536	Prad.g_01344
OG0000490	Pral.g_00535	Prad.g_01345
OG0000491	Pral.g_00534	Prad.g_01346
OG0000492	Pral.g_00533	Prad.g_01347
OG0000493	Pral.g_00532	Prad.g_01348
OG0000494	Pral.g_00530	Prad.g_01350
OG0000495	Pral.g_00529	Prad.g_01351
OG0000496	Pral.g_00527	Prad.g_01352
OG0000497	Pral.g_00525	Prad.g_01353
OG0000498	Pral.g_00524	Prad.g_01354
OG0000499	Pral.g_00522	Prad.g_01356
OG0000500	Pral.g_00521	Prad.g_01357
OG0000501	Pral.g_00519	Prad.g_01359
OG0000502	Pral.g_00518	Prad.g_01360
OG0000503	Pral.g_00516	Prad.g_01361
OG0000504	Pral.g_00515	Prad.g_01362
OG0000505	Pral.g_00514	Prad.g_01363
OG0000506	Pral.g_00513	Prad.g_01364
OG0000507	Pral.g_00512	Prad.g_01365
OG0000508	Pral.g_00510	Prad.g_01367
OG0000509	Pral.g_00509	Prad.g_01368
OG0000510	Pral.g_00508	Prad.g_01369
OG0000511	Pral.g_00507	Prad.g_01370
OG0000512	Pral.g_00506	Prad.g_01371
OG0000513	Pral.g_00505	Prad.g_01372
OG0000514	Pral.g_00504	Prad.g_01373
OG0000515	Pral.g_00503	Prad.g_01375
OG0000516	Pral.g_00502	Prad.g_01376
OG0000517	Pral.g_00501	Prad.g_01377
OG0000518	Pral.g_00498	Prad.g_01380
OG0000519	Pral.g_00497	Prad.g_01381
OG0000520	Pral.g_00496	Prad.g_01382
OG0000521	Pral.g_00495	Prad.g_01383
OG0000522	Pral.g_00494	Prad.g_01384
OG0000523	Pral.g_00493	Prad.g_01385
OG0000524	Pral.g_00492	Prad.g_01386
OG0000525	Pral.g_00490	Prad.g_01388
OG0000526	Pral.g_00489	Prad.g_01389
OG0000527	Pral.g_00488	Prad.g_01390
OG0000528	Pral.g_00487	Prad.g_01391
OG0000529	Pral.g_00486	Prad.g_01392
OG0000530	Pral.g_00485	Prad.g_01393
OG0000531	Pral.g_00483	Prad.g_01394
OG0000532	Pral.g_00482	Prad.g_01395
OG0000533	Pral.g_00481	Prad.g_01396
OG0000534	Pral.g_00480	Prad.g_01397
OG0000535	Pral.g_00479	Prad.g_01398
OG0000536	Pral.g_00478	Prad.g_01399
OG0000537	Pral.g_00477	Prad.g_01400
OG0000538	Pral.g_00476	Prad.g_01401
OG0000539	Pral.g_00475	Prad.g_01402
OG0000540	Pral.g_00474	Prad.g_01403
OG0000541	Pral.g_00472	Prad.g_01404
OG0000542	Pral.g_00471	Prad.g_01405
OG0000543	Pral.g_00470	Prad.g_01406
OG0000544	Pral.g_00469	Prad.g_01407
OG0000545	Pral.g_00466	Prad.g_01410
OG0000546	Pral.g_00465	Prad.g_01411
OG0000547	Pral.g_00464	Prad.g_01413
OG0000548	Pral.g_00462	Prad.g_01414
OG0000549	Pral.g_00461	Prad.g_01415
OG0000550	Pral.g_00460	Prad.g_01416
OG0000551	Pral.g_00459	Prad.g_01417
OG0000552	Pral.g_00458	Prad.g_01418
OG0000553	Pral.g_01430	Prad.g_01419
OG0000554	Pral.g_01432	Prad.g_01420
OG0000555	Pral.g_01433	Prad.g_01421
OG0000556	Pral.g_01434	Prad.g_01422
OG0000557	Pral.g_01435	Prad.g_01423
OG0000558	Pral.g_01436	Prad.g_01424
OG0000559	Pral.g_01437	Prad.g_01425
OG0000560	Pral.g_01439	Prad.g_01427
OG0000561	Pral.g_01440	Prad.g_01428
OG0000562	Pral.g_01441	Prad.g_01429
OG0000563	Pral.g_01442	Prad.g_01430
OG0000564	Pral.g_01443	Prad.g_01431
OG0000565	Pral.g_01444	Prad.g_01432
OG0000566	Pral.g_01445	Prad.g_01433
OG0000567	Pral.g_01446	Prad.g_01219
OG0000568	Pral.g_01447	Prad.g_01220
OG0000569	Pral.g_01448	Prad.g_01221
OG0000570	Pral.g_01449	Prad.g_01222
OG0000571	Pral.g_01450	Prad.g_01223
OG0000572	Pral.g_01451	Prad.g_01224
OG0000573	Pral.g_01454	Prad.g_01227
OG0000574	Pral.g_01455	Prad.g_01228
OG0000575	Pral.g_01456	Prad.g_01229
OG0000576	Pral.g_01457	Prad.g_01230
OG0000577	Pral.g_01458	Prad.g_01231
OG0000578	Pral.g_01459	Prad.g_01232
OG0000579	Pral.g_01460	Prad.g_01233
OG0000580	Pral.g_01461	Prad.g_01234
