Orthogroup	Pram	Prbc
OG0000186	Pram.g_00063	Prbc.g_00495
OG0000187	Pram.g_01536	Prbc.g_00494
OG0000188	Pram.g_00064	Prbc.g_00493
OG0000189	Pram.g_00065	Prbc.g_00492
OG0000190	Pram.g_00066	Prbc.g_00491
OG0000191	Pram.g_00067	Prbc.g_00490
OG0000192	Pram.g_00068	Prbc.g_00489
OG0000193	Pram.g_00069	Prbc.g_00488
OG0000194	Pram.g_00070	Prbc.g_00487
OG0000195	Pram.g_00072	Prbc.g_00485
OG0000196	Pram.g_00073	Prbc.g_00484
OG0000197	Pram.g_00074	Prbc.g_00483
OG0000198	Pram.g_00075	Prbc.g_00482
OG0000199	Pram.g_00078	Prbc.g_00479
OG0000200	Pram.g_00079	Prbc.g_00478
OG0000201	Pram.g_00080	Prbc.g_00477
OG0000202	Pram.g_00081	Prbc.g_00476
OG0000203	Pram.g_00082	Prbc.g_00475
OG0000204	Pram.g_00083	Prbc.g_00474
OG0000205	Pram.g_00085	Prbc.g_00472
OG0000206	Pram.g_00086	Prbc.g_00471
OG0000207	Pram.g_00087	Prbc.g_00470
OG0000208	Pram.g_00088	Prbc.g_00469
OG0000209	Pram.g_00089	Prbc.g_00468
OG0000210	Pram.g_00090	Prbc.g_00467
OG0000211	Pram.g_00091	Prbc.g_00466
OG0000212	Pram.g_00092	Prbc.g_00465
OG0000213	Pram.g_00093	Prbc.g_00464
OG0000214	Pram.g_00097	Prbc.g_00460
OG0000215	Pram.g_00098	Prbc.g_00459
OG0000216	Pram.g_00100	Prbc.g_00457
OG0000217	Pram.g_00101	Prbc.g_00455
OG0000218	Pram.g_00102	Prbc.g_00454
OG0000219	Pram.g_00103	Prbc.g_00453
OG0000220	Pram.g_00106	Prbc.g_00451
OG0000221	Pram.g_00109	Prbc.g_00448
OG0000222	Pram.g_00110	Prbc.g_00447
OG0000223	Pram.g_00111	Prbc.g_00446
OG0000224	Pram.g_00113	Prbc.g_00443
OG0000225	Pram.g_00115	Prbc.g_00441
OG0000226	Pram.g_00117	Prbc.g_00439
OG0000227	Pram.g_00118	Prbc.g_00438
OG0000228	Pram.g_00119	Prbc.g_00437
OG0000229	Pram.g_00120	Prbc.g_00436
OG0000230	Pram.g_00121	Prbc.g_00435
OG0000231	Pram.g_01001	Prbc.g_02145
OG0000232	Pram.g_00123	Prbc.g_00434
OG0000233	Pram.g_00126	Prbc.g_00431
OG0000234	Pram.g_00128	Prbc.g_00428
OG0000235	Pram.g_00130	Prbc.g_00426
OG0000236	Pram.g_00131	Prbc.g_00425
OG0000237	Pram.g_00132	Prbc.g_00424
OG0000238	Pram.g_00133	Prbc.g_00423
OG0000239	Pram.g_00134	Prbc.g_00422
OG0000240	Pram.g_00136	Prbc.g_00420
OG0000241	Pram.g_00137	Prbc.g_00419
OG0000242	Pram.g_00138	Prbc.g_00418
OG0000243	Pram.g_00139	Prbc.g_00417
OG0000244	Pram.g_00140	Prbc.g_00416
OG0000245	Pram.g_00141	Prbc.g_00415
OG0000246	Pram.g_00143	Prbc.g_00413
OG0000247	Pram.g_00144	Prbc.g_00412
OG0000248	Pram.g_00145	Prbc.g_00411
OG0000249	Pram.g_00146	Prbc.g_00410
OG0000250	Pram.g_00147	Prbc.g_00409
OG0000251	Pram.g_00148	Prbc.g_00408
OG0000252	Pram.g_00149	Prbc.g_00407
OG0000253	Pram.g_00150	Prbc.g_00406
OG0000254	Pram.g_00152	Prbc.g_00404
OG0000255	Pram.g_00153	Prbc.g_00403
OG0000256	Pram.g_00156	Prbc.g_00400
OG0000257	Pram.g_00157	Prbc.g_00399
OG0000258	Pram.g_00158	Prbc.g_00398
OG0000259	Pram.g_00159	Prbc.g_00397
OG0000260	Pram.g_00160	Prbc.g_00396
OG0000261	Pram.g_00161	Prbc.g_00395
OG0000262	Pram.g_00162	Prbc.g_00394
OG0000263	Pram.g_00163	Prbc.g_00393
OG0000264	Pram.g_00165	Prbc.g_00391
OG0000265	Pram.g_00166	Prbc.g_00390
OG0000266	Pram.g_00167	Prbc.g_00389
OG0000267	Pram.g_00169	Prbc.g_00387
OG0000268	Pram.g_00171	Prbc.g_00385
OG0000269	Pram.g_00172	Prbc.g_00384
OG0000270	Pram.g_00173	Prbc.g_00383
OG0000271	Pram.g_00174	Prbc.g_00382
OG0000272	Pram.g_00175	Prbc.g_00381
OG0000273	Pram.g_00176	Prbc.g_00380
OG0000274	Pram.g_00177	Prbc.g_00379
OG0000275	Pram.g_00178	Prbc.g_00378
OG0000276	Pram.g_00179	Prbc.g_00377
OG0000277	Pram.g_00180	Prbc.g_00376
OG0000278	Pram.g_00181	Prbc.g_00375
OG0000279	Pram.g_00182	Prbc.g_00374
OG0000280	Pram.g_00183	Prbc.g_00373
OG0000281	Pram.g_00185	Prbc.g_00371
OG0000282	Pram.g_00186	Prbc.g_00370
OG0000283	Pram.g_00189	Prbc.g_00368
OG0000284	Pram.g_00190	Prbc.g_00367
OG0000285	Pram.g_00191	Prbc.g_00366
OG0000286	Pram.g_00193	Prbc.g_00364
OG0000287	Pram.g_00194	Prbc.g_00363
OG0000288	Pram.g_00195	Prbc.g_00362
OG0000289	Pram.g_00196	Prbc.g_00361
OG0000290	Pram.g_00197	Prbc.g_00360
OG0000291	Pram.g_00198	Prbc.g_00358
OG0000292	Pram.g_00199	Prbc.g_00357
OG0000293	Pram.g_00200	Prbc.g_00356
OG0000294	Pram.g_00201	Prbc.g_00355
OG0000295	Pram.g_00202	Prbc.g_00354
OG0000296	Pram.g_00203	Prbc.g_00353
OG0000297	Pram.g_00204	Prbc.g_00352
OG0000298	Pram.g_00205	Prbc.g_00351
OG0000299	Pram.g_00206	Prbc.g_00350
OG0000300	Pram.g_00207	Prbc.g_00349
OG0000301	Pram.g_00208	Prbc.g_00348
OG0000302	Pram.g_00209	Prbc.g_00347
OG0000303	Pram.g_00210	Prbc.g_00346
OG0000304	Pram.g_00212	Prbc.g_00345
OG0000305	Pram.g_00213	Prbc.g_00344
OG0000306	Pram.g_00214	Prbc.g_00343
OG0000307	Pram.g_00216	Prbc.g_00342
OG0000308	Pram.g_00217	Prbc.g_00341
OG0000309	Pram.g_00218	Prbc.g_00340
OG0000310	Pram.g_00219	Prbc.g_00339
OG0000311	Pram.g_00220	Prbc.g_00337
OG0000312	Pram.g_00222	Prbc.g_00335
OG0000313	Pram.g_00223	Prbc.g_00334
OG0000314	Pram.g_00227	Prbc.g_00330
OG0000315	Pram.g_00228	Prbc.g_00329
OG0000316	Pram.g_00230	Prbc.g_01140
OG0000317	Pram.g_00232	Prbc.g_01142
OG0000318	Pram.g_00233	Prbc.g_01143
OG0000319	Pram.g_00234	Prbc.g_01144
OG0000320	Pram.g_00235	Prbc.g_01145
OG0000321	Pram.g_00238	Prbc.g_01146
OG0000322	Pram.g_00242	Prbc.g_01149
OG0000323	Pram.g_00243	Prbc.g_01150
OG0000324	Pram.g_00246	Prbc.g_01153
OG0000325	Pram.g_00247	Prbc.g_01154
OG0000326	Pram.g_00248	Prbc.g_01155
OG0000327	Pram.g_00250	Prbc.g_01156
OG0000328	Pram.g_00251	Prbc.g_01157
OG0000329	Pram.g_00252	Prbc.g_01158
OG0000330	Pram.g_00253	Prbc.g_01159
OG0000331	Pram.g_00254	Prbc.g_01160
OG0000332	Pram.g_00255	Prbc.g_01161
OG0000333	Pram.g_00256	Prbc.g_01162
OG0000334	Pram.g_00257	Prbc.g_01163
OG0000335	Pram.g_00258	Prbc.g_01164
OG0000336	Pram.g_00260	Prbc.g_01166
OG0000337	Pram.g_00263	Prbc.g_01168
OG0000338	Pram.g_00264	Prbc.g_01169
OG0000339	Pram.g_00265	Prbc.g_01170
OG0000340	Pram.g_00266	Prbc.g_01171
OG0000341	Pram.g_00270	Prbc.g_01175
OG0000342	Pram.g_00271	Prbc.g_01176
OG0000343	Pram.g_00274	Prbc.g_01178
OG0000344	Pram.g_00275	Prbc.g_01179
OG0000345	Pram.g_00276	Prbc.g_01180
OG0000346	Pram.g_00277	Prbc.g_01181
OG0000347	Pram.g_00278	Prbc.g_01182
OG0000348	Pram.g_00280	Prbc.g_01183
OG0000349	Pram.g_00281	Prbc.g_01184
OG0000350	Pram.g_00282	Prbc.g_01185
OG0000351	Pram.g_00284	Prbc.g_01187
OG0000352	Pram.g_00287	Prbc.g_01190
OG0000353	Pram.g_00288	Prbc.g_01191
OG0000354	Pram.g_00289	Prbc.g_01192
OG0000355	Pram.g_00290	Prbc.g_01193
OG0000356	Pram.g_00291	Prbc.g_01194
OG0000357	Pram.g_00292	Prbc.g_01195
OG0000358	Pram.g_00293	Prbc.g_01196
OG0000359	Pram.g_00294	Prbc.g_01197
OG0000360	Pram.g_00296	Prbc.g_01200
OG0000361	Pram.g_00297	Prbc.g_01201
OG0000362	Pram.g_00298	Prbc.g_01202
OG0000363	Pram.g_00299	Prbc.g_01203
OG0000364	Pram.g_00300	Prbc.g_01204
OG0000365	Pram.g_00301	Prbc.g_01205
OG0000366	Pram.g_00302	Prbc.g_01206
OG0000367	Pram.g_00303	Prbc.g_01207
OG0000368	Pram.g_00304	Prbc.g_01208
OG0000369	Pram.g_00305	Prbc.g_01209
OG0000370	Pram.g_00306	Prbc.g_01210
OG0000371	Pram.g_00307	Prbc.g_01211
OG0000372	Pram.g_00309	Prbc.g_01213
OG0000373	Pram.g_00311	Prbc.g_01215
OG0000374	Pram.g_00312	Prbc.g_01216
OG0000375	Pram.g_00313	Prbc.g_01217
OG0000376	Pram.g_00315	Prbc.g_01219
OG0000377	Pram.g_00321	Prbc.g_01225
OG0000378	Pram.g_00322	Prbc.g_01813
OG0000379	Pram.g_00328	Prbc.g_01246
OG0000380	Pram.g_00330	Prbc.g_01248
OG0000381	Pram.g_00331	Prbc.g_01249
OG0000382	Pram.g_00332	Prbc.g_01250
OG0000383	Pram.g_00336	Prbc.g_01253
OG0000384	Pram.g_00337	Prbc.g_01254
OG0000385	Pram.g_00340	Prbc.g_01256
OG0000386	Pram.g_00341	Prbc.g_01257
OG0000387	Pram.g_00342	Prbc.g_01258
OG0000388	Pram.g_00343	Prbc.g_01259
OG0000389	Pram.g_00344	Prbc.g_01260
OG0000390	Pram.g_00345	Prbc.g_01261
OG0000391	Pram.g_00346	Prbc.g_01262
OG0000392	Pram.g_00347	Prbc.g_01263
OG0000393	Pram.g_00351	Prbc.g_01267
OG0000394	Pram.g_00352	Prbc.g_01268
OG0000395	Pram.g_00355	Prbc.g_01271
OG0000396	Pram.g_00864	Prbc.g_01912
OG0000397	Pram.g_01184	Prbc.g_02137
OG0000398	Pram.g_01537	Prbc.g_02168
OG0000399	Pram.g_01177	Prbc.g_01317
OG0000400	Pram.g_01696	Prbc.g_00934
OG0000401	Pram.g_00366	Prbc.g_01492
OG0000402	Pram.g_00367	Prbc.g_01493
OG0000403	Pram.g_00368	Prbc.g_01494
OG0000404	Pram.g_00370	Prbc.g_01496
OG0000405	Pram.g_00371	Prbc.g_01497
OG0000406	Pram.g_00373	Prbc.g_01499
OG0000407	Pram.g_00374	Prbc.g_01500
OG0000408	Pram.g_00375	Prbc.g_01501
OG0000409	Pram.g_00376	Prbc.g_01502
OG0000410	Pram.g_00377	Prbc.g_01503
OG0000411	Pram.g_00378	Prbc.g_01504
OG0000412	Pram.g_00379	Prbc.g_01505
OG0000413	Pram.g_00380	Prbc.g_01506
OG0000414	Pram.g_00381	Prbc.g_01507
OG0000415	Pram.g_00382	Prbc.g_01508
OG0000416	Pram.g_00383	Prbc.g_01509
OG0000417	Pram.g_00384	Prbc.g_01510
OG0000418	Pram.g_00385	Prbc.g_01511
OG0000419	Pram.g_00386	Prbc.g_01512
OG0000420	Pram.g_00387	Prbc.g_01513
OG0000421	Pram.g_00393	Prbc.g_01514
OG0000422	Pram.g_00395	Prbc.g_01516
OG0000423	Pram.g_00396	Prbc.g_01517
OG0000424	Pram.g_00397	Prbc.g_01518
OG0000425	Pram.g_00400	Prbc.g_01524
OG0000426	Pram.g_00401	Prbc.g_01525
OG0000427	Pram.g_00402	Prbc.g_01526
OG0000428	Pram.g_00404	Prbc.g_01528
OG0000429	Pram.g_00406	Prbc.g_01529
OG0000430	Pram.g_00407	Prbc.g_01531
OG0000431	Pram.g_00409	Prbc.g_01532
OG0000432	Pram.g_00410	Prbc.g_01533
OG0000433	Pram.g_00413	Prbc.g_01536
OG0000434	Pram.g_00414	Prbc.g_01538
OG0000435	Pram.g_00415	Prbc.g_01539
OG0000436	Pram.g_00417	Prbc.g_01541
OG0000437	Pram.g_00419	Prbc.g_01543
OG0000438	Pram.g_00420	Prbc.g_01544
OG0000439	Pram.g_00421	Prbc.g_01545
OG0000440	Pram.g_00423	Prbc.g_01546
OG0000441	Pram.g_00424	Prbc.g_01547
OG0000442	Pram.g_00425	Prbc.g_01548
OG0000443	Pram.g_00426	Prbc.g_01549
OG0000444	Pram.g_00427	Prbc.g_01550
OG0000445	Pram.g_00428	Prbc.g_01551
OG0000446	Pram.g_00429	Prbc.g_01552
OG0000447	Pram.g_00430	Prbc.g_01553
OG0000448	Pram.g_00431	Prbc.g_01554
OG0000449	Pram.g_00438	Prbc.g_01580
OG0000450	Pram.g_00439	Prbc.g_01581
OG0000451	Pram.g_00440	Prbc.g_01582
OG0000452	Pram.g_00441	Prbc.g_01583
OG0000453	Pram.g_00442	Prbc.g_01585
OG0000454	Pram.g_00443	Prbc.g_01586
OG0000455	Pram.g_00444	Prbc.g_01587
OG0000456	Pram.g_00445	Prbc.g_01588
OG0000457	Pram.g_00447	Prbc.g_01590
OG0000458	Pram.g_00449	Prbc.g_01592
OG0000459	Pram.g_00450	Prbc.g_01593
OG0000460	Pram.g_00452	Prbc.g_01595
OG0000461	Pram.g_00453	Prbc.g_01596
OG0000462	Pram.g_00454	Prbc.g_01597
OG0000463	Pram.g_00456	Prbc.g_01599
OG0000464	Pram.g_00461	Prbc.g_01603
OG0000465	Pram.g_00462	Prbc.g_01604
OG0000466	Pram.g_00463	Prbc.g_01605
OG0000467	Pram.g_00464	Prbc.g_01606
OG0000468	Pram.g_00465	Prbc.g_01607
OG0000469	Pram.g_00466	Prbc.g_01608
OG0000470	Pram.g_00468	Prbc.g_01609
OG0000471	Pram.g_00469	Prbc.g_01610
OG0000472	Pram.g_00472	Prbc.g_01613
OG0000473	Pram.g_00473	Prbc.g_01614
OG0000474	Pram.g_00474	Prbc.g_01615
OG0000475	Pram.g_00475	Prbc.g_01616
OG0000476	Pram.g_00476	Prbc.g_01617
OG0000477	Pram.g_00477	Prbc.g_01619
OG0000478	Pram.g_00478	Prbc.g_01620
OG0000479	Pram.g_00479	Prbc.g_01621
OG0000480	Pram.g_00481	Prbc.g_01623
OG0000481	Pram.g_00482	Prbc.g_01624
OG0000482	Pram.g_00483	Prbc.g_01626
OG0000483	Pram.g_00484	Prbc.g_01627
OG0000484	Pram.g_00485	Prbc.g_01628
OG0000485	Pram.g_00486	Prbc.g_01629
OG0000486	Pram.g_00487	Prbc.g_01630
OG0000487	Pram.g_00488	Prbc.g_01631
OG0000488	Pram.g_00490	Prbc.g_01633
OG0000489	Pram.g_00491	Prbc.g_01634
OG0000490	Pram.g_00492	Prbc.g_01635
OG0000491	Pram.g_00493	Prbc.g_01636
OG0000492	Pram.g_00494	Prbc.g_01637
OG0000493	Pram.g_00495	Prbc.g_01638
OG0000494	Pram.g_00497	Prbc.g_01640
OG0000495	Pram.g_00498	Prbc.g_01641
OG0000496	Pram.g_00500	Prbc.g_01642
OG0000497	Pram.g_00502	Prbc.g_01643
OG0000498	Pram.g_00503	Prbc.g_01644
OG0000499	Pram.g_00505	Prbc.g_01646
OG0000500	Pram.g_00506	Prbc.g_01647
OG0000501	Pram.g_00508	Prbc.g_01649
OG0000502	Pram.g_00509	Prbc.g_01650
OG0000503	Pram.g_00510	Prbc.g_01651
OG0000504	Pram.g_00511	Prbc.g_01652
OG0000505	Pram.g_00512	Prbc.g_01653
OG0000506	Pram.g_00513	Prbc.g_01654
OG0000507	Pram.g_00514	Prbc.g_01655
OG0000508	Pram.g_00516	Prbc.g_01656
OG0000509	Pram.g_00517	Prbc.g_01657
OG0000510	Pram.g_00518	Prbc.g_01658
OG0000511	Pram.g_00519	Prbc.g_01659
OG0000512	Pram.g_00520	Prbc.g_01660
OG0000513	Pram.g_00521	Prbc.g_01661
OG0000514	Pram.g_00522	Prbc.g_01662
OG0000515	Pram.g_00523	Prbc.g_01663
OG0000516	Pram.g_00524	Prbc.g_01664
OG0000517	Pram.g_00525	Prbc.g_01665
OG0000518	Pram.g_00528	Prbc.g_01667
OG0000519	Pram.g_00529	Prbc.g_01668
OG0000520	Pram.g_00530	Prbc.g_01670
OG0000521	Pram.g_00531	Prbc.g_01669
OG0000522	Pram.g_00532	Prbc.g_01671
OG0000523	Pram.g_00533	Prbc.g_01672
OG0000524	Pram.g_00534	Prbc.g_01673
OG0000525	Pram.g_00536	Prbc.g_01675
OG0000526	Pram.g_00537	Prbc.g_01676
OG0000527	Pram.g_00538	Prbc.g_01677
OG0000528	Pram.g_00539	Prbc.g_01678
OG0000529	Pram.g_00540	Prbc.g_01679
OG0000530	Pram.g_00541	Prbc.g_01680
OG0000531	Pram.g_00543	Prbc.g_01682
OG0000532	Pram.g_00544	Prbc.g_01683
OG0000533	Pram.g_00545	Prbc.g_01684
OG0000534	Pram.g_00546	Prbc.g_01685
OG0000535	Pram.g_00547	Prbc.g_01686
OG0000536	Pram.g_00548	Prbc.g_01687
OG0000537	Pram.g_00549	Prbc.g_01688
OG0000538	Pram.g_00550	Prbc.g_01689
OG0000539	Pram.g_00551	Prbc.g_01690
OG0000540	Pram.g_00552	Prbc.g_01691
OG0000541	Pram.g_00553	Prbc.g_01692
OG0000542	Pram.g_00554	Prbc.g_01693
