Orthogroup	Pram	Praj
OG0000074	Pram.g_00782	Praj.g_00684
OG0000075	Pram.g_00816	Praj.g_00776
OG0000076	Pram.g_00888	Praj.g_01024
OG0000077	Pram.g_01510	Praj.g_00416, Praj.g_01079, Praj.g_01203, Praj.g_01273, Praj.g_01310, Praj.g_01731, Praj.g_01358
OG0000078	Pram.g_01445	Praj.g_00372
OG0000079	Pram.g_01293	Praj.g_01714
OG0000080	Pram.g_01554	Praj.g_01166
OG0000081	Pram.g_01805	Praj.g_01985
OG0000082	Pram.g_01898	Praj.g_02103
OG0000083	Pram.g_01941	Praj.g_00003
OG0000084	Pram.g_01944	Praj.g_00006
OG0000085	Pram.g_00010	Praj.g_00023
OG0000086	Pram.g_01588	Praj.g_01154
OG0000087	Pram.g_00036	Praj.g_00053
OG0000088	Pram.g_00099	Praj.g_00153
OG0000089	Pram.g_00108	Praj.g_00162
OG0000090	Pram.g_00125	Praj.g_00179
OG0000091	Pram.g_00154	Praj.g_00209
OG0000092	Pram.g_00155	Praj.g_00210
OG0000093	Pram.g_00168	Praj.g_00223
OG0000094	Pram.g_00187	Praj.g_00242
OG0000095	Pram.g_00192	Praj.g_00246
OG0000096	Pram.g_00239	Praj.g_00290
OG0000097	Pram.g_00262	Praj.g_00310
OG0000098	Pram.g_00273	Praj.g_00320
OG0000099	Pram.g_00283	Praj.g_00329
OG0000100	Pram.g_00286	Praj.g_00332
OG0000101	Pram.g_00354	Praj.g_00405
OG0000102	Pram.g_01589	Praj.g_01279
OG0000103	Pram.g_00412	Praj.g_00468
OG0000104	Pram.g_00416	Praj.g_00473
OG0000105	Pram.g_00437	Praj.g_00491
OG0000106	Pram.g_00470	Praj.g_00523
OG0000107	Pram.g_00471	Praj.g_00524
OG0000108	Pram.g_00480	Praj.g_00534
OG0000109	Pram.g_00489	Praj.g_00543
OG0000110	Pram.g_00507	Praj.g_00559
OG0000111	Pram.g_01059	Praj.g_00639
OG0000112	Pram.g_01058	Praj.g_00640
OG0000113	Pram.g_01006	Praj.g_00722
OG0000114	Pram.g_00807	Praj.g_00767
OG0000115	Pram.g_00943	Praj.g_01601, Praj.g_00946
OG0000116	Pram.g_00947	Praj.g_00950
OG0000117	Pram.g_00891	Praj.g_01021
OG0000118	Pram.g_01185	Praj.g_01196
OG0000119	Pram.g_01549	Praj.g_01835
OG0000120	Pram.g_01133	Praj.g_01455
OG0000121	Pram.g_01110	Praj.g_01433
OG0000122	Pram.g_01090	Praj.g_01413
OG0000123	Pram.g_00571	Praj.g_01402
OG0000124	Pram.g_01254	Praj.g_01014
OG0000125	Pram.g_01242	Praj.g_01540
OG0000126	Pram.g_01468	Praj.g_01575
OG0000127	Pram.g_01393	Praj.g_01618
OG0000128	Pram.g_01377	Praj.g_01633
OG0000129	Pram.g_01341	Praj.g_01667
OG0000130	Pram.g_01629	Praj.g_01766
OG0000131	Pram.g_01669	Praj.g_01803
OG0000132	Pram.g_01672	Praj.g_01805
OG0000133	Pram.g_01728	Praj.g_01910
OG0000134	Pram.g_01764	Praj.g_01946
OG0000135	Pram.g_01766	Praj.g_01948
OG0000136	Pram.g_01817	Praj.g_01997
OG0000137	Pram.g_01851	Praj.g_02034
OG0000138	Pram.g_01886	Praj.g_02091
OG0000139	Pram.g_01917	Praj.g_02128
OG0000140	Pram.g_01939	Praj.g_00001
OG0000141	Pram.g_01940	Praj.g_00002
OG0000142	Pram.g_01942	Praj.g_00004
OG0000143	Pram.g_01943	Praj.g_00005
OG0000144	Pram.g_01945	Praj.g_00007
OG0000145	Pram.g_01946	Praj.g_00008
OG0000146	Pram.g_01947	Praj.g_00009
OG0000147	Pram.g_01948	Praj.g_00010
OG0000148	Pram.g_01950	Praj.g_00012
OG0000149	Pram.g_00001	Praj.g_00014
OG0000150	Pram.g_00002	Praj.g_00015
OG0000151	Pram.g_00003	Praj.g_00016
OG0000152	Pram.g_00004	Praj.g_00017
OG0000153	Pram.g_00005	Praj.g_00018
OG0000154	Pram.g_00006	Praj.g_00019
OG0000155	Pram.g_00007	Praj.g_00020
OG0000156	Pram.g_00008	Praj.g_00021
OG0000157	Pram.g_00009	Praj.g_00022
OG0000158	Pram.g_00011	Praj.g_00024
OG0000159	Pram.g_00012	Praj.g_00025
OG0000160	Pram.g_00013	Praj.g_00026
OG0000161	Pram.g_00014	Praj.g_00027
OG0000162	Pram.g_00015	Praj.g_00028
OG0000163	Pram.g_00016	Praj.g_00029
OG0000164	Pram.g_00019	Praj.g_00032
OG0000165	Pram.g_00021	Praj.g_00034
OG0000166	Pram.g_00022	Praj.g_00035
OG0000167	Pram.g_00023	Praj.g_00036
OG0000168	Pram.g_00024	Praj.g_00044
OG0000169	Pram.g_00026	Praj.g_00046
OG0000170	Pram.g_00028	Praj.g_00047
OG0000171	Pram.g_00029	Praj.g_00048
OG0000172	Pram.g_00030	Praj.g_00049
OG0000173	Pram.g_00033	Praj.g_00050
OG0000174	Pram.g_00034	Praj.g_00051
OG0000175	Pram.g_00035	Praj.g_00052
OG0000176	Pram.g_00037	Praj.g_00054
OG0000177	Pram.g_00038	Praj.g_00055
OG0000178	Pram.g_00039	Praj.g_00056
OG0000179	Pram.g_00048	Praj.g_00102
OG0000180	Pram.g_00049	Praj.g_00103
OG0000181	Pram.g_00050	Praj.g_00104
OG0000182	Pram.g_00054	Praj.g_00107
OG0000183	Pram.g_00055	Praj.g_00108
OG0000184	Pram.g_00058	Praj.g_00111
OG0000185	Pram.g_00062	Praj.g_00115
OG0000186	Pram.g_00063	Praj.g_00116
OG0000187	Pram.g_01536	Praj.g_00117
OG0000188	Pram.g_00064	Praj.g_00118
OG0000189	Pram.g_00065	Praj.g_00119
OG0000190	Pram.g_00066	Praj.g_00120
OG0000191	Pram.g_00067	Praj.g_00121
OG0000192	Pram.g_00068	Praj.g_00122
OG0000193	Pram.g_00069	Praj.g_00123
OG0000194	Pram.g_00070	Praj.g_00124
OG0000195	Pram.g_00072	Praj.g_00126
OG0000196	Pram.g_00073	Praj.g_00127
OG0000197	Pram.g_00074	Praj.g_00128
OG0000198	Pram.g_00075	Praj.g_00129
OG0000199	Pram.g_00078	Praj.g_00132
OG0000200	Pram.g_00079	Praj.g_00133
OG0000201	Pram.g_00080	Praj.g_00134
OG0000202	Pram.g_00081	Praj.g_00135
OG0000203	Pram.g_00082	Praj.g_00136
OG0000204	Pram.g_00083	Praj.g_00137
OG0000205	Pram.g_00085	Praj.g_00139
OG0000206	Pram.g_00086	Praj.g_00140
OG0000207	Pram.g_00087	Praj.g_00141
OG0000208	Pram.g_00088	Praj.g_00142
OG0000209	Pram.g_00089	Praj.g_00143
OG0000210	Pram.g_00090	Praj.g_00144
OG0000211	Pram.g_00091	Praj.g_00145
OG0000212	Pram.g_00092	Praj.g_00146
OG0000213	Pram.g_00093	Praj.g_00147
OG0000214	Pram.g_00097	Praj.g_00151
OG0000215	Pram.g_00098	Praj.g_00152
OG0000216	Pram.g_00100	Praj.g_00154
OG0000217	Pram.g_00101	Praj.g_00156
OG0000218	Pram.g_00102	Praj.g_00157
OG0000219	Pram.g_00103	Praj.g_00158
OG0000220	Pram.g_00106	Praj.g_00160
OG0000221	Pram.g_00109	Praj.g_00163
OG0000222	Pram.g_00110	Praj.g_00164
OG0000223	Pram.g_00111	Praj.g_00165
OG0000224	Pram.g_00113	Praj.g_00168
OG0000225	Pram.g_00115	Praj.g_00170
OG0000226	Pram.g_00117	Praj.g_00172
OG0000227	Pram.g_00118	Praj.g_00173
OG0000228	Pram.g_00119	Praj.g_00174
OG0000229	Pram.g_00120	Praj.g_00175
OG0000230	Pram.g_00121	Praj.g_00176
OG0000231	Pram.g_01001	Praj.g_01057
OG0000232	Pram.g_00123	Praj.g_00177
OG0000233	Pram.g_00126	Praj.g_00180
OG0000234	Pram.g_00128	Praj.g_00183
OG0000235	Pram.g_00130	Praj.g_00185
OG0000236	Pram.g_00131	Praj.g_00186
OG0000237	Pram.g_00132	Praj.g_00187
OG0000238	Pram.g_00133	Praj.g_00188
OG0000239	Pram.g_00134	Praj.g_00189
OG0000240	Pram.g_00136	Praj.g_00191
OG0000241	Pram.g_00137	Praj.g_00192
OG0000242	Pram.g_00138	Praj.g_00193
OG0000243	Pram.g_00139	Praj.g_00194
OG0000244	Pram.g_00140	Praj.g_00195
OG0000245	Pram.g_00141	Praj.g_00196
OG0000246	Pram.g_00143	Praj.g_00198
OG0000247	Pram.g_00144	Praj.g_00199
OG0000248	Pram.g_00145	Praj.g_00200
OG0000249	Pram.g_00146	Praj.g_00201
OG0000250	Pram.g_00147	Praj.g_00202
OG0000251	Pram.g_00148	Praj.g_00203
OG0000252	Pram.g_00149	Praj.g_00204
OG0000253	Pram.g_00150	Praj.g_00205
OG0000254	Pram.g_00152	Praj.g_00207
OG0000255	Pram.g_00153	Praj.g_00208
OG0000256	Pram.g_00156	Praj.g_00211
OG0000257	Pram.g_00157	Praj.g_00212
OG0000258	Pram.g_00158	Praj.g_00213
OG0000259	Pram.g_00159	Praj.g_00214
OG0000260	Pram.g_00160	Praj.g_00215
OG0000261	Pram.g_00161	Praj.g_00216
OG0000262	Pram.g_00162	Praj.g_00217
OG0000263	Pram.g_00163	Praj.g_00218
OG0000264	Pram.g_00165	Praj.g_00220
OG0000265	Pram.g_00166	Praj.g_00221
OG0000266	Pram.g_00167	Praj.g_00222
OG0000267	Pram.g_00169	Praj.g_00224
OG0000268	Pram.g_00171	Praj.g_00226
OG0000269	Pram.g_00172	Praj.g_00227
OG0000270	Pram.g_00173	Praj.g_00228
OG0000271	Pram.g_00174	Praj.g_00229
OG0000272	Pram.g_00175	Praj.g_00230
OG0000273	Pram.g_00176	Praj.g_00231
OG0000274	Pram.g_00177	Praj.g_00232
OG0000275	Pram.g_00178	Praj.g_00233
OG0000276	Pram.g_00179	Praj.g_00234
OG0000277	Pram.g_00180	Praj.g_00235
OG0000278	Pram.g_00181	Praj.g_00236
OG0000279	Pram.g_00182	Praj.g_00237
OG0000280	Pram.g_00183	Praj.g_00238
OG0000281	Pram.g_00185	Praj.g_00240
OG0000282	Pram.g_00186	Praj.g_00241
OG0000283	Pram.g_00189	Praj.g_00243
OG0000284	Pram.g_00190	Praj.g_00244
OG0000285	Pram.g_00191	Praj.g_00245
OG0000286	Pram.g_00193	Praj.g_00247
OG0000287	Pram.g_00194	Praj.g_00248
OG0000288	Pram.g_00195	Praj.g_00249
OG0000289	Pram.g_00196	Praj.g_00250
OG0000290	Pram.g_00197	Praj.g_00251
OG0000291	Pram.g_00198	Praj.g_00252
OG0000292	Pram.g_00199	Praj.g_00253
OG0000293	Pram.g_00200	Praj.g_00254
OG0000294	Pram.g_00201	Praj.g_00255
OG0000295	Pram.g_00202	Praj.g_00256
OG0000296	Pram.g_00203	Praj.g_00257
OG0000297	Pram.g_00204	Praj.g_00258
OG0000298	Pram.g_00205	Praj.g_00259
OG0000299	Pram.g_00206	Praj.g_00260
OG0000300	Pram.g_00207	Praj.g_00261
OG0000301	Pram.g_00208	Praj.g_00262
OG0000302	Pram.g_00209	Praj.g_00263
OG0000303	Pram.g_00210	Praj.g_00264
OG0000304	Pram.g_00212	Praj.g_00265
OG0000305	Pram.g_00213	Praj.g_00266
OG0000306	Pram.g_00214	Praj.g_00267
OG0000307	Pram.g_00216	Praj.g_00268
OG0000308	Pram.g_00217	Praj.g_00269
OG0000309	Pram.g_00218	Praj.g_00270
OG0000310	Pram.g_00219	Praj.g_00271
OG0000311	Pram.g_00220	Praj.g_00273
OG0000312	Pram.g_00222	Praj.g_00275
OG0000313	Pram.g_00223	Praj.g_00276
OG0000314	Pram.g_00227	Praj.g_00280
OG0000315	Pram.g_00228	Praj.g_00281
OG0000316	Pram.g_00230	Praj.g_00283
OG0000317	Pram.g_00232	Praj.g_00285
OG0000318	Pram.g_00233	Praj.g_00286
OG0000319	Pram.g_00234	Praj.g_00287
OG0000320	Pram.g_00235	Praj.g_00288
OG0000321	Pram.g_00238	Praj.g_00289
OG0000322	Pram.g_00242	Praj.g_00292
OG0000323	Pram.g_00243	Praj.g_00293
OG0000324	Pram.g_00246	Praj.g_00296
OG0000325	Pram.g_00247	Praj.g_00297
OG0000326	Pram.g_00248	Praj.g_00298
OG0000327	Pram.g_00250	Praj.g_00299
OG0000328	Pram.g_00251	Praj.g_00300
OG0000329	Pram.g_00252	Praj.g_00301
OG0000330	Pram.g_00253	Praj.g_00302
OG0000331	Pram.g_00254	Praj.g_00303
OG0000332	Pram.g_00255	Praj.g_00304
OG0000333	Pram.g_00256	Praj.g_00305
OG0000334	Pram.g_00257	Praj.g_00306
OG0000335	Pram.g_00258	Praj.g_00307
OG0000336	Pram.g_00260	Praj.g_00309
OG0000337	Pram.g_00263	Praj.g_00311
OG0000338	Pram.g_00264	Praj.g_00312
OG0000339	Pram.g_00265	Praj.g_00313
OG0000340	Pram.g_00266	Praj.g_00314
OG0000341	Pram.g_00270	Praj.g_00318
OG0000342	Pram.g_00271	Praj.g_00319
OG0000343	Pram.g_00274	Praj.g_00321
OG0000344	Pram.g_00275	Praj.g_00322
OG0000345	Pram.g_00276	Praj.g_00323
OG0000346	Pram.g_00277	Praj.g_00324
OG0000347	Pram.g_00278	Praj.g_00325
OG0000348	Pram.g_00280	Praj.g_00326
OG0000349	Pram.g_00281	Praj.g_00327
OG0000350	Pram.g_00282	Praj.g_00328
OG0000351	Pram.g_00284	Praj.g_00330
OG0000352	Pram.g_00287	Praj.g_00333
OG0000353	Pram.g_00288	Praj.g_00334
OG0000354	Pram.g_00289	Praj.g_00335
OG0000355	Pram.g_00290	Praj.g_00336
OG0000356	Pram.g_00291	Praj.g_00337
OG0000357	Pram.g_00292	Praj.g_00338
OG0000358	Pram.g_00293	Praj.g_00339
OG0000359	Pram.g_00294	Praj.g_00340
OG0000360	Pram.g_00296	Praj.g_00343
OG0000361	Pram.g_00297	Praj.g_00344
OG0000362	Pram.g_00298	Praj.g_00345
OG0000363	Pram.g_00299	Praj.g_00346
OG0000364	Pram.g_00300	Praj.g_00347
OG0000365	Pram.g_00301	Praj.g_00348
OG0000366	Pram.g_00302	Praj.g_00349
OG0000367	Pram.g_00303	Praj.g_00350
OG0000368	Pram.g_00304	Praj.g_00351
OG0000369	Pram.g_00305	Praj.g_00352
OG0000370	Pram.g_00306	Praj.g_00353
OG0000371	Pram.g_00307	Praj.g_00354
OG0000372	Pram.g_00309	Praj.g_00356
OG0000373	Pram.g_00311	Praj.g_00358
OG0000374	Pram.g_00312	Praj.g_00359
OG0000375	Pram.g_00313	Praj.g_00360
OG0000376	Pram.g_00315	Praj.g_00362
OG0000377	Pram.g_00321	Praj.g_00368
OG0000378	Pram.g_00322	Praj.g_00724
OG0000379	Pram.g_00328	Praj.g_00380
OG0000380	Pram.g_00330	Praj.g_00382
OG0000381	Pram.g_00331	Praj.g_00383
OG0000382	Pram.g_00332	Praj.g_00384
OG0000383	Pram.g_00336	Praj.g_00387
OG0000384	Pram.g_00337	Praj.g_00388
OG0000385	Pram.g_00340	Praj.g_00390
OG0000386	Pram.g_00341	Praj.g_00391
OG0000387	Pram.g_00342	Praj.g_00392
OG0000388	Pram.g_00343	Praj.g_00393
OG0000389	Pram.g_00344	Praj.g_00394
OG0000390	Pram.g_00345	Praj.g_00395
OG0000391	Pram.g_00346	Praj.g_00396
OG0000392	Pram.g_00347	Praj.g_00397
OG0000393	Pram.g_00351	Praj.g_00402
OG0000394	Pram.g_00352	Praj.g_00403
OG0000395	Pram.g_00355	Praj.g_00406
OG0000396	Pram.g_00864	Praj.g_00824
OG0000397	Pram.g_01184	Praj.g_01049
OG0000398	Pram.g_01537	Praj.g_01081
OG0000399	Pram.g_01177	Praj.g_01244
OG0000400	Pram.g_01696	Praj.g_01869
OG0000401	Pram.g_00366	Praj.g_00425
OG0000402	Pram.g_00367	Praj.g_00426
OG0000403	Pram.g_00368	Praj.g_00427
OG0000404	Pram.g_00370	Praj.g_00429
OG0000405	Pram.g_00371	Praj.g_00430
OG0000406	Pram.g_00373	Praj.g_00432
OG0000407	Pram.g_00374	Praj.g_00433
OG0000408	Pram.g_00375	Praj.g_00434
OG0000409	Pram.g_00376	Praj.g_00435
OG0000410	Pram.g_00377	Praj.g_00436
OG0000411	Pram.g_00378	Praj.g_00437
OG0000412	Pram.g_00379	Praj.g_00438
OG0000413	Pram.g_00380	Praj.g_00439
OG0000414	Pram.g_00381	Praj.g_00440
OG0000415	Pram.g_00382	Praj.g_00441
OG0000416	Pram.g_00383	Praj.g_00442
OG0000417	Pram.g_00384	Praj.g_00443
OG0000418	Pram.g_00385	Praj.g_00444
OG0000419	Pram.g_00386	Praj.g_00445
OG0000420	Pram.g_00387	Praj.g_00446
OG0000421	Pram.g_00393	Praj.g_00447
OG0000422	Pram.g_00395	Praj.g_00449
OG0000423	Pram.g_00396	Praj.g_00450
OG0000424	Pram.g_00397	Praj.g_00451
OG0000425	Pram.g_00400	Praj.g_00457
OG0000426	Pram.g_00401	Praj.g_00458
OG0000427	Pram.g_00402	Praj.g_00459
OG0000428	Pram.g_00404	Praj.g_00461
OG0000429	Pram.g_00406	Praj.g_00462
OG0000430	Pram.g_00407	Praj.g_00464
OG0000431	Pram.g_00409	Praj.g_00465
OG0000432	Pram.g_00410	Praj.g_00466
OG0000433	Pram.g_00413	Praj.g_00469
OG0000434	Pram.g_00414	Praj.g_00471
OG0000435	Pram.g_00415	Praj.g_00472
OG0000436	Pram.g_00417	Praj.g_00474
OG0000437	Pram.g_00419	Praj.g_00476
OG0000438	Pram.g_00420	Praj.g_00477
OG0000439	Pram.g_00421	Praj.g_00478
OG0000440	Pram.g_00423	Praj.g_00479
OG0000441	Pram.g_00424	Praj.g_00480
OG0000442	Pram.g_00425	Praj.g_00481
OG0000443	Pram.g_00426	Praj.g_00482
OG0000444	Pram.g_00427	Praj.g_00483
OG0000445	Pram.g_00428	Praj.g_00484
OG0000446	Pram.g_00429	Praj.g_00485
OG0000447	Pram.g_00430	Praj.g_00486
OG0000448	Pram.g_00431	Praj.g_00487
OG0000449	Pram.g_00438	Praj.g_00492
OG0000450	Pram.g_00439	Praj.g_00493
OG0000451	Pram.g_00440	Praj.g_00494
OG0000452	Pram.g_00441	Praj.g_00495
OG0000453	Pram.g_00442	Praj.g_00497
OG0000454	Pram.g_00443	Praj.g_00498
OG0000455	Pram.g_00444	Praj.g_00499
OG0000456	Pram.g_00445	Praj.g_00500
OG0000457	Pram.g_00447	Praj.g_00502
OG0000458	Pram.g_00449	Praj.g_00504
OG0000459	Pram.g_00450	Praj.g_00505
OG0000460	Pram.g_00452	Praj.g_00507
OG0000461	Pram.g_00453	Praj.g_00508
OG0000462	Pram.g_00454	Praj.g_00509
OG0000463	Pram.g_00456	Praj.g_00511
OG0000464	Pram.g_00461	Praj.g_00515
OG0000465	Pram.g_00462	Praj.g_00516
OG0000466	Pram.g_00463	Praj.g_00517
OG0000467	Pram.g_00464	Praj.g_00518
OG0000468	Pram.g_00465	Praj.g_00519
OG0000469	Pram.g_00466	Praj.g_00520
OG0000470	Pram.g_00468	Praj.g_00521
OG0000471	Pram.g_00469	Praj.g_00522
OG0000472	Pram.g_00472	Praj.g_00525
OG0000473	Pram.g_00473	Praj.g_00526
OG0000474	Pram.g_00474	Praj.g_00527
OG0000475	Pram.g_00475	Praj.g_00528
OG0000476	Pram.g_00476	Praj.g_00529
OG0000477	Pram.g_00477	Praj.g_00531
OG0000478	Pram.g_00478	Praj.g_00532
OG0000479	Pram.g_00479	Praj.g_00533
OG0000480	Pram.g_00481	Praj.g_00535
OG0000481	Pram.g_00482	Praj.g_00536
OG0000482	Pram.g_00483	Praj.g_00537
OG0000483	Pram.g_00484	Praj.g_00538
OG0000484	Pram.g_00485	Praj.g_00539
OG0000485	Pram.g_00486	Praj.g_00540
OG0000486	Pram.g_00487	Praj.g_00541
OG0000487	Pram.g_00488	Praj.g_00542
OG0000488	Pram.g_00490	Praj.g_00544
OG0000489	Pram.g_00491	Praj.g_00545
OG0000490	Pram.g_00492	Praj.g_00546
OG0000491	Pram.g_00493	Praj.g_00547
OG0000492	Pram.g_00494	Praj.g_00548
OG0000493	Pram.g_00495	Praj.g_00549
OG0000494	Pram.g_00497	Praj.g_00551
OG0000495	Pram.g_00498	Praj.g_00552
OG0000496	Pram.g_00500	Praj.g_00553
OG0000497	Pram.g_00502	Praj.g_00554
OG0000498	Pram.g_00503	Praj.g_00555
OG0000499	Pram.g_00505	Praj.g_00557
OG0000500	Pram.g_00506	Praj.g_00558
OG0000501	Pram.g_00508	Praj.g_00560
OG0000502	Pram.g_00509	Praj.g_00561
OG0000503	Pram.g_00510	Praj.g_00562
OG0000504	Pram.g_00511	Praj.g_00563
OG0000505	Pram.g_00512	Praj.g_00564
OG0000506	Pram.g_00513	Praj.g_00565
OG0000507	Pram.g_00514	Praj.g_00566
OG0000508	Pram.g_00516	Praj.g_00567
OG0000509	Pram.g_00517	Praj.g_00568
OG0000510	Pram.g_00518	Praj.g_00569
OG0000511	Pram.g_00519	Praj.g_00570
OG0000512	Pram.g_00520	Praj.g_00571
OG0000513	Pram.g_00521	Praj.g_00572
OG0000514	Pram.g_00522	Praj.g_00573
OG0000515	Pram.g_00523	Praj.g_00574
OG0000516	Pram.g_00524	Praj.g_00575
OG0000517	Pram.g_00525	Praj.g_00576
OG0000518	Pram.g_00528	Praj.g_00578
OG0000519	Pram.g_00529	Praj.g_00579
OG0000520	Pram.g_00530	Praj.g_00581
OG0000521	Pram.g_00531	Praj.g_00580
OG0000522	Pram.g_00532	Praj.g_00582
OG0000523	Pram.g_00533	Praj.g_00583
OG0000524	Pram.g_00534	Praj.g_00584
OG0000525	Pram.g_00536	Praj.g_00586
OG0000526	Pram.g_00537	Praj.g_00587
OG0000527	Pram.g_00538	Praj.g_00588
OG0000528	Pram.g_00539	Praj.g_00589
OG0000529	Pram.g_00540	Praj.g_00590
OG0000530	Pram.g_00541	Praj.g_00591
OG0000531	Pram.g_00543	Praj.g_00593
OG0000532	Pram.g_00544	Praj.g_00594
OG0000533	Pram.g_00545	Praj.g_00595
OG0000534	Pram.g_00546	Praj.g_00596
OG0000535	Pram.g_00547	Praj.g_00597
OG0000536	Pram.g_00548	Praj.g_00598
OG0000537	Pram.g_00549	Praj.g_00599
OG0000538	Pram.g_00550	Praj.g_00600
OG0000539	Pram.g_00551	Praj.g_00601
OG0000540	Pram.g_00552	Praj.g_00602
OG0000541	Pram.g_00553	Praj.g_00603
OG0000542	Pram.g_00554	Praj.g_00604
OG0000543	Pram.g_00555	Praj.g_00605
OG0000544	Pram.g_00556	Praj.g_00606
OG0000545	Pram.g_00559	Praj.g_00609
OG0000546	Pram.g_00560	Praj.g_00610
OG0000547	Pram.g_00562	Praj.g_00611
OG0000548	Pram.g_00564	Praj.g_00613
OG0000549	Pram.g_00565	Praj.g_00614
OG0000550	Pram.g_00566	Praj.g_00615
OG0000551	Pram.g_00568	Praj.g_00616
OG0000552	Pram.g_00569	Praj.g_00617
OG0000553	Pram.g_01080	Praj.g_00618
OG0000554	Pram.g_01079	Praj.g_00619
OG0000555	Pram.g_01078	Praj.g_00620
OG0000556	Pram.g_01077	Praj.g_00621
OG0000557	Pram.g_01076	Praj.g_00622
OG0000558	Pram.g_01075	Praj.g_00623
OG0000559	Pram.g_01074	Praj.g_00624
OG0000560	Pram.g_01073	Praj.g_00626
OG0000561	Pram.g_01072	Praj.g_00627
OG0000562	Pram.g_01070	Praj.g_00628
OG0000563	Pram.g_01069	Praj.g_00629
OG0000564	Pram.g_01068	Praj.g_00630
