Orthogroup	Prap	Syag
OG0000042	Prap.g_01572	Syag.g_01094, Syag.g_02378
OG0000043	Prap.g_00477	Syag.g_00564
OG0000046	Prap.g_01384	Syag.g_02812, Syag.g_02819, Syag.g_02805
OG0000047	Prap.g_01343	Syag.g_00768
OG0000048	Prap.g_00548	Syag.g_02611
OG0000052	Prap.g_00099	Syag.g_02491
OG0000052	Prap.g_00897	Syag.g_02451
OG0000053	Prap.g_00142, Prap.g_01834	Syag.g_01391
OG0000054	Prap.g_01161	Syag.g_00350
OG0000055	Prap.g_01805	Syag.g_01799
OG0000057	Prap.g_00799	Syag.g_00985
OG0000058	Prap.g_00081	Syag.g_02477
OG0000059	Prap.g_01691	Syag.g_02721
OG0000061	Prap.g_00456	Syag.g_01141
OG0000062	Prap.g_00206	Syag.g_01669
OG0000063	Prap.g_01903	Syag.g_02313
OG0000064	Prap.g_00883	Syag.g_00076, Syag.g_00487, Syag.g_01589
OG0000065	Prap.g_01069	Syag.g_01885, Syag.g_00182
OG0000066	Prap.g_01230, Prap.g_01867	Syag.g_01443
OG0000067	Prap.g_00783	Syag.g_00667
OG0000068	Prap.g_00059	Syag.g_01537
OG0000070	Prap.g_01316	Syag.g_00049
OG0000071	Prap.g_00561	Syag.g_01192
OG0000072	Prap.g_00999	Syag.g_01980, Syag.g_02859
OG0000073	Prap.g_01267	Syag.g_01505
OG0000075	Prap.g_01606	Syag.g_02434
OG0000076	Prap.g_01580	Syag.g_02393
OG0000077	Prap.g_01099	Syag.g_01831
OG0000078	Prap.g_01472	Syag.g_01778
OG0000079	Prap.g_01459	Syag.g_02659, Syag.g_02652
OG0000081	Prap.g_01238	Syag.g_00167
OG0000082	Prap.g_01183, Prap.g_01790	Syag.g_00318
OG0000084	Prap.g_00118	Syag.g_00212, Syag.g_01425
OG0000085	Prap.g_01917, Prap.g_01787	Syag.g_01676
OG0000086	Prap.g_01090	Syag.g_01853
OG0000087	Prap.g_01035	Syag.g_01939
OG0000088	Prap.g_01004	Syag.g_01974
OG0000089	Prap.g_01349	Syag.g_00005
OG0000090	Prap.g_01236	Syag.g_01454
OG0000091	Prap.g_00384	Syag.g_00418
OG0000093	Prap.g_00355	Syag.g_00649
OG0000094	Prap.g_00306	Syag.g_00881
OG0000095	Prap.g_00708	Syag.g_00974
OG0000097	Prap.g_00410	Syag.g_01065
OG0000098	Prap.g_01928	Syag.g_00578, Syag.g_01445
OG0000099	Prap.g_00082	Syag.g_02536
OG0000100	Prap.g_00200	Syag.g_00704
OG0000101	Prap.g_01642	Syag.g_02773
OG0000102	Prap.g_01575	Syag.g_02387
OG0000103	Prap.g_01491	Syag.g_02253
OG0000104	Prap.g_01869	Syag.g_02268
OG0000105	Prap.g_01436	Syag.g_02606
OG0000106	Prap.g_00591	Syag.g_00462
OG0000107	Prap.g_01714	Syag.g_02689
OG0000108	Prap.g_01287	Syag.g_01528
OG0000109	Prap.g_01273	Syag.g_01512
OG0000110	Prap.g_01194	Syag.g_00303
OG0000111	Prap.g_00798	Syag.g_00984
OG0000112	Prap.g_01121	Syag.g_00801
OG0000113	Prap.g_00760	Syag.g_00699
OG0000114	Prap.g_00858	Syag.g_00609
OG0000115	Prap.g_00525	Syag.g_01397
OG0000116	Prap.g_00467	Syag.g_01156
OG0000117	Prap.g_00429	Syag.g_01097
OG0000118	Prap.g_00574	Syag.g_01232
OG0000120	Prap.g_00079	Syag.g_02535
OG0000121	Prap.g_00123	Syag.g_01414
OG0000122	Prap.g_00532, Prap.g_00164	Syag.g_00446
OG0000123	Prap.g_01635	Syag.g_02781
OG0000124	Prap.g_01563	Syag.g_02367
OG0000125	Prap.g_01528	Syag.g_02136, Syag.g_02134
OG0000126	Prap.g_01870	Syag.g_02266
OG0000128	Prap.g_00043	Syag.g_02284
OG0000129	Prap.g_00910	Syag.g_02121
OG0000130	Prap.g_00881	Syag.g_01819
OG0000131	Prap.g_01026	Syag.g_01951
OG0000132	Prap.g_01006	Syag.g_01972
OG0000133	Prap.g_01389	Syag.g_00806
OG0000134	Prap.g_01347	Syag.g_00008
OG0000135	Prap.g_00543	Syag.g_02171
OG0000136	Prap.g_01325	Syag.g_00038
OG0000137	Prap.g_01292	Syag.g_01356
OG0000138	Prap.g_01272	Syag.g_01511
OG0000139	Prap.g_01232	Syag.g_01448
OG0000140	Prap.g_01231	Syag.g_01446
OG0000141	Prap.g_01160	Syag.g_00351
OG0000142	Prap.g_00392	Syag.g_00410
OG0000143	Prap.g_00388	Syag.g_00414
OG0000144	Prap.g_00374	Syag.g_00493
OG0000145	Prap.g_00545	Syag.g_01504
OG0000146	Prap.g_01122	Syag.g_00800
OG0000147	Prap.g_01123	Syag.g_00799
OG0000148	Prap.g_00766	Syag.g_00693
OG0000149	Prap.g_00734	Syag.g_00731
OG0000150	Prap.g_00724	Syag.g_00352
OG0000151	Prap.g_00848	Syag.g_00623
OG0000152	Prap.g_00257	Syag.g_00810
OG0000153	Prap.g_00276	Syag.g_00845
OG0000154	Prap.g_00296	Syag.g_00870
OG0000155	Prap.g_00435	Syag.g_01107
OG0000156	Prap.g_00550	Syag.g_01166
OG0000157	Prap.g_00551	Syag.g_01167
OG0000158	Prap.g_01598	Syag.g_02422
OG0000159	Prap.g_00890	Syag.g_02425
OG0000160	Prap.g_00122	Syag.g_01415
OG0000161	Prap.g_00128	Syag.g_01409
OG0000162	Prap.g_00134	Syag.g_01402
OG0000163	Prap.g_00173	Syag.g_00706, Syag.g_01618
OG0000164	Prap.g_01754	Syag.g_01725
OG0000165	Prap.g_01747	Syag.g_01733
OG0000166	Prap.g_01680	Syag.g_02733
OG0000167	Prap.g_01608	Syag.g_02437
OG0000168	Prap.g_01597	Syag.g_02417
OG0000169	Prap.g_01587	Syag.g_02405
OG0000170	Prap.g_01584	Syag.g_02398
OG0000171	Prap.g_01564	Syag.g_02368
OG0000172	Prap.g_01557	Syag.g_02360
OG0000173	Prap.g_01542	Syag.g_02337
OG0000174	Prap.g_01513	Syag.g_02175
OG0000175	Prap.g_01500	Syag.g_02240
OG0000176	Prap.g_00050	Syag.g_02276
OG0000177	Prap.g_00049	Syag.g_02277
OG0000178	Prap.g_00048	Syag.g_02278
OG0000179	Prap.g_00939	Syag.g_02293
OG0000180	Prap.g_00938	Syag.g_02294
OG0000181	Prap.g_00937	Syag.g_02295
OG0000182	Prap.g_00936	Syag.g_02296
OG0000183	Prap.g_00932	Syag.g_02300
OG0000184	Prap.g_00906	Syag.g_02110
OG0000185	Prap.g_00903	Syag.g_02092
OG0000186	Prap.g_00887	Syag.g_01815
OG0000187	Prap.g_00886	Syag.g_01816
OG0000188	Prap.g_01096	Syag.g_01839
OG0000189	Prap.g_01082	Syag.g_01872
OG0000190	Prap.g_01080	Syag.g_01874
OG0000191	Prap.g_01057	Syag.g_01909
OG0000192	Prap.g_01052	Syag.g_01915
OG0000193	Prap.g_01025	Syag.g_01952
OG0000194	Prap.g_01022	Syag.g_01955
OG0000195	Prap.g_01020	Syag.g_01957
OG0000196	Prap.g_01009	Syag.g_01968
OG0000197	Prap.g_01008	Syag.g_01969
OG0000198	Prap.g_01007	Syag.g_00108, Syag.g_01971
OG0000199	Prap.g_01000	Syag.g_01979
OG0000200	Prap.g_00986	Syag.g_01996
OG0000201	Prap.g_00977	Syag.g_02019, Syag.g_02023
OG0000202	Prap.g_00976	Syag.g_02024
OG0000203	Prap.g_00975	Syag.g_02025
OG0000204	Prap.g_00974	Syag.g_02020, Syag.g_02026
OG0000205	Prap.g_00967	Syag.g_02035
OG0000206	Prap.g_00962	Syag.g_02047
OG0000207	Prap.g_00959	Syag.g_02051
OG0000208	Prap.g_00958	Syag.g_02052
OG0000209	Prap.g_00949	Syag.g_02069
OG0000210	Prap.g_00948	Syag.g_02070
OG0000211	Prap.g_01479	Syag.g_01788
OG0000212	Prap.g_01471	Syag.g_01777
OG0000213	Prap.g_01453	Syag.g_02632
OG0000214	Prap.g_01443	Syag.g_02615
OG0000215	Prap.g_01416	Syag.g_02584
OG0000216	Prap.g_01415	Syag.g_02580
OG0000217	Prap.g_01412	Syag.g_02576
OG0000218	Prap.g_01410	Syag.g_02574
OG0000219	Prap.g_01409	Syag.g_02573
OG0000220	Prap.g_01408	Syag.g_02572
OG0000221	Prap.g_01407	Syag.g_02566
OG0000222	Prap.g_01400	Syag.g_02550
OG0000223	Prap.g_01388	Syag.g_02475
OG0000224	Prap.g_01386	Syag.g_02471
OG0000225	Prap.g_01360	Syag.g_02861
OG0000226	Prap.g_01356	Syag.g_02865
OG0000227	Prap.g_01354	Syag.g_02867
OG0000228	Prap.g_01350	Syag.g_00004
OG0000229	Prap.g_01330	Syag.g_00033
OG0000230	Prap.g_01328	Syag.g_00035
OG0000231	Prap.g_01317	Syag.g_00048
OG0000232	Prap.g_01306	Syag.g_00059
OG0000233	Prap.g_01300	Syag.g_01330
OG0000234	Prap.g_01291	Syag.g_01358
OG0000235	Prap.g_01288	Syag.g_01529
OG0000236	Prap.g_01274	Syag.g_01513
OG0000237	Prap.g_01261	Syag.g_01495
OG0000238	Prap.g_01255	Syag.g_01490
OG0000239	Prap.g_01244	Syag.g_01472
OG0000240	Prap.g_01243	Syag.g_01471
OG0000241	Prap.g_01239	Syag.g_00396
OG0000242	Prap.g_01237	Syag.g_01456
OG0000243	Prap.g_01226	Syag.g_00255
OG0000244	Prap.g_01223	Syag.g_00268
OG0000245	Prap.g_01221	Syag.g_00270
OG0000246	Prap.g_01217	Syag.g_00274
OG0000247	Prap.g_01207	Syag.g_00286
OG0000248	Prap.g_01204	Syag.g_00289
OG0000249	Prap.g_01202	Syag.g_00291
OG0000250	Prap.g_01197	Syag.g_00299
OG0000251	Prap.g_01177	Syag.g_00328
OG0000252	Prap.g_01174	Syag.g_00331
OG0000253	Prap.g_01173	Syag.g_00333
OG0000254	Prap.g_01156	Syag.g_00356
OG0000255	Prap.g_01150	Syag.g_00369
OG0000256	Prap.g_01140	Syag.g_00385
OG0000257	Prap.g_00397	Syag.g_00395
OG0000258	Prap.g_00383	Syag.g_00423
OG0000259	Prap.g_00366	Syag.g_00560
OG0000260	Prap.g_00363	Syag.g_00570
OG0000261	Prap.g_00360	Syag.g_00581
OG0000262	Prap.g_00356	Syag.g_00586
OG0000263	Prap.g_00820	Syag.g_01079
OG0000264	Prap.g_00809	Syag.g_01011
OG0000265	Prap.g_00791	Syag.g_01021
OG0000266	Prap.g_00337	Syag.g_00907
OG0000267	Prap.g_00325	Syag.g_00762
OG0000268	Prap.g_00324	Syag.g_00763
OG0000269	Prap.g_00788	Syag.g_00662
OG0000270	Prap.g_00785	Syag.g_00665
OG0000271	Prap.g_00777	Syag.g_00673
OG0000273	Prap.g_00752	Syag.g_00713
OG0000274	Prap.g_00751	Syag.g_00714
OG0000275	Prap.g_00748	Syag.g_00717
OG0000276	Prap.g_00742	Syag.g_00723
OG0000277	Prap.g_00741	Syag.g_00724
OG0000278	Prap.g_00738	Syag.g_00727
OG0000279	Prap.g_00731	Syag.g_00735
OG0000280	Prap.g_00730	Syag.g_00741
OG0000281	Prap.g_00723	Syag.g_00572
OG0000282	Prap.g_00856	Syag.g_00611
OG0000283	Prap.g_00680	Syag.g_00775
OG0000284	Prap.g_00675	Syag.g_00780
OG0000285	Prap.g_00243	Syag.g_00791
OG0000286	Prap.g_00256	Syag.g_00809
OG0000287	Prap.g_00522	Syag.g_00838
OG0000288	Prap.g_00295	Syag.g_00869
OG0000289	Prap.g_00311	Syag.g_00884
OG0000290	Prap.g_00705	Syag.g_00970
OG0000291	Prap.g_00707	Syag.g_00972
OG0000292	Prap.g_00501	Syag.g_02265
OG0000293	Prap.g_00466	Syag.g_01155
OG0000294	Prap.g_00465	Syag.g_01154
OG0000295	Prap.g_00442	Syag.g_01115
OG0000296	Prap.g_00440	Syag.g_01113
OG0000297	Prap.g_00431	Syag.g_01099
OG0000298	Prap.g_00430	Syag.g_01098
OG0000299	Prap.g_00411	Syag.g_01067
OG0000300	Prap.g_00408	Syag.g_01062
OG0000301	Prap.g_00407	Syag.g_01061
OG0000302	Prap.g_00405	Syag.g_01060
OG0000303	Prap.g_00399	Syag.g_01048
OG0000304	Prap.g_01135	Syag.g_01041
OG0000305	Prap.g_00499	Syag.g_00977
OG0000306	Prap.g_00719	Syag.g_00460
OG0000307	Prap.g_00068	Syag.g_01546
OG0000308	Prap.g_00069	Syag.g_01548
OG0000309	Prap.g_00073	Syag.g_01553
OG0000310	Prap.g_00107	Syag.g_01291
OG0000311	Prap.g_00109	Syag.g_01300
OG0000312	Prap.g_00112	Syag.g_01434
OG0000313	Prap.g_00125	Syag.g_00966, Syag.g_01412
OG0000314	Prap.g_00148	Syag.g_01380
OG0000315	Prap.g_00158	Syag.g_01369
OG0000316	Prap.g_00183	Syag.g_01641
OG0000317	Prap.g_01782	Syag.g_01684
OG0000318	Prap.g_01778	Syag.g_01688
OG0000319	Prap.g_01765	Syag.g_01710
OG0000320	Prap.g_01763	Syag.g_01712
OG0000321	Prap.g_01762	Syag.g_01713
OG0000322	Prap.g_01761	Syag.g_01714
OG0000323	Prap.g_01751	Syag.g_01728
OG0000324	Prap.g_01724	Syag.g_01757
OG0000325	Prap.g_01713	Syag.g_02690
OG0000326	Prap.g_01706	Syag.g_02698
OG0000327	Prap.g_01685	Syag.g_02728
OG0000328	Prap.g_01684	Syag.g_02729
OG0000329	Prap.g_01667	Syag.g_02747
OG0000330	Prap.g_01666	Syag.g_02748
OG0000331	Prap.g_01665	Syag.g_02749
OG0000332	Prap.g_01651	Syag.g_02764
OG0000333	Prap.g_01648, Prap.g_01649	Syag.g_02767
OG0000334	Prap.g_01639	Syag.g_02777
OG0000335	Prap.g_01634	Syag.g_02782
OG0000336	Prap.g_01630	Syag.g_02786
OG0000337	Prap.g_01612	Syag.g_02445
OG0000338	Prap.g_01611	Syag.g_02440
OG0000340	Prap.g_01596	Syag.g_02416
OG0000341	Prap.g_01594	Syag.g_02414
OG0000342	Prap.g_01593	Syag.g_02413
OG0000343	Prap.g_01592	Syag.g_02411
OG0000344	Prap.g_01589	Syag.g_02407
OG0000345	Prap.g_01583	Syag.g_02397
OG0000346	Prap.g_01579	Syag.g_02392
OG0000347	Prap.g_01562	Syag.g_02366
OG0000348	Prap.g_01554	Syag.g_02357
OG0000349	Prap.g_01537	Syag.g_02330
OG0000350	Prap.g_00623	Syag.g_02705
OG0000351	Prap.g_01497	Syag.g_02244
OG0000352	Prap.g_01496	Syag.g_02245
OG0000353	Prap.g_00055	Syag.g_02271
OG0000355	Prap.g_00053	Syag.g_02273
OG0000356	Prap.g_00052	Syag.g_02274
OG0000357	Prap.g_00051	Syag.g_02275
OG0000358	Prap.g_00047	Syag.g_02279
OG0000359	Prap.g_00046	Syag.g_02281
OG0000360	Prap.g_00045	Syag.g_02282
OG0000361	Prap.g_00044	Syag.g_02283
OG0000362	Prap.g_00042	Syag.g_02285
OG0000363	Prap.g_00941	Syag.g_02287
OG0000364	Prap.g_00940	Syag.g_02288
OG0000365	Prap.g_00935	Syag.g_02297
OG0000366	Prap.g_00934	Syag.g_02298
OG0000367	Prap.g_00933	Syag.g_02299
OG0000368	Prap.g_00931	Syag.g_02301
OG0000369	Prap.g_00930	Syag.g_02302
OG0000370	Prap.g_00929	Syag.g_02303
OG0000371	Prap.g_00922	Syag.g_02312
OG0000372	Prap.g_00919	Syag.g_02317
OG0000373	Prap.g_00918	Syag.g_02318
OG0000374	Prap.g_00917	Syag.g_02319
OG0000375	Prap.g_00915	Syag.g_02326
OG0000376	Prap.g_00913	Syag.g_02328
OG0000377	Prap.g_00909	Syag.g_02119
OG0000378	Prap.g_00905	Syag.g_02099
OG0000379	Prap.g_00902	Syag.g_02091
OG0000380	Prap.g_00885	Syag.g_01817
OG0000381	Prap.g_00880	Syag.g_01820
OG0000382	Prap.g_01097	Syag.g_01838
OG0000383	Prap.g_01095	Syag.g_01843
OG0000384	Prap.g_01094	Syag.g_01844
OG0000385	Prap.g_01093	Syag.g_01845
OG0000386	Prap.g_01092	Syag.g_01846
OG0000387	Prap.g_01078	Syag.g_01876
OG0000388	Prap.g_01074	Syag.g_01880
OG0000389	Prap.g_01071	Syag.g_01884
OG0000390	Prap.g_01061	Syag.g_01903
OG0000391	Prap.g_01058	Syag.g_01908
OG0000392	Prap.g_01054	Syag.g_01914
OG0000393	Prap.g_01051	Syag.g_01917
OG0000394	Prap.g_01050	Syag.g_01918
OG0000395	Prap.g_01049	Syag.g_01919
OG0000396	Prap.g_01047	Syag.g_01922
OG0000397	Prap.g_01045	Syag.g_01924
OG0000398	Prap.g_01042	Syag.g_01929
OG0000399	Prap.g_01041	Syag.g_01930
OG0000400	Prap.g_01040	Syag.g_01931
OG0000401	Prap.g_01039	Syag.g_01932
OG0000402	Prap.g_00319	Syag.g_01934
OG0000403	Prap.g_01037	Syag.g_01935
OG0000404	Prap.g_01036	Syag.g_01937
OG0000405	Prap.g_01032	Syag.g_01949
OG0000406	Prap.g_01024	Syag.g_01953
OG0000407	Prap.g_01023	Syag.g_01954
OG0000408	Prap.g_01021	Syag.g_01956
OG0000409	Prap.g_01019	Syag.g_01958
OG0000410	Prap.g_01018	Syag.g_01959
OG0000411	Prap.g_01017	Syag.g_01960
OG0000412	Prap.g_01016	Syag.g_01961
OG0000413	Prap.g_01014	Syag.g_01963
OG0000414	Prap.g_01013	Syag.g_01964
OG0000415	Prap.g_01012	Syag.g_01965
OG0000416	Prap.g_01011	Syag.g_01966
OG0000417	Prap.g_01010	Syag.g_01967
OG0000418	Prap.g_01005	Syag.g_01973
OG0000419	Prap.g_01003	Syag.g_01975
OG0000420	Prap.g_01002	Syag.g_01977
OG0000421	Prap.g_00997	Syag.g_01982
OG0000422	Prap.g_00996	Syag.g_01983
OG0000423	Prap.g_00995	Syag.g_01984
OG0000424	Prap.g_00994	Syag.g_01985
OG0000425	Prap.g_00993	Syag.g_01986
OG0000426	Prap.g_00992	Syag.g_01987
OG0000427	Prap.g_00991	Syag.g_01988
OG0000428	Prap.g_00989	Syag.g_01991
OG0000429	Prap.g_00988	Syag.g_01993
OG0000430	Prap.g_00987	Syag.g_01995
OG0000431	Prap.g_00985	Syag.g_01998
OG0000432	Prap.g_00981	Syag.g_02007
OG0000433	Prap.g_00980	Syag.g_02009
OG0000434	Prap.g_00979	Syag.g_02010
OG0000435	Prap.g_00978	Syag.g_02017
OG0000436	Prap.g_00973	Syag.g_02028
OG0000437	Prap.g_00972	Syag.g_02029
OG0000438	Prap.g_00971	Syag.g_02031
OG0000439	Prap.g_00969	Syag.g_02033
OG0000440	Prap.g_00968	Syag.g_02034
OG0000441	Prap.g_00965	Syag.g_02041
OG0000442	Prap.g_00964	Syag.g_02044
OG0000443	Prap.g_00963	Syag.g_02046
OG0000444	Prap.g_00957	Syag.g_02053
OG0000445	Prap.g_00956	Syag.g_02054
OG0000446	Prap.g_00955	Syag.g_02056
OG0000447	Prap.g_00954	Syag.g_02059
OG0000448	Prap.g_00953	Syag.g_02060
OG0000449	Prap.g_00952	Syag.g_02061
OG0000450	Prap.g_00951	Syag.g_02066
OG0000451	Prap.g_00950	Syag.g_02067
OG0000452	Prap.g_00947	Syag.g_02071
OG0000453	Prap.g_00946	Syag.g_02072
OG0000454	Prap.g_00945	Syag.g_02073
OG0000455	Prap.g_00944	Syag.g_02074
OG0000456	Prap.g_00943	Syag.g_02075
OG0000457	Prap.g_01487	Syag.g_02077
OG0000458	Prap.g_01486	Syag.g_02080
OG0000459	Prap.g_01485	Syag.g_02081
OG0000460	Prap.g_01477	Syag.g_01786
OG0000461	Prap.g_01469	Syag.g_02675
OG0000462	Prap.g_01467	Syag.g_02672
OG0000463	Prap.g_01466	Syag.g_02671
OG0000464	Prap.g_01465	Syag.g_02670
OG0000465	Prap.g_01464	Syag.g_02668
OG0000466	Prap.g_01461	Syag.g_02662
OG0000467	Prap.g_01460	Syag.g_02660
OG0000468	Prap.g_01457	Syag.g_02636
OG0000469	Prap.g_01449	Syag.g_02621
OG0000470	Prap.g_01447	Syag.g_02619
OG0000471	Prap.g_01446	Syag.g_02618
OG0000472	Prap.g_01444	Syag.g_02616
OG0000473	Prap.g_01442	Syag.g_02614
OG0000474	Prap.g_01441	Syag.g_02613
OG0000475	Prap.g_01440	Syag.g_02612
OG0000476	Prap.g_01438	Syag.g_02610
OG0000477	Prap.g_01435	Syag.g_02604
OG0000478	Prap.g_01434	Syag.g_02603
OG0000479	Prap.g_01433	Syag.g_02602
OG0000480	Prap.g_01428	Syag.g_02595
OG0000481	Prap.g_01425	Syag.g_02593
OG0000482	Prap.g_01424	Syag.g_02592
OG0000483	Prap.g_01421	Syag.g_02588
OG0000484	Prap.g_01420	Syag.g_02587
OG0000485	Prap.g_01418	Syag.g_02586
OG0000486	Prap.g_01417	Syag.g_02585
OG0000487	Prap.g_01414	Syag.g_02579
OG0000488	Prap.g_01411	Syag.g_02575
OG0000489	Prap.g_01406	Syag.g_02565
OG0000490	Prap.g_01402	Syag.g_02553
OG0000491	Prap.g_01401	Syag.g_02551
OG0000492	Prap.g_01399	Syag.g_02549
OG0000493	Prap.g_01398	Syag.g_02548
OG0000494	Prap.g_01397	Syag.g_02547
OG0000495	Prap.g_01396	Syag.g_02546
OG0000496	Prap.g_01395	Syag.g_02545
OG0000497	Prap.g_01394	Syag.g_02544
OG0000498	Prap.g_01393	Syag.g_02543
OG0000499	Prap.g_01392	Syag.g_02542
OG0000500	Prap.g_01391	Syag.g_02541
OG0000501	Prap.g_01390	Syag.g_02538
OG0000502	Prap.g_01387	Syag.g_02467
OG0000503	Prap.g_01372	Syag.g_02843
OG0000504	Prap.g_01370	Syag.g_02845
OG0000505	Prap.g_01369	Syag.g_02846
OG0000506	Prap.g_01368	Syag.g_02849
OG0000507	Prap.g_01365	Syag.g_02855
OG0000508	Prap.g_01361	Syag.g_02860
OG0000509	Prap.g_01359	Syag.g_02862
OG0000510	Prap.g_01358	Syag.g_02863
OG0000511	Prap.g_01357	Syag.g_02864
OG0000512	Prap.g_01355	Syag.g_02866
OG0000513	Prap.g_01346	Syag.g_00009
OG0000514	Prap.g_01335	Syag.g_00018
OG0000515	Prap.g_01334	Syag.g_00019
OG0000516	Prap.g_01333	Syag.g_00025
OG0000517	Prap.g_01331	Syag.g_00032
OG0000518	Prap.g_01320	Syag.g_00044
OG0000519	Prap.g_01319	Syag.g_00045
OG0000520	Prap.g_01318	Syag.g_00046
OG0000521	Prap.g_01310	Syag.g_00054
OG0000522	Prap.g_01308	Syag.g_00056
OG0000523	Prap.g_01307	Syag.g_00057
OG0000524	Prap.g_01302	Syag.g_01327
OG0000525	Prap.g_01298	Syag.g_01345
OG0000526	Prap.g_01297	Syag.g_01348
OG0000527	Prap.g_01294	Syag.g_01354
OG0000528	Prap.g_01289	Syag.g_01532
OG0000529	Prap.g_01286	Syag.g_01527
OG0000530	Prap.g_01283	Syag.g_01524
OG0000531	Prap.g_01282	Syag.g_01523
OG0000532	Prap.g_01280	Syag.g_01520
OG0000533	Prap.g_01279	Syag.g_01518
OG0000534	Prap.g_01278	Syag.g_01517
OG0000535	Prap.g_01277	Syag.g_01516
OG0000536	Prap.g_01276	Syag.g_01515
OG0000537	Prap.g_01275	Syag.g_01514
OG0000538	Prap.g_01266	Syag.g_01502
OG0000539	Prap.g_01265	Syag.g_01501
OG0000540	Prap.g_01264	Syag.g_01500
OG0000541	Prap.g_01263	Syag.g_01499
OG0000542	Prap.g_01262	Syag.g_01496
OG0000543	Prap.g_01260	Syag.g_01494
OG0000544	Prap.g_01259	Syag.g_01493
OG0000545	Prap.g_01257	Syag.g_01491
OG0000546	Prap.g_01254	Syag.g_01489
OG0000547	Prap.g_01252	Syag.g_01487
OG0000548	Prap.g_01251	Syag.g_01486
OG0000549	Prap.g_01249	Syag.g_01480
OG0000550	Prap.g_01245	Syag.g_01474
OG0000551	Prap.g_01242	Syag.g_01470
OG0000552	Prap.g_01241	Syag.g_01469
OG0000553	Prap.g_01240	Syag.g_01464
OG0000554	Prap.g_01235	Syag.g_01453
OG0000555	Prap.g_01227	Syag.g_00075
OG0000556	Prap.g_01225	Syag.g_00257
OG0000557	Prap.g_01224	Syag.g_00267
OG0000558	Prap.g_01222	Syag.g_00269
OG0000559	Prap.g_01218	Syag.g_00273
OG0000560	Prap.g_01215	Syag.g_00276
OG0000561	Prap.g_01214	Syag.g_00277
OG0000562	Prap.g_01213	Syag.g_00278
OG0000563	Prap.g_01212	Syag.g_00279
OG0000564	Prap.g_01211	Syag.g_00280
OG0000565	Prap.g_01209	Syag.g_00284
OG0000566	Prap.g_01205	Syag.g_00288
OG0000567	Prap.g_01201	Syag.g_00292
OG0000568	Prap.g_01200	Syag.g_00295
OG0000569	Prap.g_01199	Syag.g_00296
OG0000570	Prap.g_01198	Syag.g_00297
OG0000571	Prap.g_01196	Syag.g_00301
OG0000572	Prap.g_01182	Syag.g_00320, Syag.g_00251
OG0000573	Prap.g_01176	Syag.g_00329
OG0000574	Prap.g_01175	Syag.g_00330
OG0000575	Prap.g_01171	Syag.g_00335
OG0000576	Prap.g_01169	Syag.g_00337
OG0000577	Prap.g_01168	Syag.g_00338
OG0000578	Prap.g_01167	Syag.g_00339
OG0000579	Prap.g_01166	Syag.g_00340
OG0000580	Prap.g_01165	Syag.g_00341
OG0000581	Prap.g_01162	Syag.g_00348
