Orthogroup	Prap	Syas
OG0000126	Prap.g_01870	Syas.g_01992
OG0000128	Prap.g_00043	Syas.g_02046
OG0000129	Prap.g_00910	Syas.g_01880
OG0000130	Prap.g_00881	Syas.g_02522
OG0000131	Prap.g_01026	Syas.g_02367
OG0000132	Prap.g_01006	Syas.g_02334
OG0000133	Prap.g_01389	Syas.g_00457
OG0000134	Prap.g_01347	Syas.g_01509
OG0000135	Prap.g_00543	Syas.g_01938
OG0000136	Prap.g_01325	Syas.g_02740
OG0000137	Prap.g_01292	Syas.g_01333
OG0000138	Prap.g_01272	Syas.g_01235
OG0000139	Prap.g_01232	Syas.g_00069
OG0000140	Prap.g_01231	Syas.g_00090
OG0000141	Prap.g_01160	Syas.g_00875
OG0000142	Prap.g_00392	Syas.g_00746
OG0000143	Prap.g_00388	Syas.g_00742
OG0000144	Prap.g_00374	Syas.g_00718
OG0000145	Prap.g_00545	Syas.g_00948
OG0000146	Prap.g_01122	Syas.g_00451
OG0000147	Prap.g_01123	Syas.g_00450
OG0000148	Prap.g_00766	Syas.g_00577
OG0000149	Prap.g_00734	Syas.g_00282
OG0000150	Prap.g_00724	Syas.g_00874
OG0000151	Prap.g_00848	Syas.g_00148, Syas.g_00659
OG0000152	Prap.g_00257	Syas.g_00461
OG0000153	Prap.g_00276	Syas.g_00543
OG0000154	Prap.g_00296	Syas.g_00219
OG0000155	Prap.g_00435	Syas.g_01131
OG0000156	Prap.g_00550	Syas.g_01206
OG0000157	Prap.g_00551	Syas.g_01207
OG0000158	Prap.g_01598	Syas.g_02185
OG0000159	Prap.g_00890	Syas.g_01155
OG0000160	Prap.g_00122	Syas.g_02820
OG0000161	Prap.g_00128	Syas.g_02826
OG0000162	Prap.g_00134	Syas.g_02751
OG0000163	Prap.g_00173	Syas.g_01488
OG0000164	Prap.g_01754	Syas.g_02648
OG0000165	Prap.g_01747	Syas.g_02609
OG0000166	Prap.g_01680	Syas.g_01629
OG0000167	Prap.g_01608	Syas.g_01449
OG0000168	Prap.g_01597	Syas.g_02184
OG0000169	Prap.g_01587	Syas.g_02170
OG0000170	Prap.g_01584	Syas.g_02161
OG0000171	Prap.g_01564	Syas.g_02139
OG0000172	Prap.g_01557	Syas.g_02110
OG0000173	Prap.g_01542	Syas.g_02092
OG0000174	Prap.g_01513	Syas.g_01940
OG0000175	Prap.g_01500	Syas.g_01994
OG0000176	Prap.g_00050	Syas.g_02038
OG0000177	Prap.g_00049	Syas.g_02039
OG0000178	Prap.g_00048	Syas.g_02040
OG0000179	Prap.g_00939	Syas.g_02054
OG0000180	Prap.g_00938	Syas.g_02055
OG0000181	Prap.g_00937	Syas.g_02056
OG0000182	Prap.g_00936	Syas.g_02057
OG0000183	Prap.g_00932	Syas.g_02061
OG0000184	Prap.g_00906	Syas.g_01872
OG0000185	Prap.g_00903	Syas.g_01861
OG0000186	Prap.g_00887	Syas.g_02525
OG0000187	Prap.g_00886	Syas.g_02524
OG0000188	Prap.g_01096	Syas.g_02502
OG0000189	Prap.g_01082	Syas.g_02432
OG0000190	Prap.g_01080	Syas.g_00133
OG0000191	Prap.g_01057	Syas.g_02400
OG0000192	Prap.g_01052	Syas.g_02395
OG0000193	Prap.g_01025	Syas.g_02366
OG0000194	Prap.g_01022	Syas.g_02363
OG0000195	Prap.g_01020	Syas.g_02360
OG0000196	Prap.g_01009	Syas.g_02337
OG0000197	Prap.g_01008	Syas.g_02336
OG0000198	Prap.g_01007	Syas.g_02335
OG0000199	Prap.g_01000	Syas.g_02327
OG0000200	Prap.g_00986	Syas.g_02298
OG0000201	Prap.g_00977	Syas.g_02279
OG0000202	Prap.g_00976	Syas.g_02278
OG0000203	Prap.g_00975	Syas.g_02277
OG0000204	Prap.g_00974	Syas.g_02276
OG0000205	Prap.g_00967	Syas.g_02267
OG0000206	Prap.g_00962	Syas.g_02240
OG0000207	Prap.g_00959	Syas.g_02237
OG0000208	Prap.g_00958	Syas.g_02236
OG0000209	Prap.g_00949	Syas.g_01837
OG0000210	Prap.g_00948	Syas.g_01838
OG0000211	Prap.g_01479	Syas.g_02552
OG0000212	Prap.g_01471	Syas.g_02562
OG0000213	Prap.g_01453	Syas.g_01707
OG0000214	Prap.g_01443	Syas.g_01730
OG0000215	Prap.g_01416	Syas.g_01766
OG0000216	Prap.g_01415	Syas.g_01770
OG0000217	Prap.g_01412	Syas.g_01778
OG0000218	Prap.g_01410	Syas.g_01780
OG0000219	Prap.g_01409	Syas.g_01783
OG0000220	Prap.g_01408	Syas.g_01784
OG0000221	Prap.g_01407	Syas.g_01785
OG0000222	Prap.g_01400	Syas.g_01804
OG0000223	Prap.g_01388	Syas.g_02221
OG0000224	Prap.g_01386	Syas.g_02215
OG0000225	Prap.g_01360	Syas.g_01522
OG0000226	Prap.g_01356	Syas.g_01518
OG0000227	Prap.g_01354	Syas.g_01516
OG0000228	Prap.g_01350	Syas.g_01513
OG0000229	Prap.g_01330	Syas.g_01497
OG0000230	Prap.g_01328	Syas.g_01495
OG0000231	Prap.g_01317	Syas.g_02749
OG0000232	Prap.g_01306	Syas.g_01276
OG0000233	Prap.g_01300	Syas.g_01352
OG0000234	Prap.g_01291	Syas.g_01331
OG0000235	Prap.g_01288	Syas.g_01254
OG0000236	Prap.g_01274	Syas.g_01237
OG0000237	Prap.g_01261	Syas.g_01220
OG0000238	Prap.g_01255	Syas.g_01215
OG0000239	Prap.g_01244	Syas.g_00012
OG0000240	Prap.g_01243	Syas.g_00013
OG0000241	Prap.g_01239	Syas.g_00754
OG0000242	Prap.g_01237	Syas.g_00059
OG0000243	Prap.g_01226	Syas.g_00777
OG0000244	Prap.g_01223	Syas.g_00784
OG0000245	Prap.g_01221	Syas.g_00786
OG0000246	Prap.g_01217	Syas.g_00790
OG0000247	Prap.g_01207	Syas.g_00802
OG0000248	Prap.g_01204	Syas.g_00805
OG0000249	Prap.g_01202	Syas.g_00807
OG0000250	Prap.g_01197	Syas.g_00814
OG0000251	Prap.g_01177	Syas.g_00845
OG0000252	Prap.g_01174	Syas.g_00950
OG0000253	Prap.g_01173	Syas.g_00846
OG0000254	Prap.g_01156	Syas.g_00869
OG0000255	Prap.g_01150	Syas.g_00132, Syas.g_01062
OG0000256	Prap.g_01140	Syas.g_00104
OG0000257	Prap.g_00397	Syas.g_00757
OG0000258	Prap.g_00383	Syas.g_00733
OG0000259	Prap.g_00366	Syas.g_01006, Syas.g_00708
OG0000260	Prap.g_00363	Syas.g_00705
OG0000261	Prap.g_00360	Syas.g_00701
OG0000262	Prap.g_00356	Syas.g_00695
OG0000263	Prap.g_00820	Syas.g_01103
OG0000264	Prap.g_00809	Syas.g_02588
OG0000266	Prap.g_00337	Syas.g_00186
OG0000267	Prap.g_00325	Syas.g_00377
OG0000268	Prap.g_00324	Syas.g_00390
OG0000269	Prap.g_00788	Syas.g_00601
OG0000270	Prap.g_00785	Syas.g_00598
OG0000271	Prap.g_00777	Syas.g_00590
OG0000272	Prap.g_00776	Syas.g_00589
OG0000273	Prap.g_00752	Syas.g_00563
OG0000274	Prap.g_00751	Syas.g_00562
OG0000275	Prap.g_00748	Syas.g_00230
OG0000276	Prap.g_00742	Syas.g_00237
OG0000277	Prap.g_00741	Syas.g_00238
OG0000278	Prap.g_00738	Syas.g_00241
OG0000279	Prap.g_00731	Syas.g_00288
OG0000280	Prap.g_00730	Syas.g_00889, Syas.g_00481
OG0000281	Prap.g_00723	Syas.g_00970
OG0000282	Prap.g_00856	Syas.g_00672
OG0000283	Prap.g_00680	Syas.g_00409
OG0000284	Prap.g_00675	Syas.g_00416
OG0000285	Prap.g_00243	Syas.g_00436
OG0000286	Prap.g_00256	Syas.g_00460
OG0000287	Prap.g_00522	Syas.g_00534
OG0000288	Prap.g_00295	Syas.g_00220
OG0000289	Prap.g_00311	Syas.g_00205
OG0000290	Prap.g_00705	Syas.g_01016
OG0000291	Prap.g_00707	Syas.g_01018
OG0000292	Prap.g_00501	Syas.g_02020
OG0000293	Prap.g_00466	Syas.g_01197
OG0000294	Prap.g_00465	Syas.g_01196
OG0000295	Prap.g_00442	Syas.g_01139
OG0000296	Prap.g_00440	Syas.g_01137
OG0000297	Prap.g_00431	Syas.g_01124
OG0000298	Prap.g_00430	Syas.g_01123
OG0000299	Prap.g_00411	Syas.g_01087
OG0000300	Prap.g_00408	Syas.g_01082
OG0000301	Prap.g_00407	Syas.g_01081
OG0000302	Prap.g_00405	Syas.g_01080
OG0000303	Prap.g_00399	Syas.g_01071
OG0000304	Prap.g_01135	Syas.g_01066
OG0000305	Prap.g_00499	Syas.g_01023
OG0000306	Prap.g_00719	Syas.g_01929
OG0000307	Prap.g_00068	Syas.g_01270
OG0000308	Prap.g_00069	Syas.g_01272
OG0000309	Prap.g_00073	Syas.g_01364
OG0000310	Prap.g_00107	Syas.g_02796
OG0000311	Prap.g_00109	Syas.g_02799
OG0000312	Prap.g_00112	Syas.g_02804
OG0000313	Prap.g_00125	Syas.g_02823
OG0000314	Prap.g_00148	Syas.g_01296
OG0000315	Prap.g_00158	Syas.g_01306
OG0000316	Prap.g_00183	Syas.g_02728
OG0000317	Prap.g_01782	Syas.g_02687
OG0000318	Prap.g_01778	Syas.g_02680
OG0000319	Prap.g_01765	Syas.g_02663
OG0000320	Prap.g_01763	Syas.g_02661
OG0000321	Prap.g_01762	Syas.g_02660
OG0000322	Prap.g_01761	Syas.g_02659
OG0000323	Prap.g_01751	Syas.g_02646
OG0000324	Prap.g_01724	Syas.g_02578
OG0000325	Prap.g_01713	Syas.g_01668
OG0000326	Prap.g_01706	Syas.g_01661
OG0000327	Prap.g_01685	Syas.g_01634
OG0000328	Prap.g_01684	Syas.g_01633
OG0000329	Prap.g_01667	Syas.g_01615
OG0000330	Prap.g_01666	Syas.g_01614
OG0000331	Prap.g_01665	Syas.g_01613
OG0000332	Prap.g_01651	Syas.g_01598
OG0000333	Prap.g_01648, Prap.g_01649	Syas.g_01595
OG0000334	Prap.g_01639	Syas.g_01586
OG0000335	Prap.g_01634	Syas.g_01581
OG0000336	Prap.g_01630	Syas.g_01577
OG0000337	Prap.g_01612	Syas.g_02211
OG0000338	Prap.g_01611	Syas.g_02199
OG0000339	Prap.g_01605	Syas.g_02192
OG0000340	Prap.g_01596	Syas.g_02183
OG0000341	Prap.g_01594	Syas.g_02181
OG0000342	Prap.g_01593	Syas.g_02180
OG0000343	Prap.g_01592	Syas.g_02176
OG0000344	Prap.g_01589	Syas.g_02172
OG0000345	Prap.g_01583	Syas.g_02160
OG0000346	Prap.g_01579	Syas.g_02155
OG0000347	Prap.g_01562	Syas.g_02136
OG0000348	Prap.g_01554	Syas.g_02107
OG0000349	Prap.g_01537	Syas.g_02085
OG0000350	Prap.g_00623	Syas.g_01654
OG0000351	Prap.g_01497	Syas.g_01998
OG0000352	Prap.g_01496	Syas.g_01999
OG0000353	Prap.g_00055	Syas.g_02033
OG0000355	Prap.g_00053	Syas.g_02035
OG0000356	Prap.g_00052	Syas.g_02036
OG0000357	Prap.g_00051	Syas.g_02037
OG0000358	Prap.g_00047	Syas.g_02041
OG0000359	Prap.g_00046	Syas.g_02043
OG0000360	Prap.g_00045	Syas.g_02044
OG0000361	Prap.g_00044	Syas.g_02045
OG0000362	Prap.g_00042	Syas.g_02047
OG0000363	Prap.g_00941	Syas.g_02049
OG0000364	Prap.g_00940	Syas.g_02685
OG0000365	Prap.g_00935	Syas.g_02058
OG0000366	Prap.g_00934	Syas.g_02059
OG0000368	Prap.g_00931	Syas.g_02062
OG0000369	Prap.g_00930	Syas.g_02063
OG0000370	Prap.g_00929	Syas.g_02064
OG0000371	Prap.g_00922	Syas.g_02073
OG0000372	Prap.g_00919	Syas.g_02078
OG0000373	Prap.g_00918	Syas.g_02079
OG0000374	Prap.g_00917	Syas.g_02080
OG0000375	Prap.g_00915	Syas.g_02081
OG0000376	Prap.g_00913	Syas.g_02083
OG0000377	Prap.g_00909	Syas.g_01879
OG0000378	Prap.g_00905	Syas.g_01867
OG0000379	Prap.g_00902	Syas.g_01859
OG0000380	Prap.g_00885	Syas.g_02523
OG0000381	Prap.g_00880	Syas.g_02521
OG0000382	Prap.g_01097	Syas.g_02503
OG0000383	Prap.g_01095	Syas.g_02480
OG0000384	Prap.g_01094	Syas.g_02479
OG0000385	Prap.g_01093	Syas.g_02478
OG0000386	Prap.g_01092	Syas.g_02477
OG0000387	Prap.g_01078	Syas.g_00134
OG0000388	Prap.g_01074	Syas.g_02426
OG0000389	Prap.g_01071	Syas.g_02422
OG0000390	Prap.g_01061	Syas.g_02406
OG0000391	Prap.g_01058	Syas.g_02401
OG0000392	Prap.g_01054	Syas.g_02396
OG0000393	Prap.g_01051	Syas.g_02394
OG0000394	Prap.g_01050	Syas.g_02393
OG0000395	Prap.g_01049	Syas.g_02392
OG0000396	Prap.g_01047	Syas.g_02389
OG0000397	Prap.g_01045	Syas.g_02387
OG0000398	Prap.g_01042	Syas.g_02382
OG0000399	Prap.g_01041	Syas.g_02381
OG0000400	Prap.g_01040	Syas.g_02380
OG0000401	Prap.g_01039	Syas.g_02379
OG0000402	Prap.g_00319	Syas.g_02377
OG0000403	Prap.g_01037	Syas.g_02376
OG0000404	Prap.g_01036	Syas.g_02375
OG0000405	Prap.g_01032	Syas.g_02369
OG0000406	Prap.g_01024	Syas.g_02365
OG0000407	Prap.g_01023	Syas.g_02364
OG0000408	Prap.g_01021	Syas.g_02361
OG0000409	Prap.g_01019	Syas.g_02359
OG0000410	Prap.g_01018	Syas.g_02358
OG0000411	Prap.g_01017	Syas.g_02357
OG0000412	Prap.g_01016	Syas.g_02356
OG0000413	Prap.g_01014	Syas.g_02354
OG0000414	Prap.g_01013	Syas.g_02353
OG0000415	Prap.g_01012	Syas.g_02352
OG0000416	Prap.g_01011	Syas.g_02351
OG0000417	Prap.g_01010	Syas.g_02338
OG0000418	Prap.g_01005	Syas.g_02333
OG0000419	Prap.g_01003	Syas.g_02331
OG0000420	Prap.g_01002	Syas.g_02329
OG0000421	Prap.g_00997	Syas.g_02324
OG0000422	Prap.g_00996	Syas.g_02323
OG0000423	Prap.g_00995	Syas.g_02322
OG0000424	Prap.g_00994	Syas.g_02321
OG0000425	Prap.g_00993	Syas.g_02320
OG0000426	Prap.g_00992	Syas.g_02319
OG0000427	Prap.g_00991	Syas.g_02318
OG0000428	Prap.g_00989	Syas.g_02315
OG0000429	Prap.g_00988	Syas.g_02312
OG0000430	Prap.g_00987	Syas.g_02311
OG0000431	Prap.g_00985	Syas.g_02296
OG0000432	Prap.g_00981	Syas.g_02288
OG0000433	Prap.g_00980	Syas.g_02286
OG0000434	Prap.g_00979	Syas.g_02285
OG0000435	Prap.g_00978	Syas.g_02282
OG0000436	Prap.g_00973	Syas.g_02273
OG0000437	Prap.g_00972	Syas.g_02272
OG0000438	Prap.g_00971	Syas.g_02271
OG0000439	Prap.g_00969	Syas.g_02269
OG0000440	Prap.g_00968	Syas.g_02268
OG0000441	Prap.g_00965	Syas.g_02265
OG0000442	Prap.g_00964	Syas.g_02259
OG0000443	Prap.g_00963	Syas.g_02241
OG0000444	Prap.g_00957	Syas.g_02234
OG0000445	Prap.g_00956	Syas.g_02233
OG0000446	Prap.g_00955	Syas.g_02231
OG0000447	Prap.g_00954	Syas.g_02229
OG0000448	Prap.g_00953	Syas.g_02228
OG0000449	Prap.g_00952	Syas.g_02226
OG0000450	Prap.g_00951	Syas.g_01834
OG0000451	Prap.g_00950	Syas.g_01835
OG0000452	Prap.g_00947	Syas.g_01844
OG0000453	Prap.g_00946	Syas.g_01845
OG0000454	Prap.g_00945	Syas.g_01846
OG0000455	Prap.g_00944	Syas.g_01847
OG0000456	Prap.g_00943	Syas.g_01848
OG0000457	Prap.g_01487	Syas.g_01850
OG0000458	Prap.g_01486	Syas.g_01851
OG0000459	Prap.g_01485	Syas.g_01852
OG0000460	Prap.g_01477	Syas.g_02554
OG0000461	Prap.g_01469	Syas.g_01686
OG0000462	Prap.g_01467	Syas.g_01688
OG0000463	Prap.g_01466	Syas.g_01689
OG0000464	Prap.g_01465	Syas.g_01690
OG0000465	Prap.g_01464	Syas.g_01692
OG0000466	Prap.g_01461	Syas.g_01697
OG0000467	Prap.g_01460	Syas.g_01698
OG0000468	Prap.g_01457	Syas.g_01703
OG0000469	Prap.g_01449	Syas.g_01725
OG0000470	Prap.g_01447	Syas.g_01727
OG0000471	Prap.g_01446	Syas.g_01728
OG0000472	Prap.g_01444	Syas.g_01729
OG0000473	Prap.g_01442	Syas.g_01731
OG0000474	Prap.g_01441	Syas.g_01732
OG0000475	Prap.g_01440	Syas.g_01733
OG0000476	Prap.g_01438	Syas.g_01735
OG0000477	Prap.g_01435	Syas.g_01740
OG0000478	Prap.g_01434	Syas.g_01741
OG0000479	Prap.g_01433	Syas.g_01749
OG0000480	Prap.g_01428	Syas.g_01756
OG0000481	Prap.g_01425	Syas.g_00161, Syas.g_00162
OG0000482	Prap.g_01424	Syas.g_01758
OG0000483	Prap.g_01421	Syas.g_01762
OG0000484	Prap.g_01420	Syas.g_01763
OG0000485	Prap.g_01418	Syas.g_01764
OG0000486	Prap.g_01417	Syas.g_01765
OG0000487	Prap.g_01414	Syas.g_01771
OG0000488	Prap.g_01411	Syas.g_01779
OG0000489	Prap.g_01406	Syas.g_01823
OG0000490	Prap.g_01402	Syas.g_01808
OG0000491	Prap.g_01401	Syas.g_01806
OG0000492	Prap.g_01399	Syas.g_01803
OG0000493	Prap.g_01398	Syas.g_01802
OG0000494	Prap.g_01397	Syas.g_01801
OG0000495	Prap.g_01396	Syas.g_01799
OG0000496	Prap.g_01395	Syas.g_01798
OG0000497	Prap.g_01394	Syas.g_01797
OG0000498	Prap.g_01393	Syas.g_01796
OG0000499	Prap.g_01392	Syas.g_01795
OG0000500	Prap.g_01391	Syas.g_01794
OG0000501	Prap.g_01390	Syas.g_01791
OG0000502	Prap.g_01387	Syas.g_02216
OG0000503	Prap.g_01372	Syas.g_01541
OG0000504	Prap.g_01370	Syas.g_01539
OG0000505	Prap.g_01369	Syas.g_01538
OG0000506	Prap.g_01368	Syas.g_01536
OG0000507	Prap.g_01365	Syas.g_01530
OG0000508	Prap.g_01361	Syas.g_01523
OG0000509	Prap.g_01359	Syas.g_01521
OG0000510	Prap.g_01358	Syas.g_01520
OG0000511	Prap.g_01357	Syas.g_01519
OG0000512	Prap.g_01355	Syas.g_01517
OG0000513	Prap.g_01346	Syas.g_01508
OG0000514	Prap.g_01335	Syas.g_01504
OG0000515	Prap.g_01334	Syas.g_01503
OG0000516	Prap.g_01333	Syas.g_01501
OG0000517	Prap.g_01331	Syas.g_01498
OG0000518	Prap.g_01320	Syas.g_00360, Syas.g_02746
OG0000519	Prap.g_01319	Syas.g_02747
OG0000520	Prap.g_01318	Syas.g_02748
OG0000521	Prap.g_01310	Syas.g_01281
OG0000522	Prap.g_01308	Syas.g_01279
OG0000523	Prap.g_01307	Syas.g_01278
OG0000524	Prap.g_01302	Syas.g_01354
OG0000525	Prap.g_01298	Syas.g_01342
OG0000526	Prap.g_01297	Syas.g_01340
OG0000527	Prap.g_01294	Syas.g_01335
OG0000528	Prap.g_01289	Syas.g_01256
OG0000529	Prap.g_01286	Syas.g_01252
OG0000530	Prap.g_01283	Syas.g_01249
OG0000531	Prap.g_01282	Syas.g_01248
OG0000532	Prap.g_01280	Syas.g_01245
OG0000533	Prap.g_01279	Syas.g_01243
OG0000534	Prap.g_01278	Syas.g_01242
OG0000535	Prap.g_01277	Syas.g_01241
OG0000536	Prap.g_01276	Syas.g_01240
OG0000537	Prap.g_01275	Syas.g_01238
OG0000538	Prap.g_01266	Syas.g_01228
OG0000539	Prap.g_01265	Syas.g_01227
OG0000540	Prap.g_01264	Syas.g_01226
OG0000541	Prap.g_01263	Syas.g_01225
OG0000542	Prap.g_01262	Syas.g_01221
OG0000543	Prap.g_01260	Syas.g_01219
OG0000544	Prap.g_01259	Syas.g_01218
OG0000545	Prap.g_01257	Syas.g_01216
OG0000546	Prap.g_01254	Syas.g_01214
OG0000547	Prap.g_01252	Syas.g_01212
OG0000548	Prap.g_01251	Syas.g_01211
OG0000549	Prap.g_01249	Syas.g_00005
OG0000550	Prap.g_01245	Syas.g_00010
OG0000551	Prap.g_01242	Syas.g_00015
OG0000552	Prap.g_01241	Syas.g_00016
OG0000553	Prap.g_01240	Syas.g_00019
OG0000554	Prap.g_01235	Syas.g_00063
OG0000555	Prap.g_01227	Syas.g_00775
OG0000556	Prap.g_01225	Syas.g_00781
OG0000557	Prap.g_01224	Syas.g_00783
OG0000558	Prap.g_01222	Syas.g_00785
OG0000559	Prap.g_01218	Syas.g_00789
OG0000560	Prap.g_01215	Syas.g_00792
OG0000561	Prap.g_01214	Syas.g_00793
OG0000562	Prap.g_01213	Syas.g_00794
OG0000563	Prap.g_01212	Syas.g_00795
OG0000564	Prap.g_01211	Syas.g_00796
OG0000565	Prap.g_01209	Syas.g_00800
OG0000566	Prap.g_01205	Syas.g_00804
OG0000567	Prap.g_01201	Syas.g_00808
OG0000568	Prap.g_01200	Syas.g_00810
OG0000569	Prap.g_01199	Syas.g_00811
OG0000570	Prap.g_01198	Syas.g_00812
OG0000571	Prap.g_01196	Syas.g_00815
OG0000572	Prap.g_01182	Syas.g_00839
OG0000573	Prap.g_01176	Syas.g_00952
OG0000574	Prap.g_01175	Syas.g_00951
OG0000575	Prap.g_01171	Syas.g_00848
OG0000576	Prap.g_01169	Syas.g_00850
OG0000577	Prap.g_01168	Syas.g_00851
OG0000578	Prap.g_01167	Syas.g_00852
OG0000579	Prap.g_01166	Syas.g_00853
OG0000580	Prap.g_01165	Syas.g_00854
OG0000581	Prap.g_01162	Syas.g_00861
OG0000582	Prap.g_01159	Syas.g_00873
OG0000583	Prap.g_01158	Syas.g_00872
OG0000584	Prap.g_01157	Syas.g_00871
OG0000585	Prap.g_01155	Syas.g_00868
OG0000586	Prap.g_01154	Syas.g_00867
OG0000587	Prap.g_01153	Syas.g_00865
OG0000588	Prap.g_01149	Syas.g_00960
OG0000589	Prap.g_01147	Syas.g_00121
OG0000590	Prap.g_01146	Syas.g_00120
