Orthogroup	Syaa	Prbb
OG0000046	Syaa.g_02211, Syaa.g_02205, Syaa.g_02218	Prbb.g_00379
OG0000047	Syaa.g_02189	Prbb.g_00386, Prbb.g_00421
OG0000048	Syaa.g_00275, Syaa.g_02719	Prbb.g_00325
OG0000050	Syaa.g_01591	Prbb.g_01452
OG0000050	Syaa.g_01213, Syaa.g_01712	Prbb.g_00116
OG0000052	Syaa.g_00174	Prbb.g_00112
OG0000053	Syaa.g_01797	Prbb.g_01705
OG0000054	Syaa.g_01691, Syaa.g_01502	Prbb.g_00607
OG0000055	Syaa.g_01564	Prbb.g_01897
OG0000057	Syaa.g_01466, Syaa.g_00889	Prbb.g_01359, Prbb.g_00706
OG0000058	Syaa.g_00193, Syaa.g_00455	Prbb.g_00851
OG0000059	Syaa.g_02315	Prbb.g_01946
OG0000060	Syaa.g_02053, Syaa.g_01007	Prbb.g_01153
OG0000061	Syaa.g_00469	Prbb.g_00874
OG0000061	Syaa.g_00770	Prbb.g_01517
OG0000062	Syaa.g_00571	Prbb.g_01768
OG0000063	Syaa.g_00042	Prbb.g_01921
OG0000065	Syaa.g_02380	Prbb.g_00162
OG0000066	Syaa.g_01968	Prbb.g_00542
OG0000067	Syaa.g_01154	Prbb.g_00783
OG0000068	Syaa.g_02059	Prbb.g_01639
OG0000069	Syaa.g_01497, Syaa.g_01256	Prbb.g_01324, Prbb.g_01729
OG0000070	Syaa.g_00718	Prbb.g_00455
OG0000071	Syaa.g_00735	Prbb.g_01586
OG0000072	Syaa.g_02480	Prbb.g_00228
OG0000073	Syaa.g_02030	Prbb.g_00503
OG0000074	Syaa.g_00372	Prbb.g_01104
OG0000075	Syaa.g_00157	Prbb.g_02036
OG0000076	Syaa.g_00123	Prbb.g_02061
OG0000078	Syaa.g_02103	Prbb.g_00297
OG0000079	Syaa.g_00303	Prbb.g_00308
OG0000081	Syaa.g_02089, Syaa.g_01694	Prbb.g_00534
OG0000082	Syaa.g_01905	Prbb.g_01882
OG0000084	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770	Prbb.g_01683
OG0000085	Syaa.g_00564	Prbb.g_01816
OG0000086	Syaa.g_00324	Prbb.g_00143
OG0000087	Syaa.g_02433	Prbb.g_00196
OG0000088	Syaa.g_02474	Prbb.g_00223
OG0000089	Syaa.g_02149	Prbb.g_00416
OG0000090	Syaa.g_01980	Prbb.g_00536
OG0000091	Syaa.g_01625	Prbb.g_00643
OG0000093	Syaa.g_01139	Prbb.g_00768
OG0000094	Syaa.g_01288	Prbb.g_00892
OG0000095	Syaa.g_00879	Prbb.g_01070
OG0000097	Syaa.g_00979	Prbb.g_01470
OG0000098	Syaa.g_01970	Prbb.g_01608
OG0000099	Syaa.g_00202	Prbb.g_00388
OG0000100	Syaa.g_01201	Prbb.g_01763
OG0000101	Syaa.g_02249	Prbb.g_02001
OG0000102	Syaa.g_00118	Prbb.g_02066
OG0000103	Syaa.g_02740	Prbb.g_02174
OG0000104	Syaa.g_02754	Prbb.g_02185
OG0000105	Syaa.g_00270	Prbb.g_00327
OG0000106	Syaa.g_01439	Prbb.g_01197, Prbb.g_01329
OG0000107	Syaa.g_02351	Prbb.g_01923
OG0000108	Syaa.g_02051	Prbb.g_00484, Prbb.g_00485
OG0000109	Syaa.g_02036	Prbb.g_00498
OG0000110	Syaa.g_01918	Prbb.g_00578
OG0000111	Syaa.g_00888	Prbb.g_00707
OG0000112	Syaa.g_01366	Prbb.g_00983
OG0000113	Syaa.g_01196	Prbb.g_00807, Prbb.g_01218
OG0000114	Syaa.g_01094	Prbb.g_00932
OG0000115	Syaa.g_01795	Prbb.g_01780
OG0000116	Syaa.g_00757	Prbb.g_01528
OG0000117	Syaa.g_01009	Prbb.g_01399
OG0000118	Syaa.g_01874	Prbb.g_01598
OG0000119	Syaa.g_00785	Prbb.g_01632
OG0000120	Syaa.g_00201	Prbb.g_00678
OG0000121	Syaa.g_01777	Prbb.g_01688
OG0000122	Syaa.g_01598	Prbb.g_01727
OG0000123	Syaa.g_02242	Prbb.g_02008
OG0000125	Syaa.g_02598	Prbb.g_02131
OG0000126	Syaa.g_02752	Prbb.g_02183
OG0000127	Syaa.g_00934	Prbb.g_01346
OG0000128	Syaa.g_00012	Prbb.g_00012
OG0000129	Syaa.g_02586	Prbb.g_00059
OG0000130	Syaa.g_00354	Prbb.g_00124
OG0000131	Syaa.g_02448	Prbb.g_00202
OG0000132	Syaa.g_02472	Prbb.g_00221
OG0000133	Syaa.g_01361	Prbb.g_00373
OG0000134	Syaa.g_02146	Prbb.g_00418
OG0000135	Syaa.g_02649	Prbb.g_01326
OG0000136	Syaa.g_00708	Prbb.g_00446
OG0000137	Syaa.g_01842	Prbb.g_00478
OG0000138	Syaa.g_02035	Prbb.g_00499
OG0000139	Syaa.g_01974	Prbb.g_00540
OG0000140	Syaa.g_01971	Prbb.g_00541
OG0000141	Syaa.g_01689	Prbb.g_00608
OG0000142	Syaa.g_01633	Prbb.g_00636
OG0000143	Syaa.g_01629	Prbb.g_00640
OG0000144	Syaa.g_01446	Prbb.g_00653
OG0000145	Syaa.g_02029	Prbb.g_01099
OG0000146	Syaa.g_01367	Prbb.g_00982
OG0000147	Syaa.g_01368	Prbb.g_00981
OG0000148	Syaa.g_01190	Prbb.g_00801
OG0000149	Syaa.g_00826	Prbb.g_00832
OG0000150	Syaa.g_01688	Prbb.g_00840
OG0000151	Syaa.g_01107	Prbb.g_00943
OG0000152	Syaa.g_01357	Prbb.g_00991
OG0000153	Syaa.g_01324	Prbb.g_01009
OG0000154	Syaa.g_01298	Prbb.g_01040
OG0000155	Syaa.g_00804	Prbb.g_01495
OG0000156	Syaa.g_00751	Prbb.g_01575
OG0000157	Syaa.g_00750	Prbb.g_01576
OG0000158	Syaa.g_00148	Prbb.g_02044
OG0000160	Syaa.g_01776	Prbb.g_01687
OG0000161	Syaa.g_01782	Prbb.g_01693
OG0000162	Syaa.g_01788	Prbb.g_01699
OG0000163	Syaa.g_00624	Prbb.g_01735
OG0000164	Syaa.g_00507	Prbb.g_01845
OG0000165	Syaa.g_00681	Prbb.g_01853
OG0000166	Syaa.g_02289	Prbb.g_01964
OG0000167	Syaa.g_00160	Prbb.g_02034
OG0000168	Syaa.g_00145	Prbb.g_02045
OG0000169	Syaa.g_00134	Prbb.g_02055
OG0000170	Syaa.g_00128	Prbb.g_02057
OG0000171	Syaa.g_00093	Prbb.g_02078
OG0000172	Syaa.g_00079	Prbb.g_02101
OG0000173	Syaa.g_00060	Prbb.g_02116
OG0000174	Syaa.g_02651	Prbb.g_02147
OG0000175	Syaa.g_02726	Prbb.g_02165
OG0000176	Syaa.g_00004	Prbb.g_00004
OG0000177	Syaa.g_00005	Prbb.g_00005
OG0000178	Syaa.g_00006	Prbb.g_00007, Prbb.g_00006
OG0000179	Syaa.g_00023	Prbb.g_00017
OG0000180	Syaa.g_00024	Prbb.g_00018
OG0000181	Syaa.g_00025	Prbb.g_00019
OG0000182	Syaa.g_00026	Prbb.g_00020
OG0000183	Syaa.g_00030	Prbb.g_00024
OG0000184	Syaa.g_02578	Prbb.g_00061
OG0000185	Syaa.g_02575	Prbb.g_00064
OG0000186	Syaa.g_00359	Prbb.g_00119
OG0000187	Syaa.g_00358	Prbb.g_00120
OG0000188	Syaa.g_00334	Prbb.g_00137
OG0000189	Syaa.g_02367	Prbb.g_00151
OG0000190	Syaa.g_02369	Prbb.g_00152
OG0000191	Syaa.g_02404	Prbb.g_00175
OG0000192	Syaa.g_02410	Prbb.g_00179
OG0000193	Syaa.g_02449	Prbb.g_00203
OG0000194	Syaa.g_02452	Prbb.g_00206
OG0000195	Syaa.g_02459	Prbb.g_00208
OG0000196	Syaa.g_02469	Prbb.g_00218
OG0000197	Syaa.g_02470	Prbb.g_00219
OG0000198	Syaa.g_02471	Prbb.g_00220
OG0000199	Syaa.g_02479	Prbb.g_00227
OG0000200	Syaa.g_02496	Prbb.g_00240
OG0000201	Syaa.g_02521	Prbb.g_00249
OG0000202	Syaa.g_02522	Prbb.g_00250
OG0000203	Syaa.g_02523	Prbb.g_00251
OG0000204	Syaa.g_02524	Prbb.g_00252
OG0000205	Syaa.g_02531	Prbb.g_00259
OG0000206	Syaa.g_02538	Prbb.g_00263
OG0000207	Syaa.g_02540	Prbb.g_00265
OG0000208	Syaa.g_02541	Prbb.g_00266
OG0000209	Syaa.g_02556	Prbb.g_00275
OG0000210	Syaa.g_02557	Prbb.g_00276
OG0000211	Syaa.g_02113	Prbb.g_00290
OG0000212	Syaa.g_02102	Prbb.g_00298
OG0000213	Syaa.g_00295	Prbb.g_00313
OG0000214	Syaa.g_00279	Prbb.g_00321
OG0000215	Syaa.g_00248	Prbb.g_00344
OG0000216	Syaa.g_00244	Prbb.g_00345
OG0000217	Syaa.g_00240	Prbb.g_00348
OG0000218	Syaa.g_00238	Prbb.g_00350
OG0000219	Syaa.g_00237	Prbb.g_00351
OG0000220	Syaa.g_00236	Prbb.g_00352
OG0000221	Syaa.g_00229	Prbb.g_00353
OG0000222	Syaa.g_00215	Prbb.g_00361
OG0000223	Syaa.g_00192	Prbb.g_00374
OG0000224	Syaa.g_00183	Prbb.g_00376
OG0000225	Syaa.g_02166	Prbb.g_00405
OG0000226	Syaa.g_02162	Prbb.g_00409
OG0000227	Syaa.g_02160	Prbb.g_00411
OG0000228	Syaa.g_02150	Prbb.g_00415
OG0000229	Syaa.g_00703	Prbb.g_00441
OG0000230	Syaa.g_00705	Prbb.g_00443
OG0000231	Syaa.g_00717	Prbb.g_00454
OG0000232	Syaa.g_01858	Prbb.g_00462
OG0000233	Syaa.g_01853	Prbb.g_00470
OG0000234	Syaa.g_01841	Prbb.g_00479
OG0000235	Syaa.g_02052	Prbb.g_00483
OG0000236	Syaa.g_02037	Prbb.g_00497
OG0000237	Syaa.g_02020	Prbb.g_00510
OG0000238	Syaa.g_02015	Prbb.g_00516
OG0000239	Syaa.g_01996	Prbb.g_00528
OG0000240	Syaa.g_01995	Prbb.g_00529
OG0000241	Syaa.g_01644	Prbb.g_00533
OG0000242	Syaa.g_01982	Prbb.g_00535
OG0000243	Syaa.g_01960	Prbb.g_00546
OG0000244	Syaa.g_01954	Prbb.g_00550
OG0000245	Syaa.g_01952	Prbb.g_00552
OG0000246	Syaa.g_01948	Prbb.g_00556
OG0000247	Syaa.g_01937	Prbb.g_00566
OG0000248	Syaa.g_01934	Prbb.g_00568
OG0000249	Syaa.g_01932	Prbb.g_00570
OG0000250	Syaa.g_01922	Prbb.g_00575
OG0000251	Syaa.g_01897	Prbb.g_00591
OG0000252	Syaa.g_01894	Prbb.g_00593
OG0000253	Syaa.g_01893	Prbb.g_00595
OG0000254	Syaa.g_01684	Prbb.g_00612
OG0000255	Syaa.g_01668	Prbb.g_00618
OG0000256	Syaa.g_01651	Prbb.g_00628
OG0000257	Syaa.g_01645	Prbb.g_00631
OG0000258	Syaa.g_01624	Prbb.g_00644
OG0000259	Syaa.g_01063	Prbb.g_00661
OG0000260	Syaa.g_01066	Prbb.g_00665
OG0000261	Syaa.g_01069	Prbb.g_00668
OG0000262	Syaa.g_01074	Prbb.g_00673
OG0000263	Syaa.g_00989	Prbb.g_00686
OG0000264	Syaa.g_00910	Prbb.g_00697, Prbb.g_00698
OG0000265	Syaa.g_00931, Syaa.g_01498	Prbb.g_00713
OG0000266	Syaa.g_01257, Syaa.g_01258	Prbb.g_00723
OG0000267	Syaa.g_01409	Prbb.g_00736
OG0000268	Syaa.g_01408	Prbb.g_00737
OG0000269	Syaa.g_01149	Prbb.g_00778
OG0000270	Syaa.g_01152	Prbb.g_00781
OG0000271	Syaa.g_01160	Prbb.g_00789
OG0000272	Syaa.g_01161	Prbb.g_00790
OG0000273	Syaa.g_00844	Prbb.g_00814
OG0000274	Syaa.g_00843	Prbb.g_00815
OG0000275	Syaa.g_00840	Prbb.g_00817
OG0000276	Syaa.g_00834	Prbb.g_00823
OG0000277	Syaa.g_00833	Prbb.g_00824
OG0000278	Syaa.g_00830	Prbb.g_00828
OG0000279	Syaa.g_00822	Prbb.g_00835
OG0000280	Syaa.g_00815	Prbb.g_01370
OG0000282	Syaa.g_01096	Prbb.g_00934
OG0000283	Syaa.g_01396	Prbb.g_00965
OG0000284	Syaa.g_01390	Prbb.g_00970
OG0000285	Syaa.g_01377	Prbb.g_00975
OG0000286	Syaa.g_01358	Prbb.g_00990
OG0000287	Syaa.g_01330	Prbb.g_00101
OG0000288	Syaa.g_01299	Prbb.g_01039
OG0000289	Syaa.g_01285	Prbb.g_01051
OG0000290	Syaa.g_00875	Prbb.g_01067
OG0000291	Syaa.g_00877	Prbb.g_01069
OG0000292	Syaa.g_02751	Prbb.g_01238
OG0000293	Syaa.g_00758	Prbb.g_01527
OG0000294	Syaa.g_00759	Prbb.g_01526
OG0000295	Syaa.g_00796	Prbb.g_01502
OG0000296	Syaa.g_00798	Prbb.g_01500
OG0000297	Syaa.g_01021	Prbb.g_01491
OG0000298	Syaa.g_01010	Prbb.g_01490
OG0000299	Syaa.g_00982	Prbb.g_01471
OG0000300	Syaa.g_00976	Prbb.g_01468
OG0000301	Syaa.g_00975	Prbb.g_01467
OG0000302	Syaa.g_00972	Prbb.g_01464
OG0000303	Syaa.g_00963	Prbb.g_01459
OG0000304	Syaa.g_00957	Prbb.g_01456
OG0000305	Syaa.g_00881	Prbb.g_01789
OG0000306	Syaa.g_00807	Prbb.g_00845
OG0000307	Syaa.g_02068	Prbb.g_01648
OG0000308	Syaa.g_02070	Prbb.g_01649
OG0000309	Syaa.g_02075	Prbb.g_01653
OG0000310	Syaa.g_01752	Prbb.g_01671
OG0000311	Syaa.g_01757	Prbb.g_01673
OG0000312	Syaa.g_01762	Prbb.g_01676
OG0000313	Syaa.g_01779	Prbb.g_01690
OG0000314	Syaa.g_01806	Prbb.g_01711
OG0000315	Syaa.g_01816	Prbb.g_01721
OG0000316	Syaa.g_00598	Prbb.g_01746
OG0000317	Syaa.g_00556	Prbb.g_01821
OG0000318	Syaa.g_00550	Prbb.g_01824
OG0000319	Syaa.g_00532	Prbb.g_01835
OG0000320	Syaa.g_00530	Prbb.g_01837
OG0000321	Syaa.g_00529	Prbb.g_01838
OG0000322	Syaa.g_00528	Prbb.g_01839
OG0000323	Syaa.g_00496	Prbb.g_01848
OG0000324	Syaa.g_00653	Prbb.g_01875
OG0000325	Syaa.g_02350	Prbb.g_01924
OG0000326	Syaa.g_02343	Prbb.g_01930
OG0000327	Syaa.g_02294	Prbb.g_01959
OG0000328	Syaa.g_02293	Prbb.g_01960
OG0000329	Syaa.g_02275	Prbb.g_01977
OG0000330	Syaa.g_02274	Prbb.g_01978
OG0000331	Syaa.g_02273	Prbb.g_01979
OG0000332	Syaa.g_02258	Prbb.g_01993
OG0000333	Syaa.g_02255	Prbb.g_01995
OG0000334	Syaa.g_02246	Prbb.g_02004
OG0000335	Syaa.g_02241	Prbb.g_02009
OG0000336	Syaa.g_02237	Prbb.g_02013
OG0000337	Syaa.g_00167	Prbb.g_02031
OG0000338	Syaa.g_00162	Prbb.g_02032
OG0000339	Syaa.g_00156	Prbb.g_02037
OG0000340	Syaa.g_00144	Prbb.g_02046
OG0000341	Syaa.g_00142	Prbb.g_02048
OG0000342	Syaa.g_00141	Prbb.g_02049
OG0000343	Syaa.g_00140	Prbb.g_02050
OG0000344	Syaa.g_00136	Prbb.g_02053
OG0000345	Syaa.g_00127	Prbb.g_02058
OG0000346	Syaa.g_00122	Prbb.g_02062
OG0000347	Syaa.g_00088	Prbb.g_02082
OG0000348	Syaa.g_00071	Prbb.g_02104
OG0000349	Syaa.g_00053	Prbb.g_02122
OG0000350	Syaa.g_02336	Prbb.g_02143
OG0000351	Syaa.g_02730	Prbb.g_02168
OG0000352	Syaa.g_02731	Prbb.g_02169
OG0000353	Syaa.g_02757	Prbb.g_02188
OG0000355	Syaa.g_00001	Prbb.g_00001
OG0000356	Syaa.g_00002	Prbb.g_00002
OG0000357	Syaa.g_00003	Prbb.g_00003
OG0000358	Syaa.g_00007	Prbb.g_00008
OG0000359	Syaa.g_00009	Prbb.g_00009
OG0000360	Syaa.g_00010	Prbb.g_00010
OG0000361	Syaa.g_00011	Prbb.g_00011
OG0000362	Syaa.g_00013	Prbb.g_00013
OG0000363	Syaa.g_00015	Prbb.g_00015
OG0000364	Syaa.g_00016	Prbb.g_00016
OG0000365	Syaa.g_00027	Prbb.g_00021
OG0000366	Syaa.g_00028	Prbb.g_00022
OG0000367	Syaa.g_00029	Prbb.g_00023
OG0000368	Syaa.g_00031	Prbb.g_00025
OG0000369	Syaa.g_00032	Prbb.g_00026
OG0000370	Syaa.g_00033	Prbb.g_00027
OG0000371	Syaa.g_00041	Prbb.g_00033
OG0000372	Syaa.g_00046	Prbb.g_00035
OG0000373	Syaa.g_00047	Prbb.g_00036
OG0000374	Syaa.g_00048	Prbb.g_00037
OG0000375	Syaa.g_00049	Prbb.g_00055
OG0000376	Syaa.g_00051	Prbb.g_00057
OG0000377	Syaa.g_02585	Prbb.g_00060
OG0000378	Syaa.g_02577	Prbb.g_00062
OG0000379	Syaa.g_02574	Prbb.g_00065
OG0000380	Syaa.g_00357	Prbb.g_00121
OG0000381	Syaa.g_00353	Prbb.g_00125
OG0000382	Syaa.g_00335	Prbb.g_00136
OG0000383	Syaa.g_00333	Prbb.g_00138
OG0000384	Syaa.g_00332	Prbb.g_00139
OG0000385	Syaa.g_00331	Prbb.g_00140
OG0000386	Syaa.g_00330	Prbb.g_00141
OG0000387	Syaa.g_02371	Prbb.g_00154
OG0000388	Syaa.g_02375	Prbb.g_00158
OG0000389	Syaa.g_02379	Prbb.g_00161
OG0000390	Syaa.g_02398	Prbb.g_00170
OG0000391	Syaa.g_02403	Prbb.g_00174
OG0000392	Syaa.g_02409	Prbb.g_00177
OG0000393	Syaa.g_02412	Prbb.g_00180
OG0000394	Syaa.g_02413	Prbb.g_00181
OG0000395	Syaa.g_02414	Prbb.g_00182
OG0000396	Syaa.g_02417	Prbb.g_00185
OG0000397	Syaa.g_02419	Prbb.g_00187
OG0000398	Syaa.g_02424	Prbb.g_00190
OG0000399	Syaa.g_02425	Prbb.g_00191
OG0000400	Syaa.g_02426	Prbb.g_00192
OG0000401	Syaa.g_02427	Prbb.g_00193
OG0000402	Syaa.g_02429	Prbb.g_01101
OG0000403	Syaa.g_02430	Prbb.g_00194
OG0000404	Syaa.g_02431	Prbb.g_00195
OG0000405	Syaa.g_02446	Prbb.g_00200
OG0000406	Syaa.g_02450	Prbb.g_00204
OG0000407	Syaa.g_02451	Prbb.g_00205
OG0000408	Syaa.g_02458	Prbb.g_00207
OG0000409	Syaa.g_02460	Prbb.g_00209
OG0000410	Syaa.g_02461	Prbb.g_00210
OG0000411	Syaa.g_02462	Prbb.g_00211
OG0000412	Syaa.g_02463	Prbb.g_00212
OG0000413	Syaa.g_02465	Prbb.g_00213
OG0000415	Syaa.g_02466	Prbb.g_00215
OG0000416	Syaa.g_02467	Prbb.g_00216
OG0000417	Syaa.g_02468	Prbb.g_00217
OG0000418	Syaa.g_02473	Prbb.g_00222
OG0000419	Syaa.g_02475	Prbb.g_00224
OG0000420	Syaa.g_02477	Prbb.g_00225
OG0000421	Syaa.g_02482	Prbb.g_00229
OG0000422	Syaa.g_02483	Prbb.g_00230
OG0000423	Syaa.g_02484	Prbb.g_00231
OG0000424	Syaa.g_02485	Prbb.g_00232
OG0000425	Syaa.g_02486	Prbb.g_00233
OG0000426	Syaa.g_02487	Prbb.g_00234
OG0000427	Syaa.g_02488	Prbb.g_00235
OG0000428	Syaa.g_02491	Prbb.g_00237
OG0000429	Syaa.g_02493	Prbb.g_00238
OG0000430	Syaa.g_02495	Prbb.g_00239
OG0000431	Syaa.g_02498	Prbb.g_00241
OG0000432	Syaa.g_02504	Prbb.g_00245
OG0000433	Syaa.g_02513	Prbb.g_00246
OG0000434	Syaa.g_02514	Prbb.g_00247
OG0000435	Syaa.g_02516	Prbb.g_00248
OG0000436	Syaa.g_02525	Prbb.g_00253
OG0000437	Syaa.g_02526	Prbb.g_00254
OG0000438	Syaa.g_02527	Prbb.g_00255
OG0000439	Syaa.g_02529	Prbb.g_00257
OG0000440	Syaa.g_02530	Prbb.g_00258
OG0000441	Syaa.g_02534	Prbb.g_00260
OG0000442	Syaa.g_02535	Prbb.g_00261
OG0000443	Syaa.g_02536	Prbb.g_00262
OG0000444	Syaa.g_02542	Prbb.g_00267
OG0000445	Syaa.g_02543	Prbb.g_00268
OG0000446	Syaa.g_02545	Prbb.g_00269
OG0000447	Syaa.g_02548	Prbb.g_00270
OG0000448	Syaa.g_02549	Prbb.g_00271
OG0000449	Syaa.g_02550	Prbb.g_00272
OG0000450	Syaa.g_02553	Prbb.g_00273
OG0000451	Syaa.g_02554	Prbb.g_00274
OG0000452	Syaa.g_02558	Prbb.g_00277
OG0000453	Syaa.g_02559	Prbb.g_00278
OG0000454	Syaa.g_02560	Prbb.g_00279
OG0000455	Syaa.g_02561	Prbb.g_00280
OG0000456	Syaa.g_02562	Prbb.g_00281
OG0000457	Syaa.g_02564	Prbb.g_00282
OG0000458	Syaa.g_02565	Prbb.g_00283
OG0000459	Syaa.g_02566	Prbb.g_00284
OG0000460	Syaa.g_02111	Prbb.g_00292
OG0000461	Syaa.g_00318	Prbb.g_00300
OG0000462	Syaa.g_00315	Prbb.g_00302
OG0000463	Syaa.g_00314	Prbb.g_00303
OG0000464	Syaa.g_00313	Prbb.g_00304
OG0000465	Syaa.g_00311	Prbb.g_00305
OG0000466	Syaa.g_00306	Prbb.g_00306
OG0000467	Syaa.g_00304	Prbb.g_00307
OG0000468	Syaa.g_00299	Prbb.g_00309
OG0000469	Syaa.g_00285	Prbb.g_00316
OG0000470	Syaa.g_00283	Prbb.g_00318
OG0000471	Syaa.g_00282	Prbb.g_00319
OG0000472	Syaa.g_00280	Prbb.g_00320
OG0000473	Syaa.g_00278	Prbb.g_00322
OG0000474	Syaa.g_00277	Prbb.g_00323
OG0000475	Syaa.g_00276	Prbb.g_00324
OG0000476	Syaa.g_00274	Prbb.g_00326
OG0000477	Syaa.g_00268	Prbb.g_00328
OG0000478	Syaa.g_00267	Prbb.g_00329
OG0000479	Syaa.g_00266	Prbb.g_00330
OG0000480	Syaa.g_00259	Prbb.g_00334
OG0000481	Syaa.g_00257	Prbb.g_00336
OG0000482	Syaa.g_00256	Prbb.g_00337
OG0000483	Syaa.g_00252	Prbb.g_00340
OG0000484	Syaa.g_00251	Prbb.g_00341
OG0000485	Syaa.g_00250	Prbb.g_00342
OG0000486	Syaa.g_00249	Prbb.g_00343
OG0000487	Syaa.g_00243	Prbb.g_00346
OG0000488	Syaa.g_00239	Prbb.g_00349
OG0000489	Syaa.g_00228	Prbb.g_00354
OG0000490	Syaa.g_00220	Prbb.g_00359
OG0000491	Syaa.g_00218	Prbb.g_00360
OG0000492	Syaa.g_00214	Prbb.g_00362
OG0000493	Syaa.g_00213	Prbb.g_00363
OG0000494	Syaa.g_00212	Prbb.g_00364
OG0000495	Syaa.g_00211	Prbb.g_00365
OG0000496	Syaa.g_00210	Prbb.g_00366
OG0000497	Syaa.g_00209	Prbb.g_00367
OG0000498	Syaa.g_00208	Prbb.g_00368
OG0000499	Syaa.g_00207	Prbb.g_00369
OG0000500	Syaa.g_00206	Prbb.g_00370
OG0000501	Syaa.g_00203	Prbb.g_00372
OG0000502	Syaa.g_00190	Prbb.g_00375
OG0000503	Syaa.g_02182	Prbb.g_00394
OG0000504	Syaa.g_02180	Prbb.g_00396
OG0000505	Syaa.g_02179	Prbb.g_00397
OG0000506	Syaa.g_02177	Prbb.g_00398
OG0000507	Syaa.g_02171	Prbb.g_00401
OG0000508	Syaa.g_02167	Prbb.g_00404
OG0000509	Syaa.g_02165	Prbb.g_00406
OG0000510	Syaa.g_02164	Prbb.g_00407
OG0000511	Syaa.g_02163	Prbb.g_00408
OG0000512	Syaa.g_02161	Prbb.g_00410
OG0000513	Syaa.g_02145	Prbb.g_00419
OG0000514	Syaa.g_02118	Prbb.g_00436
OG0000515	Syaa.g_02117	Prbb.g_00437
OG0000516	Syaa.g_00698	Prbb.g_00438
OG0000517	Syaa.g_00702	Prbb.g_00440
OG0000518	Syaa.g_00714	Prbb.g_00451
OG0000519	Syaa.g_00715	Prbb.g_00452
OG0000520	Syaa.g_00716	Prbb.g_00453
OG0000521	Syaa.g_01864	Prbb.g_00458
OG0000522	Syaa.g_01862	Prbb.g_00460
OG0000523	Syaa.g_01859	Prbb.g_00461
OG0000524	Syaa.g_01856	Prbb.g_00468
OG0000525	Syaa.g_01851	Prbb.g_00472
OG0000526	Syaa.g_01848	Prbb.g_00473
OG0000527	Syaa.g_01844	Prbb.g_00476
OG0000528	Syaa.g_02054	Prbb.g_00482
OG0000529	Syaa.g_02050	Prbb.g_00486
OG0000530	Syaa.g_02047	Prbb.g_00489
