Orthogroup	Syai	Prbl
OG0000143	Syai.g_01108	Prbl.g_01643
OG0000144	Syai.g_01608	Prbl.g_01042
OG0000145	Syai.g_00660	Prbl.g_00534
OG0000146	Syai.g_01513	Prbl.g_02469
OG0000147	Syai.g_01514	Prbl.g_02468
OG0000148	Syai.g_01361	Prbl.g_02316
OG0000149	Syai.g_02059	Prbl.g_01552
OG0000150	Syai.g_00717	Prbl.g_01576
OG0000151	Syai.g_01280	Prbl.g_02386
OG0000152	Syai.g_01503	Prbl.g_02478
OG0000153	Syai.g_01461	Prbl.g_02505
OG0000154	Syai.g_01434	Prbl.g_02532
OG0000155	Syai.g_02109	Prbl.g_00185
OG0000156	Syai.g_02162	Prbl.g_00115
OG0000157	Syai.g_02163	Prbl.g_00114
OG0000158	Syai.g_00135	Prbl.g_00843
OG0000160	Syai.g_00952	Prbl.g_00241
OG0000161	Syai.g_00946	Prbl.g_00227
OG0000162	Syai.g_00939	Prbl.g_00221
OG0000163	Syai.g_02300	Prbl.g_00452
OG0000164	Syai.g_02411	Prbl.g_00365
OG0000165	Syai.g_02244	Prbl.g_00356
OG0000166	Syai.g_00364	Prbl.g_00962
OG0000167	Syai.g_00164	Prbl.g_00857
OG0000168	Syai.g_00134	Prbl.g_00842
OG0000169	Syai.g_00123	Prbl.g_01302
OG0000170	Syai.g_00116	Prbl.g_01290
OG0000171	Syai.g_00090	Prbl.g_02055
OG0000172	Syai.g_00083	Prbl.g_02021
OG0000173	Syai.g_00064	Prbl.g_02000
OG0000174	Syai.g_02828	Prbl.g_02188
OG0000175	Syai.g_02901	Prbl.g_02150
OG0000176	Syai.g_00004	Prbl.g_02117
OG0000177	Syai.g_00005	Prbl.g_02116
OG0000178	Syai.g_00006	Prbl.g_02115
OG0000179	Syai.g_00023	Prbl.g_01961
OG0000180	Syai.g_00024	Prbl.g_01962
OG0000181	Syai.g_00025	Prbl.g_01963
OG0000182	Syai.g_00026	Prbl.g_01964
OG0000183	Syai.g_00030	Prbl.g_01968
OG0000184	Syai.g_02756	Prbl.g_02251
OG0000185	Syai.g_02734	Prbl.g_02273
OG0000186	Syai.g_02469	Prbl.g_00614
OG0000187	Syai.g_02471	Prbl.g_00613
OG0000188	Syai.g_02494	Prbl.g_00591
OG0000189	Syai.g_02530	Prbl.g_00565
OG0000190	Syai.g_02532	Prbl.g_00563
OG0000191	Syai.g_02562	Prbl.g_01325
OG0000192	Syai.g_02569	Prbl.g_01316
OG0000193	Syai.g_02609	Prbl.g_00302
OG0000194	Syai.g_02612	Prbl.g_00299
OG0000195	Syai.g_02614	Prbl.g_00297
OG0000196	Syai.g_02625	Prbl.g_00286
OG0000197	Syai.g_02626	Prbl.g_00285
OG0000198	Syai.g_02627	Prbl.g_00284
OG0000199	Syai.g_02635	Prbl.g_00277
OG0000200	Syai.g_02651	Prbl.g_00069
OG0000202	Syai.g_02668	Prbl.g_00089
OG0000203	Syai.g_02669	Prbl.g_00090
OG0000204	Syai.g_02670	Prbl.g_00091
OG0000205	Syai.g_02677	Prbl.g_00098
OG0000206	Syai.g_02684	Prbl.g_01282
OG0000207	Syai.g_02686	Prbl.g_00130
OG0000208	Syai.g_02687	Prbl.g_00129
OG0000209	Syai.g_02699	Prbl.g_01256
OG0000210	Syai.g_02700	Prbl.g_01257
OG0000211	Syai.g_00533	Prbl.g_01922
OG0000212	Syai.g_00544	Prbl.g_00192
OG0000213	Syai.g_00292	Prbl.g_01496
OG0000214	Syai.g_00276	Prbl.g_01469
OG0000215	Syai.g_00245	Prbl.g_01439
OG0000216	Syai.g_00241	Prbl.g_01436
OG0000217	Syai.g_00237	Prbl.g_01432
OG0000218	Syai.g_00235	Prbl.g_01428
OG0000219	Syai.g_00234	Prbl.g_01427
OG0000220	Syai.g_00233	Prbl.g_01426
OG0000221	Syai.g_00227	Prbl.g_01421
OG0000222	Syai.g_00215	Prbl.g_00911
OG0000223	Syai.g_00194	Prbl.g_00888
OG0000224	Syai.g_00186	Prbl.g_00877
OG0000225	Syai.g_00502	Prbl.g_01218
OG0000226	Syai.g_00506	Prbl.g_01222
OG0000227	Syai.g_00508	Prbl.g_01224
OG0000228	Syai.g_00516	Prbl.g_02673
OG0000229	Syai.g_02228	Prbl.g_00652
OG0000230	Syai.g_02226	Prbl.g_00650
OG0000231	Syai.g_02208	Prbl.g_00635
OG0000232	Syai.g_00846	Prbl.g_00619
OG0000233	Syai.g_00855	Prbl.g_01360
OG0000234	Syai.g_00866	Prbl.g_01339
OG0000235	Syai.g_00637	Prbl.g_00510
OG0000236	Syai.g_00652	Prbl.g_00526
OG0000237	Syai.g_00669	Prbl.g_00800
OG0000238	Syai.g_00674	Prbl.g_00795
OG0000239	Syai.g_00691	Prbl.g_00779
OG0000240	Syai.g_00692	Prbl.g_00778
OG0000241	Syai.g_01085	Prbl.g_01526
OG0000242	Syai.g_00705	Prbl.g_00768
OG0000243	Syai.g_00726	Prbl.g_02647
OG0000244	Syai.g_00731	Prbl.g_01879
OG0000245	Syai.g_00733	Prbl.g_01882
OG0000246	Syai.g_00737	Prbl.g_01886
OG0000247	Syai.g_00748	Prbl.g_01897
OG0000248	Syai.g_00751	Prbl.g_01900
OG0000249	Syai.g_00753	Prbl.g_01902
OG0000250	Syai.g_00762	Prbl.g_01799
OG0000251	Syai.g_00789	Prbl.g_01775
OG0000252	Syai.g_00797	Prbl.g_01772
OG0000253	Syai.g_00798	Prbl.g_01766
OG0000254	Syai.g_01045	Prbl.g_01747
OG0000255	Syai.g_01061	Prbl.g_01612
OG0000256	Syai.g_01077	Prbl.g_01626
OG0000257	Syai.g_01084	Prbl.g_01632
OG0000258	Syai.g_01113	Prbl.g_01655
OG0000259	Syai.g_01229	Prbl.g_01406
OG0000260	Syai.g_01232	Prbl.g_01403
OG0000261	Syai.g_01235	Prbl.g_01400
OG0000262	Syai.g_01240	Prbl.g_01395
OG0000263	Syai.g_01776	Prbl.g_01242
OG0000264	Syai.g_01962	Prbl.g_01859
OG0000266	Syai.g_01401	Prbl.g_02556
OG0000267	Syai.g_01569	Prbl.g_02431
OG0000268	Syai.g_01568	Prbl.g_02432
OG0000269	Syai.g_01316	Prbl.g_02340
OG0000270	Syai.g_01319	Prbl.g_02337
OG0000271	Syai.g_01327	Prbl.g_02329
OG0000272	Syai.g_01328	Prbl.g_02328
OG0000273	Syai.g_02037	Prbl.g_01534
OG0000274	Syai.g_02038	Prbl.g_01535
OG0000275	Syai.g_02043	Prbl.g_01538
OG0000276	Syai.g_02051	Prbl.g_01544
OG0000277	Syai.g_02052	Prbl.g_01545
OG0000278	Syai.g_02055	Prbl.g_01548
OG0000279	Syai.g_02063	Prbl.g_01556
OG0000280	Syai.g_02084	Prbl.g_01562
OG0000281	Syai.g_01719	Prbl.g_01577
OG0000282	Syai.g_01263	Prbl.g_02405
OG0000283	Syai.g_01554	Prbl.g_02443
OG0000284	Syai.g_01548	Prbl.g_02449
OG0000285	Syai.g_01522	Prbl.g_01688
OG0000286	Syai.g_01504	Prbl.g_02477
OG0000287	Syai.g_01469	Prbl.g_02608
OG0000288	Syai.g_01435	Prbl.g_02531
OG0000289	Syai.g_01421	Prbl.g_02544
OG0000290	Syai.g_02010	Prbl.g_00930
OG0000291	Syai.g_02008	Prbl.g_00928
OG0000292	Syai.g_02926	Prbl.g_02128
OG0000293	Syai.g_02155	Prbl.g_02071
OG0000294	Syai.g_02154	Prbl.g_02072
OG0000295	Syai.g_02117	Prbl.g_00178
OG0000296	Syai.g_02115	Prbl.g_00180
OG0000297	Syai.g_01754	Prbl.g_01382
OG0000298	Syai.g_01755	Prbl.g_01383
OG0000299	Syai.g_01783	Prbl.g_01372
OG0000300	Syai.g_01790	Prbl.g_02582
OG0000301	Syai.g_01791	Prbl.g_02583
OG0000302	Syai.g_01793	Prbl.g_02586
OG0000303	Syai.g_01802	Prbl.g_00187
OG0000304	Syai.g_01826	Prbl.g_01102
OG0000305	Syai.g_02005	Prbl.g_00926
OG0000306	Syai.g_02090	Prbl.g_01586
OG0000307	Syai.g_00619	Prbl.g_00494
OG0000308	Syai.g_00617	Prbl.g_00492
OG0000309	Syai.g_00612	Prbl.g_00488
OG0000310	Syai.g_00989	Prbl.g_00160
OG0000311	Syai.g_00985	Prbl.g_00258
OG0000312	Syai.g_00966	Prbl.g_00254
OG0000313	Syai.g_00949	Prbl.g_00230
OG0000314	Syai.g_00908	Prbl.g_00699
OG0000315	Syai.g_00897	Prbl.g_00709
OG0000316	Syai.g_02320, Syai.g_02322	Prbl.g_00441
OG0000317	Syai.g_02373	Prbl.g_00399
OG0000318	Syai.g_02379	Prbl.g_00393
OG0000319	Syai.g_02395	Prbl.g_00376
OG0000320	Syai.g_02397	Prbl.g_00374
OG0000321	Syai.g_02398	Prbl.g_00373
OG0000322	Syai.g_02399	Prbl.g_00372
OG0000323	Syai.g_02413	Prbl.g_00361
OG0000324	Syai.g_02272	Prbl.g_00332
OG0000325	Syai.g_00320	Prbl.g_02683
OG0000326	Syai.g_00327	Prbl.g_01059
OG0000327	Syai.g_00359	Prbl.g_00957
OG0000328	Syai.g_00360	Prbl.g_00958
OG0000329	Syai.g_00378	Prbl.g_00975
OG0000330	Syai.g_00379	Prbl.g_00976
OG0000331	Syai.g_00380	Prbl.g_00977
OG0000332	Syai.g_00395	Prbl.g_00992
OG0000333	Syai.g_00398	Prbl.g_00994
OG0000334	Syai.g_00407	Prbl.g_01131
OG0000335	Syai.g_00412	Prbl.g_01136
OG0000336	Syai.g_00416	Prbl.g_01140
OG0000337	Syai.g_00169	Prbl.g_00863
OG0000338	Syai.g_00166	Prbl.g_00859
OG0000339	Syai.g_00160	Prbl.g_00853
OG0000340	Syai.g_00133	Prbl.g_00841
OG0000341	Syai.g_00131	Prbl.g_00839
OG0000342	Syai.g_00130	Prbl.g_00838
OG0000343	Syai.g_00129	Prbl.g_01307
OG0000344	Syai.g_00125	Prbl.g_01304
OG0000345	Syai.g_00115	Prbl.g_01289
OG0000346	Syai.g_00110	Prbl.g_01284
OG0000347	Syai.g_00087	Prbl.g_02053
OG0000348	Syai.g_00076	Prbl.g_02016
OG0000349	Syai.g_00057	Prbl.g_01992
OG0000350	Syai.g_00334	Prbl.g_02195
OG0000351	Syai.g_02904	Prbl.g_02147
OG0000352	Syai.g_02905	Prbl.g_02146
OG0000353	Syai.g_02932	Prbl.g_02122
OG0000354	Syai.g_00680	Prbl.g_00789
OG0000354	Syai.g_00019	Prbl.g_01959
OG0000355	Syai.g_00001	Prbl.g_02120
OG0000356	Syai.g_00002	Prbl.g_02119
OG0000357	Syai.g_00003	Prbl.g_02118
OG0000358	Syai.g_00007	Prbl.g_02114
OG0000359	Syai.g_00009	Prbl.g_02112
OG0000360	Syai.g_00010	Prbl.g_02111
OG0000361	Syai.g_00011	Prbl.g_02110
OG0000362	Syai.g_00013	Prbl.g_02108
OG0000363	Syai.g_00015	Prbl.g_01955
OG0000364	Syai.g_00016	Prbl.g_01956
OG0000365	Syai.g_00027	Prbl.g_01965
OG0000366	Syai.g_00028	Prbl.g_01966
OG0000367	Syai.g_00029	Prbl.g_01967
OG0000368	Syai.g_00031	Prbl.g_01969
OG0000369	Syai.g_00032	Prbl.g_01970
OG0000370	Syai.g_00033	Prbl.g_01971
OG0000371	Syai.g_00041	Prbl.g_01980
OG0000372	Syai.g_00047	Prbl.g_01985
OG0000373	Syai.g_00048	Prbl.g_01986
OG0000374	Syai.g_00049	Prbl.g_01987
OG0000375	Syai.g_00053	Prbl.g_01988
OG0000376	Syai.g_00055	Prbl.g_01990
OG0000377	Syai.g_02769	Prbl.g_02244
OG0000378	Syai.g_02751	Prbl.g_02258
OG0000379	Syai.g_02733	Prbl.g_02274
OG0000380	Syai.g_02472	Prbl.g_00612
OG0000381	Syai.g_02475	Prbl.g_00607
OG0000382	Syai.g_02493	Prbl.g_00592
OG0000383	Syai.g_02498	Prbl.g_00590
OG0000384	Syai.g_02499	Prbl.g_00589
OG0000385	Syai.g_02500	Prbl.g_00588
OG0000386	Syai.g_02501	Prbl.g_00587
OG0000387	Syai.g_02534	Prbl.g_00561
OG0000388	Syai.g_02538	Prbl.g_00557
OG0000389	Syai.g_02542	Prbl.g_00553
OG0000390	Syai.g_02556	Prbl.g_01331
OG0000391	Syai.g_02561	Prbl.g_01326
OG0000392	Syai.g_02568	Prbl.g_01320
OG0000393	Syai.g_02570	Prbl.g_01315
OG0000394	Syai.g_02571	Prbl.g_01314
OG0000395	Syai.g_02572	Prbl.g_01313
OG0000396	Syai.g_02575	Prbl.g_00827
OG0000397	Syai.g_02577	Prbl.g_00825
OG0000398	Syai.g_02582	Prbl.g_00820
OG0000399	Syai.g_02583	Prbl.g_00819
OG0000400	Syai.g_02584	Prbl.g_00818
OG0000401	Syai.g_02585	Prbl.g_00817
OG0000402	Syai.g_02588	Prbl.g_00815
OG0000403	Syai.g_02589	Prbl.g_00814
OG0000404	Syai.g_02590	Prbl.g_00812
OG0000405	Syai.g_02606	Prbl.g_00305
OG0000406	Syai.g_02610	Prbl.g_00301
OG0000407	Syai.g_02611	Prbl.g_00300
OG0000408	Syai.g_02613	Prbl.g_00298
OG0000409	Syai.g_02615	Prbl.g_00296
OG0000410	Syai.g_02616	Prbl.g_00295
OG0000411	Syai.g_02617	Prbl.g_00294
OG0000412	Syai.g_02618	Prbl.g_00293
OG0000413	Syai.g_02620	Prbl.g_00291
OG0000414	Syai.g_02621	Prbl.g_00290
OG0000415	Syai.g_02622	Prbl.g_00289
OG0000416	Syai.g_02623	Prbl.g_00288
OG0000417	Syai.g_02624	Prbl.g_00287
OG0000418	Syai.g_02629	Prbl.g_00282
OG0000419	Syai.g_02631	Prbl.g_00280
OG0000420	Syai.g_02633	Prbl.g_00279
OG0000421	Syai.g_02638	Prbl.g_00275
OG0000422	Syai.g_02639	Prbl.g_00274
OG0000423	Syai.g_02640	Prbl.g_00273
OG0000424	Syai.g_02641	Prbl.g_00272
OG0000425	Syai.g_02642	Prbl.g_00271
OG0000426	Syai.g_02643	Prbl.g_00270
OG0000427	Syai.g_02644	Prbl.g_00269
OG0000428	Syai.g_02647	Prbl.g_02377
OG0000429	Syai.g_02649	Prbl.g_00066
OG0000430	Syai.g_02650	Prbl.g_00068
OG0000431	Syai.g_02654	Prbl.g_00072
OG0000432	Syai.g_02660	Prbl.g_00079
OG0000433	Syai.g_02662	Prbl.g_00082
OG0000434	Syai.g_02663	Prbl.g_00083
OG0000435	Syai.g_02666	Prbl.g_00086
OG0000436	Syai.g_02671	Prbl.g_00092
OG0000437	Syai.g_02672	Prbl.g_00093
OG0000438	Syai.g_02673	Prbl.g_00094
OG0000439	Syai.g_02675	Prbl.g_00096
OG0000440	Syai.g_02676	Prbl.g_00097
OG0000441	Syai.g_02681	Prbl.g_00104
OG0000442	Syai.g_02682	Prbl.g_00105
OG0000443	Syai.g_02683	Prbl.g_01283
OG0000444	Syai.g_02688	Prbl.g_00127
OG0000445	Syai.g_02689	Prbl.g_00126
OG0000446	Syai.g_02690	Prbl.g_00124
OG0000447	Syai.g_02693	Prbl.g_01244
OG0000448	Syai.g_02694	Prbl.g_01245
OG0000449	Syai.g_02695	Prbl.g_01246
OG0000450	Syai.g_02696	Prbl.g_01252
OG0000451	Syai.g_02697	Prbl.g_01253
OG0000452	Syai.g_02701	Prbl.g_01258
OG0000453	Syai.g_02702	Prbl.g_01259
OG0000454	Syai.g_02703	Prbl.g_01260
OG0000455	Syai.g_02704	Prbl.g_01261
OG0000456	Syai.g_02705	Prbl.g_01262
OG0000457	Syai.g_02707	Prbl.g_01264
OG0000458	Syai.g_02708	Prbl.g_01265
OG0000459	Syai.g_02709	Prbl.g_01266
OG0000460	Syai.g_00535	Prbl.g_01923
OG0000461	Syai.g_00314	Prbl.g_02679
OG0000462	Syai.g_00311	Prbl.g_02666
OG0000463	Syai.g_00310	Prbl.g_01516
OG0000464	Syai.g_00309	Prbl.g_01515
OG0000465	Syai.g_00307	Prbl.g_01513
OG0000466	Syai.g_00303	Prbl.g_01508
OG0000467	Syai.g_00301	Prbl.g_01506
OG0000468	Syai.g_00296	Prbl.g_01499
OG0000469	Syai.g_00282	Prbl.g_01486
OG0000470	Syai.g_00280	Prbl.g_01473
OG0000471	Syai.g_00279	Prbl.g_01472
OG0000472	Syai.g_00277	Prbl.g_01470
OG0000473	Syai.g_00275	Prbl.g_01468
OG0000474	Syai.g_00274	Prbl.g_01467
OG0000475	Syai.g_00273	Prbl.g_01466
OG0000476	Syai.g_00271	Prbl.g_01464
OG0000477	Syai.g_00265	Prbl.g_01459
OG0000478	Syai.g_00264	Prbl.g_01458
OG0000479	Syai.g_00263	Prbl.g_01457
OG0000480	Syai.g_00256	Prbl.g_01450
OG0000481	Syai.g_00254	Prbl.g_01448
OG0000482	Syai.g_00253	Prbl.g_01447
OG0000483	Syai.g_00249	Prbl.g_01443
OG0000484	Syai.g_00248	Prbl.g_01442
OG0000485	Syai.g_00247	Prbl.g_01441
OG0000486	Syai.g_00246	Prbl.g_01440
OG0000487	Syai.g_00240	Prbl.g_01435
OG0000488	Syai.g_00236	Prbl.g_01431
OG0000489	Syai.g_00226	Prbl.g_01420
OG0000490	Syai.g_00218	Prbl.g_01414
OG0000491	Syai.g_00217	Prbl.g_01413
OG0000492	Syai.g_00214	Prbl.g_00909
OG0000493	Syai.g_00213	Prbl.g_00908
OG0000494	Syai.g_00212	Prbl.g_00907
OG0000495	Syai.g_00211	Prbl.g_00906
OG0000496	Syai.g_00210	Prbl.g_00905
OG0000497	Syai.g_00209	Prbl.g_00904
OG0000498	Syai.g_00208	Prbl.g_00903
OG0000499	Syai.g_00207	Prbl.g_00902
OG0000500	Syai.g_00206	Prbl.g_00901
OG0000501	Syai.g_00203	Prbl.g_00898
OG0000502	Syai.g_00192	Prbl.g_00886
OG0000503	Syai.g_00486	Prbl.g_01201
OG0000504	Syai.g_00488	Prbl.g_01203
OG0000505	Syai.g_00489	Prbl.g_01204
OG0000506	Syai.g_00491	Prbl.g_01206
OG0000507	Syai.g_00497	Prbl.g_01210
OG0000508	Syai.g_00501	Prbl.g_01217
OG0000509	Syai.g_00503	Prbl.g_01219
OG0000510	Syai.g_00504	Prbl.g_01220
OG0000511	Syai.g_00505	Prbl.g_01221
OG0000512	Syai.g_00507	Prbl.g_01223
OG0000513	Syai.g_00521	Prbl.g_02678
OG0000514	Syai.g_00528	Prbl.g_00676
OG0000515	Syai.g_00529	Prbl.g_00675
OG0000516	Syai.g_02223	Prbl.g_00663
OG0000517	Syai.g_02229	Prbl.g_00653
OG0000518	Syai.g_02211	Prbl.g_00641
OG0000519	Syai.g_02210	Prbl.g_00640
OG0000520	Syai.g_02209	Prbl.g_00639
OG0000521	Syai.g_00842	Prbl.g_00625
OG0000522	Syai.g_00844	Prbl.g_00623
OG0000523	Syai.g_00845	Prbl.g_00622
OG0000524	Syai.g_00852	Prbl.g_01364
OG0000525	Syai.g_00856	Prbl.g_01348
OG0000526	Syai.g_00859	Prbl.g_01346
OG0000527	Syai.g_00863	Prbl.g_01342
OG0000528	Syai.g_00633	Prbl.g_00506
OG0000529	Syai.g_00639	Prbl.g_00512
OG0000530	Syai.g_00642	Prbl.g_00515
OG0000531	Syai.g_00643	Prbl.g_00516
OG0000532	Syai.g_00646	Prbl.g_00519
OG0000533	Syai.g_00647	Prbl.g_00521
OG0000534	Syai.g_00648	Prbl.g_00522
OG0000535	Syai.g_00649	Prbl.g_00523
OG0000536	Syai.g_00650	Prbl.g_00524
OG0000537	Syai.g_00651	Prbl.g_00525
OG0000538	Syai.g_00662	Prbl.g_00536
OG0000539	Syai.g_00663	Prbl.g_00806
OG0000540	Syai.g_00664	Prbl.g_00805
OG0000541	Syai.g_00665	Prbl.g_00804
OG0000542	Syai.g_00668	Prbl.g_00801
OG0000543	Syai.g_00670	Prbl.g_00799
OG0000544	Syai.g_00671	Prbl.g_00798
OG0000545	Syai.g_00673	Prbl.g_00797
OG0000546	Syai.g_00675	Prbl.g_00794
OG0000547	Syai.g_00677	Prbl.g_00792
OG0000548	Syai.g_00678	Prbl.g_00791
OG0000549	Syai.g_00684	Prbl.g_00785
OG0000550	Syai.g_00689	Prbl.g_00780
OG0000551	Syai.g_00694	Prbl.g_00776
OG0000552	Syai.g_00695	Prbl.g_00775
OG0000553	Syai.g_00698	Prbl.g_00770
OG0000554	Syai.g_00708	Prbl.g_00765
OG0000555	Syai.g_00725	Prbl.g_00747
OG0000556	Syai.g_00728	Prbl.g_02645
OG0000557	Syai.g_00730	Prbl.g_01878
OG0000558	Syai.g_00732	Prbl.g_01881
OG0000559	Syai.g_00736	Prbl.g_01885
OG0000560	Syai.g_00739	Prbl.g_01888
OG0000561	Syai.g_00740	Prbl.g_01889
OG0000562	Syai.g_00741	Prbl.g_01890
OG0000563	Syai.g_00742	Prbl.g_01891
