Orthogroup	Prao	Syaa
OG0000155	Prao.g_01069	Syaa.g_00804
OG0000156	Prao.g_01287	Syaa.g_00751
OG0000157	Prao.g_01286	Syaa.g_00750
OG0000158	Prao.g_01220	Syaa.g_00148
OG0000160	Prao.g_01398	Syaa.g_01776
OG0000161	Prao.g_01404	Syaa.g_01782
OG0000162	Prao.g_01410	Syaa.g_01788
OG0000163	Prao.g_01443	Syaa.g_00624
OG0000164	Prao.g_01576	Syaa.g_00507
OG0000165	Prao.g_01583	Syaa.g_00681
OG0000166	Prao.g_01651	Syaa.g_02289
OG0000167	Prao.g_01717	Syaa.g_00160
OG0000168	Prao.g_01727	Syaa.g_00145
OG0000169	Prao.g_01737	Syaa.g_00134
OG0000170	Prao.g_01739	Syaa.g_00128
OG0000171	Prao.g_01758	Syaa.g_00093
OG0000172	Prao.g_01767	Syaa.g_00079
OG0000173	Prao.g_01782	Syaa.g_00060
OG0000174	Prao.g_01810	Syaa.g_02651
OG0000175	Prao.g_01820	Syaa.g_02726
OG0000176	Prao.g_01845	Syaa.g_00004
OG0000177	Prao.g_01846	Syaa.g_00005
OG0000178	Prao.g_01847	Syaa.g_00006
OG0000179	Prao.g_00163	Syaa.g_00023
OG0000180	Prao.g_00164	Syaa.g_00024
OG0000181	Prao.g_00165	Syaa.g_00025
OG0000182	Prao.g_00166	Syaa.g_00026
OG0000183	Prao.g_00170	Syaa.g_00030
OG0000184	Prao.g_00192	Syaa.g_02578
OG0000185	Prao.g_00195	Syaa.g_02575
OG0000186	Prao.g_00203	Syaa.g_00359
OG0000187	Prao.g_00204	Syaa.g_00358
OG0000188	Prao.g_00221	Syaa.g_00334
OG0000189	Prao.g_00235	Syaa.g_02367
OG0000190	Prao.g_00236	Syaa.g_02369
OG0000191	Prao.g_00256	Syaa.g_02404
OG0000192	Prao.g_00260	Syaa.g_02410
OG0000193	Prao.g_00284	Syaa.g_02449
OG0000194	Prao.g_00287	Syaa.g_02452
OG0000195	Prao.g_00289	Syaa.g_02459
OG0000196	Prao.g_00299	Syaa.g_02469
OG0000197	Prao.g_00300	Syaa.g_02470
OG0000198	Prao.g_00301	Syaa.g_02471
OG0000199	Prao.g_00308	Syaa.g_02479
OG0000200	Prao.g_00322	Syaa.g_02496
OG0000201	Prao.g_00330	Syaa.g_02521
OG0000202	Prao.g_00331	Syaa.g_02522
OG0000203	Prao.g_00332	Syaa.g_02523
OG0000204	Prao.g_00333	Syaa.g_02524
OG0000205	Prao.g_00340	Syaa.g_02531
OG0000206	Prao.g_00345	Syaa.g_02538
OG0000207	Prao.g_00347	Syaa.g_02540
OG0000208	Prao.g_00348	Syaa.g_02541
OG0000209	Prao.g_00357	Syaa.g_02556
OG0000210	Prao.g_00358	Syaa.g_02557
OG0000212	Prao.g_00378	Syaa.g_02102
OG0000213	Prao.g_00395	Syaa.g_00295
OG0000214	Prao.g_00405	Syaa.g_00279
OG0000215	Prao.g_00429	Syaa.g_00248
OG0000216	Prao.g_00431	Syaa.g_00244
OG0000217	Prao.g_00434	Syaa.g_00240
OG0000218	Prao.g_00436	Syaa.g_00238
OG0000219	Prao.g_00437	Syaa.g_00237
OG0000220	Prao.g_00438	Syaa.g_00236
OG0000221	Prao.g_00439	Syaa.g_00229
OG0000222	Prao.g_00446	Syaa.g_00215
OG0000223	Prao.g_00459	Syaa.g_00192
OG0000224	Prao.g_00461	Syaa.g_00183
OG0000225	Prao.g_00480	Syaa.g_02166
OG0000226	Prao.g_00484	Syaa.g_02162
OG0000227	Prao.g_00486	Syaa.g_02160
OG0000228	Prao.g_00489	Syaa.g_02150
OG0000229	Prao.g_00540	Syaa.g_00703
OG0000230	Prao.g_00542	Syaa.g_00705
OG0000231	Prao.g_00553	Syaa.g_00717
OG0000232	Prao.g_00564	Syaa.g_01858
OG0000233	Prao.g_00569	Syaa.g_01853
OG0000234	Prao.g_00582	Syaa.g_01841
OG0000235	Prao.g_00585	Syaa.g_02052
OG0000236	Prao.g_00599	Syaa.g_02037
OG0000237	Prao.g_00612	Syaa.g_02020
OG0000238	Prao.g_00618	Syaa.g_02015
OG0000239	Prao.g_00631	Syaa.g_01996
OG0000240	Prao.g_00632	Syaa.g_01995
OG0000241	Prao.g_01861	Syaa.g_01644
OG0000242	Prao.g_01859	Syaa.g_01982
OG0000243	Prao.g_01162	Syaa.g_01960
OG0000244	Prao.g_01165	Syaa.g_01954
OG0000245	Prao.g_01167	Syaa.g_01952
OG0000246	Prao.g_01171	Syaa.g_01948
OG0000247	Prao.g_01181	Syaa.g_01937
OG0000248	Prao.g_01183	Syaa.g_01934
OG0000249	Prao.g_01185	Syaa.g_01932
OG0000250	Prao.g_01864	Syaa.g_01922
OG0000251	Prao.g_00029	Syaa.g_01897
OG0000252	Prao.g_00032	Syaa.g_01894
OG0000253	Prao.g_00033	Syaa.g_01893
OG0000254	Prao.g_00049	Syaa.g_01684
OG0000255	Prao.g_00055	Syaa.g_01668
OG0000256	Prao.g_00066	Syaa.g_01651
OG0000257	Prao.g_00069	Syaa.g_01645
OG0000258	Prao.g_00082	Syaa.g_01624
OG0000259	Prao.g_00099	Syaa.g_01063
OG0000260	Prao.g_00102	Syaa.g_01066
OG0000261	Prao.g_00104	Syaa.g_01069
OG0000262	Prao.g_00108	Syaa.g_01074
OG0000263	Prao.g_00119	Syaa.g_00989
OG0000264	Prao.g_00129	Syaa.g_00910
OG0000265	Prao.g_00648	Syaa.g_00931, Syaa.g_01498
OG0000266	Prao.g_00658	Syaa.g_01257, Syaa.g_01258
OG0000267	Prao.g_00669	Syaa.g_01409
OG0000268	Prao.g_00670	Syaa.g_01408
OG0000269	Prao.g_00736	Syaa.g_01149
OG0000270	Prao.g_00739	Syaa.g_01152
OG0000271	Prao.g_00747	Syaa.g_01160
OG0000272	Prao.g_00748	Syaa.g_01161
OG0000273	Prao.g_00771	Syaa.g_00844
OG0000274	Prao.g_00772	Syaa.g_00843
OG0000275	Prao.g_00775	Syaa.g_00840
OG0000276	Prao.g_00780	Syaa.g_00834
OG0000277	Prao.g_00781	Syaa.g_00833
OG0000278	Prao.g_00784	Syaa.g_00830
OG0000279	Prao.g_00791	Syaa.g_00822
OG0000280	Prao.g_00792	Syaa.g_00815
OG0000282	Prao.g_00847	Syaa.g_01096
OG0000283	Prao.g_00879	Syaa.g_01396
OG0000284	Prao.g_00884	Syaa.g_01390
OG0000285	Prao.g_00889	Syaa.g_01377
OG0000286	Prao.g_00901	Syaa.g_01358
OG0000288	Prao.g_00947	Syaa.g_01299
OG0000289	Prao.g_00958	Syaa.g_01285
OG0000290	Prao.g_00971	Syaa.g_00875
OG0000291	Prao.g_00973	Syaa.g_00877
OG0000292	Prao.g_01025	Syaa.g_02751
OG0000293	Prao.g_01098	Syaa.g_00758
OG0000294	Prao.g_01097	Syaa.g_00759
OG0000295	Prao.g_01077	Syaa.g_00796
OG0000296	Prao.g_01075	Syaa.g_00798
OG0000297	Prao.g_01067	Syaa.g_01021
OG0000298	Prao.g_01066	Syaa.g_01010
OG0000299	Prao.g_01049	Syaa.g_00982
OG0000300	Prao.g_01046	Syaa.g_00976
OG0000301	Prao.g_01045	Syaa.g_00975
OG0000302	Prao.g_01043	Syaa.g_00972
OG0000303	Prao.g_01036	Syaa.g_00963
OG0000304	Prao.g_01032	Syaa.g_00957
OG0000305	Prao.g_01247	Syaa.g_00881
OG0000306	Prao.g_01244	Syaa.g_00807
OG0000307	Prao.g_01230	Syaa.g_02068
OG0000308	Prao.g_01229	Syaa.g_02070
OG0000309	Prao.g_01225	Syaa.g_02075
OG0000310	Prao.g_01382	Syaa.g_01752
OG0000311	Prao.g_01384	Syaa.g_01757
OG0000312	Prao.g_01387	Syaa.g_01762
OG0000313	Prao.g_01401	Syaa.g_01779
OG0000314	Prao.g_01423	Syaa.g_01806
OG0000315	Prao.g_01433	Syaa.g_01816
OG0000316	Prao.g_01453	Syaa.g_00598
OG0000317	Prao.g_01550	Syaa.g_00556
OG0000318	Prao.g_01553	Syaa.g_00550
OG0000319	Prao.g_01566	Syaa.g_00532
OG0000320	Prao.g_01568	Syaa.g_00530
OG0000321	Prao.g_01569	Syaa.g_00529
OG0000322	Prao.g_01570	Syaa.g_00528
OG0000323	Prao.g_01579	Syaa.g_00496
OG0000324	Prao.g_01605	Syaa.g_00653
OG0000325	Prao.g_01616	Syaa.g_02350
OG0000326	Prao.g_01622	Syaa.g_02343
OG0000327	Prao.g_01646	Syaa.g_02294
OG0000328	Prao.g_01647	Syaa.g_02293
OG0000329	Prao.g_01664	Syaa.g_02275
OG0000330	Prao.g_01665	Syaa.g_02274
OG0000331	Prao.g_01666	Syaa.g_02273
OG0000332	Prao.g_01680	Syaa.g_02258
OG0000333	Prao.g_01682	Syaa.g_02255
OG0000334	Prao.g_01690	Syaa.g_02246
OG0000335	Prao.g_01695	Syaa.g_02241
OG0000336	Prao.g_01699	Syaa.g_02237
OG0000337	Prao.g_01715	Syaa.g_00167
OG0000338	Prao.g_01716	Syaa.g_00162
OG0000339	Prao.g_01720	Syaa.g_00156
OG0000340	Prao.g_01728	Syaa.g_00144
OG0000341	Prao.g_01730	Syaa.g_00142
OG0000342	Prao.g_01731	Syaa.g_00141
OG0000343	Prao.g_01732	Syaa.g_00140
OG0000344	Prao.g_01735	Syaa.g_00136
OG0000345	Prao.g_01740	Syaa.g_00127
OG0000346	Prao.g_01744	Syaa.g_00122
OG0000347	Prao.g_01760	Syaa.g_00088
OG0000348	Prao.g_01770	Syaa.g_00071
OG0000349	Prao.g_01787	Syaa.g_00053
OG0000350	Prao.g_01806	Syaa.g_02336
OG0000351	Prao.g_01823	Syaa.g_02730
OG0000352	Prao.g_01824	Syaa.g_02731
OG0000353	Prao.g_01840	Syaa.g_02757
OG0000354	Prao.g_00637	Syaa.g_00019, Syaa.g_00020
OG0000355	Prao.g_01842	Syaa.g_00001
OG0000356	Prao.g_01843	Syaa.g_00002
OG0000357	Prao.g_01844	Syaa.g_00003
OG0000358	Prao.g_01848	Syaa.g_00007
OG0000359	Prao.g_01849	Syaa.g_00009
OG0000360	Prao.g_01850	Syaa.g_00010
OG0000361	Prao.g_00157	Syaa.g_00011
OG0000362	Prao.g_00159	Syaa.g_00013
OG0000363	Prao.g_00161	Syaa.g_00015
OG0000364	Prao.g_00162	Syaa.g_00016
OG0000365	Prao.g_00167	Syaa.g_00027
OG0000366	Prao.g_00168	Syaa.g_00028
OG0000367	Prao.g_00169	Syaa.g_00029
OG0000368	Prao.g_00171	Syaa.g_00031
OG0000369	Prao.g_00172	Syaa.g_00032
OG0000370	Prao.g_00173	Syaa.g_00033
OG0000371	Prao.g_00178	Syaa.g_00041
OG0000372	Prao.g_00181	Syaa.g_00046
OG0000373	Prao.g_00182	Syaa.g_00047
OG0000374	Prao.g_00183	Syaa.g_00048
OG0000375	Prao.g_00186	Syaa.g_00049
OG0000376	Prao.g_00188	Syaa.g_00051
OG0000377	Prao.g_00191	Syaa.g_02585
OG0000378	Prao.g_00193	Syaa.g_02577
OG0000379	Prao.g_00196	Syaa.g_02574
OG0000380	Prao.g_00205	Syaa.g_00357
OG0000381	Prao.g_00209	Syaa.g_00353
OG0000382	Prao.g_00220	Syaa.g_00335
OG0000383	Prao.g_00222	Syaa.g_00333
OG0000384	Prao.g_00223	Syaa.g_00332
OG0000385	Prao.g_00224	Syaa.g_00331
OG0000386	Prao.g_00225	Syaa.g_00330
OG0000387	Prao.g_00238	Syaa.g_02371
OG0000388	Prao.g_00241	Syaa.g_02375
OG0000389	Prao.g_00244	Syaa.g_02379
OG0000390	Prao.g_00251	Syaa.g_02398
OG0000391	Prao.g_00255	Syaa.g_02403
OG0000392	Prao.g_00259	Syaa.g_02409
OG0000393	Prao.g_00261	Syaa.g_02412
OG0000394	Prao.g_00262	Syaa.g_02413
OG0000395	Prao.g_00263	Syaa.g_02414
OG0000396	Prao.g_00266	Syaa.g_02417
OG0000397	Prao.g_00268	Syaa.g_02419
OG0000398	Prao.g_00270	Syaa.g_02424
OG0000399	Prao.g_00271	Syaa.g_02425
OG0000400	Prao.g_00272	Syaa.g_02426
OG0000401	Prao.g_00273	Syaa.g_02427
OG0000402	Prao.g_00274	Syaa.g_02429
OG0000403	Prao.g_00275	Syaa.g_02430
OG0000404	Prao.g_00276	Syaa.g_02431
OG0000405	Prao.g_00280	Syaa.g_02446
OG0000406	Prao.g_00285	Syaa.g_02450
OG0000407	Prao.g_00286	Syaa.g_02451
OG0000408	Prao.g_00288	Syaa.g_02458
OG0000409	Prao.g_00290	Syaa.g_02460
OG0000410	Prao.g_00291	Syaa.g_02461
OG0000411	Prao.g_00292	Syaa.g_02462
OG0000412	Prao.g_00293	Syaa.g_02463
OG0000413	Prao.g_00294	Syaa.g_02465
OG0000415	Prao.g_00296	Syaa.g_02466
OG0000416	Prao.g_00297	Syaa.g_02467
OG0000417	Prao.g_00298	Syaa.g_02468
OG0000418	Prao.g_00303	Syaa.g_02473
OG0000419	Prao.g_00305	Syaa.g_02475
OG0000420	Prao.g_00306	Syaa.g_02477
OG0000421	Prao.g_00311	Syaa.g_02482
OG0000422	Prao.g_00312	Syaa.g_02483
OG0000423	Prao.g_00313	Syaa.g_02484
OG0000424	Prao.g_00314	Syaa.g_02485
OG0000425	Prao.g_00315	Syaa.g_02486
OG0000426	Prao.g_00316	Syaa.g_02487
OG0000427	Prao.g_00317	Syaa.g_02488
OG0000428	Prao.g_00319	Syaa.g_02491
OG0000429	Prao.g_00320	Syaa.g_02493
OG0000430	Prao.g_00321	Syaa.g_02495
OG0000431	Prao.g_00323	Syaa.g_02498
OG0000432	Prao.g_00326	Syaa.g_02504
OG0000433	Prao.g_00327	Syaa.g_02513
OG0000434	Prao.g_00328	Syaa.g_02514
OG0000435	Prao.g_00329	Syaa.g_02516
OG0000436	Prao.g_00334	Syaa.g_02525
OG0000437	Prao.g_00335	Syaa.g_02526
OG0000438	Prao.g_00336	Syaa.g_02527
OG0000439	Prao.g_00338	Syaa.g_02529
OG0000440	Prao.g_00339	Syaa.g_02530
OG0000441	Prao.g_00342	Syaa.g_02534
OG0000442	Prao.g_00343	Syaa.g_02535
OG0000443	Prao.g_00344	Syaa.g_02536
OG0000444	Prao.g_00349	Syaa.g_02542
OG0000445	Prao.g_00350	Syaa.g_02543
OG0000446	Prao.g_00351	Syaa.g_02545
OG0000447	Prao.g_00352	Syaa.g_02548
OG0000448	Prao.g_00353	Syaa.g_02549
OG0000449	Prao.g_00354	Syaa.g_02550
OG0000450	Prao.g_00355	Syaa.g_02553
OG0000451	Prao.g_00356	Syaa.g_02554
OG0000452	Prao.g_00359	Syaa.g_02558
OG0000453	Prao.g_00360	Syaa.g_02559
OG0000454	Prao.g_00361	Syaa.g_02560
OG0000455	Prao.g_00362	Syaa.g_02561
OG0000456	Prao.g_00363	Syaa.g_02562
OG0000457	Prao.g_00364	Syaa.g_02564
OG0000458	Prao.g_00365	Syaa.g_02565
OG0000459	Prao.g_00366	Syaa.g_02566
OG0000460	Prao.g_00373	Syaa.g_02111
OG0000461	Prao.g_00380	Syaa.g_00318
OG0000462	Prao.g_00382	Syaa.g_00315
OG0000463	Prao.g_00383	Syaa.g_00314
OG0000464	Prao.g_00384	Syaa.g_00313
OG0000465	Prao.g_00385	Syaa.g_00311
OG0000466	Prao.g_00388	Syaa.g_00306
OG0000467	Prao.g_00389	Syaa.g_00304
OG0000468	Prao.g_00391	Syaa.g_00299
OG0000469	Prao.g_00400	Syaa.g_00285
OG0000470	Prao.g_00402	Syaa.g_00283
OG0000471	Prao.g_00403	Syaa.g_00282
OG0000472	Prao.g_00404	Syaa.g_00280
OG0000473	Prao.g_00406	Syaa.g_00278
OG0000474	Prao.g_00407	Syaa.g_00277
OG0000475	Prao.g_00408	Syaa.g_00276
OG0000476	Prao.g_00409	Syaa.g_00274
OG0000477	Prao.g_00412	Syaa.g_00268
OG0000478	Prao.g_00413	Syaa.g_00267
OG0000479	Prao.g_00414	Syaa.g_00266
OG0000480	Prao.g_00419	Syaa.g_00259
OG0000481	Prao.g_00421	Syaa.g_00257
OG0000482	Prao.g_00422	Syaa.g_00256
OG0000483	Prao.g_00425	Syaa.g_00252
OG0000484	Prao.g_00426	Syaa.g_00251
OG0000485	Prao.g_00427	Syaa.g_00250
OG0000486	Prao.g_00428	Syaa.g_00249
OG0000487	Prao.g_00432	Syaa.g_00243
OG0000488	Prao.g_00435	Syaa.g_00239
OG0000489	Prao.g_00440	Syaa.g_00228
OG0000490	Prao.g_00444	Syaa.g_00220
OG0000491	Prao.g_00445	Syaa.g_00218
OG0000492	Prao.g_00447	Syaa.g_00214
OG0000493	Prao.g_00448	Syaa.g_00213
OG0000494	Prao.g_00449	Syaa.g_00212
OG0000495	Prao.g_00450	Syaa.g_00211
OG0000496	Prao.g_00451	Syaa.g_00210
OG0000497	Prao.g_00452	Syaa.g_00209
OG0000498	Prao.g_00453	Syaa.g_00208
OG0000499	Prao.g_00454	Syaa.g_00207
OG0000500	Prao.g_00455	Syaa.g_00206
OG0000501	Prao.g_00457	Syaa.g_00203
OG0000502	Prao.g_00460	Syaa.g_00190
OG0000503	Prao.g_00470	Syaa.g_02182
OG0000504	Prao.g_00471	Syaa.g_02180
OG0000505	Prao.g_00472	Syaa.g_02179
OG0000506	Prao.g_00474	Syaa.g_02177
OG0000507	Prao.g_00476	Syaa.g_02171
OG0000508	Prao.g_00479	Syaa.g_02167
OG0000509	Prao.g_00481	Syaa.g_02165
OG0000510	Prao.g_00482	Syaa.g_02164
OG0000511	Prao.g_00483	Syaa.g_02163
OG0000512	Prao.g_00485	Syaa.g_02161
OG0000513	Prao.g_00492	Syaa.g_02145
OG0000514	Prao.g_00535	Syaa.g_02118
OG0000515	Prao.g_00536	Syaa.g_02117
OG0000516	Prao.g_00537	Syaa.g_00698
OG0000517	Prao.g_00539	Syaa.g_00702
OG0000518	Prao.g_00550	Syaa.g_00714
OG0000519	Prao.g_00551	Syaa.g_00715
OG0000520	Prao.g_00552	Syaa.g_00716
OG0000521	Prao.g_00557	Syaa.g_01864
OG0000522	Prao.g_00559	Syaa.g_01862
OG0000523	Prao.g_00560	Syaa.g_01859
OG0000524	Prao.g_00567	Syaa.g_01856
OG0000525	Prao.g_00570	Syaa.g_01851
OG0000526	Prao.g_00571	Syaa.g_01848
OG0000527	Prao.g_00579	Syaa.g_01844
OG0000528	Prao.g_00584	Syaa.g_02054
OG0000529	Prao.g_00587	Syaa.g_02050
OG0000530	Prao.g_00590	Syaa.g_02047
OG0000531	Prao.g_00591	Syaa.g_02046
OG0000532	Prao.g_00593	Syaa.g_02043
OG0000533	Prao.g_00594	Syaa.g_02042
OG0000534	Prao.g_00595	Syaa.g_02041
OG0000535	Prao.g_00596	Syaa.g_02040
OG0000536	Prao.g_00597	Syaa.g_02039
OG0000537	Prao.g_00598	Syaa.g_02038
OG0000538	Prao.g_00606	Syaa.g_02027
OG0000539	Prao.g_00607	Syaa.g_02026
OG0000540	Prao.g_00608	Syaa.g_02025
OG0000541	Prao.g_00609	Syaa.g_02024
OG0000542	Prao.g_00611	Syaa.g_02021
OG0000543	Prao.g_00613	Syaa.g_02019
OG0000544	Prao.g_00614	Syaa.g_02018
OG0000545	Prao.g_00616	Syaa.g_02016
OG0000546	Prao.g_00619	Syaa.g_02014
OG0000547	Prao.g_00621	Syaa.g_02012
OG0000548	Prao.g_00622	Syaa.g_02011
OG0000549	Prao.g_00624	Syaa.g_02003
OG0000550	Prao.g_00629	Syaa.g_01998
OG0000551	Prao.g_00633	Syaa.g_01993
OG0000552	Prao.g_00634	Syaa.g_01992
OG0000553	Prao.g_00635	Syaa.g_01990
OG0000554	Prao.g_01857	Syaa.g_01979
OG0000555	Prao.g_01161	Syaa.g_01961
OG0000556	Prao.g_01163	Syaa.g_01957
OG0000557	Prao.g_01164	Syaa.g_01955
OG0000558	Prao.g_01166	Syaa.g_01953
OG0000559	Prao.g_01170	Syaa.g_01949
OG0000560	Prao.g_01173	Syaa.g_01946
OG0000561	Prao.g_01174	Syaa.g_01945
OG0000562	Prao.g_01175	Syaa.g_01944
OG0000563	Prao.g_01176	Syaa.g_01943
OG0000564	Prao.g_01177	Syaa.g_01942
OG0000565	Prao.g_01180	Syaa.g_01939
OG0000566	Prao.g_01182	Syaa.g_01935
OG0000567	Prao.g_01186	Syaa.g_01931
OG0000568	Prao.g_01187	Syaa.g_01928
OG0000569	Prao.g_01862	Syaa.g_01925
OG0000570	Prao.g_01863	Syaa.g_01924
OG0000571	Prao.g_01865	Syaa.g_01920
OG0000572	Prao.g_00025	Syaa.g_01904
OG0000573	Prao.g_00030	Syaa.g_01896
OG0000574	Prao.g_00031	Syaa.g_01895
OG0000575	Prao.g_00035	Syaa.g_01891
OG0000576	Prao.g_00037	Syaa.g_01889
OG0000577	Prao.g_00038	Syaa.g_01888
