Orthogroup	Syap	Pran
OG0000105	Syap.g_01369, Syap.g_01368	Pran.g_01920
OG0000107	Syap.g_02496	Pran.g_01808
OG0000108	Syap.g_00733, Syap.g_02255	Pran.g_01698
OG0000109	Syap.g_00279, Syap.g_02237	Pran.g_01684
OG0000110	Syap.g_01313	Pran.g_01603
OG0000111	Syap.g_01566, Syap.g_01568	Pran.g_01479
OG0000112	Syap.g_02023	Pran.g_01378
OG0000113	Syap.g_02714	Pran.g_01321
OG0000114	Syap.g_01255	Pran.g_00429
OG0000115	Syap.g_02004	Pran.g_00123
OG0000116	Syap.g_00241	Pran.g_00070
OG0000117	Syap.g_01889	Pran.g_01466
OG0000118	Syap.g_02286	Pran.g_00864
OG0000120	Syap.g_02075	Pran.g_00752
OG0000121	Syap.g_02471	Pran.g_00731
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Pran.g_01112
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Pran.g_01176
OG0000125	Syap.g_01046, Syap.g_01047	Pran.g_01212
OG0000126	Syap.g_02317, Syap.g_02576, Syap.g_02316	Pran.g_01252
OG0000128	Syap.g_00069	Pran.g_01268
OG0000129	Syap.g_00130, Syap.g_00129	Pran.g_00381
OG0000130	Syap.g_01688, Syap.g_01689	Pran.g_00363
OG0000131	Syap.g_02189	Pran.g_00288
OG0000132	Syap.g_01205	Pran.g_00268
OG0000133	Syap.g_02017	Pran.g_01872
OG0000134	Syap.g_02047	Pran.g_01838
OG0000135	Syap.g_02090	Pran.g_01812
OG0000136	Syap.g_00089	Pran.g_01739
OG0000137	Syap.g_02756	Pran.g_01703
OG0000138	Syap.g_00278	Pran.g_01683
OG0000139	Syap.g_00410	Pran.g_01641
OG0000140	Syap.g_01976	Pran.g_01640
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Pran.g_01571
OG0000142	Syap.g_00895, Syap.g_00894	Pran.g_01543
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Pran.g_01539
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Pran.g_01526
OG0000145	Syap.g_01860, Syap.g_01859	Pran.g_01400
OG0000146	Syap.g_02024	Pran.g_01377
OG0000147	Syap.g_02025	Pran.g_01376
OG0000148	Syap.g_02720	Pran.g_01327
OG0000149	Syap.g_00824	Pran.g_01297
OG0000150	Syap.g_01540	Pran.g_01289
OG0000151	Syap.g_00142	Pran.g_00439
OG0000152	Syap.g_02012	Pran.g_00487
OG0000153	Syap.g_02682	Pran.g_00506
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Pran.g_00542
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Pran.g_00040
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Pran.g_00887
OG0000157	Syap.g_00249, Syap.g_00286	Pran.g_00886
OG0000158	Syap.g_01075	Pran.g_00822
OG0000159	Syap.g_00852	Pran.g_00808
OG0000160	Syap.g_02470, Syap.g_02469	Pran.g_00732
OG0000161	Syap.g_02476	Pran.g_00726
OG0000162	Syap.g_02531	Pran.g_00720
OG0000164	Syap.g_01391, Syap.g_01392	Pran.g_00994
OG0000165	Syap.g_01381, Syap.g_01382	Pran.g_01001
OG0000166	Syap.g_00512, Syap.g_01238	Pran.g_01069, Pran.g_01068
OG0000167	Syap.g_02080	Pran.g_01135
OG0000168	Syap.g_01076	Pran.g_01144
OG0000169	Syap.g_01049, Syap.g_01093	Pran.g_01154
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Pran.g_01156
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Pran.g_01175
OG0000172	Syap.g_01143, Syap.g_00635	Pran.g_01184
OG0000173	Syap.g_00982, Syap.g_00983	Pran.g_01199
OG0000174	Syap.g_02092	Pran.g_01226
OG0000175	Syap.g_02654	Pran.g_01236
OG0000176	Syap.g_00059	Pran.g_01261
OG0000177	Syap.g_00061, Syap.g_00060	Pran.g_01262
OG0000178	Syap.g_00062	Pran.g_01263
OG0000179	Syap.g_00077, Syap.g_02638	Pran.g_00408
OG0000180	Syap.g_00078, Syap.g_02640	Pran.g_00407
OG0000181	Syap.g_00079, Syap.g_02641	Pran.g_00406
OG0000182	Syap.g_00080, Syap.g_02642	Pran.g_00405
OG0000183	Syap.g_00084	Pran.g_00401
OG0000184	Syap.g_01337	Pran.g_00379
OG0000185	Syap.g_01322	Pran.g_00376
OG0000186	Syap.g_01684	Pran.g_00368
OG0000187	Syap.g_01686	Pran.g_00367
OG0000188	Syap.g_02547	Pran.g_00350
OG0000191	Syap.g_02233	Pran.g_00316
OG0000192	Syap.g_02224	Pran.g_00312
OG0000193	Syap.g_02187, Syap.g_02188	Pran.g_00287
OG0000194	Syap.g_02183	Pran.g_00283
OG0000195	Syap.g_02180	Pran.g_00281
OG0000196	Syap.g_01208, Syap.g_02167	Pran.g_00271
OG0000197	Syap.g_01207, Syap.g_02166	Pran.g_00270
OG0000198	Syap.g_01206	Pran.g_00269
OG0000199	Syap.g_01197	Pran.g_00262
OG0000200	Syap.g_01181	Pran.g_00248
OG0000201	Syap.g_02265	Pran.g_00240
OG0000202	Syap.g_02264	Pran.g_00239
OG0000203	Syap.g_01601	Pran.g_00238
OG0000204	Syap.g_01602	Pran.g_00237
OG0000205	Syap.g_01616	Pran.g_00230
OG0000206	Syap.g_01628	Pran.g_00225
OG0000207	Syap.g_01426, Syap.g_00424	Pran.g_00223
OG0000208	Syap.g_00426, Syap.g_01425	Pran.g_00222
OG0000209	Syap.g_01906	Pran.g_00213
OG0000210	Syap.g_01905	Pran.g_00212
OG0000211	Syap.g_01160	Pran.g_00199
OG0000212	Syap.g_02664	Pran.g_00193
OG0000213	Syap.g_00107, Syap.g_01599	Pran.g_01935
OG0000214	Syap.g_02344, Syap.g_02345	Pran.g_01926
OG0000215	Syap.g_01347, Syap.g_01629	Pran.g_01902
OG0000216	Syap.g_01634	Pran.g_01900
OG0000217	Syap.g_01638	Pran.g_01897
OG0000218	Syap.g_01641, Syap.g_01640	Pran.g_01895
OG0000219	Syap.g_01642, Syap.g_01643	Pran.g_01894
OG0000220	Syap.g_01645	Pran.g_01893
OG0000221	Syap.g_01646	Pran.g_01892
OG0000222	Syap.g_01669	Pran.g_01884
OG0000223	Syap.g_02072, Syap.g_02073	Pran.g_01871
OG0000224	Syap.g_02064	Pran.g_01869
OG0000225	Syap.g_00553, Syap.g_00552	Pran.g_01849
OG0000226	Syap.g_02029, Syap.g_02144	Pran.g_01845
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Pran.g_01843
OG0000228	Syap.g_00116, Syap.g_02041	Pran.g_01840
OG0000229	Syap.g_02059	Pran.g_01744
OG0000230	Syap.g_02061	Pran.g_01742
OG0000231	Syap.g_02533	Pran.g_01728
OG0000232	Syap.g_02510, Syap.g_02511	Pran.g_01720
OG0000233	Syap.g_02133	Pran.g_01715
OG0000234	Syap.g_02755	Pran.g_01702
OG0000235	Syap.g_00732, Syap.g_02258	Pran.g_01699
OG0000236	Syap.g_02238	Pran.g_01685
OG0000237	Syap.g_00262, Syap.g_00263	Pran.g_01672
OG0000238	Syap.g_00257, Syap.g_00258	Pran.g_01666
OG0000239	Syap.g_02744	Pran.g_01653
OG0000240	Syap.g_02742	Pran.g_01652
OG0000241	Syap.g_00888	Pran.g_01648
OG0000242	Syap.g_01455	Pran.g_01646
OG0000243	Syap.g_01938	Pran.g_01635
OG0000244	Syap.g_01146, Syap.g_01145	Pran.g_01632
OG0000245	Syap.g_01148	Pran.g_01630
OG0000246	Syap.g_00308	Pran.g_01626
OG0000247	Syap.g_00288, Syap.g_00293	Pran.g_01616
OG0000248	Syap.g_00290	Pran.g_01613
OG0000249	Syap.g_01296, Syap.g_01295	Pran.g_01611
OG0000250	Syap.g_01306	Pran.g_01606
OG0000251	Syap.g_00442	Pran.g_01587
OG0000252	Syap.g_01857	Pran.g_01584
OG0000253	Syap.g_00443	Pran.g_01583
OG0000254	Syap.g_01527, Syap.g_01528	Pran.g_01567
OG0000256	Syap.g_01287	Pran.g_01551
OG0000257	Syap.g_00886	Pran.g_01548
OG0000258	Syap.g_00907	Pran.g_01535
OG0000260	Syap.g_01970	Pran.g_01515
OG0000261	Syap.g_01962, Syap.g_01961	Pran.g_01513
OG0000262	Syap.g_01954	Pran.g_01509
OG0000263	Syap.g_00432, Syap.g_00433	Pran.g_01497
OG0000266	Syap.g_00519	Pran.g_01450
OG0000267	Syap.g_02333, Syap.g_02332	Pran.g_01439
OG0000268	Syap.g_00646	Pran.g_01438
OG0000269	Syap.g_00188	Pran.g_01348
OG0000270	Syap.g_00192	Pran.g_01345
OG0000271	Syap.g_00200, Syap.g_00201	Pran.g_01337
OG0000272	Syap.g_00202	Pran.g_01336
OG0000273	Syap.g_02703	Pran.g_01313
OG0000274	Syap.g_02702	Pran.g_01312
OG0000275	Syap.g_01847	Pran.g_01310
OG0000276	Syap.g_01838, Syap.g_01839	Pran.g_01305
OG0000277	Syap.g_01837	Pran.g_01304
OG0000278	Syap.g_01834	Pran.g_01301
OG0000279	Syap.g_00829, Syap.g_00830	Pran.g_01294
OG0000280	Syap.g_00365	Pran.g_01293
OG0000281	Syap.g_01977	Pran.g_01287
OG0000282	Syap.g_01252	Pran.g_00431
OG0000283	Syap.g_01728	Pran.g_00464
OG0000284	Syap.g_01736	Pran.g_00469
OG0000285	Syap.g_01746, Syap.g_01744	Pran.g_00474
OG0000286	Syap.g_02014, Syap.g_02013	Pran.g_00486
OG0000288	Syap.g_02764, Syap.g_02763	Pran.g_00541
OG0000289	Syap.g_02784	Pran.g_00552
OG0000290	Syap.g_01552	Pran.g_00565
OG0000292	Syap.g_02314	Pran.g_00135
OG0000293	Syap.g_00240	Pran.g_00069
OG0000294	Syap.g_00239	Pran.g_00068
OG0000295	Syap.g_00206	Pran.g_00048
OG0000296	Syap.g_00204	Pran.g_00046
OG0000299	Syap.g_02620	Pran.g_00020
OG0000302	Syap.g_02444, Syap.g_02445	Pran.g_00014
OG0000303	Syap.g_02435	Pran.g_00007
OG0000304	Syap.g_02430	Pran.g_00003
OG0000305	Syap.g_01557	Pran.g_00848
OG0000306	Syap.g_01966	Pran.g_00846
OG0000307	Syap.g_02517	Pran.g_00832
OG0000308	Syap.g_02514, Syap.g_02515	Pran.g_00831
OG0000309	Syap.g_02198, Syap.g_02446	Pran.g_00827
OG0000310	Syap.g_02660, Syap.g_02661	Pran.g_00748
OG0000311	Syap.g_02657	Pran.g_00746
OG0000312	Syap.g_02114	Pran.g_00743
OG0000313	Syap.g_02473	Pran.g_00729
OG0000315	Syap.g_00017	Pran.g_00696
OG0000316	Syap.g_00030	Pran.g_00676
OG0000317	Syap.g_00618	Pran.g_00968
OG0000318	Syap.g_00622, Syap.g_02786	Pran.g_00971
OG0000319	Syap.g_01764, Syap.g_01771	Pran.g_00984
OG0000320	Syap.g_01761, Syap.g_01769	Pran.g_00986
OG0000321	Syap.g_01760, Syap.g_01768	Pran.g_00987
OG0000322	Syap.g_01759, Syap.g_01767	Pran.g_00988
OG0000323	Syap.g_01389	Pran.g_00997
OG0000324	Syap.g_01503	Pran.g_01023
OG0000325	Syap.g_02680	Pran.g_01033
OG0000326	Syap.g_00544	Pran.g_01039
OG0000327	Syap.g_01233, Syap.g_01913	Pran.g_01063
OG0000328	Syap.g_01234, Syap.g_01912	Pran.g_01064
OG0000329	Syap.g_00498	Pran.g_01082
OG0000330	Syap.g_00497	Pran.g_01083
OG0000331	Syap.g_00496	Pran.g_01084
OG0000332	Syap.g_00481	Pran.g_01098
OG0000333	Syap.g_00478	Pran.g_01100
OG0000334	Syap.g_00468	Pran.g_01108
OG0000335	Syap.g_00101, Syap.g_00463	Pran.g_01113
OG0000336	Syap.g_00417, Syap.g_00607	Pran.g_01117
OG0000337	Syap.g_01054	Pran.g_01133
OG0000338	Syap.g_01059	Pran.g_01134
OG0000339	Syap.g_01068	Pran.g_01138
OG0000340	Syap.g_01077	Pran.g_01145
OG0000341	Syap.g_01079	Pran.g_01147
OG0000342	Syap.g_01080, Syap.g_02477	Pran.g_01148
OG0000343	Syap.g_01086, Syap.g_02078	Pran.g_01149
OG0000344	Syap.g_01091	Pran.g_01152
OG0000345	Syap.g_01107, Syap.g_01470	Pran.g_01157
OG0000346	Syap.g_01113	Pran.g_01161
OG0000347	Syap.g_01131, Syap.g_02459	Pran.g_01177
OG0000348	Syap.g_00632	Pran.g_01187
OG0000349	Syap.g_00110, Syap.g_01813	Pran.g_01203
OG0000351	Syap.g_02594	Pran.g_01239
OG0000352	Syap.g_02596, Syap.g_02597	Pran.g_01240
OG0000353	Syap.g_00054	Pran.g_01256
OG0000355	Syap.g_00056	Pran.g_01258
OG0000356	Syap.g_00057	Pran.g_01259
OG0000357	Syap.g_00058	Pran.g_01260
OG0000358	Syap.g_00063	Pran.g_01264
OG0000359	Syap.g_00065	Pran.g_01265
OG0000360	Syap.g_00067	Pran.g_01266
OG0000361	Syap.g_00068	Pran.g_01267
OG0000362	Syap.g_00070	Pran.g_01269
OG0000363	Syap.g_00072	Pran.g_00410
OG0000364	Syap.g_00620	Pran.g_00409
OG0000365	Syap.g_00081	Pran.g_00404
OG0000366	Syap.g_00082	Pran.g_00403
OG0000367	Syap.g_00083	Pran.g_00402
OG0000368	Syap.g_00085	Pran.g_00400
OG0000369	Syap.g_00086	Pran.g_00399
OG0000370	Syap.g_00087	Pran.g_00398
OG0000372	Syap.g_01805	Pran.g_00389
OG0000373	Syap.g_01806	Pran.g_00388
OG0000374	Syap.g_01807	Pran.g_00387
OG0000375	Syap.g_01808	Pran.g_00385
OG0000376	Syap.g_01811	Pran.g_00383
OG0000377	Syap.g_00128	Pran.g_00380
OG0000378	Syap.g_01326	Pran.g_00378
OG0000380	Syap.g_01687	Pran.g_00366
OG0000381	Syap.g_01690	Pran.g_00362
OG0000382	Syap.g_02548	Pran.g_00351
OG0000383	Syap.g_02359	Pran.g_00349
OG0000384	Syap.g_02360	Pran.g_00348
OG0000385	Syap.g_02361	Pran.g_00347
OG0000386	Syap.g_02362	Pran.g_00346
OG0000387	Syap.g_01864	Pran.g_00334
OG0000391	Syap.g_02234	Pran.g_00317
OG0000392	Syap.g_02225	Pran.g_00313
OG0000393	Syap.g_02222	Pran.g_00311
OG0000394	Syap.g_02221	Pran.g_00310
OG0000395	Syap.g_02220	Pran.g_00309
OG0000396	Syap.g_02217	Pran.g_00307
OG0000397	Syap.g_02215	Pran.g_00305
OG0000398	Syap.g_02211	Pran.g_00303
OG0000399	Syap.g_02210	Pran.g_00302
OG0000400	Syap.g_02209	Pran.g_00301
OG0000401	Syap.g_02208	Pran.g_00300
OG0000402	Syap.g_02206	Pran.g_00298
OG0000403	Syap.g_02205	Pran.g_00297
OG0000404	Syap.g_02204, Syap.g_02618	Pran.g_00296
OG0000405	Syap.g_02191	Pran.g_00292
OG0000406	Syap.g_02186	Pran.g_00286
OG0000407	Syap.g_02185	Pran.g_00285
OG0000408	Syap.g_02181, Syap.g_02182	Pran.g_00282
OG0000409	Syap.g_02179	Pran.g_00280
OG0000410	Syap.g_02178	Pran.g_00279
OG0000411	Syap.g_02177	Pran.g_00278
OG0000412	Syap.g_02176	Pran.g_00277
OG0000413	Syap.g_02174	Pran.g_00276
OG0000414	Syap.g_02173	Pran.g_00275
OG0000415	Syap.g_02172	Pran.g_00274
OG0000416	Syap.g_02171	Pran.g_00273
OG0000417	Syap.g_02169	Pran.g_00272
OG0000418	Syap.g_01204	Pran.g_00267
OG0000419	Syap.g_01201	Pran.g_00265
OG0000420	Syap.g_01199	Pran.g_00264
OG0000421	Syap.g_01195	Pran.g_00259
OG0000422	Syap.g_01194	Pran.g_00258
OG0000423	Syap.g_01193	Pran.g_00257
OG0000424	Syap.g_01192	Pran.g_00256
OG0000425	Syap.g_01191	Pran.g_00255
OG0000426	Syap.g_01190	Pran.g_00254
OG0000427	Syap.g_01189	Pran.g_00253
OG0000428	Syap.g_01186	Pran.g_00251
OG0000429	Syap.g_01184	Pran.g_00250
OG0000430	Syap.g_01182	Pran.g_00249
OG0000431	Syap.g_01179	Pran.g_00247
OG0000432	Syap.g_02277	Pran.g_00244
OG0000433	Syap.g_02272	Pran.g_00243
OG0000434	Syap.g_02271	Pran.g_00242
OG0000435	Syap.g_02268	Pran.g_00241
OG0000436	Syap.g_01607	Pran.g_00236
OG0000437	Syap.g_01608	Pran.g_00235
OG0000438	Syap.g_01612	Pran.g_00234
OG0000439	Syap.g_01614	Pran.g_00232
OG0000440	Syap.g_01615	Pran.g_00231
OG0000441	Syap.g_01619	Pran.g_00228
OG0000442	Syap.g_01620	Pran.g_00227
OG0000443	Syap.g_01622	Pran.g_00226
OG0000444	Syap.g_01424	Pran.g_00221
OG0000445	Syap.g_01421	Pran.g_00220
OG0000446	Syap.g_01419	Pran.g_00219
OG0000447	Syap.g_01410	Pran.g_00218
OG0000448	Syap.g_01407	Pran.g_00217
OG0000449	Syap.g_01406	Pran.g_00216
OG0000450	Syap.g_01909	Pran.g_00215
OG0000451	Syap.g_01908	Pran.g_00214
OG0000452	Syap.g_01904	Pran.g_00211
OG0000453	Syap.g_01903	Pran.g_00210
OG0000454	Syap.g_01902	Pran.g_00209
OG0000455	Syap.g_01901	Pran.g_00208
OG0000456	Syap.g_01900	Pran.g_00207
OG0000457	Syap.g_01896	Pran.g_00206
OG0000458	Syap.g_01895	Pran.g_00205
OG0000459	Syap.g_01894	Pran.g_00204
OG0000460	Syap.g_01159	Pran.g_00197
OG0000461	Syap.g_01575	Pran.g_01950
OG0000462	Syap.g_01578	Pran.g_01948
OG0000463	Syap.g_01579	Pran.g_01947
OG0000464	Syap.g_01580	Pran.g_01946
OG0000465	Syap.g_01582	Pran.g_01945
OG0000466	Syap.g_01587	Pran.g_01942
OG0000467	Syap.g_01588	Pran.g_01941
OG0000468	Syap.g_01593	Pran.g_01939
OG0000469	Syap.g_02352	Pran.g_01931
OG0000470	Syap.g_02349	Pran.g_01929
OG0000471	Syap.g_02348	Pran.g_01928
OG0000472	Syap.g_02347	Pran.g_01927
OG0000473	Syap.g_02343	Pran.g_01925
OG0000474	Syap.g_02342	Pran.g_01924
OG0000475	Syap.g_02341	Pran.g_01923
OG0000476	Syap.g_02339	Pran.g_01922
OG0000477	Syap.g_01367	Pran.g_01919
OG0000478	Syap.g_01366	Pran.g_01918
OG0000479	Syap.g_01364	Pran.g_01917
OG0000480	Syap.g_01357	Pran.g_01912
OG0000482	Syap.g_01355	Pran.g_01909
OG0000483	Syap.g_01344	Pran.g_01906
OG0000484	Syap.g_01350	Pran.g_01905
OG0000485	Syap.g_01349	Pran.g_01904
OG0000487	Syap.g_01635	Pran.g_01899
OG0000488	Syap.g_01639	Pran.g_01896
OG0000489	Syap.g_02482	Pran.g_01891
OG0000490	Syap.g_01673	Pran.g_01886
OG0000491	Syap.g_01670	Pran.g_01885
OG0000492	Syap.g_01668	Pran.g_01883
OG0000493	Syap.g_01667	Pran.g_01882
OG0000494	Syap.g_01666	Pran.g_01881
OG0000495	Syap.g_01665	Pran.g_01880
OG0000496	Syap.g_01663	Pran.g_01879
OG0000497	Syap.g_01662	Pran.g_01878
OG0000498	Syap.g_01661	Pran.g_01877
OG0000499	Syap.g_01660	Pran.g_01876
OG0000500	Syap.g_01659	Pran.g_01875
OG0000501	Syap.g_01656	Pran.g_01873
OG0000502	Syap.g_02066	Pran.g_01870
OG0000503	Syap.g_00569	Pran.g_01860
OG0000504	Syap.g_00567	Pran.g_01859
OG0000505	Syap.g_00566	Pran.g_01858
OG0000506	Syap.g_00564	Pran.g_01857
OG0000507	Syap.g_00558	Pran.g_01854
OG0000508	Syap.g_00554	Pran.g_01850
OG0000509	Syap.g_00551	Pran.g_01848
OG0000510	Syap.g_00550	Pran.g_01847
OG0000511	Syap.g_00548	Pran.g_01846
OG0000512	Syap.g_02145	Pran.g_01844
OG0000513	Syap.g_02048	Pran.g_01837
OG0000514	Syap.g_02051	Pran.g_01749
OG0000515	Syap.g_02052	Pran.g_01748
OG0000516	Syap.g_02054	Pran.g_01747
OG0000517	Syap.g_02057	Pran.g_01745
OG0000519	Syap.g_00457	Pran.g_01733
OG0000520	Syap.g_00456	Pran.g_01729
OG0000521	Syap.g_01997	Pran.g_01724
OG0000522	Syap.g_01995	Pran.g_01723
OG0000523	Syap.g_02507	Pran.g_01722
OG0000524	Syap.g_02135	Pran.g_01717
OG0000525	Syap.g_02159	Pran.g_01714
OG0000526	Syap.g_02157	Pran.g_01713
OG0000527	Syap.g_02758	Pran.g_01705
OG0000528	Syap.g_02261	Pran.g_01700
OG0000529	Syap.g_02254	Pran.g_01697
OG0000530	Syap.g_02252	Pran.g_01694
OG0000531	Syap.g_02251	Pran.g_01693
OG0000532	Syap.g_02247	Pran.g_01691
OG0000533	Syap.g_02244	Pran.g_01690
OG0000534	Syap.g_02243	Pran.g_01689
OG0000535	Syap.g_02242	Pran.g_01688
OG0000536	Syap.g_02241	Pran.g_01687
OG0000537	Syap.g_02240	Pran.g_01686
OG0000538	Syap.g_00271	Pran.g_01678
OG0000539	Syap.g_00270	Pran.g_01677
OG0000540	Syap.g_00269	Pran.g_01676
OG0000541	Syap.g_00268	Pran.g_01675
OG0000542	Syap.g_00264	Pran.g_01673
OG0000543	Syap.g_00261	Pran.g_01671
OG0000544	Syap.g_00260	Pran.g_01670
OG0000545	Syap.g_00259	Pran.g_01668
OG0000546	Syap.g_00256	Pran.g_01665
OG0000547	Syap.g_00254	Pran.g_01663
OG0000548	Syap.g_00253	Pran.g_01662
OG0000549	Syap.g_00758	Pran.g_01660
OG0000550	Syap.g_02747	Pran.g_01655
OG0000551	Syap.g_02739	Pran.g_01651
OG0000552	Syap.g_02738	Pran.g_01650
OG0000553	Syap.g_02735	Pran.g_01649
OG0000554	Syap.g_01450	Pran.g_01644
OG0000555	Syap.g_01941	Pran.g_01636
OG0000556	Syap.g_01933	Pran.g_01634
OG0000557	Syap.g_01931	Pran.g_01633
OG0000558	Syap.g_01147	Pran.g_01631
OG0000560	Syap.g_00305	Pran.g_01624
OG0000561	Syap.g_00304	Pran.g_01623
OG0000562	Syap.g_00302	Pran.g_01622
OG0000563	Syap.g_00301	Pran.g_01621
OG0000564	Syap.g_00300	Pran.g_01620
OG0000565	Syap.g_00296	Pran.g_01617
OG0000566	Syap.g_00291	Pran.g_01614
OG0000567	Syap.g_01297	Pran.g_01610
OG0000568	Syap.g_01302	Pran.g_01609
OG0000569	Syap.g_01303	Pran.g_01608
OG0000570	Syap.g_01304	Pran.g_01607
OG0000571	Syap.g_01307	Pran.g_01605
OG0000573	Syap.g_00765	Pran.g_01586
OG0000574	Syap.g_00759	Pran.g_01585
OG0000575	Syap.g_00445	Pran.g_01581
OG0000576	Syap.g_00450	Pran.g_01579
OG0000577	Syap.g_00451	Pran.g_01578
OG0000578	Syap.g_00452	Pran.g_01577
OG0000579	Syap.g_00453	Pran.g_01576
OG0000580	Syap.g_00454	Pran.g_01575
OG0000581	Syap.g_01521	Pran.g_01573
OG0000582	Syap.g_01533	Pran.g_01570
OG0000583	Syap.g_01532	Pran.g_01569
OG0000584	Syap.g_01530	Pran.g_01568
OG0000585	Syap.g_01526	Pran.g_01566
OG0000586	Syap.g_01525	Pran.g_01565
OG0000587	Syap.g_01523	Pran.g_01564
OG0000588	Syap.g_00776	Pran.g_01560
OG0000589	Syap.g_00941	Pran.g_01557
OG0000590	Syap.g_00940	Pran.g_01556
OG0000591	Syap.g_01289	Pran.g_01553
OG0000592	Syap.g_01288	Pran.g_01552
OG0000593	Syap.g_00890	Pran.g_01546
OG0000594	Syap.g_00891	Pran.g_01545
OG0000595	Syap.g_00892	Pran.g_01544
OG0000596	Syap.g_00898	Pran.g_01540
OG0000597	Syap.g_00903	Pran.g_01538
OG0000598	Syap.g_00904	Pran.g_01537
OG0000599	Syap.g_00908	Pran.g_01534
OG0000600	Syap.g_00909	Pran.g_01533
OG0000601	Syap.g_00910	Pran.g_01532
OG0000602	Syap.g_00640	Pran.g_01530
OG0000603	Syap.g_00641	Pran.g_01529
OG0000604	Syap.g_02769	Pran.g_01528
