Orthogroup	Syap	Praq
OG0000112	Syap.g_02023	Praq.g_00638
OG0000113	Syap.g_02714	Praq.g_01420
OG0000114	Syap.g_01255	Praq.g_01490
OG0000115	Syap.g_02004	Praq.g_01278
OG0000116	Syap.g_00241	Praq.g_01323
OG0000117	Syap.g_01889	Praq.g_00084
OG0000118	Syap.g_02286	Praq.g_00145
OG0000120	Syap.g_02075	Praq.g_00208
OG0000121	Syap.g_02471	Praq.g_00296
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Praq.g_00873
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Praq.g_00682
OG0000125	Syap.g_01046, Syap.g_01047	Praq.g_00718
OG0000126	Syap.g_02317, Syap.g_02576, Syap.g_02316	Praq.g_00421
OG0000128	Syap.g_00069	Praq.g_00437
OG0000129	Syap.g_00130, Syap.g_00129	Praq.g_01259
OG0000130	Syap.g_01688, Syap.g_01689	Praq.g_01934
OG0000131	Syap.g_02189	Praq.g_01857
OG0000132	Syap.g_01205	Praq.g_01838
OG0000133	Syap.g_02017	Praq.g_01680
OG0000134	Syap.g_02047	Praq.g_01187
OG0000135	Syap.g_02090	Praq.g_01160
OG0000136	Syap.g_00089	Praq.g_01116
OG0000137	Syap.g_02756	Praq.g_00526
OG0000138	Syap.g_00278	Praq.g_00546
OG0000139	Syap.g_00410	Praq.g_01065
OG0000140	Syap.g_01976	Praq.g_01064
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Praq.g_00995
OG0000142	Syap.g_00895, Syap.g_00894	Praq.g_00967
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Praq.g_00963
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Praq.g_00781
OG0000145	Syap.g_01860, Syap.g_01859	Praq.g_00637
OG0000146	Syap.g_02024	Praq.g_00639
OG0000147	Syap.g_02025	Praq.g_00640
OG0000148	Syap.g_02720	Praq.g_01414
OG0000149	Syap.g_00824	Praq.g_01444
OG0000150	Syap.g_01540	Praq.g_01452
OG0000151	Syap.g_00142	Praq.g_01500
OG0000152	Syap.g_02012	Praq.g_01548
OG0000153	Syap.g_02682	Praq.g_01567
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Praq.g_01593
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Praq.g_01353
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Praq.g_00122
OG0000157	Syap.g_00249, Syap.g_00286	Praq.g_00123
OG0000158	Syap.g_01075	Praq.g_00258
OG0000159	Syap.g_00852	Praq.g_00253, Praq.g_00217
OG0000160	Syap.g_02470, Syap.g_02469	Praq.g_00295
OG0000161	Syap.g_02476	Praq.g_00301
OG0000162	Syap.g_02531	Praq.g_00307
OG0000164	Syap.g_01391, Syap.g_01392	Praq.g_00473
OG0000165	Syap.g_01381, Syap.g_01382	Praq.g_00466
OG0000166	Syap.g_00512, Syap.g_01238	Praq.g_00915
OG0000167	Syap.g_02080	Praq.g_00737
OG0000168	Syap.g_01076	Praq.g_00747
OG0000169	Syap.g_01049, Syap.g_01093	Praq.g_00757
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Praq.g_00759
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Praq.g_00681
OG0000172	Syap.g_01143, Syap.g_00635	Praq.g_00689
OG0000173	Syap.g_00982, Syap.g_00983	Praq.g_00704
OG0000174	Syap.g_02092	Praq.g_00396
OG0000175	Syap.g_02654	Praq.g_00406
OG0000176	Syap.g_00059	Praq.g_00430
OG0000177	Syap.g_00061, Syap.g_00060	Praq.g_00431
OG0000178	Syap.g_00062	Praq.g_00432
OG0000179	Syap.g_00077, Syap.g_02638	Praq.g_01219
OG0000180	Syap.g_00078, Syap.g_02640	Praq.g_01220
OG0000181	Syap.g_00079, Syap.g_02641	Praq.g_01221
OG0000182	Syap.g_00080, Syap.g_02642	Praq.g_01222
OG0000183	Syap.g_00084	Praq.g_01226
OG0000184	Syap.g_01337	Praq.g_01262
OG0000185	Syap.g_01322	Praq.g_01265
OG0000186	Syap.g_01684	Praq.g_01939
OG0000187	Syap.g_01686	Praq.g_01938
OG0000188	Syap.g_02547	Praq.g_01921
OG0000191	Syap.g_02233	Praq.g_01886
OG0000192	Syap.g_02224	Praq.g_01882
OG0000193	Syap.g_02187, Syap.g_02188	Praq.g_01856
OG0000194	Syap.g_02183	Praq.g_01853
OG0000195	Syap.g_02180	Praq.g_01851
OG0000196	Syap.g_01208, Syap.g_02167	Praq.g_01841
OG0000197	Syap.g_01207, Syap.g_02166	Praq.g_01840
OG0000198	Syap.g_01206	Praq.g_01839
OG0000199	Syap.g_01197	Praq.g_01832
OG0000200	Syap.g_01181	Praq.g_01818
OG0000201	Syap.g_02265	Praq.g_01810
OG0000202	Syap.g_02264	Praq.g_01809
OG0000203	Syap.g_01601	Praq.g_01808
OG0000204	Syap.g_01602	Praq.g_01807
OG0000205	Syap.g_01616	Praq.g_01800
OG0000206	Syap.g_01628	Praq.g_01795
OG0000207	Syap.g_01426, Syap.g_00424	Praq.g_01793
OG0000208	Syap.g_00426, Syap.g_01425	Praq.g_01792
OG0000209	Syap.g_01906	Praq.g_01783
OG0000210	Syap.g_01905	Praq.g_01782
OG0000211	Syap.g_01160	Praq.g_01769
OG0000212	Syap.g_02664	Praq.g_01762
OG0000213	Syap.g_00107, Syap.g_01599	Praq.g_01746
OG0000214	Syap.g_02344, Syap.g_02345	Praq.g_01736
OG0000215	Syap.g_01347, Syap.g_01629	Praq.g_01710
OG0000216	Syap.g_01634	Praq.g_01708
OG0000217	Syap.g_01638	Praq.g_01705
OG0000218	Syap.g_01641, Syap.g_01640	Praq.g_01703
OG0000219	Syap.g_01642, Syap.g_01643	Praq.g_01702
OG0000220	Syap.g_01645	Praq.g_01701
OG0000221	Syap.g_01646	Praq.g_01700
OG0000222	Syap.g_01669	Praq.g_01692
OG0000223	Syap.g_02072, Syap.g_02073	Praq.g_01679
OG0000224	Syap.g_02064	Praq.g_01677
OG0000225	Syap.g_00553, Syap.g_00552	Praq.g_01199
OG0000226	Syap.g_02029, Syap.g_02144	Praq.g_01195
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Praq.g_01193
OG0000228	Syap.g_00116, Syap.g_02041	Praq.g_01189
OG0000229	Syap.g_02059	Praq.g_01121
OG0000230	Syap.g_02061	Praq.g_01119
OG0000231	Syap.g_02533	Praq.g_01108
OG0000232	Syap.g_02510, Syap.g_02511	Praq.g_00507
OG0000233	Syap.g_02133	Praq.g_00513
OG0000234	Syap.g_02755	Praq.g_00527
OG0000235	Syap.g_00732, Syap.g_02258	Praq.g_00530
OG0000236	Syap.g_02238	Praq.g_00544
OG0000237	Syap.g_00262, Syap.g_00263	Praq.g_01096
OG0000238	Syap.g_00257, Syap.g_00258	Praq.g_01090
OG0000239	Syap.g_02744	Praq.g_01077
OG0000240	Syap.g_02742	Praq.g_01076
OG0000241	Syap.g_00888	Praq.g_01072
OG0000242	Syap.g_01455	Praq.g_01070
OG0000243	Syap.g_01938	Praq.g_01059
OG0000244	Syap.g_01146, Syap.g_01145	Praq.g_01056
OG0000245	Syap.g_01148	Praq.g_01054
OG0000246	Syap.g_00308	Praq.g_01050
OG0000247	Syap.g_00288, Syap.g_00293	Praq.g_01040
OG0000248	Syap.g_00290	Praq.g_01038
OG0000249	Syap.g_01296, Syap.g_01295	Praq.g_01036
OG0000250	Syap.g_01306	Praq.g_01031
OG0000251	Syap.g_00442	Praq.g_01012
OG0000252	Syap.g_01857	Praq.g_01008
OG0000253	Syap.g_00443	Praq.g_01007
OG0000254	Syap.g_01527, Syap.g_01528	Praq.g_00991
OG0000256	Syap.g_01287	Praq.g_00975
OG0000257	Syap.g_00886	Praq.g_00972
OG0000258	Syap.g_00907	Praq.g_00959
OG0000260	Syap.g_01970	Praq.g_00792
OG0000261	Syap.g_01962, Syap.g_01961	Praq.g_00794
OG0000262	Syap.g_01954	Praq.g_00798
OG0000263	Syap.g_00432, Syap.g_00433	Praq.g_00810
OG0000266	Syap.g_00519	Praq.g_00593
OG0000267	Syap.g_02333, Syap.g_02332	Praq.g_00604
OG0000268	Syap.g_00646	Praq.g_00605
OG0000269	Syap.g_00188	Praq.g_00665
OG0000270	Syap.g_00192	Praq.g_00668
OG0000271	Syap.g_00200, Syap.g_00201	Praq.g_00676
OG0000272	Syap.g_00202	Praq.g_00677
OG0000273	Syap.g_02703	Praq.g_01428
OG0000274	Syap.g_02702	Praq.g_01429
OG0000275	Syap.g_01847	Praq.g_01431
OG0000276	Syap.g_01838, Syap.g_01839	Praq.g_01436
OG0000277	Syap.g_01837	Praq.g_01437
OG0000278	Syap.g_01834	Praq.g_01440
OG0000279	Syap.g_00829, Syap.g_00830	Praq.g_01447
OG0000280	Syap.g_00365	Praq.g_01448
OG0000281	Syap.g_01977	Praq.g_01454
OG0000282	Syap.g_01252	Praq.g_01492
OG0000283	Syap.g_01728	Praq.g_01525
OG0000284	Syap.g_01736	Praq.g_01530
OG0000285	Syap.g_01746, Syap.g_01744	Praq.g_01535
OG0000286	Syap.g_02014, Syap.g_02013	Praq.g_01547
OG0000288	Syap.g_02764, Syap.g_02763	Praq.g_01592
OG0000289	Syap.g_02784	Praq.g_01603
OG0000290	Syap.g_01552	Praq.g_01616
OG0000292	Syap.g_02314	Praq.g_01667
OG0000293	Syap.g_00240	Praq.g_01324
OG0000294	Syap.g_00239	Praq.g_01325
OG0000295	Syap.g_00206	Praq.g_01345
OG0000296	Syap.g_00204	Praq.g_01347
OG0000299	Syap.g_02620	Praq.g_01373
OG0000302	Syap.g_02444, Syap.g_02445	Praq.g_01379
OG0000303	Syap.g_02435	Praq.g_01386
OG0000304	Syap.g_02430	Praq.g_01390
OG0000305	Syap.g_01557	Praq.g_00167
OG0000306	Syap.g_01966	Praq.g_00170
OG0000307	Syap.g_02517	Praq.g_00186
OG0000308	Syap.g_02514, Syap.g_02515	Praq.g_00187
OG0000309	Syap.g_02198, Syap.g_02446	Praq.g_00191
OG0000310	Syap.g_02660, Syap.g_02661	Praq.g_00279
OG0000311	Syap.g_02657	Praq.g_00281
OG0000312	Syap.g_02114	Praq.g_00284
OG0000313	Syap.g_02473	Praq.g_00298
OG0000315	Syap.g_00017	Praq.g_00331
OG0000316	Syap.g_00030	Praq.g_00351
OG0000317	Syap.g_00618	Praq.g_01954, Praq.g_00499
OG0000318	Syap.g_00622, Syap.g_02786	Praq.g_00496
OG0000319	Syap.g_01764, Syap.g_01771	Praq.g_00483
OG0000320	Syap.g_01761, Syap.g_01769	Praq.g_00481
OG0000321	Syap.g_01760, Syap.g_01768	Praq.g_00480
OG0000322	Syap.g_01759, Syap.g_01767	Praq.g_00479
OG0000323	Syap.g_01389	Praq.g_00470
OG0000324	Syap.g_01503	Praq.g_00444
OG0000325	Syap.g_02680	Praq.g_00950
OG0000326	Syap.g_00544	Praq.g_00944
OG0000327	Syap.g_01233, Syap.g_01913	Praq.g_00920
OG0000328	Syap.g_01234, Syap.g_01912	Praq.g_00919
OG0000329	Syap.g_00498	Praq.g_00902
OG0000330	Syap.g_00497	Praq.g_00901
OG0000331	Syap.g_00496	Praq.g_00900
OG0000332	Syap.g_00481	Praq.g_00886
OG0000333	Syap.g_00478	Praq.g_00884
OG0000334	Syap.g_00468	Praq.g_00876
OG0000335	Syap.g_00101, Syap.g_00463	Praq.g_00872
OG0000336	Syap.g_00417, Syap.g_00607	Praq.g_00868
OG0000337	Syap.g_01054	Praq.g_00735
OG0000338	Syap.g_01059	Praq.g_00736
OG0000339	Syap.g_01068	Praq.g_00740
OG0000340	Syap.g_01077	Praq.g_00748
OG0000341	Syap.g_01079	Praq.g_00750
OG0000342	Syap.g_01080, Syap.g_02477	Praq.g_00751
OG0000343	Syap.g_01086, Syap.g_02078	Praq.g_00752
OG0000344	Syap.g_01091	Praq.g_00755
OG0000345	Syap.g_01107, Syap.g_01470	Praq.g_00760
OG0000346	Syap.g_01113	Praq.g_00764
OG0000347	Syap.g_01131, Syap.g_02459	Praq.g_00683
OG0000348	Syap.g_00632	Praq.g_00692
OG0000349	Syap.g_00110, Syap.g_01813	Praq.g_00709
OG0000351	Syap.g_02594	Praq.g_00409
OG0000352	Syap.g_02596, Syap.g_02597	Praq.g_00410
OG0000353	Syap.g_00054	Praq.g_00425
OG0000355	Syap.g_00056	Praq.g_00427
OG0000356	Syap.g_00057	Praq.g_00428
OG0000357	Syap.g_00058	Praq.g_00429
OG0000358	Syap.g_00063	Praq.g_00433
OG0000359	Syap.g_00065	Praq.g_00434
OG0000360	Syap.g_00067	Praq.g_00435
OG0000361	Syap.g_00068	Praq.g_00436
OG0000362	Syap.g_00070	Praq.g_00438
OG0000363	Syap.g_00072	Praq.g_01217
OG0000364	Syap.g_00620	Praq.g_01218
OG0000365	Syap.g_00081	Praq.g_01223
OG0000366	Syap.g_00082	Praq.g_01224
OG0000367	Syap.g_00083	Praq.g_01225
OG0000368	Syap.g_00085	Praq.g_01227
OG0000369	Syap.g_00086	Praq.g_01228
OG0000370	Syap.g_00087	Praq.g_01229
OG0000372	Syap.g_01805	Praq.g_01239
OG0000373	Syap.g_01806	Praq.g_01240
OG0000374	Syap.g_01807	Praq.g_01241
OG0000375	Syap.g_01808	Praq.g_01255
OG0000376	Syap.g_01811	Praq.g_01257
OG0000377	Syap.g_00128	Praq.g_01261
OG0000378	Syap.g_01326	Praq.g_01263
OG0000380	Syap.g_01687	Praq.g_01937
OG0000381	Syap.g_01690	Praq.g_01933
OG0000382	Syap.g_02548	Praq.g_01922
OG0000383	Syap.g_02359	Praq.g_01920
OG0000384	Syap.g_02360	Praq.g_01919
OG0000385	Syap.g_02361	Praq.g_01918
OG0000386	Syap.g_02362	Praq.g_01917
OG0000387	Syap.g_01864	Praq.g_01904
OG0000391	Syap.g_02234	Praq.g_01887
OG0000392	Syap.g_02225	Praq.g_01883
OG0000393	Syap.g_02222	Praq.g_01881
OG0000394	Syap.g_02221	Praq.g_01880
OG0000395	Syap.g_02220	Praq.g_01879
OG0000396	Syap.g_02217	Praq.g_01876
OG0000397	Syap.g_02215	Praq.g_01874
OG0000398	Syap.g_02211	Praq.g_01872
OG0000399	Syap.g_02210	Praq.g_01871
OG0000400	Syap.g_02209	Praq.g_01870
OG0000401	Syap.g_02208	Praq.g_01869
OG0000402	Syap.g_02206	Praq.g_01867
OG0000403	Syap.g_02205	Praq.g_01866
OG0000404	Syap.g_02204, Syap.g_02618	Praq.g_01865
OG0000405	Syap.g_02191	Praq.g_01861
OG0000406	Syap.g_02186	Praq.g_01855
OG0000407	Syap.g_02185	Praq.g_01854
OG0000408	Syap.g_02181, Syap.g_02182	Praq.g_01852
OG0000409	Syap.g_02179	Praq.g_01850
OG0000410	Syap.g_02178	Praq.g_01849
OG0000411	Syap.g_02177	Praq.g_01848
OG0000412	Syap.g_02176	Praq.g_01847
OG0000413	Syap.g_02174	Praq.g_01846
OG0000414	Syap.g_02173	Praq.g_00554, Praq.g_01845
OG0000415	Syap.g_02172	Praq.g_01844
OG0000416	Syap.g_02171	Praq.g_01843
OG0000417	Syap.g_02169	Praq.g_01842
OG0000418	Syap.g_01204	Praq.g_01837
OG0000419	Syap.g_01201	Praq.g_01835
OG0000420	Syap.g_01199	Praq.g_01834
OG0000421	Syap.g_01195	Praq.g_01829
OG0000422	Syap.g_01194	Praq.g_01828
OG0000423	Syap.g_01193	Praq.g_01827
OG0000424	Syap.g_01192	Praq.g_01826
OG0000425	Syap.g_01191	Praq.g_01825
OG0000426	Syap.g_01190	Praq.g_01824
OG0000427	Syap.g_01189	Praq.g_01823
OG0000428	Syap.g_01186	Praq.g_01821
OG0000429	Syap.g_01184	Praq.g_01820
OG0000430	Syap.g_01182	Praq.g_01819
OG0000431	Syap.g_01179	Praq.g_01817
OG0000432	Syap.g_02277	Praq.g_01814
OG0000433	Syap.g_02272	Praq.g_01813
OG0000434	Syap.g_02271	Praq.g_01812
OG0000435	Syap.g_02268	Praq.g_01811
OG0000436	Syap.g_01607	Praq.g_01806
OG0000437	Syap.g_01608	Praq.g_01805
OG0000438	Syap.g_01612	Praq.g_01804
OG0000439	Syap.g_01614	Praq.g_01802
OG0000440	Syap.g_01615	Praq.g_01801
OG0000441	Syap.g_01619	Praq.g_01798
OG0000442	Syap.g_01620	Praq.g_01797
OG0000443	Syap.g_01622	Praq.g_01796
OG0000444	Syap.g_01424	Praq.g_01791
OG0000445	Syap.g_01421	Praq.g_01790
OG0000446	Syap.g_01419	Praq.g_01789
OG0000447	Syap.g_01410	Praq.g_01788
OG0000448	Syap.g_01407	Praq.g_01787
OG0000449	Syap.g_01406	Praq.g_01786
OG0000450	Syap.g_01909	Praq.g_01785
OG0000451	Syap.g_01908	Praq.g_01784
OG0000452	Syap.g_01904	Praq.g_01781
OG0000453	Syap.g_01903	Praq.g_01780
OG0000454	Syap.g_01902	Praq.g_01779
OG0000455	Syap.g_01901	Praq.g_01778
OG0000456	Syap.g_01900	Praq.g_01777
OG0000457	Syap.g_01896	Praq.g_01776
OG0000458	Syap.g_01895	Praq.g_01775
OG0000459	Syap.g_01894	Praq.g_01774
OG0000460	Syap.g_01159	Praq.g_01767
OG0000461	Syap.g_01575	Praq.g_01760
OG0000462	Syap.g_01578	Praq.g_01758
OG0000463	Syap.g_01579	Praq.g_01757
OG0000464	Syap.g_01580	Praq.g_01756
OG0000465	Syap.g_01582	Praq.g_01755
OG0000466	Syap.g_01587	Praq.g_01752
OG0000467	Syap.g_01588	Praq.g_01751
OG0000468	Syap.g_01593	Praq.g_01750
OG0000469	Syap.g_02352	Praq.g_01741
OG0000470	Syap.g_02349	Praq.g_01739
OG0000471	Syap.g_02348	Praq.g_01738
OG0000472	Syap.g_02347	Praq.g_01737
OG0000473	Syap.g_02343	Praq.g_01735
OG0000474	Syap.g_02342	Praq.g_01734
OG0000475	Syap.g_02341	Praq.g_01733
OG0000476	Syap.g_02339	Praq.g_01732
OG0000477	Syap.g_01367	Praq.g_01728
OG0000478	Syap.g_01366	Praq.g_01727
OG0000479	Syap.g_01364	Praq.g_01726
OG0000480	Syap.g_01357	Praq.g_01721
OG0000482	Syap.g_01355	Praq.g_01717
OG0000483	Syap.g_01344	Praq.g_01714
OG0000484	Syap.g_01350	Praq.g_01713
OG0000485	Syap.g_01349	Praq.g_01712
OG0000487	Syap.g_01635	Praq.g_01707
OG0000488	Syap.g_01639	Praq.g_01704
OG0000489	Syap.g_02482	Praq.g_01699
OG0000490	Syap.g_01673	Praq.g_01694
OG0000491	Syap.g_01670	Praq.g_01693
OG0000492	Syap.g_01668	Praq.g_01691
OG0000493	Syap.g_01667	Praq.g_01690
OG0000494	Syap.g_01666	Praq.g_01689
OG0000495	Syap.g_01665	Praq.g_01688
OG0000496	Syap.g_01663	Praq.g_01687
OG0000497	Syap.g_01662	Praq.g_01686
OG0000498	Syap.g_01661	Praq.g_01685
OG0000499	Syap.g_01660	Praq.g_01684
OG0000500	Syap.g_01659	Praq.g_01683
OG0000501	Syap.g_01656	Praq.g_01681
OG0000502	Syap.g_02066	Praq.g_01678
OG0000503	Syap.g_00569	Praq.g_01211
OG0000504	Syap.g_00567	Praq.g_01210
OG0000505	Syap.g_00566	Praq.g_01209
OG0000506	Syap.g_00564	Praq.g_01207
OG0000507	Syap.g_00558	Praq.g_01204
OG0000508	Syap.g_00554	Praq.g_01200
OG0000509	Syap.g_00551	Praq.g_01198
OG0000510	Syap.g_00550	Praq.g_01197
OG0000511	Syap.g_00548	Praq.g_01196
OG0000512	Syap.g_02145	Praq.g_01194
OG0000513	Syap.g_02048	Praq.g_01186
OG0000514	Syap.g_02051	Praq.g_01126
OG0000515	Syap.g_02052	Praq.g_01125
OG0000516	Syap.g_02054	Praq.g_01124
OG0000517	Syap.g_02057	Praq.g_01122
OG0000519	Syap.g_00457	Praq.g_01110
OG0000520	Syap.g_00456	Praq.g_01109
OG0000521	Syap.g_01997	Praq.g_00502
OG0000522	Syap.g_01995	Praq.g_00504
OG0000523	Syap.g_02507	Praq.g_00505
OG0000524	Syap.g_02135	Praq.g_00511
OG0000525	Syap.g_02159	Praq.g_00514
OG0000526	Syap.g_02157	Praq.g_00515
OG0000527	Syap.g_02758	Praq.g_00524
OG0000528	Syap.g_02261	Praq.g_00529
OG0000529	Syap.g_02254	Praq.g_00532
OG0000530	Syap.g_02252	Praq.g_00535
OG0000531	Syap.g_02251	Praq.g_00536
OG0000532	Syap.g_02247	Praq.g_00538
OG0000533	Syap.g_02244	Praq.g_00539
OG0000534	Syap.g_02243	Praq.g_00540
OG0000535	Syap.g_02242	Praq.g_00541
OG0000536	Syap.g_02241	Praq.g_00542
OG0000537	Syap.g_02240	Praq.g_00543
OG0000538	Syap.g_00271	Praq.g_01102
OG0000539	Syap.g_00270	Praq.g_01101
OG0000540	Syap.g_00269	Praq.g_01100
OG0000541	Syap.g_00268	Praq.g_01099
OG0000542	Syap.g_00264	Praq.g_01097
OG0000543	Syap.g_00261	Praq.g_01095
OG0000544	Syap.g_00260	Praq.g_01094
OG0000545	Syap.g_00259	Praq.g_01092
OG0000546	Syap.g_00256	Praq.g_01089
OG0000547	Syap.g_00254	Praq.g_01087
OG0000548	Syap.g_00253	Praq.g_01086
OG0000549	Syap.g_00758	Praq.g_01084
OG0000550	Syap.g_02747	Praq.g_01079
OG0000551	Syap.g_02739	Praq.g_01075
OG0000552	Syap.g_02738	Praq.g_01074
OG0000553	Syap.g_02735	Praq.g_01073
OG0000554	Syap.g_01450	Praq.g_01068
OG0000555	Syap.g_01941	Praq.g_01060
OG0000556	Syap.g_01933	Praq.g_01058
OG0000557	Syap.g_01931	Praq.g_01057
OG0000558	Syap.g_01147	Praq.g_01055
OG0000560	Syap.g_00305	Praq.g_01048
OG0000561	Syap.g_00304	Praq.g_01047
OG0000562	Syap.g_00302	Praq.g_01046
OG0000563	Syap.g_00301	Praq.g_01045
OG0000564	Syap.g_00300	Praq.g_01044
OG0000565	Syap.g_00296	Praq.g_01041
OG0000566	Syap.g_00291	Praq.g_01039
OG0000567	Syap.g_01297	Praq.g_01035
OG0000568	Syap.g_01302	Praq.g_01034
OG0000569	Syap.g_01303	Praq.g_01033
OG0000570	Syap.g_01304	Praq.g_01032
OG0000571	Syap.g_01307	Praq.g_01030
OG0000573	Syap.g_00765	Praq.g_01010
OG0000574	Syap.g_00759	Praq.g_01009
OG0000575	Syap.g_00445	Praq.g_01005
OG0000576	Syap.g_00450	Praq.g_01003
OG0000577	Syap.g_00451	Praq.g_01002
OG0000578	Syap.g_00452	Praq.g_01001
OG0000579	Syap.g_00453	Praq.g_01000
OG0000580	Syap.g_00454	Praq.g_00999
OG0000581	Syap.g_01521	Praq.g_00997
OG0000582	Syap.g_01533	Praq.g_00994
OG0000583	Syap.g_01532	Praq.g_00993
OG0000584	Syap.g_01530	Praq.g_00992
OG0000585	Syap.g_01526	Praq.g_00990
OG0000586	Syap.g_01525	Praq.g_00989
OG0000587	Syap.g_01523	Praq.g_00988
OG0000588	Syap.g_00776	Praq.g_00984
OG0000589	Syap.g_00941	Praq.g_00981
OG0000590	Syap.g_00940	Praq.g_00980
OG0000591	Syap.g_01289	Praq.g_00977
OG0000592	Syap.g_01288	Praq.g_00976
OG0000593	Syap.g_00890	Praq.g_00970
OG0000594	Syap.g_00891	Praq.g_00969
OG0000595	Syap.g_00892	Praq.g_00968
OG0000596	Syap.g_00898	Praq.g_00964
OG0000597	Syap.g_00903	Praq.g_00962
OG0000598	Syap.g_00904	Praq.g_00961
OG0000599	Syap.g_00908	Praq.g_00958
OG0000600	Syap.g_00909	Praq.g_00957
OG0000601	Syap.g_00910	Praq.g_00775
OG0000602	Syap.g_00640	Praq.g_00777
OG0000603	Syap.g_00641	Praq.g_00778
OG0000604	Syap.g_02769	Praq.g_00779
OG0000605	Syap.g_02501, Syap.g_02771	Praq.g_00780
OG0000606	Syap.g_02506	Praq.g_00783
