Orthogroup	Syap	Prbd
OG0000066	Syap.g_01972	Prbd.g_00703
OG0000067	Syap.g_00194	Prbd.g_00102
OG0000068	Syap.g_00108, Syap.g_00144	Prbd.g_01764
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prbd.g_00792
OG0000072	Syap.g_00555	Prbd.g_01069
OG0000073	Syap.g_00273, Syap.g_01020	Prbd.g_00743
OG0000075	Syap.g_01064, Syap.g_00664	Prbd.g_01359
OG0000076	Syap.g_01111	Prbd.g_01335
OG0000079	Syap.g_01589	Prbd.g_00987
OG0000080	Syap.g_01003	Prbd.g_01731
OG0000085	Syap.g_00611	Prbd.g_01532
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prbd.g_01104, Prbd.g_01103
OG0000088	Syap.g_01202	Prbd.g_01074
OG0000089	Syap.g_00115, Syap.g_02042	Prbd.g_00883
OG0000090	Syap.g_01451	Prbd.g_00709
OG0000091	Syap.g_01861	Prbd.g_00602
OG0000094	Syap.g_02781	Prbd.g_00321
OG0000095	Syap.g_01556	Prbd.g_00340
OG0000098	Syap.g_01975	Prbd.g_01782
OG0000099	Syap.g_01385	Prbd.g_01734
OG0000101	Syap.g_00472	Prbd.g_01391
OG0000102	Syap.g_01116	Prbd.g_01330
OG0000103	Syap.g_02607, Syap.g_02608	Prbd.g_01250
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prbd.g_01241
OG0000105	Syap.g_01369, Syap.g_01368	Prbd.g_00965
OG0000107	Syap.g_02496	Prbd.g_00852
OG0000108	Syap.g_00733, Syap.g_02255	Prbd.g_00762
OG0000109	Syap.g_00279, Syap.g_02237	Prbd.g_00748
OG0000110	Syap.g_01313	Prbd.g_00668
OG0000111	Syap.g_01566, Syap.g_01568	Prbd.g_00545
OG0000112	Syap.g_02023	Prbd.g_00066
OG0000113	Syap.g_02714	Prbd.g_00124
OG0000114	Syap.g_01255	Prbd.g_00206
OG0000115	Syap.g_02004	Prbd.g_00401
OG0000116	Syap.g_00241	Prbd.g_00458
OG0000117	Syap.g_01889	Prbd.g_01895
OG0000118	Syap.g_02286	Prbd.g_01789
OG0000120	Syap.g_02075	Prbd.g_01737
OG0000121	Syap.g_02471	Prbd.g_01687
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prbd.g_01384
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prbd.g_01318
OG0000125	Syap.g_01046, Syap.g_01047	Prbd.g_01281
OG0000126	Syap.g_02317, Syap.g_02576, Syap.g_02316	Prbd.g_01242
OG0000128	Syap.g_00069	Prbd.g_01226
OG0000129	Syap.g_00130, Syap.g_00129	Prbd.g_01194
OG0000130	Syap.g_01688, Syap.g_01689	Prbd.g_01175
OG0000131	Syap.g_02189	Prbd.g_01095
OG0000132	Syap.g_01205	Prbd.g_01076
OG0000133	Syap.g_02017	Prbd.g_00917
OG0000134	Syap.g_02047	Prbd.g_00882
OG0000135	Syap.g_02090	Prbd.g_00855
OG0000136	Syap.g_00089	Prbd.g_01722, Prbd.g_00801
OG0000137	Syap.g_02756	Prbd.g_00767
OG0000138	Syap.g_00278	Prbd.g_00747
OG0000139	Syap.g_00410	Prbd.g_00705
OG0000140	Syap.g_01976	Prbd.g_00704
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prbd.g_00637
OG0000142	Syap.g_00895, Syap.g_00894	Prbd.g_00609
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prbd.g_00605
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prbd.g_00592
OG0000145	Syap.g_01860, Syap.g_01859	Prbd.g_00062
OG0000146	Syap.g_02024	Prbd.g_00067
OG0000147	Syap.g_02025	Prbd.g_00068
OG0000148	Syap.g_02720	Prbd.g_00118
OG0000149	Syap.g_00824	Prbd.g_00149
OG0000150	Syap.g_01540	Prbd.g_00157
OG0000151	Syap.g_00142	Prbd.g_00216
OG0000152	Syap.g_02012	Prbd.g_00264
OG0000153	Syap.g_02682	Prbd.g_00283
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prbd.g_00314
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prbd.g_00488
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prbd.g_01812
OG0000157	Syap.g_00249, Syap.g_00286	Prbd.g_01811
OG0000158	Syap.g_01075	Prbd.g_01736
OG0000159	Syap.g_00852	Prbd.g_01735
OG0000160	Syap.g_02470, Syap.g_02469	Prbd.g_01688
OG0000161	Syap.g_02476	Prbd.g_01682
OG0000162	Syap.g_02531	Prbd.g_01676
OG0000164	Syap.g_01391, Syap.g_01392	Prbd.g_01501
OG0000165	Syap.g_01381, Syap.g_01382	Prbd.g_01494
OG0000166	Syap.g_00512, Syap.g_01238	Prbd.g_01427
OG0000167	Syap.g_02080	Prbd.g_01361
OG0000168	Syap.g_01076	Prbd.g_01351
OG0000169	Syap.g_01049, Syap.g_01093	Prbd.g_01341
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prbd.g_01339
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prbd.g_01319
OG0000172	Syap.g_01143, Syap.g_00635	Prbd.g_01310
OG0000173	Syap.g_00982, Syap.g_00983	Prbd.g_01295
OG0000174	Syap.g_02092	Prbd.g_01268
OG0000175	Syap.g_02654	Prbd.g_01258
OG0000176	Syap.g_00059	Prbd.g_01233
OG0000177	Syap.g_00061, Syap.g_00060	Prbd.g_01232
OG0000178	Syap.g_00062	Prbd.g_01231
OG0000179	Syap.g_00077, Syap.g_02638	Prbd.g_01221
OG0000180	Syap.g_00078, Syap.g_02640	Prbd.g_01220
OG0000181	Syap.g_00079, Syap.g_02641	Prbd.g_01219
OG0000182	Syap.g_00080, Syap.g_02642	Prbd.g_01218
OG0000183	Syap.g_00084	Prbd.g_01214
OG0000184	Syap.g_01337	Prbd.g_01191
OG0000185	Syap.g_01322	Prbd.g_01188
OG0000186	Syap.g_01684	Prbd.g_01180
OG0000187	Syap.g_01686	Prbd.g_01179
OG0000188	Syap.g_02547	Prbd.g_01162
OG0000191	Syap.g_02233	Prbd.g_01126
OG0000192	Syap.g_02224	Prbd.g_01122
OG0000193	Syap.g_02187, Syap.g_02188	Prbd.g_01094
OG0000194	Syap.g_02183	Prbd.g_01091
OG0000195	Syap.g_02180	Prbd.g_01089
OG0000196	Syap.g_01208, Syap.g_02167	Prbd.g_01079
OG0000197	Syap.g_01207, Syap.g_02166	Prbd.g_01078
OG0000198	Syap.g_01206	Prbd.g_01077
OG0000199	Syap.g_01197	Prbd.g_01070
OG0000200	Syap.g_01181	Prbd.g_01056
OG0000201	Syap.g_02265	Prbd.g_01048
OG0000202	Syap.g_02264	Prbd.g_01047
OG0000203	Syap.g_01601	Prbd.g_01046
OG0000204	Syap.g_01602	Prbd.g_01045
OG0000205	Syap.g_01616	Prbd.g_01038
OG0000206	Syap.g_01628	Prbd.g_01033
OG0000207	Syap.g_01426, Syap.g_00424	Prbd.g_01031
OG0000208	Syap.g_00426, Syap.g_01425	Prbd.g_01030
OG0000209	Syap.g_01906	Prbd.g_01021
OG0000210	Syap.g_01905	Prbd.g_01020
OG0000211	Syap.g_01160	Prbd.g_01006
OG0000212	Syap.g_02664	Prbd.g_00999
OG0000213	Syap.g_00107, Syap.g_01599	Prbd.g_00982
OG0000214	Syap.g_02344, Syap.g_02345	Prbd.g_00972
OG0000215	Syap.g_01347, Syap.g_01629	Prbd.g_00947
OG0000216	Syap.g_01634	Prbd.g_00945
OG0000217	Syap.g_01638	Prbd.g_00942
OG0000218	Syap.g_01641, Syap.g_01640	Prbd.g_00940
OG0000219	Syap.g_01642, Syap.g_01643	Prbd.g_00939
OG0000220	Syap.g_01645	Prbd.g_00938
OG0000221	Syap.g_01646	Prbd.g_00937
OG0000222	Syap.g_01669	Prbd.g_00929
OG0000223	Syap.g_02072, Syap.g_02073	Prbd.g_00916
OG0000224	Syap.g_02064	Prbd.g_00914
OG0000225	Syap.g_00553, Syap.g_00552	Prbd.g_00893
OG0000226	Syap.g_02029, Syap.g_02144	Prbd.g_00889
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Prbd.g_00887
OG0000228	Syap.g_00116, Syap.g_02041	Prbd.g_00884
OG0000229	Syap.g_02059	Prbd.g_00806
OG0000230	Syap.g_02061	Prbd.g_00804
OG0000231	Syap.g_02533	Prbd.g_00793
OG0000232	Syap.g_02510, Syap.g_02511	Prbd.g_00784
OG0000233	Syap.g_02133	Prbd.g_00779
OG0000234	Syap.g_02755	Prbd.g_00766
OG0000235	Syap.g_00732, Syap.g_02258	Prbd.g_00763
OG0000236	Syap.g_02238	Prbd.g_00749
OG0000237	Syap.g_00262, Syap.g_00263	Prbd.g_00736
OG0000238	Syap.g_00257, Syap.g_00258	Prbd.g_00730
OG0000239	Syap.g_02744	Prbd.g_00717
OG0000240	Syap.g_02742	Prbd.g_00716
OG0000241	Syap.g_00888	Prbd.g_00712
OG0000242	Syap.g_01455	Prbd.g_00710
OG0000243	Syap.g_01938	Prbd.g_00699
OG0000244	Syap.g_01146, Syap.g_01145	Prbd.g_00696
OG0000245	Syap.g_01148	Prbd.g_00694
OG0000246	Syap.g_00308	Prbd.g_00690
OG0000247	Syap.g_00288, Syap.g_00293	Prbd.g_00680
OG0000248	Syap.g_00290	Prbd.g_00678
OG0000249	Syap.g_01296, Syap.g_01295	Prbd.g_00676
OG0000250	Syap.g_01306	Prbd.g_00671
OG0000251	Syap.g_00442	Prbd.g_00653
OG0000252	Syap.g_01857	Prbd.g_00650
OG0000253	Syap.g_00443	Prbd.g_00649
OG0000254	Syap.g_01527, Syap.g_01528	Prbd.g_00633
OG0000256	Syap.g_01287	Prbd.g_00617
OG0000257	Syap.g_00886	Prbd.g_00614
OG0000258	Syap.g_00907	Prbd.g_00601
OG0000260	Syap.g_01970	Prbd.g_00581
OG0000261	Syap.g_01962, Syap.g_01961	Prbd.g_00579
OG0000262	Syap.g_01954	Prbd.g_00575
OG0000263	Syap.g_00432, Syap.g_00433	Prbd.g_00563
OG0000266	Syap.g_00519	Prbd.g_00017
OG0000267	Syap.g_02333, Syap.g_02332	Prbd.g_00028
OG0000268	Syap.g_00646	Prbd.g_00029
OG0000269	Syap.g_00188	Prbd.g_00097
OG0000270	Syap.g_00192	Prbd.g_00100
OG0000271	Syap.g_00200, Syap.g_00201	Prbd.g_00108
OG0000272	Syap.g_00202	Prbd.g_00109
OG0000273	Syap.g_02703	Prbd.g_00132
OG0000274	Syap.g_02702	Prbd.g_00133
OG0000275	Syap.g_01847	Prbd.g_00136
OG0000276	Syap.g_01838, Syap.g_01839	Prbd.g_00141
OG0000277	Syap.g_01837	Prbd.g_00142
OG0000278	Syap.g_01834	Prbd.g_00145
OG0000279	Syap.g_00829, Syap.g_00830	Prbd.g_00152
OG0000280	Syap.g_00365	Prbd.g_00153
OG0000281	Syap.g_01977	Prbd.g_00158
OG0000282	Syap.g_01252	Prbd.g_00208
OG0000283	Syap.g_01728	Prbd.g_00241
OG0000284	Syap.g_01736	Prbd.g_00246
OG0000285	Syap.g_01746, Syap.g_01744	Prbd.g_00251
OG0000286	Syap.g_02014, Syap.g_02013	Prbd.g_00263
OG0000288	Syap.g_02764, Syap.g_02763	Prbd.g_00313
OG0000289	Syap.g_02784	Prbd.g_00324
OG0000290	Syap.g_01552	Prbd.g_00337
OG0000292	Syap.g_02314	Prbd.g_00389
OG0000293	Syap.g_00240	Prbd.g_00459
OG0000294	Syap.g_00239	Prbd.g_00460
OG0000295	Syap.g_00206	Prbd.g_00480
OG0000296	Syap.g_00204	Prbd.g_00482
OG0000299	Syap.g_02620	Prbd.g_00508
OG0000302	Syap.g_02444, Syap.g_02445	Prbd.g_00514
OG0000303	Syap.g_02435	Prbd.g_00521
OG0000304	Syap.g_02430	Prbd.g_00525
OG0000305	Syap.g_01557	Prbd.g_01772
OG0000306	Syap.g_01966	Prbd.g_01769
OG0000307	Syap.g_02517	Prbd.g_01755
OG0000308	Syap.g_02514, Syap.g_02515	Prbd.g_01754
OG0000309	Syap.g_02198, Syap.g_02446	Prbd.g_01750
OG0000310	Syap.g_02660, Syap.g_02661	Prbd.g_01704
OG0000311	Syap.g_02657	Prbd.g_01702
OG0000312	Syap.g_02114	Prbd.g_01699
OG0000313	Syap.g_02473	Prbd.g_01685
OG0000315	Syap.g_00017	Prbd.g_01652
OG0000316	Syap.g_00030	Prbd.g_01632
OG0000317	Syap.g_00618	Prbd.g_01527
OG0000318	Syap.g_00622, Syap.g_02786	Prbd.g_01524
OG0000319	Syap.g_01764, Syap.g_01771	Prbd.g_01511
OG0000320	Syap.g_01761, Syap.g_01769	Prbd.g_01509
OG0000321	Syap.g_01760, Syap.g_01768	Prbd.g_01508
OG0000322	Syap.g_01759, Syap.g_01767	Prbd.g_01507
OG0000323	Syap.g_01389	Prbd.g_01498
OG0000324	Syap.g_01503	Prbd.g_01471
OG0000325	Syap.g_02680	Prbd.g_01462
OG0000326	Syap.g_00544	Prbd.g_01456
OG0000327	Syap.g_01233, Syap.g_01913	Prbd.g_01432
OG0000328	Syap.g_01234, Syap.g_01912	Prbd.g_01431
OG0000329	Syap.g_00498	Prbd.g_01414
OG0000330	Syap.g_00497	Prbd.g_01413
OG0000331	Syap.g_00496	Prbd.g_01412
OG0000332	Syap.g_00481	Prbd.g_01398
OG0000333	Syap.g_00478	Prbd.g_01396
OG0000334	Syap.g_00468	Prbd.g_01388
OG0000335	Syap.g_00101, Syap.g_00463	Prbd.g_01383
OG0000336	Syap.g_00417, Syap.g_00607	Prbd.g_01379
OG0000337	Syap.g_01054	Prbd.g_01363
OG0000338	Syap.g_01059	Prbd.g_01362
OG0000339	Syap.g_01068	Prbd.g_01358
OG0000340	Syap.g_01077	Prbd.g_01350
OG0000341	Syap.g_01079	Prbd.g_01348
OG0000342	Syap.g_01080, Syap.g_02477	Prbd.g_01347
OG0000343	Syap.g_01086, Syap.g_02078	Prbd.g_01346
OG0000344	Syap.g_01091	Prbd.g_01343
OG0000345	Syap.g_01107, Syap.g_01470	Prbd.g_01338
OG0000346	Syap.g_01113	Prbd.g_01334
OG0000347	Syap.g_01131, Syap.g_02459	Prbd.g_01317
OG0000348	Syap.g_00632	Prbd.g_01307
OG0000349	Syap.g_00110, Syap.g_01813	Prbd.g_01290
OG0000351	Syap.g_02594	Prbd.g_01255
OG0000352	Syap.g_02596, Syap.g_02597	Prbd.g_01254
OG0000353	Syap.g_00054	Prbd.g_01238
OG0000355	Syap.g_00056	Prbd.g_01236
OG0000356	Syap.g_00057	Prbd.g_01235
OG0000357	Syap.g_00058	Prbd.g_01234
OG0000358	Syap.g_00063	Prbd.g_01230
OG0000359	Syap.g_00065	Prbd.g_01229
OG0000360	Syap.g_00067	Prbd.g_01228
OG0000361	Syap.g_00068	Prbd.g_01227
OG0000362	Syap.g_00070	Prbd.g_01225
OG0000363	Syap.g_00072	Prbd.g_01223
OG0000364	Syap.g_00620	Prbd.g_01222
OG0000365	Syap.g_00081	Prbd.g_01217
OG0000366	Syap.g_00082	Prbd.g_01216
OG0000367	Syap.g_00083	Prbd.g_01215
OG0000368	Syap.g_00085	Prbd.g_01213
OG0000369	Syap.g_00086	Prbd.g_01212
OG0000370	Syap.g_00087	Prbd.g_01211
OG0000372	Syap.g_01805	Prbd.g_01202
OG0000373	Syap.g_01806	Prbd.g_01201
OG0000374	Syap.g_01807	Prbd.g_01200
OG0000375	Syap.g_01808	Prbd.g_01198
OG0000376	Syap.g_01811	Prbd.g_01196
OG0000377	Syap.g_00128	Prbd.g_01192
OG0000378	Syap.g_01326	Prbd.g_01190
OG0000380	Syap.g_01687	Prbd.g_01178
OG0000381	Syap.g_01690	Prbd.g_01174
OG0000382	Syap.g_02548	Prbd.g_01163
OG0000383	Syap.g_02359	Prbd.g_01161
OG0000384	Syap.g_02360	Prbd.g_01160
OG0000385	Syap.g_02361	Prbd.g_01159
OG0000386	Syap.g_02362	Prbd.g_01158
OG0000387	Syap.g_01864	Prbd.g_01145
OG0000391	Syap.g_02234	Prbd.g_01127
OG0000392	Syap.g_02225	Prbd.g_01123
OG0000393	Syap.g_02222	Prbd.g_01121
OG0000394	Syap.g_02221	Prbd.g_01120
OG0000395	Syap.g_02220	Prbd.g_01119
OG0000396	Syap.g_02217	Prbd.g_01116
OG0000397	Syap.g_02215	Prbd.g_01114
OG0000398	Syap.g_02211	Prbd.g_01112
OG0000399	Syap.g_02210	Prbd.g_01111
OG0000400	Syap.g_02209	Prbd.g_01110
OG0000401	Syap.g_02208	Prbd.g_01109
OG0000402	Syap.g_02206	Prbd.g_01107
OG0000403	Syap.g_02205	Prbd.g_01106
OG0000404	Syap.g_02204, Syap.g_02618	Prbd.g_01105
OG0000405	Syap.g_02191	Prbd.g_01100
OG0000406	Syap.g_02186	Prbd.g_01093
OG0000407	Syap.g_02185	Prbd.g_01092
OG0000408	Syap.g_02181, Syap.g_02182	Prbd.g_01090
OG0000409	Syap.g_02179	Prbd.g_01088
OG0000410	Syap.g_02178	Prbd.g_01087
OG0000411	Syap.g_02177	Prbd.g_01086
OG0000412	Syap.g_02176	Prbd.g_01085
OG0000413	Syap.g_02174	Prbd.g_01084
OG0000414	Syap.g_02173	Prbd.g_01083
OG0000415	Syap.g_02172	Prbd.g_01082
OG0000416	Syap.g_02171	Prbd.g_01081
OG0000417	Syap.g_02169	Prbd.g_01080
OG0000418	Syap.g_01204	Prbd.g_01075
OG0000419	Syap.g_01201	Prbd.g_01073
OG0000420	Syap.g_01199	Prbd.g_01072
OG0000421	Syap.g_01195	Prbd.g_01067
OG0000422	Syap.g_01194	Prbd.g_01066
OG0000423	Syap.g_01193	Prbd.g_01065
OG0000424	Syap.g_01192	Prbd.g_01064
OG0000425	Syap.g_01191	Prbd.g_01063
OG0000426	Syap.g_01190	Prbd.g_01062
OG0000427	Syap.g_01189	Prbd.g_01061
OG0000428	Syap.g_01186	Prbd.g_01059
OG0000429	Syap.g_01184	Prbd.g_01058
OG0000430	Syap.g_01182	Prbd.g_01057
OG0000431	Syap.g_01179	Prbd.g_01055
OG0000432	Syap.g_02277	Prbd.g_01052
OG0000433	Syap.g_02272	Prbd.g_01051
OG0000434	Syap.g_02271	Prbd.g_01050
OG0000435	Syap.g_02268	Prbd.g_01049
OG0000436	Syap.g_01607	Prbd.g_01044
OG0000437	Syap.g_01608	Prbd.g_01043
OG0000438	Syap.g_01612	Prbd.g_01042
OG0000439	Syap.g_01614	Prbd.g_01040
OG0000440	Syap.g_01615	Prbd.g_01039
OG0000441	Syap.g_01619	Prbd.g_01036
OG0000442	Syap.g_01620	Prbd.g_01035
OG0000443	Syap.g_01622	Prbd.g_01034
OG0000444	Syap.g_01424	Prbd.g_01029
OG0000445	Syap.g_01421	Prbd.g_01028
OG0000446	Syap.g_01419	Prbd.g_01027
OG0000447	Syap.g_01410	Prbd.g_01026
OG0000448	Syap.g_01407	Prbd.g_01025
OG0000449	Syap.g_01406	Prbd.g_01024
OG0000450	Syap.g_01909	Prbd.g_01023
OG0000451	Syap.g_01908	Prbd.g_01022
OG0000452	Syap.g_01904	Prbd.g_01019
OG0000453	Syap.g_01903	Prbd.g_01018
OG0000454	Syap.g_01902	Prbd.g_01017
OG0000455	Syap.g_01901	Prbd.g_01016
OG0000456	Syap.g_01900	Prbd.g_01015
OG0000457	Syap.g_01896	Prbd.g_01013
OG0000458	Syap.g_01895	Prbd.g_01012
OG0000459	Syap.g_01894	Prbd.g_01011
OG0000460	Syap.g_01159	Prbd.g_01004
OG0000461	Syap.g_01575	Prbd.g_00997
OG0000462	Syap.g_01578	Prbd.g_00995
OG0000463	Syap.g_01579	Prbd.g_00994
OG0000464	Syap.g_01580	Prbd.g_00993
OG0000465	Syap.g_01582	Prbd.g_00992
OG0000466	Syap.g_01587	Prbd.g_00989
OG0000467	Syap.g_01588	Prbd.g_00988
OG0000468	Syap.g_01593	Prbd.g_00986
OG0000469	Syap.g_02352	Prbd.g_00977
OG0000470	Syap.g_02349	Prbd.g_00975
OG0000471	Syap.g_02348	Prbd.g_00974
OG0000472	Syap.g_02347	Prbd.g_00973
OG0000473	Syap.g_02343	Prbd.g_00971
OG0000474	Syap.g_02342	Prbd.g_00970
OG0000475	Syap.g_02341	Prbd.g_00969
OG0000476	Syap.g_02339	Prbd.g_00968
OG0000477	Syap.g_01367	Prbd.g_00964
OG0000478	Syap.g_01366	Prbd.g_00963
OG0000479	Syap.g_01364	Prbd.g_00962
OG0000480	Syap.g_01357	Prbd.g_00957
OG0000482	Syap.g_01355	Prbd.g_00954
OG0000483	Syap.g_01344	Prbd.g_00951
OG0000484	Syap.g_01350	Prbd.g_00950
OG0000485	Syap.g_01349	Prbd.g_00949
OG0000487	Syap.g_01635	Prbd.g_00944
OG0000488	Syap.g_01639	Prbd.g_00941
OG0000489	Syap.g_02482	Prbd.g_00936
OG0000490	Syap.g_01673	Prbd.g_00931
OG0000491	Syap.g_01670	Prbd.g_00930
OG0000492	Syap.g_01668	Prbd.g_00928
OG0000493	Syap.g_01667	Prbd.g_00927
OG0000494	Syap.g_01666	Prbd.g_00926
OG0000495	Syap.g_01665	Prbd.g_00925
OG0000496	Syap.g_01663	Prbd.g_00924
OG0000497	Syap.g_01662	Prbd.g_00923
OG0000498	Syap.g_01661	Prbd.g_00922
OG0000499	Syap.g_01660	Prbd.g_00921
OG0000500	Syap.g_01659	Prbd.g_00920
OG0000501	Syap.g_01656	Prbd.g_00918
OG0000502	Syap.g_02066	Prbd.g_00915
OG0000503	Syap.g_00569	Prbd.g_00905
OG0000504	Syap.g_00567	Prbd.g_00904
OG0000505	Syap.g_00566	Prbd.g_00903
OG0000506	Syap.g_00564	Prbd.g_00901
OG0000507	Syap.g_00558	Prbd.g_00898
OG0000508	Syap.g_00554	Prbd.g_00894
OG0000509	Syap.g_00551	Prbd.g_00892
OG0000510	Syap.g_00550	Prbd.g_00891
OG0000511	Syap.g_00548	Prbd.g_00890
OG0000512	Syap.g_02145	Prbd.g_00888
OG0000513	Syap.g_02048	Prbd.g_00881
OG0000514	Syap.g_02051	Prbd.g_00811
OG0000515	Syap.g_02052	Prbd.g_00810
OG0000516	Syap.g_02054	Prbd.g_00809
OG0000517	Syap.g_02057	Prbd.g_00807
OG0000519	Syap.g_00457	Prbd.g_00795
OG0000520	Syap.g_00456	Prbd.g_00794
OG0000521	Syap.g_01997	Prbd.g_00789
OG0000522	Syap.g_01995	Prbd.g_00787
OG0000523	Syap.g_02507	Prbd.g_00786
OG0000524	Syap.g_02135	Prbd.g_00781
OG0000525	Syap.g_02159	Prbd.g_00778
OG0000526	Syap.g_02157	Prbd.g_00777
OG0000527	Syap.g_02758	Prbd.g_00769
OG0000528	Syap.g_02261	Prbd.g_00764
OG0000529	Syap.g_02254	Prbd.g_00761
OG0000530	Syap.g_02252	Prbd.g_00758
OG0000531	Syap.g_02251	Prbd.g_00757
OG0000532	Syap.g_02247	Prbd.g_00755
OG0000533	Syap.g_02244	Prbd.g_00754
OG0000534	Syap.g_02243	Prbd.g_00753
OG0000535	Syap.g_02242	Prbd.g_00752
OG0000536	Syap.g_02241	Prbd.g_00751
OG0000537	Syap.g_02240	Prbd.g_00750
OG0000538	Syap.g_00271	Prbd.g_00742
OG0000539	Syap.g_00270	Prbd.g_00741
OG0000540	Syap.g_00269	Prbd.g_00740
OG0000541	Syap.g_00268	Prbd.g_00739
OG0000542	Syap.g_00264	Prbd.g_00737
OG0000543	Syap.g_00261	Prbd.g_00735
OG0000544	Syap.g_00260	Prbd.g_00734
OG0000545	Syap.g_00259	Prbd.g_00732
OG0000546	Syap.g_00256	Prbd.g_00729
OG0000547	Syap.g_00254	Prbd.g_00727
OG0000548	Syap.g_00253	Prbd.g_00726
OG0000549	Syap.g_00758	Prbd.g_00724
OG0000550	Syap.g_02747	Prbd.g_00719
OG0000551	Syap.g_02739	Prbd.g_00715
OG0000552	Syap.g_02738	Prbd.g_00714
OG0000553	Syap.g_02735	Prbd.g_00713
OG0000554	Syap.g_01450	Prbd.g_00708
OG0000555	Syap.g_01941	Prbd.g_00700
OG0000556	Syap.g_01933	Prbd.g_00698
OG0000557	Syap.g_01931	Prbd.g_00697
OG0000558	Syap.g_01147	Prbd.g_00695
OG0000560	Syap.g_00305	Prbd.g_00688
OG0000561	Syap.g_00304	Prbd.g_00687
OG0000562	Syap.g_00302	Prbd.g_00686
OG0000563	Syap.g_00301	Prbd.g_00685
OG0000564	Syap.g_00300	Prbd.g_00684
OG0000565	Syap.g_00296	Prbd.g_00681
OG0000566	Syap.g_00291	Prbd.g_00679
OG0000567	Syap.g_01297	Prbd.g_00675
OG0000568	Syap.g_01302	Prbd.g_00674
OG0000569	Syap.g_01303	Prbd.g_00673
OG0000570	Syap.g_01304	Prbd.g_00672
OG0000571	Syap.g_01307	Prbd.g_00670
OG0000573	Syap.g_00765	Prbd.g_00652
OG0000574	Syap.g_00759	Prbd.g_00651
OG0000575	Syap.g_00445	Prbd.g_00647
OG0000576	Syap.g_00450	Prbd.g_00645
OG0000577	Syap.g_00451	Prbd.g_00644
OG0000578	Syap.g_00452	Prbd.g_00643
OG0000579	Syap.g_00453	Prbd.g_00642
OG0000580	Syap.g_00454	Prbd.g_00641
OG0000581	Syap.g_01521	Prbd.g_00639
OG0000582	Syap.g_01533	Prbd.g_00636
OG0000583	Syap.g_01532	Prbd.g_00635
