Orthogroup	Syap	Prbn
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prbn.g_00444
OG0000145	Syap.g_01860, Syap.g_01859	Prbn.g_01100
OG0000146	Syap.g_02024	Prbn.g_00469
OG0000147	Syap.g_02025	Prbn.g_00470
OG0000148	Syap.g_02720	Prbn.g_01529
OG0000149	Syap.g_00824	Prbn.g_01497
OG0000150	Syap.g_01540	Prbn.g_01487
OG0000151	Syap.g_00142	Prbn.g_01611
OG0000152	Syap.g_02012	Prbn.g_01418
OG0000153	Syap.g_02682	Prbn.g_01399
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prbn.g_01379
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prbn.g_01210
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prbn.g_01095
OG0000157	Syap.g_00249, Syap.g_00286	Prbn.g_01094
OG0000158	Syap.g_01075	Prbn.g_01014
OG0000159	Syap.g_00852	Prbn.g_00717
OG0000160	Syap.g_02470, Syap.g_02469	Prbn.g_00213
OG0000161	Syap.g_02476	Prbn.g_00219
OG0000162	Syap.g_02531	Prbn.g_00225
OG0000164	Syap.g_01391, Syap.g_01392	Prbn.g_01770
OG0000165	Syap.g_01381, Syap.g_01382	Prbn.g_01777
OG0000166	Syap.g_00512, Syap.g_01238	Prbn.g_01844
OG0000167	Syap.g_02080	Prbn.g_01915
OG0000168	Syap.g_01076	Prbn.g_01013
OG0000169	Syap.g_01049, Syap.g_01093	Prbn.g_01003
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prbn.g_01000
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prbn.g_00980
OG0000172	Syap.g_01143, Syap.g_00635	Prbn.g_00973
OG0000173	Syap.g_00982, Syap.g_00983	Prbn.g_00958
OG0000174	Syap.g_02092	Prbn.g_00929
OG0000175	Syap.g_02654	Prbn.g_00916
OG0000176	Syap.g_00059	Prbn.g_00010
OG0000177	Syap.g_00061, Syap.g_00060	Prbn.g_00009
OG0000178	Syap.g_00062	Prbn.g_00008
OG0000179	Syap.g_00077, Syap.g_02638	Prbn.g_00766
OG0000180	Syap.g_00078, Syap.g_02640	Prbn.g_00765
OG0000181	Syap.g_00079, Syap.g_02641	Prbn.g_00764
OG0000182	Syap.g_00080, Syap.g_02642	Prbn.g_00763
OG0000183	Syap.g_00084	Prbn.g_00759
OG0000184	Syap.g_01337	Prbn.g_00733
OG0000185	Syap.g_01322	Prbn.g_00730
OG0000186	Syap.g_01684	Prbn.g_00714
OG0000187	Syap.g_01686	Prbn.g_00713
OG0000188	Syap.g_02547	Prbn.g_01339
OG0000191	Syap.g_02233	Prbn.g_01300
OG0000192	Syap.g_02224	Prbn.g_01295
OG0000193	Syap.g_02187, Syap.g_02188	Prbn.g_01268
OG0000194	Syap.g_02183	Prbn.g_01265
OG0000195	Syap.g_02180	Prbn.g_01263
OG0000196	Syap.g_01208, Syap.g_02167	Prbn.g_01252
OG0000197	Syap.g_01207, Syap.g_02166	Prbn.g_01251
OG0000198	Syap.g_01206	Prbn.g_01250
OG0000199	Syap.g_01197	Prbn.g_01243, Prbn.g_00384
OG0000200	Syap.g_01181	Prbn.g_00370
OG0000201	Syap.g_02265	Prbn.g_00361
OG0000202	Syap.g_02264	Prbn.g_00360
OG0000203	Syap.g_01601	Prbn.g_00359
OG0000204	Syap.g_01602	Prbn.g_00358
OG0000205	Syap.g_01616	Prbn.g_00351
OG0000206	Syap.g_01628	Prbn.g_00346
OG0000207	Syap.g_01426, Syap.g_00424	Prbn.g_00343
OG0000208	Syap.g_00426, Syap.g_01425	Prbn.g_00342
OG0000209	Syap.g_01906	Prbn.g_00333
OG0000210	Syap.g_01905	Prbn.g_00332
OG0000211	Syap.g_01160	Prbn.g_00317
OG0000212	Syap.g_02664	Prbn.g_00309
OG0000213	Syap.g_00107, Syap.g_01599	Prbn.g_00024
OG0000214	Syap.g_02344, Syap.g_02345	Prbn.g_00034
OG0000215	Syap.g_01347, Syap.g_01629	Prbn.g_00061
OG0000216	Syap.g_01634	Prbn.g_00062
OG0000217	Syap.g_01638	Prbn.g_00065
OG0000218	Syap.g_01641, Syap.g_01640	Prbn.g_00067
OG0000219	Syap.g_01642, Syap.g_01643	Prbn.g_00068
OG0000220	Syap.g_01645	Prbn.g_00069
OG0000221	Syap.g_01646	Prbn.g_00070
OG0000222	Syap.g_01669	Prbn.g_00077
OG0000223	Syap.g_02072, Syap.g_02073	Prbn.g_00089
OG0000224	Syap.g_02064	Prbn.g_00091
OG0000225	Syap.g_00553, Syap.g_00552	Prbn.g_00117
OG0000226	Syap.g_02029, Syap.g_02144	Prbn.g_00121
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Prbn.g_00123
OG0000228	Syap.g_00116, Syap.g_02041	Prbn.g_00697
OG0000229	Syap.g_02059	Prbn.g_00677
OG0000230	Syap.g_02061	Prbn.g_00675
OG0000231	Syap.g_02533	Prbn.g_00664
OG0000232	Syap.g_02510, Syap.g_02511	Prbn.g_00653
OG0000233	Syap.g_02133	Prbn.g_00647
OG0000234	Syap.g_02755	Prbn.g_00638
OG0000235	Syap.g_00732, Syap.g_02258	Prbn.g_00635
OG0000236	Syap.g_02238	Prbn.g_00621
OG0000237	Syap.g_00262, Syap.g_00263	Prbn.g_00608
OG0000238	Syap.g_00257, Syap.g_00258	Prbn.g_00602
OG0000239	Syap.g_02744	Prbn.g_00591
OG0000240	Syap.g_02742	Prbn.g_00590
OG0000241	Syap.g_00888	Prbn.g_00586
OG0000242	Syap.g_01455	Prbn.g_00584
OG0000243	Syap.g_01938	Prbn.g_00573
OG0000244	Syap.g_01146, Syap.g_01145	Prbn.g_00570
OG0000245	Syap.g_01148	Prbn.g_00568
OG0000246	Syap.g_00308	Prbn.g_00564
OG0000247	Syap.g_00288, Syap.g_00293	Prbn.g_00554
OG0000248	Syap.g_00290	Prbn.g_00551
OG0000249	Syap.g_01296, Syap.g_01295	Prbn.g_00549
OG0000250	Syap.g_01306	Prbn.g_00544
OG0000251	Syap.g_00442	Prbn.g_00524
OG0000252	Syap.g_01857	Prbn.g_00521
OG0000253	Syap.g_00443	Prbn.g_00520
OG0000254	Syap.g_01527, Syap.g_01528	Prbn.g_00503
OG0000256	Syap.g_01287	Prbn.g_00487
OG0000257	Syap.g_00886	Prbn.g_00421
OG0000258	Syap.g_00907	Prbn.g_00435
OG0000260	Syap.g_01970	Prbn.g_00838
OG0000261	Syap.g_01962, Syap.g_01961	Prbn.g_00841
OG0000262	Syap.g_01954	Prbn.g_00845
OG0000263	Syap.g_00432, Syap.g_00433	Prbn.g_01583
OG0000266	Syap.g_00519	Prbn.g_00864
OG0000267	Syap.g_02333, Syap.g_02332	Prbn.g_01350
OG0000268	Syap.g_00646	Prbn.g_01351
OG0000269	Syap.g_00188	Prbn.g_01551
OG0000270	Syap.g_00192	Prbn.g_01548
OG0000271	Syap.g_00200, Syap.g_00201	Prbn.g_01540
OG0000272	Syap.g_00202	Prbn.g_01539
OG0000273	Syap.g_02703	Prbn.g_01515
OG0000274	Syap.g_02702	Prbn.g_01514
OG0000275	Syap.g_01847	Prbn.g_01511
OG0000276	Syap.g_01838, Syap.g_01839	Prbn.g_01505
OG0000277	Syap.g_01837	Prbn.g_01504
OG0000278	Syap.g_01834	Prbn.g_01501
OG0000279	Syap.g_00829, Syap.g_00830	Prbn.g_01494
OG0000280	Syap.g_00365	Prbn.g_01493
OG0000281	Syap.g_01977	Prbn.g_01486
OG0000282	Syap.g_01252	Prbn.g_01619
OG0000283	Syap.g_01728	Prbn.g_01442
OG0000284	Syap.g_01736	Prbn.g_01437
OG0000285	Syap.g_01746, Syap.g_01744	Prbn.g_01432
OG0000286	Syap.g_02014, Syap.g_02013	Prbn.g_01419
OG0000288	Syap.g_02764, Syap.g_02763	Prbn.g_01380
OG0000289	Syap.g_02784	Prbn.g_01364
OG0000290	Syap.g_01552	Prbn.g_01468
OG0000292	Syap.g_02314	Prbn.g_01144
OG0000293	Syap.g_00240	Prbn.g_01179
OG0000294	Syap.g_00239	Prbn.g_01180
OG0000295	Syap.g_00206	Prbn.g_01203
OG0000296	Syap.g_00204	Prbn.g_01205
OG0000299	Syap.g_02620	Prbn.g_00407
OG0000302	Syap.g_02444, Syap.g_02445	Prbn.g_00413
OG0000303	Syap.g_02435	Prbn.g_00419
OG0000304	Syap.g_02430	Prbn.g_00482
OG0000305	Syap.g_01557	Prbn.g_01146
OG0000306	Syap.g_01966	Prbn.g_01482
OG0000307	Syap.g_02517	Prbn.g_00159
OG0000308	Syap.g_02514, Syap.g_02515	Prbn.g_00160
OG0000309	Syap.g_02198, Syap.g_02446	Prbn.g_00164
OG0000310	Syap.g_02660, Syap.g_02661	Prbn.g_00198
OG0000311	Syap.g_02657	Prbn.g_00200
OG0000312	Syap.g_02114	Prbn.g_00203
OG0000313	Syap.g_02473	Prbn.g_00216
OG0000315	Syap.g_00017	Prbn.g_00249
OG0000316	Syap.g_00030	Prbn.g_00274
OG0000317	Syap.g_00618	Prbn.g_01742
OG0000318	Syap.g_00622, Syap.g_02786	Prbn.g_01746
OG0000319	Syap.g_01764, Syap.g_01771	Prbn.g_01759
OG0000320	Syap.g_01761, Syap.g_01769	Prbn.g_01761
OG0000321	Syap.g_01760, Syap.g_01768	Prbn.g_01762
OG0000322	Syap.g_01759, Syap.g_01767	Prbn.g_01763
OG0000323	Syap.g_01389	Prbn.g_01773
OG0000324	Syap.g_01503	Prbn.g_01800
OG0000325	Syap.g_02680	Prbn.g_01811
OG0000326	Syap.g_00544	Prbn.g_01818
OG0000327	Syap.g_01233, Syap.g_01913	Prbn.g_01839
OG0000328	Syap.g_01234, Syap.g_01912	Prbn.g_01840
OG0000329	Syap.g_00498	Prbn.g_01857
OG0000330	Syap.g_00497	Prbn.g_01858
OG0000331	Syap.g_00496	Prbn.g_01859
OG0000332	Syap.g_00481	Prbn.g_01873
OG0000333	Syap.g_00478	Prbn.g_01875
OG0000334	Syap.g_00468	Prbn.g_01884
OG0000335	Syap.g_00101, Syap.g_00463	Prbn.g_01889
OG0000336	Syap.g_00417, Syap.g_00607	Prbn.g_01893
OG0000337	Syap.g_01054	Prbn.g_01911
OG0000338	Syap.g_01059	Prbn.g_01912
OG0000339	Syap.g_01068	Prbn.g_01918
OG0000340	Syap.g_01077	Prbn.g_01012
OG0000341	Syap.g_01079	Prbn.g_01010
OG0000342	Syap.g_01080, Syap.g_02477	Prbn.g_01009
OG0000343	Syap.g_01086, Syap.g_02078	Prbn.g_01008
OG0000344	Syap.g_01091	Prbn.g_01005
OG0000345	Syap.g_01107, Syap.g_01470	Prbn.g_00999
OG0000346	Syap.g_01113	Prbn.g_00995
OG0000347	Syap.g_01131, Syap.g_02459	Prbn.g_00978
OG0000348	Syap.g_00632	Prbn.g_00970
OG0000349	Syap.g_00110, Syap.g_01813	Prbn.g_00953
OG0000351	Syap.g_02594	Prbn.g_00913
OG0000352	Syap.g_02596, Syap.g_02597	Prbn.g_00912
OG0000353	Syap.g_00054	Prbn.g_00299
OG0000355	Syap.g_00056	Prbn.g_00301
OG0000356	Syap.g_00057	Prbn.g_00302
OG0000357	Syap.g_00058	Prbn.g_00011
OG0000358	Syap.g_00063	Prbn.g_00007
OG0000359	Syap.g_00065	Prbn.g_00006
OG0000360	Syap.g_00067	Prbn.g_00005
OG0000361	Syap.g_00068	Prbn.g_00004
OG0000362	Syap.g_00070	Prbn.g_00001
OG0000363	Syap.g_00072	Prbn.g_00768
OG0000364	Syap.g_00620	Prbn.g_00767
OG0000365	Syap.g_00081	Prbn.g_00762
OG0000366	Syap.g_00082	Prbn.g_00761
OG0000367	Syap.g_00083	Prbn.g_00760
OG0000368	Syap.g_00085	Prbn.g_00758
OG0000369	Syap.g_00086	Prbn.g_00757
OG0000370	Syap.g_00087	Prbn.g_00756
OG0000372	Syap.g_01805	Prbn.g_00746
OG0000373	Syap.g_01806	Prbn.g_00745
OG0000374	Syap.g_01807	Prbn.g_00744
OG0000375	Syap.g_01808	Prbn.g_00742
OG0000376	Syap.g_01811	Prbn.g_00740
OG0000377	Syap.g_00128	Prbn.g_00736
OG0000378	Syap.g_01326	Prbn.g_00732
OG0000380	Syap.g_01687	Prbn.g_00712
OG0000381	Syap.g_01690	Prbn.g_00707
OG0000382	Syap.g_02548	Prbn.g_01340
OG0000383	Syap.g_02359	Prbn.g_01338
OG0000384	Syap.g_02360	Prbn.g_01337
OG0000385	Syap.g_02361	Prbn.g_01336
OG0000386	Syap.g_02362	Prbn.g_01335
OG0000387	Syap.g_01864	Prbn.g_01321
OG0000391	Syap.g_02234	Prbn.g_01301
OG0000392	Syap.g_02225	Prbn.g_01297
OG0000393	Syap.g_02222	Prbn.g_01294
OG0000394	Syap.g_02221	Prbn.g_01293
OG0000395	Syap.g_02220	Prbn.g_01292
OG0000396	Syap.g_02217	Prbn.g_01290
OG0000397	Syap.g_02215	Prbn.g_01288
OG0000398	Syap.g_02211	Prbn.g_01285
OG0000399	Syap.g_02210	Prbn.g_01284
OG0000400	Syap.g_02209	Prbn.g_01283
OG0000401	Syap.g_02208	Prbn.g_01282
OG0000402	Syap.g_02206	Prbn.g_01356
OG0000403	Syap.g_02205	Prbn.g_01280
OG0000404	Syap.g_02204, Syap.g_02618	Prbn.g_01279
OG0000405	Syap.g_02191	Prbn.g_01275
OG0000406	Syap.g_02186	Prbn.g_01267
OG0000407	Syap.g_02185	Prbn.g_01266
OG0000408	Syap.g_02181, Syap.g_02182	Prbn.g_01264
OG0000409	Syap.g_02179	Prbn.g_01262
OG0000410	Syap.g_02178	Prbn.g_01261
OG0000411	Syap.g_02177	Prbn.g_01260
OG0000412	Syap.g_02176	Prbn.g_01259
OG0000413	Syap.g_02174	Prbn.g_01257
OG0000414	Syap.g_02173	Prbn.g_01256
OG0000415	Syap.g_02172	Prbn.g_01255
OG0000416	Syap.g_02171	Prbn.g_01254
OG0000417	Syap.g_02169	Prbn.g_01253
OG0000418	Syap.g_01204	Prbn.g_01248
OG0000419	Syap.g_01201	Prbn.g_01246
OG0000420	Syap.g_01199	Prbn.g_01245
OG0000421	Syap.g_01195	Prbn.g_00381
OG0000422	Syap.g_01194	Prbn.g_00380
OG0000423	Syap.g_01193	Prbn.g_00379
OG0000424	Syap.g_01192	Prbn.g_00378
OG0000425	Syap.g_01191	Prbn.g_00377
OG0000426	Syap.g_01190	Prbn.g_00376
OG0000427	Syap.g_01189	Prbn.g_00375
OG0000428	Syap.g_01186	Prbn.g_00373
OG0000429	Syap.g_01184	Prbn.g_00372
OG0000430	Syap.g_01182	Prbn.g_00371
OG0000431	Syap.g_01179	Prbn.g_00369
OG0000432	Syap.g_02277	Prbn.g_00365
OG0000433	Syap.g_02272	Prbn.g_00364
OG0000434	Syap.g_02271	Prbn.g_00363
OG0000435	Syap.g_02268	Prbn.g_00362
OG0000436	Syap.g_01607	Prbn.g_00357
OG0000437	Syap.g_01608	Prbn.g_00356
OG0000438	Syap.g_01612	Prbn.g_00355
OG0000439	Syap.g_01614	Prbn.g_00353
OG0000440	Syap.g_01615	Prbn.g_00352
OG0000441	Syap.g_01619	Prbn.g_00349
OG0000442	Syap.g_01620	Prbn.g_00348
OG0000443	Syap.g_01622	Prbn.g_00347
OG0000444	Syap.g_01424	Prbn.g_00341
OG0000445	Syap.g_01421	Prbn.g_00340
OG0000446	Syap.g_01419	Prbn.g_00339
OG0000447	Syap.g_01410	Prbn.g_00338
OG0000448	Syap.g_01407	Prbn.g_00337
OG0000449	Syap.g_01406	Prbn.g_00336
OG0000450	Syap.g_01909	Prbn.g_00335
OG0000451	Syap.g_01908	Prbn.g_00334
OG0000452	Syap.g_01904	Prbn.g_00331
OG0000453	Syap.g_01903	Prbn.g_00330
OG0000454	Syap.g_01902	Prbn.g_00329
OG0000455	Syap.g_01901	Prbn.g_00328
OG0000456	Syap.g_01900	Prbn.g_00327
OG0000457	Syap.g_01896	Prbn.g_00325
OG0000458	Syap.g_01895	Prbn.g_00324
OG0000459	Syap.g_01894	Prbn.g_00323
OG0000460	Syap.g_01159	Prbn.g_00315
OG0000461	Syap.g_01575	Prbn.g_00307
OG0000462	Syap.g_01578	Prbn.g_00305
OG0000463	Syap.g_01579	Prbn.g_00304
OG0000464	Syap.g_01580	Prbn.g_00012
OG0000465	Syap.g_01582	Prbn.g_00013
OG0000466	Syap.g_01587	Prbn.g_00016
OG0000467	Syap.g_01588	Prbn.g_00017
OG0000468	Syap.g_01593	Prbn.g_00020
OG0000469	Syap.g_02352	Prbn.g_00028
OG0000470	Syap.g_02349	Prbn.g_00030
OG0000471	Syap.g_02348	Prbn.g_00031
OG0000472	Syap.g_02347	Prbn.g_00033
OG0000473	Syap.g_02343	Prbn.g_00035
OG0000474	Syap.g_02342	Prbn.g_00036
OG0000475	Syap.g_02341	Prbn.g_00037
OG0000476	Syap.g_02339	Prbn.g_00039
OG0000477	Syap.g_01367	Prbn.g_00042
OG0000478	Syap.g_01366	Prbn.g_00043
OG0000479	Syap.g_01364	Prbn.g_00044
OG0000480	Syap.g_01357	Prbn.g_00049
OG0000482	Syap.g_01355	Prbn.g_00053
OG0000483	Syap.g_01344	Prbn.g_00056
OG0000484	Syap.g_01350	Prbn.g_00057
OG0000485	Syap.g_01349	Prbn.g_00059
OG0000487	Syap.g_01635	Prbn.g_00063
OG0000488	Syap.g_01639	Prbn.g_00066
OG0000489	Syap.g_02482	Prbn.g_00071
OG0000490	Syap.g_01673	Prbn.g_00075
OG0000491	Syap.g_01670	Prbn.g_00076
OG0000492	Syap.g_01668	Prbn.g_00078
OG0000493	Syap.g_01667	Prbn.g_00079
OG0000494	Syap.g_01666	Prbn.g_00080
OG0000495	Syap.g_01665	Prbn.g_00081
OG0000496	Syap.g_01663	Prbn.g_00082
OG0000497	Syap.g_01662	Prbn.g_00083
OG0000498	Syap.g_01661	Prbn.g_00084
OG0000499	Syap.g_01660	Prbn.g_00085
OG0000500	Syap.g_01659	Prbn.g_00086
OG0000501	Syap.g_01656	Prbn.g_00087
OG0000502	Syap.g_02066	Prbn.g_00090
OG0000503	Syap.g_00569	Prbn.g_00105
OG0000504	Syap.g_00567	Prbn.g_00107
OG0000505	Syap.g_00566	Prbn.g_00108
OG0000506	Syap.g_00564	Prbn.g_00109
OG0000507	Syap.g_00558	Prbn.g_00112
OG0000508	Syap.g_00554	Prbn.g_00116
OG0000509	Syap.g_00551	Prbn.g_00118
OG0000510	Syap.g_00550	Prbn.g_00119
OG0000511	Syap.g_00548	Prbn.g_00120
OG0000512	Syap.g_02145	Prbn.g_00122
OG0000513	Syap.g_02048	Prbn.g_00693
OG0000514	Syap.g_02051	Prbn.g_00682
OG0000515	Syap.g_02052	Prbn.g_00681
OG0000516	Syap.g_02054	Prbn.g_00680
OG0000517	Syap.g_02057	Prbn.g_00678
OG0000519	Syap.g_00457	Prbn.g_00666
OG0000520	Syap.g_00456	Prbn.g_00665
OG0000521	Syap.g_01997	Prbn.g_00657
OG0000522	Syap.g_01995	Prbn.g_00655
OG0000523	Syap.g_02507	Prbn.g_00654
OG0000524	Syap.g_02135	Prbn.g_00649
OG0000525	Syap.g_02159	Prbn.g_00645
OG0000526	Syap.g_02157	Prbn.g_00644
OG0000527	Syap.g_02758	Prbn.g_00641
OG0000528	Syap.g_02261	Prbn.g_00636
OG0000529	Syap.g_02254	Prbn.g_00633
OG0000530	Syap.g_02252	Prbn.g_00630
OG0000531	Syap.g_02251	Prbn.g_00629
OG0000532	Syap.g_02247	Prbn.g_00627
OG0000533	Syap.g_02244	Prbn.g_00626
OG0000534	Syap.g_02243	Prbn.g_00625
OG0000535	Syap.g_02242	Prbn.g_00624
OG0000536	Syap.g_02241	Prbn.g_00623
OG0000537	Syap.g_02240	Prbn.g_00622
OG0000538	Syap.g_00271	Prbn.g_00613
OG0000539	Syap.g_00270	Prbn.g_00612
OG0000540	Syap.g_00269	Prbn.g_00611
OG0000541	Syap.g_00268	Prbn.g_00610
OG0000542	Syap.g_00264	Prbn.g_00609
OG0000543	Syap.g_00261	Prbn.g_00607
OG0000544	Syap.g_00260	Prbn.g_00606
OG0000545	Syap.g_00259	Prbn.g_00604
OG0000546	Syap.g_00256	Prbn.g_00601
OG0000547	Syap.g_00254	Prbn.g_00599
OG0000548	Syap.g_00253	Prbn.g_00598
OG0000549	Syap.g_00758	Prbn.g_00596
OG0000550	Syap.g_02747	Prbn.g_00592
OG0000551	Syap.g_02739	Prbn.g_00589
OG0000552	Syap.g_02738	Prbn.g_00588
OG0000553	Syap.g_02735	Prbn.g_00587
OG0000554	Syap.g_01450	Prbn.g_00582
OG0000555	Syap.g_01941	Prbn.g_00574
OG0000556	Syap.g_01933	Prbn.g_00572
OG0000557	Syap.g_01931	Prbn.g_00571
OG0000558	Syap.g_01147	Prbn.g_00569
OG0000560	Syap.g_00305	Prbn.g_00562
OG0000561	Syap.g_00304	Prbn.g_00561
OG0000562	Syap.g_00302	Prbn.g_00560
OG0000563	Syap.g_00301	Prbn.g_00559
OG0000564	Syap.g_00300	Prbn.g_00558
OG0000565	Syap.g_00296	Prbn.g_00556
OG0000566	Syap.g_00291	Prbn.g_00552
OG0000567	Syap.g_01297	Prbn.g_00548
OG0000568	Syap.g_01302	Prbn.g_00547
OG0000569	Syap.g_01303	Prbn.g_00546
OG0000570	Syap.g_01304	Prbn.g_00545
OG0000571	Syap.g_01307	Prbn.g_00543
OG0000573	Syap.g_00765	Prbn.g_00523
OG0000574	Syap.g_00759	Prbn.g_00522
OG0000575	Syap.g_00445	Prbn.g_00518
OG0000576	Syap.g_00450	Prbn.g_00516
OG0000577	Syap.g_00451	Prbn.g_00515
OG0000578	Syap.g_00452	Prbn.g_00514
OG0000579	Syap.g_00453	Prbn.g_00513
OG0000580	Syap.g_00454	Prbn.g_00512
OG0000581	Syap.g_01521	Prbn.g_00509
OG0000582	Syap.g_01533	Prbn.g_00506
OG0000583	Syap.g_01532	Prbn.g_00505
OG0000584	Syap.g_01530	Prbn.g_00504
OG0000585	Syap.g_01526	Prbn.g_00502
