Orthogroup	Syap	Pras
OG0000089	Syap.g_00115, Syap.g_02042	Pras.g_01209
OG0000090	Syap.g_01451	Pras.g_01410
OG0000091	Syap.g_01861	Pras.g_01518
OG0000094	Syap.g_02781	Pras.g_01915
OG0000095	Syap.g_01556	Pras.g_01934
OG0000098	Syap.g_01975	Pras.g_00232
OG0000099	Syap.g_01385	Pras.g_00294
OG0000101	Syap.g_00472	Pras.g_00687
OG0000102	Syap.g_01116	Pras.g_00748
OG0000103	Syap.g_02607, Syap.g_02608	Pras.g_00829
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Pras.g_00838
OG0000105	Syap.g_01369, Syap.g_01368	Pras.g_01126
OG0000107	Syap.g_02496	Pras.g_01239
OG0000108	Syap.g_00733, Syap.g_02255	Pras.g_01358
OG0000109	Syap.g_00279, Syap.g_02237	Pras.g_01372
OG0000110	Syap.g_01313	Pras.g_01451
OG0000111	Syap.g_01566, Syap.g_01568	Pras.g_01575
OG0000112	Syap.g_02023	Pras.g_01665
OG0000113	Syap.g_02714	Pras.g_01723
OG0000114	Syap.g_01255	Pras.g_01801
OG0000115	Syap.g_02004	Pras.g_01994
OG0000116	Syap.g_00241	Pras.g_00046
OG0000117	Syap.g_01889	Pras.g_00150
OG0000118	Syap.g_02286	Pras.g_00221, Pras.g_00222
OG0000120	Syap.g_02075	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330
OG0000121	Syap.g_02471	Pras.g_00352
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Pras.g_00694
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Pras.g_00759
OG0000125	Syap.g_01046, Syap.g_01047	Pras.g_00797
OG0000126	Syap.g_02317, Syap.g_02576, Syap.g_02316	Pras.g_00837
OG0000128	Syap.g_00069	Pras.g_00853
OG0000129	Syap.g_00130, Syap.g_00129	Pras.g_00897
OG0000130	Syap.g_01688, Syap.g_01689	Pras.g_00921
OG0000131	Syap.g_02189	Pras.g_00996
OG0000132	Syap.g_01205	Pras.g_01015
OG0000133	Syap.g_02017	Pras.g_01174
OG0000134	Syap.g_02047	Pras.g_01210
OG0000135	Syap.g_02090	Pras.g_01236
OG0000136	Syap.g_00089	Pras.g_01319
OG0000137	Syap.g_02756	Pras.g_01353
OG0000138	Syap.g_00278	Pras.g_01373
OG0000139	Syap.g_00410	Pras.g_01414
OG0000140	Syap.g_01976	Pras.g_01415
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Pras.g_01483
OG0000142	Syap.g_00895, Syap.g_00894	Pras.g_01511
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Pras.g_01515
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Pras.g_01528
OG0000145	Syap.g_01860, Syap.g_01859	Pras.g_01664
OG0000146	Syap.g_02024	Pras.g_01666
OG0000147	Syap.g_02025	Pras.g_01667
OG0000148	Syap.g_02720	Pras.g_01717
OG0000149	Syap.g_00824	Pras.g_01747
OG0000150	Syap.g_01540	Pras.g_01755
OG0000151	Syap.g_00142	Pras.g_01811
OG0000152	Syap.g_02012	Pras.g_01859
OG0000153	Syap.g_02682	Pras.g_01878
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Pras.g_01908
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Pras.g_00076
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Pras.g_00197
OG0000157	Syap.g_00249, Syap.g_00286	Pras.g_00198
OG0000158	Syap.g_01075	Pras.g_00289
OG0000160	Syap.g_02470, Syap.g_02469	Pras.g_00351
OG0000161	Syap.g_02476	Pras.g_00357
OG0000162	Syap.g_02531	Pras.g_00363
OG0000164	Syap.g_01391, Syap.g_01392	Pras.g_00574
OG0000165	Syap.g_01381, Syap.g_01382	Pras.g_00581
OG0000166	Syap.g_00512, Syap.g_01238	Pras.g_00651
OG0000167	Syap.g_02080	Pras.g_00717
OG0000168	Syap.g_01076	Pras.g_00727
OG0000169	Syap.g_01049, Syap.g_01093	Pras.g_00737
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Pras.g_00739
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Pras.g_00758
OG0000172	Syap.g_01143, Syap.g_00635	Pras.g_00768
OG0000173	Syap.g_00982, Syap.g_00983	Pras.g_00783
OG0000174	Syap.g_02092	Pras.g_00811, Pras.g_00810
OG0000175	Syap.g_02654	Pras.g_00821
OG0000176	Syap.g_00059	Pras.g_00846
OG0000177	Syap.g_00061, Syap.g_00060	Pras.g_00847
OG0000178	Syap.g_00062	Pras.g_00848
OG0000179	Syap.g_00077, Syap.g_02638	Pras.g_00858
OG0000180	Syap.g_00078, Syap.g_02640	Pras.g_00859
OG0000181	Syap.g_00079, Syap.g_02641	Pras.g_00860
OG0000182	Syap.g_00080, Syap.g_02642	Pras.g_00861
OG0000183	Syap.g_00084	Pras.g_00865
OG0000184	Syap.g_01337	Pras.g_00899
OG0000185	Syap.g_01322	Pras.g_00902
OG0000186	Syap.g_01684	Pras.g_00916
OG0000187	Syap.g_01686	Pras.g_00917
OG0000188	Syap.g_02547	Pras.g_00933
OG0000191	Syap.g_02233	Pras.g_00968
OG0000192	Syap.g_02224	Pras.g_00972
OG0000193	Syap.g_02187, Syap.g_02188	Pras.g_00997
OG0000194	Syap.g_02183	Pras.g_01000
OG0000195	Syap.g_02180	Pras.g_01002
OG0000196	Syap.g_01208, Syap.g_02167	Pras.g_01012
OG0000197	Syap.g_01207, Syap.g_02166	Pras.g_01013
OG0000198	Syap.g_01206	Pras.g_01014
OG0000199	Syap.g_01197	Pras.g_01021
OG0000200	Syap.g_01181	Pras.g_01035
OG0000201	Syap.g_02265	Pras.g_01043
OG0000202	Syap.g_02264	Pras.g_01044
OG0000203	Syap.g_01601	Pras.g_01045
OG0000204	Syap.g_01602	Pras.g_01046
OG0000205	Syap.g_01616	Pras.g_01053
OG0000206	Syap.g_01628	Pras.g_01058, Pras.g_01059
OG0000207	Syap.g_01426, Syap.g_00424	Pras.g_01061
OG0000208	Syap.g_00426, Syap.g_01425	Pras.g_01062
OG0000209	Syap.g_01906	Pras.g_01071
OG0000210	Syap.g_01905	Pras.g_01072
OG0000211	Syap.g_01160	Pras.g_01085
OG0000212	Syap.g_02664	Pras.g_01092
OG0000213	Syap.g_00107, Syap.g_01599	Pras.g_01109
OG0000214	Syap.g_02344, Syap.g_02345	Pras.g_01119
OG0000215	Syap.g_01347, Syap.g_01629	Pras.g_01144
OG0000216	Syap.g_01634	Pras.g_01145
OG0000217	Syap.g_01638	Pras.g_01148
OG0000218	Syap.g_01641, Syap.g_01640	Pras.g_01150
OG0000219	Syap.g_01642, Syap.g_01643	Pras.g_01151
OG0000220	Syap.g_01645	Pras.g_01152
OG0000221	Syap.g_01646	Pras.g_01153
OG0000222	Syap.g_01669	Pras.g_01162
OG0000223	Syap.g_02072, Syap.g_02073	Pras.g_01175
OG0000224	Syap.g_02064	Pras.g_01177
OG0000225	Syap.g_00553, Syap.g_00552	Pras.g_01199
OG0000226	Syap.g_02029, Syap.g_02144	Pras.g_01203
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Pras.g_01205
OG0000228	Syap.g_00116, Syap.g_02041	Pras.g_01208
OG0000229	Syap.g_02059	Pras.g_01314
OG0000230	Syap.g_02061	Pras.g_01316
OG0000231	Syap.g_02533	Pras.g_01327
OG0000232	Syap.g_02510, Syap.g_02511	Pras.g_01335
OG0000233	Syap.g_02133	Pras.g_01341
OG0000234	Syap.g_02755	Pras.g_01354
OG0000235	Syap.g_00732, Syap.g_02258	Pras.g_01357
OG0000236	Syap.g_02238	Pras.g_01371
OG0000237	Syap.g_00262, Syap.g_00263	Pras.g_01384
OG0000238	Syap.g_00257, Syap.g_00258	Pras.g_01390
OG0000239	Syap.g_02744	Pras.g_01402
OG0000240	Syap.g_02742	Pras.g_01403
OG0000241	Syap.g_00888	Pras.g_01407
OG0000242	Syap.g_01455	Pras.g_01409
OG0000243	Syap.g_01938	Pras.g_01420
OG0000244	Syap.g_01146, Syap.g_01145	Pras.g_01423
OG0000245	Syap.g_01148	Pras.g_01425
OG0000246	Syap.g_00308	Pras.g_01429
OG0000247	Syap.g_00288, Syap.g_00293	Pras.g_01439
OG0000248	Syap.g_00290	Pras.g_01441
OG0000249	Syap.g_01296, Syap.g_01295	Pras.g_01443
OG0000250	Syap.g_01306	Pras.g_01448
OG0000251	Syap.g_00442	Pras.g_01467
OG0000252	Syap.g_01857	Pras.g_01470
OG0000253	Syap.g_00443	Pras.g_01471
OG0000254	Syap.g_01527, Syap.g_01528	Pras.g_01487
OG0000256	Syap.g_01287	Pras.g_01503
OG0000257	Syap.g_00886	Pras.g_01506
OG0000258	Syap.g_00907	Pras.g_01519
OG0000260	Syap.g_01970	Pras.g_01539
OG0000261	Syap.g_01962, Syap.g_01961	Pras.g_01541
OG0000262	Syap.g_01954	Pras.g_00327, Pras.g_01545
OG0000263	Syap.g_00432, Syap.g_00433	Pras.g_01557
OG0000266	Syap.g_00519	Pras.g_01616
OG0000267	Syap.g_02333, Syap.g_02332	Pras.g_01627
OG0000268	Syap.g_00646	Pras.g_01628
OG0000269	Syap.g_00188	Pras.g_01696
OG0000270	Syap.g_00192	Pras.g_01699
OG0000271	Syap.g_00200, Syap.g_00201	Pras.g_01707
OG0000272	Syap.g_00202	Pras.g_01708
OG0000273	Syap.g_02703	Pras.g_01731
OG0000274	Syap.g_02702	Pras.g_01732
OG0000275	Syap.g_01847	Pras.g_01734
OG0000276	Syap.g_01838, Syap.g_01839	Pras.g_01739
OG0000277	Syap.g_01837	Pras.g_01740
OG0000278	Syap.g_01834	Pras.g_01743
OG0000279	Syap.g_00829, Syap.g_00830	Pras.g_01750
OG0000280	Syap.g_00365	Pras.g_01751
OG0000281	Syap.g_01977	Pras.g_01756
OG0000282	Syap.g_01252	Pras.g_01803
OG0000283	Syap.g_01728	Pras.g_01836
OG0000284	Syap.g_01736	Pras.g_01841
OG0000285	Syap.g_01746, Syap.g_01744	Pras.g_01846
OG0000286	Syap.g_02014, Syap.g_02013	Pras.g_01858
OG0000288	Syap.g_02764, Syap.g_02763	Pras.g_01907
OG0000289	Syap.g_02784	Pras.g_01918
OG0000290	Syap.g_01552	Pras.g_01931
OG0000292	Syap.g_02314	Pras.g_01982
OG0000293	Syap.g_00240	Pras.g_00047
OG0000294	Syap.g_00239	Pras.g_00048
OG0000295	Syap.g_00206	Pras.g_00068
OG0000296	Syap.g_00204	Pras.g_00070
OG0000299	Syap.g_02620	Pras.g_00096, Pras.g_00097
OG0000302	Syap.g_02444, Syap.g_02445	Pras.g_00103
OG0000303	Syap.g_02435	Pras.g_00110
OG0000304	Syap.g_02430	Pras.g_00114
OG0000305	Syap.g_01557	Pras.g_00242
OG0000306	Syap.g_01966	Pras.g_00245
OG0000307	Syap.g_02517	Pras.g_00259
OG0000308	Syap.g_02514, Syap.g_02515	Pras.g_00260
OG0000309	Syap.g_02198, Syap.g_02446	Pras.g_00264
OG0000310	Syap.g_02660, Syap.g_02661	Pras.g_00335
OG0000311	Syap.g_02657	Pras.g_00337
OG0000312	Syap.g_02114	Pras.g_00340
OG0000313	Syap.g_02473	Pras.g_00354
OG0000315	Syap.g_00017	Pras.g_00388
OG0000316	Syap.g_00030	Pras.g_00410
OG0000317	Syap.g_00618	Pras.g_00548
OG0000318	Syap.g_00622, Syap.g_02786	Pras.g_00551
OG0000319	Syap.g_01764, Syap.g_01771	Pras.g_00564
OG0000320	Syap.g_01761, Syap.g_01769	Pras.g_00566
OG0000321	Syap.g_01760, Syap.g_01768	Pras.g_00567
OG0000322	Syap.g_01759, Syap.g_01767	Pras.g_00568
OG0000323	Syap.g_01389	Pras.g_00577
OG0000324	Syap.g_01503	Pras.g_00604
OG0000325	Syap.g_02680	Pras.g_00614
OG0000326	Syap.g_00544	Pras.g_00620
OG0000327	Syap.g_01233, Syap.g_01913	Pras.g_00646
OG0000328	Syap.g_01234, Syap.g_01912	Pras.g_00647
OG0000329	Syap.g_00498	Pras.g_00664
OG0000330	Syap.g_00497	Pras.g_00665
OG0000331	Syap.g_00496	Pras.g_00666
OG0000332	Syap.g_00481	Pras.g_00680
OG0000333	Syap.g_00478	Pras.g_00682
OG0000334	Syap.g_00468	Pras.g_00690
OG0000335	Syap.g_00101, Syap.g_00463	Pras.g_00695
OG0000336	Syap.g_00417, Syap.g_00607	Pras.g_00699
OG0000337	Syap.g_01054	Pras.g_00715
OG0000338	Syap.g_01059	Pras.g_00716
OG0000339	Syap.g_01068	Pras.g_00720
OG0000340	Syap.g_01077	Pras.g_00728
OG0000341	Syap.g_01079	Pras.g_00730
OG0000342	Syap.g_01080, Syap.g_02477	Pras.g_00731
OG0000343	Syap.g_01086, Syap.g_02078	Pras.g_00732
OG0000344	Syap.g_01091	Pras.g_00735
OG0000345	Syap.g_01107, Syap.g_01470	Pras.g_00740
OG0000346	Syap.g_01113	Pras.g_00744
OG0000347	Syap.g_01131, Syap.g_02459	Pras.g_00761
OG0000348	Syap.g_00632	Pras.g_00771
OG0000349	Syap.g_00110, Syap.g_01813	Pras.g_00788
OG0000351	Syap.g_02594	Pras.g_00824
OG0000352	Syap.g_02596, Syap.g_02597	Pras.g_00825
OG0000353	Syap.g_00054	Pras.g_00841
OG0000355	Syap.g_00056	Pras.g_00843
OG0000356	Syap.g_00057	Pras.g_00844
OG0000357	Syap.g_00058	Pras.g_00845
OG0000358	Syap.g_00063	Pras.g_00849
OG0000359	Syap.g_00065	Pras.g_00850
OG0000360	Syap.g_00067	Pras.g_00851
OG0000361	Syap.g_00068	Pras.g_00852
OG0000362	Syap.g_00070	Pras.g_00854
OG0000363	Syap.g_00072	Pras.g_00856
OG0000364	Syap.g_00620	Pras.g_00857
OG0000365	Syap.g_00081	Pras.g_00862
OG0000366	Syap.g_00082	Pras.g_00863
OG0000367	Syap.g_00083	Pras.g_00864
OG0000368	Syap.g_00085	Pras.g_00866
OG0000369	Syap.g_00086	Pras.g_00867
OG0000370	Syap.g_00087	Pras.g_00868
OG0000372	Syap.g_01805	Pras.g_00877
OG0000373	Syap.g_01806	Pras.g_00878
OG0000374	Syap.g_01807	Pras.g_00879
OG0000375	Syap.g_01808	Pras.g_00893
OG0000376	Syap.g_01811	Pras.g_00895
OG0000377	Syap.g_00128	Pras.g_00898
OG0000378	Syap.g_01326	Pras.g_00900
OG0000380	Syap.g_01687	Pras.g_00918
OG0000381	Syap.g_01690	Pras.g_00922
OG0000382	Syap.g_02548	Pras.g_00932
OG0000383	Syap.g_02359	Pras.g_00934
OG0000384	Syap.g_02360	Pras.g_00935
OG0000385	Syap.g_02361	Pras.g_00936
OG0000386	Syap.g_02362	Pras.g_00937
OG0000387	Syap.g_01864	Pras.g_00950
OG0000391	Syap.g_02234	Pras.g_00967
OG0000392	Syap.g_02225	Pras.g_00971
OG0000393	Syap.g_02222	Pras.g_00973
OG0000394	Syap.g_02221	Pras.g_00974
OG0000395	Syap.g_02220	Pras.g_00975
OG0000396	Syap.g_02217	Pras.g_00978
OG0000397	Syap.g_02215	Pras.g_00980
OG0000398	Syap.g_02211	Pras.g_00982
OG0000399	Syap.g_02210	Pras.g_00983
OG0000400	Syap.g_02209	Pras.g_00984
OG0000401	Syap.g_02208	Pras.g_00985
OG0000402	Syap.g_02206	Pras.g_00987
OG0000403	Syap.g_02205	Pras.g_00988
OG0000404	Syap.g_02204, Syap.g_02618	Pras.g_00989
OG0000405	Syap.g_02191	Pras.g_00993
OG0000406	Syap.g_02186	Pras.g_00998
OG0000407	Syap.g_02185	Pras.g_00999
OG0000408	Syap.g_02181, Syap.g_02182	Pras.g_01001
OG0000409	Syap.g_02179	Pras.g_01003
OG0000410	Syap.g_02178	Pras.g_01004
OG0000411	Syap.g_02177	Pras.g_01005
OG0000412	Syap.g_02176	Pras.g_01006
OG0000413	Syap.g_02174	Pras.g_01007
OG0000414	Syap.g_02173	Pras.g_01008
OG0000415	Syap.g_02172	Pras.g_01009
OG0000416	Syap.g_02171	Pras.g_01010
OG0000417	Syap.g_02169	Pras.g_01011
OG0000418	Syap.g_01204	Pras.g_01016
OG0000419	Syap.g_01201	Pras.g_01018
OG0000420	Syap.g_01199	Pras.g_01019
OG0000421	Syap.g_01195	Pras.g_01024
OG0000422	Syap.g_01194	Pras.g_01025
OG0000423	Syap.g_01193	Pras.g_01026
OG0000424	Syap.g_01192	Pras.g_01027
OG0000425	Syap.g_01191	Pras.g_01028
OG0000426	Syap.g_01190	Pras.g_01029
OG0000427	Syap.g_01189	Pras.g_01030
OG0000428	Syap.g_01186	Pras.g_01032
OG0000429	Syap.g_01184	Pras.g_01033
OG0000430	Syap.g_01182	Pras.g_01034
OG0000431	Syap.g_01179	Pras.g_01036
OG0000432	Syap.g_02277	Pras.g_01039
OG0000433	Syap.g_02272	Pras.g_01040
OG0000434	Syap.g_02271	Pras.g_01041
OG0000435	Syap.g_02268	Pras.g_01042
OG0000436	Syap.g_01607	Pras.g_01047
OG0000437	Syap.g_01608	Pras.g_01048
OG0000438	Syap.g_01612	Pras.g_01049
OG0000439	Syap.g_01614	Pras.g_01051
OG0000440	Syap.g_01615	Pras.g_01052
OG0000441	Syap.g_01619	Pras.g_01055
OG0000442	Syap.g_01620	Pras.g_01056
OG0000443	Syap.g_01622	Pras.g_01057
OG0000444	Syap.g_01424	Pras.g_01063
OG0000445	Syap.g_01421	Pras.g_01064
OG0000446	Syap.g_01419	Pras.g_01065
OG0000447	Syap.g_01410	Pras.g_01066
OG0000448	Syap.g_01407	Pras.g_01067
OG0000449	Syap.g_01406	Pras.g_01068
OG0000450	Syap.g_01909	Pras.g_01069
OG0000451	Syap.g_01908	Pras.g_01070
OG0000452	Syap.g_01904	Pras.g_01073
OG0000453	Syap.g_01903	Pras.g_01074
OG0000454	Syap.g_01902	Pras.g_01075
OG0000455	Syap.g_01901	Pras.g_01076
OG0000456	Syap.g_01900	Pras.g_01077
OG0000457	Syap.g_01896	Pras.g_01078
OG0000458	Syap.g_01895	Pras.g_01079
OG0000459	Syap.g_01894	Pras.g_01080
OG0000460	Syap.g_01159	Pras.g_01087
OG0000461	Syap.g_01575	Pras.g_01094
OG0000462	Syap.g_01578	Pras.g_01096
OG0000463	Syap.g_01579	Pras.g_01097
OG0000464	Syap.g_01580	Pras.g_01098
OG0000465	Syap.g_01582	Pras.g_01099
OG0000466	Syap.g_01587	Pras.g_01102
OG0000467	Syap.g_01588	Pras.g_01103
OG0000468	Syap.g_01593	Pras.g_01105
OG0000469	Syap.g_02352	Pras.g_01114
OG0000470	Syap.g_02349	Pras.g_01116
OG0000471	Syap.g_02348	Pras.g_01117
OG0000472	Syap.g_02347	Pras.g_01118
OG0000473	Syap.g_02343	Pras.g_01120
OG0000474	Syap.g_02342	Pras.g_01121
OG0000475	Syap.g_02341	Pras.g_01122
OG0000476	Syap.g_02339	Pras.g_01123
OG0000477	Syap.g_01367	Pras.g_01127
OG0000478	Syap.g_01366	Pras.g_01128
OG0000479	Syap.g_01364	Pras.g_01129
OG0000480	Syap.g_01357	Pras.g_01134
OG0000482	Syap.g_01355	Pras.g_01137
OG0000483	Syap.g_01344	Pras.g_01140
OG0000484	Syap.g_01350	Pras.g_01141
OG0000485	Syap.g_01349	Pras.g_01142
OG0000487	Syap.g_01635	Pras.g_01146
OG0000488	Syap.g_01639	Pras.g_01149
OG0000489	Syap.g_02482	Pras.g_01155
OG0000490	Syap.g_01673	Pras.g_01160
OG0000491	Syap.g_01670	Pras.g_01161
OG0000492	Syap.g_01668	Pras.g_01163
OG0000493	Syap.g_01667	Pras.g_01164
OG0000494	Syap.g_01666	Pras.g_01165
OG0000495	Syap.g_01665	Pras.g_01166
OG0000496	Syap.g_01663	Pras.g_01167
OG0000497	Syap.g_01662	Pras.g_01168
OG0000498	Syap.g_01661	Pras.g_01169
OG0000499	Syap.g_01660	Pras.g_01170
OG0000500	Syap.g_01659	Pras.g_01171
OG0000501	Syap.g_01656	Pras.g_01173
OG0000502	Syap.g_02066	Pras.g_01176
OG0000503	Syap.g_00569	Pras.g_01187
OG0000504	Syap.g_00567	Pras.g_01188
OG0000505	Syap.g_00566	Pras.g_01189
OG0000506	Syap.g_00564	Pras.g_01191
OG0000507	Syap.g_00558	Pras.g_01194
OG0000508	Syap.g_00554	Pras.g_01198
OG0000509	Syap.g_00551	Pras.g_01200
OG0000510	Syap.g_00550	Pras.g_01201
OG0000511	Syap.g_00548	Pras.g_01202
OG0000512	Syap.g_02145	Pras.g_01204
OG0000513	Syap.g_02048	Pras.g_01211
OG0000514	Syap.g_02051	Pras.g_01309
OG0000515	Syap.g_02052	Pras.g_01310
OG0000516	Syap.g_02054	Pras.g_01311
OG0000517	Syap.g_02057	Pras.g_01313
OG0000519	Syap.g_00457	Pras.g_01325
OG0000520	Syap.g_00456	Pras.g_01326
OG0000521	Syap.g_01997	Pras.g_01331
OG0000522	Syap.g_01995	Pras.g_01332
OG0000523	Syap.g_02507	Pras.g_01333
OG0000524	Syap.g_02135	Pras.g_01339
OG0000525	Syap.g_02159	Pras.g_01342
OG0000526	Syap.g_02157	Pras.g_01343
OG0000527	Syap.g_02758	Pras.g_01351
OG0000528	Syap.g_02261	Pras.g_01356
OG0000529	Syap.g_02254	Pras.g_01359
OG0000530	Syap.g_02252	Pras.g_01362
OG0000531	Syap.g_02251	Pras.g_01363
OG0000532	Syap.g_02247	Pras.g_01365
OG0000533	Syap.g_02244	Pras.g_01366
OG0000534	Syap.g_02243	Pras.g_01367
OG0000535	Syap.g_02242	Pras.g_01368
OG0000536	Syap.g_02241	Pras.g_01369
OG0000537	Syap.g_02240	Pras.g_01370
OG0000538	Syap.g_00271	Pras.g_01378
OG0000539	Syap.g_00270	Pras.g_01379
OG0000540	Syap.g_00269	Pras.g_01380
OG0000541	Syap.g_00268	Pras.g_01381
OG0000542	Syap.g_00264	Pras.g_01383
OG0000543	Syap.g_00261	Pras.g_01385
OG0000544	Syap.g_00260	Pras.g_01386
OG0000545	Syap.g_00259	Pras.g_01388
OG0000546	Syap.g_00256	Pras.g_01391
OG0000547	Syap.g_00254	Pras.g_01393
OG0000548	Syap.g_00253	Pras.g_01394
OG0000549	Syap.g_00758	Pras.g_01396
OG0000550	Syap.g_02747	Pras.g_01401
OG0000551	Syap.g_02739	Pras.g_01404
OG0000552	Syap.g_02738	Pras.g_01405
OG0000553	Syap.g_02735	Pras.g_01406
OG0000554	Syap.g_01450	Pras.g_01411
OG0000555	Syap.g_01941	Pras.g_01419
OG0000556	Syap.g_01933	Pras.g_01421
OG0000557	Syap.g_01931	Pras.g_01422
OG0000558	Syap.g_01147	Pras.g_01424
OG0000560	Syap.g_00305	Pras.g_01431
OG0000561	Syap.g_00304	Pras.g_01432
OG0000562	Syap.g_00302	Pras.g_01433
OG0000563	Syap.g_00301	Pras.g_01434
OG0000564	Syap.g_00300	Pras.g_01435
OG0000565	Syap.g_00296	Pras.g_01438
OG0000566	Syap.g_00291	Pras.g_01440
OG0000567	Syap.g_01297	Pras.g_01444
OG0000568	Syap.g_01302	Pras.g_01445
OG0000569	Syap.g_01303	Pras.g_01446
OG0000570	Syap.g_01304	Pras.g_01447
OG0000571	Syap.g_01307	Pras.g_01449
OG0000573	Syap.g_00765	Pras.g_01468
OG0000574	Syap.g_00759	Pras.g_01469
OG0000575	Syap.g_00445	Pras.g_01473
OG0000576	Syap.g_00450	Pras.g_01475
OG0000577	Syap.g_00451	Pras.g_01476
OG0000578	Syap.g_00452	Pras.g_01477
OG0000579	Syap.g_00453	Pras.g_01478
OG0000580	Syap.g_00454	Pras.g_01479
OG0000581	Syap.g_01521	Pras.g_01481
OG0000582	Syap.g_01533	Pras.g_01484
OG0000583	Syap.g_01532	Pras.g_01485
OG0000584	Syap.g_01530	Pras.g_01486
OG0000585	Syap.g_01526	Pras.g_01488
OG0000586	Syap.g_01525	Pras.g_01489
OG0000587	Syap.g_01523	Pras.g_01490
OG0000588	Syap.g_00776	Pras.g_01494
OG0000589	Syap.g_00941	Pras.g_01497
OG0000590	Syap.g_00940	Pras.g_01498
OG0000591	Syap.g_01289	Pras.g_01501
OG0000592	Syap.g_01288	Pras.g_01502
OG0000593	Syap.g_00890	Pras.g_01508
OG0000594	Syap.g_00891	Pras.g_01509
OG0000595	Syap.g_00892	Pras.g_01510
OG0000596	Syap.g_00898	Pras.g_01514
OG0000597	Syap.g_00903	Pras.g_01516
OG0000598	Syap.g_00904	Pras.g_01517
OG0000599	Syap.g_00908	Pras.g_01520
OG0000600	Syap.g_00909	Pras.g_01521
OG0000601	Syap.g_00910	Pras.g_01522
OG0000602	Syap.g_00640	Pras.g_01524
