Orthogroup	Syap	Prbm
OG0000108	Syap.g_00733, Syap.g_02255	Prbm.g_00506
OG0000109	Syap.g_00279, Syap.g_02237	Prbm.g_00519
OG0000110	Syap.g_01313	Prbm.g_00607
OG0000111	Syap.g_01566, Syap.g_01568	Prbm.g_00736
OG0000112	Syap.g_02023	Prbm.g_00980
OG0000113	Syap.g_02714	Prbm.g_00838, Prbm.g_01191
OG0000114	Syap.g_01255	Prbm.g_00929
OG0000115	Syap.g_02004	Prbm.g_01803
OG0000116	Syap.g_00241	Prbm.g_01560
OG0000117	Syap.g_01889	Prbm.g_01522
OG0000118	Syap.g_02286	Prbm.g_01622
OG0000120	Syap.g_02075	Prbm.g_00707
OG0000121	Syap.g_02471	Prbm.g_01712
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prbm.g_02040
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prbm.g_02111
OG0000125	Syap.g_01046, Syap.g_01047	Prbm.g_02176
OG0000126	Syap.g_02317, Syap.g_02576, Syap.g_02316	Prbm.g_02228
OG0000128	Syap.g_00069	Prbm.g_00011
OG0000129	Syap.g_00130, Syap.g_00129	Prbm.g_00053
OG0000130	Syap.g_01688, Syap.g_01689	Prbm.g_00126
OG0000131	Syap.g_02189	Prbm.g_00204
OG0000132	Syap.g_01205	Prbm.g_00223
OG0000133	Syap.g_02017	Prbm.g_00377
OG0000134	Syap.g_02047	Prbm.g_00425
OG0000135	Syap.g_02090	Prbm.g_01389
OG0000136	Syap.g_00089	Prbm.g_00451
OG0000137	Syap.g_02756	Prbm.g_00500
OG0000138	Syap.g_00278	Prbm.g_00520
OG0000139	Syap.g_00410	Prbm.g_00570
OG0000140	Syap.g_01976	Prbm.g_00571
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prbm.g_00638
OG0000142	Syap.g_00895, Syap.g_00894	Prbm.g_00666
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prbm.g_00670
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prbm.g_00683
OG0000145	Syap.g_01860, Syap.g_01859	Prbm.g_01094
OG0000146	Syap.g_02024	Prbm.g_00979
OG0000147	Syap.g_02025	Prbm.g_00978
OG0000148	Syap.g_02720	Prbm.g_00832
OG0000149	Syap.g_00824	Prbm.g_00862
OG0000150	Syap.g_01540	Prbm.g_00870
OG0000151	Syap.g_00142	Prbm.g_00940
OG0000152	Syap.g_02012	Prbm.g_00988
OG0000153	Syap.g_02682	Prbm.g_01006
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prbm.g_01035
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prbm.g_01527
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prbm.g_01600
OG0000157	Syap.g_00249, Syap.g_00286	Prbm.g_01601
OG0000158	Syap.g_01075	Prbm.g_02077
OG0000159	Syap.g_00852	Prbm.g_02133, Prbm.g_02115
OG0000160	Syap.g_02470, Syap.g_02469	Prbm.g_01711
OG0000161	Syap.g_02476	Prbm.g_01717
OG0000162	Syap.g_02531	Prbm.g_01723
OG0000164	Syap.g_01391, Syap.g_01392	Prbm.g_01863
OG0000165	Syap.g_01381, Syap.g_01382	Prbm.g_01871
OG0000166	Syap.g_00512, Syap.g_01238	Prbm.g_01996
OG0000167	Syap.g_02080	Prbm.g_02067
OG0000168	Syap.g_01076	Prbm.g_02078
OG0000169	Syap.g_01049, Syap.g_01093	Prbm.g_02088
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prbm.g_02090
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prbm.g_02110
OG0000172	Syap.g_01143, Syap.g_00635	Prbm.g_02146
OG0000173	Syap.g_00982, Syap.g_00983	Prbm.g_02161
OG0000174	Syap.g_02092	Prbm.g_02192
OG0000175	Syap.g_02654	Prbm.g_02209
OG0000176	Syap.g_00059	Prbm.g_00004
OG0000177	Syap.g_00061, Syap.g_00060	Prbm.g_00005
OG0000178	Syap.g_00062	Prbm.g_00006
OG0000179	Syap.g_00077, Syap.g_02638	Prbm.g_00016
OG0000180	Syap.g_00078, Syap.g_02640	Prbm.g_00017
OG0000181	Syap.g_00079, Syap.g_02641	Prbm.g_00018
OG0000182	Syap.g_00080, Syap.g_02642	Prbm.g_00019
OG0000183	Syap.g_00084	Prbm.g_00023
OG0000184	Syap.g_01337	Prbm.g_00055
OG0000185	Syap.g_01322	Prbm.g_00058
OG0000186	Syap.g_01684	Prbm.g_00121
OG0000187	Syap.g_01686	Prbm.g_00122
OG0000188	Syap.g_02547	Prbm.g_00139
OG0000191	Syap.g_02233	Prbm.g_00177
OG0000192	Syap.g_02224	Prbm.g_00181
OG0000193	Syap.g_02187, Syap.g_02188	Prbm.g_00205
OG0000194	Syap.g_02183	Prbm.g_00208
OG0000195	Syap.g_02180	Prbm.g_00210
OG0000196	Syap.g_01208, Syap.g_02167	Prbm.g_00220
OG0000197	Syap.g_01207, Syap.g_02166	Prbm.g_00221
OG0000198	Syap.g_01206	Prbm.g_00222
OG0000199	Syap.g_01197	Prbm.g_00229
OG0000200	Syap.g_01181	Prbm.g_00243
OG0000201	Syap.g_02265	Prbm.g_00252
OG0000202	Syap.g_02264	Prbm.g_00253
OG0000203	Syap.g_01601	Prbm.g_00254
OG0000204	Syap.g_01602	Prbm.g_00255
OG0000205	Syap.g_01616	Prbm.g_00262
OG0000206	Syap.g_01628	Prbm.g_00266
OG0000207	Syap.g_01426, Syap.g_00424	Prbm.g_00268
OG0000208	Syap.g_00426, Syap.g_01425	Prbm.g_00269
OG0000209	Syap.g_01906	Prbm.g_00278
OG0000210	Syap.g_01905	Prbm.g_00279
OG0000211	Syap.g_01160	Prbm.g_00293
OG0000212	Syap.g_02664	Prbm.g_00301
OG0000213	Syap.g_00107, Syap.g_01599	Prbm.g_00317
OG0000214	Syap.g_02344, Syap.g_02345	Prbm.g_00325
OG0000215	Syap.g_01347, Syap.g_01629	Prbm.g_00349
OG0000216	Syap.g_01634	Prbm.g_00350
OG0000217	Syap.g_01638	Prbm.g_00353
OG0000218	Syap.g_01641, Syap.g_01640	Prbm.g_00355
OG0000219	Syap.g_01642, Syap.g_01643	Prbm.g_00356
OG0000220	Syap.g_01645	Prbm.g_00357
OG0000221	Syap.g_01646	Prbm.g_00358
OG0000222	Syap.g_01669	Prbm.g_00366
OG0000223	Syap.g_02072, Syap.g_02073	Prbm.g_00378
OG0000224	Syap.g_02064	Prbm.g_00380
OG0000225	Syap.g_00553, Syap.g_00552	Prbm.g_00411
OG0000226	Syap.g_02029, Syap.g_02144	Prbm.g_00415
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Prbm.g_00417
OG0000228	Syap.g_00116, Syap.g_02041	Prbm.g_00422
OG0000229	Syap.g_02059	Prbm.g_00446
OG0000230	Syap.g_02061	Prbm.g_00448
OG0000231	Syap.g_02533	Prbm.g_00459
OG0000232	Syap.g_02510, Syap.g_02511	Prbm.g_00484
OG0000233	Syap.g_02133	Prbm.g_00492
OG0000234	Syap.g_02755	Prbm.g_00501
OG0000235	Syap.g_00732, Syap.g_02258	Prbm.g_00505
OG0000236	Syap.g_02238	Prbm.g_00518
OG0000237	Syap.g_00262, Syap.g_00263	Prbm.g_00540
OG0000238	Syap.g_00257, Syap.g_00258	Prbm.g_00546
OG0000239	Syap.g_02744	Prbm.g_00558
OG0000240	Syap.g_02742	Prbm.g_00559
OG0000241	Syap.g_00888	Prbm.g_00563
OG0000242	Syap.g_01455	Prbm.g_00565
OG0000243	Syap.g_01938	Prbm.g_00576
OG0000244	Syap.g_01146, Syap.g_01145	Prbm.g_00579
OG0000245	Syap.g_01148	Prbm.g_00581
OG0000246	Syap.g_00308	Prbm.g_00585
OG0000247	Syap.g_00288, Syap.g_00293	Prbm.g_00595
OG0000248	Syap.g_00290	Prbm.g_00597
OG0000249	Syap.g_01296, Syap.g_01295	Prbm.g_00599
OG0000250	Syap.g_01306	Prbm.g_00604
OG0000251	Syap.g_00442	Prbm.g_00620
OG0000252	Syap.g_01857	Prbm.g_00623
OG0000253	Syap.g_00443	Prbm.g_00625
OG0000254	Syap.g_01527, Syap.g_01528	Prbm.g_00642
OG0000256	Syap.g_01287	Prbm.g_00658
OG0000257	Syap.g_00886	Prbm.g_00661
OG0000258	Syap.g_00907	Prbm.g_00674
OG0000260	Syap.g_01970	Prbm.g_00694
OG0000261	Syap.g_01962, Syap.g_01961	Prbm.g_00697
OG0000262	Syap.g_01954	Prbm.g_00702
OG0000263	Syap.g_00432, Syap.g_00433	Prbm.g_00716
OG0000266	Syap.g_00519	Prbm.g_00752
OG0000267	Syap.g_02333, Syap.g_02332	Prbm.g_00765
OG0000268	Syap.g_00646	Prbm.g_00766
OG0000269	Syap.g_00188	Prbm.g_00809
OG0000270	Syap.g_00192	Prbm.g_00812
OG0000271	Syap.g_00200, Syap.g_00201	Prbm.g_00820
OG0000272	Syap.g_00202	Prbm.g_00821
OG0000273	Syap.g_02703	Prbm.g_00845
OG0000274	Syap.g_02702	Prbm.g_00846
OG0000275	Syap.g_01847	Prbm.g_00848
OG0000276	Syap.g_01838, Syap.g_01839	Prbm.g_00854
OG0000277	Syap.g_01837	Prbm.g_00855
OG0000278	Syap.g_01834	Prbm.g_00858
OG0000279	Syap.g_00829, Syap.g_00830	Prbm.g_00865
OG0000281	Syap.g_01977	Prbm.g_00871
OG0000282	Syap.g_01252	Prbm.g_00931
OG0000283	Syap.g_01728	Prbm.g_00962
OG0000284	Syap.g_01736	Prbm.g_00967
OG0000285	Syap.g_01746, Syap.g_01744	Prbm.g_00972
OG0000286	Syap.g_02014, Syap.g_02013	Prbm.g_00987
OG0000288	Syap.g_02764, Syap.g_02763	Prbm.g_01034
OG0000289	Syap.g_02784	Prbm.g_01045
OG0000290	Syap.g_01552	Prbm.g_01061
OG0000292	Syap.g_02314	Prbm.g_01210
OG0000293	Syap.g_00240	Prbm.g_01559
OG0000294	Syap.g_00239	Prbm.g_01558
OG0000295	Syap.g_00206	Prbm.g_01534
OG0000296	Syap.g_00204	Prbm.g_01532
OG0000299	Syap.g_02620	Prbm.g_01503
OG0000302	Syap.g_02444, Syap.g_02445	Prbm.g_01497
OG0000303	Syap.g_02435	Prbm.g_01492
OG0000304	Syap.g_02430	Prbm.g_01489
OG0000305	Syap.g_01557	Prbm.g_01812
OG0000306	Syap.g_01966	Prbm.g_00875
OG0000307	Syap.g_02517	Prbm.g_01669
OG0000308	Syap.g_02514, Syap.g_02515	Prbm.g_01670
OG0000309	Syap.g_02198, Syap.g_02446	Prbm.g_01674
OG0000310	Syap.g_02660, Syap.g_02661	Prbm.g_01694
OG0000311	Syap.g_02657	Prbm.g_01696
OG0000312	Syap.g_02114	Prbm.g_01699
OG0000313	Syap.g_02473	Prbm.g_01714
OG0000315	Syap.g_00017	Prbm.g_01745
OG0000316	Syap.g_00030	Prbm.g_01770
OG0000317	Syap.g_00618	Prbm.g_01839
OG0000318	Syap.g_00622, Syap.g_02786	Prbm.g_01842
OG0000319	Syap.g_01764, Syap.g_01771	Prbm.g_01853
OG0000320	Syap.g_01761, Syap.g_01769	Prbm.g_01855
OG0000321	Syap.g_01760, Syap.g_01768	Prbm.g_01856
OG0000322	Syap.g_01759, Syap.g_01767	Prbm.g_01857
OG0000323	Syap.g_01389	Prbm.g_01866
OG0000324	Syap.g_01503	Prbm.g_01893
OG0000325	Syap.g_02680	Prbm.g_01950
OG0000326	Syap.g_00544	Prbm.g_01956
OG0000327	Syap.g_01233, Syap.g_01913	Prbm.g_01991
OG0000328	Syap.g_01234, Syap.g_01912	Prbm.g_01992
OG0000329	Syap.g_00498	Prbm.g_02009
OG0000330	Syap.g_00497	Prbm.g_02010
OG0000331	Syap.g_00496	Prbm.g_02011
OG0000332	Syap.g_00481	Prbm.g_02025
OG0000333	Syap.g_00478	Prbm.g_02027
OG0000334	Syap.g_00468	Prbm.g_02036
OG0000335	Syap.g_00101, Syap.g_00463	Prbm.g_02041
OG0000336	Syap.g_00417, Syap.g_00607	Prbm.g_02045
OG0000337	Syap.g_01054	Prbm.g_02064
OG0000338	Syap.g_01059	Prbm.g_02065
OG0000339	Syap.g_01068	Prbm.g_02070
OG0000340	Syap.g_01077	Prbm.g_02079
OG0000341	Syap.g_01079	Prbm.g_02081
OG0000342	Syap.g_01080, Syap.g_02477	Prbm.g_02082
OG0000343	Syap.g_01086, Syap.g_02078	Prbm.g_02083
OG0000344	Syap.g_01091	Prbm.g_02086
OG0000345	Syap.g_01107, Syap.g_01470	Prbm.g_02091
OG0000346	Syap.g_01113	Prbm.g_02095
OG0000347	Syap.g_01131, Syap.g_02459	Prbm.g_02114
OG0000348	Syap.g_00632	Prbm.g_02149
OG0000349	Syap.g_00110, Syap.g_01813	Prbm.g_02167
OG0000351	Syap.g_02594	Prbm.g_02212
OG0000352	Syap.g_02596, Syap.g_02597	Prbm.g_02213
OG0000353	Syap.g_00054	Prbm.g_02232
OG0000354	Syap.g_00075, Syap.g_02635	Prbm.g_01220
OG0000355	Syap.g_00056	Prbm.g_00001
OG0000356	Syap.g_00057	Prbm.g_00002
OG0000357	Syap.g_00058	Prbm.g_00003
OG0000358	Syap.g_00063	Prbm.g_00007
OG0000359	Syap.g_00065	Prbm.g_00008
OG0000360	Syap.g_00067	Prbm.g_00009
OG0000361	Syap.g_00068	Prbm.g_00010
OG0000362	Syap.g_00070	Prbm.g_00012
OG0000363	Syap.g_00072	Prbm.g_00014
OG0000364	Syap.g_00620	Prbm.g_00015
OG0000365	Syap.g_00081	Prbm.g_00020
OG0000366	Syap.g_00082	Prbm.g_00021
OG0000367	Syap.g_00083	Prbm.g_00022
OG0000368	Syap.g_00085	Prbm.g_00024
OG0000369	Syap.g_00086	Prbm.g_00025
OG0000370	Syap.g_00087	Prbm.g_00026
OG0000372	Syap.g_01805	Prbm.g_00033
OG0000373	Syap.g_01806	Prbm.g_00034
OG0000374	Syap.g_01807	Prbm.g_00035
OG0000375	Syap.g_01808	Prbm.g_00049
OG0000376	Syap.g_01811	Prbm.g_00051
OG0000377	Syap.g_00128	Prbm.g_00054
OG0000378	Syap.g_01326	Prbm.g_00056
OG0000380	Syap.g_01687	Prbm.g_00123
OG0000381	Syap.g_01690	Prbm.g_00127
OG0000382	Syap.g_02548	Prbm.g_00138
OG0000383	Syap.g_02359	Prbm.g_00140
OG0000384	Syap.g_02360	Prbm.g_00141
OG0000385	Syap.g_02361	Prbm.g_00142
OG0000386	Syap.g_02362	Prbm.g_00143
OG0000387	Syap.g_01864	Prbm.g_00156
OG0000391	Syap.g_02234	Prbm.g_00176
OG0000392	Syap.g_02225	Prbm.g_00179
OG0000393	Syap.g_02222	Prbm.g_00182
OG0000394	Syap.g_02221	Prbm.g_00183
OG0000395	Syap.g_02220	Prbm.g_00184
OG0000396	Syap.g_02217	Prbm.g_00187
OG0000397	Syap.g_02215	Prbm.g_00189
OG0000398	Syap.g_02211	Prbm.g_00192
OG0000399	Syap.g_02210	Prbm.g_00193
OG0000400	Syap.g_02209	Prbm.g_00194
OG0000401	Syap.g_02208	Prbm.g_00195
OG0000402	Syap.g_02206	Prbm.g_01096
OG0000403	Syap.g_02205	Prbm.g_00196
OG0000404	Syap.g_02204, Syap.g_02618	Prbm.g_00197
OG0000405	Syap.g_02191	Prbm.g_00202
OG0000406	Syap.g_02186	Prbm.g_00206
OG0000407	Syap.g_02185	Prbm.g_00207
OG0000408	Syap.g_02181, Syap.g_02182	Prbm.g_00209
OG0000409	Syap.g_02179	Prbm.g_00211
OG0000410	Syap.g_02178	Prbm.g_00212
OG0000411	Syap.g_02177	Prbm.g_00213
OG0000412	Syap.g_02176	Prbm.g_00214
OG0000413	Syap.g_02174	Prbm.g_00215
OG0000414	Syap.g_02173	Prbm.g_00216
OG0000415	Syap.g_02172	Prbm.g_00217
OG0000416	Syap.g_02171	Prbm.g_00218
OG0000417	Syap.g_02169	Prbm.g_00219
OG0000418	Syap.g_01204	Prbm.g_00224
OG0000419	Syap.g_01201	Prbm.g_00226
OG0000420	Syap.g_01199	Prbm.g_00227
OG0000421	Syap.g_01195	Prbm.g_00232
OG0000422	Syap.g_01194	Prbm.g_00233
OG0000423	Syap.g_01193	Prbm.g_00234
OG0000424	Syap.g_01192	Prbm.g_00235
OG0000425	Syap.g_01191	Prbm.g_00236
OG0000426	Syap.g_01190	Prbm.g_00237
OG0000427	Syap.g_01189	Prbm.g_00238
OG0000428	Syap.g_01186	Prbm.g_00240
OG0000429	Syap.g_01184	Prbm.g_00241
OG0000430	Syap.g_01182	Prbm.g_00242
OG0000431	Syap.g_01179	Prbm.g_00244
OG0000432	Syap.g_02277	Prbm.g_00248
OG0000433	Syap.g_02272	Prbm.g_00249
OG0000434	Syap.g_02271	Prbm.g_00250
OG0000435	Syap.g_02268	Prbm.g_00251
OG0000436	Syap.g_01607	Prbm.g_00256
OG0000437	Syap.g_01608	Prbm.g_00257
OG0000438	Syap.g_01612	Prbm.g_00258
OG0000439	Syap.g_01614	Prbm.g_00260
OG0000440	Syap.g_01615	Prbm.g_00261
OG0000441	Syap.g_01619	Prbm.g_00263
OG0000442	Syap.g_01620	Prbm.g_00264
OG0000443	Syap.g_01622	Prbm.g_00265
OG0000444	Syap.g_01424	Prbm.g_00270
OG0000445	Syap.g_01421	Prbm.g_00271
OG0000446	Syap.g_01419	Prbm.g_00272
OG0000447	Syap.g_01410	Prbm.g_00273
OG0000448	Syap.g_01407	Prbm.g_00274
OG0000449	Syap.g_01406	Prbm.g_00275
OG0000450	Syap.g_01909	Prbm.g_00276
OG0000451	Syap.g_01908	Prbm.g_00277
OG0000452	Syap.g_01904	Prbm.g_00280
OG0000453	Syap.g_01903	Prbm.g_00281
OG0000454	Syap.g_01902	Prbm.g_00282
OG0000455	Syap.g_01901	Prbm.g_00283
OG0000456	Syap.g_01900	Prbm.g_00284
OG0000457	Syap.g_01896	Prbm.g_00285
OG0000458	Syap.g_01895	Prbm.g_00286
OG0000459	Syap.g_01894	Prbm.g_00287
OG0000460	Syap.g_01159	Prbm.g_00295
OG0000461	Syap.g_01575	Prbm.g_00303
OG0000462	Syap.g_01578	Prbm.g_00305
OG0000463	Syap.g_01579	Prbm.g_00306
OG0000464	Syap.g_01580	Prbm.g_00307
OG0000465	Syap.g_01582	Prbm.g_00308
OG0000466	Syap.g_01587	Prbm.g_00309
OG0000467	Syap.g_01588	Prbm.g_00310
OG0000468	Syap.g_01593	Prbm.g_00312
OG0000469	Syap.g_02352	Prbm.g_00320
OG0000470	Syap.g_02349	Prbm.g_00322
OG0000471	Syap.g_02348	Prbm.g_00323
OG0000472	Syap.g_02347	Prbm.g_00324
OG0000473	Syap.g_02343	Prbm.g_00326
OG0000474	Syap.g_02342	Prbm.g_00327
OG0000475	Syap.g_02341	Prbm.g_00328
OG0000476	Syap.g_02339	Prbm.g_00330
OG0000477	Syap.g_01367	Prbm.g_00332
OG0000478	Syap.g_01366	Prbm.g_00333
OG0000479	Syap.g_01364	Prbm.g_00334
OG0000480	Syap.g_01357	Prbm.g_00339
OG0000482	Syap.g_01355	Prbm.g_00342
OG0000483	Syap.g_01344	Prbm.g_00345
OG0000484	Syap.g_01350	Prbm.g_00346
OG0000485	Syap.g_01349	Prbm.g_00347
OG0000487	Syap.g_01635	Prbm.g_00351
OG0000488	Syap.g_01639	Prbm.g_00354
OG0000489	Syap.g_02482	Prbm.g_00359
OG0000490	Syap.g_01673	Prbm.g_00364
OG0000491	Syap.g_01670	Prbm.g_00365
OG0000492	Syap.g_01668	Prbm.g_00367
OG0000493	Syap.g_01667	Prbm.g_00368
OG0000494	Syap.g_01666	Prbm.g_00369
OG0000495	Syap.g_01665	Prbm.g_00370
OG0000496	Syap.g_01663	Prbm.g_00371
OG0000497	Syap.g_01662	Prbm.g_00372
OG0000498	Syap.g_01661	Prbm.g_00373
OG0000499	Syap.g_01660	Prbm.g_00374
OG0000500	Syap.g_01659	Prbm.g_00375
OG0000501	Syap.g_01656	Prbm.g_00376
OG0000502	Syap.g_02066	Prbm.g_00379
OG0000503	Syap.g_00569	Prbm.g_00400
OG0000504	Syap.g_00567	Prbm.g_00402
OG0000505	Syap.g_00566	Prbm.g_00403
OG0000506	Syap.g_00564	Prbm.g_00404
OG0000507	Syap.g_00558	Prbm.g_00407
OG0000508	Syap.g_00554	Prbm.g_00410
OG0000509	Syap.g_00551	Prbm.g_00412
OG0000510	Syap.g_00550	Prbm.g_00413
OG0000511	Syap.g_00548	Prbm.g_00414
OG0000512	Syap.g_02145	Prbm.g_00416
OG0000513	Syap.g_02048	Prbm.g_00426
OG0000514	Syap.g_02051	Prbm.g_00440
OG0000515	Syap.g_02052	Prbm.g_00441
OG0000516	Syap.g_02054	Prbm.g_00442
OG0000517	Syap.g_02057	Prbm.g_00445
OG0000519	Syap.g_00457	Prbm.g_00457
OG0000520	Syap.g_00456	Prbm.g_00458
OG0000521	Syap.g_01997	Prbm.g_00480
OG0000522	Syap.g_01995	Prbm.g_00482
OG0000523	Syap.g_02507	Prbm.g_00483
OG0000524	Syap.g_02135	Prbm.g_00490
OG0000525	Syap.g_02159	Prbm.g_00494
OG0000526	Syap.g_02157	Prbm.g_00495
OG0000527	Syap.g_02758	Prbm.g_00498
OG0000528	Syap.g_02261	Prbm.g_00504
OG0000529	Syap.g_02254	Prbm.g_00507
OG0000530	Syap.g_02252	Prbm.g_00510
OG0000531	Syap.g_02251	Prbm.g_00511
OG0000532	Syap.g_02247	Prbm.g_00512
OG0000533	Syap.g_02244	Prbm.g_00513
OG0000534	Syap.g_02243	Prbm.g_00514
OG0000535	Syap.g_02242	Prbm.g_00515
OG0000536	Syap.g_02241	Prbm.g_00516
OG0000537	Syap.g_02240	Prbm.g_00517
OG0000538	Syap.g_00271	Prbm.g_00534
OG0000539	Syap.g_00270	Prbm.g_00535
OG0000540	Syap.g_00269	Prbm.g_00536
OG0000541	Syap.g_00268	Prbm.g_00537
OG0000542	Syap.g_00264	Prbm.g_00539
OG0000543	Syap.g_00261	Prbm.g_00541
OG0000544	Syap.g_00260	Prbm.g_00542
OG0000545	Syap.g_00259	Prbm.g_00544
OG0000546	Syap.g_00256	Prbm.g_00547
OG0000547	Syap.g_00254	Prbm.g_00549
OG0000548	Syap.g_00253	Prbm.g_00550
OG0000549	Syap.g_00758	Prbm.g_00553
OG0000550	Syap.g_02747	Prbm.g_00557
OG0000551	Syap.g_02739	Prbm.g_00560
OG0000552	Syap.g_02738	Prbm.g_00561
OG0000553	Syap.g_02735	Prbm.g_00562
OG0000554	Syap.g_01450	Prbm.g_00567
OG0000555	Syap.g_01941	Prbm.g_00575
OG0000556	Syap.g_01933	Prbm.g_00577
OG0000557	Syap.g_01931	Prbm.g_00578
OG0000558	Syap.g_01147	Prbm.g_00580
OG0000560	Syap.g_00305	Prbm.g_00587
OG0000561	Syap.g_00304	Prbm.g_00588
OG0000562	Syap.g_00302	Prbm.g_00589
OG0000563	Syap.g_00301	Prbm.g_00590
OG0000564	Syap.g_00300	Prbm.g_00591
OG0000565	Syap.g_00296	Prbm.g_00594
OG0000566	Syap.g_00291	Prbm.g_00596
OG0000567	Syap.g_01297	Prbm.g_00600
OG0000568	Syap.g_01302	Prbm.g_00601
OG0000569	Syap.g_01303	Prbm.g_00602
OG0000570	Syap.g_01304	Prbm.g_00603
OG0000571	Syap.g_01307	Prbm.g_00605
OG0000573	Syap.g_00765	Prbm.g_00621
OG0000574	Syap.g_00759	Prbm.g_00624
OG0000575	Syap.g_00445	Prbm.g_00627
OG0000576	Syap.g_00450	Prbm.g_00629
OG0000577	Syap.g_00451	Prbm.g_00630
OG0000578	Syap.g_00452	Prbm.g_00631
OG0000579	Syap.g_00453	Prbm.g_00632
OG0000580	Syap.g_00454	Prbm.g_00633
OG0000581	Syap.g_01521	Prbm.g_00636
OG0000582	Syap.g_01533	Prbm.g_00639
