Orthogroup	Syap	Praf
OG0000556	Syap.g_01933	Praf.g_00683
OG0000557	Syap.g_01931	Praf.g_00684
OG0000558	Syap.g_01147	Praf.g_00687
OG0000560	Syap.g_00305	Praf.g_00694
OG0000561	Syap.g_00304	Praf.g_00695
OG0000562	Syap.g_00302	Praf.g_00696
OG0000563	Syap.g_00301	Praf.g_00697
OG0000564	Syap.g_00300	Praf.g_00698
OG0000565	Syap.g_00296	Praf.g_00701
OG0000566	Syap.g_00291	Praf.g_00705
OG0000567	Syap.g_01297	Praf.g_00709
OG0000568	Syap.g_01302	Praf.g_00711
OG0000569	Syap.g_01303	Praf.g_00712
OG0000570	Syap.g_01304	Praf.g_00713
OG0000571	Syap.g_01307	Praf.g_00716
OG0000573	Syap.g_00765	Praf.g_00740
OG0000574	Syap.g_00759	Praf.g_00741
OG0000575	Syap.g_00445	Praf.g_00751
OG0000576	Syap.g_00450	Praf.g_00753
OG0000577	Syap.g_00451	Praf.g_00754
OG0000578	Syap.g_00452	Praf.g_00755
OG0000579	Syap.g_00453	Praf.g_00756
OG0000580	Syap.g_00454	Praf.g_00757
OG0000581	Syap.g_01521	Praf.g_00761
OG0000582	Syap.g_01533	Praf.g_00765
OG0000583	Syap.g_01532	Praf.g_00766
OG0000584	Syap.g_01530	Praf.g_00767
OG0000585	Syap.g_01526	Praf.g_00769
OG0000586	Syap.g_01525	Praf.g_00771
OG0000587	Syap.g_01523	Praf.g_00773
OG0000588	Syap.g_00776	Praf.g_01663
OG0000589	Syap.g_00941	Praf.g_01666
OG0000590	Syap.g_00940	Praf.g_01667
OG0000591	Syap.g_01289	Praf.g_01674
OG0000592	Syap.g_01288	Praf.g_01675
OG0000593	Syap.g_00890	Praf.g_01688
OG0000594	Syap.g_00891	Praf.g_01689
OG0000595	Syap.g_00892	Praf.g_01690
OG0000596	Syap.g_00898	Praf.g_01695
OG0000597	Syap.g_00903	Praf.g_01698
OG0000598	Syap.g_00904	Praf.g_01699
