Orthogroup	Syap	Prax
OG0000063	Syap.g_01796	Prax.g_00280
OG0000066	Syap.g_01972	Prax.g_00662
OG0000067	Syap.g_00194	Prax.g_00373
OG0000068	Syap.g_00108, Syap.g_00144	Prax.g_01863
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prax.g_00750
OG0000072	Syap.g_00555	Prax.g_01047
OG0000073	Syap.g_00273, Syap.g_01020	Prax.g_00702
OG0000075	Syap.g_01064, Syap.g_00664	Prax.g_01370
OG0000076	Syap.g_01111	Prax.g_01394
OG0000079	Syap.g_01589	Prax.g_00923
OG0000085	Syap.g_00611	Prax.g_01566
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prax.g_01079
OG0000088	Syap.g_01202	Prax.g_01052
OG0000089	Syap.g_00115, Syap.g_02042	Prax.g_00817
OG0000090	Syap.g_01451	Prax.g_00668
OG0000091	Syap.g_01861	Prax.g_00101
OG0000094	Syap.g_02781	Prax.g_01185
OG0000095	Syap.g_01556	Prax.g_01204
OG0000098	Syap.g_01975	Prax.g_01881
OG0000099	Syap.g_01385	Prax.g_01825
OG0000101	Syap.g_00472	Prax.g_01338
OG0000102	Syap.g_01116	Prax.g_01399
OG0000103	Syap.g_02607, Syap.g_02608	Prax.g_01478
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prax.g_01486
OG0000105	Syap.g_01369, Syap.g_01368	Prax.g_00901
OG0000107	Syap.g_02496	Prax.g_00790
OG0000108	Syap.g_00733, Syap.g_02255	Prax.g_00722
OG0000109	Syap.g_00279, Syap.g_02237	Prax.g_00707
OG0000110	Syap.g_01313	Prax.g_00035
OG0000111	Syap.g_01566, Syap.g_01568	Prax.g_00943
OG0000112	Syap.g_02023	Prax.g_00409
OG0000113	Syap.g_02714	Prax.g_00351
OG0000114	Syap.g_01255	Prax.g_00561
OG0000115	Syap.g_02004	Prax.g_00132
OG0000116	Syap.g_00241	Prax.g_00190
OG0000117	Syap.g_01889	Prax.g_01959
OG0000118	Syap.g_02286	Prax.g_01887
OG0000120	Syap.g_02075	Prax.g_01832
OG0000121	Syap.g_02471	Prax.g_01726
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prax.g_01345
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prax.g_01410
OG0000125	Syap.g_01046, Syap.g_01047	Prax.g_01447
OG0000126	Syap.g_02317, Syap.g_02576, Syap.g_02316	Prax.g_01485
OG0000128	Syap.g_00069	Prax.g_01974
OG0000129	Syap.g_00130, Syap.g_00129	Prax.g_00269
OG0000130	Syap.g_01688, Syap.g_01689	Prax.g_00640
OG0000131	Syap.g_02189	Prax.g_01073
OG0000132	Syap.g_01205	Prax.g_01054
OG0000133	Syap.g_02017	Prax.g_00853, Prax.g_00852, Prax.g_01783
OG0000134	Syap.g_02047	Prax.g_01573, Prax.g_00816
OG0000135	Syap.g_02090	Prax.g_00792
OG0000136	Syap.g_00089	Prax.g_00759
OG0000137	Syap.g_02756	Prax.g_00727
OG0000138	Syap.g_00278	Prax.g_00706
OG0000139	Syap.g_00410	Prax.g_00664
OG0000140	Syap.g_01976	Prax.g_00663
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prax.g_00066
OG0000142	Syap.g_00895, Syap.g_00894	Prax.g_00094
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prax.g_00098
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prax.g_00111
OG0000145	Syap.g_01860, Syap.g_01859	Prax.g_00413
OG0000146	Syap.g_02024	Prax.g_00408
OG0000147	Syap.g_02025	Prax.g_00407
OG0000148	Syap.g_02720	Prax.g_00357
OG0000149	Syap.g_00824	Prax.g_00326
OG0000150	Syap.g_01540	Prax.g_00318
OG0000151	Syap.g_00142	Prax.g_00571
OG0000152	Syap.g_02012	Prax.g_01129
OG0000153	Syap.g_02682	Prax.g_01148
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prax.g_01178
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prax.g_00220
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prax.g_01910
OG0000157	Syap.g_00249, Syap.g_00286	Prax.g_01909
OG0000158	Syap.g_01075	Prax.g_01780
OG0000159	Syap.g_00852	Prax.g_01824
OG0000160	Syap.g_02470, Syap.g_02469	Prax.g_01727
OG0000161	Syap.g_02476	Prax.g_01721
OG0000162	Syap.g_02531	Prax.g_01715
OG0000164	Syap.g_01391, Syap.g_01392	Prax.g_01535
OG0000165	Syap.g_01381, Syap.g_01382	Prax.g_01528
OG0000166	Syap.g_00512, Syap.g_01238	Prax.g_01302
OG0000167	Syap.g_02080	Prax.g_01368
OG0000168	Syap.g_01076	Prax.g_01378
OG0000169	Syap.g_01049, Syap.g_01093	Prax.g_01388
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prax.g_01390
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prax.g_01409
OG0000172	Syap.g_01143, Syap.g_00635	Prax.g_01418
OG0000173	Syap.g_00982, Syap.g_00983	Prax.g_01433
OG0000174	Syap.g_02092	Prax.g_01460
OG0000175	Syap.g_02654	Prax.g_01470
OG0000176	Syap.g_00059	Prax.g_01494
OG0000177	Syap.g_00061, Syap.g_00060	Prax.g_01495
OG0000178	Syap.g_00062	Prax.g_01496
OG0000179	Syap.g_00077, Syap.g_02638	Prax.g_00297
OG0000180	Syap.g_00078, Syap.g_02640	Prax.g_00296
OG0000181	Syap.g_00079, Syap.g_02641	Prax.g_00295
OG0000182	Syap.g_00080, Syap.g_02642	Prax.g_00294
OG0000183	Syap.g_00084	Prax.g_00290
OG0000184	Syap.g_01337	Prax.g_00621
OG0000185	Syap.g_01322	Prax.g_00624
OG0000186	Syap.g_01684	Prax.g_00635
OG0000187	Syap.g_01686	Prax.g_00636
OG0000188	Syap.g_02547	Prax.g_00653
OG0000191	Syap.g_02233	Prax.g_01101
OG0000192	Syap.g_02224	Prax.g_01097
OG0000193	Syap.g_02187, Syap.g_02188	Prax.g_01072
OG0000194	Syap.g_02183	Prax.g_01069
OG0000195	Syap.g_02180	Prax.g_01067
OG0000196	Syap.g_01208, Syap.g_02167	Prax.g_01057
OG0000197	Syap.g_01207, Syap.g_02166	Prax.g_01056
OG0000198	Syap.g_01206	Prax.g_01055
OG0000199	Syap.g_01197	Prax.g_01048
OG0000200	Syap.g_01181	Prax.g_01034
OG0000201	Syap.g_02265	Prax.g_01026
OG0000202	Syap.g_02264	Prax.g_01025
OG0000203	Syap.g_01601	Prax.g_01024
OG0000204	Syap.g_01602	Prax.g_01023
OG0000205	Syap.g_01616	Prax.g_01016
OG0000206	Syap.g_01628	Prax.g_01011
OG0000207	Syap.g_01426, Syap.g_00424	Prax.g_01009
OG0000208	Syap.g_00426, Syap.g_01425	Prax.g_01008
OG0000209	Syap.g_01906	Prax.g_00999
OG0000210	Syap.g_01905	Prax.g_00998
OG0000211	Syap.g_01160	Prax.g_00985
OG0000212	Syap.g_02664	Prax.g_00978
OG0000213	Syap.g_00107, Syap.g_01599	Prax.g_00918
OG0000214	Syap.g_02344, Syap.g_02345	Prax.g_00908
OG0000215	Syap.g_01347, Syap.g_01629	Prax.g_00883
OG0000216	Syap.g_01634	Prax.g_00881
OG0000217	Syap.g_01638	Prax.g_00878
OG0000218	Syap.g_01641, Syap.g_01640	Prax.g_00876
OG0000219	Syap.g_01642, Syap.g_01643	Prax.g_00875
OG0000220	Syap.g_01645	Prax.g_00874
OG0000221	Syap.g_01646	Prax.g_00873
OG0000222	Syap.g_01669	Prax.g_00865
OG0000223	Syap.g_02072, Syap.g_02073	Prax.g_00850
OG0000224	Syap.g_02064	Prax.g_00848
OG0000225	Syap.g_00553, Syap.g_00552	Prax.g_00827
OG0000226	Syap.g_02029, Syap.g_02144	Prax.g_00823
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Prax.g_00821
OG0000228	Syap.g_00116, Syap.g_02041	Prax.g_00818
OG0000229	Syap.g_02059	Prax.g_00764
OG0000230	Syap.g_02061	Prax.g_00762
OG0000231	Syap.g_02533	Prax.g_00751
OG0000232	Syap.g_02510, Syap.g_02511	Prax.g_00743
OG0000233	Syap.g_02133	Prax.g_00738
OG0000234	Syap.g_02755	Prax.g_00726
OG0000235	Syap.g_00732, Syap.g_02258	Prax.g_00723
OG0000236	Syap.g_02238	Prax.g_00708
OG0000237	Syap.g_00262, Syap.g_00263	Prax.g_00695
OG0000238	Syap.g_00257, Syap.g_00258	Prax.g_00689
OG0000239	Syap.g_02744	Prax.g_00676
OG0000240	Syap.g_02742	Prax.g_00675
OG0000241	Syap.g_00888	Prax.g_00671
OG0000242	Syap.g_01455	Prax.g_00669
OG0000243	Syap.g_01938	Prax.g_00004
OG0000244	Syap.g_01146, Syap.g_01145	Prax.g_00007
OG0000245	Syap.g_01148	Prax.g_00009
OG0000246	Syap.g_00308	Prax.g_00013
OG0000247	Syap.g_00288, Syap.g_00293	Prax.g_00023
OG0000248	Syap.g_00290	Prax.g_00025
OG0000249	Syap.g_01296, Syap.g_01295	Prax.g_00027
OG0000250	Syap.g_01306	Prax.g_00032
OG0000251	Syap.g_00442	Prax.g_00050
OG0000252	Syap.g_01857	Prax.g_00053
OG0000253	Syap.g_00443	Prax.g_00054
OG0000254	Syap.g_01527, Syap.g_01528	Prax.g_00070
OG0000256	Syap.g_01287	Prax.g_00086
OG0000257	Syap.g_00886	Prax.g_00089
OG0000258	Syap.g_00907	Prax.g_00102
OG0000260	Syap.g_01970	Prax.g_00122
OG0000261	Syap.g_01962, Syap.g_01961	Prax.g_00977
OG0000262	Syap.g_01954	Prax.g_00973
OG0000263	Syap.g_00432, Syap.g_00433	Prax.g_00961
OG0000266	Syap.g_00519	Prax.g_00475
OG0000267	Syap.g_02333, Syap.g_02332	Prax.g_00464
OG0000268	Syap.g_00646	Prax.g_00463
OG0000269	Syap.g_00188	Prax.g_00378
OG0000270	Syap.g_00192	Prax.g_00375
OG0000271	Syap.g_00200, Syap.g_00201	Prax.g_00367
OG0000272	Syap.g_00202	Prax.g_00366
OG0000273	Syap.g_02703	Prax.g_00343
OG0000274	Syap.g_02702	Prax.g_00342
OG0000275	Syap.g_01847	Prax.g_00339
OG0000276	Syap.g_01838, Syap.g_01839	Prax.g_00334
OG0000277	Syap.g_01837	Prax.g_00333
OG0000278	Syap.g_01834	Prax.g_00330
OG0000279	Syap.g_00829, Syap.g_00830	Prax.g_00323
OG0000280	Syap.g_00365	Prax.g_00322
OG0000281	Syap.g_01977	Prax.g_00317
OG0000282	Syap.g_01252	Prax.g_00563
OG0000283	Syap.g_01728	Prax.g_00597
OG0000284	Syap.g_01736	Prax.g_00602
OG0000285	Syap.g_01746, Syap.g_01744	Prax.g_00607
OG0000286	Syap.g_02014, Syap.g_02013	Prax.g_00619
OG0000288	Syap.g_02764, Syap.g_02763	Prax.g_01177
OG0000289	Syap.g_02784	Prax.g_01188
OG0000290	Syap.g_01552	Prax.g_01201
OG0000292	Syap.g_02314	Prax.g_01759, Prax.g_01254
OG0000293	Syap.g_00240	Prax.g_00191
OG0000294	Syap.g_00239	Prax.g_00192
OG0000295	Syap.g_00206	Prax.g_00212
OG0000296	Syap.g_00204	Prax.g_00214
OG0000299	Syap.g_02620	Prax.g_00240
OG0000302	Syap.g_02444, Syap.g_02445	Prax.g_00246
OG0000303	Syap.g_02435	Prax.g_00253
OG0000304	Syap.g_02430	Prax.g_00257
OG0000305	Syap.g_01557	Prax.g_01871
OG0000306	Syap.g_01966	Prax.g_01868
OG0000307	Syap.g_02517	Prax.g_01854
OG0000308	Syap.g_02514, Syap.g_02515	Prax.g_01853
OG0000309	Syap.g_02198, Syap.g_02446	Prax.g_01849
OG0000310	Syap.g_02660, Syap.g_02661	Prax.g_01748
OG0000311	Syap.g_02657	Prax.g_01746
OG0000312	Syap.g_02114	Prax.g_01743
OG0000313	Syap.g_02473	Prax.g_01724
OG0000315	Syap.g_00017	Prax.g_01691
OG0000316	Syap.g_00030	Prax.g_01671
OG0000317	Syap.g_00618	Prax.g_01561
OG0000318	Syap.g_00622, Syap.g_02786	Prax.g_01558
OG0000319	Syap.g_01764, Syap.g_01771	Prax.g_01545
OG0000320	Syap.g_01761, Syap.g_01769	Prax.g_01543
OG0000321	Syap.g_01760, Syap.g_01768	Prax.g_01542
OG0000322	Syap.g_01759, Syap.g_01767	Prax.g_01541
OG0000323	Syap.g_01389	Prax.g_01532
OG0000324	Syap.g_01503	Prax.g_01505
OG0000325	Syap.g_02680	Prax.g_01263
OG0000326	Syap.g_00544	Prax.g_01269
OG0000327	Syap.g_01233, Syap.g_01913	Prax.g_01297
OG0000328	Syap.g_01234, Syap.g_01912	Prax.g_01298
OG0000329	Syap.g_00498	Prax.g_01315
OG0000330	Syap.g_00497	Prax.g_01316
OG0000331	Syap.g_00496	Prax.g_01317
OG0000332	Syap.g_00481	Prax.g_01331
OG0000333	Syap.g_00478	Prax.g_01333
OG0000334	Syap.g_00468	Prax.g_01341
OG0000335	Syap.g_00101, Syap.g_00463	Prax.g_01346
OG0000336	Syap.g_00417, Syap.g_00607	Prax.g_01350
OG0000337	Syap.g_01054	Prax.g_01366
OG0000338	Syap.g_01059	Prax.g_01367
OG0000339	Syap.g_01068	Prax.g_01371
OG0000340	Syap.g_01077	Prax.g_01379
OG0000341	Syap.g_01079	Prax.g_01381
OG0000342	Syap.g_01080, Syap.g_02477	Prax.g_01382
OG0000343	Syap.g_01086, Syap.g_02078	Prax.g_01383
OG0000344	Syap.g_01091	Prax.g_01386
OG0000345	Syap.g_01107, Syap.g_01470	Prax.g_01391
OG0000346	Syap.g_01113	Prax.g_01395
OG0000347	Syap.g_01131, Syap.g_02459	Prax.g_01411
OG0000348	Syap.g_00632	Prax.g_01421
OG0000349	Syap.g_00110, Syap.g_01813	Prax.g_01438
OG0000351	Syap.g_02594	Prax.g_01473
OG0000352	Syap.g_02596, Syap.g_02597	Prax.g_01474
OG0000353	Syap.g_00054	Prax.g_01489
OG0000355	Syap.g_00056	Prax.g_01491
OG0000356	Syap.g_00057	Prax.g_01492
OG0000357	Syap.g_00058	Prax.g_01493
OG0000358	Syap.g_00063	Prax.g_01497
OG0000359	Syap.g_00065	Prax.g_01498
OG0000360	Syap.g_00067	Prax.g_01499
OG0000361	Syap.g_00068	Prax.g_01975
OG0000362	Syap.g_00070	Prax.g_01973
OG0000363	Syap.g_00072	Prax.g_00299
OG0000364	Syap.g_00620	Prax.g_00298
OG0000365	Syap.g_00081	Prax.g_00293
OG0000366	Syap.g_00082	Prax.g_00292
OG0000367	Syap.g_00083	Prax.g_00291
OG0000368	Syap.g_00085	Prax.g_00289
OG0000369	Syap.g_00086	Prax.g_00288
OG0000370	Syap.g_00087	Prax.g_00287
OG0000372	Syap.g_01805	Prax.g_00278
OG0000373	Syap.g_01806	Prax.g_00277
OG0000374	Syap.g_01807	Prax.g_00276
OG0000375	Syap.g_01808	Prax.g_00273
OG0000376	Syap.g_01811	Prax.g_00271
OG0000377	Syap.g_00128	Prax.g_00261
OG0000378	Syap.g_01326	Prax.g_00622
OG0000380	Syap.g_01687	Prax.g_00637
OG0000381	Syap.g_01690	Prax.g_00641
OG0000382	Syap.g_02548	Prax.g_00652
OG0000383	Syap.g_02359	Prax.g_00654
OG0000384	Syap.g_02360	Prax.g_00655
OG0000385	Syap.g_02361	Prax.g_00656
OG0000386	Syap.g_02362	Prax.g_00657
OG0000387	Syap.g_01864	Prax.g_01119
OG0000391	Syap.g_02234	Prax.g_01102
OG0000392	Syap.g_02225	Prax.g_01098
OG0000393	Syap.g_02222	Prax.g_01096
OG0000394	Syap.g_02221	Prax.g_01095
OG0000395	Syap.g_02220	Prax.g_01094
OG0000396	Syap.g_02217	Prax.g_01091
OG0000397	Syap.g_02215	Prax.g_01089
OG0000398	Syap.g_02211	Prax.g_01087
OG0000399	Syap.g_02210	Prax.g_01086
OG0000400	Syap.g_02209	Prax.g_01085
OG0000401	Syap.g_02208	Prax.g_01084
OG0000402	Syap.g_02206	Prax.g_01082
OG0000403	Syap.g_02205	Prax.g_01081
OG0000404	Syap.g_02204, Syap.g_02618	Prax.g_01080
OG0000405	Syap.g_02191	Prax.g_01076
OG0000406	Syap.g_02186	Prax.g_01071
OG0000407	Syap.g_02185	Prax.g_01070
OG0000408	Syap.g_02181, Syap.g_02182	Prax.g_01068
OG0000409	Syap.g_02179	Prax.g_01066
OG0000410	Syap.g_02178	Prax.g_01065
OG0000411	Syap.g_02177	Prax.g_01064
OG0000412	Syap.g_02176	Prax.g_01063
OG0000413	Syap.g_02174	Prax.g_01062
OG0000414	Syap.g_02173	Prax.g_01061
OG0000415	Syap.g_02172	Prax.g_01060
OG0000416	Syap.g_02171	Prax.g_01059
OG0000417	Syap.g_02169	Prax.g_01058
OG0000418	Syap.g_01204	Prax.g_01053
OG0000419	Syap.g_01201	Prax.g_01051
OG0000420	Syap.g_01199	Prax.g_01050
OG0000421	Syap.g_01195	Prax.g_01045
OG0000422	Syap.g_01194	Prax.g_01044
OG0000423	Syap.g_01193	Prax.g_01043
OG0000424	Syap.g_01192	Prax.g_01042
OG0000425	Syap.g_01191	Prax.g_01041
OG0000426	Syap.g_01190	Prax.g_01040
OG0000427	Syap.g_01189	Prax.g_01039
OG0000428	Syap.g_01186	Prax.g_01037
OG0000429	Syap.g_01184	Prax.g_01036
OG0000430	Syap.g_01182	Prax.g_01035
OG0000431	Syap.g_01179	Prax.g_01033
OG0000432	Syap.g_02277	Prax.g_01030
OG0000433	Syap.g_02272	Prax.g_01029
OG0000434	Syap.g_02271	Prax.g_01028
OG0000435	Syap.g_02268	Prax.g_01027
OG0000436	Syap.g_01607	Prax.g_01022
OG0000437	Syap.g_01608	Prax.g_01021
OG0000438	Syap.g_01612	Prax.g_01020
OG0000439	Syap.g_01614	Prax.g_01018
OG0000440	Syap.g_01615	Prax.g_01017
OG0000441	Syap.g_01619	Prax.g_01014
OG0000442	Syap.g_01620	Prax.g_01013
OG0000443	Syap.g_01622	Prax.g_01012
OG0000444	Syap.g_01424	Prax.g_01007
OG0000445	Syap.g_01421	Prax.g_01006
OG0000446	Syap.g_01419	Prax.g_01005
OG0000447	Syap.g_01410	Prax.g_01004
OG0000448	Syap.g_01407	Prax.g_01003
OG0000449	Syap.g_01406	Prax.g_01002
OG0000450	Syap.g_01909	Prax.g_01001
OG0000451	Syap.g_01908	Prax.g_01000
OG0000452	Syap.g_01904	Prax.g_00997
OG0000453	Syap.g_01903	Prax.g_00996
OG0000454	Syap.g_01902	Prax.g_00995
OG0000455	Syap.g_01901	Prax.g_00994
OG0000456	Syap.g_01900	Prax.g_00993
OG0000457	Syap.g_01896	Prax.g_00992
OG0000458	Syap.g_01895	Prax.g_00991
OG0000459	Syap.g_01894	Prax.g_00990
OG0000460	Syap.g_01159	Prax.g_00983
OG0000461	Syap.g_01575	Prax.g_00933
OG0000462	Syap.g_01578	Prax.g_00931
OG0000463	Syap.g_01579	Prax.g_00930
OG0000464	Syap.g_01580	Prax.g_00929
OG0000465	Syap.g_01582	Prax.g_00928
OG0000466	Syap.g_01587	Prax.g_00925
OG0000467	Syap.g_01588	Prax.g_00924
OG0000468	Syap.g_01593	Prax.g_00922
OG0000469	Syap.g_02352	Prax.g_00913
OG0000470	Syap.g_02349	Prax.g_00911
OG0000471	Syap.g_02348	Prax.g_00910
OG0000472	Syap.g_02347	Prax.g_00909
OG0000473	Syap.g_02343	Prax.g_00907
OG0000474	Syap.g_02342	Prax.g_00906
OG0000475	Syap.g_02341	Prax.g_00905
OG0000476	Syap.g_02339	Prax.g_00904
OG0000477	Syap.g_01367	Prax.g_00900
OG0000478	Syap.g_01366	Prax.g_00899
OG0000479	Syap.g_01364	Prax.g_00898
OG0000480	Syap.g_01357	Prax.g_00893
OG0000482	Syap.g_01355	Prax.g_00890
OG0000483	Syap.g_01344	Prax.g_00887
OG0000484	Syap.g_01350	Prax.g_00886
OG0000485	Syap.g_01349	Prax.g_00885
OG0000487	Syap.g_01635	Prax.g_00880
OG0000488	Syap.g_01639	Prax.g_00877
OG0000489	Syap.g_02482	Prax.g_00872
OG0000490	Syap.g_01673	Prax.g_00867
OG0000491	Syap.g_01670	Prax.g_00866
OG0000492	Syap.g_01668	Prax.g_00864
OG0000493	Syap.g_01667	Prax.g_00863
OG0000494	Syap.g_01666	Prax.g_00862
OG0000495	Syap.g_01665	Prax.g_00861
OG0000496	Syap.g_01663	Prax.g_00860
OG0000497	Syap.g_01662	Prax.g_00859
OG0000498	Syap.g_01661	Prax.g_00858
OG0000499	Syap.g_01660	Prax.g_00857
OG0000500	Syap.g_01659	Prax.g_00856
OG0000501	Syap.g_01656	Prax.g_00854
OG0000502	Syap.g_02066	Prax.g_00849
OG0000503	Syap.g_00569	Prax.g_00839
OG0000504	Syap.g_00567	Prax.g_00838
OG0000505	Syap.g_00566	Prax.g_00837
OG0000506	Syap.g_00564	Prax.g_00835
OG0000507	Syap.g_00558	Prax.g_00832
OG0000508	Syap.g_00554	Prax.g_00828
OG0000509	Syap.g_00551	Prax.g_00826
OG0000510	Syap.g_00550	Prax.g_00825
OG0000511	Syap.g_00548	Prax.g_00824
OG0000512	Syap.g_02145	Prax.g_00822
OG0000513	Syap.g_02048	Prax.g_00815
OG0000514	Syap.g_02051	Prax.g_00769
OG0000515	Syap.g_02052	Prax.g_00768
OG0000516	Syap.g_02054	Prax.g_00767
OG0000517	Syap.g_02057	Prax.g_00765
OG0000519	Syap.g_00457	Prax.g_00753
OG0000520	Syap.g_00456	Prax.g_00752
OG0000521	Syap.g_01997	Prax.g_00747
OG0000522	Syap.g_01995	Prax.g_00746
OG0000523	Syap.g_02507	Prax.g_00745
OG0000524	Syap.g_02135	Prax.g_00740
OG0000525	Syap.g_02159	Prax.g_00737
OG0000526	Syap.g_02157	Prax.g_00736
OG0000527	Syap.g_02758	Prax.g_00729
OG0000528	Syap.g_02261	Prax.g_00724
OG0000529	Syap.g_02254	Prax.g_00721
OG0000530	Syap.g_02252	Prax.g_00718
OG0000531	Syap.g_02251	Prax.g_00717
OG0000532	Syap.g_02247	Prax.g_00715
OG0000533	Syap.g_02244	Prax.g_00714
OG0000534	Syap.g_02243	Prax.g_00713
OG0000535	Syap.g_02242	Prax.g_00712
OG0000536	Syap.g_02241	Prax.g_00711
OG0000537	Syap.g_02240	Prax.g_00709
OG0000538	Syap.g_00271	Prax.g_00701
OG0000539	Syap.g_00270	Prax.g_00700
OG0000540	Syap.g_00269	Prax.g_00699
OG0000541	Syap.g_00268	Prax.g_00698
OG0000542	Syap.g_00264	Prax.g_00696
OG0000543	Syap.g_00261	Prax.g_00694
OG0000544	Syap.g_00260	Prax.g_00693
OG0000545	Syap.g_00259	Prax.g_00691
OG0000546	Syap.g_00256	Prax.g_00688
OG0000547	Syap.g_00254	Prax.g_00686
OG0000548	Syap.g_00253	Prax.g_00685
OG0000549	Syap.g_00758	Prax.g_00683
OG0000550	Syap.g_02747	Prax.g_00678
OG0000551	Syap.g_02739	Prax.g_00674
OG0000552	Syap.g_02738	Prax.g_00673
OG0000553	Syap.g_02735	Prax.g_00672
OG0000554	Syap.g_01450	Prax.g_00667
OG0000555	Syap.g_01941	Prax.g_00003
OG0000556	Syap.g_01933	Prax.g_00005
OG0000557	Syap.g_01931	Prax.g_00006
OG0000558	Syap.g_01147	Prax.g_00008
OG0000560	Syap.g_00305	Prax.g_00015
OG0000561	Syap.g_00304	Prax.g_00016
OG0000562	Syap.g_00302	Prax.g_00017
OG0000563	Syap.g_00301	Prax.g_00018
OG0000564	Syap.g_00300	Prax.g_00019
OG0000565	Syap.g_00296	Prax.g_00022
OG0000566	Syap.g_00291	Prax.g_00024
OG0000567	Syap.g_01297	Prax.g_00028
OG0000568	Syap.g_01302	Prax.g_00029
OG0000569	Syap.g_01303	Prax.g_00030
OG0000570	Syap.g_01304	Prax.g_00031
OG0000571	Syap.g_01307	Prax.g_00033
OG0000573	Syap.g_00765	Prax.g_00051
OG0000574	Syap.g_00759	Prax.g_00052
OG0000575	Syap.g_00445	Prax.g_00056
OG0000576	Syap.g_00450	Prax.g_00058
OG0000577	Syap.g_00451	Prax.g_00059
OG0000578	Syap.g_00452	Prax.g_00060
OG0000579	Syap.g_00453	Prax.g_00061
OG0000580	Syap.g_00454	Prax.g_00062
OG0000581	Syap.g_01521	Prax.g_00064
OG0000582	Syap.g_01533	Prax.g_00067
OG0000583	Syap.g_01532	Prax.g_00068
OG0000584	Syap.g_01530	Prax.g_00069
OG0000585	Syap.g_01526	Prax.g_00071
OG0000586	Syap.g_01525	Prax.g_00072
OG0000587	Syap.g_01523	Prax.g_00073
OG0000588	Syap.g_00776	Prax.g_00077
OG0000589	Syap.g_00941	Prax.g_00080
OG0000590	Syap.g_00940	Prax.g_00081
OG0000591	Syap.g_01289	Prax.g_00084
OG0000592	Syap.g_01288	Prax.g_00085
OG0000593	Syap.g_00890	Prax.g_00091
OG0000594	Syap.g_00891	Prax.g_00092
OG0000595	Syap.g_00892	Prax.g_00093
OG0000596	Syap.g_00898	Prax.g_00097
OG0000597	Syap.g_00903	Prax.g_00099
OG0000598	Syap.g_00904	Prax.g_00100
OG0000599	Syap.g_00908	Prax.g_00103
OG0000600	Syap.g_00909	Prax.g_00104
OG0000601	Syap.g_00910	Prax.g_00105
OG0000602	Syap.g_00640	Prax.g_00107
OG0000603	Syap.g_00641	Prax.g_00108
OG0000604	Syap.g_02769	Prax.g_00109
