Orthogroup	Prbb	Syap
OG0000070	Prbb.g_00455	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Prbb.g_01586	Syap.g_01483
OG0000072	Prbb.g_00228	Syap.g_00555
OG0000073	Prbb.g_00503	Syap.g_00273
OG0000075	Prbb.g_02036	Syap.g_01064, Syap.g_00664
OG0000076	Prbb.g_02061	Syap.g_01111
OG0000077	Prbb.g_00133	Syap.g_00416
OG0000078	Prbb.g_00297	Syap.g_01149
OG0000079	Prbb.g_00308	Syap.g_01589
OG0000085	Prbb.g_01816	Syap.g_00611
OG0000087	Prbb.g_00196	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prbb.g_00223	Syap.g_01202
OG0000089	Prbb.g_00416	Syap.g_00115, Syap.g_02042
OG0000090	Prbb.g_00536	Syap.g_01451
OG0000091	Prbb.g_00643	Syap.g_01861
OG0000094	Prbb.g_00892	Syap.g_02781
OG0000095	Prbb.g_01070	Syap.g_01556
OG0000098	Prbb.g_01608	Syap.g_01975
OG0000099	Prbb.g_00388	Syap.g_01385
OG0000101	Prbb.g_02001	Syap.g_00472
OG0000102	Prbb.g_02066	Syap.g_01116
OG0000103	Prbb.g_02174	Syap.g_02607, Syap.g_02608
OG0000104	Prbb.g_02185	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prbb.g_00327	Syap.g_01369, Syap.g_01368
OG0000107	Prbb.g_01923	Syap.g_02496
OG0000108	Prbb.g_00484, Prbb.g_00485	Syap.g_02256, Syap.g_00733, Syap.g_02255
OG0000109	Prbb.g_00498	Syap.g_00279, Syap.g_02237
OG0000110	Prbb.g_00578	Syap.g_01313
OG0000111	Prbb.g_00707	Syap.g_01566, Syap.g_01568
OG0000112	Prbb.g_00983	Syap.g_02023
OG0000113	Prbb.g_00807, Prbb.g_01218	Syap.g_02714
OG0000114	Prbb.g_00932	Syap.g_01255
OG0000115	Prbb.g_01780	Syap.g_02004
OG0000116	Prbb.g_01528	Syap.g_00241
OG0000117	Prbb.g_01399	Syap.g_01889
OG0000118	Prbb.g_01598	Syap.g_02286
OG0000120	Prbb.g_00678	Syap.g_02075
OG0000121	Prbb.g_01688	Syap.g_02471
OG0000123	Prbb.g_02008	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000125	Prbb.g_02131	Syap.g_01046, Syap.g_01047
OG0000126	Prbb.g_02183	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000127	Prbb.g_01346	Syap.g_00736
OG0000128	Prbb.g_00012	Syap.g_00069
OG0000129	Prbb.g_00059	Syap.g_00130, Syap.g_00129
OG0000130	Prbb.g_00124	Syap.g_01688, Syap.g_01689
OG0000131	Prbb.g_00202	Syap.g_02189
OG0000132	Prbb.g_00221	Syap.g_01205
OG0000133	Prbb.g_00373	Syap.g_02017
OG0000134	Prbb.g_00418	Syap.g_02047
OG0000135	Prbb.g_01326	Syap.g_02090
OG0000136	Prbb.g_00446	Syap.g_00089
OG0000137	Prbb.g_00478	Syap.g_02756
OG0000138	Prbb.g_00499	Syap.g_00278
OG0000139	Prbb.g_00540	Syap.g_00410
OG0000140	Prbb.g_00541	Syap.g_01976
OG0000141	Prbb.g_00608	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prbb.g_00636	Syap.g_00895, Syap.g_00894
OG0000143	Prbb.g_00640	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prbb.g_00653	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prbb.g_01099	Syap.g_01860, Syap.g_01859
OG0000146	Prbb.g_00982	Syap.g_02024
OG0000147	Prbb.g_00981	Syap.g_02025
OG0000148	Prbb.g_00801	Syap.g_02720
OG0000149	Prbb.g_00832	Syap.g_00824
OG0000150	Prbb.g_00840	Syap.g_01540
OG0000151	Prbb.g_00943	Syap.g_00142
OG0000152	Prbb.g_00991	Syap.g_02012
OG0000153	Prbb.g_01009	Syap.g_02682
OG0000154	Prbb.g_01040	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prbb.g_01495	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prbb.g_01575	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prbb.g_01576	Syap.g_00249, Syap.g_00286
OG0000158	Prbb.g_02044	Syap.g_01075
OG0000159	Prbb.g_02093	Syap.g_00700
OG0000160	Prbb.g_01687	Syap.g_02470, Syap.g_02469
OG0000161	Prbb.g_01693	Syap.g_02476
OG0000162	Prbb.g_01699	Syap.g_02531
OG0000164	Prbb.g_01845	Syap.g_01391, Syap.g_01392
OG0000165	Prbb.g_01853	Syap.g_01381, Syap.g_01382
OG0000166	Prbb.g_01964	Syap.g_00512, Syap.g_01238
OG0000167	Prbb.g_02034	Syap.g_02080
OG0000168	Prbb.g_02045	Syap.g_01076
OG0000169	Prbb.g_02055	Syap.g_01049, Syap.g_01093
OG0000170	Prbb.g_02057	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Prbb.g_02078	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Prbb.g_02101	Syap.g_01143, Syap.g_00635
OG0000173	Prbb.g_02116	Syap.g_01213, Syap.g_00982, Syap.g_00983
OG0000174	Prbb.g_02147	Syap.g_02092
OG0000175	Prbb.g_02165	Syap.g_02654
OG0000176	Prbb.g_00004	Syap.g_00059
OG0000177	Prbb.g_00005	Syap.g_00061, Syap.g_00060
OG0000178	Prbb.g_00007, Prbb.g_00006	Syap.g_00062
OG0000179	Prbb.g_00017	Syap.g_00077, Syap.g_02638
OG0000180	Prbb.g_00018	Syap.g_00078, Syap.g_02640
OG0000181	Prbb.g_00019	Syap.g_00079, Syap.g_02641
OG0000182	Prbb.g_00020	Syap.g_00080, Syap.g_02642
OG0000183	Prbb.g_00024	Syap.g_00084
OG0000184	Prbb.g_00061	Syap.g_01337
OG0000185	Prbb.g_00064	Syap.g_01322
OG0000186	Prbb.g_00119	Syap.g_01684
OG0000187	Prbb.g_00120	Syap.g_01686
OG0000188	Prbb.g_00137	Syap.g_02547
OG0000191	Prbb.g_00175	Syap.g_02233
OG0000192	Prbb.g_00179	Syap.g_02224
OG0000193	Prbb.g_00203	Syap.g_02187, Syap.g_02188
OG0000194	Prbb.g_00206	Syap.g_02183
OG0000195	Prbb.g_00208	Syap.g_02180
OG0000196	Prbb.g_00218	Syap.g_01208, Syap.g_02167
OG0000197	Prbb.g_00219	Syap.g_01207, Syap.g_02166
OG0000198	Prbb.g_00220	Syap.g_01206
OG0000199	Prbb.g_00227	Syap.g_01197
OG0000200	Prbb.g_00240	Syap.g_01181
OG0000201	Prbb.g_00249	Syap.g_02265
OG0000202	Prbb.g_00250	Syap.g_02264
OG0000203	Prbb.g_00251	Syap.g_01601
OG0000204	Prbb.g_00252	Syap.g_01602
OG0000205	Prbb.g_00259	Syap.g_01616
OG0000206	Prbb.g_00263	Syap.g_01628
OG0000207	Prbb.g_00265	Syap.g_01426, Syap.g_00424
OG0000208	Prbb.g_00266	Syap.g_00426, Syap.g_01425
OG0000209	Prbb.g_00275	Syap.g_01906
OG0000210	Prbb.g_00276	Syap.g_01905
OG0000211	Prbb.g_00290	Syap.g_01160
OG0000212	Prbb.g_00298	Syap.g_02664
OG0000213	Prbb.g_00313	Syap.g_00107, Syap.g_01599
OG0000214	Prbb.g_00321	Syap.g_02344, Syap.g_02345
OG0000215	Prbb.g_00344	Syap.g_01347, Syap.g_01629
OG0000216	Prbb.g_00345	Syap.g_01634
OG0000217	Prbb.g_00348	Syap.g_01638
OG0000218	Prbb.g_00350	Syap.g_01641, Syap.g_01640
OG0000219	Prbb.g_00351	Syap.g_01642, Syap.g_01643
OG0000220	Prbb.g_00352	Syap.g_01645
OG0000221	Prbb.g_00353	Syap.g_01646
OG0000222	Prbb.g_00361	Syap.g_01669
OG0000223	Prbb.g_00374	Syap.g_02072, Syap.g_02073
OG0000224	Prbb.g_00376	Syap.g_02064
OG0000225	Prbb.g_00405	Syap.g_00553, Syap.g_00552
OG0000226	Prbb.g_00409	Syap.g_02029, Syap.g_02144
OG0000227	Prbb.g_00411	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Prbb.g_00415	Syap.g_00116, Syap.g_02041
OG0000229	Prbb.g_00441	Syap.g_02059
OG0000230	Prbb.g_00443	Syap.g_02061
OG0000231	Prbb.g_00454	Syap.g_02533
OG0000232	Prbb.g_00462	Syap.g_02510, Syap.g_02511
OG0000233	Prbb.g_00470	Syap.g_02133
OG0000234	Prbb.g_00479	Syap.g_02755
OG0000235	Prbb.g_00483	Syap.g_00732, Syap.g_02258
OG0000236	Prbb.g_00497	Syap.g_02238
OG0000237	Prbb.g_00510	Syap.g_00262, Syap.g_00263
OG0000238	Prbb.g_00516	Syap.g_00257, Syap.g_00258
OG0000239	Prbb.g_00528	Syap.g_02744
OG0000240	Prbb.g_00529	Syap.g_02742
OG0000241	Prbb.g_00533	Syap.g_00888
OG0000242	Prbb.g_00535	Syap.g_01455
OG0000243	Prbb.g_00546	Syap.g_01938
OG0000244	Prbb.g_00550	Syap.g_01146, Syap.g_01145
OG0000245	Prbb.g_00552	Syap.g_01148
OG0000246	Prbb.g_00556	Syap.g_00308
OG0000247	Prbb.g_00566	Syap.g_00288, Syap.g_00293
OG0000248	Prbb.g_00568	Syap.g_00290
OG0000249	Prbb.g_00570	Syap.g_01296, Syap.g_01295
OG0000250	Prbb.g_00575	Syap.g_01306
OG0000251	Prbb.g_00591	Syap.g_00442
OG0000252	Prbb.g_00593	Syap.g_01857
OG0000253	Prbb.g_00595	Syap.g_00443
OG0000254	Prbb.g_00612	Syap.g_01527, Syap.g_01528
OG0000256	Prbb.g_00628	Syap.g_01287
OG0000257	Prbb.g_00631	Syap.g_00886
OG0000258	Prbb.g_00644	Syap.g_00907
OG0000260	Prbb.g_00665	Syap.g_01970
OG0000261	Prbb.g_00668	Syap.g_01962, Syap.g_01961
OG0000262	Prbb.g_00673	Syap.g_01954
OG0000263	Prbb.g_00686	Syap.g_00432, Syap.g_00433
OG0000266	Prbb.g_00723	Syap.g_00519
OG0000267	Prbb.g_00736	Syap.g_02333, Syap.g_02332
OG0000268	Prbb.g_00737	Syap.g_00646
OG0000269	Prbb.g_00778	Syap.g_00188
OG0000270	Prbb.g_00781	Syap.g_00192
OG0000271	Prbb.g_00789	Syap.g_00200, Syap.g_00201
OG0000272	Prbb.g_00790	Syap.g_00202
OG0000273	Prbb.g_00814	Syap.g_02703
OG0000274	Prbb.g_00815	Syap.g_02702
OG0000275	Prbb.g_00817	Syap.g_01847
OG0000276	Prbb.g_00823	Syap.g_01839, Syap.g_01838
OG0000277	Prbb.g_00824	Syap.g_01837
OG0000278	Prbb.g_00828	Syap.g_01834
OG0000279	Prbb.g_00835	Syap.g_00829, Syap.g_00830
OG0000280	Prbb.g_01370	Syap.g_00365
OG0000281	Prbb.g_00841	Syap.g_01977
OG0000282	Prbb.g_00934	Syap.g_01252
OG0000283	Prbb.g_00965	Syap.g_01728
OG0000284	Prbb.g_00970	Syap.g_01736
OG0000285	Prbb.g_00975	Syap.g_01746, Syap.g_01744
OG0000286	Prbb.g_00990	Syap.g_02014, Syap.g_02013
OG0000288	Prbb.g_01039	Syap.g_02764, Syap.g_02763
OG0000289	Prbb.g_01051	Syap.g_02784
OG0000290	Prbb.g_01067	Syap.g_01552
OG0000291	Prbb.g_01069	Syap.g_01554
OG0000292	Prbb.g_01238	Syap.g_02314
OG0000293	Prbb.g_01527	Syap.g_00240
OG0000294	Prbb.g_01526	Syap.g_00239
OG0000295	Prbb.g_01502	Syap.g_00206
OG0000296	Prbb.g_01500	Syap.g_00204
OG0000297	Prbb.g_01491	Syap.g_01887
OG0000298	Prbb.g_01490	Syap.g_01888
OG0000299	Prbb.g_01471	Syap.g_02620
OG0000302	Prbb.g_01464	Syap.g_02444, Syap.g_02445
OG0000303	Prbb.g_01459	Syap.g_02435
OG0000304	Prbb.g_01456	Syap.g_02430
OG0000305	Prbb.g_01789	Syap.g_01557
OG0000306	Prbb.g_00845	Syap.g_01966
OG0000307	Prbb.g_01648	Syap.g_02517
OG0000308	Prbb.g_01649	Syap.g_02514, Syap.g_02515
OG0000309	Prbb.g_01653	Syap.g_02198, Syap.g_02446
OG0000310	Prbb.g_01671	Syap.g_02660, Syap.g_02661
OG0000311	Prbb.g_01673	Syap.g_02657
OG0000312	Prbb.g_01676	Syap.g_02114
OG0000313	Prbb.g_01690	Syap.g_02473
OG0000314	Prbb.g_01711	Syap.g_00007
OG0000315	Prbb.g_01721	Syap.g_00017
OG0000316	Prbb.g_01746	Syap.g_00030
OG0000317	Prbb.g_01821	Syap.g_00618
OG0000318	Prbb.g_01824	Syap.g_00622, Syap.g_02786
OG0000319	Prbb.g_01835	Syap.g_01764, Syap.g_01771
OG0000320	Prbb.g_01837	Syap.g_01761, Syap.g_01769
OG0000321	Prbb.g_01838	Syap.g_01760, Syap.g_01768
OG0000322	Prbb.g_01839	Syap.g_01759, Syap.g_01767
OG0000323	Prbb.g_01848	Syap.g_01389
OG0000324	Prbb.g_01875	Syap.g_01503
OG0000325	Prbb.g_01924	Syap.g_02680
OG0000326	Prbb.g_01930	Syap.g_00544
OG0000327	Prbb.g_01959	Syap.g_01233, Syap.g_01913
OG0000328	Prbb.g_01960	Syap.g_01234, Syap.g_01912
OG0000329	Prbb.g_01977	Syap.g_00498
OG0000330	Prbb.g_01978	Syap.g_00497
OG0000331	Prbb.g_01979	Syap.g_00496
OG0000332	Prbb.g_01993	Syap.g_00481
OG0000333	Prbb.g_01995	Syap.g_00478
OG0000334	Prbb.g_02004	Syap.g_00468
OG0000335	Prbb.g_02009	Syap.g_00101, Syap.g_00463
OG0000336	Prbb.g_02013	Syap.g_00417, Syap.g_00607
OG0000337	Prbb.g_02031	Syap.g_01054
OG0000338	Prbb.g_02032	Syap.g_01059
OG0000339	Prbb.g_02037	Syap.g_01068
OG0000340	Prbb.g_02046	Syap.g_01077
OG0000341	Prbb.g_02048	Syap.g_01079
OG0000342	Prbb.g_02049	Syap.g_01080, Syap.g_02477
OG0000343	Prbb.g_02050	Syap.g_01086, Syap.g_02078
OG0000344	Prbb.g_02053	Syap.g_01091
OG0000345	Prbb.g_02058	Syap.g_01107, Syap.g_01470
OG0000346	Prbb.g_02062	Syap.g_02423, Syap.g_01113
OG0000347	Prbb.g_02082	Syap.g_01131, Syap.g_02459
OG0000348	Prbb.g_02104	Syap.g_00632
OG0000349	Prbb.g_02122	Syap.g_00110, Syap.g_01813
OG0000351	Prbb.g_02168	Syap.g_02594
OG0000352	Prbb.g_02169	Syap.g_02596, Syap.g_02597
OG0000353	Prbb.g_02188	Syap.g_00054
OG0000355	Prbb.g_00001	Syap.g_00056
OG0000356	Prbb.g_00002	Syap.g_00057
OG0000357	Prbb.g_00003	Syap.g_00058
OG0000358	Prbb.g_00008	Syap.g_00063
OG0000359	Prbb.g_00009	Syap.g_00065
OG0000360	Prbb.g_00010	Syap.g_00067
OG0000361	Prbb.g_00011	Syap.g_00068
OG0000362	Prbb.g_00013	Syap.g_00070
OG0000363	Prbb.g_00015	Syap.g_00072
OG0000364	Prbb.g_00016	Syap.g_00620
OG0000365	Prbb.g_00021	Syap.g_00081
OG0000366	Prbb.g_00022	Syap.g_00082
OG0000367	Prbb.g_00023	Syap.g_00083
OG0000368	Prbb.g_00025	Syap.g_00085
OG0000369	Prbb.g_00026	Syap.g_00086
OG0000370	Prbb.g_00027	Syap.g_00087
OG0000372	Prbb.g_00035	Syap.g_01805
OG0000373	Prbb.g_00036	Syap.g_01806
OG0000374	Prbb.g_00037	Syap.g_01807
OG0000375	Prbb.g_00055	Syap.g_01808
OG0000376	Prbb.g_00057	Syap.g_01811
OG0000377	Prbb.g_00060	Syap.g_00128
OG0000378	Prbb.g_00062	Syap.g_01326
OG0000380	Prbb.g_00121	Syap.g_01687
OG0000381	Prbb.g_00125	Syap.g_01690
OG0000382	Prbb.g_00136	Syap.g_02548
OG0000383	Prbb.g_00138	Syap.g_02359
OG0000384	Prbb.g_00139	Syap.g_02360
OG0000385	Prbb.g_00140	Syap.g_02361
OG0000386	Prbb.g_00141	Syap.g_02362
OG0000387	Prbb.g_00154	Syap.g_01864
OG0000391	Prbb.g_00174	Syap.g_02234
OG0000392	Prbb.g_00177	Syap.g_02225
OG0000393	Prbb.g_00180	Syap.g_02222
OG0000394	Prbb.g_00181	Syap.g_02221
OG0000395	Prbb.g_00182	Syap.g_02220
OG0000396	Prbb.g_00185	Syap.g_02217
OG0000397	Prbb.g_00187	Syap.g_02215
OG0000398	Prbb.g_00190	Syap.g_02211
OG0000399	Prbb.g_00191	Syap.g_02210
OG0000400	Prbb.g_00192	Syap.g_02209
OG0000401	Prbb.g_00193	Syap.g_02208
OG0000402	Prbb.g_01101	Syap.g_02206
OG0000403	Prbb.g_00194	Syap.g_02205
OG0000404	Prbb.g_00195	Syap.g_02204, Syap.g_02618
OG0000405	Prbb.g_00200	Syap.g_02191
OG0000406	Prbb.g_00204	Syap.g_02186
OG0000407	Prbb.g_00205	Syap.g_02185
OG0000408	Prbb.g_00207	Syap.g_02181, Syap.g_02182
OG0000409	Prbb.g_00209	Syap.g_02179
OG0000410	Prbb.g_00210	Syap.g_02178
OG0000411	Prbb.g_00211	Syap.g_02177
OG0000412	Prbb.g_00212	Syap.g_02176
OG0000413	Prbb.g_00213	Syap.g_02174
OG0000414	Prbb.g_00214	Syap.g_02173
OG0000415	Prbb.g_00215	Syap.g_02172
OG0000416	Prbb.g_00216	Syap.g_02171
OG0000417	Prbb.g_00217	Syap.g_02169
OG0000418	Prbb.g_00222	Syap.g_01204
OG0000419	Prbb.g_00224	Syap.g_01201
OG0000420	Prbb.g_00225	Syap.g_01199
OG0000421	Prbb.g_00229	Syap.g_01195
OG0000422	Prbb.g_00230	Syap.g_01194
OG0000423	Prbb.g_00231	Syap.g_01193
OG0000424	Prbb.g_00232	Syap.g_01192
OG0000425	Prbb.g_00233	Syap.g_01191
OG0000426	Prbb.g_00234	Syap.g_01190
OG0000427	Prbb.g_00235	Syap.g_01189
OG0000428	Prbb.g_00237	Syap.g_01186
OG0000429	Prbb.g_00238	Syap.g_01184
OG0000430	Prbb.g_00239	Syap.g_01182
OG0000431	Prbb.g_00241	Syap.g_01179
OG0000432	Prbb.g_00245	Syap.g_02277
OG0000433	Prbb.g_00246	Syap.g_02272
OG0000434	Prbb.g_00247	Syap.g_02271
OG0000435	Prbb.g_00248	Syap.g_02268
OG0000436	Prbb.g_00253	Syap.g_01607
OG0000437	Prbb.g_00254	Syap.g_01608
OG0000438	Prbb.g_00255	Syap.g_01612
OG0000439	Prbb.g_00257	Syap.g_01614
OG0000440	Prbb.g_00258	Syap.g_01615
OG0000441	Prbb.g_00260	Syap.g_01619
OG0000442	Prbb.g_00261	Syap.g_01620
OG0000443	Prbb.g_00262	Syap.g_01622
OG0000444	Prbb.g_00267	Syap.g_01424
OG0000445	Prbb.g_00268	Syap.g_01421
OG0000446	Prbb.g_00269	Syap.g_01419
OG0000447	Prbb.g_00270	Syap.g_01410
OG0000448	Prbb.g_00271	Syap.g_01407
OG0000449	Prbb.g_00272	Syap.g_01406
OG0000450	Prbb.g_00273	Syap.g_01909
OG0000451	Prbb.g_00274	Syap.g_01908
OG0000452	Prbb.g_00277	Syap.g_01904
OG0000453	Prbb.g_00278	Syap.g_01903
OG0000454	Prbb.g_00279	Syap.g_01902
OG0000455	Prbb.g_00280	Syap.g_01901
OG0000456	Prbb.g_00281	Syap.g_01900
OG0000457	Prbb.g_00282	Syap.g_01896
OG0000458	Prbb.g_00283	Syap.g_01895
OG0000459	Prbb.g_00284	Syap.g_01894
OG0000460	Prbb.g_00292	Syap.g_01159
OG0000461	Prbb.g_00300	Syap.g_01575
OG0000462	Prbb.g_00302	Syap.g_01578
OG0000463	Prbb.g_00303	Syap.g_01579
OG0000464	Prbb.g_00304	Syap.g_01580
OG0000465	Prbb.g_00305	Syap.g_01582
OG0000466	Prbb.g_00306	Syap.g_01587
OG0000467	Prbb.g_00307	Syap.g_01588
OG0000468	Prbb.g_00309	Syap.g_01593
OG0000469	Prbb.g_00316	Syap.g_02352
OG0000470	Prbb.g_00318	Syap.g_02349
OG0000471	Prbb.g_00319	Syap.g_02348
OG0000472	Prbb.g_00320	Syap.g_02347
OG0000473	Prbb.g_00322	Syap.g_02343
OG0000474	Prbb.g_00323	Syap.g_02342
OG0000475	Prbb.g_00324	Syap.g_02341
OG0000476	Prbb.g_00326	Syap.g_02339
OG0000477	Prbb.g_00328	Syap.g_01367
OG0000478	Prbb.g_00329	Syap.g_01366
OG0000479	Prbb.g_00330	Syap.g_01364
OG0000480	Prbb.g_00334	Syap.g_01357
OG0000482	Prbb.g_00337	Syap.g_01355
OG0000483	Prbb.g_00340	Syap.g_01344
OG0000484	Prbb.g_00341	Syap.g_01350
OG0000485	Prbb.g_00342	Syap.g_01349
OG0000487	Prbb.g_00346	Syap.g_01635
OG0000488	Prbb.g_00349	Syap.g_01639
OG0000489	Prbb.g_00354	Syap.g_02482
OG0000490	Prbb.g_00359	Syap.g_01673
OG0000491	Prbb.g_00360	Syap.g_01670
OG0000492	Prbb.g_00362	Syap.g_01668
OG0000493	Prbb.g_00363	Syap.g_01667
OG0000494	Prbb.g_00364	Syap.g_01666
OG0000495	Prbb.g_00365	Syap.g_01665
OG0000496	Prbb.g_00366	Syap.g_01663
OG0000497	Prbb.g_00367	Syap.g_01662
OG0000498	Prbb.g_00368	Syap.g_01661
OG0000499	Prbb.g_00369	Syap.g_01660
OG0000500	Prbb.g_00370	Syap.g_01659
OG0000501	Prbb.g_00372	Syap.g_01656
OG0000502	Prbb.g_00375	Syap.g_02066
OG0000503	Prbb.g_00394	Syap.g_00569
OG0000504	Prbb.g_00396	Syap.g_00567
OG0000505	Prbb.g_00397	Syap.g_00566
OG0000506	Prbb.g_00398	Syap.g_00564
OG0000507	Prbb.g_00401	Syap.g_00558
OG0000508	Prbb.g_00404	Syap.g_00554
OG0000509	Prbb.g_00406	Syap.g_00551
OG0000510	Prbb.g_00407	Syap.g_00550
OG0000511	Prbb.g_00408	Syap.g_00548
OG0000512	Prbb.g_00410	Syap.g_02145
OG0000513	Prbb.g_00419	Syap.g_02048
OG0000514	Prbb.g_00436	Syap.g_02051
OG0000515	Prbb.g_00437	Syap.g_02052
OG0000516	Prbb.g_00438	Syap.g_02054
OG0000517	Prbb.g_00440	Syap.g_02057
OG0000519	Prbb.g_00452	Syap.g_00457
OG0000520	Prbb.g_00453	Syap.g_00456
OG0000521	Prbb.g_00458	Syap.g_01997
OG0000522	Prbb.g_00460	Syap.g_01995
OG0000523	Prbb.g_00461	Syap.g_02507
OG0000524	Prbb.g_00468	Syap.g_02135
OG0000525	Prbb.g_00472	Syap.g_02159
OG0000526	Prbb.g_00473	Syap.g_02157
OG0000527	Prbb.g_00476	Syap.g_02758
OG0000528	Prbb.g_00482	Syap.g_02261
OG0000529	Prbb.g_00486	Syap.g_02254
OG0000530	Prbb.g_00489	Syap.g_02252
OG0000531	Prbb.g_00490	Syap.g_02251
OG0000532	Prbb.g_00491	Syap.g_02247
OG0000533	Prbb.g_00492	Syap.g_02244
OG0000534	Prbb.g_00493	Syap.g_02243
OG0000535	Prbb.g_00494	Syap.g_02242
OG0000536	Prbb.g_00495	Syap.g_02241
OG0000537	Prbb.g_00496	Syap.g_02240
OG0000538	Prbb.g_00504	Syap.g_00271
OG0000539	Prbb.g_00505	Syap.g_00270
OG0000540	Prbb.g_00506	Syap.g_00269
OG0000541	Prbb.g_00507	Syap.g_00268
OG0000542	Prbb.g_00509	Syap.g_00264
OG0000543	Prbb.g_00511	Syap.g_00261
OG0000544	Prbb.g_00512	Syap.g_00260
OG0000545	Prbb.g_00514	Syap.g_00259
OG0000546	Prbb.g_00517	Syap.g_00256
OG0000547	Prbb.g_00519	Syap.g_00254
OG0000548	Prbb.g_00520	Syap.g_00253
OG0000549	Prbb.g_00523	Syap.g_00758
OG0000550	Prbb.g_00527	Syap.g_02747
OG0000551	Prbb.g_00530	Syap.g_02739
OG0000552	Prbb.g_00531	Syap.g_02738
OG0000553	Prbb.g_00532	Syap.g_02735
OG0000554	Prbb.g_00537	Syap.g_01450
OG0000555	Prbb.g_00545	Syap.g_01941
OG0000556	Prbb.g_00547	Syap.g_01933
OG0000557	Prbb.g_00548	Syap.g_01931
OG0000558	Prbb.g_00551	Syap.g_01147
