Orthogroup	Prbb	Syan
OG0000109	Prbb.g_00498	Syan.g_02748
OG0000110	Prbb.g_00578	Syan.g_00171, Syan.g_00882
OG0000111	Prbb.g_00707	Syan.g_00187
OG0000112	Prbb.g_00983	Syan.g_00556, Syan.g_00252
OG0000113	Prbb.g_00807, Prbb.g_01218	Syan.g_00664
OG0000114	Prbb.g_00932	Syan.g_00741
OG0000115	Prbb.g_01780	Syan.g_02810
OG0000116	Prbb.g_01528	Syan.g_02710, Syan.g_00460
OG0000117	Prbb.g_01399	Syan.g_02644
OG0000118	Prbb.g_01598	Syan.g_01241, Syan.g_01237
OG0000119	Prbb.g_01632	Syan.g_02672
OG0000120	Prbb.g_00678	Syan.g_01966
OG0000121	Prbb.g_01688	Syan.g_01273
OG0000123	Prbb.g_02008	Syan.g_02190
OG0000125	Prbb.g_02131	Syan.g_01573
OG0000126	Prbb.g_02183	Syan.g_01705
OG0000128	Prbb.g_00012	Syan.g_01768
OG0000129	Prbb.g_00059	Syan.g_01563
OG0000130	Prbb.g_00124	Syan.g_02906, Syan.g_02907
OG0000131	Prbb.g_00202	Syan.g_03008
OG0000132	Prbb.g_00221	Syan.g_03029
OG0000133	Prbb.g_00373	Syan.g_00561
OG0000134	Prbb.g_00418	Syan.g_02319
OG0000135	Prbb.g_01326	Syan.g_01616
OG0000136	Prbb.g_00446	Syan.g_01342
OG0000137	Prbb.g_00478	Syan.g_02846
OG0000138	Prbb.g_00499	Syan.g_02747
OG0000139	Prbb.g_00540	Syan.g_01160
OG0000140	Prbb.g_00541	Syan.g_00042
OG0000141	Prbb.g_00608	Syan.g_01032
OG0000142	Prbb.g_00636	Syan.g_00816
OG0000143	Prbb.g_00640	Syan.g_00812
OG0000144	Prbb.g_00653	Syan.g_00782
OG0000145	Prbb.g_01099	Syan.g_02740
OG0000146	Prbb.g_00982	Syan.g_00555, Syan.g_00253
OG0000147	Prbb.g_00981	Syan.g_00254, Syan.g_00554
OG0000148	Prbb.g_00801	Syan.g_00670
OG0000149	Prbb.g_00832	Syan.g_00393
OG0000150	Prbb.g_00840	Syan.g_01031
OG0000151	Prbb.g_00943	Syan.g_00731
OG0000152	Prbb.g_00991	Syan.g_00565
OG0000153	Prbb.g_01009	Syan.g_00601
OG0000154	Prbb.g_01040	Syan.g_00363
OG0000155	Prbb.g_01495	Syan.g_02654
OG0000156	Prbb.g_01575	Syan.g_02717
OG0000157	Prbb.g_01576	Syan.g_02718
OG0000158	Prbb.g_02044	Syan.g_01078, Syan.g_01926
OG0000159	Prbb.g_02093, Prbb.g_02083	Syan.g_01120
OG0000160	Prbb.g_01687	Syan.g_01274
OG0000161	Prbb.g_01693	Syan.g_01268
OG0000162	Prbb.g_01699	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Prbb.g_01735	Syan.g_02405
OG0000164	Prbb.g_01845	Syan.g_01440
OG0000165	Prbb.g_01853	Syan.g_01448
OG0000166	Prbb.g_01964	Syan.g_02239
OG0000167	Prbb.g_02034	Syan.g_01941
OG0000168	Prbb.g_02045	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Prbb.g_02055	Syan.g_01912
OG0000170	Prbb.g_02057	Syan.g_01901
OG0000171	Prbb.g_02078	Syan.g_01875
OG0000172	Prbb.g_02101	Syan.g_01810
OG0000173	Prbb.g_02116	Syan.g_01720
OG0000174	Prbb.g_02147	Syan.g_01619
OG0000175	Prbb.g_02165	Syan.g_01678, Syan.g_00258
OG0000176	Prbb.g_00004	Syan.g_01801
OG0000177	Prbb.g_00005	Syan.g_01775
OG0000178	Prbb.g_00007, Prbb.g_00006	Syan.g_01774
OG0000179	Prbb.g_00017	Syan.g_01759
OG0000180	Prbb.g_00018	Syan.g_01758
OG0000181	Prbb.g_00019	Syan.g_01757
OG0000182	Prbb.g_00020	Syan.g_01756
OG0000183	Prbb.g_00024	Syan.g_01752
OG0000184	Prbb.g_00061	Syan.g_01549
OG0000185	Prbb.g_00064	Syan.g_01540
OG0000186	Prbb.g_00119	Syan.g_02902
OG0000187	Prbb.g_00120	Syan.g_02904
OG0000188	Prbb.g_00137	Syan.g_02926
OG0000189	Prbb.g_00151	Syan.g_02966
OG0000190	Prbb.g_00152	Syan.g_00971
OG0000191	Prbb.g_00175	Syan.g_02300
OG0000192	Prbb.g_00179	Syan.g_02294
OG0000193	Prbb.g_00203	Syan.g_03009
OG0000194	Prbb.g_00206	Syan.g_03012
OG0000195	Prbb.g_00208	Syan.g_03014
OG0000196	Prbb.g_00218	Syan.g_03026
OG0000197	Prbb.g_00219	Syan.g_03027
OG0000198	Prbb.g_00220	Syan.g_03028
OG0000199	Prbb.g_00227	Syan.g_03037
OG0000200	Prbb.g_00240	Syan.g_03055
OG0000201	Prbb.g_00249	Syan.g_03074
OG0000202	Prbb.g_00250	Syan.g_03075
OG0000203	Prbb.g_00251	Syan.g_03076
OG0000204	Prbb.g_00252	Syan.g_03077
OG0000205	Prbb.g_00259	Syan.g_03087
OG0000206	Prbb.g_00263	Syan.g_03095
OG0000207	Prbb.g_00265	Syan.g_03100
OG0000208	Prbb.g_00266	Syan.g_03101
OG0000209	Prbb.g_00275	Syan.g_01521
OG0000210	Prbb.g_00276	Syan.g_01522
OG0000211	Prbb.g_00290	Syan.g_02416
OG0000212	Prbb.g_00298	Syan.g_01508, Syan.g_02438
OG0000213	Prbb.g_00313	Syan.g_02059
OG0000214	Prbb.g_00321	Syan.g_02040
OG0000215	Prbb.g_00344	Syan.g_02010
OG0000216	Prbb.g_00345	Syan.g_02006
OG0000217	Prbb.g_00348	Syan.g_02001
OG0000218	Prbb.g_00350	Syan.g_01999
OG0000219	Prbb.g_00351	Syan.g_01998
OG0000220	Prbb.g_00352	Syan.g_01997
OG0000221	Prbb.g_00353	Syan.g_01994
OG0000222	Prbb.g_00361	Syan.g_01981
OG0000223	Prbb.g_00374	Syan.g_00228
OG0000224	Prbb.g_00376	Syan.g_01959
OG0000225	Prbb.g_00405	Syan.g_02997
OG0000226	Prbb.g_00409	Syan.g_02990
OG0000227	Prbb.g_00411	Syan.g_02988
OG0000228	Prbb.g_00415	Syan.g_02315
OG0000229	Prbb.g_00441	Syan.g_02396
OG0000230	Prbb.g_00443	Syan.g_02398
OG0000231	Prbb.g_00454	Syan.g_01333
OG0000232	Prbb.g_00462	Syan.g_02801
OG0000233	Prbb.g_00470	Syan.g_02876
OG0000234	Prbb.g_00479	Syan.g_02844
OG0000235	Prbb.g_00483	Syan.g_02765
OG0000236	Prbb.g_00497	Syan.g_02749
OG0000237	Prbb.g_00510	Syan.g_02731
OG0000238	Prbb.g_00516	Syan.g_02726
OG0000239	Prbb.g_00528	Syan.g_01187
OG0000240	Prbb.g_00529	Syan.g_01186
OG0000241	Prbb.g_00533	Syan.g_00822
OG0000242	Prbb.g_00535	Syan.g_01168
OG0000243	Prbb.g_00546	Syan.g_00840
OG0000244	Prbb.g_00550	Syan.g_00848
OG0000245	Prbb.g_00552	Syan.g_00850
OG0000246	Prbb.g_00556	Syan.g_00854
OG0000247	Prbb.g_00566	Syan.g_00866
OG0000248	Prbb.g_00568	Syan.g_00869
OG0000249	Prbb.g_00570	Syan.g_00871
OG0000250	Prbb.g_00575	Syan.g_00878
OG0000251	Prbb.g_00591	Syan.g_00961
OG0000252	Prbb.g_00593	Syan.g_00966
OG0000253	Prbb.g_00595	Syan.g_01000
OG0000254	Prbb.g_00612	Syan.g_01026
OG0000255	Prbb.g_00618	Syan.g_00978
OG0000256	Prbb.g_00628	Syan.g_00001, Syan.g_01135
OG0000257	Prbb.g_00631	Syan.g_00827
OG0000258	Prbb.g_00644	Syan.g_00803
OG0000259	Prbb.g_00661	Syan.g_00772
OG0000260	Prbb.g_00665	Syan.g_00769
OG0000261	Prbb.g_00668	Syan.g_00765
OG0000262	Prbb.g_00673	Syan.g_00760
OG0000263	Prbb.g_00686	Syan.g_02618
OG0000264	Prbb.g_00697, Prbb.g_00698	Syan.g_00540
OG0000266	Prbb.g_00723	Syan.g_00330
OG0000267	Prbb.g_00736	Syan.g_00470
OG0000268	Prbb.g_00737	Syan.g_00471
OG0000269	Prbb.g_00778	Syan.g_00695
OG0000270	Prbb.g_00781	Syan.g_00692
OG0000271	Prbb.g_00789	Syan.g_00684
OG0000272	Prbb.g_00790	Syan.g_00683
OG0000273	Prbb.g_00814	Syan.g_00654
OG0000274	Prbb.g_00815	Syan.g_00653
OG0000275	Prbb.g_00817	Syan.g_00373
OG0000276	Prbb.g_00823	Syan.g_00380
OG0000277	Prbb.g_00824	Syan.g_00381
OG0000278	Prbb.g_00828	Syan.g_00384
OG0000279	Prbb.g_00835	Syan.g_00398
OG0000280	Prbb.g_01370	Syan.g_00518
OG0000282	Prbb.g_00934	Syan.g_00739
OG0000283	Prbb.g_00965	Syan.g_00491
OG0000284	Prbb.g_00970	Syan.g_00497
OG0000285	Prbb.g_00975	Syan.g_00533
OG0000286	Prbb.g_00990	Syan.g_00564
OG0000287	Prbb.g_00101	Syan.g_00593
OG0000288	Prbb.g_01039	Syan.g_00364
OG0000289	Prbb.g_01051	Syan.g_00350
OG0000290	Prbb.g_01067	Syan.g_00293
OG0000291	Prbb.g_01069	Syan.g_00291
OG0000292	Prbb.g_01238	Syan.g_01703
OG0000293	Prbb.g_01527	Syan.g_02709
OG0000294	Prbb.g_01526	Syan.g_02708
OG0000295	Prbb.g_01502	Syan.g_02662
OG0000296	Prbb.g_01500	Syan.g_02660
OG0000297	Prbb.g_01491	Syan.g_02646
OG0000298	Prbb.g_01490	Syan.g_02645
OG0000299	Prbb.g_01471	Syan.g_02601
OG0000300	Prbb.g_01468	Syan.g_02593, Syan.g_02594
OG0000301	Prbb.g_01467	Syan.g_02592
OG0000302	Prbb.g_01464	Syan.g_02591
OG0000303	Prbb.g_01459	Syan.g_02582
OG0000304	Prbb.g_01456	Syan.g_02556
OG0000305	Prbb.g_01789	Syan.g_00195
OG0000306	Prbb.g_00845	Syan.g_00087
OG0000307	Prbb.g_01648	Syan.g_02782
OG0000308	Prbb.g_01649	Syan.g_02784
OG0000309	Prbb.g_01653	Syan.g_02883
OG0000310	Prbb.g_01671	Syan.g_01304
OG0000311	Prbb.g_01673	Syan.g_01299
OG0000312	Prbb.g_01676	Syan.g_01290
OG0000313	Prbb.g_01690	Syan.g_01271
OG0000314	Prbb.g_01711	Syan.g_02823
OG0000315	Prbb.g_01721	Syan.g_02833
OG0000316	Prbb.g_01746	Syan.g_01354
OG0000317	Prbb.g_01821	Syan.g_01396
OG0000318	Prbb.g_01824	Syan.g_01401
OG0000319	Prbb.g_01835	Syan.g_01425
OG0000320	Prbb.g_01837	Syan.g_01427
OG0000321	Prbb.g_01838	Syan.g_01428
OG0000322	Prbb.g_01839	Syan.g_01429
OG0000323	Prbb.g_01848	Syan.g_01442
OG0000324	Prbb.g_01875	Syan.g_01472
OG0000325	Prbb.g_01924	Syan.g_02107
OG0000326	Prbb.g_01930	Syan.g_02114
OG0000327	Prbb.g_01959	Syan.g_02244
OG0000328	Prbb.g_01960	Syan.g_02243
OG0000329	Prbb.g_01977	Syan.g_02225
OG0000330	Prbb.g_01978	Syan.g_02224
OG0000331	Prbb.g_01979	Syan.g_02223
OG0000332	Prbb.g_01993	Syan.g_02208
OG0000333	Prbb.g_01995	Syan.g_02205
OG0000334	Prbb.g_02004	Syan.g_00247, Syan.g_02194
OG0000335	Prbb.g_02009	Syan.g_02189
OG0000336	Prbb.g_02013	Syan.g_02185
OG0000337	Prbb.g_02031	Syan.g_01949
OG0000338	Prbb.g_02032	Syan.g_01943
OG0000339	Prbb.g_02037	Syan.g_01935, Syan.g_00264
OG0000340	Prbb.g_02046	Syan.g_01923
OG0000341	Prbb.g_02048	Syan.g_01921
OG0000342	Prbb.g_02049	Syan.g_01920
OG0000343	Prbb.g_02050	Syan.g_01918
OG0000344	Prbb.g_02053	Syan.g_01914
OG0000345	Prbb.g_02058	Syan.g_01900
OG0000346	Prbb.g_02062	Syan.g_01895
OG0000347	Prbb.g_02082	Syan.g_01867
OG0000348	Prbb.g_02104	Syan.g_01803
OG0000349	Prbb.g_02122	Syan.g_01727
OG0000350	Prbb.g_02143	Syan.g_02121
OG0000351	Prbb.g_02168	Syan.g_01682
OG0000352	Prbb.g_02169	Syan.g_01683
OG0000353	Prbb.g_02188	Syan.g_01795
OG0000355	Prbb.g_00001	Syan.g_01797
OG0000356	Prbb.g_00002	Syan.g_01798
OG0000357	Prbb.g_00003	Syan.g_01800
OG0000358	Prbb.g_00008	Syan.g_01773
OG0000359	Prbb.g_00009	Syan.g_01771
OG0000360	Prbb.g_00010	Syan.g_01770
OG0000361	Prbb.g_00011	Syan.g_01769
OG0000362	Prbb.g_00013	Syan.g_01767
OG0000363	Prbb.g_00015	Syan.g_01765
OG0000364	Prbb.g_00016	Syan.g_01398
OG0000365	Prbb.g_00021	Syan.g_01755
OG0000366	Prbb.g_00022	Syan.g_01754
OG0000367	Prbb.g_00023	Syan.g_01753
OG0000368	Prbb.g_00025	Syan.g_01751
OG0000369	Prbb.g_00026	Syan.g_01750
OG0000370	Prbb.g_00027	Syan.g_01749
OG0000371	Prbb.g_00033	Syan.g_01740
OG0000372	Prbb.g_00035	Syan.g_01734
OG0000373	Prbb.g_00036	Syan.g_01733
OG0000374	Prbb.g_00037	Syan.g_01732
OG0000375	Prbb.g_00055	Syan.g_01731
OG0000376	Prbb.g_00057	Syan.g_01729
OG0000377	Prbb.g_00060	Syan.g_01555
OG0000378	Prbb.g_00062	Syan.g_01543
OG0000379	Prbb.g_00065	Syan.g_01539
OG0000380	Prbb.g_00121	Syan.g_02905
OG0000381	Prbb.g_00125	Syan.g_02908
OG0000382	Prbb.g_00136	Syan.g_02925
OG0000383	Prbb.g_00138	Syan.g_02936
OG0000384	Prbb.g_00139	Syan.g_02937
OG0000385	Prbb.g_00140	Syan.g_02938
OG0000386	Prbb.g_00141	Syan.g_02939
OG0000387	Prbb.g_00154	Syan.g_00967
OG0000388	Prbb.g_00158	Syan.g_02970
OG0000389	Prbb.g_00161	Syan.g_02973
OG0000390	Prbb.g_00170	Syan.g_02306
OG0000391	Prbb.g_00174	Syan.g_02301
OG0000392	Prbb.g_00177	Syan.g_02295
OG0000393	Prbb.g_00180	Syan.g_02292
OG0000394	Prbb.g_00181	Syan.g_02291
OG0000395	Prbb.g_00182	Syan.g_02290
OG0000396	Prbb.g_00185	Syan.g_02287
OG0000397	Prbb.g_00187	Syan.g_02285
OG0000398	Prbb.g_00190	Syan.g_02279
OG0000399	Prbb.g_00191	Syan.g_02278
OG0000400	Prbb.g_00192	Syan.g_02277
OG0000401	Prbb.g_00193	Syan.g_02274
OG0000402	Prbb.g_01101	Syan.g_02272
OG0000403	Prbb.g_00194	Syan.g_02271
OG0000404	Prbb.g_00195	Syan.g_02269
OG0000405	Prbb.g_00200	Syan.g_03005
OG0000406	Prbb.g_00204	Syan.g_03010
OG0000407	Prbb.g_00205	Syan.g_03011
OG0000408	Prbb.g_00207	Syan.g_03013
OG0000409	Prbb.g_00209	Syan.g_03015
OG0000410	Prbb.g_00210	Syan.g_03016
OG0000411	Prbb.g_00211	Syan.g_03017
OG0000412	Prbb.g_00212	Syan.g_03018
OG0000413	Prbb.g_00213	Syan.g_03020
OG0000414	Prbb.g_00214	Syan.g_03021
OG0000415	Prbb.g_00215	Syan.g_03022
OG0000416	Prbb.g_00216	Syan.g_03023
OG0000417	Prbb.g_00217	Syan.g_03025
OG0000418	Prbb.g_00222	Syan.g_03030
OG0000419	Prbb.g_00224	Syan.g_03033
OG0000420	Prbb.g_00225	Syan.g_03035
OG0000421	Prbb.g_00229	Syan.g_03040
OG0000422	Prbb.g_00230	Syan.g_03041
OG0000423	Prbb.g_00231	Syan.g_03042
OG0000424	Prbb.g_00232	Syan.g_03043
OG0000425	Prbb.g_00233	Syan.g_03044
OG0000426	Prbb.g_00234	Syan.g_03045
OG0000427	Prbb.g_00235	Syan.g_03046
OG0000428	Prbb.g_00237	Syan.g_03049
OG0000429	Prbb.g_00238	Syan.g_03051
OG0000430	Prbb.g_00239	Syan.g_03053
OG0000431	Prbb.g_00241	Syan.g_03058
OG0000432	Prbb.g_00245	Syan.g_03065
OG0000433	Prbb.g_00246	Syan.g_03068
OG0000434	Prbb.g_00247	Syan.g_03069
OG0000435	Prbb.g_00248	Syan.g_03071
OG0000436	Prbb.g_00253	Syan.g_03079
OG0000437	Prbb.g_00254	Syan.g_03080
OG0000438	Prbb.g_00255	Syan.g_03083
OG0000439	Prbb.g_00257	Syan.g_03085
OG0000440	Prbb.g_00258	Syan.g_03086
OG0000441	Prbb.g_00260	Syan.g_03089
OG0000442	Prbb.g_00261	Syan.g_03090
OG0000443	Prbb.g_00262	Syan.g_03094
OG0000444	Prbb.g_00267	Syan.g_03102
OG0000445	Prbb.g_00268	Syan.g_03103
OG0000446	Prbb.g_00269	Syan.g_03105
OG0000447	Prbb.g_00270	Syan.g_03111
OG0000448	Prbb.g_00271	Syan.g_03112
OG0000449	Prbb.g_00272	Syan.g_03113
OG0000450	Prbb.g_00273	Syan.g_01518
OG0000451	Prbb.g_00274	Syan.g_01519
OG0000452	Prbb.g_00277	Syan.g_01523
OG0000453	Prbb.g_00278	Syan.g_01524
OG0000454	Prbb.g_00279	Syan.g_01525
OG0000455	Prbb.g_00280	Syan.g_01526
OG0000456	Prbb.g_00281	Syan.g_01527
OG0000457	Prbb.g_00282	Syan.g_01529
OG0000458	Prbb.g_00283	Syan.g_01530
OG0000459	Prbb.g_00284	Syan.g_01531
OG0000460	Prbb.g_00292	Syan.g_02423
OG0000461	Prbb.g_00300	Syan.g_02099
OG0000462	Prbb.g_00302	Syan.g_02096
OG0000463	Prbb.g_00303	Syan.g_02095
OG0000464	Prbb.g_00304	Syan.g_02094
OG0000465	Prbb.g_00305	Syan.g_02092
OG0000466	Prbb.g_00306	Syan.g_02087
OG0000467	Prbb.g_00307	Syan.g_02086
OG0000468	Prbb.g_00309	Syan.g_02063
OG0000469	Prbb.g_00316	Syan.g_02046
OG0000470	Prbb.g_00318	Syan.g_02044
OG0000471	Prbb.g_00319	Syan.g_02043
OG0000472	Prbb.g_00320	Syan.g_02041
OG0000473	Prbb.g_00322	Syan.g_02039
OG0000474	Prbb.g_00323	Syan.g_02038
OG0000475	Prbb.g_00324	Syan.g_02037
OG0000476	Prbb.g_00326	Syan.g_02035
OG0000477	Prbb.g_00328	Syan.g_02029
OG0000478	Prbb.g_00329	Syan.g_02028
OG0000479	Prbb.g_00330	Syan.g_02027
OG0000480	Prbb.g_00334	Syan.g_02020
OG0000481	Prbb.g_00336	Syan.g_00975
OG0000482	Prbb.g_00337	Syan.g_02018
OG0000483	Prbb.g_00340	Syan.g_02014
OG0000484	Prbb.g_00341	Syan.g_02013
OG0000485	Prbb.g_00342	Syan.g_02012
OG0000486	Prbb.g_00343	Syan.g_02011
OG0000487	Prbb.g_00346	Syan.g_02005
OG0000488	Prbb.g_00349	Syan.g_02000
OG0000489	Prbb.g_00354	Syan.g_01993
OG0000490	Prbb.g_00359	Syan.g_01985
OG0000491	Prbb.g_00360	Syan.g_01983
OG0000492	Prbb.g_00362	Syan.g_01980
OG0000493	Prbb.g_00363	Syan.g_01979
OG0000494	Prbb.g_00364	Syan.g_01978
OG0000495	Prbb.g_00365	Syan.g_01977
OG0000496	Prbb.g_00366	Syan.g_01976
OG0000497	Prbb.g_00367	Syan.g_01975
OG0000498	Prbb.g_00368	Syan.g_01974
OG0000499	Prbb.g_00369	Syan.g_01973
OG0000500	Prbb.g_00370	Syan.g_01972
OG0000501	Prbb.g_00372	Syan.g_01969
OG0000502	Prbb.g_00375	Syan.g_01961
OG0000503	Prbb.g_00394	Syan.g_02144
OG0000504	Prbb.g_00396	Syan.g_02142
OG0000505	Prbb.g_00397	Syan.g_02141
OG0000506	Prbb.g_00398	Syan.g_02139
OG0000507	Prbb.g_00401	Syan.g_02133
OG0000508	Prbb.g_00404	Syan.g_02998
OG0000509	Prbb.g_00406	Syan.g_02993
OG0000510	Prbb.g_00407	Syan.g_02992
OG0000511	Prbb.g_00408	Syan.g_02991
OG0000512	Prbb.g_00410	Syan.g_02989
OG0000513	Prbb.g_00419	Syan.g_02320
OG0000514	Prbb.g_00436	Syan.g_02326
OG0000515	Prbb.g_00437	Syan.g_02327
OG0000516	Prbb.g_00438	Syan.g_02389
OG0000517	Prbb.g_00440	Syan.g_02395
OG0000518	Prbb.g_00451	Syan.g_01336
OG0000519	Prbb.g_00452	Syan.g_01335
OG0000520	Prbb.g_00453	Syan.g_01334
OG0000521	Prbb.g_00458	Syan.g_02805
OG0000522	Prbb.g_00460	Syan.g_02803
OG0000523	Prbb.g_00461	Syan.g_02802
OG0000524	Prbb.g_00468	Syan.g_02878
OG0000525	Prbb.g_00472	Syan.g_02853
OG0000526	Prbb.g_00473	Syan.g_02852
OG0000527	Prbb.g_00476	Syan.g_02848
OG0000528	Prbb.g_00482	Syan.g_02767
OG0000529	Prbb.g_00486	Syan.g_02763
OG0000530	Prbb.g_00489	Syan.g_02760
OG0000531	Prbb.g_00490	Syan.g_02759
OG0000532	Prbb.g_00491	Syan.g_02756
OG0000533	Prbb.g_00492	Syan.g_02754
OG0000534	Prbb.g_00493	Syan.g_02753
OG0000535	Prbb.g_00494	Syan.g_02752
OG0000536	Prbb.g_00495	Syan.g_02751
OG0000537	Prbb.g_00496	Syan.g_02750
OG0000538	Prbb.g_00504	Syan.g_02738
OG0000539	Prbb.g_00505	Syan.g_02737
OG0000540	Prbb.g_00506	Syan.g_02736
OG0000541	Prbb.g_00507	Syan.g_02735
OG0000542	Prbb.g_00509	Syan.g_02732
OG0000543	Prbb.g_00511	Syan.g_02730
OG0000544	Prbb.g_00512	Syan.g_02729
OG0000545	Prbb.g_00514	Syan.g_02727
OG0000546	Prbb.g_00517	Syan.g_02725
