Orthogroup	Prav	Praf
OG0000138	Prav.g_01093	Praf.g_00612
OG0000139	Prav.g_01135	Praf.g_00666
OG0000140	Prav.g_01136	Praf.g_00670
OG0000141	Prav.g_01203	Praf.g_00764
OG0000142	Prav.g_01233	Praf.g_01692
OG0000143	Prav.g_01237	Praf.g_01696
OG0000144	Prav.g_01250	Praf.g_01721
OG0000145	Prav.g_00362	Praf.g_00617
OG0000146	Prav.g_00365	Praf.g_01401
OG0000147	Prav.g_00366	Praf.g_01402
OG0000148	Prav.g_00413	Praf.g_01548
OG0000149	Prav.g_00443	Praf.g_01604
OG0000150	Prav.g_00451	Praf.g_01625
OG0000151	Prav.g_00509	Praf.g_01478
OG0000152	Prav.g_00556	Praf.g_01392
OG0000153	Prav.g_00575	Praf.g_01362
OG0000154	Prav.g_00907	Praf.g_01337
OG0000155	Prav.g_01861	Praf.g_00886
OG0000156	Prav.g_01427	Praf.g_00810
OG0000157	Prav.g_01428	Praf.g_00809
OG0000158	Prav.g_01505	Praf.g_02394
OG0000160	Prav.g_01579	Praf.g_01795
OG0000161	Prav.g_01585	Praf.g_01805
OG0000162	Prav.g_01591	Praf.g_01817
OG0000163	Prav.g_01625	Praf.g_00538
OG0000164	Prav.g_01785	Praf.g_00453
OG0000165	Prav.g_01792	Praf.g_00444
OG0000166	Prav.g_00596	Praf.g_02157
OG0000167	Prav.g_00663	Praf.g_02382, Praf.g_02378, Praf.g_02380
OG0000168	Prav.g_00673	Praf.g_02395
OG0000169	Prav.g_00683	Praf.g_00191
OG0000170	Prav.g_00685	Praf.g_00183
OG0000171	Prav.g_00704	Praf.g_00154
OG0000172	Prav.g_00712	Praf.g_00087
OG0000173	Prav.g_00727	Praf.g_00062
OG0000174	Prav.g_00755	Praf.g_02717
OG0000175	Prav.g_00765	Praf.g_02754
OG0000176	Prav.g_00790	Praf.g_00004
OG0000177	Prav.g_00791	Praf.g_00005
OG0000178	Prav.g_00792	Praf.g_00006
OG0000179	Prav.g_00084	Praf.g_00021
OG0000180	Prav.g_00085	Praf.g_00022
OG0000181	Prav.g_00086	Praf.g_00023
OG0000182	Prav.g_00087	Praf.g_00024
OG0000183	Prav.g_00091	Praf.g_00028
OG0000184	Prav.g_00117	Praf.g_02611
OG0000185	Prav.g_00120	Praf.g_00333, Praf.g_02602
OG0000186	Prav.g_00129	Praf.g_00328
OG0000187	Prav.g_00130	Praf.g_00326
OG0000188	Prav.g_00147	Praf.g_00303
OG0000189	Prav.g_00161	Praf.g_00257
OG0000190	Prav.g_00162	Praf.g_00255
OG0000191	Prav.g_00182	Praf.g_00218
OG0000192	Prav.g_00186	Praf.g_00212
OG0000193	Prav.g_00213	Praf.g_02433
OG0000194	Prav.g_00216	Praf.g_02436
OG0000195	Prav.g_00887	Praf.g_02438
OG0000196	Prav.g_00877	Praf.g_02449
OG0000197	Prav.g_00876	Praf.g_02450
OG0000198	Prav.g_00875	Praf.g_02451
OG0000199	Prav.g_00868	Praf.g_02468
OG0000200	Prav.g_00854	Praf.g_02711, Praf.g_02492
OG0000201	Prav.g_00846	Praf.g_02511
OG0000202	Prav.g_00845	Praf.g_02512
OG0000203	Prav.g_00844	Praf.g_02513
OG0000204	Prav.g_00843	Praf.g_02514
OG0000205	Prav.g_00836	Praf.g_02708, Praf.g_02521
OG0000206	Prav.g_00831	Praf.g_02532
OG0000207	Prav.g_00829	Praf.g_02582
OG0000208	Prav.g_00828	Praf.g_02581
OG0000209	Prav.g_00819	Praf.g_02557
OG0000210	Prav.g_00818	Praf.g_02556
OG0000211	Prav.g_00805	Praf.g_00378
OG0000212	Prav.g_00798	Praf.g_00392
OG0000213	Prav.g_01904	Praf.g_02245
OG0000214	Prav.g_01914	Praf.g_02263
OG0000215	Prav.g_01938	Praf.g_02293
OG0000216	Prav.g_01940	Praf.g_02296
OG0000217	Prav.g_01943	Praf.g_02300
OG0000218	Prav.g_01945	Praf.g_02302
OG0000219	Prav.g_01946	Praf.g_02303
OG0000220	Prav.g_01947	Praf.g_02304
OG0000221	Prav.g_01948	Praf.g_02314
OG0000222	Prav.g_01956	Praf.g_02323
OG0000223	Prav.g_01969	Praf.g_02347
OG0000224	Prav.g_01971	Praf.g_02358
OG0000225	Prav.g_01992	Praf.g_02030
OG0000226	Prav.g_01996	Praf.g_02026
OG0000227	Prav.g_01998	Praf.g_02024
OG0000228	Prav.g_00974	Praf.g_02016
OG0000229	Prav.g_01035	Praf.g_01989
OG0000230	Prav.g_01037	Praf.g_01987
OG0000231	Prav.g_01048	Praf.g_01963
OG0000232	Prav.g_01056	Praf.g_01952
OG0000233	Prav.g_01061	Praf.g_01938
OG0000234	Prav.g_01074	Praf.g_01905
OG0000235	Prav.g_01077	Praf.g_00594
OG0000236	Prav.g_01091	Praf.g_00610
OG0000237	Prav.g_01104	Praf.g_00627
OG0000238	Prav.g_01110	Praf.g_00631
OG0000239	Prav.g_01123	Praf.g_00647
OG0000240	Prav.g_01124	Praf.g_00648
OG0000241	Prav.g_01128	Praf.g_01177
OG0000242	Prav.g_01130	Praf.g_00658
OG0000243	Prav.g_01141, Prav.g_00954	Praf.g_00681
OG0000244	Prav.g_01144	Praf.g_00685
OG0000245	Prav.g_01146	Praf.g_00688
OG0000246	Prav.g_01150	Praf.g_00692
OG0000247	Prav.g_01160	Praf.g_00703
OG0000248	Prav.g_01162	Praf.g_00706
OG0000249	Prav.g_01164	Praf.g_00708
OG0000250	Prav.g_01169	Praf.g_00714
OG0000251	Prav.g_01187	Praf.g_00739
OG0000252	Prav.g_01190	Praf.g_00742
OG0000253	Prav.g_01191	Praf.g_00749
OG0000254	Prav.g_01207	Praf.g_00768
OG0000255	Prav.g_01213	Praf.g_01662
OG0000256	Prav.g_01225	Praf.g_01676
OG0000257	Prav.g_01228	Praf.g_01685
OG0000258	Prav.g_01241	Praf.g_01708
OG0000259	Prav.g_01258	Praf.g_01736
OG0000260	Prav.g_01261	Praf.g_01739
OG0000261	Prav.g_01263	Praf.g_01742
OG0000262	Prav.g_01267	Praf.g_01748
OG0000263	Prav.g_01279	Praf.g_02570
OG0000264	Prav.g_01289	Praf.g_01218, Praf.g_01219
OG0000265	Prav.g_00306	Praf.g_01238, Praf.g_01302
OG0000266	Prav.g_00316	Praf.g_01313
OG0000267	Prav.g_00327	Praf.g_01436
OG0000268	Prav.g_00328	Praf.g_01435
OG0000269	Prav.g_00392	Praf.g_01525
OG0000270	Prav.g_00395	Praf.g_01528
OG0000271	Prav.g_00403	Praf.g_01536
OG0000272	Prav.g_00404	Praf.g_01537
OG0000273	Prav.g_00427	Praf.g_01585
OG0000274	Prav.g_00428	Praf.g_01586
OG0000275	Prav.g_00430	Praf.g_01590
OG0000276	Prav.g_00435	Praf.g_01596
OG0000277	Prav.g_00436	Praf.g_01597
OG0000278	Prav.g_00439	Praf.g_01600
OG0000279	Prav.g_00446	Praf.g_01608
OG0000280	Prav.g_00447	Praf.g_01614
OG0000281	Prav.g_00452	Praf.g_01627
OG0000282	Prav.g_00501	Praf.g_01463
OG0000283	Prav.g_00533	Praf.g_01426
OG0000284	Prav.g_00538	Praf.g_01420
OG0000285	Prav.g_00543	Praf.g_01006
OG0000286	Prav.g_00555	Praf.g_01393
OG0000287	Prav.g_00572	Praf.g_01073
OG0000288	Prav.g_00906	Praf.g_01338
OG0000289	Prav.g_00917	Praf.g_01325
OG0000290	Prav.g_00930	Praf.g_01277
OG0000291	Prav.g_00932	Praf.g_01275
OG0000292	Prav.g_00261	Praf.g_02776
OG0000293	Prav.g_00056	Praf.g_00826
OG0000294	Prav.g_00057	Praf.g_00827
OG0000295	Prav.g_00077	Praf.g_00879
OG0000296	Prav.g_01867	Praf.g_00881
OG0000297	Prav.g_01859	Praf.g_00917
OG0000298	Prav.g_01858	Praf.g_00918
OG0000299	Prav.g_01841	Praf.g_00908
OG0000300	Prav.g_01838	Praf.g_00902
OG0000301	Prav.g_00955, Prav.g_01837	Praf.g_00901
OG0000302	Prav.g_01835	Praf.g_00898
OG0000303	Prav.g_01828	Praf.g_00888
OG0000304	Prav.g_01824	Praf.g_00938
OG0000305	Prav.g_01465	Praf.g_01271
OG0000306	Prav.g_01468	Praf.g_01635
OG0000307	Prav.g_01482	Praf.g_00575
OG0000308	Prav.g_01483	Praf.g_00573
OG0000309	Prav.g_01487	Praf.g_00569
OG0000310	Prav.g_01563	Praf.g_01772
OG0000311	Prav.g_01565	Praf.g_01778, Praf.g_01776
OG0000312	Prav.g_01568	Praf.g_01782
OG0000313	Prav.g_01582	Praf.g_01802
OG0000314	Prav.g_01605	Praf.g_01837
OG0000315	Prav.g_01615	Praf.g_01848
OG0000316	Prav.g_01635	Praf.g_00526
OG0000317	Prav.g_01759	Praf.g_00485
OG0000318	Prav.g_01762	Praf.g_00479
OG0000319	Prav.g_01775	Praf.g_00464
OG0000320	Prav.g_01777	Praf.g_00462
OG0000321	Prav.g_01778	Praf.g_00461
OG0000322	Prav.g_01779	Praf.g_00460
OG0000323	Prav.g_01788	Praf.g_00449
OG0000324	Prav.g_01815	Praf.g_00419
OG0000325	Prav.g_00269	Praf.g_02200
OG0000326	Prav.g_00275	Praf.g_02193
OG0000327	Prav.g_00591	Praf.g_02162
OG0000328	Prav.g_00592	Praf.g_02161
OG0000329	Prav.g_00609	Praf.g_02144
OG0000330	Prav.g_00610	Praf.g_02143
OG0000331	Prav.g_00611	Praf.g_02142
OG0000332	Prav.g_00625	Praf.g_02127
OG0000333	Prav.g_00627	Praf.g_02125
OG0000334	Prav.g_00635	Praf.g_02112
OG0000335	Prav.g_00640	Praf.g_02107
OG0000336	Prav.g_00644	Praf.g_02103
OG0000337	Prav.g_00661	Praf.g_02372
OG0000338	Prav.g_00662	Praf.g_02375
OG0000339	Prav.g_00666	Praf.g_02386
OG0000340	Prav.g_00674	Praf.g_02396
OG0000341	Prav.g_00676	Praf.g_02398
OG0000342	Prav.g_00677	Praf.g_02399
OG0000343	Prav.g_00678	Praf.g_00196
OG0000344	Prav.g_00681	Praf.g_00193
OG0000345	Prav.g_00686	Praf.g_00182
OG0000346	Prav.g_00690	Praf.g_00177
OG0000347	Prav.g_00706	Praf.g_00152
OG0000348	Prav.g_00715	Praf.g_00081
OG0000349	Prav.g_00732	Praf.g_00054
OG0000350	Prav.g_00751	Praf.g_02699
OG0000351	Prav.g_00768	Praf.g_02757
OG0000352	Prav.g_00769	Praf.g_02758
OG0000353	Prav.g_00785	Praf.g_02782
OG0000354	Prav.g_01352	Praf.g_00019
OG0000355	Prav.g_00787	Praf.g_00001
OG0000356	Prav.g_00788	Praf.g_00002
OG0000357	Prav.g_00789	Praf.g_00003
OG0000358	Prav.g_00793	Praf.g_00007
OG0000359	Prav.g_00794	Praf.g_00009
OG0000360	Prav.g_00795	Praf.g_00010
OG0000361	Prav.g_00078	Praf.g_00011
OG0000362	Prav.g_00080	Praf.g_00013
OG0000363	Prav.g_00082	Praf.g_00015
OG0000364	Prav.g_00083	Praf.g_00016
OG0000365	Prav.g_00088	Praf.g_00025
OG0000366	Prav.g_00089	Praf.g_00026
OG0000367	Prav.g_00090	Praf.g_00027
OG0000368	Prav.g_00092	Praf.g_00029
OG0000369	Prav.g_00093	Praf.g_00030
OG0000370	Prav.g_00094	Praf.g_00031
OG0000371	Prav.g_00100	Praf.g_00040
OG0000372	Prav.g_00103	Praf.g_00045
OG0000373	Prav.g_00104	Praf.g_00046
OG0000374	Prav.g_00105	Praf.g_00047
OG0000375	Prav.g_00111	Praf.g_00050
OG0000376	Prav.g_00113	Praf.g_00052
OG0000377	Prav.g_00116	Praf.g_02618
OG0000378	Prav.g_00118	Praf.g_02605
OG0000379	Prav.g_00121	Praf.g_02601
OG0000380	Prav.g_00131	Praf.g_00325
OG0000381	Prav.g_00135	Praf.g_00320
OG0000382	Prav.g_00146	Praf.g_00304
OG0000383	Prav.g_00148	Praf.g_00302
OG0000384	Prav.g_00149	Praf.g_00301
OG0000385	Prav.g_00150	Praf.g_00300
OG0000386	Prav.g_00151	Praf.g_00299
OG0000387	Prav.g_00164	Praf.g_00253
OG0000388	Prav.g_00167	Praf.g_00249
OG0000389	Prav.g_00171	Praf.g_00245
OG0000390	Prav.g_00178	Praf.g_00224
OG0000391	Prav.g_00181	Praf.g_00219
OG0000392	Prav.g_00185	Praf.g_00214
OG0000393	Prav.g_00187	Praf.g_00209
OG0000394	Prav.g_00188	Praf.g_00208
OG0000395	Prav.g_00189	Praf.g_00207
OG0000396	Prav.g_00192	Praf.g_02403
OG0000397	Prav.g_00194	Praf.g_02405
OG0000398	Prav.g_00196	Praf.g_02410
OG0000399	Prav.g_00197	Praf.g_02411
OG0000400	Prav.g_00198	Praf.g_02412
OG0000401	Prav.g_00199	Praf.g_02413
OG0000402	Prav.g_00201	Praf.g_02415
OG0000403	Prav.g_00202	Praf.g_02416
OG0000404	Prav.g_00203	Praf.g_02418
OG0000405	Prav.g_00207	Praf.g_02430
OG0000406	Prav.g_00214	Praf.g_02434
OG0000407	Prav.g_00215	Praf.g_02435
OG0000409	Prav.g_00886	Praf.g_02439
OG0000410	Prav.g_00885	Praf.g_02440
OG0000411	Prav.g_00884	Praf.g_02441
OG0000412	Prav.g_00883	Praf.g_02442
OG0000413	Prav.g_00882	Praf.g_02444
OG0000414	Prav.g_00881	Praf.g_02445
OG0000415	Prav.g_00880	Praf.g_02446
OG0000416	Prav.g_00879	Praf.g_02447
OG0000417	Prav.g_00878	Praf.g_02448
OG0000418	Prav.g_00873	Praf.g_02453
OG0000419	Prav.g_00871	Praf.g_02455
OG0000420	Prav.g_00870	Praf.g_02456
OG0000421	Prav.g_00865	Praf.g_02470
OG0000422	Prav.g_00864	Praf.g_02471
OG0000423	Prav.g_00863	Praf.g_02472
OG0000424	Prav.g_00862	Praf.g_02473
OG0000425	Prav.g_00861	Praf.g_02474
OG0000426	Prav.g_00860	Praf.g_02475
OG0000427	Prav.g_00859	Praf.g_02476
OG0000428	Prav.g_00857	Praf.g_01486
OG0000429	Prav.g_00856	Praf.g_02489
OG0000430	Prav.g_00855	Praf.g_02491
OG0000431	Prav.g_00853	Praf.g_02495
OG0000432	Prav.g_00850	Praf.g_02502
OG0000433	Prav.g_00849	Praf.g_02505
OG0000434	Prav.g_00848	Praf.g_02506
OG0000435	Prav.g_00847	Praf.g_02509
OG0000436	Prav.g_00842	Praf.g_02515
OG0000437	Prav.g_00841	Praf.g_02516
OG0000438	Prav.g_00840	Praf.g_02517
OG0000439	Prav.g_00838	Praf.g_02519
OG0000440	Prav.g_00837	Praf.g_02520
OG0000441	Prav.g_00834	Praf.g_02524
OG0000442	Prav.g_00833	Praf.g_02525
OG0000443	Prav.g_00832	Praf.g_02531
OG0000444	Prav.g_00827	Praf.g_02575
OG0000445	Prav.g_00826	Praf.g_02574
OG0000446	Prav.g_00825	Praf.g_02572
OG0000447	Prav.g_00824	Praf.g_02568
OG0000448	Prav.g_00823	Praf.g_02567
OG0000449	Prav.g_00822	Praf.g_02566
OG0000450	Prav.g_00821	Praf.g_02560
OG0000451	Prav.g_00820	Praf.g_02559
OG0000452	Prav.g_00817	Praf.g_02555
OG0000453	Prav.g_00816	Praf.g_02554
OG0000454	Prav.g_00815	Praf.g_02553
OG0000455	Prav.g_00814	Praf.g_02552
OG0000456	Prav.g_00813	Praf.g_02551
OG0000457	Prav.g_00812	Praf.g_02549
OG0000458	Prav.g_00811	Praf.g_02548
OG0000459	Prav.g_00810	Praf.g_02547
OG0000460	Prav.g_00803	Praf.g_00379
OG0000461	Prav.g_01889	Praf.g_02203
OG0000462	Prav.g_01891	Praf.g_02207
OG0000463	Prav.g_01892	Praf.g_02208
OG0000464	Prav.g_01893	Praf.g_02209
OG0000465	Prav.g_01894	Praf.g_02210
OG0000466	Prav.g_01897	Praf.g_02215
OG0000467	Prav.g_01898	Praf.g_02217
OG0000468	Prav.g_01900	Praf.g_02242
OG0000469	Prav.g_01909	Praf.g_02255
OG0000470	Prav.g_01911	Praf.g_02259
OG0000471	Prav.g_01912	Praf.g_02260
OG0000472	Prav.g_01913	Praf.g_02262
OG0000473	Prav.g_01915	Praf.g_02264
OG0000474	Prav.g_01916	Praf.g_02265
OG0000475	Prav.g_01917	Praf.g_02266
OG0000476	Prav.g_01918	Praf.g_02268
OG0000477	Prav.g_01921	Praf.g_02273
OG0000478	Prav.g_01922	Praf.g_02274
OG0000479	Prav.g_01923	Praf.g_02275
OG0000480	Prav.g_01928	Praf.g_02282
OG0000481	Prav.g_01930	Praf.g_02284
OG0000482	Prav.g_01931	Praf.g_02285
OG0000483	Prav.g_01934	Praf.g_02289
OG0000484	Prav.g_01935	Praf.g_02290
OG0000485	Prav.g_01936	Praf.g_02291
OG0000486	Prav.g_01937	Praf.g_02292
OG0000487	Prav.g_01941	Praf.g_02297
OG0000488	Prav.g_01944	Praf.g_02301
OG0000489	Prav.g_01949	Praf.g_02315
OG0000490	Prav.g_01954	Praf.g_02321
OG0000491	Prav.g_01955	Praf.g_02322
OG0000492	Prav.g_01957	Praf.g_02324
OG0000493	Prav.g_01958	Praf.g_02325
OG0000494	Prav.g_01959	Praf.g_02326
OG0000495	Prav.g_01960	Praf.g_02327
OG0000496	Prav.g_01961	Praf.g_02328
OG0000497	Prav.g_01962	Praf.g_02329
OG0000498	Prav.g_01963	Praf.g_02330
OG0000499	Prav.g_01964	Praf.g_02331
OG0000500	Prav.g_01965	Praf.g_02332
OG0000501	Prav.g_01967	Praf.g_02335
OG0000502	Prav.g_01970	Praf.g_02349
OG0000503	Prav.g_01980	Praf.g_02054
OG0000504	Prav.g_01981	Praf.g_02052
OG0000505	Prav.g_01982	Praf.g_02051
OG0000506	Prav.g_01984	Praf.g_02049
OG0000507	Prav.g_01987	Praf.g_02045
OG0000508	Prav.g_01991	Praf.g_02031
OG0000509	Prav.g_01993	Praf.g_02029
OG0000510	Prav.g_01994	Praf.g_02028
OG0000511	Prav.g_01995	Praf.g_02027
OG0000512	Prav.g_01997	Praf.g_02025
OG0000513	Prav.g_00977	Praf.g_02011
OG0000514	Prav.g_01030	Praf.g_02002
OG0000515	Prav.g_01031	Praf.g_02001
OG0000516	Prav.g_01032	Praf.g_01999
OG0000517	Prav.g_01034	Praf.g_01990
OG0000518	Prav.g_01045	Praf.g_01978
OG0000519	Prav.g_01046	Praf.g_01977
OG0000520	Prav.g_01047	Praf.g_01972
OG0000521	Prav.g_01052	Praf.g_01959
OG0000522	Prav.g_01053	Praf.g_01957
OG0000523	Prav.g_01054	Praf.g_01956
OG0000524	Prav.g_01059	Praf.g_01942
OG0000525	Prav.g_01062	Praf.g_01915
OG0000526	Prav.g_01063	Praf.g_01913
OG0000527	Prav.g_01071	Praf.g_01909
OG0000528	Prav.g_01076	Praf.g_00589
OG0000529	Prav.g_01079	Praf.g_00596
OG0000530	Prav.g_01082	Praf.g_00599
OG0000531	Prav.g_01083	Praf.g_00600
OG0000532	Prav.g_01085	Praf.g_00603
OG0000533	Prav.g_01086	Praf.g_00605
OG0000534	Prav.g_01087	Praf.g_00606
OG0000535	Prav.g_01088	Praf.g_00607
OG0000536	Prav.g_01089	Praf.g_00608
OG0000537	Prav.g_01090	Praf.g_00609
OG0000538	Prav.g_01098	Praf.g_00619
OG0000539	Prav.g_01099	Praf.g_00621
OG0000540	Prav.g_01100	Praf.g_00622
OG0000541	Prav.g_01101	Praf.g_00623
OG0000542	Prav.g_01103	Praf.g_00626
OG0000543	Prav.g_01105	Praf.g_00628
OG0000544	Prav.g_01106	Praf.g_00629
OG0000545	Prav.g_01108	Praf.g_00630
OG0000546	Prav.g_01111	Praf.g_00632
OG0000547	Prav.g_01113	Praf.g_00634
OG0000548	Prav.g_01114	Praf.g_00635
OG0000549	Prav.g_01116	Praf.g_00641
OG0000550	Prav.g_01121	Praf.g_00646
OG0000551	Prav.g_01125	Praf.g_00650
OG0000552	Prav.g_01126	Praf.g_00651
OG0000553	Prav.g_01127	Praf.g_00656
OG0000554	Prav.g_01132	Praf.g_00661
OG0000555	Prav.g_01140	Praf.g_00677
OG0000556	Prav.g_01142	Praf.g_00683
OG0000557	Prav.g_01143	Praf.g_00684
OG0000558	Prav.g_01145	Praf.g_00687
OG0000559	Prav.g_01149	Praf.g_00691
OG0000560	Prav.g_01152	Praf.g_00694
OG0000561	Prav.g_01153	Praf.g_00695
OG0000562	Prav.g_01154	Praf.g_00696
OG0000563	Prav.g_01155	Praf.g_00697
OG0000564	Prav.g_01156	Praf.g_00698
OG0000565	Prav.g_01159	Praf.g_00701
OG0000566	Prav.g_01161	Praf.g_00705
OG0000567	Prav.g_01165	Praf.g_00709
OG0000568	Prav.g_01166	Praf.g_00711
OG0000569	Prav.g_01167	Praf.g_00712
OG0000570	Prav.g_01168	Praf.g_00713
OG0000571	Prav.g_01170	Praf.g_00716
OG0000572	Prav.g_01183	Praf.g_00733
OG0000573	Prav.g_01188	Praf.g_00740
OG0000574	Prav.g_01189	Praf.g_00741
OG0000575	Prav.g_01193	Praf.g_00751
OG0000576	Prav.g_01195	Praf.g_00753
