Orthogroup	Prav	Syao
OG0000234	Prav.g_01074	Syao.g_02680
OG0000235	Prav.g_01077	Syao.g_00029
OG0000236	Prav.g_01091	Syao.g_00111
OG0000237	Prav.g_01104	Syao.g_00166
OG0000238	Prav.g_01110	Syao.g_00161
OG0000239	Prav.g_01123	Syao.g_01398
OG0000240	Prav.g_01124	Syao.g_01399
OG0000241	Prav.g_01128	Syao.g_00887
OG0000242	Prav.g_01130	Syao.g_01410
OG0000243	Prav.g_01141, Prav.g_00954	Syao.g_00873
OG0000244	Prav.g_01144	Syao.g_00865
OG0000245	Prav.g_01146	Syao.g_00863
OG0000246	Prav.g_01150	Syao.g_00859
OG0000247	Prav.g_01160	Syao.g_00847
OG0000248	Prav.g_01162	Syao.g_00844
OG0000249	Prav.g_01164	Syao.g_00842
OG0000250	Prav.g_01169	Syao.g_00835
OG0000251	Prav.g_01187	Syao.g_01026
OG0000252	Prav.g_01190	Syao.g_01020
OG0000253	Prav.g_01191	Syao.g_01003
OG0000254	Prav.g_01207	Syao.g_01053
OG0000255	Prav.g_01213	Syao.g_01009
OG0000256	Prav.g_01225	Syao.g_01328
OG0000257	Prav.g_01228	Syao.g_00884
OG0000258	Prav.g_01241	Syao.g_00907
OG0000259	Prav.g_01258	Syao.g_00933, Syao.g_00932
OG0000260	Prav.g_01261	Syao.g_00936
OG0000261	Prav.g_01263	Syao.g_00941
OG0000262	Prav.g_01267	Syao.g_00946
OG0000263	Prav.g_01279	Syao.g_00247
OG0000264	Prav.g_01289	Syao.g_00699
OG0000265	Prav.g_00306	Syao.g_00049
OG0000266	Prav.g_00316	Syao.g_00480
OG0000267	Prav.g_00327	Syao.g_00589
OG0000268	Prav.g_00328	Syao.g_00588
OG0000269	Prav.g_00392	Syao.g_00751
OG0000270	Prav.g_00395	Syao.g_00754
OG0000271	Prav.g_00403	Syao.g_00762
OG0000272	Prav.g_00404	Syao.g_00763
OG0000273	Prav.g_00427	Syao.g_00791
OG0000274	Prav.g_00428	Syao.g_00792
OG0000275	Prav.g_00430	Syao.g_00438
OG0000276	Prav.g_00435	Syao.g_00558
OG0000277	Prav.g_00436	Syao.g_00557
OG0000278	Prav.g_00439	Syao.g_00554
OG0000279	Prav.g_00446	Syao.g_00529
OG0000280	Prav.g_00447	Syao.g_00608
OG0000281	Prav.g_00452	Syao.g_01377
OG0000282	Prav.g_00501	Syao.g_00967
OG0000283	Prav.g_00533	Syao.g_00640
OG0000284	Prav.g_00538	Syao.g_00634
OG0000285	Prav.g_00543	Syao.g_00706
OG0000286	Prav.g_00555	Syao.g_00675
OG0000287	Prav.g_00572	Syao.g_00825
OG0000288	Prav.g_00906	Syao.g_00446
OG0000289	Prav.g_00917	Syao.g_00461
OG0000290	Prav.g_00930	Syao.g_00428
OG0000291	Prav.g_00932	Syao.g_00333
OG0000292	Prav.g_00261	Syao.g_02196
OG0000293	Prav.g_00056	Syao.g_00136
OG0000294	Prav.g_00057	Syao.g_00135
OG0000295	Prav.g_00077	Syao.g_00186
OG0000296	Prav.g_01867	Syao.g_00184
OG0000297	Prav.g_01859	Syao.g_00171
OG0000298	Prav.g_01858	Syao.g_00170
OG0000299	Prav.g_01841	Syao.g_00231
OG0000300	Prav.g_01838	Syao.g_00274
OG0000301	Prav.g_00955, Prav.g_01837	Syao.g_00272, Syao.g_00273
OG0000302	Prav.g_01835	Syao.g_00271
OG0000303	Prav.g_01828	Syao.g_00262
OG0000304	Prav.g_01824	Syao.g_00256
OG0000305	Prav.g_01465	Syao.g_00388
OG0000306	Prav.g_01468	Syao.g_01216
OG0000307	Prav.g_01482	Syao.g_00045
OG0000308	Prav.g_01483	Syao.g_00047
OG0000309	Prav.g_01487	Syao.g_02705
OG0000310	Prav.g_01563	Syao.g_01530
OG0000311	Prav.g_01565	Syao.g_01533
OG0000312	Prav.g_01568	Syao.g_01538
OG0000313	Prav.g_01582	Syao.g_01491
OG0000314	Prav.g_01605	Syao.g_00078
OG0000315	Prav.g_01615	Syao.g_00088
OG0000316	Prav.g_01635	Syao.g_01602
OG0000317	Prav.g_01759	Syao.g_01560
OG0000318	Prav.g_01762	Syao.g_01553
OG0000319	Prav.g_01775	Syao.g_01678
OG0000320	Prav.g_01777	Syao.g_01676
OG0000321	Prav.g_01778	Syao.g_01675
OG0000322	Prav.g_01779	Syao.g_01674
OG0000323	Prav.g_01788	Syao.g_01661
OG0000324	Prav.g_01815	Syao.g_01630
OG0000325	Prav.g_00269	Syao.g_01936
OG0000326	Prav.g_00275	Syao.g_01918
OG0000327	Prav.g_00591	Syao.g_01795
OG0000328	Prav.g_00592	Syao.g_01794
OG0000329	Prav.g_00609	Syao.g_01776
OG0000330	Prav.g_00610	Syao.g_01775
OG0000331	Prav.g_00611	Syao.g_01774
OG0000332	Prav.g_00625	Syao.g_01813
OG0000333	Prav.g_00627	Syao.g_01810
OG0000334	Prav.g_00635	Syao.g_01836
OG0000335	Prav.g_00640	Syao.g_01831
OG0000336	Prav.g_00644	Syao.g_01827
OG0000337	Prav.g_00661	Syao.g_01968
OG0000338	Prav.g_00662	Syao.g_01962
OG0000339	Prav.g_00666	Syao.g_02259
OG0000340	Prav.g_00674	Syao.g_02129
OG0000341	Prav.g_00676	Syao.g_02131
OG0000342	Prav.g_00677	Syao.g_02132
OG0000343	Prav.g_00678	Syao.g_02133
OG0000344	Prav.g_00681	Syao.g_02137
OG0000345	Prav.g_00686	Syao.g_01953
OG0000346	Prav.g_00690	Syao.g_01948
OG0000347	Prav.g_00706	Syao.g_02178
OG0000348	Prav.g_00715	Syao.g_02166
OG0000349	Prav.g_00732	Syao.g_02219
OG0000350	Prav.g_00751	Syao.g_01925
OG0000351	Prav.g_00768	Syao.g_02331
OG0000352	Prav.g_00769	Syao.g_02332
OG0000353	Prav.g_00785	Syao.g_02160
OG0000354	Prav.g_01352	Syao.g_02252
OG0000355	Prav.g_00787	Syao.g_02162
OG0000356	Prav.g_00788	Syao.g_02163
OG0000357	Prav.g_00789	Syao.g_02164
OG0000358	Prav.g_00793	Syao.g_02154
OG0000359	Prav.g_00794	Syao.g_02152
OG0000360	Prav.g_00795	Syao.g_02151
OG0000361	Prav.g_00078	Syao.g_02150
OG0000362	Prav.g_00080	Syao.g_01954
OG0000363	Prav.g_00082	Syao.g_02255
OG0000364	Prav.g_00083	Syao.g_01558
OG0000365	Prav.g_00088	Syao.g_02246
OG0000366	Prav.g_00089	Syao.g_02245
OG0000367	Prav.g_00090	Syao.g_02244
OG0000368	Prav.g_00092	Syao.g_02242
OG0000369	Prav.g_00093	Syao.g_02241
OG0000370	Prav.g_00094	Syao.g_02240
OG0000371	Prav.g_00100	Syao.g_02231
OG0000372	Prav.g_00103	Syao.g_02226
OG0000373	Prav.g_00104	Syao.g_02225
OG0000374	Prav.g_00105	Syao.g_02224
OG0000375	Prav.g_00111	Syao.g_02223
OG0000376	Prav.g_00113	Syao.g_02221
OG0000377	Prav.g_00116	Syao.g_02429
OG0000378	Prav.g_00118	Syao.g_02414
OG0000379	Prav.g_00121	Syao.g_02409
OG0000380	Prav.g_00131	Syao.g_02616
OG0000381	Prav.g_00135	Syao.g_02618
OG0000382	Prav.g_00146	Syao.g_02636
OG0000383	Prav.g_00148	Syao.g_02643
OG0000384	Prav.g_00149	Syao.g_02644
OG0000385	Prav.g_00150	Syao.g_02645
OG0000386	Prav.g_00151	Syao.g_02646
OG0000387	Prav.g_00164	Syao.g_01019
OG0000388	Prav.g_00167	Syao.g_02596
OG0000389	Prav.g_00171	Syao.g_02599
OG0000390	Prav.g_00178	Syao.g_02567
OG0000391	Prav.g_00181	Syao.g_02572
OG0000392	Prav.g_00185	Syao.g_02578
OG0000393	Prav.g_00187	Syao.g_02581
OG0000394	Prav.g_00188	Syao.g_02582
OG0000395	Prav.g_00189	Syao.g_02583
OG0000396	Prav.g_00192	Syao.g_02586
OG0000397	Prav.g_00194	Syao.g_02542
OG0000398	Prav.g_00196	Syao.g_02547
OG0000399	Prav.g_00197	Syao.g_02548
OG0000400	Prav.g_00198	Syao.g_02549
OG0000401	Prav.g_00199	Syao.g_02550
OG0000402	Prav.g_00201	Syao.g_02552
OG0000403	Prav.g_00202	Syao.g_02553
OG0000404	Prav.g_00203	Syao.g_02554
OG0000405	Prav.g_00207	Syao.g_02478
OG0000406	Prav.g_00214	Syao.g_02482
OG0000407	Prav.g_00215	Syao.g_02483
OG0000409	Prav.g_00886	Syao.g_02487
OG0000410	Prav.g_00885	Syao.g_02488
OG0000411	Prav.g_00884	Syao.g_02489
OG0000412	Prav.g_00883	Syao.g_02490
OG0000413	Prav.g_00882	Syao.g_02492
OG0000414	Prav.g_00881	Syao.g_02493
OG0000415	Prav.g_00880	Syao.g_02494
OG0000416	Prav.g_00879	Syao.g_02495
OG0000417	Prav.g_00878	Syao.g_02497
OG0000418	Prav.g_00873	Syao.g_02502
OG0000419	Prav.g_00871	Syao.g_02504
OG0000420	Prav.g_00870	Syao.g_02506
OG0000421	Prav.g_00865	Syao.g_02510
OG0000422	Prav.g_00864	Syao.g_02511
OG0000423	Prav.g_00863	Syao.g_02512
OG0000424	Prav.g_00862	Syao.g_02513
OG0000425	Prav.g_00861	Syao.g_02514
OG0000426	Prav.g_00860	Syao.g_02515
OG0000427	Prav.g_00859	Syao.g_02516
OG0000428	Prav.g_00857	Syao.g_02519
OG0000429	Prav.g_00856	Syao.g_02522
OG0000430	Prav.g_00855	Syao.g_02523
OG0000431	Prav.g_00853	Syao.g_02526
OG0000432	Prav.g_00850	Syao.g_02532
OG0000433	Prav.g_00849	Syao.g_02534
OG0000434	Prav.g_00848	Syao.g_02535
OG0000435	Prav.g_00847	Syao.g_02538
OG0000436	Prav.g_00842	Syao.g_02458
OG0000437	Prav.g_00841	Syao.g_02459
OG0000438	Prav.g_00840	Syao.g_02460
OG0000439	Prav.g_00838	Syao.g_02462
OG0000440	Prav.g_00837	Syao.g_02463
OG0000441	Prav.g_00834	Syao.g_02466
OG0000442	Prav.g_00833	Syao.g_02467
OG0000443	Prav.g_00832	Syao.g_02468
OG0000444	Prav.g_00827	Syao.g_02473
OG0000445	Prav.g_00826	Syao.g_02474
OG0000446	Prav.g_00825	Syao.g_02476
OG0000447	Prav.g_00824	Syao.g_02383
OG0000448	Prav.g_00823	Syao.g_02384
OG0000449	Prav.g_00822	Syao.g_02385
OG0000450	Prav.g_00821	Syao.g_02391
OG0000451	Prav.g_00820	Syao.g_02392
OG0000452	Prav.g_00817	Syao.g_02396
OG0000453	Prav.g_00816	Syao.g_02397
OG0000454	Prav.g_00815	Syao.g_02398
OG0000455	Prav.g_00814	Syao.g_02399
OG0000456	Prav.g_00813	Syao.g_02400
OG0000457	Prav.g_00812	Syao.g_02402
OG0000458	Prav.g_00811	Syao.g_02403
OG0000459	Prav.g_00810	Syao.g_02404
OG0000460	Prav.g_00803	Syao.g_01702
OG0000461	Prav.g_01889	Syao.g_02119
OG0000462	Prav.g_01891	Syao.g_02116
OG0000463	Prav.g_01892	Syao.g_02115
OG0000464	Prav.g_01893	Syao.g_02114
OG0000465	Prav.g_01894	Syao.g_02112
OG0000466	Prav.g_01897	Syao.g_02107
OG0000467	Prav.g_01898	Syao.g_02106
OG0000468	Prav.g_01900	Syao.g_02102
OG0000469	Prav.g_01909	Syao.g_02087
OG0000470	Prav.g_01911	Syao.g_02085
OG0000471	Prav.g_01912	Syao.g_02084
OG0000472	Prav.g_01913	Syao.g_02082
OG0000473	Prav.g_01915	Syao.g_02080
OG0000474	Prav.g_01916	Syao.g_02079
OG0000475	Prav.g_01917	Syao.g_02078
OG0000476	Prav.g_01918	Syao.g_02076
OG0000477	Prav.g_01921	Syao.g_02069
OG0000478	Prav.g_01922	Syao.g_02068
OG0000479	Prav.g_01923	Syao.g_02067
OG0000480	Prav.g_01928	Syao.g_02060
OG0000481	Prav.g_01930	Syao.g_01012
OG0000482	Prav.g_01931	Syao.g_02058
OG0000483	Prav.g_01934	Syao.g_02054
OG0000484	Prav.g_01935	Syao.g_02053
OG0000485	Prav.g_01936	Syao.g_02052
OG0000486	Prav.g_01937	Syao.g_02051
OG0000487	Prav.g_01941	Syao.g_02044
OG0000488	Prav.g_01944	Syao.g_02040
OG0000489	Prav.g_01949	Syao.g_02033
OG0000490	Prav.g_01954	Syao.g_02025
OG0000491	Prav.g_01955	Syao.g_02024
OG0000492	Prav.g_01957	Syao.g_02022
OG0000493	Prav.g_01958	Syao.g_02021
OG0000494	Prav.g_01959	Syao.g_02020
OG0000495	Prav.g_01960	Syao.g_02018
OG0000496	Prav.g_01961	Syao.g_02017
OG0000497	Prav.g_01962	Syao.g_02016
OG0000498	Prav.g_01963	Syao.g_02015
OG0000499	Prav.g_01964	Syao.g_02014
OG0000500	Prav.g_01965	Syao.g_02013
OG0000501	Prav.g_01967	Syao.g_02010
OG0000502	Prav.g_01970	Syao.g_01974
OG0000503	Prav.g_01980	Syao.g_01877
OG0000504	Prav.g_01981	Syao.g_01875
OG0000505	Prav.g_01982	Syao.g_01874
OG0000506	Prav.g_01984	Syao.g_01872
OG0000507	Prav.g_01987	Syao.g_01866
OG0000508	Prav.g_01991	Syao.g_01750
OG0000509	Prav.g_01993	Syao.g_01755
OG0000510	Prav.g_01994	Syao.g_01756
OG0000511	Prav.g_01995	Syao.g_01757
OG0000512	Prav.g_01997	Syao.g_01759
OG0000513	Prav.g_00977	Syao.g_01720
OG0000514	Prav.g_01030	Syao.g_01727
OG0000515	Prav.g_01031	Syao.g_01728
OG0000516	Prav.g_01032	Syao.g_01730
OG0000517	Prav.g_01034	Syao.g_01735
OG0000518	Prav.g_01045	Syao.g_01621
OG0000519	Prav.g_01046	Syao.g_01622
OG0000520	Prav.g_01047	Syao.g_01512
OG0000521	Prav.g_01052	Syao.g_00061
OG0000522	Prav.g_01053	Syao.g_00059
OG0000523	Prav.g_01054	Syao.g_00058
OG0000524	Prav.g_01059	Syao.g_02699
OG0000525	Prav.g_01062	Syao.g_02691
OG0000526	Prav.g_01063	Syao.g_02688
OG0000527	Prav.g_01071	Syao.g_02684
OG0000528	Prav.g_01076	Syao.g_00031
OG0000529	Prav.g_01079	Syao.g_00027
OG0000530	Prav.g_01082	Syao.g_00122
OG0000531	Prav.g_01083	Syao.g_00121
OG0000532	Prav.g_01085	Syao.g_00118
OG0000533	Prav.g_01086	Syao.g_00116
OG0000534	Prav.g_01087	Syao.g_00115
OG0000535	Prav.g_01088	Syao.g_00114
OG0000536	Prav.g_01089	Syao.g_00113
OG0000537	Prav.g_01090	Syao.g_00112
OG0000538	Prav.g_01098	Syao.g_00100
OG0000539	Prav.g_01099	Syao.g_00099
OG0000540	Prav.g_01100	Syao.g_00098
OG0000541	Prav.g_01101	Syao.g_00097
OG0000542	Prav.g_01103	Syao.g_00167
OG0000543	Prav.g_01105	Syao.g_00165
OG0000544	Prav.g_01106	Syao.g_00164
OG0000545	Prav.g_01108	Syao.g_00162
OG0000546	Prav.g_01111	Syao.g_00160
OG0000547	Prav.g_01113	Syao.g_00158
OG0000548	Prav.g_01114	Syao.g_00157
OG0000549	Prav.g_01116	Syao.g_01391
OG0000550	Prav.g_01121	Syao.g_01396
OG0000551	Prav.g_01125	Syao.g_01401
OG0000552	Prav.g_01126	Syao.g_01402
OG0000553	Prav.g_01127	Syao.g_01404
OG0000554	Prav.g_01132	Syao.g_01413
OG0000555	Prav.g_01140	Syao.g_00875
OG0000556	Prav.g_01142	Syao.g_00871
OG0000557	Prav.g_01143	Syao.g_00866
OG0000558	Prav.g_01145	Syao.g_00864
OG0000559	Prav.g_01149	Syao.g_00860
OG0000560	Prav.g_01152	Syao.g_00857
OG0000561	Prav.g_01153	Syao.g_00856
OG0000562	Prav.g_01154	Syao.g_00855
OG0000563	Prav.g_01155	Syao.g_00854
OG0000564	Prav.g_01156	Syao.g_00853
OG0000565	Prav.g_01159	Syao.g_00849
OG0000566	Prav.g_01161	Syao.g_00845
OG0000567	Prav.g_01165	Syao.g_00841
OG0000568	Prav.g_01166	Syao.g_00839
OG0000569	Prav.g_01167	Syao.g_00838
OG0000570	Prav.g_01168	Syao.g_00837
OG0000571	Prav.g_01170	Syao.g_00834
OG0000572	Prav.g_01183	Syao.g_01033
OG0000573	Prav.g_01188	Syao.g_01022
OG0000574	Prav.g_01189	Syao.g_01021
OG0000575	Prav.g_01193	Syao.g_01000
OG0000576	Prav.g_01195	Syao.g_00996
OG0000577	Prav.g_01196	Syao.g_00995
OG0000578	Prav.g_01197	Syao.g_00994
OG0000579	Prav.g_01198	Syao.g_00993
OG0000580	Prav.g_01199	Syao.g_00992
OG0000581	Prav.g_01201	Syao.g_01059
OG0000582	Prav.g_01204	Syao.g_01204
OG0000583	Prav.g_01205	Syao.g_01205
OG0000584	Prav.g_01206	Syao.g_01206
