Orthogroup	Prav	Syad
OG0000057	Prav.g_01296	Syad.g_01301
OG0000059	Prav.g_00292	Syad.g_00642
OG0000060	Prav.g_00964	Syad.g_02370, Syad.g_00899, Syad.g_01508
OG0000061	Prav.g_00065	Syad.g_01152
OG0000062	Prav.g_01656	Syad.g_02598
OG0000063	Prav.g_00101	Syad.g_00202
OG0000065	Prav.g_00172	Syad.g_02801, Syad.g_02574
OG0000066	Prav.g_01137	Syad.g_00992
OG0000067	Prav.g_00397	Syad.g_01889
OG0000068	Prav.g_01473	Syad.g_00891
OG0000070	Prav.g_01049	Syad.g_02424
OG0000071	Prav.g_01438	Syad.g_02405
OG0000072	Prav.g_00867	Syad.g_02905
OG0000073	Prav.g_01097	Syad.g_00926
OG0000075	Prav.g_00665	Syad.g_00416
OG0000076	Prav.g_00689	Syad.g_00348
OG0000077	Prav.g_00143	Syad.g_02741
OG0000078	Prav.g_00799	Syad.g_00824
OG0000079	Prav.g_01899	Syad.g_00565
OG0000081	Prav.g_01129	Syad.g_00833
OG0000082	Prav.g_01182	Syad.g_01063
OG0000084	Prav.g_01574	Syad.g_02272
OG0000085	Prav.g_01754	Syad.g_02612
OG0000086	Prav.g_00153	Syad.g_02770
OG0000087	Prav.g_00204	Syad.g_02860
OG0000088	Prav.g_00872	Syad.g_02899
OG0000089	Prav.g_00975	Syad.g_00785, Syad.g_02829
OG0000090	Prav.g_01131	Syad.g_00977
OG0000091	Prav.g_01240	Syad.g_02144
OG0000092	Prav.g_01735	Syad.g_01190
OG0000093	Prav.g_00525	Syad.g_01905
OG0000094	Prav.g_00914	Syad.g_01676
OG0000095	Prav.g_00933	Syad.g_01290
OG0000097	Prav.g_01840	Syad.g_01458
OG0000098	Prav.g_01455	Syad.g_00625
OG0000099	Prav.g_01514	Syad.g_00460
OG0000100	Prav.g_01652	Syad.g_01846
OG0000101	Prav.g_00632	Syad.g_00694
OG0000102	Prav.g_00694	Syad.g_00343
OG0000103	Prav.g_00773	Syad.g_00143
OG0000104	Prav.g_00782	Syad.g_00158
OG0000105	Prav.g_01920	Syad.g_00530
OG0000106	Prav.g_00989	Syad.g_01993
OG0000107	Prav.g_01001	Syad.g_00590
OG0000108	Prav.g_01078	Syad.g_00904
OG0000109	Prav.g_01092	Syad.g_00919
OG0000110	Prav.g_01172	Syad.g_01048
OG0000111	Prav.g_01297	Syad.g_01300
OG0000112	Prav.g_00364	Syad.g_01766
OG0000113	Prav.g_00419	Syad.g_01851
OG0000114	Prav.g_00499	Syad.g_01617
OG0000115	Prav.g_00010	Syad.g_02300
OG0000116	Prav.g_00055	Syad.g_01123
OG0000117	Prav.g_01390	Syad.g_01510
OG0000118	Prav.g_01450	Syad.g_01104
OG0000119	Prav.g_01469	Syad.g_01168
OG0000120	Prav.g_01513	Syad.g_00459
OG0000121	Prav.g_01580	Syad.g_02280
OG0000122	Prav.g_01618	Syad.g_02122
OG0000123	Prav.g_00639	Syad.g_00701
OG0000124	Prav.g_00705	Syad.g_00320
OG0000125	Prav.g_00741	Syad.g_03040
OG0000126	Prav.g_00781	Syad.g_00156
OG0000128	Prav.g_00079	Syad.g_00174
OG0000129	Prav.g_00115	Syad.g_03028
OG0000130	Prav.g_00134	Syad.g_02728
OG0000131	Prav.g_00212	Syad.g_02876
OG0000132	Prav.g_00874	Syad.g_02897
OG0000133	Prav.g_01968	Syad.g_01761
OG0000134	Prav.g_00976	Syad.g_00788
OG0000135	Prav.g_00999	Syad.g_00063
OG0000136	Prav.g_01040	Syad.g_02445
OG0000137	Prav.g_01073	Syad.g_02353
OG0000138	Prav.g_01093	Syad.g_00920
OG0000139	Prav.g_01135	Syad.g_00983
OG0000140	Prav.g_01136	Syad.g_00987
OG0000141	Prav.g_01203	Syad.g_02208
OG0000142	Prav.g_01233	Syad.g_02152
OG0000143	Prav.g_01237	Syad.g_02148
OG0000144	Prav.g_01250	Syad.g_02024
OG0000145	Prav.g_00362	Syad.g_00927
OG0000146	Prav.g_00365	Syad.g_01767
OG0000147	Prav.g_00366	Syad.g_01768
OG0000148	Prav.g_00413	Syad.g_01861
OG0000149	Prav.g_00443	Syad.g_01221
OG0000150	Prav.g_00451	Syad.g_02207, Syad.g_00989
OG0000151	Prav.g_00509	Syad.g_01956
OG0000152	Prav.g_00556	Syad.g_01757
OG0000153	Prav.g_00575	Syad.g_01713
OG0000154	Prav.g_00907	Syad.g_01686
OG0000155	Prav.g_01861	Syad.g_01189
OG0000156	Prav.g_01427	Syad.g_01116
OG0000157	Prav.g_01428	Syad.g_01115
OG0000158	Prav.g_01505	Syad.g_00374
OG0000160	Prav.g_01579	Syad.g_02279
OG0000161	Prav.g_01585	Syad.g_02287
OG0000162	Prav.g_01591	Syad.g_02293
OG0000163	Prav.g_01625	Syad.g_02542
OG0000164	Prav.g_01785	Syad.g_02659
OG0000165	Prav.g_01792	Syad.g_02476
OG0000166	Prav.g_00596	Syad.g_00654
OG0000167	Prav.g_00663	Syad.g_00419
OG0000168	Prav.g_00673	Syad.g_00371
OG0000169	Prav.g_00683	Syad.g_00360
OG0000170	Prav.g_00685	Syad.g_00353
OG0000171	Prav.g_00704	Syad.g_00321
OG0000172	Prav.g_00712	Syad.g_00244
OG0000173	Prav.g_00727	Syad.g_00220
OG0000174	Prav.g_00755	Syad.g_00065
OG0000175	Prav.g_00765	Syad.g_00129
OG0000176	Prav.g_00790	Syad.g_00166
OG0000177	Prav.g_00791	Syad.g_00167
OG0000178	Prav.g_00792	Syad.g_00168
OG0000179	Prav.g_00084	Syad.g_00183
OG0000180	Prav.g_00085	Syad.g_00184
OG0000181	Prav.g_00086	Syad.g_00185
OG0000182	Prav.g_00087	Syad.g_00186
OG0000183	Prav.g_00091	Syad.g_00190
OG0000184	Prav.g_00117	Syad.g_03018
OG0000185	Prav.g_00120	Syad.g_03006
OG0000186	Prav.g_00129	Syad.g_02722
OG0000187	Prav.g_00130	Syad.g_02724
OG0000188	Prav.g_00147	Syad.g_02759
OG0000189	Prav.g_00161	Syad.g_02788
OG0000190	Prav.g_00162	Syad.g_02790
OG0000191	Prav.g_00182	Syad.g_02824
OG0000192	Prav.g_00186	Syad.g_02834
OG0000193	Prav.g_00213	Syad.g_02877
OG0000194	Prav.g_00216	Syad.g_02880
OG0000195	Prav.g_00887	Syad.g_02884
OG0000196	Prav.g_00877	Syad.g_02894
OG0000197	Prav.g_00876	Syad.g_02895
OG0000198	Prav.g_00875	Syad.g_02896
OG0000199	Prav.g_00868	Syad.g_02904
OG0000200	Prav.g_00854	Syad.g_02921
OG0000201	Prav.g_00846	Syad.g_02937
OG0000202	Prav.g_00845	Syad.g_02938
OG0000203	Prav.g_00844	Syad.g_02939
OG0000204	Prav.g_00843	Syad.g_02940
OG0000205	Prav.g_00836	Syad.g_02948
OG0000206	Prav.g_00831	Syad.g_02955
OG0000207	Prav.g_00829	Syad.g_02957
OG0000208	Prav.g_00828	Syad.g_02958
OG0000209	Prav.g_00819	Syad.g_02981
OG0000210	Prav.g_00818	Syad.g_02982
OG0000211	Prav.g_00805	Syad.g_00813
OG0000212	Prav.g_00798	Syad.g_00825
OG0000213	Prav.g_01904	Syad.g_00556
OG0000214	Prav.g_01914	Syad.g_00538
OG0000215	Prav.g_01938	Syad.g_00508
OG0000216	Prav.g_01940	Syad.g_00504, Syad.g_00285
OG0000217	Prav.g_01943	Syad.g_00500
OG0000218	Prav.g_01945	Syad.g_00498
OG0000219	Prav.g_01946	Syad.g_00497
OG0000220	Prav.g_01947	Syad.g_00496
OG0000221	Prav.g_01948	Syad.g_00488
OG0000222	Prav.g_01956	Syad.g_00473
OG0000223	Prav.g_01969	Syad.g_00451
OG0000224	Prav.g_01971	Syad.g_00444
OG0000225	Prav.g_01992	Syad.g_00777
OG0000226	Prav.g_01996	Syad.g_00781
OG0000227	Prav.g_01998	Syad.g_00783
OG0000228	Prav.g_00974	Syad.g_00784
OG0000229	Prav.g_01035	Syad.g_02450
OG0000230	Prav.g_01037	Syad.g_02448
OG0000231	Prav.g_01048	Syad.g_02436
OG0000232	Prav.g_01056	Syad.g_02392
OG0000233	Prav.g_01061	Syad.g_02382
OG0000234	Prav.g_01074	Syad.g_02351
OG0000235	Prav.g_01077	Syad.g_00903
OG0000236	Prav.g_01091	Syad.g_00918
OG0000237	Prav.g_01104	Syad.g_00936
OG0000238	Prav.g_01110	Syad.g_00941
OG0000239	Prav.g_01123	Syad.g_00957
OG0000240	Prav.g_01124	Syad.g_00958
OG0000241	Prav.g_01128	Syad.g_02160
OG0000242	Prav.g_01130	Syad.g_00975
OG0000243	Prav.g_01141, Prav.g_00954	Syad.g_01000
OG0000244	Prav.g_01144	Syad.g_01012
OG0000245	Prav.g_01146	Syad.g_01014
OG0000246	Prav.g_01150	Syad.g_01017
OG0000247	Prav.g_01160	Syad.g_01029
OG0000248	Prav.g_01162	Syad.g_01032
OG0000249	Prav.g_01164	Syad.g_01034
OG0000250	Prav.g_01169	Syad.g_01044
OG0000251	Prav.g_01187	Syad.g_01071
OG0000252	Prav.g_01190	Syad.g_01078
OG0000253	Prav.g_01191	Syad.g_01081
OG0000254	Prav.g_01207	Syad.g_02203
OG0000255	Prav.g_01213	Syad.g_02185
OG0000256	Prav.g_01225	Syad.g_02167
OG0000257	Prav.g_01228	Syad.g_02161
OG0000258	Prav.g_01241	Syad.g_02143
OG0000259	Prav.g_01258	Syad.g_01576
OG0000260	Prav.g_01261	Syad.g_01587
OG0000261	Prav.g_01263	Syad.g_01590
OG0000262	Prav.g_01267	Syad.g_01595
OG0000263	Prav.g_01279	Syad.g_01475
OG0000264	Prav.g_01289	Syad.g_01360
OG0000265	Prav.g_00306	Syad.g_01383
OG0000266	Prav.g_00316	Syad.g_01804
OG0000267	Prav.g_00327	Syad.g_01645
OG0000268	Prav.g_00328	Syad.g_01646
OG0000269	Prav.g_00392	Syad.g_01894
OG0000270	Prav.g_00395	Syad.g_01891
OG0000271	Prav.g_00403	Syad.g_01883
OG0000272	Prav.g_00404	Syad.g_01882
OG0000273	Prav.g_00427	Syad.g_01247
OG0000274	Prav.g_00428	Syad.g_01246
OG0000275	Prav.g_00430	Syad.g_01242
OG0000276	Prav.g_00435	Syad.g_01229
OG0000277	Prav.g_00436	Syad.g_01228
OG0000278	Prav.g_00439	Syad.g_01225
OG0000279	Prav.g_00446	Syad.g_01208
OG0000280	Prav.g_00447	Syad.g_01198
OG0000281	Prav.g_00452	Syad.g_00624
OG0000282	Prav.g_00501	Syad.g_01619
OG0000283	Prav.g_00533	Syad.g_01661
OG0000284	Prav.g_00538	Syad.g_01787
OG0000285	Prav.g_00543	Syad.g_01776
OG0000286	Prav.g_00555	Syad.g_01758
OG0000287	Prav.g_00572	Syad.g_01720
OG0000288	Prav.g_00906	Syad.g_01687
OG0000289	Prav.g_00917	Syad.g_01672
OG0000290	Prav.g_00930	Syad.g_01287
OG0000291	Prav.g_00932	Syad.g_01289
OG0000292	Prav.g_00261	Syad.g_00155
OG0000293	Prav.g_00056	Syad.g_01124
OG0000294	Prav.g_00057	Syad.g_01125
OG0000295	Prav.g_00077	Syad.g_01181
OG0000296	Prav.g_01867	Syad.g_01183
OG0000297	Prav.g_01859	Syad.g_01512
OG0000298	Prav.g_01858	Syad.g_01511
OG0000299	Prav.g_01841	Syad.g_01462
OG0000300	Prav.g_01838	Syad.g_01455
OG0000301	Prav.g_00955, Prav.g_01837	Syad.g_01454
OG0000302	Prav.g_01835	Syad.g_01453
OG0000303	Prav.g_01828	Syad.g_01442
OG0000304	Prav.g_01824	Syad.g_01436
OG0000305	Prav.g_01465	Syad.g_01292
OG0000306	Prav.g_01468	Syad.g_01989
OG0000307	Prav.g_01482	Syad.g_00883
OG0000308	Prav.g_01483	Syad.g_00881
OG0000309	Prav.g_01487	Syad.g_00876
OG0000310	Prav.g_01563	Syad.g_02250
OG0000311	Prav.g_01565	Syad.g_02254
OG0000312	Prav.g_01568	Syad.g_02265
OG0000313	Prav.g_01582	Syad.g_02284
OG0000314	Prav.g_01605	Syad.g_02313, Syad.g_02231
OG0000315	Prav.g_01615	Syad.g_02323
OG0000316	Prav.g_01635	Syad.g_02564
OG0000317	Prav.g_01759	Syad.g_02620
OG0000318	Prav.g_01762	Syad.g_02624
OG0000319	Prav.g_01775	Syad.g_02642
OG0000320	Prav.g_01777	Syad.g_02644
OG0000321	Prav.g_01778	Syad.g_02645
OG0000322	Prav.g_01779	Syad.g_02646
OG0000323	Prav.g_01788	Syad.g_02661
OG0000324	Prav.g_01815	Syad.g_02505
OG0000325	Prav.g_00269	Syad.g_00591
OG0000326	Prav.g_00275	Syad.g_00598
OG0000327	Prav.g_00591	Syad.g_00649
OG0000328	Prav.g_00592	Syad.g_00650
OG0000329	Prav.g_00609	Syad.g_00668
OG0000330	Prav.g_00610	Syad.g_00669
OG0000331	Prav.g_00611	Syad.g_00670
OG0000332	Prav.g_00625	Syad.g_00685
OG0000333	Prav.g_00627	Syad.g_00688
OG0000334	Prav.g_00635	Syad.g_00697
OG0000335	Prav.g_00640	Syad.g_00702
OG0000336	Prav.g_00644	Syad.g_00706
OG0000337	Prav.g_00661	Syad.g_00425, Syad.g_00427
OG0000338	Prav.g_00662	Syad.g_00421
OG0000339	Prav.g_00666	Syad.g_00414
OG0000340	Prav.g_00674	Syad.g_00370
OG0000341	Prav.g_00676	Syad.g_00368
OG0000342	Prav.g_00677	Syad.g_00367
OG0000343	Prav.g_00678	Syad.g_00366
OG0000344	Prav.g_00681	Syad.g_00362
OG0000345	Prav.g_00686	Syad.g_00352
OG0000346	Prav.g_00690	Syad.g_00347
OG0000347	Prav.g_00706	Syad.g_00318
OG0000348	Prav.g_00715	Syad.g_00233
OG0000349	Prav.g_00732	Syad.g_00213
OG0000350	Prav.g_00751	Syad.g_00605
OG0000351	Prav.g_00768	Syad.g_00134
OG0000352	Prav.g_00769	Syad.g_00135
OG0000353	Prav.g_00785	Syad.g_00161
OG0000354	Prav.g_01352	Syad.g_00181
OG0000355	Prav.g_00787	Syad.g_00163
OG0000356	Prav.g_00788	Syad.g_00164
OG0000357	Prav.g_00789	Syad.g_00165
OG0000358	Prav.g_00793	Syad.g_00169
OG0000359	Prav.g_00794	Syad.g_00171
OG0000360	Prav.g_00795	Syad.g_00172
OG0000361	Prav.g_00078	Syad.g_00173
OG0000362	Prav.g_00080	Syad.g_00175
OG0000363	Prav.g_00082	Syad.g_00177
OG0000364	Prav.g_00083	Syad.g_00178
OG0000365	Prav.g_00088	Syad.g_00187
OG0000366	Prav.g_00089	Syad.g_00188
OG0000367	Prav.g_00090	Syad.g_00189
OG0000368	Prav.g_00092	Syad.g_00191
OG0000369	Prav.g_00093	Syad.g_00192
OG0000370	Prav.g_00094	Syad.g_00193
OG0000371	Prav.g_00100	Syad.g_00201
OG0000372	Prav.g_00103	Syad.g_00206
OG0000373	Prav.g_00104	Syad.g_00207
OG0000374	Prav.g_00105	Syad.g_00208
OG0000375	Prav.g_00111	Syad.g_00209
OG0000376	Prav.g_00113	Syad.g_00211
OG0000377	Prav.g_00116	Syad.g_03027
OG0000378	Prav.g_00118	Syad.g_03012
OG0000379	Prav.g_00121	Syad.g_03005
OG0000380	Prav.g_00131	Syad.g_02725
OG0000381	Prav.g_00135	Syad.g_02729
OG0000382	Prav.g_00146	Syad.g_02758
OG0000383	Prav.g_00148	Syad.g_02761
OG0000384	Prav.g_00149	Syad.g_02762
OG0000385	Prav.g_00150	Syad.g_02763
OG0000386	Prav.g_00151	Syad.g_02764
OG0000387	Prav.g_00164	Syad.g_02792
OG0000388	Prav.g_00167	Syad.g_02796
OG0000389	Prav.g_00171	Syad.g_02800
OG0000390	Prav.g_00178	Syad.g_02818
OG0000391	Prav.g_00181	Syad.g_02823
OG0000392	Prav.g_00185	Syad.g_02833
OG0000393	Prav.g_00187	Syad.g_02837
OG0000394	Prav.g_00188	Syad.g_02838
OG0000395	Prav.g_00189	Syad.g_02839
OG0000396	Prav.g_00192	Syad.g_02843
OG0000397	Prav.g_00194	Syad.g_02845
OG0000398	Prav.g_00196	Syad.g_02850
OG0000399	Prav.g_00197	Syad.g_02851
OG0000400	Prav.g_00198	Syad.g_02852
OG0000401	Prav.g_00199	Syad.g_02853
OG0000402	Prav.g_00201	Syad.g_02855
OG0000403	Prav.g_00202	Syad.g_02856
OG0000404	Prav.g_00203	Syad.g_02858
OG0000405	Prav.g_00207	Syad.g_02874
OG0000406	Prav.g_00214	Syad.g_02878
OG0000407	Prav.g_00215	Syad.g_02879
OG0000409	Prav.g_00886	Syad.g_02885
OG0000410	Prav.g_00885	Syad.g_02886
OG0000411	Prav.g_00884	Syad.g_02887
OG0000412	Prav.g_00883	Syad.g_02888
OG0000413	Prav.g_00882	Syad.g_02890
OG0000415	Prav.g_00880	Syad.g_02891
OG0000416	Prav.g_00879	Syad.g_02892
OG0000417	Prav.g_00878	Syad.g_02893
OG0000418	Prav.g_00873	Syad.g_02898
OG0000419	Prav.g_00871	Syad.g_02900
OG0000420	Prav.g_00870	Syad.g_02902
OG0000421	Prav.g_00865	Syad.g_02907
OG0000422	Prav.g_00864	Syad.g_02908
OG0000423	Prav.g_00863	Syad.g_02909
OG0000424	Prav.g_00862	Syad.g_02910
OG0000425	Prav.g_00861	Syad.g_02911
OG0000426	Prav.g_00860	Syad.g_02912
OG0000427	Prav.g_00859	Syad.g_02913
OG0000428	Prav.g_00857	Syad.g_02916
OG0000429	Prav.g_00856	Syad.g_02918
OG0000430	Prav.g_00855	Syad.g_02920
OG0000431	Prav.g_00853	Syad.g_02923
OG0000432	Prav.g_00850	Syad.g_02930
OG0000433	Prav.g_00849	Syad.g_02933
OG0000434	Prav.g_00848	Syad.g_02934
OG0000435	Prav.g_00847	Syad.g_02936
OG0000436	Prav.g_00842	Syad.g_02942
OG0000437	Prav.g_00841	Syad.g_02943
OG0000438	Prav.g_00840	Syad.g_02944
OG0000439	Prav.g_00838	Syad.g_02946
OG0000440	Prav.g_00837	Syad.g_02947
OG0000441	Prav.g_00834	Syad.g_02951
OG0000442	Prav.g_00833	Syad.g_02952
OG0000443	Prav.g_00832	Syad.g_02953
OG0000444	Prav.g_00827	Syad.g_02964
OG0000445	Prav.g_00826	Syad.g_02965
OG0000446	Prav.g_00825	Syad.g_02967
OG0000447	Prav.g_00824	Syad.g_02970
OG0000448	Prav.g_00823	Syad.g_02971
OG0000449	Prav.g_00822	Syad.g_02972
OG0000450	Prav.g_00821	Syad.g_02978
OG0000451	Prav.g_00820	Syad.g_02979
OG0000452	Prav.g_00817	Syad.g_02983
OG0000453	Prav.g_00816	Syad.g_02984
OG0000454	Prav.g_00815	Syad.g_02985
OG0000455	Prav.g_00814	Syad.g_02986
OG0000456	Prav.g_00813	Syad.g_02987
OG0000457	Prav.g_00812	Syad.g_02989
OG0000458	Prav.g_00811	Syad.g_02998
OG0000459	Prav.g_00810	Syad.g_02999
OG0000460	Prav.g_00803	Syad.g_00815
OG0000461	Prav.g_01889	Syad.g_00579
OG0000462	Prav.g_01891	Syad.g_00576
OG0000463	Prav.g_01892	Syad.g_00575
OG0000464	Prav.g_01893	Syad.g_00574
OG0000465	Prav.g_01894	Syad.g_00573
OG0000466	Prav.g_01897	Syad.g_00568
OG0000467	Prav.g_01898	Syad.g_00566
OG0000468	Prav.g_01900	Syad.g_00561
OG0000469	Prav.g_01909	Syad.g_00545
OG0000470	Prav.g_01911	Syad.g_00542
OG0000471	Prav.g_01912	Syad.g_00541
OG0000472	Prav.g_01913	Syad.g_00539
OG0000473	Prav.g_01915	Syad.g_00537
OG0000474	Prav.g_01916	Syad.g_00536
OG0000475	Prav.g_01917	Syad.g_00535
OG0000476	Prav.g_01918	Syad.g_00533
OG0000477	Prav.g_01921	Syad.g_00528
OG0000478	Prav.g_01922	Syad.g_00527
OG0000479	Prav.g_01923	Syad.g_00526
OG0000480	Prav.g_01928	Syad.g_00520
OG0000481	Prav.g_01930	Syad.g_00518
OG0000482	Prav.g_01931	Syad.g_00517
OG0000483	Prav.g_01934	Syad.g_00513
OG0000484	Prav.g_01935	Syad.g_00512
OG0000485	Prav.g_01936	Syad.g_00511
OG0000486	Prav.g_01937	Syad.g_00510
OG0000487	Prav.g_01941	Syad.g_00503
OG0000488	Prav.g_01944	Syad.g_00499
OG0000489	Prav.g_01949	Syad.g_00487
OG0000490	Prav.g_01954	Syad.g_00475
OG0000491	Prav.g_01955	Syad.g_00474
OG0000492	Prav.g_01957	Syad.g_00472
OG0000493	Prav.g_01958	Syad.g_00471
OG0000494	Prav.g_01959	Syad.g_00470
OG0000495	Prav.g_01960	Syad.g_00469
OG0000496	Prav.g_01961	Syad.g_00468
OG0000497	Prav.g_01962	Syad.g_00467
OG0000498	Prav.g_01963	Syad.g_00466
OG0000499	Prav.g_01964	Syad.g_00465
OG0000500	Prav.g_01965	Syad.g_00464
OG0000501	Prav.g_01967	Syad.g_00461
OG0000502	Prav.g_01970	Syad.g_00449
OG0000503	Prav.g_01980	Syad.g_00761
OG0000504	Prav.g_01981	Syad.g_00763
OG0000505	Prav.g_01982	Syad.g_00764
OG0000506	Prav.g_01984	Syad.g_00766
OG0000507	Prav.g_01987	Syad.g_00772
OG0000508	Prav.g_01991	Syad.g_00776
OG0000509	Prav.g_01993	Syad.g_00778
OG0000510	Prav.g_01994	Syad.g_00779
OG0000511	Prav.g_01995	Syad.g_00780
OG0000512	Prav.g_01997	Syad.g_00782
OG0000513	Prav.g_00977	Syad.g_00789
OG0000514	Prav.g_01030	Syad.g_00795
OG0000515	Prav.g_01031	Syad.g_00796
OG0000516	Prav.g_01032	Syad.g_02456
OG0000517	Prav.g_01034	Syad.g_02451
OG0000518	Prav.g_01045	Syad.g_02439
OG0000519	Prav.g_01046	Syad.g_02438
OG0000520	Prav.g_01047	Syad.g_02437
OG0000521	Prav.g_01052	Syad.g_01108
OG0000522	Prav.g_01053	Syad.g_01109
OG0000523	Prav.g_01054	Syad.g_01110
OG0000524	Prav.g_01059	Syad.g_02386
OG0000525	Prav.g_01062	Syad.g_02363
OG0000526	Prav.g_01063	Syad.g_02360
OG0000527	Prav.g_01071	Syad.g_02355
OG0000528	Prav.g_01076	Syad.g_00897
OG0000529	Prav.g_01079	Syad.g_00905
OG0000530	Prav.g_01082	Syad.g_00908
OG0000531	Prav.g_01083	Syad.g_00909
OG0000532	Prav.g_01085	Syad.g_00912
OG0000533	Prav.g_01086	Syad.g_00913
OG0000534	Prav.g_01087	Syad.g_00914
OG0000535	Prav.g_01088	Syad.g_00915
OG0000536	Prav.g_01089	Syad.g_00916
OG0000537	Prav.g_01090	Syad.g_00917
OG0000538	Prav.g_01098	Syad.g_00929
OG0000539	Prav.g_01099	Syad.g_00930
OG0000540	Prav.g_01100	Syad.g_00931
OG0000541	Prav.g_01101	Syad.g_00932
OG0000542	Prav.g_01103	Syad.g_00935
OG0000543	Prav.g_01105	Syad.g_00937
OG0000544	Prav.g_01106	Syad.g_00938
OG0000545	Prav.g_01108	Syad.g_00940
OG0000546	Prav.g_01111	Syad.g_00942
OG0000547	Prav.g_01113	Syad.g_00944
OG0000548	Prav.g_01114	Syad.g_00945
OG0000549	Prav.g_01116	Syad.g_00952
OG0000550	Prav.g_01121	Syad.g_00956
OG0000551	Prav.g_01125	Syad.g_00960
OG0000552	Prav.g_01126	Syad.g_00961
OG0000553	Prav.g_01127	Syad.g_00965
OG0000554	Prav.g_01132	Syad.g_00978
OG0000555	Prav.g_01140	Syad.g_00999
OG0000556	Prav.g_01142	Syad.g_01003
OG0000557	Prav.g_01143	Syad.g_01011
OG0000558	Prav.g_01145	Syad.g_01013
OG0000559	Prav.g_01149	Syad.g_01016
OG0000560	Prav.g_01152	Syad.g_01019
OG0000561	Prav.g_01153	Syad.g_01020
OG0000562	Prav.g_01154	Syad.g_01021
OG0000563	Prav.g_01155	Syad.g_01022
OG0000564	Prav.g_01156	Syad.g_01023
OG0000565	Prav.g_01159	Syad.g_01027
OG0000566	Prav.g_01161	Syad.g_01031
OG0000567	Prav.g_01165	Syad.g_01035
OG0000568	Prav.g_01166	Syad.g_01040
OG0000569	Prav.g_01167	Syad.g_01041
OG0000570	Prav.g_01168	Syad.g_01042
OG0000571	Prav.g_01170	Syad.g_01046
OG0000572	Prav.g_01183	Syad.g_01064
OG0000573	Prav.g_01188	Syad.g_01072
OG0000574	Prav.g_01189	Syad.g_01077
OG0000575	Prav.g_01193	Syad.g_01083
OG0000576	Prav.g_01195	Syad.g_01085
