Orthogroup	Prak	Prbc
OG0000167	Prak.g_00009	Prbc.g_01079
OG0000168	Prak.g_00010	Prbc.g_01080
OG0000169	Prak.g_00012	Prbc.g_01082
OG0000170	Prak.g_00014	Prbc.g_01084
OG0000171	Prak.g_00015	Prbc.g_01085
OG0000172	Prak.g_00016	Prbc.g_01086
OG0000173	Prak.g_00017	Prbc.g_01087
OG0000174	Prak.g_00018	Prbc.g_01088
OG0000175	Prak.g_00019	Prbc.g_01089
OG0000176	Prak.g_00020	Prbc.g_01090
OG0000177	Prak.g_00021	Prbc.g_01091
OG0000178	Prak.g_00022	Prbc.g_01092
OG0000179	Prak.g_00024	Prbc.g_01094
OG0000180	Prak.g_00025	Prbc.g_01095
OG0000181	Prak.g_00026	Prbc.g_01096
OG0000182	Prak.g_00027	Prbc.g_01097
OG0000183	Prak.g_00028	Prbc.g_01098
OG0000184	Prak.g_00030	Prbc.g_01099
OG0000185	Prak.g_00033	Prbc.g_01102
OG0000186	Prak.g_00036	Prbc.g_01104
OG0000187	Prak.g_00037	Prbc.g_01105
OG0000188	Prak.g_00038	Prbc.g_01106
OG0000189	Prak.g_00040	Prbc.g_01118
OG0000190	Prak.g_00042	Prbc.g_01120
OG0000191	Prak.g_00044	Prbc.g_01121
OG0000192	Prak.g_00045	Prbc.g_01122
OG0000193	Prak.g_00046	Prbc.g_01123
OG0000194	Prak.g_00049	Prbc.g_01124
OG0000195	Prak.g_00050	Prbc.g_01125
OG0000196	Prak.g_00051	Prbc.g_01126
OG0000197	Prak.g_00053	Prbc.g_01128
OG0000198	Prak.g_00054	Prbc.g_01129
OG0000199	Prak.g_00056	Prbc.g_01130
OG0000200	Prak.g_00068	Prbc.g_00509
OG0000201	Prak.g_00069	Prbc.g_00508
OG0000202	Prak.g_00070	Prbc.g_00507
OG0000203	Prak.g_00074	Prbc.g_00504
OG0000204	Prak.g_00075	Prbc.g_00503
OG0000205	Prak.g_00078	Prbc.g_00500
OG0000206	Prak.g_00080	Prbc.g_00498
OG0000207	Prak.g_00082	Prbc.g_00496
OG0000208	Prak.g_00083	Prbc.g_00495
OG0000209	Prak.g_00717	Prbc.g_00494
OG0000210	Prak.g_00084	Prbc.g_00493
OG0000211	Prak.g_00085	Prbc.g_00492
OG0000212	Prak.g_00086	Prbc.g_00491
OG0000213	Prak.g_00087	Prbc.g_00490
OG0000214	Prak.g_00088	Prbc.g_00489
OG0000215	Prak.g_00089	Prbc.g_00488
OG0000216	Prak.g_00090	Prbc.g_00487
OG0000217	Prak.g_00092	Prbc.g_00485
OG0000218	Prak.g_00093	Prbc.g_00484
OG0000219	Prak.g_00094	Prbc.g_00483
OG0000220	Prak.g_00095	Prbc.g_00482
OG0000221	Prak.g_00098	Prbc.g_00479
OG0000222	Prak.g_00099	Prbc.g_00478
OG0000223	Prak.g_00100	Prbc.g_00477
OG0000224	Prak.g_00102	Prbc.g_00476
OG0000225	Prak.g_00103	Prbc.g_00475
OG0000226	Prak.g_00104	Prbc.g_00474
OG0000227	Prak.g_00106	Prbc.g_00472
OG0000228	Prak.g_00107	Prbc.g_00471
OG0000229	Prak.g_00108	Prbc.g_00470
OG0000230	Prak.g_00109	Prbc.g_00469
OG0000231	Prak.g_00110	Prbc.g_00468
OG0000232	Prak.g_00111	Prbc.g_00467
OG0000233	Prak.g_00113	Prbc.g_00466
OG0000234	Prak.g_00114	Prbc.g_00465
OG0000235	Prak.g_00115	Prbc.g_00464
OG0000236	Prak.g_00118	Prbc.g_00461
OG0000237	Prak.g_00119	Prbc.g_00460
OG0000238	Prak.g_00120	Prbc.g_00459
OG0000239	Prak.g_00122	Prbc.g_00457
OG0000240	Prak.g_00123	Prbc.g_00455
OG0000241	Prak.g_00124	Prbc.g_00454
OG0000242	Prak.g_00125	Prbc.g_00453
OG0000243	Prak.g_00128	Prbc.g_00451
OG0000244	Prak.g_00131	Prbc.g_00448
OG0000245	Prak.g_00132	Prbc.g_00447
OG0000246	Prak.g_00133	Prbc.g_00446
OG0000247	Prak.g_00135	Prbc.g_00443
OG0000248	Prak.g_00137	Prbc.g_00441
OG0000249	Prak.g_00139	Prbc.g_00439
OG0000250	Prak.g_00140	Prbc.g_00438
OG0000251	Prak.g_00141	Prbc.g_00437
OG0000252	Prak.g_00142	Prbc.g_00436
OG0000253	Prak.g_00143	Prbc.g_00435
OG0000254	Prak.g_01035	Prbc.g_02145
OG0000255	Prak.g_00145	Prbc.g_00434
OG0000256	Prak.g_00148	Prbc.g_00431
OG0000257	Prak.g_00150	Prbc.g_00428
OG0000258	Prak.g_00156	Prbc.g_00426
OG0000259	Prak.g_00157	Prbc.g_00425
OG0000260	Prak.g_00158	Prbc.g_00424
OG0000261	Prak.g_00159	Prbc.g_00423
OG0000262	Prak.g_00160	Prbc.g_00422
OG0000263	Prak.g_00162	Prbc.g_00420
OG0000264	Prak.g_00163	Prbc.g_00419
OG0000265	Prak.g_00164	Prbc.g_00418
OG0000266	Prak.g_00165	Prbc.g_00417
OG0000267	Prak.g_00166	Prbc.g_00416
OG0000268	Prak.g_00168	Prbc.g_00415
OG0000269	Prak.g_00170	Prbc.g_00413
OG0000270	Prak.g_00171	Prbc.g_00412
OG0000271	Prak.g_00172	Prbc.g_00411
OG0000272	Prak.g_00173	Prbc.g_00410
OG0000273	Prak.g_00174	Prbc.g_00409
OG0000274	Prak.g_00175	Prbc.g_00408
OG0000275	Prak.g_00176	Prbc.g_00407
OG0000276	Prak.g_00177	Prbc.g_00406
OG0000277	Prak.g_00179	Prbc.g_00404
OG0000278	Prak.g_00180	Prbc.g_00403
OG0000279	Prak.g_00181	Prbc.g_00402
OG0000280	Prak.g_00183	Prbc.g_00400
OG0000281	Prak.g_00185	Prbc.g_00399
OG0000282	Prak.g_00186	Prbc.g_00398
OG0000283	Prak.g_00187	Prbc.g_00397
OG0000284	Prak.g_00188	Prbc.g_00396
OG0000285	Prak.g_00189	Prbc.g_00395
OG0000286	Prak.g_00190	Prbc.g_00394
OG0000287	Prak.g_00191	Prbc.g_00393
OG0000288	Prak.g_00193	Prbc.g_00391
OG0000289	Prak.g_00194	Prbc.g_00390
OG0000290	Prak.g_00195	Prbc.g_00389
OG0000291	Prak.g_00197	Prbc.g_00387
OG0000292	Prak.g_00199	Prbc.g_00385
OG0000293	Prak.g_00200	Prbc.g_00384
OG0000294	Prak.g_00201	Prbc.g_00383
OG0000295	Prak.g_00202	Prbc.g_00382
OG0000296	Prak.g_00203	Prbc.g_00381
OG0000297	Prak.g_00204	Prbc.g_00380
OG0000298	Prak.g_00206	Prbc.g_00378
OG0000299	Prak.g_00207	Prbc.g_00377
OG0000300	Prak.g_00208	Prbc.g_00376
OG0000301	Prak.g_00209	Prbc.g_00375
OG0000302	Prak.g_00210	Prbc.g_00374
OG0000303	Prak.g_00211	Prbc.g_00373
OG0000304	Prak.g_00213	Prbc.g_00371
OG0000305	Prak.g_00214	Prbc.g_00370
OG0000306	Prak.g_00217	Prbc.g_00368
OG0000307	Prak.g_00218	Prbc.g_00367
OG0000308	Prak.g_00219	Prbc.g_00366
OG0000309	Prak.g_00220	Prbc.g_00365
OG0000310	Prak.g_00221	Prbc.g_00364
OG0000311	Prak.g_00223	Prbc.g_00363
OG0000312	Prak.g_00224	Prbc.g_00362
OG0000313	Prak.g_00225	Prbc.g_00361
OG0000314	Prak.g_00226	Prbc.g_00360
OG0000315	Prak.g_00227	Prbc.g_00358
OG0000316	Prak.g_00228	Prbc.g_00357
OG0000317	Prak.g_00229	Prbc.g_00356
OG0000318	Prak.g_00230	Prbc.g_00355
OG0000319	Prak.g_00231	Prbc.g_00354
OG0000320	Prak.g_00232	Prbc.g_00353
OG0000321	Prak.g_00233	Prbc.g_00352
OG0000322	Prak.g_00234	Prbc.g_00351
OG0000323	Prak.g_00235	Prbc.g_00350
OG0000324	Prak.g_00236	Prbc.g_00349
OG0000325	Prak.g_00237	Prbc.g_00348
OG0000326	Prak.g_00238	Prbc.g_00347
OG0000327	Prak.g_00239	Prbc.g_00346
OG0000328	Prak.g_00241	Prbc.g_00345
OG0000329	Prak.g_00242	Prbc.g_00344
OG0000330	Prak.g_00243	Prbc.g_00343
OG0000331	Prak.g_00245	Prbc.g_00342
OG0000332	Prak.g_00246	Prbc.g_00341
OG0000333	Prak.g_00247	Prbc.g_00340
OG0000334	Prak.g_00248	Prbc.g_00339
OG0000335	Prak.g_00249	Prbc.g_00337
OG0000336	Prak.g_00251	Prbc.g_00335
OG0000337	Prak.g_00252	Prbc.g_00334
OG0000338	Prak.g_00257	Prbc.g_00329
OG0000339	Prak.g_00259	Prbc.g_01140
OG0000340	Prak.g_00261	Prbc.g_01142
OG0000341	Prak.g_00262	Prbc.g_01143
OG0000342	Prak.g_00263	Prbc.g_01144
OG0000343	Prak.g_00264	Prbc.g_01145
OG0000344	Prak.g_00267	Prbc.g_01146
OG0000345	Prak.g_00271	Prbc.g_01149
OG0000346	Prak.g_00272	Prbc.g_01150
OG0000347	Prak.g_00275	Prbc.g_01153
OG0000348	Prak.g_00276	Prbc.g_01154
OG0000349	Prak.g_00277	Prbc.g_01155
OG0000350	Prak.g_00279	Prbc.g_01156
OG0000351	Prak.g_00280	Prbc.g_01157
OG0000352	Prak.g_00281	Prbc.g_01158
OG0000353	Prak.g_00282	Prbc.g_01159
OG0000354	Prak.g_00284	Prbc.g_01160
OG0000355	Prak.g_00285	Prbc.g_01161
OG0000356	Prak.g_00286	Prbc.g_01162
OG0000357	Prak.g_00287	Prbc.g_01163
OG0000358	Prak.g_00288	Prbc.g_01164
OG0000359	Prak.g_00290	Prbc.g_01166
OG0000360	Prak.g_00293	Prbc.g_01168
OG0000361	Prak.g_00294	Prbc.g_01169
OG0000362	Prak.g_00295	Prbc.g_01170
OG0000363	Prak.g_00296	Prbc.g_01171
OG0000364	Prak.g_00300	Prbc.g_01175
OG0000365	Prak.g_00301	Prbc.g_01176
OG0000366	Prak.g_00304	Prbc.g_01178
OG0000367	Prak.g_00305	Prbc.g_01179
OG0000368	Prak.g_00306	Prbc.g_01180
OG0000369	Prak.g_00307	Prbc.g_01181
OG0000370	Prak.g_00308	Prbc.g_01182
OG0000371	Prak.g_00310	Prbc.g_01183
OG0000372	Prak.g_00311	Prbc.g_01184
OG0000373	Prak.g_00312	Prbc.g_01185
OG0000374	Prak.g_00313	Prbc.g_01186
OG0000375	Prak.g_00314	Prbc.g_01187
OG0000376	Prak.g_00317	Prbc.g_01190
OG0000377	Prak.g_00318	Prbc.g_01191
OG0000378	Prak.g_00319	Prbc.g_01192
OG0000379	Prak.g_00320	Prbc.g_01193
OG0000380	Prak.g_00321	Prbc.g_01194
OG0000381	Prak.g_00322	Prbc.g_01195
OG0000382	Prak.g_00323	Prbc.g_01196
OG0000383	Prak.g_00324	Prbc.g_01197
OG0000384	Prak.g_00326	Prbc.g_01200
OG0000385	Prak.g_00327	Prbc.g_01201
OG0000386	Prak.g_00328	Prbc.g_01202
OG0000387	Prak.g_00329	Prbc.g_01203
OG0000388	Prak.g_00330	Prbc.g_01204
OG0000389	Prak.g_00331	Prbc.g_01205
OG0000390	Prak.g_00332	Prbc.g_01206
OG0000391	Prak.g_00333	Prbc.g_01207
OG0000392	Prak.g_00334	Prbc.g_01208
OG0000393	Prak.g_00335	Prbc.g_01209
OG0000394	Prak.g_00336	Prbc.g_01210
OG0000395	Prak.g_00337	Prbc.g_01211
OG0000396	Prak.g_00338	Prbc.g_01213
OG0000397	Prak.g_00340	Prbc.g_01215
OG0000398	Prak.g_00341	Prbc.g_01216
OG0000399	Prak.g_00343	Prbc.g_01219
OG0000400	Prak.g_00349	Prbc.g_01225
OG0000401	Prak.g_00350	Prbc.g_01813
OG0000402	Prak.g_00356	Prbc.g_01246
OG0000403	Prak.g_00358	Prbc.g_01248
OG0000404	Prak.g_00359	Prbc.g_01249
OG0000405	Prak.g_00360	Prbc.g_01250
OG0000406	Prak.g_00363	Prbc.g_01253
OG0000407	Prak.g_00364	Prbc.g_01254
OG0000408	Prak.g_00367	Prbc.g_01256
OG0000409	Prak.g_00368	Prbc.g_01257
OG0000410	Prak.g_00369	Prbc.g_01258
OG0000411	Prak.g_00370	Prbc.g_01259
OG0000412	Prak.g_00371	Prbc.g_01260
OG0000413	Prak.g_00372	Prbc.g_01261
OG0000414	Prak.g_00373	Prbc.g_01262
OG0000415	Prak.g_00374	Prbc.g_01263
OG0000416	Prak.g_00378	Prbc.g_01267
OG0000417	Prak.g_00379	Prbc.g_01268
OG0000418	Prak.g_00381	Prbc.g_01270
OG0000419	Prak.g_00382	Prbc.g_01271
OG0000420	Prak.g_00900	Prbc.g_01912
OG0000421	Prak.g_01216	Prbc.g_02137
OG0000422	Prak.g_01597	Prbc.g_02168
OG0000423	Prak.g_01211	Prbc.g_01317
OG0000424	Prak.g_01709	Prbc.g_00934
OG0000425	Prak.g_00393	Prbc.g_01492
OG0000426	Prak.g_00394	Prbc.g_01493
OG0000427	Prak.g_00395	Prbc.g_01494
OG0000428	Prak.g_00397	Prbc.g_01496
OG0000429	Prak.g_00398	Prbc.g_01497
OG0000430	Prak.g_00400	Prbc.g_01499
OG0000431	Prak.g_00401	Prbc.g_01500
OG0000432	Prak.g_00402	Prbc.g_01501
OG0000433	Prak.g_00403	Prbc.g_01502
OG0000434	Prak.g_00404	Prbc.g_01503
OG0000435	Prak.g_00405	Prbc.g_01504
OG0000436	Prak.g_00406	Prbc.g_01505
OG0000437	Prak.g_00407	Prbc.g_01506
OG0000438	Prak.g_00408	Prbc.g_01507
OG0000439	Prak.g_00409	Prbc.g_01508
OG0000440	Prak.g_00410	Prbc.g_01509
OG0000441	Prak.g_00411	Prbc.g_01510
OG0000442	Prak.g_00412	Prbc.g_01511
OG0000443	Prak.g_00413	Prbc.g_01512
OG0000444	Prak.g_00414	Prbc.g_01513
OG0000445	Prak.g_00418	Prbc.g_01514
OG0000446	Prak.g_00420	Prbc.g_01516
OG0000447	Prak.g_00421	Prbc.g_01517
OG0000448	Prak.g_00422	Prbc.g_01518
OG0000449	Prak.g_00426	Prbc.g_01524
OG0000450	Prak.g_00427	Prbc.g_01525
OG0000451	Prak.g_00428	Prbc.g_01526
OG0000452	Prak.g_00430	Prbc.g_01528
OG0000453	Prak.g_00431	Prbc.g_01529
OG0000454	Prak.g_00432	Prbc.g_01531
OG0000455	Prak.g_00434	Prbc.g_01532
OG0000456	Prak.g_00438	Prbc.g_01536
OG0000457	Prak.g_00439	Prbc.g_01538
OG0000458	Prak.g_00440	Prbc.g_01539
OG0000459	Prak.g_00442	Prbc.g_01541
OG0000460	Prak.g_00444	Prbc.g_01543
OG0000461	Prak.g_00445	Prbc.g_01544
OG0000462	Prak.g_00446	Prbc.g_01545
OG0000463	Prak.g_00448	Prbc.g_01546
OG0000464	Prak.g_00449	Prbc.g_01547
OG0000465	Prak.g_00450	Prbc.g_01548
OG0000466	Prak.g_00451	Prbc.g_01549
OG0000467	Prak.g_00452	Prbc.g_01550
OG0000468	Prak.g_00453	Prbc.g_01551
OG0000469	Prak.g_00454	Prbc.g_01552
OG0000470	Prak.g_00455	Prbc.g_01553
OG0000471	Prak.g_00456	Prbc.g_01554
OG0000472	Prak.g_00462	Prbc.g_01580
OG0000473	Prak.g_00463	Prbc.g_01581
OG0000474	Prak.g_00464	Prbc.g_01582
OG0000475	Prak.g_00465	Prbc.g_01583
OG0000476	Prak.g_00466	Prbc.g_01585
OG0000477	Prak.g_00467	Prbc.g_01586
OG0000478	Prak.g_00468	Prbc.g_01587
OG0000479	Prak.g_00469	Prbc.g_01588
OG0000480	Prak.g_00471	Prbc.g_01590
OG0000481	Prak.g_00473	Prbc.g_01592
OG0000482	Prak.g_00474	Prbc.g_01593
OG0000483	Prak.g_00476	Prbc.g_01595
OG0000484	Prak.g_00477	Prbc.g_01596
OG0000485	Prak.g_00478	Prbc.g_01597
OG0000486	Prak.g_00479	Prbc.g_01599
OG0000487	Prak.g_00483	Prbc.g_01603
OG0000488	Prak.g_00484	Prbc.g_01604
OG0000489	Prak.g_00485	Prbc.g_01605
OG0000490	Prak.g_00486	Prbc.g_01606
OG0000491	Prak.g_00487	Prbc.g_01607
OG0000492	Prak.g_00488	Prbc.g_01608
OG0000493	Prak.g_00489	Prbc.g_01609
OG0000494	Prak.g_00490	Prbc.g_01610
OG0000495	Prak.g_00493	Prbc.g_01613
OG0000496	Prak.g_00494	Prbc.g_01614
OG0000497	Prak.g_00495	Prbc.g_01615
OG0000498	Prak.g_00496	Prbc.g_01616
OG0000499	Prak.g_00497	Prbc.g_01617
OG0000500	Prak.g_00499	Prbc.g_01619
OG0000501	Prak.g_00500	Prbc.g_01620
OG0000502	Prak.g_00501	Prbc.g_01621
OG0000503	Prak.g_00503	Prbc.g_01623
OG0000504	Prak.g_00504	Prbc.g_01624
OG0000505	Prak.g_00506	Prbc.g_01626
OG0000506	Prak.g_00507	Prbc.g_01627
OG0000507	Prak.g_00508	Prbc.g_01628
OG0000508	Prak.g_00509	Prbc.g_01629
OG0000509	Prak.g_00510	Prbc.g_01630
OG0000510	Prak.g_00511	Prbc.g_01631
OG0000511	Prak.g_00513	Prbc.g_01633
OG0000512	Prak.g_00514	Prbc.g_01634
OG0000513	Prak.g_00515	Prbc.g_01635
OG0000514	Prak.g_00516	Prbc.g_01636
OG0000515	Prak.g_00517	Prbc.g_01637
OG0000516	Prak.g_00518	Prbc.g_01638
OG0000517	Prak.g_00519	Prbc.g_01640
OG0000518	Prak.g_00520	Prbc.g_01641
OG0000519	Prak.g_00522	Prbc.g_01642
OG0000520	Prak.g_00524	Prbc.g_01643
OG0000521	Prak.g_00525	Prbc.g_01644
OG0000522	Prak.g_00526	Prbc.g_01645
OG0000523	Prak.g_00527	Prbc.g_01646
OG0000524	Prak.g_00528	Prbc.g_01647
OG0000525	Prak.g_00529	Prbc.g_01648
OG0000526	Prak.g_00530	Prbc.g_01649
OG0000527	Prak.g_00531	Prbc.g_01650
OG0000528	Prak.g_00532	Prbc.g_01651
OG0000529	Prak.g_00533	Prbc.g_01652
OG0000530	Prak.g_00534	Prbc.g_01653
OG0000531	Prak.g_00535	Prbc.g_01654
OG0000532	Prak.g_00536	Prbc.g_01655
OG0000533	Prak.g_00538	Prbc.g_01656
OG0000534	Prak.g_00539	Prbc.g_01657
OG0000535	Prak.g_00540	Prbc.g_01658
OG0000536	Prak.g_00541	Prbc.g_01659
OG0000537	Prak.g_00542	Prbc.g_01660
OG0000538	Prak.g_00543	Prbc.g_01661
OG0000539	Prak.g_00547	Prbc.g_01663
OG0000540	Prak.g_00548	Prbc.g_01664
OG0000541	Prak.g_00549	Prbc.g_01665
OG0000542	Prak.g_00552	Prbc.g_01667
OG0000543	Prak.g_00553	Prbc.g_01668
OG0000544	Prak.g_00554	Prbc.g_01670
OG0000545	Prak.g_00555	Prbc.g_01669
OG0000546	Prak.g_00556	Prbc.g_01671
