Orthogroup	Prbc	Prbk
OG0000358	Prbc.g_01196	Prbk.g_00451
OG0000359	Prbc.g_01197	Prbk.g_00453
OG0000360	Prbc.g_01200	Prbk.g_00456
OG0000361	Prbc.g_01201	Prbk.g_00457
OG0000362	Prbc.g_01202	Prbk.g_00458
OG0000363	Prbc.g_01203	Prbk.g_00460
OG0000364	Prbc.g_01204	Prbk.g_00461
OG0000365	Prbc.g_01205	Prbk.g_00462
OG0000366	Prbc.g_01206	Prbk.g_00463
OG0000367	Prbc.g_01207	Prbk.g_00464
OG0000368	Prbc.g_01208	Prbk.g_00465
OG0000369	Prbc.g_01209	Prbk.g_00466
OG0000370	Prbc.g_01210	Prbk.g_00467
OG0000371	Prbc.g_01211	Prbk.g_00468
OG0000372	Prbc.g_01213	Prbk.g_00471
OG0000373	Prbc.g_01215	Prbk.g_00481
OG0000374	Prbc.g_01216	Prbk.g_00483
OG0000375	Prbc.g_01217	Prbk.g_00492
OG0000376	Prbc.g_01219	Prbk.g_00853
OG0000377	Prbc.g_01225	Prbk.g_00860
OG0000378	Prbc.g_01813	Prbk.g_00861
OG0000379	Prbc.g_01246	Prbk.g_00871
OG0000380	Prbc.g_01248	Prbk.g_00873
OG0000381	Prbc.g_01249	Prbk.g_00874
OG0000382	Prbc.g_01250	Prbk.g_00876
OG0000383	Prbc.g_01253	Prbk.g_00881
OG0000384	Prbc.g_01254	Prbk.g_00882
OG0000385	Prbc.g_01256	Prbk.g_00888
OG0000386	Prbc.g_01257	Prbk.g_00889
OG0000387	Prbc.g_01258	Prbk.g_00890
OG0000388	Prbc.g_01259	Prbk.g_00891
OG0000389	Prbc.g_01260	Prbk.g_00892
OG0000390	Prbc.g_01261	Prbk.g_00893
OG0000391	Prbc.g_01262	Prbk.g_00894
OG0000392	Prbc.g_01263	Prbk.g_00895
OG0000393	Prbc.g_01267	Prbk.g_00365
OG0000394	Prbc.g_01268	Prbk.g_00364
OG0000395	Prbc.g_01271	Prbk.g_00360
OG0000396	Prbc.g_01912	Prbk.g_02556
OG0000397	Prbc.g_02137	Prbk.g_01321
OG0000398	Prbc.g_02168	Prbk.g_00924
OG0000399	Prbc.g_01317	Prbk.g_01693
OG0000400	Prbc.g_00934	Prbk.g_01902
OG0000401	Prbc.g_01492	Prbk.g_00352
OG0000402	Prbc.g_01493	Prbk.g_00351
OG0000403	Prbc.g_01494	Prbk.g_00339
OG0000404	Prbc.g_01496	Prbk.g_00329
OG0000405	Prbc.g_01497	Prbk.g_00328
OG0000406	Prbc.g_01499	Prbk.g_00326
OG0000407	Prbc.g_01500	Prbk.g_00325
OG0000408	Prbc.g_01501	Prbk.g_00324
OG0000409	Prbc.g_01502	Prbk.g_00323
OG0000410	Prbc.g_01503	Prbk.g_00321
OG0000411	Prbc.g_01504	Prbk.g_00320
OG0000412	Prbc.g_01505	Prbk.g_00319
OG0000413	Prbc.g_01506	Prbk.g_00318
OG0000414	Prbc.g_01507	Prbk.g_00317
OG0000415	Prbc.g_01508	Prbk.g_00316
OG0000416	Prbc.g_01509	Prbk.g_00315
OG0000417	Prbc.g_01510	Prbk.g_00311
OG0000418	Prbc.g_01511	Prbk.g_00310
OG0000419	Prbc.g_01512	Prbk.g_00309
OG0000420	Prbc.g_01513	Prbk.g_00308
OG0000421	Prbc.g_01514	Prbk.g_00301
OG0000422	Prbc.g_01516	Prbk.g_00299
OG0000423	Prbc.g_01517	Prbk.g_00298
OG0000424	Prbc.g_01518	Prbk.g_00295
OG0000425	Prbc.g_01524	Prbk.g_02088
OG0000426	Prbc.g_01525	Prbk.g_02089
OG0000427	Prbc.g_01526	Prbk.g_02092
OG0000428	Prbc.g_01528	Prbk.g_02105
OG0000429	Prbc.g_01529	Prbk.g_02107
OG0000430	Prbc.g_01531	Prbk.g_02109
OG0000431	Prbc.g_01532	Prbk.g_02111
OG0000432	Prbc.g_01533	Prbk.g_02112
OG0000433	Prbc.g_01536	Prbk.g_02053
OG0000434	Prbc.g_01538	Prbk.g_02056
OG0000435	Prbc.g_01539	Prbk.g_02060
OG0000436	Prbc.g_01541	Prbk.g_02062
OG0000437	Prbc.g_01543	Prbk.g_02064
OG0000438	Prbc.g_01544	Prbk.g_02065
OG0000439	Prbc.g_01545	Prbk.g_02066
OG0000440	Prbc.g_01546	Prbk.g_02069
OG0000441	Prbc.g_01547	Prbk.g_02071
OG0000442	Prbc.g_01548	Prbk.g_02072
OG0000443	Prbc.g_01549	Prbk.g_02073
OG0000444	Prbc.g_01550	Prbk.g_02074
OG0000445	Prbc.g_01551	Prbk.g_02075
OG0000446	Prbc.g_01552	Prbk.g_02076
OG0000447	Prbc.g_01553	Prbk.g_02077
OG0000448	Prbc.g_01554	Prbk.g_02078
OG0000449	Prbc.g_01580	Prbk.g_01865
OG0000450	Prbc.g_01581	Prbk.g_01041
OG0000451	Prbc.g_01582	Prbk.g_01042
OG0000452	Prbc.g_01583	Prbk.g_01043
OG0000453	Prbc.g_01585	Prbk.g_01046
OG0000454	Prbc.g_01586	Prbk.g_01047
OG0000455	Prbc.g_01587	Prbk.g_01048
OG0000456	Prbc.g_01588	Prbk.g_01049
OG0000457	Prbc.g_01590	Prbk.g_01050
OG0000458	Prbc.g_01592	Prbk.g_01051
OG0000459	Prbc.g_01593	Prbk.g_01052
OG0000460	Prbc.g_01595	Prbk.g_01054
OG0000461	Prbc.g_01596	Prbk.g_01055
OG0000462	Prbc.g_01597	Prbk.g_01056
OG0000463	Prbc.g_01599	Prbk.g_01061
OG0000464	Prbc.g_01603	Prbk.g_01066
OG0000465	Prbc.g_01604	Prbk.g_01067
OG0000466	Prbc.g_01605	Prbk.g_01068
OG0000467	Prbc.g_01606	Prbk.g_01070
OG0000468	Prbc.g_01607	Prbk.g_01071
OG0000469	Prbc.g_01608	Prbk.g_01076
OG0000470	Prbc.g_01609	Prbk.g_01965
OG0000471	Prbc.g_01610	Prbk.g_01772
OG0000472	Prbc.g_01613	Prbk.g_01081
OG0000473	Prbc.g_01614	Prbk.g_01083
OG0000474	Prbc.g_01615	Prbk.g_01085
OG0000475	Prbc.g_01616	Prbk.g_01086
OG0000476	Prbc.g_01617	Prbk.g_01092
OG0000477	Prbc.g_01619	Prbk.g_01095
OG0000478	Prbc.g_01620	Prbk.g_01097
OG0000479	Prbc.g_01621	Prbk.g_01099
OG0000480	Prbc.g_01623	Prbk.g_02686
OG0000481	Prbc.g_01624	Prbk.g_01898
OG0000482	Prbc.g_01626	Prbk.g_01897
OG0000483	Prbc.g_01627	Prbk.g_01895
OG0000484	Prbc.g_01628	Prbk.g_01894
OG0000485	Prbc.g_01629	Prbk.g_01893
OG0000486	Prbc.g_01630	Prbk.g_01892
OG0000487	Prbc.g_01631	Prbk.g_01891
OG0000488	Prbc.g_01633	Prbk.g_01889
OG0000489	Prbc.g_01634	Prbk.g_01888
OG0000490	Prbc.g_01635	Prbk.g_01887
OG0000491	Prbc.g_01636	Prbk.g_01886
OG0000492	Prbc.g_01637	Prbk.g_01885
OG0000493	Prbc.g_01638	Prbk.g_01884
OG0000494	Prbc.g_01640	Prbk.g_01882
OG0000495	Prbc.g_01641	Prbk.g_01881
OG0000496	Prbc.g_01642	Prbk.g_01879
OG0000497	Prbc.g_01643	Prbk.g_01877
OG0000498	Prbc.g_01644	Prbk.g_01876
OG0000499	Prbc.g_01646	Prbk.g_01874
OG0000500	Prbc.g_01647	Prbk.g_01873
OG0000501	Prbc.g_01649	Prbk.g_01104
OG0000502	Prbc.g_01650	Prbk.g_01105
OG0000503	Prbc.g_01651	Prbk.g_01106
OG0000504	Prbc.g_01652	Prbk.g_01108
OG0000505	Prbc.g_01653	Prbk.g_01109
OG0000506	Prbc.g_01654	Prbk.g_01110
OG0000507	Prbc.g_01655	Prbk.g_01111
OG0000508	Prbc.g_01656	Prbk.g_01115
OG0000509	Prbc.g_01657	Prbk.g_01116
OG0000510	Prbc.g_01658	Prbk.g_01117
OG0000511	Prbc.g_01659	Prbk.g_01118
OG0000512	Prbc.g_01660	Prbk.g_01119
OG0000513	Prbc.g_01661	Prbk.g_01120
OG0000514	Prbc.g_01662	Prbk.g_01121
OG0000515	Prbc.g_01663	Prbk.g_01124
OG0000516	Prbc.g_01664	Prbk.g_01125
OG0000517	Prbc.g_01665	Prbk.g_01126
OG0000518	Prbc.g_01667	Prbk.g_01130
OG0000519	Prbc.g_01668	Prbk.g_01131
OG0000520	Prbc.g_01670	Prbk.g_01132
OG0000521	Prbc.g_01669	Prbk.g_01133
OG0000522	Prbc.g_01671	Prbk.g_01139
OG0000523	Prbc.g_01672	Prbk.g_01140
OG0000524	Prbc.g_01673	Prbk.g_01141
OG0000525	Prbc.g_01675	Prbk.g_01143
OG0000526	Prbc.g_01676	Prbk.g_01144
OG0000527	Prbc.g_01677	Prbk.g_01145
OG0000528	Prbc.g_01678	Prbk.g_01146
OG0000529	Prbc.g_01679	Prbk.g_01147
OG0000530	Prbc.g_01680	Prbk.g_01148
OG0000531	Prbc.g_01682	Prbk.g_01151
OG0000532	Prbc.g_01683	Prbk.g_01153
OG0000533	Prbc.g_01684	Prbk.g_01154
OG0000534	Prbc.g_01685	Prbk.g_01155
OG0000535	Prbc.g_01686	Prbk.g_01156
OG0000536	Prbc.g_01687	Prbk.g_01157
OG0000537	Prbc.g_01688	Prbk.g_01158
OG0000538	Prbc.g_01689	Prbk.g_01159
OG0000539	Prbc.g_01690	Prbk.g_01161
OG0000540	Prbc.g_01691	Prbk.g_01163
OG0000541	Prbc.g_01692	Prbk.g_02602
OG0000542	Prbc.g_01693	Prbk.g_02603
OG0000543	Prbc.g_01694	Prbk.g_02604
OG0000544	Prbc.g_01695	Prbk.g_02605
OG0000545	Prbc.g_01698	Prbk.g_02608
OG0000546	Prbc.g_01699	Prbk.g_02609
