Orthogroup	Prbi	Other
OG0000142	Prbi.g_00638	Syab.g_01524
OG0000145	Prbi.g_00807	Syar.g_03205
OG0000148	Prbi.g_00863	Syab.g_01683
OG0000148	Prbi.g_00863	Syaj.g_01002
OG0000158	Prbi.g_01489	Syao.g_01141
OG0000159	Prbi.g_01490	Syap.g_00700
OG0000173	Prbi.g_02045	Syap.g_01213
OG0000188	Prbi.g_00089	Syai.g_00696
OG0000205	Prbi.g_00226	Praf.g_02708
OG0000224	Prbi.g_00349	Syar.g_00762
OG0000230	Prbi.g_00439	Syar.g_03275
OG0000250	Prbi.g_00574	Syar.g_03194
OG0000253	Prbi.g_00597	Syar.g_03229
OG0000259	Prbi.g_00663	Syas.g_01006
OG0000268	Prbi.g_00767	Syaf.g_00307
OG0000283	Prbi.g_00986	Syal.g_02131
OG0000284	Prbi.g_00991	Syar.g_03258
OG0000289	Prbi.g_01070	Syar.g_03305
OG0000303	Prbi.g_01260	Syar.g_03136
OG0000323	Prbi.g_01814	Syas.g_00159
OG0000330	Prbi.g_01916	Syar.g_03190
OG0000344	Prbi.g_01986	Syab.g_02424
OG0000346	Prbi.g_01995	Syap.g_02423
OG0000379	Prbi.g_00061	Syal.g_02681
OG0001008	Prbi.g_00438	Syar.g_03274
OG0001140	Prbi.g_01235	Syab.g_00642
OG0001269	Prbi.g_00383	Syal.g_02116
OG0001284	Prbi.g_01660	Syas.g_02124
OG0001349	Prbi.g_01590	Syaa.g_00454
OG0001356	Prbi.g_01301	Syaf.g_02177
OG0001395	Prbi.g_01073	Syal.g_00001
OG0001399	Prbi.g_01884	Syak.g_01977
OG0001399	Prbi.g_01884	Syal.g_00434
OG0001399	Prbi.g_01884	Syas.g_02459
OG0001399	Prbi.g_01884	Syad.g_02336
OG0001399	Prbi.g_01884	Syaf.g_00697
OG0001399	Prbi.g_01884	Prbc.g_00264, Prbc.g_01136, Prbc.g_01235
OG0001399	Prbi.g_01884	Prar.g_01071
OG0001399	Prbi.g_01884	Prar.g_01071
OG0001399	Prbi.g_00155, Prbi.g_00722	Syan.g_02175
OG0001399	Prbi.g_00155, Prbi.g_00722	Syao.g_01861
OG0001399	Prbi.g_00155, Prbi.g_00722	Prbj.g_00377, Prbj.g_00390
OG0001399	Prbi.g_00155, Prbi.g_00722	Prbk.g_00834, Prbk.g_00821
OG0001399	Prbi.g_00155, Prbi.g_00722	Prbl.g_01164, Prbl.g_01151
OG0001399	Prbi.g_00155, Prbi.g_00722	Praf.g_02089, Praf.g_02090, Praf.g_02643, Praf.g_01869
OG0001399	Prbi.g_00155, Prbi.g_00722	Prah.g_01971, Prah.g_00340
OG0001399	Prbi.g_00155, Prbi.g_00722	Syak.g_01103
OG0001423	Prbi.g_01567, Prbi.g_02024	Syam.g_00534
OG0001505	Prbi.g_01509	Prav.g_01548
OG0002033	Prbi.g_01885, Prbi.g_01410, Prbi.g_00152	Prar.g_01072
OG0002767	Prbi.g_01412	Praa.g_00053
OG0002767	Prbi.g_01412	Prae.g_00055
OG0002767	Prbi.g_01412	Syap.g_02415
OG0002767	Prbi.g_01412	Syae.g_02553
