Orthogroup	Syad	Other
OG0001488	Syad.g_00051, Syad.g_00050	Syak.g_00872
OG0001488	Syad.g_00051, Syad.g_00050	Syab.g_00994
OG0001488	Syad.g_00051, Syad.g_00050	Syal.g_01677
OG0001488	Syad.g_00051, Syad.g_00050	Syag.g_01119
OG0001488	Syad.g_00051, Syad.g_00050	Syaq.g_00224
OG0001488	Syad.g_00051, Syad.g_00050	Syar.g_01948
OG0001488	Syad.g_00051, Syad.g_00050	Syan.g_02666
OG0001488	Syad.g_00051, Syad.g_00050	Syao.g_00190
OG0001488	Syad.g_00051, Syad.g_00050	Syat.g_00301
OG0001488	Syad.g_00051, Syad.g_00050	Syap.g_00209
OG0001488	Syad.g_00051, Syad.g_00050	Syas.g_01142
OG0001488	Syad.g_00051, Syad.g_00050	Prbm.g_01535
OG0001488	Syad.g_00051, Syad.g_00050	Praj.g_01448
OG0001488	Syad.g_00051, Syad.g_00050	Prbb.g_01503
OG0001488	Syad.g_00051, Syad.g_00050	Prbc.g_01432
OG0001488	Syad.g_00051, Syad.g_00050	Prak.g_01159
OG0001488	Syad.g_00051, Syad.g_00050	Prap.g_00443
OG0001488	Syad.g_00051, Syad.g_00050	Prbe.g_01536
OG0001488	Syad.g_00051, Syad.g_00050	Prbf.g_00931
OG0001488	Syad.g_00051, Syad.g_00050	Prbg.g_01473
OG0001488	Syad.g_00051, Syad.g_00050	Prbn.g_01202
OG0001488	Syad.g_00051, Syad.g_00050	Pram.g_01126
OG0001488	Syad.g_00051, Syad.g_00050	Prbh.g_01269
OG0001488	Syad.g_00050	Pral.g_01381
OG0001488	Syad.g_00050	Prat.g_01143
OG0001505	Syad.g_00259	Prav.g_01548
OG0001515	Syad.g_01343	Syar.g_03266
OG0001592	Syad.g_03021	Syar.g_03309
OG0001615	Syad.g_01205	Syar.g_03185
OG0001618	Syad.g_01805	Syap.g_02409
OG0001623	Syad.g_00746	Syao.g_01889
OG0001635	Syad.g_00322	Syao.g_02182
OG0001671	Syad.g_02974	Syan.g_03115
OG0001671	Syad.g_02974	Syar.g_03173
OG0001672	Syad.g_02743	Prah.g_01854, Prah.g_01852
OG0001787	Syad.g_00976	Syar.g_03272
OG0001790	Syad.g_01126	Syar.g_03295
OG0001808	Syad.g_00422	Syar.g_03226
OG0001812	Syad.g_03022	Syar.g_03308
OG0001880	Syad.g_01746	Syar.g_03302
OG0001881	Syad.g_01754	Syar.g_03301
OG0002024	Syad.g_00108	Syar.g_00004
OG0002192	Syad.g_01180	Syar.g_03209
OG0002213	Syad.g_03025	Syar.g_03307
OG0002288	Syad.g_02281	Syal.g_00377
OG0002407	Syad.g_00082	Syag.g_01590
