Orthogroup	Syae	Other
OG0000202	Syae.g_01488	Syar.g_00021
OG0000203	Syae.g_01489	Syar.g_00020
OG0000210	Syae.g_01529	Syar.g_03260
OG0000229	Syae.g_00994	Syar.g_03273
OG0000230	Syae.g_00992	Syar.g_03275
OG0000233	Syae.g_02504	Syar.g_03183
OG0000236	Syae.g_02323	Syar.g_03311
OG0000239	Syae.g_02360	Syar.g_03277
OG0000245	Syae.g_02401	Syar.g_03238
OG0000250	Syae.g_02431	Syar.g_03194
OG0000251	Syae.g_02455	Syar.g_03207
OG0000253	Syae.g_02459	Syar.g_03229
OG0000255	Syae.g_00041	Syar.g_00011
OG0000258	Syae.g_00083	Syar.g_00010
OG0000260	Syae.g_00603	Syar.g_03220
OG0000264	Syae.g_00761	Syar.g_03267
OG0000274	Syae.g_00826	Syar.g_00009
OG0000278	Syae.g_00843	Syar.g_03174
OG0000282	Syae.g_00573	Syar.g_03255
OG0000283	Syae.g_00321	Syal.g_02131
OG0000289	Syae.g_00433	Syar.g_03305
OG0000303	Syae.g_00700	Syar.g_03136
OG0000312	Syae.g_02664	Syar.g_00015
OG0000323	Syae.g_01200	Syas.g_00159
OG0000325	Syae.g_02033	Syar.g_03291
OG0000330	Syae.g_02100	Syar.g_03190
OG0000338	Syae.g_01876	Syar.g_03225
OG0000346	Syae.g_01828	Syap.g_02423
OG0000367	Syae.g_01739	Syar.g_03262
OG0000388	Syae.g_01358	Syar.g_03148
OG0000486	Syae.g_01956	Syar.g_00024
OG0000559	Syae.g_02404	Syal.g_02305
OG0000995	Syae.g_01627	Syar.g_03212
OG0001008	Syae.g_00993	Syar.g_03274
OG0001217	Syae.g_00151	Syas.g_02493
OG0001269	Syae.g_00225	Syal.g_02116
OG0001284	Syae.g_01132	Syas.g_02124
OG0001349	Syae.g_01228	Syar.g_02764
OG0001349	Syae.g_01228	Syap.g_01264, Syap.g_00851
OG0001349	Syae.g_01228	Syan.g_01131
OG0001349	Syae.g_01228	Syao.g_01074
OG0001349	Syae.g_01228	Syab.g_00150
OG0001349	Syae.g_01228	Syal.g_01426
OG0001376	Syae.g_01589	Syar.g_03203
OG0001377	Syae.g_01588	Syar.g_03202
OG0001395	Syae.g_00446	Syal.g_00001
OG0001478	Syae.g_02512	Syas.g_01345
OG0001488	Syae.g_00898	Syar.g_03222
OG0001515	Syae.g_00762	Syar.g_03266
OG0001592	Syae.g_01557	Syar.g_03309
OG0001615	Syae.g_00854	Syar.g_03185
OG0001618	Syae.g_00459	Syap.g_02409
OG0001623	Syae.g_02179	Syao.g_01889
OG0001635	Syae.g_01811	Syao.g_02182
OG0001635	Syae.g_01811	Prah.g_01421
OG0001671	Syae.g_01521	Syan.g_03115
OG0001671	Syae.g_01521	Syar.g_03173
OG0001672	Syae.g_01318	Prah.g_01852
OG0001787	Syae.g_02373	Syar.g_03272
OG0001790	Syae.g_00936	Syar.g_03295
OG0001808	Syae.g_01877	Syar.g_03226
OG0001812	Syae.g_01558	Syar.g_03308
OG0001880	Syae.g_00364	Syar.g_03302
OG0001881	Syae.g_00363	Syar.g_03301
OG0001882	Syae.g_00338	Syar.g_03147
OG0001892	Syae.g_00881	Syar.g_03139
OG0002024	Syae.g_01655	Syar.g_00004
OG0002161	Syae.g_02665	Syar.g_01825
OG0002213	Syae.g_01559	Syar.g_03307
OG0002767	Syae.g_02553	Prbi.g_01412
