Orthogroup	Praj	Other
OG0000017	Praj.g_00585	Praw.g_01944
OG0000017	Praj.g_00585	Prax.g_00057
OG0000017	Praj.g_00585	Pray.g_01165
OG0000017	Praj.g_00585	Praz.g_01732
OG0000017	Praj.g_00585	Prba.g_01719
OG0000017	Praj.g_00585	Prbd.g_00646
OG0000017	Praj.g_00585	Prbi.g_00600
OG0000017	Praj.g_00585	Prab.g_00602
OG0000017	Praj.g_00585	Prai.g_00626
OG0000017	Praj.g_00585	Pran.g_01580
OG0000017	Praj.g_00585	Prah.g_01405
OG0000017	Praj.g_00585	Prbb.g_00598
OG0000017	Praj.g_00585	Prbb.g_00598
OG0000017	Praj.g_00585	Prbc.g_01674
OG0000017	Praj.g_00585	Prbc.g_01674
OG0000017	Praj.g_00585	Prbm.g_00628
OG0000017	Praj.g_00585	Prbm.g_00628
OG0000018	Praj.g_01482, Praj.g_00798	Syap.g_02708
OG0000027	Praj.g_01331	Syac.g_01009
OG0000027	Praj.g_01331	Syar.g_02835
OG0000037	Praj.g_00147	Syat.g_01575
OG0000059	Praj.g_01892	Syal.g_01332
OG0000061	Praj.g_01461	Syab.g_00171
OG0000061	Praj.g_01461	Syah.g_00215
OG0000061	Praj.g_01461	Syaj.g_02351
OG0000061	Praj.g_01461	Syaa.g_00469
OG0000061	Praj.g_01461	Syap.g_00870
OG0000062	Praj.g_01714	Praf.g_01047
OG0000070	Praj.g_00444	Syar.g_03150
OG0000076	Praj.g_02012	Syao.g_01251
OG0000099	Praj.g_00372	Syai.g_00151
OG0000107	Praj.g_01869	Syar.g_03290
OG0000107	Praj.g_01869	Syat.g_02009
OG0000108	Praj.g_00473	Syap.g_02256
OG0000117	Praj.g_01355	Pral.g_01881
OG0000124	Praj.g_02031	Syag.g_02485
OG0000131	Praj.g_00185	Syar.g_02216
OG0000132	Praj.g_00204	Syaq.g_01036
OG0000137	Praj.g_00467	Prah.g_00105
OG0000138	Praj.g_00487	Syak.g_01062
OG0000138	Praj.g_00487	Syaj.g_02631
OG0000142	Praj.g_00623	Syab.g_01524
OG0000145	Praj.g_01054	Syar.g_03205
OG0000148	Praj.g_00787	Syab.g_01683
OG0000148	Praj.g_00787	Syaj.g_01002
OG0000158	Praj.g_01995	Syao.g_01141
OG0000159	Praj.g_02043	Syap.g_00700
OG0000173	Praj.g_02076	Syap.g_01213
OG0000188	Praj.g_00120	Syai.g_00696
OG0000224	Praj.g_00360	Syar.g_00762
OG0000230	Praj.g_00432	Syar.g_03275
OG0000250	Praj.g_00562	Syar.g_03194
OG0000253	Praj.g_00582	Syar.g_03229
OG0000259	Praj.g_00648	Syas.g_01006
OG0000268	Praj.g_00722	Syaf.g_00307
OG0000283	Praj.g_00920	Syal.g_02131
OG0000284	Praj.g_00925	Syar.g_03258
OG0000289	Praj.g_01005	Syar.g_03305
OG0000303	Praj.g_01405	Syar.g_03136
OG0000323	Praj.g_01793	Syas.g_00159
OG0000330	Praj.g_01929	Syar.g_03190
OG0000344	Praj.g_02004	Syab.g_02424
OG0000346	Praj.g_02013	Syap.g_02423
OG0000379	Praj.g_00054	Syal.g_02681
OG0001008	Praj.g_00431	Syar.g_03274
OG0001140	Praj.g_01429	Syab.g_00642
OG0001269	Praj.g_00824	Syal.g_02116
OG0001284	Praj.g_01705	Syas.g_02124
OG0001356	Praj.g_01119	Syaf.g_02177
OG0001395	Praj.g_01009	Syal.g_00001
OG0001412	Praj.g_02038	Syaa.g_01020
OG0001412	Praj.g_02038	Syak.g_01621
OG0001412	Praj.g_02038	Praf.g_00131
OG0001412	Praj.g_02038	Syat.g_00584
OG0001423	Praj.g_01598	Syam.g_00534
OG0001488	Praj.g_01448	Syad.g_00051, Syad.g_00050
OG0001505	Praj.g_02050	Prav.g_01548
OG0001518	Praj.g_02097	Syal.g_02309
OG0001650	Praj.g_01377	Pral.g_00441
OG0001673	Praj.g_00272	Syah.g_01195
